	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.ZAJG.0626.SM.5HL8X	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Q2AG.0326.SM.48U1O	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	TCGA.38.4625.01A.01R.1206.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2778.01A.02R.0851.07
RBM33	144.01	152.28	155.5	460.44	384.34	206.94	316.37	260.38	260.38	356.05	279.14	381.68	384.34	395.18	325.29	293.07	232.94	244.57	191.67	226.54	307.69	226.54	177.53	356.05	246.28	348.71	255.0	480.04	318.57	217.27	204.07	226.54	269.6	236.21	145.02	283.05	426.57	599.49	392.44	476.71	332.14	348.71	381.68	387.02	336.79	279.14	283.05	262.2	409.15	341.51	497.0	486.75	327.56	271.48	500.46	559.28	249.73	447.82	356.05	167.9	432.53	150.17	457.25	187.71	397.93	532.74	0.0	205.5	128.79	183.82
RBM5	620.67	764.36	848.22	3081.75	836.53	819.3	1225.22	915.51	961.07	1407.55	1561.89	2004.85	1561.89	1769.57	1950.0	1519.15	1313.23	780.44	473.41	1313.23	441.64	791.35	1268.46	1594.73	1331.57	547.75	743.43	1340.84	2148.82	638.15	583.07	1359.57	703.28	775.05	1104.13	1529.73	2796.65	3018.3	2319.15	2682.69	2319.15	2351.53	2417.67	2468.49	2075.59	1806.78	1963.57	2032.85	3794.3	2875.3	2417.67	3768.09	2701.35	2591.27	3639.7	2835.7	1781.89	4239.45	3303.0	1551.09	2119.22	802.41	4358.66	1175.27	3280.18	2895.31	0.0	361.04	281.09	368.65
RBM6	660.68	629.35	444.72	1781.89	567.1	620.67	642.59	896.64	896.64	1259.69	974.5	825.0	860.08	1127.35	1304.15	884.29	769.69	848.22	447.82	813.63	633.73	470.14	738.29	1127.35	896.64	366.09	629.35	1457.23	1437.15	466.88	651.58	733.19	642.59	1008.9	587.13	1331.57	1628.26	1806.78	1437.15	1617.0	1111.82	1340.84	1467.37	1617.0	1216.75	1081.39	1111.82	1397.83	2032.85	1477.58	1127.35	1685.71	1159.07	1561.89	1936.53	1806.78	995.0	2047.0	1674.06	1159.07	1191.69	759.08	2682.69	693.58	3018.3	1447.15	819.3	232.94	154.42	232.94
RGPD5	21.63	55.49	66.18	248.0	71.5	85.82	120.94	117.6	51.35	62.12	140.04	164.42	90.14	150.17	194.36	140.04	153.34	62.12	64.8	101.54	125.24	108.9	108.9	52.45	16.27	178.77	93.35	56.28	112.77	102.25	34.75	91.41	43.94	10.08	44.89	67.59	295.11	110.43	158.79	229.72	217.27	262.2	146.03	223.41	172.65	88.88	224.97	88.26	271.48	392.44	133.36	198.47	303.44	361.04	171.45	215.77	483.38	195.72	358.54	193.01	111.99	29.27	339.14	18.16	309.83	447.82	48.52	34.26	11.55	11.73
RP11-12J10.3	2.48	2.61	3.11	4.82	5.63	2.51	4.43	1.5	5.15	1.64	5.92	3.82	3.2	5.19	13.83	5.19	4.43	3.17	2.39	2.48	1.3	5.41	3.92	4.24	3.89	3.41	2.71	5.73	3.5	4.54	0.39	0.42	0.64	0.59	1.28	4.31	8.38	14.45	8.13	9.93	10.96	11.13	2.58	8.65	6.31	5.92	4.06	4.28	13.22	7.46	8.25	6.84	14.03	13.42	6.84	10.96	10.0	3.82	15.22	4.13	12.55	2.05	7.57	3.56	8.06	8.19	0.0	1.71	0.0	1.79
RP11-287D1.3	1.25	1.97	0.71	8.99	2.48	5.36	3.5	0.75	0.32	2.92	1.07	1.93	0.97	3.63	3.92	2.25	0.42	0.65	1.36	0.73	0.34	3.41	0.0	2.29	1.77	3.06	0.36	3.5	5.23	0.0	0.0	1.2	1.55	0.0	0.34	4.66	12.18	6.16	4.98	4.82	4.74	12.64	3.29	2.18	2.12	1.07	4.82	2.86	5.63	4.9	3.99	5.06	5.23	8.25	6.78	2.73	5.68	3.5	8.99	2.29	3.47	0.08	9.06	2.05	2.63	2.92	0.0	0.0	0.0	0.42
RP11-574K11.31	14.67	7.4	7.82	37.85	11.38	4.74	15.8	7.94	14.24	13.42	11.21	10.31	14.24	14.45	23.25	9.2	6.11	4.54	18.16	10.96	2.86	11.21	10.31	3.29	9.48	9.85	7.69	16.51	13.03	3.53	10.08	21.63	18.7	7.94	7.17	9.63	27.25	33.06	21.01	16.63	11.82	28.65	35.0	25.54	19.39	12.74	11.47	28.04	22.75	14.78	14.45	22.26	22.26	23.42	38.4	17.51	30.56	28.24	33.78	7.17	28.24	9.7	28.45	11.04	42.71	59.13	0.0	9.06	8.19	8.45
SENP7	22.1	202.66	132.44	251.48	83.45	157.68	169.07	115.16	124.37	159.9	262.2	244.57	224.97	201.25	152.28	244.57	236.21	66.18	55.89	147.06	28.86	139.07	114.36	205.5	99.43	156.59	98.04	183.82	273.37	73.03	43.02	123.5	67.12	27.05	72.52	183.82	447.82	414.87	341.51	529.06	447.82	363.56	320.8	334.46	291.04	260.38	450.94	166.73	603.67	275.28	293.07	571.05	511.0	307.69	149.12	406.31	277.2	343.89	314.17	89.51	358.54	105.89	283.05	153.34	295.11	612.11	0.0	83.45	40.07	94.67
SGK494	29.06	36.53	23.76	197.09	297.17	59.97	46.18	67.59	94.67	143.01	45.21	88.88	31.9	91.41	64.8	124.37	158.79	87.65	22.75	88.26	54.72	80.57	90.77	75.64	58.3	85.22	35.76	76.17	73.54	26.86	35.25	50.27	59.97	23.76	19.25	102.25	132.44	151.22	66.65	98.04	86.43	111.21	128.79	120.1	76.17	41.22	54.72	42.41	102.97	123.5	63.89	91.41	171.45	218.79	153.34	107.38	68.55	97.36	346.29	62.12	135.24	23.59	172.65	34.51	202.66	211.31	0.0	5.59	1.77	23.76
SLC25A34	5.87	8.51	1.2	25.72	10.71	6.41	7.0	4.31	15.11	5.5	3.76	6.73	4.78	20.56	11.55	8.58	16.63	3.44	13.32	7.82	2.43	10.24	6.78	4.9	7.46	18.84	10.24	21.94	14.78	4.13	2.39	5.87	9.27	2.78	2.43	20.56	27.05	19.39	17.25	24.28	31.45	27.25	31.0	19.39	18.43	10.79	11.04	22.26	34.51	20.71	13.72	38.12	12.0	5.92	30.34	32.36	14.56	30.78	40.64	33.78	39.22	8.45	9.78	7.11	31.67	56.28	0.0	2.58	1.03	6.52
SLC4A5	13.72	17.51	11.47	58.3	38.67	31.45	13.12	17.51	6.67	24.63	13.03	21.47	24.81	42.71	28.04	28.65	12.93	27.84	16.15	31.0	11.82	14.03	11.13	18.29	12.09	5.32	15.8	56.28	33.06	1.89	11.3	18.84	17.51	11.38	11.47	36.79	50.27	36.01	37.05	25.72	30.56	68.55	35.76	35.25	23.25	16.27	43.32	23.25	34.02	43.02	19.39	47.84	94.01	44.25	33.06	34.26	53.19	38.67	48.18	26.67	40.36	8.13	52.45	19.39	53.57	33.06	0.0	6.89	5.28	12.74
STARD9	13.03	15.11	8.45	86.43	30.12	21.32	26.67	17.38	15.34	21.16	37.05	16.75	14.56	44.57	20.56	54.72	26.28	6.84	12.55	31.22	17.0	31.67	18.43	6.01	30.78	19.97	19.11	36.53	40.64	11.55	14.56	22.75	13.93	2.53	6.16	12.0	175.07	166.73	98.04	173.85	209.84	140.04	158.79	113.56	77.79	48.18	124.37	68.55	100.13	116.78	271.48	90.14	119.26	136.19	67.59	186.4	114.36	239.52	73.54	79.45	106.63	14.03	67.12	39.5	170.25	177.53	0.0	6.62	3.96	6.31
STRIP1	228.13	397.93	262.2	323.03	334.46	283.05	555.41	251.48	579.04	251.48	432.53	265.87	500.46	299.25	540.19	285.03	237.86	289.02	320.8	329.84	249.73	361.04	397.93	189.02	400.71	361.04	217.27	371.22	381.68	265.87	205.5	348.71	463.65	265.87	264.03	295.11	559.28	583.07	463.65	463.65	397.93	457.25	503.95	473.41	438.59	397.93	275.28	412.0	647.07	320.8	536.45	620.67	403.5	423.61	486.75	583.07	341.51	497.0	603.67	309.83	450.94	303.44	813.63	351.14	595.34	493.56	0.0	164.42	133.36	211.31
TRIM56	124.37	121.79	115.97	353.59	164.42	155.5	265.87	226.54	156.59	211.31	215.77	363.56	285.03	221.86	309.83	248.0	228.13	51.35	144.01	201.25	100.13	267.73	177.53	164.42	153.34	122.64	173.85	115.16	177.53	201.25	108.14	267.73	145.02	81.14	146.03	151.22	423.61	305.55	246.28	384.34	201.25	242.88	320.8	283.05	197.09	256.78	173.85	181.28	318.57	275.28	551.56	336.79	258.57	277.2	371.22	450.94	208.38	208.38	295.11	185.11	314.17	102.25	291.04	147.06	244.57	285.03	0.0	57.49	52.45	37.59
TSSK3	8.45	17.9	11.91	19.39	16.27	4.24	26.28	11.91	10.55	50.63	15.68	20.86	15.34	15.56	39.79	30.56	16.75	15.8	28.86	21.94	40.93	12.83	27.64	15.0	21.94	14.89	14.14	45.85	46.84	12.45	17.38	16.15	8.71	10.39	9.63	15.91	87.65	108.9	51.35	48.18	55.1	35.0	57.89	61.25	43.63	12.55	21.32	25.54	76.71	35.5	40.93	85.22	73.03	39.79	37.05	120.94	42.71	57.08	101.54	3.86	65.26	10.88	39.79	15.11	29.06	45.21	0.0	0.0	55.1	12.36
TSSK4	3.53	18.03	9.13	60.82	13.93	6.26	10.0	16.27	10.55	16.63	18.29	22.1	18.7	48.18	17.13	29.7	34.51	7.75	3.2	25.91	12.18	20.86	9.13	25.17	11.82	8.0	10.0	12.27	52.08	7.17	3.79	21.47	8.45	23.25	5.23	12.45	73.54	58.71	40.64	53.57	35.76	51.71	40.07	48.18	45.53	33.3	23.25	23.08	40.07	16.63	96.68	64.34	53.95	53.95	45.53	56.68	46.5	32.82	47.84	7.28	82.87	8.99	42.71	21.63	23.08	96.68	0.0	0.0	0.0	7.57
TTC28	29.91	64.8	31.9	155.5	24.63	112.77	141.02	51.71	37.59	104.42	163.28	67.12	57.89	123.5	77.25	221.86	94.01	16.27	17.38	143.01	18.97	97.36	90.14	38.4	52.08	38.67	33.78	43.63	143.01	48.52	61.25	77.79	20.86	33.06	41.81	82.29	305.55	348.71	242.88	329.84	379.04	277.2	281.09	195.72	209.84	165.57	236.21	138.1	312.0	269.6	457.25	483.38	457.25	341.51	291.04	463.65	275.28	503.95	307.69	117.6	323.03	59.55	348.71	56.68	518.15	397.93	0.0	11.55	3.89	11.91
TTLL11	56.28	85.82	44.89	117.6	31.67	48.52	73.54	74.58	56.68	40.93	111.21	71.5	64.34	105.15	80.57	123.5	74.58	88.26	48.18	84.04	30.12	108.9	87.03	96.01	77.79	62.56	53.57	75.11	85.82	71.5	63.45	84.63	76.17	44.57	26.28	59.97	162.14	149.12	119.26	129.69	129.69	129.69	119.26	119.26	117.6	101.54	115.97	102.97	198.47	89.51	140.04	178.77	135.24	130.6	151.22	127.0	172.65	123.5	134.3	242.88	95.34	54.72	141.02	156.59	212.78	111.21	0.0	53.19	55.1	34.51
TTLL3	273.37	358.54	119.26	1073.91	195.72	150.17	186.4	151.22	332.14	417.77	194.36	473.41	140.04	387.02	373.81	334.46	218.79	191.67	183.82	277.2	123.5	121.79	195.72	307.69	264.03	366.09	255.0	599.49	525.39	75.64	88.26	267.73	163.28	185.11	143.01	480.04	872.1	1096.5	603.67	688.78	575.03	591.22	669.92	698.41	563.18	323.03	423.61	507.46	1127.35	954.43	518.15	947.83	587.13	1008.9	961.07	808.0	559.28	1127.35	878.17	395.18	607.87	162.14	1487.87	285.03	878.17	842.36	0.0	77.79	41.22	66.18
UBAP1L	13.12	17.25	12.55	67.59	9.2	14.45	16.51	13.32	10.79	20.71	20.71	15.68	25.54	19.97	33.06	27.64	19.97	8.92	7.4	18.7	13.83	18.7	4.78	6.11	14.35	9.93	13.03	15.91	55.49	9.48	4.82	13.93	4.43	11.82	7.94	26.86	73.03	85.82	58.3	72.52	31.45	52.82	70.51	64.8	66.65	18.56	21.16	59.13	96.01	33.54	38.95	57.49	88.88	81.14	76.17	111.99	71.0	84.63	96.01	23.93	70.51	17.0	134.3	28.45	128.79	95.34	0.0	6.62	3.44	2.51
VAMP1	150.17	153.34	59.13	229.72	124.37	45.85	147.06	105.89	149.12	55.49	165.57	206.94	514.56	234.57	98.04	162.14	110.43	60.39	40.07	173.85	69.52	163.28	127.0	76.71	258.57	76.17	117.6	162.14	226.54	85.82	80.57	101.54	115.97	26.28	112.77	111.21	343.89	447.82	236.21	260.38	150.17	144.01	190.34	217.27	218.79	83.45	136.19	205.5	269.6	239.52	348.71	332.14	241.19	234.57	119.26	273.37	191.67	146.03	325.29	38.67	395.18	209.84	251.48	195.72	209.84	599.49	0.0	71.0	33.06	48.18
WSB1	381.68	563.18	638.15	1417.35	759.08	842.36	708.18	525.39	688.78	748.61	723.08	915.51	507.46	1030.12	1023.0	1322.37	629.35	607.87	409.15	791.35	187.71	669.92	1417.35	521.76	872.1	860.08	728.11	785.88	791.35	575.03	460.44	532.74	547.75	336.79	438.59	616.37	2417.67	1977.24	1467.37	2178.83	2664.15	1662.49	1909.85	1844.76	1322.37	988.12	2240.11	1081.39	2468.49	2163.77	1709.26	1709.26	2133.97	1639.59	1242.34	2133.97	1447.15	2739.08	1628.26	1143.1	1447.15	339.14	1721.16	941.27	2609.3	1561.89	1674.06	497.0	543.96	854.13
YLPM1	361.04	665.29	395.18	1066.48	500.46	483.38	698.41	486.75	420.68	540.19	785.88	759.08	769.69	616.37	567.1	866.07	536.45	269.6	262.2	514.56	466.88	473.41	638.15	759.08	540.19	423.61	457.25	384.34	733.19	642.59	323.03	633.73	466.88	265.87	438.59	480.04	1051.79	934.76	995.0	1037.29	848.22	866.07	872.1	896.64	878.17	802.41	813.63	733.19	1268.46	836.53	1037.29	1277.29	967.76	1191.69	902.89	902.89	909.17	954.43	1167.14	595.34	1044.52	348.71	1183.45	540.19	941.27	1015.93	0.0	122.64	100.83	157.68
ZDHHC17	53.19	208.38	177.53	293.07	114.36	246.28	157.68	223.41	249.73	368.65	241.19	334.46	264.03	224.97	262.2	447.82	343.89	105.15	70.51	209.84	84.63	253.23	166.73	186.4	143.01	159.9	220.32	141.02	318.57	82.87	118.43	223.41	66.18	105.15	148.09	295.11	684.02	521.76	525.39	688.78	780.44	536.45	497.0	480.04	368.65	293.07	642.59	220.32	896.64	412.0	555.41	684.02	551.56	543.96	318.57	612.11	466.88	521.76	500.46	253.23	656.11	151.22	587.13	185.11	743.43	1008.9	0.0	105.15	66.18	90.14
ZMAT1	33.78	80.01	102.25	327.56	33.3	123.5	50.27	97.36	92.05	329.84	145.02	281.09	190.34	279.14	149.12	334.46	136.19	63.0	74.06	242.88	2.89	77.79	49.21	78.34	82.87	14.89	52.82	211.31	303.44	21.47	32.36	63.89	58.71	22.43	46.84	616.37	473.41	353.59	341.51	454.09	351.14	271.48	348.71	348.71	307.69	165.57	341.51	246.28	1015.93	395.18	214.27	684.02	460.44	529.06	426.57	376.41	299.25	387.02	764.36	85.22	642.59	63.89	961.07	99.43	603.67	1059.11	0.0	19.97	1.58	4.98
ZNF169	14.14	47.84	22.1	140.04	29.06	20.11	41.81	59.55	41.22	28.45	54.33	53.57	25.35	77.79	29.06	52.08	65.26	35.0	17.64	47.5	21.01	27.84	40.36	27.44	40.93	19.39	57.49	56.68	67.12	23.25	40.07	32.36	38.67	12.93	12.93	34.51	94.01	130.6	56.68	92.05	63.89	71.5	68.07	78.89	67.12	43.02	33.06	43.02	120.94	61.25	74.06	90.77	74.58	90.14	45.21	133.36	40.64	60.82	102.97	25.91	120.94	43.63	48.87	37.32	37.05	146.03	0.0	14.45	7.0	12.83
ZNF224	49.91	185.11	128.79	493.56	170.25	232.94	209.84	178.77	228.13	318.57	299.25	187.71	193.01	363.56	287.01	287.01	403.5	61.68	82.29	327.56	53.19	195.72	151.22	198.47	169.07	176.29	181.28	166.73	283.05	102.25	98.73	244.57	161.02	93.35	165.57	348.71	529.06	547.75	371.22	518.15	314.17	346.29	363.56	414.87	387.02	248.0	262.2	232.94	460.44	417.77	389.72	587.13	532.74	371.22	444.72	638.15	246.28	368.65	473.41	217.27	409.15	46.84	547.75	151.22	253.23	414.87	0.0	35.0	21.32	46.5
ZNF333	33.54	158.79	97.36	323.03	46.5	85.82	98.04	91.41	115.16	111.99	175.07	135.24	137.14	177.53	152.28	226.54	138.1	116.78	50.63	115.16	90.77	127.89	124.37	120.1	181.28	171.45	162.14	115.97	248.0	83.45	80.01	109.66	60.82	85.22	87.65	158.79	291.04	351.14	220.32	281.09	265.87	248.0	264.03	314.17	256.78	156.59	221.86	164.42	297.17	229.72	248.0	217.27	323.03	201.25	226.54	316.37	273.37	211.31	470.14	208.38	323.03	63.89	314.17	137.14	371.22	384.34	0.0	44.89	43.02	42.41
ZNF862	61.68	79.45	82.29	400.71	251.48	167.9	144.01	115.16	100.83	417.77	172.65	161.02	265.87	258.57	334.46	211.31	163.28	129.69	297.17	234.57	75.11	127.0	84.63	241.19	137.14	307.69	199.85	356.05	229.72	21.78	105.15	117.6	224.97	163.28	159.9	154.42	343.89	397.93	291.04	299.25	172.65	265.87	303.44	373.81	314.17	189.02	135.24	198.47	473.41	271.48	339.14	547.75	389.72	444.72	320.8	307.69	228.13	432.53	490.14	95.34	397.93	118.43	651.58	105.89	414.87	423.61	0.0	133.36	16.51	32.13
