	TCGA.DK.A3IV.01A.22R.A21D.07	TCGA.BP.4798.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.OXRL.0526.SM.2I3EZ	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	TCGA.BR.6706.01A.11R.1884.13	TCGA.HU.8608.01A.11R.2402.13	TCGA.VQ.A923.01A.11R.A414.31	TCGA.BR.7958.01A.21R.2343.13	TCGA.FP.7998.01A.11R.2203.13	TCGA.HU.A4H0.01A.11R.A251.31	TCGA.BR.8686.01A.11R.2402.13	TCGA.FP.7916.01A.11R.2203.13	GTEX.WHPG.0426.SM.4M1XW
TRIM11	567.1	289.02	142.01	447.82	287.01	246.28	332.14	307.69	205.5	412.0	860.08	182.55	426.57	320.8	229.72	157.68	289.02	183.82	332.14	134.3	185.11	186.4	251.48	206.94	218.79	262.2	529.06	563.18	633.73	595.34	543.96	511.0	688.78	620.67	532.74
TRIM28	16383.0	4450.27	3742.05	6983.79	3349.13	2855.44	3639.7	5995.9	2209.26	4038.61	6381.92	2178.83	6652.97	3018.3	10368.08	1605.83	3794.3	2502.97	8901.53	3742.05	3768.09	6935.54	2956.17	3280.18	2351.53	2976.74	9808.75	11035.54	10368.08	8718.32	7081.29	11504.21	7130.55	8191.0	4419.52
TSC1	423.61	253.23	112.77	366.09	223.41	65.72	140.04	269.6	234.57	289.02	348.71	113.56	180.02	232.94	76.71	152.28	281.09	215.77	289.02	164.42	159.9	113.56	176.29	161.02	142.01	128.79	318.57	334.46	511.0	343.89	358.54	379.04	358.54	339.14	132.44
TXLNA	1059.11	836.53	361.04	579.04	476.71	447.82	400.71	647.07	392.44	679.29	713.11	409.15	503.95	684.02	470.14	417.77	400.71	381.68	733.19	497.0	339.14	518.15	264.03	395.18	371.22	318.57	753.83	981.29	708.18	651.58	848.22	642.59	679.29	764.36	595.34
WDR18	830.75	521.76	860.08	1268.46	426.57	163.28	470.14	616.37	813.63	928.3	624.99	215.77	220.32	343.89	299.25	269.6	435.55	366.09	607.87	218.79	348.71	183.82	228.13	246.28	171.45	417.77	1216.75	1225.22	890.44	1216.75	860.08	808.0	802.41	579.04	842.36
XRCC1	1104.13	665.29	273.37	665.29	796.86	379.04	389.72	665.29	693.58	934.76	995.0	356.05	312.0	395.18	237.86	353.59	836.53	444.72	723.08	412.0	607.87	194.36	660.68	426.57	507.46	480.04	860.08	647.07	884.29	1051.79	647.07	902.89	708.18	830.75	759.08
ZGLP1	59.97	63.45	44.89	144.01	65.72	21.63	83.45	98.04	65.26	273.37	166.73	19.11	30.34	49.91	26.86	15.8	43.94	56.28	81.71	30.34	52.08	12.36	20.71	26.47	17.51	21.01	55.49	59.55	108.14	48.18	30.34	52.08	177.53	26.67	30.12
ZNF202	161.02	135.24	51.71	161.02	87.03	47.17	82.87	199.85	76.71	138.1	185.11	55.49	32.13	71.5	67.12	81.71	105.89	43.63	123.5	55.89	61.25	63.89	49.91	57.49	45.85	38.95	147.06	253.23	237.86	157.68	193.01	171.45	303.44	149.12	148.09
ZNF213	307.69	191.67	115.16	220.32	171.45	40.07	121.79	176.29	148.09	163.28	242.88	69.52	76.17	126.12	44.25	103.69	161.02	84.63	275.28	61.25	115.97	36.27	102.25	111.99	105.15	75.64	348.71	195.72	376.41	258.57	316.37	215.77	316.37	368.65	189.02
ZNF235	92.05	68.55	37.85	86.43	44.89	24.63	76.17	108.14	42.71	131.51	123.5	30.12	23.25	29.48	27.05	31.9	42.41	60.39	74.58	46.5	40.93	20.86	50.98	43.32	22.59	36.79	63.0	63.45	102.25	94.01	82.87	60.82	128.79	83.45	27.05
ZNF282	629.35	305.55	131.51	384.34	211.31	142.01	169.07	314.17	320.8	497.0	412.0	110.43	93.35	182.55	73.54	154.42	223.41	90.77	397.93	128.79	117.6	72.52	224.97	180.02	129.69	99.43	514.56	417.77	507.46	503.95	470.14	555.41	470.14	373.81	343.89
ZNF296	265.87	20.26	16.51	50.27	46.5	59.55	32.59	52.82	45.53	59.13	108.14	25.91	89.51	22.92	24.28	28.45	31.45	44.89	43.94	14.14	41.52	34.26	27.25	34.26	13.03	39.22	119.26	120.1	132.44	129.69	108.14	232.94	81.71	126.12	147.06
ZNF587	660.68	269.6	67.59	231.32	88.88	128.79	123.5	145.02	81.71	165.57	211.31	54.33	164.42	130.6	29.27	69.03	78.34	103.69	197.09	88.88	51.35	110.43	159.9	54.72	120.1	74.58	476.71	753.83	1044.52	620.67	555.41	642.59	708.18	1135.2	194.36
ZNF74	120.94	94.67	47.5	166.73	58.71	13.12	68.55	81.71	70.51	167.9	181.28	18.84	39.79	58.3	19.39	23.25	60.39	34.51	135.24	32.82	57.89	22.59	31.9	57.49	49.56	24.99	167.9	231.32	191.67	183.82	244.57	122.64	329.84	159.9	53.19
