	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.14C5O.2626.SM.5RQI5	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.QV44.1526.SM.4R1KI	GTEX.13111.1326.SM.5GCNO	GTEX.1399T.1226.SM.5P9J5	GTEX.13G51.2326.SM.5LZXV	GTEX.131XF.1926.SM.5DUW4	GTEX.11ZUS.2126.SM.5N9E6	GTEX.11OF3.1726.SM.5GU5Q	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.BG.A3EW.11A.22R.A22K.07
NDP	6.62	1.77	2.23	6.36	8.0	12.27	0.0	0.58	1.6	4.17	4.94	3.2	11.82	0.0	343.89	414.87	181.28	607.87	195.72	392.44	647.07	279.14	159.9	426.57	854.13	170.25	11.73	10.31	3.89	2.29	532.74
NIPSNAP3B	41.81	69.03	74.06	30.56	94.67	52.08	18.84	31.67	31.0	65.72	100.83	87.65	47.17	0.0	152.28	142.01	121.79	167.9	74.58	147.06	149.12	143.01	253.23	239.52	181.28	193.01	82.87	22.43	21.63	16.88	115.16
NLRP1	228.13	190.34	314.17	371.22	356.05	583.07	125.24	275.28	836.53	647.07	607.87	376.41	273.37	0.0	1143.1	808.0	723.08	1044.52	1135.2	1135.2	753.83	486.75	1781.89	1250.98	1233.75	1216.75	638.15	651.58	291.04	1015.93	1044.52
NME9	0.0	5.73	1.35	12.36	5.82	15.68	9.2	1.41	0.58	11.38	21.47	6.01	16.75	0.0	21.78	21.63	20.86	6.46	15.91	42.11	5.41	34.26	31.67	33.78	38.4	26.47	12.18	1.83	8.45	7.28	12.74
NPM2	0.92	12.36	5.77	39.79	75.11	47.5	19.11	45.53	10.16	18.16	14.89	23.93	13.22	0.0	358.54	395.18	753.83	98.04	191.67	420.68	96.01	223.41	182.55	59.13	336.79	329.84	34.26	22.43	4.74	8.51	175.07
NRN1L	7.57	13.22	21.16	10.24	10.31	19.68	4.31	19.11	21.78	5.19	24.11	23.59	17.64	0.0	51.35	58.71	55.49	20.56	35.5	42.41	37.85	25.35	48.87	34.51	53.95	74.06	14.89	16.03	19.11	7.75	35.76
NTN4	144.01	181.28	175.07	392.44	285.03	260.38	124.37	693.58	830.75	327.56	480.04	483.38	1519.15	0.0	1233.75	1216.75	1081.39	529.06	819.3	1594.73	525.39	1639.59	1322.37	450.94	1991.0	1467.37	521.76	87.03	490.14	223.41	633.73
NUMA1	3443.31	2758.13	4607.24	4123.49	3690.52	6381.92	1909.85	1583.71	1857.6	3716.2	5366.37	4802.93	3257.52	0.0	6699.25	6516.03	7331.05	2573.36	5751.61	7081.29	6337.83	5555.65	6337.83	6164.49	6983.79	6607.01	4358.66	3280.18	2956.17	3395.89	4512.4
OBSCN	43.63	90.77	48.18	158.79	118.43	244.57	31.9	81.14	22.92	400.71	500.46	376.41	148.09	0.0	521.76	438.59	171.45	420.68	339.14	208.38	126.12	258.57	325.29	74.58	521.76	429.54	182.55	273.37	130.6	167.9	182.55
OBSL1	1023.0	1030.12	988.12	941.27	780.44	1350.18	343.89	295.11	429.54	1277.29	1757.34	1794.29	1350.18	0.0	3018.3	2417.67	2178.83	1551.09	1806.78	2451.44	1977.24	1883.54	2468.49	1794.29	2367.9	2148.82	981.29	521.76	325.29	1059.11	2271.4
P4HTM	275.28	312.0	249.73	612.11	551.56	441.64	299.25	438.59	432.53	249.73	447.82	334.46	547.75	0.0	1259.69	1015.93	921.88	563.18	860.08	1191.69	878.17	1151.06	1295.13	1015.93	1199.98	1259.69	547.75	379.04	236.21	435.55	743.43
PACRG	7.63	12.36	53.19	25.91	20.56	38.67	13.83	16.51	33.06	7.57	13.32	14.56	22.92	0.0	112.77	78.34	89.51	33.78	47.5	140.04	74.06	131.51	94.67	37.32	148.09	94.01	39.5	14.03	7.88	4.7	52.82
PATZ1	320.8	209.84	555.41	500.46	429.54	591.22	223.41	189.02	175.07	255.0	283.05	232.94	417.77	0.0	974.5	954.43	1037.29	480.04	738.29	915.51	629.35	638.15	825.0	583.07	1059.11	1023.0	616.37	218.79	215.77	246.28	693.58
PCBP4	656.11	518.15	836.53	872.1	543.96	1183.45	525.39	769.69	808.0	638.15	860.08	915.51	1175.27	0.0	1651.0	1407.55	1388.16	1233.75	1199.98	1183.45	1008.9	1191.69	1268.46	1242.34	1487.87	1259.69	753.83	836.53	941.27	1331.57	1023.0
PCED1A	199.85	186.4	147.06	305.55	406.31	329.84	165.57	285.03	173.85	490.14	599.49	204.07	314.17	0.0	1295.13	954.43	1250.98	389.72	660.68	1151.06	368.65	688.78	954.43	420.68	848.22	995.0	387.02	246.28	105.15	305.55	587.13
PCSK4	32.82	10.24	14.67	36.79	45.53	34.02	10.71	21.94	14.24	37.85	44.89	51.71	31.9	0.0	130.6	79.45	97.36	28.04	63.45	89.51	30.56	54.33	50.27	82.87	109.66	64.8	56.68	61.25	8.92	29.48	22.43
PIGV	223.41	162.14	231.32	201.25	283.05	239.52	202.66	120.1	260.38	149.12	198.47	164.42	285.03	0.0	389.72	384.34	373.81	320.8	409.15	529.06	607.87	529.06	521.76	371.22	543.96	486.75	291.04	275.28	277.2	269.6	303.44
PLEKHH3	395.18	409.15	511.0	684.02	450.94	1008.9	293.07	417.77	199.85	684.02	483.38	379.04	318.57	0.0	1081.39	1369.04	1331.57	551.56	1250.98	1159.07	674.59	941.27	1331.57	1151.06	1745.2	1594.73	444.72	180.02	267.73	361.04	1088.92
PPM1M	656.11	432.53	559.28	540.19	638.15	674.59	351.14	587.13	420.68	607.87	947.83	708.18	638.15	0.0	1030.12	764.36	775.05	848.22	796.86	1159.07	825.0	825.0	1135.2	624.99	808.0	1216.75	769.69	759.08	723.08	728.11	915.51
PPP1R3E	163.28	163.28	176.29	186.4	253.23	246.28	45.85	99.43	72.01	281.09	264.03	262.2	206.94	0.0	460.44	392.44	392.44	218.79	267.73	373.81	283.05	327.56	346.29	346.29	414.87	358.54	299.25	76.17	72.52	150.17	353.59
PROCA1	28.24	21.47	13.72	59.97	37.32	41.81	7.11	31.22	23.93	43.02	39.5	34.02	41.22	0.0	126.12	87.65	84.63	46.5	55.1	124.37	33.78	65.26	109.66	50.63	111.99	120.1	46.18	21.32	10.79	32.59	76.71
PRRT1	120.1	96.01	237.86	316.37	353.59	669.92	70.01	187.71	88.88	255.0	444.72	389.72	271.48	0.0	473.41	356.05	361.04	325.29	346.29	567.1	262.2	314.17	473.41	341.51	551.56	599.49	325.29	195.72	236.21	373.81	327.56
RAB3D	158.79	100.83	221.86	248.0	262.2	392.44	158.79	165.57	87.65	262.2	251.48	206.94	323.03	336.79	363.56	406.31	444.72	264.03	426.57	450.94	432.53	457.25	353.59	258.57	490.14	441.64	249.73	249.73	525.39	376.41	258.57
RGL2	896.64	890.44	748.61	1030.12	896.64	1457.23	493.56	708.18	540.19	1583.71	1950.0	1697.45	1427.22	0.0	2777.33	1662.49	1242.34	1331.57	1909.85	1781.89	1073.91	1350.18	1487.87	1008.9	1605.83	1781.89	1143.1	624.99	559.28	995.0	1457.23
RGN	303.44	343.89	260.38	98.04	153.34	229.72	103.69	23.42	123.5	71.0	176.29	148.09	201.25	0.0	323.03	532.74	193.01	679.29	486.75	651.58	373.81	563.18	460.44	2255.7	521.76	486.75	108.9	120.94	26.86	441.64	206.94
RHBDD2	836.53	808.0	915.51	1208.34	1135.2	1008.9	629.35	1242.34	684.02	1175.27	785.88	733.19	1096.5	0.0	2502.97	2739.08	2682.69	1340.84	1991.0	2956.17	2976.74	2816.11	4038.61	2627.46	3018.3	3901.01	854.13	780.44	909.17	848.22	1135.2
RIBC1	24.11	30.12	23.59	28.65	36.53	34.26	5.96	18.97	24.28	23.93	17.25	35.0	43.63	0.0	78.89	76.71	101.54	50.63	52.45	82.87	57.08	80.01	73.03	56.28	102.97	95.34	27.64	41.52	8.32	19.39	66.18
RNF215	141.02	162.14	162.14	186.4	262.2	341.51	136.19	183.82	120.94	215.77	384.34	244.57	198.47	253.23	500.46	400.71	376.41	353.59	309.83	454.09	297.17	348.71	514.56	444.72	454.09	423.61	220.32	171.45	106.63	258.57	389.72
RP11-347C12.3	13.83	22.92	26.47	21.32	44.57	29.06	15.0	32.36	14.35	26.1	42.71	20.86	37.05	0.0	182.55	76.71	88.88	63.45	30.56	105.89	54.33	73.03	244.57	94.67	70.51	134.3	34.51	41.22	32.13	28.45	157.68
RP4-758J18.2	205.5	94.67	289.02	265.87	271.48	297.17	299.25	176.29	231.32	205.5	221.86	177.53	339.14	0.0	514.56	563.18	447.82	277.2	447.82	389.72	285.03	387.02	414.87	289.02	426.57	400.71	249.73	178.77	215.77	309.83	346.29
RRNAD1	441.64	264.03	447.82	518.15	638.15	674.59	366.09	540.19	316.37	426.57	497.0	476.71	532.74	0.0	1199.98	1277.29	1199.98	642.59	1066.48	1199.98	902.89	896.64	1167.14	1081.39	1340.84	1143.1	514.56	363.56	343.89	358.54	723.08
RTN4RL1	9.78	3.11	9.34	11.55	8.13	11.82	0.2	3.63	2.51	24.63	13.42	9.56	5.02	57.49	70.51	148.09	107.38	44.57	98.04	175.07	40.93	173.85	91.41	60.82	163.28	189.02	13.22	5.68	3.47	2.27	61.68
SCPEP1	1709.26	2209.26	1407.55	1250.98	2240.11	2335.28	967.76	848.22	1001.93	2400.97	2520.38	1651.0	947.83	2351.53	1977.24	2875.3	1844.76	1487.87	2997.45	2319.15	2895.31	2367.9	2573.36	2148.82	2796.65	3690.52	1769.57	1143.1	981.29	1685.71	1909.85
SCRN2	450.94	518.15	379.04	753.83	921.88	723.08	389.72	447.82	295.11	567.1	607.87	511.0	555.41	0.0	1594.73	1540.37	1529.73	728.11	1295.13	1651.0	1135.2	1216.75	2163.77	1037.29	1359.57	2032.85	551.56	514.56	248.0	785.88	1277.29
SIL1	909.17	1127.35	1081.39	718.08	848.22	813.63	503.95	693.58	1295.13	563.18	595.34	497.0	780.44	0.0	1781.89	1923.14	2997.45	842.36	1617.0	1844.76	2047.0	2537.92	1477.58	1233.75	1540.37	1594.73	780.44	819.3	551.56	400.71	1594.73
SIRT3	366.09	301.33	332.14	320.8	406.31	536.45	217.27	299.25	232.94	325.29	339.14	277.2	414.87	0.0	684.02	679.29	638.15	426.57	753.83	728.11	579.04	748.61	775.05	563.18	753.83	723.08	412.0	206.94	181.28	271.48	441.64
SIX5	397.93	239.52	595.34	559.28	444.72	1030.12	212.78	318.57	183.82	674.59	780.44	974.5	529.06	0.0	995.0	921.88	896.64	616.37	684.02	890.44	764.36	674.59	1023.0	579.04	921.88	974.5	559.28	334.46	420.68	483.38	866.07
SLC25A30	329.84	190.34	241.19	143.01	187.71	206.94	201.25	151.22	166.73	138.1	166.73	134.3	185.11	0.0	255.0	348.71	285.03	381.68	215.77	403.5	244.57	470.14	253.23	366.09	412.0	334.46	224.97	78.89	186.4	73.54	248.0
SLC27A1	173.85	134.3	251.48	242.88	277.2	438.59	84.63	172.65	85.22	281.09	305.55	295.11	336.79	223.41	743.43	934.76	1159.07	339.14	665.29	1030.12	500.46	551.56	878.17	493.56	836.53	981.29	285.03	244.57	143.01	246.28	444.72
SLC38A10	928.3	802.41	1208.34	1447.15	1073.91	1001.93	802.41	813.63	1286.18	1023.0	1551.09	1037.29	1250.98	954.43	2209.26	2104.58	2434.5	954.43	1819.35	1628.26	1199.98	1832.01	1745.2	1359.57	1757.34	2148.82	884.29	1001.93	995.0	1066.48	1350.18
SMKR1	0.0	3.92	1.35	10.63	9.06	7.4	4.28	1.27	0.0	4.98	8.19	5.19	11.47	0.0	75.64	29.06	46.84	24.99	29.06	66.65	31.9	28.24	35.76	8.85	74.58	46.84	21.78	4.9	0.0	10.24	29.91
SPTBN4	74.06	98.04	88.26	98.73	59.97	124.37	23.42	26.86	36.79	94.67	145.02	152.28	82.29	0.0	113.56	125.24	114.36	101.54	90.14	242.88	115.16	116.78	275.28	156.59	165.57	218.79	85.22	92.7	36.53	58.3	99.43
SSH3	500.46	373.81	651.58	825.0	638.15	759.08	571.05	500.46	493.56	860.08	961.07	1127.35	842.36	0.0	1674.06	1369.04	1369.04	1059.11	1662.49	1159.07	1096.5	1037.29	1697.45	1191.69	1594.73	1427.22	830.75	400.71	599.49	406.31	769.69
TAGLN	355624.68	301123.38	623486.02	485798.0	869603.57	3113270.58	184082.4	197294.7	345900.08	857631.47	677564.08	1703415.74	602247.76	0.0	288856.81	254974.66	195931.88	731246.37	279017.26	111755.56	691801.16	288856.81	73730.83	358098.26	174152.51	70238.75	561916.97	619179.28	585779.24	610654.84	411347.03
TCTN2	119.26	109.66	116.78	158.79	167.9	275.28	81.14	158.79	58.3	151.22	199.85	120.94	154.42	105.89	291.04	363.56	258.57	144.01	221.86	361.04	187.71	400.71	397.93	336.79	356.05	463.65	189.02	221.86	94.67	139.07	279.14
TGFB2	412.0	295.11	125.24	139.07	109.66	299.25	128.79	95.34	244.57	193.01	90.14	435.55	1143.1	0.0	536.45	656.11	476.71	941.27	283.05	551.56	1167.14	703.28	1175.27	447.82	356.05	884.29	293.07	157.68	76.17	132.44	198.47
THSD4	90.77	135.24	336.79	76.71	39.5	24.81	28.45	57.89	44.57	111.99	153.34	43.02	76.71	0.0	497.0	896.64	934.76	493.56	507.46	629.35	674.59	1081.39	463.65	392.44	438.59	830.75	67.59	51.35	353.59	32.59	466.88
TIGD5	30.12	29.06	65.72	115.16	96.68	111.99	108.9	50.98	55.49	108.14	111.21	81.71	142.01	0.0	187.71	156.59	187.71	96.68	127.89	175.07	132.44	87.65	232.94	133.36	176.29	194.36	81.71	112.77	115.16	110.43	98.04
TMEM200B	490.14	223.41	567.1	525.39	830.75	2090.03	348.71	301.33	299.25	400.71	500.46	669.92	334.46	0.0	981.29	974.5	890.44	1378.57	688.78	1487.87	1781.89	1151.06	896.64	1167.14	1127.35	567.1	796.86	84.63	312.0	124.37	713.11
TMEM42	193.01	105.15	205.5	223.41	334.46	339.14	91.41	224.97	271.48	228.13	236.21	158.79	334.46	0.0	896.64	579.04	595.34	612.11	603.67	1059.11	563.18	769.69	1051.79	312.0	1208.34	1167.14	327.56	156.59	164.42	164.42	525.39
TMEM9	866.07	872.1	1191.69	1199.98	1551.09	1745.2	679.29	884.29	860.08	974.5	1104.13	764.36	1350.18	4181.07	2915.45	2777.33	2591.27	1936.53	2018.8	3060.45	2537.92	3467.27	4123.49	2502.97	3325.99	3820.7	1250.98	753.83	748.61	764.36	3280.18
TMEM98	629.35	748.61	791.35	1304.15	1977.24	1037.29	941.27	420.68	1870.53	540.19	819.3	674.59	1832.01	0.0	2609.3	2627.46	2682.69	1250.98	1844.76	2520.38	1023.0	3168.41	2956.17	1167.14	2271.4	3103.19	1733.13	791.35	830.75	403.5	2400.97
TMUB2	791.35	612.11	733.19	819.3	813.63	808.0	547.75	591.22	633.73	902.89	872.1	934.76	819.3	0.0	1191.69	1175.27	1066.48	836.53	995.0	1143.1	836.53	1015.93	1427.22	878.17	1081.39	1313.23	854.13	764.36	543.96	703.28	1135.2
TRAPPC12	1259.69	1143.1	1369.04	1277.29	1359.57	1639.59	995.0	1259.69	941.27	1313.23	1037.29	967.76	1457.23	0.0	2018.8	2193.99	2255.7	1447.15	1651.0	1457.23	1733.13	1639.59	1923.14	1685.71	1857.6	2400.97	1369.04	947.83	616.37	995.0	1721.16
TSPAN9	389.72	400.71	480.04	507.46	400.71	679.29	275.28	220.32	180.02	785.88	693.58	450.94	435.55	0.0	890.44	1096.5	1030.12	567.1	651.58	1286.18	624.99	1096.5	1350.18	775.05	1191.69	1529.73	497.0	665.29	708.18	629.35	1008.9
TTC34	0.91	1.35	0.91	3.82	3.03	5.87	2.14	0.74	0.0	5.06	4.03	1.27	2.63	0.0	23.76	19.82	10.71	5.5	15.68	8.0	17.51	11.82	16.51	17.38	14.14	19.11	4.98	6.89	0.78	1.99	6.41
TVP23A	9.7	20.86	5.32	15.22	23.59	30.78	13.12	8.19	8.51	17.64	18.43	21.16	21.01	0.0	100.13	108.9	82.29	137.14	37.05	121.79	61.68	84.04	167.9	72.52	73.03	110.43	27.44	49.56	4.39	21.94	56.68
TYSND1	116.78	74.58	112.77	175.07	190.34	148.09	123.5	124.37	96.68	277.2	94.01	94.67	137.14	314.17	395.18	412.0	409.15	195.72	343.89	366.09	267.73	323.03	397.93	223.41	423.61	384.34	175.07	81.71	68.07	107.38	223.41
UPK3BL	376.41	78.34	231.32	438.59	414.87	684.02	457.25	629.35	234.57	1233.75	309.83	567.1	708.18	444.72	1498.22	1259.69	1037.29	559.28	1487.87	2163.77	878.17	2591.27	2133.97	723.08	1844.76	1572.76	187.71	583.07	406.31	1331.57	409.15
VPS37D	31.45	25.91	53.57	63.89	51.35	167.9	39.22	32.59	35.5	37.32	38.12	38.12	76.71	0.0	143.01	147.06	189.02	110.43	101.54	267.73	53.95	163.28	271.48	133.36	214.27	277.2	86.43	48.52	34.02	39.22	138.1
WDR5B	29.48	8.85	52.82	53.95	67.59	51.35	31.45	42.71	29.7	36.27	58.3	32.59	62.56	0.0	102.97	105.89	106.63	73.03	61.25	118.43	56.28	100.83	98.04	70.01	147.06	126.12	76.17	28.24	35.5	32.13	48.87
ZNF334	28.86	27.44	20.41	26.67	40.36	66.18	0.46	8.78	2.58	21.94	50.63	35.0	65.26	0.0	150.17	175.07	162.14	77.25	148.09	206.94	115.97	138.1	176.29	99.43	221.86	297.17	61.25	26.67	0.0	6.16	75.64
ZNF517	153.34	100.83	211.31	176.29	151.22	258.57	94.67	80.01	102.25	155.5	232.94	256.78	209.84	0.0	343.89	384.34	267.73	208.38	291.04	353.59	289.02	262.2	381.68	281.09	368.65	373.81	178.77	148.09	150.17	218.79	303.44
ZNF599	54.72	33.54	56.28	92.7	114.36	155.5	61.25	89.51	40.36	106.63	152.28	87.65	181.28	0.0	277.2	194.36	215.77	143.01	198.47	305.55	237.86	289.02	341.51	224.97	339.14	339.14	116.78	77.25	81.14	147.06	173.85
ZNF683	1.79	0.89	4.39	17.9	8.13	1.71	0.0	0.0	9.93	4.13	0.69	4.1	1.16	0.0	40.64	55.49	13.83	17.64	39.22	40.36	7.4	84.63	24.11	22.59	24.99	10.96	1.79	11.55	7.4	0.0	40.07
ZNF75D	84.63	68.07	117.6	120.1	123.5	136.19	77.79	63.45	72.52	123.5	180.02	126.12	101.54	0.0	206.94	209.84	175.07	173.85	279.14	167.9	154.42	176.29	204.07	201.25	287.01	215.77	172.65	68.55	62.12	111.21	182.55
ZNF816	61.25	23.76	94.67	176.29	101.54	124.37	68.55	75.11	44.25	71.0	78.34	54.33	40.93	0.0	232.94	277.2	283.05	171.45	169.07	301.33	125.24	267.73	260.38	161.02	363.56	329.84	182.55	70.01	82.87	61.25	118.43
ZNF839	125.24	82.29	178.77	187.71	193.01	232.94	81.14	64.8	111.21	165.57	206.94	150.17	218.79	0.0	329.84	395.18	295.11	234.57	327.56	305.55	264.03	293.07	314.17	215.77	397.93	353.59	209.84	116.78	45.85	111.99	267.73
ZSCAN1	2.23	2.66	0.0	4.5	4.24	2.12	0.0	0.0	2.01	5.82	15.22	1.93	6.67	0.0	43.94	37.32	38.4	5.68	43.63	50.27	11.73	51.35	14.24	26.28	26.1	18.29	8.51	7.17	1.77	3.03	6.01
ZSCAN2	81.71	74.58	152.28	115.16	142.01	178.77	91.41	53.95	48.18	57.89	81.14	70.51	165.57	0.0	182.55	223.41	229.72	120.1	144.01	232.94	197.09	164.42	241.19	180.02	232.94	255.0	144.01	57.89	51.35	94.67	149.12
