	GTEX.TMMY.1526.SM.4DXST	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1NF.11A.73R.A14D.07	GTEX.13CF3.2126.SM.5IFJP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.RWSA.2026.SM.47JX8	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.13X6H.1626.SM.5Q5CT	GTEX.1339X.1426.SM.5K7YO	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J
ZBTB8B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	1.03	1.95	0.96	0.68	0.36	2.61	0.66	1.95	1.38	1.46	0.35	0.67	0.68	0.66	1.41	2.41	1.33	1.69	1.03	2.46	1.36	1.73	0.66	1.33	0.99	1.68	2.1	1.91	0.35	5.45	1.58	0.67	1.48	1.77	1.1	0.31	0.33	0.46	0.0	0.0	0.43	0.0
ZNF19	36.01	16.88	42.11	22.59	38.95	43.94	48.87	33.54	0.0	0.2	68.55	90.14	98.04	102.25	110.43	52.08	111.21	78.34	146.03	69.03	107.38	101.54	77.25	78.89	55.49	73.03	116.78	90.14	75.11	88.88	64.34	88.88	86.43	108.9	81.71	86.43	111.99	123.5	73.54	80.57	190.34	95.34	63.45	127.0	100.13	83.45	56.28	73.54	53.19	36.53	20.86	40.93	33.06
ZNF300	10.96	45.53	43.02	31.45	59.13	25.72	41.52	8.32	0.0	0.68	83.45	106.63	73.03	33.06	111.99	74.06	128.79	67.59	105.89	43.02	52.82	69.52	86.43	48.18	77.25	78.34	149.12	74.06	69.03	72.52	92.7	76.17	37.05	92.7	46.84	71.5	79.45	115.97	40.07	146.03	134.3	47.5	59.13	185.11	95.34	55.1	47.17	46.18	14.45	21.01	8.78	9.63	43.32
ZNF334	13.72	3.03	23.93	28.86	49.56	81.71	49.56	16.27	0.0	0.43	127.89	201.25	215.77	75.64	204.07	140.04	249.73	115.97	220.32	104.42	255.0	190.34	171.45	127.89	121.79	164.42	297.17	223.41	164.42	143.01	194.36	136.19	97.36	185.11	158.79	171.45	226.54	334.46	104.42	38.95	583.07	146.03	125.24	511.0	130.6	332.14	150.17	67.59	6.94	2.84	1.66	1.41	10.88
ZNF385C	9.2	5.02	7.51	9.7	9.78	14.14	14.24	6.84	0.0	0.13	48.18	62.12	80.57	50.27	74.58	29.48	60.39	50.98	49.56	63.89	57.08	41.81	28.65	71.5	75.64	66.18	103.69	30.34	53.19	57.08	77.25	34.75	49.91	49.56	61.68	58.71	44.25	53.95	15.68	14.24	114.36	33.3	44.89	91.41	65.26	194.36	59.97	27.05	8.13	5.77	9.85	1.57	2.34
ZNF439	33.3	32.13	87.65	57.49	43.63	35.76	36.01	23.08	0.0	0.53	49.21	149.12	97.36	43.63	127.89	162.14	119.26	96.68	105.89	67.59	135.24	113.56	140.04	92.7	89.51	110.43	127.0	92.05	127.0	120.1	108.9	132.44	45.21	127.0	86.43	100.83	84.04	166.73	72.01	29.06	381.68	84.04	68.55	145.02	64.34	50.27	49.56	49.56	39.5	62.12	16.88	29.7	64.8
ZNF606	87.65	54.72	64.8	40.93	67.59	68.55	102.25	37.59	0.0	0.44	229.72	248.0	244.57	130.6	244.57	277.2	279.14	279.14	208.38	175.07	351.14	183.82	172.65	181.28	190.34	205.5	343.89	303.44	208.38	176.29	172.65	175.07	135.24	201.25	177.53	223.41	182.55	277.2	182.55	159.9	256.78	205.5	236.21	287.01	226.54	147.06	125.24	132.44	27.25	29.27	26.1	26.67	71.0
ZNF662	31.0	18.56	62.56	59.55	65.72	65.26	98.73	23.08	0.0	0.53	97.36	223.41	194.36	88.88	173.85	118.43	142.01	115.16	223.41	96.01	194.36	98.04	109.66	90.14	166.73	126.12	218.79	208.38	103.69	71.0	172.65	94.67	80.57	105.15	111.21	104.42	180.02	260.38	55.89	67.59	915.51	99.43	66.65	371.22	111.99	155.5	85.22	45.85	42.41	65.26	26.67	28.04	82.87
ZNF69	55.89	50.98	94.01	140.04	100.83	102.97	73.54	72.01	0.0	0.27	144.01	209.84	156.59	100.13	142.01	87.65	183.82	116.78	142.01	147.06	141.02	175.07	151.22	150.17	133.36	127.89	209.84	139.07	177.53	175.07	126.12	183.82	115.16	214.27	148.09	183.82	209.84	191.67	115.97	104.42	271.48	137.14	176.29	178.77	162.14	122.64	146.03	83.45	18.56	13.12	27.84	17.25	30.12
ZNF76	389.72	314.17	507.46	387.02	305.55	353.59	500.46	291.04	0.0	0.78	884.29	981.29	954.43	633.73	878.17	854.13	954.43	890.44	981.29	791.35	961.07	476.71	669.92	571.05	769.69	748.61	1135.2	884.29	629.35	796.86	1023.0	607.87	583.07	796.86	665.29	802.41	698.41	909.17	579.04	656.11	1001.93	647.07	669.92	796.86	698.41	896.64	775.05	525.39	301.33	271.48	253.23	285.03	264.03
ZNF839	135.24	91.41	178.77	125.24	120.1	226.54	169.07	120.94	0.0	0.36	299.25	384.34	397.93	244.57	384.34	297.17	389.72	297.17	334.46	309.83	400.71	267.73	202.66	249.73	351.14	329.84	429.54	366.09	289.02	275.28	387.02	228.13	281.09	255.0	271.48	275.28	332.14	283.05	159.9	181.28	314.17	277.2	260.38	281.09	255.0	423.61	271.48	211.31	124.37	115.16	53.57	68.07	152.28
