	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.PWN1.0726.SM.48TDR	GTEX.13OVG.0926.SM.5J2OJ	GTEX.TKQ2.1226.SM.4DXSV	GTEX.1399R.0726.SM.5KM2A	TCGA.AG.3732.11A.01R.1660.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.D7.8574.01A.13R.2343.13	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
PIGU	363.56	450.94	463.65	518.15	379.04	376.41	264.03	229.72	128.79	205.5	348.71	334.46	406.31	435.55	316.37	503.95	514.56	551.56	444.72	348.71	332.14	381.68	563.18	376.41	264.03	291.04	392.44	285.03	277.2	301.33	206.94	536.45	220.32	297.17	293.07	277.2	232.94	332.14	234.57	507.46	231.32
POLH	109.66	251.48	536.45	348.71	106.63	117.6	115.16	40.07	91.41	103.69	140.04	138.1	131.51	212.78	198.47	232.94	239.52	366.09	234.57	215.77	159.9	206.94	316.37	116.78	84.63	115.97	118.43	115.16	116.78	136.19	122.64	267.73	34.51	86.43	64.34	139.07	117.6	220.32	98.73	134.3	102.25
PRODH2	0.0	0.4	0.3	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	3.86	0.0	10.39	0.0	2.34	4.9	9.2	8.0	9.93	5.82	3.59	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	2.97	0.0	0.0	0.0
PRRC1	325.29	896.64	1313.23	1044.52	518.15	389.72	242.88	277.2	318.57	356.05	525.39	486.75	651.58	813.63	656.11	1015.93	647.07	872.1	825.0	647.07	486.75	764.36	830.75	414.87	291.04	341.51	297.17	297.17	277.2	387.02	264.03	497.0	193.01	228.13	285.03	450.94	358.54	470.14	244.57	579.04	186.4
PRRX1	102.25	1073.91	1844.76	2682.69	170.25	117.6	323.03	466.88	118.43	63.89	384.34	796.86	242.88	753.83	420.68	860.08	1119.56	1216.75	780.44	872.1	336.79	1008.9	1119.56	651.58	356.05	356.05	224.97	211.31	125.24	384.34	220.32	830.75	181.28	253.23	126.12	193.01	177.53	291.04	129.69	149.12	114.36
PTPLAD1	629.35	1143.1	5041.77	1685.71	642.59	507.46	273.37	279.14	318.57	279.14	559.28	567.1	674.59	1037.29	674.59	830.75	934.76	1191.69	981.29	651.58	599.49	854.13	921.88	587.13	395.18	426.57	414.87	497.0	384.34	447.82	356.05	665.29	316.37	314.17	444.72	429.54	395.18	387.02	373.81	738.29	389.72
QSER1	46.84	325.29	466.88	358.54	126.12	115.16	86.43	77.79	75.11	80.01	130.6	141.02	162.14	281.09	231.32	253.23	258.57	334.46	204.07	273.37	185.11	253.23	248.0	95.34	85.82	88.26	71.5	139.07	117.6	156.59	105.15	161.02	52.82	44.89	57.08	89.51	91.41	100.83	136.19	177.53	73.54
RASA2	67.12	406.31	316.37	305.55	152.28	111.21	130.6	103.69	79.45	100.13	148.09	130.6	218.79	277.2	166.73	215.77	242.88	480.04	195.72	279.14	175.07	221.86	312.0	199.85	99.43	93.35	76.17	118.43	90.14	124.37	92.7	162.14	64.34	68.07	58.3	108.14	82.29	135.24	84.04	120.94	94.67
RBM12B	52.82	358.54	363.56	287.01	133.36	133.36	67.12	91.41	53.95	117.6	158.79	165.57	178.77	249.73	146.03	262.2	197.09	297.17	190.34	289.02	153.34	267.73	206.94	152.28	88.26	76.71	62.56	76.17	95.34	105.89	61.68	101.54	56.28	37.32	51.35	129.69	133.36	84.04	52.82	139.07	76.71
REPS1	460.44	780.44	954.43	753.83	493.56	521.76	384.34	457.25	500.46	447.82	463.65	591.22	607.87	713.11	638.15	603.67	669.92	830.75	612.11	599.49	651.58	591.22	934.76	525.39	366.09	343.89	361.04	289.02	271.48	287.01	358.54	332.14	295.11	242.88	295.11	466.88	309.83	343.89	376.41	397.93	376.41
RFTN2	12.74	75.11	167.9	120.1	40.07	98.04	75.11	15.68	21.63	36.01	57.49	69.52	98.04	183.82	71.0	85.82	151.22	68.07	92.05	108.14	42.41	103.69	152.28	106.63	24.81	62.56	58.3	26.86	17.9	64.34	55.49	54.33	18.29	33.54	31.9	47.17	27.25	47.5	37.85	56.68	35.5
RFX7	45.21	281.09	295.11	271.48	91.41	108.9	77.25	57.49	67.59	69.03	97.36	111.99	148.09	297.17	198.47	163.28	237.86	381.68	190.34	242.88	157.68	209.84	260.38	127.0	132.44	92.7	52.45	98.04	61.68	111.99	87.03	147.06	28.45	39.79	57.89	109.66	84.04	70.01	111.21	149.12	55.1
RIMBP3B	0.0	2.2	4.06	0.39	0.0	0.0	0.0	0.0	0.0	0.89	5.5	1.46	0.0	4.78	1.81	4.94	4.28	5.82	0.38	3.53	0.44	4.28	2.12	1.2	0.0	1.89	3.03	1.22	0.66	0.0	0.62	7.34	0.0	0.64	0.0	0.66	3.79	0.0	0.0	1.81	0.0
RNF219	138.1	271.48	262.2	325.29	127.89	159.9	109.66	68.07	107.38	117.6	165.57	150.17	206.94	173.85	201.25	195.72	178.77	183.82	167.9	151.22	166.73	158.79	191.67	185.11	115.97	101.54	85.22	80.57	81.71	106.63	117.6	154.42	55.89	88.26	76.17	148.09	110.43	118.43	75.64	171.45	130.6
RP11-111M22.2	15.8	65.26	119.26	73.54	43.02	55.89	18.7	10.96	5.92	12.36	57.89	33.78	56.68	45.21	37.85	54.72	42.71	63.0	60.82	44.57	42.71	51.35	73.54	27.05	8.51	15.0	7.63	14.45	10.31	13.32	12.36	34.51	1.45	3.38	10.39	34.02	13.12	10.16	3.0	24.28	12.93
RRP1B	271.48	460.44	327.56	392.44	253.23	269.6	209.84	224.97	211.31	144.01	214.27	221.86	256.78	507.46	279.14	397.93	447.82	511.0	447.82	412.0	301.33	409.15	423.61	206.94	244.57	260.38	165.57	256.78	186.4	299.25	237.86	287.01	253.23	395.18	209.84	242.88	267.73	260.38	297.17	332.14	239.52
SAAL1	226.54	346.29	334.46	397.93	251.48	236.21	176.29	173.85	151.22	154.42	215.77	228.13	283.05	246.28	193.01	363.56	182.55	376.41	258.57	144.01	236.21	209.84	239.52	289.02	177.53	171.45	162.14	128.79	173.85	153.34	176.29	236.21	116.78	147.06	191.67	281.09	180.02	248.0	171.45	181.28	223.41
SBK1	0.0	108.14	94.01	40.64	9.13	7.11	4.66	2.86	4.74	2.63	7.63	40.36	8.32	26.28	10.47	18.84	39.22	111.99	80.01	37.85	9.27	15.8	120.1	3.76	2.63	2.27	1.77	3.47	2.58	1.91	4.35	8.38	2.68	2.73	4.06	2.89	0.47	1.41	8.32	6.57	3.11
SCAI	21.47	80.01	150.17	152.28	44.57	69.03	110.43	40.07	27.05	40.64	90.14	126.12	94.01	117.6	94.67	103.69	114.36	147.06	85.82	140.04	97.36	121.79	161.02	100.13	40.36	62.56	45.53	57.89	42.11	50.98	52.82	162.14	34.02	34.75	34.75	78.89	42.41	66.18	64.34	74.06	29.91
SCAMP5	40.36	271.48	305.55	218.79	127.89	130.6	59.55	102.25	119.26	57.89	109.66	202.66	127.0	181.28	102.97	246.28	373.81	162.14	289.02	221.86	111.21	312.0	591.22	89.51	90.14	81.71	77.25	62.12	19.97	75.64	76.17	143.01	81.14	45.85	68.07	49.91	39.79	20.56	100.13	175.07	56.28
SIPA1L3	71.0	314.17	423.61	327.56	215.77	44.25	50.63	96.01	76.17	71.0	175.07	189.02	194.36	961.07	180.02	423.61	595.34	1104.13	514.56	525.39	236.21	346.29	842.36	142.01	101.54	106.63	80.01	185.11	129.69	124.37	96.01	148.09	127.89	126.12	108.9	170.25	127.89	146.03	139.07	260.38	146.03
SLC40A1	128.79	1709.26	31870.96	5219.6	713.11	239.52	239.52	146.03	258.57	241.19	819.3	1119.56	1015.93	3235.01	616.37	1551.09	2956.17	3443.31	1819.35	2468.49	934.76	1378.57	2104.58	995.0	197.09	497.0	579.04	289.02	255.0	665.29	748.61	1508.65	125.24	102.97	356.05	624.99	426.57	183.82	118.43	2485.67	193.01
SLFN11	189.02	660.68	397.93	1037.29	279.14	341.51	334.46	381.68	115.97	124.37	305.55	236.21	361.04	547.75	182.55	403.5	466.88	703.28	547.75	591.22	205.5	529.06	688.78	343.89	190.34	318.57	226.54	351.14	190.34	587.13	234.57	769.69	435.55	361.04	205.5	127.89	409.15	497.0	146.03	241.19	118.43
SLX4	37.85	86.43	69.03	80.57	54.33	84.63	53.57	52.08	30.12	43.94	79.45	71.5	52.45	143.01	72.52	100.83	105.89	167.9	105.89	102.97	73.03	92.05	122.64	61.25	25.91	38.12	31.0	48.18	56.68	48.18	28.86	73.54	38.12	28.86	25.72	38.67	50.98	53.57	45.53	58.3	39.5
SMCO4	587.13	854.13	1199.98	1096.5	363.56	127.0	99.43	291.04	178.77	137.14	318.57	336.79	332.14	555.41	248.0	759.08	890.44	995.0	587.13	532.74	595.34	381.68	1066.48	796.86	265.87	595.34	463.65	204.07	325.29	567.1	486.75	536.45	273.37	470.14	575.03	285.03	629.35	206.94	406.31	525.39	406.31
SMG7	305.55	813.63	941.27	896.64	713.11	656.11	476.71	518.15	438.59	518.15	674.59	656.11	651.58	830.75	723.08	733.19	775.05	1340.84	759.08	878.17	698.41	830.75	698.41	514.56	273.37	490.14	234.57	802.41	540.19	555.41	392.44	571.05	397.93	287.01	265.87	521.76	665.29	540.19	514.56	738.29	507.46
SNRNP48	75.11	190.34	241.19	249.73	151.22	153.34	122.64	103.69	96.01	114.36	166.73	194.36	190.34	190.34	161.02	193.01	148.09	191.67	198.47	142.01	187.71	180.02	206.94	149.12	71.0	90.14	61.25	89.51	73.54	135.24	96.01	128.79	59.13	53.95	63.45	106.63	95.34	104.42	76.17	155.5	80.57
SPICE1	72.01	171.45	361.04	249.73	96.01	173.85	127.89	148.09	85.22	141.02	135.24	138.1	176.29	229.72	166.73	163.28	194.36	232.94	198.47	158.79	112.77	158.79	167.9	267.73	97.36	81.14	88.26	134.3	141.02	162.14	126.12	169.07	85.22	64.34	113.56	85.22	152.28	147.06	132.44	211.31	68.55
SPRN	28.24	41.81	44.25	24.99	36.79	32.59	29.7	22.26	22.1	36.53	29.48	73.03	31.22	87.65	31.67	74.58	60.82	106.63	72.52	67.12	46.18	47.5	100.13	18.29	16.75	14.14	14.78	21.16	14.35	15.11	12.18	15.34	17.51	11.73	9.63	13.32	12.64	17.13	9.06	21.63	13.62
SRD5A1	47.84	189.02	176.29	205.5	84.63	85.22	40.93	47.17	56.68	45.21	89.51	72.52	131.51	132.44	50.27	102.25	271.48	187.71	146.03	163.28	77.79	156.59	212.78	141.02	72.01	78.89	47.17	81.14	52.08	51.71	61.25	104.42	44.57	44.57	59.55	108.9	63.0	88.88	62.56	141.02	51.71
ST7	503.95	384.34	563.18	543.96	314.17	397.93	283.05	307.69	314.17	334.46	529.06	536.45	384.34	543.96	412.0	525.39	480.04	514.56	460.44	403.5	476.71	403.5	463.65	490.14	363.56	291.04	341.51	387.02	346.29	289.02	332.14	444.72	265.87	224.97	323.03	363.56	295.11	373.81	279.14	457.25	293.07
STAM2	154.42	368.65	854.13	529.06	277.2	212.78	208.38	164.42	142.01	218.79	287.01	316.37	379.04	493.56	457.25	432.53	389.72	460.44	486.75	466.88	361.04	473.41	363.56	285.03	198.47	191.67	171.45	232.94	180.02	236.21	183.82	295.11	137.14	113.56	199.85	221.86	258.57	218.79	180.02	271.48	186.4
STON2	14.14	166.73	941.27	403.5	67.12	38.12	38.95	49.56	34.51	16.51	61.25	89.51	63.0	181.28	38.67	96.68	121.79	165.57	82.29	164.42	40.64	150.17	166.73	128.79	60.82	63.0	39.22	46.84	20.11	50.63	69.03	87.03	31.9	11.82	14.24	48.87	46.5	34.51	29.06	95.34	30.12
STT3A	1151.06	2976.74	4419.52	4095.0	1561.89	1447.15	872.1	902.89	825.0	796.86	1286.18	1359.57	1709.26	1674.06	1295.13	1870.53	1950.0	1529.73	1733.13	1674.06	1417.35	1697.45	1977.24	1268.46	981.29	1183.45	1151.06	1350.18	878.17	1340.84	928.3	1508.65	825.0	954.43	1088.92	1001.93	1175.27	1208.34	896.64	1709.26	961.07
SWT1	38.67	112.77	208.38	178.77	50.63	76.71	36.79	36.27	39.22	45.21	71.5	72.01	88.88	105.15	92.05	76.17	96.01	108.14	107.38	76.71	84.04	82.29	121.79	53.95	41.22	49.56	31.67	51.71	38.95	49.91	43.94	55.1	31.67	22.75	45.85	52.82	47.17	56.68	43.94	57.08	35.76
TBC1D31	55.49	120.1	141.02	102.25	56.28	55.89	45.21	23.76	22.59	36.53	65.72	85.22	70.51	124.37	59.13	136.19	102.25	175.07	75.64	111.99	78.34	85.82	112.77	50.98	19.25	49.91	42.41	40.64	49.91	54.72	45.53	70.51	13.83	17.64	45.21	49.56	37.05	41.81	57.49	72.52	27.25
TCF4	94.01	836.53	988.12	1457.23	486.75	878.17	403.5	384.34	209.84	236.21	490.14	500.46	836.53	1304.15	830.75	603.67	1191.69	988.12	941.27	1313.23	688.78	1191.69	941.27	1216.75	796.86	679.29	441.64	688.78	435.55	759.08	420.68	1059.11	409.15	255.0	420.68	718.08	483.38	579.04	473.41	842.36	412.0
TLR3	37.85	140.04	435.55	802.41	104.42	186.4	64.34	17.77	30.12	9.7	215.77	96.68	220.32	111.21	239.52	148.09	178.77	120.1	128.79	146.03	126.12	189.02	81.14	583.07	156.59	167.9	126.12	231.32	82.87	389.72	72.01	1697.45	37.85	53.95	98.73	336.79	120.94	96.68	61.25	329.84	84.04
TLR7	2.18	129.69	223.41	121.79	9.13	6.36	4.13	9.06	3.63	0.8	23.93	10.08	27.64	60.82	16.75	52.08	87.03	71.0	50.98	69.03	14.67	44.25	102.25	3.79	2.86	7.51	0.0	12.55	5.06	36.27	1.75	68.55	1.81	13.62	3.79	29.91	6.11	4.03	4.98	40.36	6.11
TMEM133	18.03	108.9	127.89	148.09	143.01	55.89	60.82	116.78	73.54	38.67	144.01	68.07	118.43	285.03	208.38	155.5	249.73	255.0	142.01	150.17	167.9	178.77	119.26	176.29	77.25	42.11	62.12	94.67	105.89	70.01	49.21	101.54	37.59	69.52	45.53	215.77	57.49	88.26	27.44	111.99	41.52
TMEM140	194.36	703.28	718.08	1313.23	447.82	507.46	246.28	361.04	320.8	291.04	435.55	540.19	518.15	540.19	358.54	497.0	599.49	638.15	426.57	571.05	403.5	555.41	575.03	698.41	312.0	638.15	447.82	291.04	279.14	547.75	417.77	764.36	186.4	255.0	373.81	551.56	406.31	334.46	264.03	587.13	309.83
TMEM41A	171.45	348.71	426.57	387.02	236.21	231.32	102.25	165.57	211.31	163.28	171.45	232.94	241.19	265.87	143.01	454.09	318.57	279.14	356.05	267.73	295.11	339.14	356.05	249.73	144.01	239.52	170.25	148.09	148.09	220.32	221.86	217.27	157.68	183.82	152.28	239.52	221.86	158.79	150.17	343.89	226.54
TRIM14	111.21	748.61	454.09	417.77	269.6	117.6	156.59	115.16	109.66	47.84	215.77	165.57	285.03	748.61	255.0	432.53	503.95	1259.69	426.57	591.22	281.09	392.44	660.68	267.73	470.14	211.31	309.83	327.56	346.29	414.87	244.57	473.41	248.0	209.84	279.14	255.0	262.2	287.01	195.72	543.96	293.07
TRIM2	115.16	660.68	647.07	780.44	473.41	275.28	165.57	119.26	186.4	151.22	460.44	432.53	563.18	764.36	595.34	629.35	591.22	521.76	769.69	647.07	679.29	764.36	748.61	525.39	363.56	214.27	170.25	329.84	289.02	371.22	273.37	441.64	190.34	123.5	173.85	438.59	309.83	205.5	202.66	376.41	242.88
TRIM5	273.37	444.72	587.13	486.75	249.73	346.29	223.41	167.9	140.04	125.24	287.01	376.41	346.29	400.71	217.27	389.72	450.94	684.02	379.04	346.29	316.37	353.59	507.46	303.44	178.77	156.59	215.77	242.88	201.25	260.38	121.79	376.41	95.34	155.5	156.59	195.72	158.79	318.57	146.03	221.86	143.01
TTC5	94.67	289.02	395.18	368.65	136.19	110.43	94.67	67.12	61.68	61.68	99.43	118.43	156.59	199.85	93.35	178.77	242.88	204.07	162.14	144.01	102.97	211.31	190.34	159.9	68.55	105.15	105.89	84.63	95.34	127.0	118.43	162.14	68.55	92.05	111.99	127.0	147.06	102.97	86.43	153.34	81.71
UBE2Z	775.05	1883.54	2104.58	1437.15	1175.27	1151.06	974.5	1127.35	921.88	1008.9	1044.52	1066.48	1199.98	1540.37	1023.0	1151.06	1508.65	1369.04	1191.69	1498.22	1250.98	1498.22	1639.59	1037.29	708.18	967.76	830.75	1066.48	830.75	896.64	780.44	1331.57	866.07	1167.14	947.83	1030.12	1001.93	988.12	890.44	1135.2	934.76
UBFD1	244.57	651.58	759.08	607.87	457.25	551.56	529.06	447.82	334.46	444.72	500.46	571.05	466.88	607.87	603.67	612.11	665.29	583.07	620.67	665.29	642.59	780.44	703.28	476.71	336.79	420.68	346.29	595.34	457.25	409.15	457.25	567.1	397.93	371.22	441.64	540.19	591.22	555.41	497.0	571.05	470.14
UBN2	21.94	142.01	195.72	175.07	90.14	94.01	85.82	64.34	49.21	101.54	128.79	129.69	110.43	176.29	128.79	137.14	133.36	165.57	148.09	152.28	124.37	156.59	150.17	109.66	65.72	70.01	50.98	75.64	73.54	85.22	75.64	118.43	52.08	22.75	36.53	106.63	122.64	89.51	84.04	108.9	68.07
VPS35	1143.1	1487.87	2047.0	2240.11	860.08	988.12	1037.29	748.61	769.69	775.05	1127.35	1242.34	1175.27	1369.04	981.29	1199.98	995.0	1119.56	1457.23	961.07	1127.35	1059.11	1044.52	1417.35	941.27	974.5	1096.5	1191.69	1088.92	1119.56	830.75	1508.65	599.49	872.1	1167.14	1119.56	1023.0	1030.12	1073.91	1721.16	915.51
WDR89	105.89	329.84	312.0	303.44	115.97	102.97	75.11	98.73	64.8	57.89	100.83	108.9	181.28	164.42	137.14	232.94	169.07	224.97	123.5	123.5	147.06	119.26	177.53	128.79	84.63	92.7	111.99	83.45	69.03	119.26	79.45	137.14	60.82	100.13	68.07	100.83	113.56	97.36	65.72	139.07	89.51
XPO7	361.04	775.05	1059.11	1073.91	518.15	575.03	511.0	429.54	420.68	435.55	684.02	819.3	642.59	769.69	830.75	764.36	854.13	836.53	713.11	769.69	633.73	808.0	708.18	493.56	343.89	457.25	285.03	802.41	483.38	587.13	353.59	733.19	209.84	215.77	334.46	738.29	543.96	551.56	447.82	848.22	406.31
ZBTB14	149.12	387.02	559.28	409.15	167.9	264.03	153.34	115.16	148.09	135.24	318.57	291.04	341.51	325.29	325.29	253.23	229.72	470.14	264.03	309.83	229.72	303.44	325.29	205.5	120.1	185.11	127.0	129.69	133.36	206.94	121.79	293.07	68.07	69.03	109.66	228.13	125.24	134.3	88.26	229.72	141.02
ZEB2	647.07	693.58	599.49	1081.39	559.28	599.49	543.96	438.59	307.69	178.77	679.29	665.29	1015.93	1540.37	567.1	780.44	1340.84	1331.57	866.07	1242.34	490.14	947.83	1127.35	1233.75	273.37	595.34	244.57	587.13	289.02	819.3	312.0	872.1	476.71	327.56	289.02	476.71	320.8	518.15	242.88	432.53	204.07
ZFP14	43.94	123.5	171.45	144.01	38.12	62.12	48.18	27.25	29.91	26.67	92.05	94.01	95.34	111.21	97.36	111.99	114.36	162.14	101.54	94.67	95.34	87.03	199.85	119.26	27.25	37.85	39.22	55.49	34.02	54.33	52.82	96.68	6.73	13.83	24.81	87.03	69.03	46.5	18.43	85.82	40.64
ZMYM1	61.25	204.07	176.29	211.31	83.45	132.44	108.9	61.25	62.12	74.06	164.42	108.9	143.01	223.41	215.77	237.86	242.88	309.83	217.27	221.86	191.67	232.94	295.11	161.02	115.16	107.38	88.88	159.9	105.89	143.01	87.65	182.55	55.49	50.98	68.07	114.36	116.78	127.0	85.22	175.07	79.45
ZNF138	48.52	239.52	320.8	318.57	74.06	68.55	35.25	29.91	45.53	53.19	93.35	91.41	99.43	152.28	129.69	100.13	121.79	241.19	120.94	119.26	88.26	102.97	232.94	126.12	52.08	57.49	32.82	59.13	57.08	93.35	49.56	78.34	47.84	25.91	40.93	84.04	67.12	63.0	37.32	65.26	53.19
ZNF184	28.24	215.77	217.27	206.94	55.49	61.68	43.02	42.41	44.57	36.01	88.26	63.45	98.73	128.79	84.63	95.34	106.63	136.19	129.69	80.01	71.5	105.89	119.26	118.43	52.45	62.12	46.84	55.89	37.85	67.59	47.84	105.89	21.16	30.34	38.12	72.52	66.18	54.72	31.22	92.05	61.68
ZNF253	20.11	258.57	289.02	273.37	61.25	76.71	47.84	14.45	53.19	59.97	115.97	180.02	108.14	224.97	143.01	191.67	208.38	228.13	209.84	194.36	147.06	152.28	264.03	150.17	72.52	63.0	96.01	88.88	52.82	140.04	55.1	110.43	16.63	37.32	32.13	102.97	86.43	120.1	28.45	148.09	53.57
ZNF41	38.4	167.9	208.38	242.88	96.68	98.04	73.54	60.82	49.56	84.04	114.36	111.99	140.04	186.4	127.89	156.59	159.9	251.48	148.09	162.14	105.89	137.14	214.27	90.77	78.89	64.8	51.71	100.13	74.06	100.13	72.52	98.04	59.55	57.89	57.08	102.25	105.15	103.69	86.43	105.15	94.01
ZNF431	44.57	376.41	447.82	305.55	99.43	155.5	87.03	150.17	90.77	155.5	154.42	156.59	193.01	353.59	239.52	305.55	229.72	493.56	275.28	277.2	220.32	229.72	432.53	199.85	106.63	169.07	52.08	151.22	137.14	126.12	99.43	181.28	70.51	68.55	20.41	104.42	135.24	156.59	70.01	110.43	108.9
ZNF445	50.63	146.03	232.94	169.07	126.12	180.02	127.89	95.34	68.55	100.13	182.55	164.42	157.68	224.97	177.53	189.02	208.38	241.19	217.27	228.13	183.82	262.2	206.94	127.0	80.57	74.58	57.49	102.25	92.05	129.69	84.04	193.01	72.52	97.36	47.84	136.19	170.25	111.21	103.69	101.54	128.79
ZNF526	98.73	146.03	148.09	151.22	97.36	126.12	67.59	47.84	96.01	85.22	123.5	127.89	99.43	159.9	90.14	164.42	153.34	189.02	163.28	146.03	140.04	126.12	178.77	163.28	74.06	121.79	84.04	100.13	82.87	113.56	114.36	181.28	68.55	90.14	82.29	144.01	119.26	90.14	76.17	163.28	96.68
ZNF618	14.14	201.25	397.93	229.72	64.34	92.7	36.27	38.4	37.05	18.97	55.89	75.11	74.06	242.88	82.87	147.06	182.55	255.0	133.36	193.01	153.34	202.66	193.01	89.51	30.78	52.82	65.26	32.36	19.53	97.36	43.02	146.03	29.06	23.93	31.9	28.65	43.63	24.81	27.64	47.17	18.29
ZNF675	24.28	239.52	239.52	236.21	62.12	43.02	25.17	27.44	18.7	33.54	45.53	51.35	100.13	125.24	73.03	94.01	165.57	204.07	123.5	166.73	82.87	89.51	262.2	68.55	45.21	37.05	19.11	44.25	58.3	52.08	36.53	77.25	29.27	13.93	25.54	47.17	33.78	46.5	25.72	65.72	39.5
ZNF678	10.63	139.07	171.45	130.6	45.85	38.67	19.11	27.64	16.88	19.68	41.81	42.11	70.51	102.25	68.07	72.52	82.87	102.25	60.82	85.22	51.35	101.54	101.54	70.51	31.22	43.63	20.11	30.34	20.26	25.72	36.53	36.79	14.78	19.25	14.03	30.56	40.36	27.84	31.67	30.12	31.0
ZNF774	24.81	87.03	87.03	116.78	74.58	15.68	23.08	26.67	14.24	30.78	50.98	78.34	63.45	78.89	75.11	100.13	84.63	145.02	99.43	45.85	73.03	79.45	61.68	46.5	18.43	24.28	22.75	36.01	27.05	31.67	16.39	33.3	19.53	9.2	17.0	26.86	24.99	18.7	36.53	87.03	15.11
ZNF786	81.14	156.59	194.36	171.45	70.01	98.04	58.71	33.3	60.82	53.19	102.97	84.63	82.87	135.24	92.7	143.01	127.0	185.11	155.5	119.26	100.83	114.36	162.14	140.04	61.68	96.01	85.22	68.55	65.26	90.77	87.03	140.04	39.79	88.26	64.34	126.12	85.82	114.36	60.39	139.07	96.68
ZNF792	11.82	102.97	91.41	116.78	53.95	47.17	22.43	56.28	31.9	54.72	77.79	63.89	60.82	145.02	48.18	108.14	126.12	143.01	80.01	92.05	60.39	74.06	108.9	59.13	21.01	59.13	30.34	23.42	24.63	36.79	30.78	59.55	16.39	31.22	26.47	72.01	22.1	35.5	20.26	87.03	37.05
ZNF799	17.77	101.54	381.68	176.29	54.33	52.45	42.71	49.91	51.35	37.05	58.3	59.13	95.34	102.25	68.07	78.89	74.58	143.01	75.64	45.21	63.0	54.33	96.68	80.01	48.87	46.5	35.25	23.76	29.06	48.52	36.53	39.22	22.1	42.71	21.01	42.41	38.4	42.11	20.56	51.35	34.26
ZNF860	71.5	63.0	84.63	80.01	10.96	5.54	3.14	7.4	3.0	3.89	10.24	10.39	10.39	78.89	12.55	45.21	67.12	86.43	20.11	42.41	16.27	19.68	98.04	13.12	6.11	4.74	5.63	10.55	4.1	12.09	3.89	19.39	3.56	3.35	5.15	10.79	6.46	4.86	2.81	13.12	6.46
ZNF91	72.52	507.46	808.0	698.41	273.37	141.02	218.79	83.45	53.57	193.01	307.69	371.22	389.72	441.64	279.14	316.37	412.0	500.46	387.02	323.03	356.05	341.51	493.56	500.46	114.36	124.37	137.14	214.27	167.9	146.03	127.89	275.28	75.11	50.98	63.45	248.0	275.28	265.87	59.55	339.14	258.57
