	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AR.A1AJ.01A.21R.A12P.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.XK.AAIV.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.V1.A9O5.01A.11R.A41O.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.ZG.A9L0.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.ZG.A8QW.01A.11R.A37L.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07
CSE1L	2271.4	2777.33	1437.15	2609.3	1832.01	2682.69	1259.69	819.3	693.58	1191.69	651.58	723.08	1119.56	974.5	713.11	698.41	743.43	1096.5	1073.91	961.07	884.29	713.11	825.0	759.08	620.67	733.19	703.28	780.44	612.11	723.08	780.44	651.58	679.29	708.18	748.61	866.07	1096.5	890.44	753.83	1096.5	775.05	1066.48	1378.57	836.53	819.3	860.08	785.88	854.13	780.44	651.58	1268.46	842.36	866.07	1175.27	1242.34	934.76	775.05	915.51	616.37	830.75	1059.11	954.43	896.64	854.13	764.36	878.17	860.08	825.0	909.17	1250.98	921.88	860.08	1233.75	981.29	934.76	688.78	647.07	753.83	651.58	813.63	748.61	723.08	684.02	1015.93	748.61	890.44	733.19	830.75	703.28	1066.48	842.36
CXCL9	4450.27	2502.97	2119.22	3901.01	2627.46	4152.18	961.07	64.34	129.69	583.07	21.01	26.28	260.38	209.84	205.5	567.1	111.99	603.67	236.21	587.13	10.24	226.54	74.58	34.75	37.59	65.26	94.01	42.41	223.41	14.56	1369.04	53.57	29.27	23.76	131.51	199.85	703.28	102.97	114.36	2.78	193.01	878.17	2032.85	45.21	12.83	36.01	12.36	57.89	27.05	221.86	713.11	36.01	123.5	66.18	35.76	8.78	114.36	303.44	79.45	190.34	28.24	1008.9	1662.49	72.52	40.07	723.08	50.98	66.65	43.02	208.38	363.56	119.26	251.48	94.01	65.72	17.9	146.03	54.33	65.26	157.68	70.51	54.72	55.49	137.14	49.21	105.15	15.8	273.37	50.98	121.79	106.63
DCAF4	343.89	457.25	329.84	748.61	595.34	890.44	392.44	217.27	211.31	221.86	234.57	204.07	309.83	289.02	190.34	134.3	249.73	253.23	232.94	299.25	271.48	232.94	226.54	231.32	249.73	228.13	124.37	173.85	186.4	177.53	334.46	246.28	187.71	237.86	241.19	229.72	363.56	239.52	242.88	205.5	193.01	291.04	384.34	173.85	236.21	217.27	199.85	194.36	260.38	231.32	234.57	242.88	237.86	244.57	287.01	228.13	273.37	323.03	171.45	264.03	193.01	285.03	363.56	260.38	253.23	301.33	208.38	275.28	199.85	258.57	269.6	183.82	309.83	232.94	169.07	181.28	279.14	265.87	283.05	241.19	301.33	212.78	122.64	194.36	248.0	197.09	205.5	246.28	169.07	295.11	260.38
DCLRE1B	139.07	191.67	205.5	191.67	124.37	202.66	57.89	21.94	30.34	55.89	29.48	29.91	49.91	57.89	38.95	37.59	33.3	67.12	45.21	59.97	36.01	32.59	34.02	29.48	39.79	40.36	39.79	31.67	28.24	14.89	63.89	32.13	29.06	22.43	43.02	75.64	123.5	25.17	40.93	32.59	28.86	68.55	125.24	34.75	37.32	32.36	50.63	32.59	30.56	25.54	95.34	51.71	41.22	49.91	81.14	47.17	42.71	50.98	37.32	52.82	19.82	46.84	81.14	29.91	36.53	74.06	24.11	32.13	43.32	63.89	45.53	37.05	78.89	40.07	40.93	20.11	39.22	21.16	28.86	31.67	28.45	50.63	18.84	33.78	26.1	31.9	36.53	28.45	50.27	50.98	40.64
DEPDC1B	109.66	83.45	155.5	191.67	75.11	204.07	111.99	8.99	4.39	31.0	9.34	4.62	37.32	26.1	13.12	16.63	13.22	197.09	12.09	59.97	13.03	6.01	7.46	8.45	20.71	11.55	3.35	10.08	10.31	5.59	35.25	3.79	5.63	7.06	14.89	14.35	47.84	12.64	42.71	54.72	14.56	46.5	59.55	12.83	5.28	13.62	34.51	13.42	7.88	11.21	106.63	12.0	17.51	20.41	31.67	31.22	17.13	23.76	10.31	35.76	3.35	47.84	99.43	7.88	22.75	35.0	14.78	14.03	16.03	32.59	48.52	15.22	85.82	33.3	26.1	10.16	7.11	10.79	39.5	10.63	8.32	17.13	4.43	61.25	13.22	13.52	8.25	9.2	1.85	108.14	5.59
DLGAP5	251.48	204.07	414.87	373.81	309.83	406.31	131.51	5.5	4.35	49.91	6.46	5.73	41.22	52.45	15.8	7.57	12.64	55.1	13.72	69.52	14.67	7.69	8.06	10.0	22.59	14.67	5.11	16.03	11.64	12.64	31.67	5.36	4.31	8.38	19.25	29.7	112.77	10.16	23.93	50.63	11.3	56.28	161.02	9.78	6.36	14.24	30.78	10.47	9.06	12.27	85.82	18.7	12.93	21.32	79.45	30.34	16.75	37.05	11.3	55.89	9.56	84.63	111.21	8.51	15.34	52.45	14.78	16.63	13.03	38.95	72.52	25.17	110.43	28.86	10.39	6.36	10.96	7.51	19.97	12.0	5.82	13.42	3.79	81.71	11.82	20.41	1.38	7.69	2.23	131.51	6.36
DNMT1	1844.76	1617.0	1605.83	1662.49	1794.29	1508.65	921.88	514.56	366.09	713.11	575.03	281.09	543.96	723.08	551.56	414.87	486.75	633.73	583.07	802.41	595.34	414.87	470.14	599.49	559.28	417.77	332.14	529.06	371.22	500.46	791.35	595.34	392.44	341.51	460.44	723.08	890.44	595.34	629.35	575.03	423.61	743.43	1151.06	325.29	400.71	607.87	599.49	463.65	384.34	514.56	1059.11	521.76	703.28	638.15	759.08	753.83	607.87	825.0	463.65	753.83	325.29	769.69	915.51	514.56	629.35	915.51	332.14	624.99	547.75	540.19	679.29	473.41	660.68	500.46	406.31	346.29	366.09	540.19	497.0	392.44	441.64	447.82	409.15	599.49	441.64	406.31	343.89	182.55	325.29	718.08	381.68
DTL	444.72	392.44	392.44	603.67	249.73	237.86	115.16	8.71	8.38	40.64	4.13	6.73	37.05	34.26	14.35	14.35	14.67	41.52	12.36	40.07	15.56	5.68	8.51	12.64	12.93	10.31	11.82	22.59	7.46	10.08	22.26	18.43	7.69	5.77	13.83	27.25	69.03	7.69	22.26	49.91	9.34	34.02	123.5	13.52	5.32	11.04	13.12	8.78	7.69	13.32	133.36	15.22	18.16	16.39	75.64	18.7	13.32	30.78	9.13	31.0	5.59	50.63	72.01	7.75	17.64	79.45	15.45	19.25	7.88	33.54	36.53	30.56	35.25	34.02	8.71	9.27	13.22	7.94	18.03	5.02	11.64	22.92	4.86	36.79	14.67	6.06	8.13	21.32	6.11	61.25	5.54
E2F2	105.15	73.54	334.46	356.05	105.15	205.5	31.45	4.7	1.97	8.99	3.35	1.27	28.24	16.39	10.79	2.63	5.41	37.59	2.32	15.11	5.59	3.66	4.21	8.19	11.21	3.2	2.14	6.31	3.79	4.82	15.45	4.39	1.95	1.66	5.45	10.63	20.86	6.67	13.03	35.76	8.13	11.04	114.36	2.53	2.92	4.28	8.85	3.35	7.63	9.85	58.3	8.32	4.62	7.75	25.17	8.71	7.06	18.43	5.06	17.25	0.95	21.63	37.85	5.96	6.52	30.34	8.99	6.21	4.86	14.35	12.27	9.2	19.97	15.34	3.44	2.36	3.72	6.36	8.58	3.92	3.82	6.01	1.31	16.27	5.06	3.89	0.99	2.41	1.85	44.25	2.73
E2F8	209.84	43.94	112.77	125.24	163.28	151.22	37.59	2.29	3.41	6.57	3.72	1.45	28.86	18.03	5.59	2.76	1.83	21.16	3.76	27.44	1.91	3.76	2.39	6.21	9.06	5.77	3.76	5.02	4.5	2.03	8.99	3.17	1.16	1.51	3.82	7.82	18.97	2.01	8.0	11.73	3.03	19.82	80.01	4.86	5.96	2.43	4.82	4.46	3.72	3.47	21.01	4.43	3.38	4.78	36.01	9.48	4.1	17.25	1.62	16.39	0.83	34.75	34.75	1.16	3.96	31.67	4.7	4.31	2.68	10.79	18.7	3.35	14.89	10.55	2.86	4.21	2.84	3.63	8.85	2.1	2.92	3.76	1.5	24.81	4.17	2.27	1.17	1.89	2.05	37.32	2.18
ERCC6L	135.24	106.63	109.66	119.26	211.31	137.14	40.07	5.54	2.53	14.78	5.45	6.73	21.01	14.56	7.46	6.16	8.0	29.7	6.57	21.01	8.25	6.89	6.41	10.08	8.78	9.78	3.5	7.82	6.62	4.7	13.93	6.67	5.19	6.67	11.73	13.72	35.0	7.22	16.15	16.75	5.77	17.38	77.79	7.17	5.15	5.54	10.31	5.28	7.82	6.26	51.35	6.36	7.17	11.55	37.05	15.56	10.24	18.7	9.2	20.11	2.16	24.63	29.06	4.9	8.32	30.78	8.13	8.99	10.88	14.56	19.11	10.55	25.35	15.56	8.85	6.41	5.36	5.87	14.78	5.82	7.22	9.2	4.94	22.59	6.36	8.71	5.06	5.23	2.36	24.46	3.5
ESCO2	90.14	63.89	110.43	68.07	159.9	127.0	33.54	1.13	2.89	24.81	7.82	2.27	15.8	38.12	8.85	1.2	3.23	32.59	3.76	13.42	4.86	7.4	4.21	3.82	7.4	4.94	2.56	9.93	1.68	4.5	14.45	4.98	4.54	7.82	6.11	20.71	49.91	7.0	15.11	16.15	3.63	29.7	70.01	4.43	3.41	6.52	7.28	5.5	2.32	4.06	63.0	4.06	2.86	6.89	21.78	7.75	8.0	13.52	4.98	7.11	1.46	27.64	31.67	2.61	7.22	23.93	3.69	6.73	7.46	28.04	15.34	9.2	22.26	20.26	4.46	4.74	10.79	10.0	7.88	1.75	3.35	3.47	1.79	20.11	9.27	5.77	2.61	13.32	3.26	61.68	8.78
EXO1	301.33	181.28	351.14	438.59	305.55	318.57	181.28	8.0	5.63	29.48	9.56	5.5	36.53	36.27	14.14	4.98	15.8	49.91	6.62	42.41	10.31	11.04	5.5	13.93	10.55	11.55	5.82	17.0	10.24	14.89	16.39	7.69	7.82	23.59	21.78	23.08	87.03	7.34	17.77	70.01	22.92	24.46	127.0	14.24	7.11	12.0	20.41	9.93	5.92	10.55	163.28	16.03	11.91	9.2	52.82	28.45	10.79	20.41	14.14	32.82	2.1	43.32	58.71	7.51	21.01	82.29	25.91	14.24	10.47	25.17	39.5	19.25	43.32	24.28	12.83	10.39	9.34	19.82	19.68	13.42	5.92	14.24	7.63	51.71	7.69	5.32	3.11	8.85	1.71	66.65	9.06
FAM72D	91.41	49.91	122.64	205.5	49.91	241.19	66.65	5.02	2.56	11.91	2.34	2.51	13.72	17.64	3.72	7.34	9.27	28.24	7.11	36.01	6.73	5.36	4.9	5.45	15.0	10.55	0.0	4.98	8.38	4.78	14.24	4.39	4.94	0.0	11.47	12.18	50.27	10.47	6.89	14.14	3.17	14.45	47.17	4.7	4.58	1.5	7.17	6.11	1.13	10.96	19.11	3.86	4.94	6.06	31.9	19.25	3.26	23.25	9.93	17.64	3.2	24.11	21.16	2.89	11.21	32.13	10.71	4.54	7.88	14.89	28.86	13.62	15.8	4.35	1.91	4.78	7.57	10.0	12.74	3.89	3.76	8.78	0.0	28.86	5.77	4.54	3.89	2.23	1.25	29.7	2.2
FANCB	81.14	32.82	25.91	100.13	73.54	33.78	10.47	0.24	2.25	8.0	3.0	0.89	21.63	8.92	3.76	6.31	5.06	27.25	5.36	15.91	4.17	3.29	10.31	4.06	4.66	8.71	3.2	4.28	4.1	2.53	11.21	4.03	7.34	12.18	9.34	7.82	19.68	6.31	8.0	10.47	2.86	14.67	42.41	6.62	10.39	2.92	7.94	2.27	8.71	3.32	20.71	4.66	3.92	3.29	11.47	8.45	5.68	16.39	2.1	6.01	8.65	9.93	10.24	2.92	3.5	19.68	2.56	5.54	9.27	9.2	11.04	7.57	8.92	10.0	12.45	5.15	6.16	4.94	4.21	4.24	8.19	10.55	1.27	8.85	8.99	2.05	3.96	11.38	2.53	10.31	4.74
GAS2L3	102.25	78.34	84.04	144.01	212.78	211.31	43.32	3.82	5.15	37.59	3.06	8.99	24.99	35.0	8.38	9.48	15.68	49.21	14.03	59.55	13.93	13.22	10.39	12.45	28.24	15.0	5.19	13.22	10.55	11.55	29.06	10.47	4.74	5.23	18.84	30.56	45.85	16.39	42.11	11.64	8.58	51.71	99.43	8.51	9.78	9.48	27.84	18.97	4.39	4.82	48.52	28.45	16.39	26.1	62.56	20.41	14.78	35.0	5.59	31.22	7.57	34.75	36.01	8.45	8.25	31.45	5.82	8.65	8.58	55.49	27.84	10.47	40.64	25.17	19.82	6.06	12.83	21.16	23.59	8.71	13.52	14.35	3.0	33.78	5.23	7.06	8.06	19.82	6.16	30.78	15.8
GBP4	1721.16	698.41	2451.44	1447.15	909.17	1605.83	718.08	73.54	119.26	275.28	21.94	79.45	177.53	143.01	143.01	148.09	112.77	269.6	190.34	457.25	87.03	183.82	106.63	86.43	71.5	131.51	180.02	108.9	128.79	43.63	409.15	102.25	63.45	78.89	92.7	180.02	376.41	138.1	166.73	20.41	178.77	363.56	651.58	96.01	85.22	75.64	115.16	152.28	109.66	177.53	351.14	128.79	57.08	128.79	69.52	49.56	92.05	239.52	98.73	102.25	47.5	612.11	791.35	149.12	78.89	211.31	38.12	59.55	29.06	234.57	295.11	79.45	343.89	125.24	76.17	40.93	193.01	94.67	86.43	102.97	136.19	115.16	173.85	108.14	55.1	71.0	107.38	217.27	151.22	198.47	204.07
GINS1	438.59	332.14	395.18	165.57	234.57	429.54	139.07	13.42	10.39	34.02	13.72	9.34	56.68	39.22	22.75	20.41	14.56	46.84	15.56	51.71	21.63	11.64	18.29	18.84	21.47	18.16	17.9	21.01	10.24	13.62	47.5	17.25	10.96	12.45	22.75	38.12	71.5	14.89	38.12	40.64	17.38	42.71	95.34	19.25	10.0	20.41	34.26	15.68	25.54	15.0	82.29	20.56	21.78	33.06	60.82	27.44	23.08	27.84	13.62	38.67	6.73	38.95	76.71	21.94	25.72	92.05	16.27	20.11	20.56	39.5	40.93	23.25	67.59	36.53	26.47	6.11	17.13	18.29	23.76	17.38	18.7	22.1	15.11	63.0	16.39	19.97	18.16	53.95	19.68	92.7	20.11
GINS4	591.22	208.38	279.14	693.58	180.02	514.56	65.26	15.45	17.9	47.5	9.13	32.59	43.32	77.25	19.53	14.14	8.85	74.06	15.22	69.03	17.25	14.89	14.56	24.81	17.25	16.51	19.82	25.91	9.78	3.86	20.86	19.53	12.0	4.13	17.64	53.95	113.56	14.78	31.0	28.24	10.0	54.72	181.28	10.24	26.1	16.27	16.03	12.27	8.92	14.03	59.13	20.56	22.59	13.12	27.05	14.14	21.01	43.63	15.8	20.71	6.11	34.51	53.19	13.32	29.27	84.63	8.65	12.74	13.52	39.79	40.07	21.47	33.06	24.28	46.18	7.06	26.47	23.08	11.3	27.05	12.36	15.22	8.19	33.54	7.94	31.22	7.46	14.78	14.89	79.45	21.32
GPR19	115.16	29.06	97.36	40.93	52.08	28.24	17.51	3.32	0.74	5.77	0.0	2.43	8.25	6.06	6.57	2.48	4.31	9.93	170.25	4.58	2.97	2.84	0.0	1.83	5.68	4.17	3.08	4.9	4.06	1.99	7.69	0.77	2.46	2.53	4.31	11.82	13.12	5.45	10.55	8.85	6.16	5.36	21.01	3.89	2.81	5.59	3.59	3.56	2.46	16.51	11.91	0.42	1.43	0.75	6.41	6.52	1.1	6.26	1.95	1.1	0.0	14.24	11.55	1.45	2.1	27.64	4.21	2.1	3.44	5.87	3.92	5.15	13.62	7.82	4.39	2.56	2.56	2.63	171.45	2.81	0.78	3.53	2.53	6.84	4.66	2.27	5.28	0.77	0.43	19.97	0.4
HELLS	470.14	229.72	228.13	182.55	159.9	363.56	138.1	21.63	22.92	82.29	40.93	29.91	82.29	75.11	38.4	56.28	43.94	138.1	34.02	71.0	23.08	40.93	24.99	39.22	34.02	31.67	36.01	56.28	36.79	31.22	112.77	47.17	21.01	27.05	37.32	39.79	75.11	34.26	63.89	88.26	28.04	74.06	327.56	31.67	21.63	50.27	47.17	24.63	53.57	60.39	149.12	46.5	61.68	45.85	102.97	30.56	29.7	70.01	26.47	67.59	39.22	110.43	133.36	27.64	63.45	144.01	36.01	38.4	50.27	90.77	66.65	76.17	109.66	58.3	17.51	15.91	30.56	44.89	69.52	35.25	39.22	33.06	30.12	83.45	50.98	32.82	44.25	33.06	32.13	163.28	21.94
HMMR	236.21	229.72	435.55	476.71	392.44	470.14	152.28	15.91	8.13	84.63	17.77	12.74	128.79	125.24	36.79	18.84	31.9	71.0	23.25	130.6	21.94	14.56	13.93	30.12	37.85	21.01	4.62	21.63	17.9	25.35	52.82	11.73	14.03	22.43	39.22	51.71	127.0	26.1	38.67	120.94	27.84	92.7	143.01	20.26	17.25	27.25	37.59	17.77	19.68	27.44	128.79	34.51	27.64	57.08	244.57	57.08	30.56	53.95	23.93	116.78	16.27	115.16	141.02	15.68	28.04	113.56	31.9	31.0	27.25	65.26	120.94	58.3	143.01	76.17	25.35	12.45	19.53	19.53	62.56	18.43	13.62	31.67	11.3	101.54	29.48	37.59	6.26	27.05	8.71	234.57	5.5
ICOS	42.71	89.51	81.14	264.03	73.03	98.73	36.79	3.41	3.96	19.11	0.0	0.67	11.21	2.68	16.88	3.29	5.32	23.59	4.62	14.45	0.38	2.34	1.31	2.05	3.2	2.84	1.1	1.01	4.39	3.32	29.7	3.03	1.99	3.35	2.39	12.55	22.75	2.94	7.06	0.32	1.64	22.26	75.64	3.63	0.35	1.01	1.04	0.69	5.82	10.47	32.59	4.24	3.59	5.28	2.16	0.0	2.66	16.88	9.13	2.01	0.67	6.94	57.08	3.92	1.62	9.48	1.66	1.31	1.31	44.57	20.11	0.67	6.84	3.35	4.78	0.37	3.06	7.22	4.5	7.06	1.41	0.68	2.36	1.87	7.94	4.21	0.35	7.06	2.58	13.83	3.69
IDO1	267.73	616.37	1242.34	1963.57	633.73	2645.74	358.54	40.36	49.56	144.01	10.08	17.9	101.54	88.88	201.25	320.8	195.72	84.63	76.17	244.57	17.25	157.68	55.49	21.01	72.52	41.81	117.6	47.5	71.0	8.06	688.78	43.32	21.94	17.0	20.86	77.25	371.22	120.1	65.26	24.81	180.02	267.73	217.27	38.4	21.78	15.0	36.01	22.92	27.84	82.29	214.27	17.77	37.59	42.41	94.67	27.84	115.16	111.99	38.12	26.28	53.95	334.46	651.58	35.76	21.01	88.26	37.59	76.71	11.47	153.34	162.14	49.91	172.65	88.26	39.5	13.83	63.45	90.77	94.01	95.34	72.52	18.56	18.56	45.21	40.93	109.66	5.54	154.42	16.88	61.68	52.08
IFIT2	267.73	698.41	329.84	1023.0	620.67	1183.45	140.04	35.76	43.63	95.34	16.51	40.64	46.18	85.22	73.03	82.29	49.56	108.14	76.71	133.36	37.05	63.0	20.71	46.18	27.84	57.08	61.25	63.45	15.22	17.64	138.1	44.57	38.4	50.27	29.06	92.7	273.37	51.71	68.07	6.46	78.89	121.79	281.09	30.56	35.0	51.35	36.53	39.5	45.85	139.07	96.68	79.45	35.25	82.87	26.67	11.04	78.89	190.34	36.79	48.87	42.41	102.97	237.86	57.49	18.29	76.71	21.01	52.82	12.83	52.08	83.45	21.01	86.43	77.25	26.47	33.06	41.52	43.94	26.28	47.17	44.57	46.5	36.27	264.03	28.24	23.08	49.56	117.6	32.59	92.05	91.41
IFIT3	620.67	1651.0	1819.35	3018.3	1883.54	2645.74	336.79	93.35	83.45	162.14	23.42	70.01	97.36	163.28	151.22	158.79	146.03	220.32	133.36	309.83	56.68	127.0	53.57	70.51	37.85	80.01	117.6	86.43	40.36	29.91	414.87	75.64	62.12	55.49	54.72	167.9	693.58	78.34	105.89	12.64	173.85	220.32	563.18	67.12	57.49	58.3	72.01	107.38	78.34	277.2	224.97	92.05	61.25	142.01	70.51	21.94	103.69	460.44	64.8	70.01	38.4	387.02	769.69	111.21	41.52	325.29	42.11	70.51	24.63	124.37	167.9	48.87	165.57	119.26	49.21	40.64	108.14	92.05	36.53	95.34	72.52	87.03	74.58	981.29	39.79	40.36	83.45	307.69	122.64	98.73	118.43
IQGAP3	159.9	120.1	269.6	438.59	214.27	1388.16	108.14	7.57	3.69	26.28	5.41	5.06	74.58	55.89	14.03	8.71	15.56	91.41	10.63	79.45	11.91	12.09	13.22	13.83	19.25	15.68	3.23	13.12	13.22	12.64	26.1	6.73	6.21	7.06	14.89	28.45	175.07	21.01	39.79	98.73	11.38	28.24	246.28	11.21	6.89	7.69	41.22	13.62	18.43	11.82	161.02	11.82	16.27	20.86	76.71	32.13	21.94	46.84	12.27	71.5	2.92	68.55	94.01	6.94	14.89	72.01	21.94	10.08	25.91	23.08	51.71	37.32	54.72	30.34	15.91	6.41	14.24	18.16	42.41	12.27	11.91	14.56	4.5	78.89	14.89	16.63	2.25	2.34	2.92	75.11	4.17
KIAA1524	325.29	211.31	197.09	368.65	176.29	320.8	100.83	13.32	34.26	66.18	24.11	15.11	52.82	74.58	29.06	30.34	20.71	62.56	41.52	55.49	19.11	37.59	24.81	29.27	30.56	20.86	21.47	40.36	20.41	12.18	54.33	39.79	14.67	11.38	44.25	42.41	105.15	9.48	30.12	21.94	15.11	63.89	154.42	17.77	10.71	23.59	34.75	37.59	13.32	27.84	136.19	36.79	38.67	33.54	61.68	30.78	26.86	51.35	15.68	31.67	28.45	76.17	63.0	17.38	18.84	41.81	14.03	31.67	37.85	52.82	37.32	23.76	62.12	38.95	34.75	17.0	35.5	21.01	30.34	20.41	28.04	42.71	31.9	52.82	20.11	17.9	42.71	44.57	22.43	89.51	34.51
KIF11	454.09	316.37	353.59	379.04	358.54	708.18	120.1	32.59	19.53	71.0	28.24	21.47	68.07	61.68	38.12	26.86	28.65	111.99	30.78	58.71	41.81	20.26	23.76	31.22	46.18	28.04	17.51	31.9	29.27	25.35	67.12	22.59	26.28	25.72	40.64	65.72	70.01	31.22	69.52	81.14	19.11	92.7	273.37	28.86	30.12	29.27	53.95	28.45	30.12	24.99	154.42	47.17	43.94	55.49	147.06	60.82	38.95	47.17	30.34	84.63	24.63	82.29	123.5	22.92	37.05	91.41	34.75	38.67	34.51	70.51	82.87	35.0	139.07	67.59	22.75	23.76	26.47	31.67	49.91	26.1	24.28	26.28	16.27	85.22	32.59	34.51	18.16	18.84	14.56	140.04	18.56
KIF14	108.9	30.78	124.37	193.01	88.26	148.09	26.86	0.68	0.73	8.65	0.67	1.36	13.12	11.38	2.78	1.71	2.07	11.73	2.71	14.89	2.14	1.39	1.68	2.43	4.28	1.13	0.42	2.68	2.27	1.91	4.28	1.41	1.38	1.75	3.08	4.54	25.17	3.32	8.06	5.06	1.36	12.18	38.95	1.89	0.39	2.68	6.62	2.07	2.03	1.39	14.35	3.92	4.24	4.98	22.92	6.73	3.99	7.51	2.2	8.71	0.39	14.45	18.56	0.39	3.56	13.52	3.0	2.66	3.89	7.46	8.51	3.59	15.34	6.94	2.46	0.74	3.41	2.51	6.11	2.34	2.48	3.03	1.07	18.7	1.41	2.86	0.36	0.71	0.75	18.97	0.69
KIF18A	163.28	98.73	100.83	138.1	185.11	175.07	27.44	0.52	4.43	13.62	2.43	5.23	18.7	17.9	6.73	5.87	4.82	23.93	4.78	19.53	5.28	5.32	3.17	4.86	6.36	4.43	2.58	6.21	6.21	3.32	11.13	3.92	3.82	6.62	5.45	6.57	32.13	5.23	10.79	9.34	2.01	28.04	59.55	4.24	2.03	6.21	8.13	5.36	2.34	3.59	32.13	5.41	9.34	7.75	21.16	8.38	6.26	19.11	2.23	12.09	2.61	21.78	22.1	7.06	6.62	22.1	3.23	6.11	6.31	15.0	21.01	6.36	23.59	12.83	9.78	2.12	4.86	4.7	7.57	2.92	4.98	7.11	4.21	14.78	3.0	8.51	4.13	10.96	5.96	30.12	3.92
