	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.86.8669.01A.11R.2403.07	TCGA.49.4510.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.78.7161.01A.11R.2039.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.91.6849.01A.11R.1949.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5932.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.78.7537.01A.11R.2066.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZT9W.0726.SM.4YCDC	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ
FGFBP2	10.55	4.86	9.63	26.28	5.82	9.13	12.83	13.93	38.12	7.06	15.11	13.03	0.0	18.03	9.41	3.17	0.14	4.5	15.56	2.68	7.06	9.27	4.7	5.59	11.55	1.13	24.28	14.89	12.45	8.78	12.0	16.75	102.25	34.02	73.03	115.16	112.77	211.31	1551.09	9.93	1216.75	94.01	19.11	45.21	802.41	277.2	15.0	93.35	87.03	497.0	34.26	20.11	67.12	41.81	303.44	273.37	420.68	45.21	55.1	88.88	31.67	170.25	961.07	470.14	651.58	67.12	87.03	60.82	158.79	187.71	575.03	348.71	51.71	368.65	41.81	241.19	134.3	54.72	11.38	307.69	921.88	211.31	299.25	80.01	3.76	371.22
FLI1	28.24	21.16	189.02	164.42	269.6	178.77	144.01	53.57	271.48	105.89	158.79	236.21	0.0	115.16	108.14	58.3	0.56	120.94	194.36	105.15	264.03	376.41	153.34	76.71	202.66	101.54	171.45	121.79	244.57	71.0	115.97	318.57	457.25	890.44	620.67	884.29	532.74	603.67	995.0	679.29	1151.06	825.0	890.44	780.44	679.29	954.43	738.29	403.5	753.83	1088.92	1617.0	791.35	409.15	373.81	651.58	1096.5	1304.15	563.18	480.04	921.88	1127.35	780.44	575.03	387.02	1225.22	299.25	780.44	447.82	743.43	813.63	743.43	890.44	493.56	1697.45	551.56	258.57	848.22	1143.1	703.28	1388.16	1551.09	981.29	1151.06	1794.29	224.97	1832.01
FMO2	21.63	2.73	185.11	273.37	234.57	107.38	201.25	22.59	150.17	106.63	163.28	149.12	0.0	193.01	151.22	25.17	0.32	92.05	260.38	131.51	336.79	486.75	177.53	3.96	77.25	167.9	70.01	147.06	60.39	16.27	79.45	320.8	2178.83	4802.93	6381.92	1417.35	902.89	2119.22	5441.3	2855.44	4419.52	2287.2	204.07	1322.37	3467.27	2451.44	1844.76	420.68	4543.8	3467.27	3955.48	1457.23	3103.19	3639.7	3168.41	995.0	3716.2	1963.57	1167.14	4419.52	4575.41	1508.65	3491.39	2032.85	6516.03	4736.79	6079.61	4328.55	466.88	4575.41	3235.01	1709.26	2032.85	7331.05	1923.14	1519.15	3235.01	2193.99	5041.77	1529.73	5594.3	2335.28	4639.29	8778.97	2133.97	2075.59
FRMD3	30.78	4.06	13.32	8.45	13.72	16.88	13.03	3.03	9.06	7.46	11.82	10.24	0.0	10.55	8.99	9.78	0.04	9.27	11.04	13.32	11.55	28.86	14.24	2.58	11.73	11.64	8.65	7.51	15.91	5.92	10.08	19.39	323.03	303.44	291.04	229.72	41.22	87.03	163.28	82.87	361.04	85.22	46.5	155.5	145.02	135.24	56.68	108.9	136.19	201.25	107.38	154.42	74.58	102.97	113.56	134.3	312.0	156.59	28.24	146.03	116.78	61.25	100.13	103.69	231.32	90.77	129.69	262.2	35.0	89.51	127.0	123.5	82.29	334.46	65.72	125.24	291.04	57.89	295.11	232.94	186.4	111.21	136.19	291.04	36.53	363.56
FXYD5	170.25	159.9	1447.15	2075.59	2502.97	934.76	1135.2	591.22	2090.03	1388.16	3349.13	1268.46	0.0	1304.15	1167.14	507.46	1.16	5041.77	1572.76	1051.79	1963.57	2271.4	2502.97	1066.48	2915.45	1111.82	4181.07	1685.71	961.07	3235.01	503.95	2032.85	3212.66	2956.17	1529.73	4802.93	1806.78	3874.05	4704.07	5594.3	2645.74	2976.74	4575.41	1340.84	1662.49	5041.77	5219.6	8598.28	3928.15	4038.61	4210.15	5329.3	6516.03	2855.44	3614.55	2935.74	7382.04	2739.08	3589.58	7180.15	5594.3	2303.12	3018.3	4181.07	3820.7	4123.49	2193.99	3190.46	7803.01	2573.36	4268.94	10225.32	7857.29	11112.3	6337.83	2591.27	3190.46	5112.16	2701.35	18560.17	2047.0	6887.62	1605.83	921.88	4639.29	1259.69
GGTLC2	0.0	0.0	2.48	6.94	26.28	21.94	2.61	11.82	19.25	5.96	0.0	7.0	0.0	1.08	6.21	22.59	0.0	0.0	2.39	2.48	8.99	10.96	1.73	0.0	0.0	0.0	1.41	1.41	18.29	8.13	0.0	3.86	80.01	242.88	244.57	80.01	2.32	69.03	74.58	27.64	72.01	46.5	70.51	70.01	65.72	29.06	167.9	63.89	100.13	341.51	96.01	56.28	26.86	43.32	62.12	108.14	92.7	7.63	40.36	152.28	197.09	70.01	249.73	66.65	543.96	28.65	150.17	153.34	19.39	121.79	147.06	33.54	139.07	18.56	32.82	17.77	64.34	66.18	18.43	44.89	64.8	65.72	58.3	90.77	19.53	44.57
GIMAP6	42.11	17.77	189.02	221.86	190.34	105.15	134.3	30.56	121.79	101.54	131.51	202.66	0.0	94.01	92.7	38.67	0.33	81.14	217.27	80.01	251.48	366.09	172.65	57.49	112.77	102.97	126.12	100.83	217.27	50.98	93.35	241.19	1191.69	1183.45	2701.35	1857.6	1073.91	1561.89	1685.71	934.76	2520.38	2520.38	529.06	1594.73	1674.06	1950.0	1427.22	718.08	934.76	2956.17	915.51	915.51	536.45	902.89	642.59	2224.63	3395.89	1250.98	624.99	1697.45	1628.26	2367.9	1457.23	941.27	3589.58	1111.82	638.15	2701.35	1183.45	1477.58	1322.37	2645.74	1023.0	1104.13	1199.98	403.5	1651.0	830.75	1331.57	2739.08	3419.52	612.11	3081.75	3820.7	187.71	3372.43
GPIHBP1	84.04	38.12	28.04	69.03	11.91	41.52	36.53	12.55	23.93	4.82	10.47	33.78	0.0	14.35	81.14	10.63	0.0	35.5	63.89	22.75	111.99	61.25	28.86	12.0	8.13	7.11	154.42	9.7	59.55	11.55	6.46	34.26	1529.73	4607.24	1857.6	368.65	373.81	1923.14	287.01	842.36	1437.15	1605.83	20.56	1857.6	1322.37	909.17	211.31	42.11	540.19	603.67	1697.45	138.1	1529.73	1529.73	928.3	599.49	142.01	2915.45	417.77	1350.18	836.53	1225.22	1359.57	1950.0	1487.87	3467.27	2451.44	595.34	52.45	2451.44	769.69	1183.45	713.11	555.41	1991.0	1651.0	2335.28	1388.16	1685.71	384.34	1572.76	571.05	575.03	2178.83	392.44	2935.74
GPM6A	0.36	4.86	7.28	8.19	4.78	6.67	13.83	5.63	10.16	2.66	1.85	4.58	0.0	9.13	8.45	0.96	0.0	0.65	12.36	5.54	31.0	21.01	9.63	0.15	1.87	0.14	21.47	2.41	8.0	3.72	2.86	29.27	2133.97	2090.03	4607.24	2163.77	1127.35	1437.15	1540.37	212.78	2351.53	769.69	244.57	764.36	651.58	599.49	713.11	260.38	417.77	2104.58	2335.28	603.67	368.65	1313.23	921.88	281.09	684.02	1697.45	967.76	1378.57	555.41	334.46	665.29	961.07	3212.66	896.64	2163.77	2193.99	351.14	1044.52	1059.11	1015.93	808.0	1225.22	514.56	1259.69	1685.71	583.07	1081.39	1322.37	529.06	1096.5	2384.37	1950.0	406.31	2061.24
GRIN3A	0.91	2.41	2.1	1.41	3.35	2.68	2.2	0.56	1.31	0.88	4.06	1.2	0.0	1.2	1.27	0.66	0.01	1.51	0.99	1.22	4.58	1.25	2.2	1.58	4.03	0.92	1.57	1.25	3.66	2.39	3.08	6.84	11.21	6.89	9.7	4.13	5.11	4.28	6.52	3.59	8.38	5.23	1.16	5.73	11.38	6.06	6.11	6.94	2.34	4.98	5.15	6.57	3.69	3.82	4.1	9.27	6.78	9.48	3.92	7.51	3.44	7.75	6.36	7.4	5.59	6.01	8.45	6.11	6.94	14.24	7.22	11.73	4.66	3.53	9.41	8.38	7.4	9.34	1.89	7.57	8.06	2.25	8.51	4.86	2.05	4.35
GRM3	0.0	1.3	0.73	1.58	0.74	1.17	0.75	0.0	0.0	0.38	0.39	0.39	0.0	0.0	0.0	0.41	0.06	0.0	0.41	0.0	1.1	1.41	1.1	0.0	0.44	1.38	0.4	0.4	1.08	2.34	1.93	0.42	14.89	5.15	3.56	2.1	6.73	0.89	4.54	6.46	2.27	6.52	2.63	3.03	1.28	3.89	3.2	3.32	2.1	7.28	4.13	4.54	4.54	5.5	5.11	2.48	3.56	4.31	5.63	4.31	1.66	4.46	3.69	7.82	4.31	3.14	7.51	6.46	4.7	3.32	1.99	2.23	6.16	8.85	3.08	2.97	5.41	11.82	3.38	1.75	2.73	3.82	5.23	9.48	3.14	1.22
GSPT2	0.95	2.25	38.95	90.14	85.82	158.79	137.14	8.38	24.46	14.89	164.42	42.41	0.0	20.11	89.51	27.05	0.13	22.92	55.1	167.9	93.35	117.6	24.46	18.16	172.65	50.63	98.73	40.07	27.64	127.0	109.66	94.67	244.57	279.14	129.69	297.17	119.26	231.32	277.2	283.05	251.48	417.77	60.39	309.83	441.64	327.56	301.33	244.57	195.72	264.03	260.38	277.2	85.82	307.69	133.36	267.73	285.03	346.29	53.57	228.13	264.03	325.29	403.5	224.97	316.37	258.57	249.73	363.56	258.57	204.07	341.51	253.23	384.34	162.14	490.14	241.19	339.14	236.21	293.07	281.09	366.09	244.57	403.5	346.29	305.55	218.79
GUCY1A3	7.51	5.23	119.26	59.13	132.44	108.14	197.09	72.01	63.89	351.14	346.29	106.63	0.0	301.33	199.85	69.52	0.39	60.82	119.26	161.02	218.79	320.8	209.84	53.19	209.84	387.02	67.12	121.79	170.25	253.23	92.05	162.14	314.17	674.59	493.56	295.11	241.19	190.34	473.41	575.03	507.46	262.2	50.98	107.38	371.22	624.99	305.55	287.01	363.56	258.57	241.19	759.08	167.9	409.15	518.15	599.49	1208.34	435.55	295.11	144.01	571.05	381.68	679.29	231.32	473.41	612.11	417.77	256.78	265.87	466.88	199.85	303.44	363.56	693.58	376.41	525.39	493.56	480.04	723.08	441.64	532.74	836.53	543.96	981.29	217.27	336.79
GUCY1B3	9.48	17.9	156.59	136.19	120.1	145.02	139.07	78.34	112.77	248.0	325.29	124.37	0.0	114.36	141.02	72.52	0.54	112.77	118.43	172.65	190.34	223.41	135.24	63.89	155.5	223.41	72.01	73.03	148.09	150.17	75.11	137.14	166.73	231.32	232.94	215.77	34.26	267.73	312.0	277.2	249.73	244.57	55.49	144.01	287.01	316.37	187.71	142.01	208.38	170.25	178.77	417.77	336.79	209.84	412.0	258.57	486.75	220.32	132.44	183.82	301.33	251.48	150.17	187.71	260.38	218.79	166.73	152.28	183.82	163.28	134.3	125.24	287.01	490.14	201.25	202.66	251.48	180.02	384.34	197.09	473.41	293.07	341.51	490.14	209.84	185.11
HLA-DQA2	0.54	7.0	81.14	70.51	113.56	30.12	84.63	13.03	376.41	16.27	132.44	189.02	0.0	5.68	420.68	9.27	0.0	256.78	119.26	12.45	30.34	100.83	135.24	246.28	368.65	24.11	58.3	78.89	314.17	132.44	53.19	563.18	40.64	3564.78	228.13	1857.6	215.77	2240.11	3443.31	674.59	583.07	19.97	587.13	35.25	202.66	281.09	1806.78	651.58	555.41	127.89	1883.54	571.05	612.11	12.18	1331.57	1977.24	1059.11	954.43	1225.22	490.14	1167.14	981.29	5555.65	112.77	902.89	1909.85	1508.65	1794.29	1923.14	149.12	163.28	57.08	2796.65	59.55	409.15	813.63	1617.0	2609.3	642.59	400.71	3146.52	3515.68	142.01	2047.0	872.1	426.57
HNRNPA1L2	22.43	67.12	103.69	68.55	70.01	90.14	48.18	36.79	91.41	151.22	71.5	71.5	0.0	120.94	72.01	120.1	0.28	73.54	138.1	152.28	64.8	88.88	69.52	75.64	146.03	90.14	80.01	116.78	177.53	194.36	127.0	53.19	100.83	119.26	80.01	124.37	279.14	153.34	176.29	182.55	138.1	193.01	70.51	113.56	226.54	170.25	191.67	178.77	99.43	155.5	191.67	133.36	69.03	193.01	76.71	164.42	199.85	151.22	146.03	136.19	198.47	175.07	208.38	190.34	165.57	204.07	201.25	186.4	145.02	231.32	214.27	139.07	264.03	142.01	204.07	130.6	185.11	194.36	139.07	214.27	157.68	120.94	159.9	181.28	105.15	78.89
HPS5	239.52	129.69	150.17	72.01	183.82	127.89	150.17	126.12	190.34	133.36	224.97	201.25	0.0	145.02	109.66	104.42	0.14	120.94	153.34	146.03	183.82	140.04	167.9	115.97	114.36	108.9	166.73	117.6	234.57	123.5	165.57	299.25	555.41	642.59	688.78	647.07	198.47	547.75	743.43	470.14	775.05	559.28	269.6	348.71	733.19	490.14	476.71	414.87	387.02	651.58	748.61	500.46	343.89	599.49	267.73	540.19	633.73	514.56	149.12	583.07	718.08	447.82	733.19	579.04	890.44	403.5	555.41	684.02	486.75	540.19	392.44	595.34	470.14	470.14	587.13	361.04	490.14	444.72	669.92	595.34	848.22	603.67	764.36	836.53	460.44	728.11
HSPA12B	16.63	21.16	31.67	84.04	54.33	51.35	60.39	44.57	50.98	38.67	26.67	89.51	0.0	43.94	35.25	32.13	0.22	31.45	58.3	45.85	69.03	132.44	66.65	51.71	92.7	27.84	70.01	56.28	67.59	49.91	31.22	72.52	312.0	438.59	748.61	514.56	217.27	642.59	902.89	341.51	791.35	279.14	95.34	457.25	473.41	836.53	403.5	457.25	389.72	728.11	295.11	389.72	316.37	497.0	343.89	301.33	698.41	473.41	209.84	454.09	651.58	543.96	264.03	450.94	769.69	389.72	239.52	587.13	162.14	299.25	587.13	460.44	389.72	575.03	312.0	137.14	674.59	241.19	381.68	426.57	583.07	599.49	642.59	693.58	99.43	279.14
IGSF10	1.91	1.51	15.68	44.89	12.74	8.25	55.1	3.56	25.17	20.86	7.0	19.53	0.0	22.43	13.22	13.42	0.49	12.83	37.85	3.89	92.05	67.59	23.59	6.94	18.16	3.06	21.01	36.01	12.36	10.88	19.39	33.78	429.54	1104.13	616.37	438.59	137.14	297.17	283.05	612.11	457.25	127.0	90.14	172.65	1225.22	954.43	466.88	35.0	674.59	381.68	389.72	866.07	234.57	587.13	400.71	547.75	409.15	1001.93	281.09	406.31	420.68	567.1	518.15	579.04	669.92	493.56	967.76	791.35	309.83	567.1	171.45	132.44	1191.69	1015.93	312.0	497.0	543.96	703.28	708.18	1225.22	373.81	420.68	500.46	376.41	341.51	392.44
IL10RB	536.45	651.58	493.56	629.35	698.41	728.11	629.35	420.68	607.87	571.05	511.0	713.11	567.1	414.87	532.74	325.29	5995.9	764.36	1059.11	607.87	616.37	679.29	559.28	237.86	902.89	417.77	902.89	387.02	470.14	624.99	356.05	555.41	842.36	1030.12	902.89	1407.55	466.88	1023.0	1498.22	1407.55	1199.98	1359.57	665.29	1191.69	1259.69	1340.84	1331.57	866.07	1697.45	1322.37	954.43	1519.15	981.29	909.17	1127.35	1467.37	1519.15	860.08	723.08	1001.93	1023.0	785.88	1111.82	974.5	1286.18	878.17	738.29	1183.45	1467.37	1096.5	1104.13	1167.14	1733.13	2178.83	1721.16	764.36	1111.82	1127.35	1378.57	2047.0	1322.37	1208.34	1208.34	1397.83	651.58	1199.98
ITLN2	65.26	5.32	5.06	0.67	0.0	3.32	27.25	0.69	0.0	5.68	1.73	0.29	0.0	8.19	22.26	2271.4	0.0	0.0	5.68	40.93	27.84	42.11	0.84	2.1	0.0	2.23	49.91	1.07	0.0	1.75	5.87	34.26	1487.87	5555.65	3018.3	4802.93	295.11	6471.02	5403.7	343.89	3614.55	3928.15	130.6	1059.11	2875.3	6037.61	2739.08	198.47	2591.27	3212.66	2976.74	2777.33	120.1	5076.84	2032.85	1008.9	1977.24	2976.74	466.88	3874.05	2485.67	2018.8	2240.11	1225.22	8134.41	2935.74	1572.76	3235.01	1617.0	1733.13	1794.29	3874.05	2468.49	5329.3	947.83	511.0	2956.17	647.07	2047.0	8658.09	1088.92	848.22	1977.24	3639.7	518.15	1794.29
KAL1	0.68	0.67	36.27	132.44	190.34	56.68	80.57	63.45	529.06	52.08	55.49	171.45	0.0	236.21	75.11	4.9	0.0	59.55	100.13	26.47	87.65	507.46	156.59	32.13	115.16	28.65	98.04	395.18	260.38	46.84	71.5	154.42	1388.16	1551.09	2400.97	5403.7	463.65	791.35	2609.3	890.44	2104.58	633.73	532.74	836.53	1605.83	1397.83	995.0	802.41	995.0	642.59	1407.55	1617.0	466.88	1508.65	2075.59	941.27	1769.57	1457.23	473.41	665.29	2855.44	366.09	2061.24	1081.39	1991.0	620.67	1844.76	2271.4	423.61	1832.01	1508.65	1242.34	1340.84	2520.38	633.73	1199.98	1119.56	1508.65	1709.26	2555.58	775.05	1551.09	1674.06	1936.53	775.05	1104.13
KCNA4	0.0	0.0	0.08	0.73	1.95	1.28	0.09	1.46	0.1	2.51	0.08	1.87	0.0	0.34	0.0	0.0	0.0	0.08	0.1	0.0	0.37	2.46	1.99	0.0	0.0	0.0	0.62	0.36	0.09	0.0	0.06	3.17	12.83	28.04	36.53	70.01	7.63	41.22	70.51	9.78	61.68	12.09	3.82	28.04	24.99	2.32	11.04	7.51	8.85	13.52	18.7	31.22	8.25	7.51	9.56	5.82	36.79	68.55	17.13	20.41	44.89	13.83	11.55	16.75	41.81	14.35	16.15	61.25	12.0	3.82	31.0	18.16	15.0	67.59	14.14	13.72	51.35	1.66	21.47	67.59	67.59	19.82	29.91	81.71	6.52	10.39
KDR	87.65	39.22	171.45	148.09	314.17	305.55	166.73	103.69	120.1	215.77	102.25	353.59	0.0	555.41	92.7	87.03	0.54	76.71	193.01	255.0	190.34	511.0	267.73	104.42	341.51	158.79	361.04	170.25	348.71	214.27	466.88	236.21	521.76	909.17	1936.53	1508.65	500.46	514.56	802.41	279.14	1081.39	1088.92	669.92	693.58	665.29	1111.82	258.57	106.63	373.81	1359.57	785.88	334.46	303.44	954.43	660.68	1030.12	620.67	1104.13	1191.69	642.59	511.0	341.51	785.88	387.02	1870.53	1295.13	1059.11	1498.22	441.64	1030.12	559.28	1151.06	325.29	1304.15	555.41	1044.52	633.73	460.44	1487.87	934.76	2163.77	525.39	503.95	860.08	218.79	2178.83
KIAA0408	0.0	0.83	8.38	15.8	35.76	7.82	74.58	1.48	9.27	12.55	4.74	74.06	0.0	20.56	23.93	16.39	0.07	6.52	18.29	4.82	33.54	63.45	19.82	2.32	8.58	3.96	24.46	15.45	11.21	40.64	8.71	46.84	343.89	651.58	1191.69	1378.57	34.75	1313.23	2609.3	1519.15	612.11	830.75	119.26	490.14	2335.28	1127.35	642.59	208.38	368.65	2384.37	1721.16	633.73	67.12	1662.49	954.43	607.87	813.63	791.35	66.18	748.61	1001.93	514.56	1498.22	543.96	1417.35	1561.89	507.46	890.44	551.56	607.87	476.71	612.11	954.43	1350.18	490.14	242.88	1268.46	224.97	2209.26	624.99	743.43	902.89	928.3	1508.65	563.18	476.71
LGALS9	94.01	181.28	1457.23	642.59	2997.45	890.44	934.76	2240.11	3349.13	679.29	2591.27	1208.34	0.0	2384.37	1950.0	441.64	0.62	2400.97	1359.57	909.17	1844.76	1199.98	1175.27	842.36	3018.3	591.22	1721.16	651.58	1467.37	1697.45	733.19	2591.27	7642.41	4419.52	1388.16	8305.36	1628.26	2018.8	10512.82	4671.57	5672.41	3235.01	2855.44	3325.99	8305.36	7180.15	9876.98	8901.53	5711.87	2777.33	6121.9	7382.04	4181.07	2997.45	4869.99	8247.98	8191.0	1457.23	2816.11	3564.78	19618.49	3955.48	18178.19	4903.87	4450.27	1721.16	4512.4	3081.75	11035.54	4268.94	2573.36	8718.32	4769.75	2758.13	9474.59	5913.33	4972.34	5255.91	3515.68	6935.54	9606.86	10733.74	3982.99	2664.15	2976.74	4388.98
LRRN3	0.0	0.0	5.23	13.72	8.65	4.24	21.78	3.14	5.32	7.69	30.78	12.0	0.0	15.68	7.82	1.2	0.0	4.1	9.63	1.43	16.39	25.35	7.0	1.19	5.96	2.29	10.08	18.56	4.82	0.84	3.29	24.81	95.34	93.35	182.55	134.3	37.32	237.86	195.72	127.0	163.28	128.79	55.1	31.9	151.22	351.14	76.71	28.65	101.54	86.43	167.9	138.1	6.84	166.73	153.34	145.02	490.14	218.79	50.98	153.34	193.01	94.67	154.42	125.24	169.07	65.26	175.07	234.57	49.56	142.01	86.43	190.34	228.13	208.38	57.08	162.14	371.22	105.89	134.3	305.55	224.97	217.27	202.66	312.0	27.84	75.64
LUZP1	21.16	14.35	85.22	115.97	291.04	108.14	101.54	94.01	126.12	115.16	120.1	172.65	0.0	81.14	63.45	56.28	0.44	90.14	85.22	109.66	143.01	165.57	183.82	40.64	106.63	86.43	96.68	117.6	185.11	84.63	218.79	180.02	332.14	232.94	371.22	279.14	525.39	136.19	211.31	158.79	314.17	255.0	341.51	242.88	191.67	229.72	178.77	237.86	229.72	291.04	218.79	281.09	307.69	95.34	197.09	409.15	273.37	199.85	226.54	343.89	198.47	269.6	150.17	214.27	271.48	158.79	183.82	181.28	316.37	141.02	208.38	176.29	90.77	223.41	143.01	209.84	253.23	142.01	262.2	169.07	351.14	246.28	403.5	353.59	178.77	363.56
LYPD5	1.68	0.99	16.03	19.68	18.29	12.93	12.45	8.06	23.08	6.06	16.51	20.56	0.0	21.01	10.96	5.54	0.32	24.81	16.51	22.43	21.63	34.75	14.35	8.85	29.91	16.03	10.55	7.22	18.03	28.86	8.38	33.78	133.36	27.44	143.01	175.07	32.59	24.63	334.46	55.89	173.85	72.01	151.22	287.01	130.6	180.02	170.25	279.14	40.93	189.02	35.25	107.38	39.79	31.22	48.87	599.49	265.87	35.0	85.22	85.82	54.33	63.0	42.41	18.7	98.04	31.0	11.55	109.66	136.19	24.63	55.89	100.83	56.68	155.5	55.1	86.43	108.14	21.01	48.87	112.77	72.01	110.43	293.07	208.38	6.06	195.72
MBNL1	387.02	190.34	995.0	1073.91	1143.1	656.11	1051.79	543.96	1936.53	934.76	813.63	1757.34	2061.24	1044.52	466.88	423.61	1819.35	698.41	1540.37	406.31	718.08	1883.54	1540.37	312.0	854.13	547.75	854.13	1662.49	1159.07	1662.49	591.22	1111.82	1950.0	1519.15	2417.67	1498.22	2739.08	1628.26	1268.46	1477.58	1427.22	2018.8	1397.83	1896.65	1721.16	1794.29	1088.92	1628.26	1923.14	2367.9	2018.8	1519.15	2591.27	1417.35	1844.76	1883.54	1769.57	1977.24	1508.65	2400.97	1583.71	1508.65	2384.37	2133.97	1662.49	1662.49	2701.35	1628.26	1183.45	2061.24	1551.09	1769.57	1508.65	2178.83	1030.12	3768.09	2133.97	2434.5	2319.15	1359.57	3303.0	1259.69	2573.36	2609.3	2319.15	1794.29
MEF2A	127.0	115.97	361.04	371.22	551.56	503.95	307.69	285.03	441.64	420.68	237.86	412.0	187.71	555.41	262.2	150.17	164.42	379.04	325.29	224.97	293.07	497.0	429.54	244.57	323.03	241.19	283.05	400.71	532.74	460.44	363.56	438.59	796.86	633.73	713.11	890.44	733.19	579.04	547.75	603.67	603.67	738.29	397.93	902.89	825.0	579.04	540.19	547.75	819.3	981.29	921.88	633.73	981.29	490.14	684.02	563.18	607.87	802.41	587.13	1023.0	698.41	769.69	547.75	896.64	785.88	836.53	813.63	718.08	529.06	616.37	521.76	669.92	397.93	791.35	571.05	947.83	718.08	629.35	723.08	450.94	728.11	493.56	860.08	819.3	684.02	728.11
MILR1	2.01	5.36	58.71	29.48	58.71	32.36	35.0	82.87	79.45	27.64	86.43	78.34	0.0	43.94	45.53	26.28	0.39	148.09	74.58	17.38	94.67	67.12	46.5	32.13	52.45	74.06	36.53	14.56	130.6	19.25	43.32	92.05	76.17	67.12	28.04	165.57	16.15	92.7	171.45	194.36	124.37	177.53	128.79	36.01	167.9	167.9	101.54	193.01	299.25	60.39	178.77	181.28	93.35	144.01	56.28	161.02	273.37	181.28	77.79	131.51	242.88	88.26	84.63	43.63	134.3	71.5	153.34	127.0	295.11	146.03	44.89	351.14	381.68	130.6	126.12	141.02	142.01	77.25	36.01	307.69	115.16	201.25	98.04	111.21	62.56	45.53
