	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11P82.0426.SM.5HL5D	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1211K.1326.SM.5FQV2	GTEX.12WSJ.0726.SM.5GCN6	GTEX.11NSD.1226.SM.5986Q	GTEX.U3ZM.0626.SM.4DXTV	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZT9W.1226.SM.57WE4	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.YB5K.0726.SM.5LU8R	GTEX.11XUK.0726.SM.5EQMX	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZTSS.0726.SM.51MSN	GTEX.ZPCL.1226.SM.4WWFF	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.11VI4.0626.SM.5EQLO	GTEX.11P81.0926.SM.59874	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.13111.1226.SM.5GCNC	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
MAML3	96.01	56.68	127.89	68.55	75.64	68.07	50.98	73.03	51.71	59.97	50.98	62.56	31.67	72.01	94.01	18.56	42.41	51.71	41.81	71.0	69.52	43.63	97.36	92.05	45.53	0.0	0.35	151.22	159.9	115.16	187.71	435.55	114.36	316.37	197.09	166.73	387.02	470.14	83.45	131.51	185.11	301.33	132.44	173.85	525.39	155.5	217.27	218.79	82.29	909.17	521.76	139.07	260.38
MANEAL	77.25	62.12	57.08	53.57	18.97	20.56	27.64	35.25	13.32	29.91	23.76	8.78	19.39	26.86	42.41	14.89	31.45	21.94	17.25	29.48	20.11	39.5	16.88	37.59	35.76	0.0	0.06	47.17	83.45	77.25	53.95	52.08	62.56	98.73	83.45	83.45	64.34	43.02	84.04	52.45	107.38	140.04	58.3	52.82	62.56	87.03	48.52	105.15	79.45	63.89	97.36	131.51	57.08
MAPK10	265.87	157.68	297.17	226.54	163.28	79.45	125.24	142.01	166.73	119.26	88.26	69.03	90.14	36.53	132.44	42.71	76.71	113.56	90.77	89.51	33.3	53.57	108.9	96.68	90.77	0.0	0.37	339.14	748.61	559.28	934.76	836.53	703.28	884.29	1081.39	909.17	669.92	878.17	854.13	1487.87	872.1	1183.45	603.67	988.12	808.0	860.08	961.07	791.35	591.22	473.41	1159.07	1001.93	1167.14
MED29	915.51	748.61	647.07	723.08	587.13	679.29	571.05	521.76	532.74	599.49	620.67	543.96	656.11	660.68	629.35	612.11	607.87	638.15	708.18	571.05	551.56	567.1	660.68	684.02	665.29	0.0	0.57	684.02	713.11	830.75	1051.79	713.11	785.88	1721.16	921.88	1127.35	1023.0	1104.13	791.35	476.71	1051.79	995.0	819.3	575.03	1295.13	1143.1	934.76	842.36	902.89	1191.69	1096.5	1127.35	1143.1
MEF2C	454.09	403.5	346.29	473.41	297.17	202.66	256.78	348.71	215.77	183.82	248.0	185.11	152.28	151.22	299.25	136.19	234.57	295.11	149.12	237.86	244.57	144.01	241.19	291.04	379.04	116.78	209.84	830.75	703.28	660.68	934.76	669.92	819.3	698.41	1104.13	620.67	656.11	518.15	688.78	575.03	665.29	743.43	1143.1	291.04	579.04	723.08	551.56	507.46	490.14	397.93	748.61	780.44	400.71
METTL24	954.43	293.07	289.02	193.01	108.9	50.63	166.73	142.01	147.06	176.29	107.38	86.43	180.02	78.34	144.01	43.02	99.43	150.17	76.17	105.15	64.8	287.01	121.79	161.02	175.07	0.0	0.29	483.38	743.43	775.05	379.04	500.46	571.05	473.41	974.5	507.46	318.57	460.44	1008.9	775.05	518.15	1015.93	967.76	299.25	563.18	878.17	480.04	791.35	738.29	476.71	669.92	620.67	493.56
MMP16	74.06	18.7	28.24	19.53	8.51	5.23	11.38	17.0	13.42	11.64	9.7	7.94	7.0	3.35	14.67	3.08	8.13	9.56	6.94	8.78	9.63	5.96	6.06	9.56	8.19	0.0	0.02	36.53	80.01	60.39	68.55	34.26	39.79	18.7	68.55	57.89	18.97	18.03	33.54	25.35	37.32	45.53	38.12	22.26	17.9	29.27	20.26	29.06	40.36	18.7	25.35	26.1	18.97
MYH11	925580.18	839981.65	343510.77	271387.49	260332.24	220434.95	273275.14	258533.99	241220.67	251464.33	249727.34	193234.41	280957.98	253213.41	286861.53	220434.95	205673.01	299043.36	225066.78	280957.98	202841.44	236256.4	282912.21	263966.36	273275.14	0.0	0.79	425853.18	411347.03	417089.23	353168.2	397335.0	414208.18	405683.88	527933.71	721179.07	513497.31	456418.21	606436.73	857631.47	462789.59	561916.97	425853.18	520665.48	682276.92	577714.63	527933.71	405683.88	428815.23	565825.41	466008.55	381149.17	696613.03
NBEA	743.43	423.61	400.71	341.51	316.37	255.0	221.86	231.32	220.32	234.57	215.77	295.11	275.28	215.77	244.57	127.0	283.05	381.68	218.79	248.0	275.28	249.73	242.88	253.23	320.8	0.0	0.27	507.46	571.05	603.67	785.88	373.81	507.46	563.18	555.41	748.61	341.51	368.65	902.89	941.27	473.41	536.45	500.46	373.81	476.71	511.0	514.56	713.11	693.58	748.61	521.76	587.13	674.59
NCALD	1313.23	1104.13	3060.45	693.58	366.09	395.18	412.0	733.19	543.96	281.09	497.0	275.28	368.65	389.72	454.09	146.03	215.77	450.94	318.57	490.14	275.28	348.71	293.07	435.55	620.67	0.0	0.45	612.11	1208.34	1216.75	1023.0	738.29	718.08	656.11	1519.15	1183.45	647.07	961.07	559.28	802.41	813.63	1015.93	1388.16	1044.52	1378.57	872.1	1059.11	842.36	1015.93	620.67	1081.39	511.0	890.44
NDN	1769.57	1199.98	974.5	1096.5	693.58	674.59	830.75	954.43	796.86	379.04	507.46	400.71	738.29	728.11	921.88	567.1	438.59	915.51	551.56	921.88	575.03	791.35	934.76	974.5	1378.57	0.0	0.61	1151.06	1529.73	1551.09	2739.08	1909.85	1757.34	1991.0	2240.11	2537.92	2163.77	1605.83	1572.76	1605.83	2119.22	2664.15	2319.15	1233.75	1757.34	1963.57	1697.45	2047.0	1909.85	1268.46	2075.59	1870.53	1551.09
NRXN2	1733.13	138.1	114.36	82.87	64.34	20.86	80.01	76.17	59.13	13.32	32.36	34.02	31.45	19.97	47.84	14.24	40.36	29.48	49.56	61.25	18.7	67.59	57.89	29.06	70.51	0.0	0.23	239.52	314.17	159.9	698.41	387.02	612.11	218.79	384.34	483.38	273.37	299.25	703.28	289.02	265.87	444.72	320.8	265.87	164.42	521.76	134.3	297.17	325.29	441.64	323.03	403.5	232.94
NT5E	514.56	334.46	305.55	150.17	182.55	197.09	217.27	312.0	171.45	129.69	115.16	117.6	119.26	136.19	187.71	129.69	98.04	186.4	135.24	281.09	279.14	186.4	351.14	265.87	175.07	0.0	0.45	543.96	575.03	651.58	947.83	718.08	1167.14	791.35	1628.26	1331.57	854.13	559.28	1015.93	438.59	718.08	1781.89	1208.34	575.03	728.11	1096.5	961.07	825.0	656.11	511.0	743.43	825.0	514.56
NXPE3	190.34	251.48	275.28	223.41	249.73	204.07	246.28	197.09	202.66	249.73	199.85	239.52	193.01	194.36	244.57	166.73	220.32	293.07	185.11	161.02	132.44	187.71	201.25	197.09	218.79	142.01	90.14	228.13	305.55	309.83	260.38	253.23	265.87	540.19	281.09	303.44	332.14	159.9	429.54	325.29	414.87	457.25	249.73	205.5	277.2	312.0	316.37	366.09	293.07	293.07	426.57	271.48	314.17
OGN	1757.34	1242.34	1104.13	753.83	397.93	466.88	406.31	642.59	323.03	813.63	246.28	454.09	395.18	389.72	389.72	251.48	341.51	642.59	320.8	346.29	371.22	197.09	674.59	591.22	647.07	0.0	0.09	2417.67	2591.27	2148.82	2537.92	3540.14	6426.31	4066.71	9740.98	12076.21	3124.78	5006.93	4038.61	1781.89	4450.27	8598.28	2591.27	684.02	1745.2	3540.14	1950.0	5441.3	2895.31	1268.46	3168.41	3982.99	1151.06
P2RY1	239.52	11.82	17.9	7.34	10.24	2.34	5.36	18.97	10.63	20.41	10.88	8.85	10.39	6.11	10.88	3.96	7.57	10.31	6.62	11.04	4.62	7.57	11.04	11.04	8.38	0.0	0.59	21.32	36.27	61.25	109.66	45.85	358.54	39.22	129.69	176.29	28.86	27.05	66.65	58.71	66.18	221.86	85.22	22.75	19.39	186.4	49.91	49.56	34.26	58.71	53.19	165.57	40.93
PCDHGB6	159.9	111.21	96.01	118.43	80.57	104.42	90.77	98.73	131.51	100.83	63.0	73.54	87.03	60.82	67.59	111.21	68.07	90.77	51.71	64.8	61.68	48.52	44.89	73.03	78.34	0.0	0.34	87.03	118.43	165.57	169.07	165.57	221.86	199.85	232.94	152.28	220.32	105.89	92.7	92.7	181.28	249.73	147.06	127.89	92.7	173.85	143.01	109.66	150.17	152.28	143.01	206.94	105.15
PCDHGB7	551.56	397.93	256.78	255.0	214.27	206.94	173.85	212.78	253.23	199.85	264.03	231.32	234.57	224.97	236.21	368.65	226.54	231.32	194.36	205.5	182.55	151.22	202.66	182.55	246.28	0.0	0.4	234.57	381.68	420.68	587.13	412.0	323.03	409.15	381.68	341.51	438.59	366.09	305.55	312.0	435.55	651.58	341.51	256.78	348.71	275.28	432.53	351.14	316.37	412.0	450.94	444.72	341.51
PCTP	406.31	176.29	327.56	221.86	197.09	226.54	361.04	283.05	269.6	239.52	221.86	215.77	244.57	366.09	232.94	239.52	303.44	269.6	346.29	198.47	164.42	299.25	246.28	267.73	312.0	0.0	0.45	400.71	698.41	723.08	674.59	1331.57	1350.18	1417.35	825.0	1088.92	1233.75	1208.34	813.63	1295.13	1159.07	743.43	698.41	1167.14	1199.98	713.11	1662.49	1111.82	825.0	1397.83	1427.22	928.3	1697.45
PHACTR1	36.79	18.03	115.16	28.45	40.93	26.28	29.27	35.76	29.06	29.27	23.93	12.36	21.16	24.28	22.1	18.84	27.64	27.05	15.8	31.22	12.18	13.62	21.94	35.25	34.26	0.0	0.21	76.71	371.22	387.02	221.86	470.14	173.85	547.75	197.09	256.78	486.75	463.65	180.02	473.41	389.72	297.17	301.33	514.56	532.74	172.65	764.36	249.73	214.27	854.13	974.5	318.57	525.39
PKNOX2	108.9	74.06	78.89	77.79	69.03	40.64	48.87	70.01	44.57	43.63	37.05	31.45	43.32	24.63	47.5	42.41	47.17	41.22	42.41	43.32	39.5	53.57	55.89	64.34	68.55	0.0	0.37	105.89	149.12	153.34	176.29	123.5	312.0	143.01	176.29	100.83	120.94	208.38	190.34	142.01	94.67	376.41	128.79	85.22	54.33	187.71	116.78	144.01	246.28	111.21	143.01	159.9	101.54
PLIN4	5076.84	5872.48	2701.35	1923.14	1096.5	947.83	1127.35	1225.22	1883.54	941.27	1073.91	860.08	1963.57	728.11	1477.58	511.0	435.55	1519.15	1242.34	1066.48	1037.29	1088.92	872.1	1529.73	1111.82	0.0	0.69	1340.84	2855.44	3372.43	6471.02	1991.0	3639.7	3639.7	3982.99	1806.78	3168.41	2417.67	3540.14	5329.3	2163.77	3419.52	2319.15	1540.37	1963.57	5076.84	4268.94	3081.75	4481.23	3690.52	1769.57	3982.99	5872.48
PPP1R1A	3901.01	583.07	1268.46	947.83	559.28	559.28	490.14	246.28	291.04	229.72	329.84	384.34	703.28	242.88	376.41	141.02	299.25	753.83	397.93	256.78	113.56	392.44	82.29	237.86	521.76	0.0	0.35	607.87	4481.23	2915.45	4328.55	3190.46	5633.22	3081.75	4836.35	2502.97	2816.11	4152.18	2645.74	10296.45	3614.55	2609.3	2976.74	5292.48	2935.74	3168.41	4769.75	3081.75	2255.7	3372.43	4512.4	3018.3	6426.31
PRUNE	563.18	403.5	373.81	441.64	353.59	384.34	343.89	403.5	327.56	376.41	363.56	397.93	400.71	525.39	454.09	366.09	395.18	397.93	289.02	389.72	406.31	381.68	400.71	400.71	466.88	0.0	0.42	447.82	507.46	559.28	444.72	629.35	511.0	447.82	642.59	532.74	518.15	525.39	595.34	551.56	514.56	842.36	450.94	273.37	612.11	713.11	514.56	638.15	473.41	543.96	836.53	738.29	529.06
RHOJ	866.07	791.35	426.57	334.46	172.65	157.68	239.52	483.38	271.48	236.21	265.87	150.17	163.28	170.25	423.61	204.07	229.72	275.28	212.78	271.48	218.79	220.32	202.66	361.04	366.09	54.72	228.13	1008.9	1896.65	1697.45	1447.15	785.88	1104.13	638.15	1378.57	921.88	532.74	579.04	1073.91	1059.11	651.58	1508.65	1066.48	395.18	669.92	1487.87	559.28	1023.0	896.64	825.0	607.87	954.43	718.08
RIN3	1151.06	480.04	543.96	226.54	199.85	212.78	363.56	361.04	343.89	305.55	251.48	231.32	260.38	223.41	299.25	265.87	198.47	264.03	334.46	249.73	211.31	281.09	232.94	312.0	305.55	0.0	0.75	651.58	674.59	669.92	915.51	872.1	928.3	830.75	802.41	854.13	633.73	571.05	808.0	1159.07	743.43	1233.75	896.64	743.43	780.44	921.88	836.53	748.61	1051.79	791.35	723.08	551.56	796.86
RNF165	32.59	30.34	24.63	21.16	4.46	2.61	5.68	14.24	5.32	3.96	1.75	7.4	7.94	1.01	4.82	2.48	2.07	5.23	6.89	4.7	3.35	6.52	13.12	3.89	16.51	0.0	0.34	35.76	32.82	40.64	105.89	49.56	84.63	36.01	93.35	32.13	22.92	71.0	68.07	51.35	59.13	50.27	59.55	15.0	11.64	110.43	34.51	44.57	77.25	25.72	18.03	39.22	23.59
ROR1	262.2	29.91	88.88	88.26	52.45	8.65	44.89	34.75	44.57	34.02	55.49	23.08	22.59	20.26	36.27	18.29	33.3	30.78	21.94	34.75	12.55	59.13	38.95	29.48	35.25	70.01	136.19	384.34	497.0	429.54	148.09	146.03	92.05	135.24	212.78	703.28	87.65	99.43	309.83	215.77	178.77	567.1	400.71	88.88	190.34	185.11	255.0	124.37	84.63	181.28	199.85	122.64	146.03
RPL39L	363.56	181.28	183.82	98.73	57.08	65.72	143.01	223.41	74.58	91.41	77.25	57.08	82.87	96.68	78.89	76.17	236.21	65.26	80.01	94.67	180.02	141.02	92.05	218.79	209.84	0.0	0.83	133.36	275.28	223.41	463.65	493.56	954.43	703.28	728.11	212.78	366.09	967.76	303.44	529.06	796.86	896.64	480.04	299.25	665.29	507.46	256.78	909.17	293.07	269.6	703.28	743.43	435.55
RPRD2	591.22	497.0	493.56	547.75	444.72	353.59	381.68	457.25	346.29	480.04	466.88	384.34	435.55	336.79	559.28	297.17	423.61	559.28	358.54	423.61	363.56	351.14	525.39	397.93	571.05	214.27	229.72	656.11	764.36	896.64	660.68	780.44	583.07	890.44	679.29	698.41	688.78	583.07	688.78	665.29	679.29	1023.0	529.06	283.05	567.1	769.69	808.0	660.68	583.07	860.08	967.76	1059.11	642.59
SDC2	3794.3	2468.49	2209.26	1870.53	1359.57	1073.91	1295.13	1832.01	1617.0	1216.75	1277.29	1242.34	1119.56	1508.65	1191.69	954.43	1088.92	1617.0	1081.39	1617.0	1277.29	1277.29	1561.89	1151.06	1628.26	0.0	0.71	1923.14	2163.77	2287.2	2133.97	5041.77	1794.29	2451.44	3515.68	3690.52	3395.89	3168.41	1950.0	1605.83	2384.37	2739.08	2997.45	1685.71	2976.74	1745.2	2895.31	1950.0	1397.83	2855.44	3794.3	1651.0	2627.46
SEMA6A	429.54	162.14	211.31	232.94	96.68	105.15	123.5	162.14	150.17	169.07	154.42	111.99	101.54	78.89	120.94	70.51	134.3	129.69	109.66	89.51	74.58	74.58	100.83	150.17	161.02	55.49	115.97	426.57	679.29	607.87	1950.0	1183.45	1008.9	769.69	1286.18	660.68	1030.12	651.58	802.41	1081.39	1519.15	1295.13	890.44	438.59	748.61	836.53	1111.82	674.59	607.87	1295.13	941.27	759.08	616.37
SEMA6D	118.43	107.38	82.87	191.67	90.77	30.78	40.36	62.56	58.71	61.68	56.28	32.13	55.49	24.63	74.06	30.12	96.01	131.51	22.26	74.06	69.03	70.51	85.82	55.89	103.69	0.0	0.36	194.36	256.78	406.31	647.07	684.02	232.94	112.77	928.3	435.55	283.05	237.86	368.65	297.17	327.56	567.1	234.57	183.82	148.09	454.09	167.9	384.34	236.21	303.44	215.77	285.03	151.22
SERTAD4	470.14	63.0	36.53	19.53	51.71	13.62	78.34	89.51	46.18	29.06	24.81	21.01	29.27	14.78	16.88	13.12	27.25	24.11	22.26	46.84	18.97	50.98	25.54	42.41	63.0	6.06	58.3	305.55	336.79	571.05	616.37	194.36	339.14	114.36	884.29	1388.16	159.9	149.12	483.38	277.2	483.38	1208.34	1037.29	86.43	368.65	1286.18	201.25	406.31	669.92	159.9	209.84	679.29	170.25
SLC22A17	1519.15	1277.29	921.88	743.43	466.88	358.54	536.45	642.59	642.59	438.59	387.02	381.68	616.37	241.19	490.14	332.14	563.18	656.11	426.57	497.0	450.94	473.41	616.37	525.39	915.51	0.0	0.71	660.68	1313.23	1417.35	4181.07	934.76	2209.26	703.28	2555.58	1519.15	693.58	954.43	1447.15	1199.98	1208.34	3540.14	1066.48	698.41	483.38	1781.89	1023.0	1037.29	1268.46	669.92	1662.49	1832.01	902.89
SLITRK5	36.53	26.47	26.86	12.93	5.23	3.06	7.11	10.71	8.32	9.48	9.63	6.62	4.9	5.87	5.96	3.08	6.46	6.89	4.46	13.03	4.98	13.62	6.94	4.31	12.45	0.0	0.01	76.71	57.89	122.64	175.07	39.79	114.36	95.34	139.07	81.71	49.21	34.02	273.37	24.28	34.51	115.97	106.63	13.32	46.84	98.04	21.63	102.97	99.43	54.72	38.67	195.72	15.34
SMARCA2	1605.83	1295.13	1388.16	1662.49	928.3	866.07	1233.75	1467.37	1030.12	941.27	791.35	819.3	954.43	1447.15	1104.13	967.76	808.0	1191.69	1175.27	921.88	1059.11	961.07	995.0	1477.58	1277.29	595.34	231.32	1923.14	1674.06	2075.59	2119.22	2502.97	1819.35	2090.03	3614.55	2119.22	2104.58	1769.57	1757.34	2018.8	2895.31	3168.41	1594.73	921.88	1561.89	2061.24	2271.4	1923.14	2018.8	1135.2	1909.85	1950.0	1923.14
SMOC2	1044.52	2148.82	7911.95	2520.38	2287.2	836.53	1199.98	3146.52	1963.57	1685.71	470.14	1143.1	1167.14	583.07	1427.22	1104.13	466.88	1216.75	1159.07	1277.29	579.04	1286.18	1498.22	1242.34	1844.76	0.0	0.47	6121.9	11267.44	13123.73	14971.21	6207.38	9808.75	12676.65	10808.41	13123.73	10959.3	11267.44	9409.14	17437.64	10959.3	15285.81	14262.1	6516.03	11664.82	7749.1	16727.26	8963.45	8598.28	17197.56	14065.74	8598.28	14971.21
SNRK	441.64	536.45	518.15	511.0	384.34	327.56	406.31	420.68	334.46	341.51	387.02	285.03	323.03	307.69	353.59	301.33	376.41	309.83	323.03	466.88	406.31	327.56	389.72	303.44	529.06	0.0	0.15	536.45	607.87	551.56	813.63	525.39	796.86	616.37	842.36	624.99	547.75	400.71	791.35	651.58	612.11	693.58	497.0	368.65	470.14	872.1	532.74	514.56	647.07	620.67	674.59	813.63	633.73
SOX5	50.27	23.93	102.25	42.71	38.4	12.45	22.59	32.82	21.16	26.47	27.05	33.06	23.42	16.39	14.45	11.3	15.34	15.45	13.72	27.64	16.88	23.42	21.16	14.24	14.45	0.0	0.26	66.18	136.19	138.1	73.54	221.86	94.01	92.7	119.26	72.52	105.15	129.69	71.0	61.25	108.9	165.57	76.17	118.43	84.63	38.95	100.13	66.65	48.87	113.56	215.77	116.78	90.77
SSC5D	2119.22	1572.76	1277.29	490.14	441.64	143.01	314.17	403.5	226.54	229.72	277.2	283.05	444.72	173.85	599.49	152.28	325.29	490.14	181.28	521.76	412.0	295.11	633.73	595.34	830.75	0.0	0.27	1745.2	1605.83	1745.2	2537.92	961.07	3018.3	1191.69	2645.74	1977.24	860.08	902.89	1950.0	2193.99	1457.23	3928.15	1407.55	1088.92	612.11	3443.31	1508.65	718.08	1088.92	1059.11	1896.65	1216.75	1605.83
TCF4	878.17	403.5	368.65	432.53	264.03	191.67	307.69	466.88	323.03	316.37	348.71	211.31	236.21	246.28	414.87	181.28	314.17	273.37	201.25	353.59	264.03	249.73	291.04	289.02	473.41	127.0	52.45	830.75	669.92	860.08	1051.79	860.08	819.3	450.94	1216.75	796.86	679.29	441.64	688.78	435.55	759.08	1059.11	723.08	409.15	420.68	718.08	483.38	454.09	579.04	473.41	748.61	842.36	412.0
TLR3	186.4	64.34	56.68	67.12	30.12	31.0	48.87	73.54	22.26	52.82	39.5	18.84	9.7	36.01	51.35	25.54	48.18	32.13	29.27	45.53	53.95	35.0	52.08	59.55	70.51	0.0	0.11	239.52	142.01	199.85	409.15	353.59	387.02	224.97	583.07	156.59	167.9	126.12	231.32	82.87	389.72	1697.45	612.11	37.85	98.73	336.79	120.94	218.79	96.68	61.25	134.3	329.84	84.04
TRIM6	148.09	105.15	88.88	65.26	21.47	11.64	47.84	56.68	45.85	27.64	46.18	23.25	31.22	26.28	43.02	22.1	39.22	31.45	38.4	31.67	13.22	45.85	28.86	42.41	51.35	0.0	0.35	131.51	96.01	88.26	135.24	112.77	182.55	115.97	182.55	116.78	90.77	156.59	68.07	117.6	148.09	269.6	94.67	48.52	77.79	147.06	91.41	90.77	74.58	92.05	109.66	127.0	113.56
TSHZ1	1175.27	395.18	353.59	366.09	285.03	212.78	316.37	387.02	248.0	336.79	305.55	251.48	248.0	320.8	356.05	239.52	356.05	285.03	287.01	293.07	320.8	318.57	309.83	253.23	466.88	104.42	78.34	796.86	1111.82	1073.91	842.36	995.0	775.05	764.36	974.5	947.83	769.69	981.29	961.07	947.83	878.17	1322.37	878.17	426.57	830.75	1008.9	796.86	1088.92	708.18	890.44	928.3	961.07	954.43
TSPAN2	10883.59	3491.39	1819.35	1304.15	941.27	624.99	1023.0	1066.48	967.76	825.0	1397.83	961.07	981.29	1104.13	1216.75	571.05	791.35	842.36	1008.9	819.3	1059.11	1277.29	848.22	1023.0	1225.22	0.0	0.22	1628.26	2061.24	3303.0	1721.16	1896.65	1896.65	2664.15	2682.69	1991.0	1819.35	1950.0	2018.8	2485.67	1709.26	3768.09	2384.37	1023.0	2319.15	3060.45	1594.73	1963.57	1709.26	2075.59	1896.65	1991.0	1950.0
TTC28	400.71	217.27	332.14	316.37	325.29	170.25	208.38	327.56	198.47	204.07	163.28	186.4	241.19	146.03	314.17	118.43	206.94	334.46	111.99	295.11	164.42	169.07	265.87	242.88	237.86	0.0	0.43	384.34	412.0	497.0	769.69	599.49	518.15	334.46	567.1	536.45	603.67	406.31	412.0	363.56	599.49	1233.75	543.96	281.09	343.89	559.28	563.18	624.99	271.48	536.45	733.19	688.78	387.02
TTYH2	262.2	232.94	170.25	154.42	120.94	95.34	157.68	154.42	143.01	82.87	120.94	92.7	138.1	80.57	135.24	78.34	125.24	155.5	108.9	128.79	128.79	88.26	120.1	144.01	159.9	0.0	0.47	162.14	163.28	287.01	555.41	275.28	435.55	218.79	356.05	201.25	249.73	251.48	273.37	194.36	327.56	514.56	271.48	199.85	187.71	307.69	242.88	186.4	242.88	221.86	295.11	361.04	212.78
VSTM4	460.44	289.02	417.77	183.82	159.9	107.38	143.01	205.5	132.44	111.99	108.14	150.17	157.68	102.97	161.02	116.78	128.79	146.03	88.26	137.14	120.1	165.57	170.25	141.02	191.67	32.13	61.68	400.71	450.94	417.77	371.22	400.71	351.14	460.44	400.71	334.46	297.17	320.8	368.65	476.71	381.68	514.56	314.17	234.57	289.02	291.04	323.03	412.0	291.04	368.65	379.04	273.37	353.59
WASF1	511.0	348.71	320.8	215.77	176.29	138.1	351.14	205.5	258.57	332.14	253.23	314.17	476.71	423.61	161.02	139.07	249.73	204.07	186.4	191.67	148.09	381.68	193.01	221.86	133.36	0.0	0.97	647.07	890.44	981.29	493.56	603.67	457.25	743.43	579.04	866.07	521.76	417.77	1104.13	878.17	647.07	529.06	647.07	376.41	547.75	1277.29	420.68	551.56	1104.13	607.87	454.09	921.88	567.1
