	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.ZYW4.1126.SM.5SI99	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
PHF10	120.1	1322.37	1167.14	624.99	656.11	351.14	624.99	775.05	518.15	368.65	674.59	409.15	660.68	460.44	836.53	1037.29	316.37	825.0	595.34	476.71	780.44	780.44	813.63	620.67	336.79	854.13	738.29	406.31	1008.9	802.41	1295.13	1427.22	1277.29	1437.15	1135.2	1819.35	1447.15	1286.18	1304.15	1199.98	1159.07	1950.0	1119.56	1242.34	791.35	1639.59	981.29	1216.75	1151.06	1477.58	866.07	1407.55	1183.45
PHF20L1	256.78	258.57	301.33	133.36	136.19	269.6	140.04	218.79	231.32	57.08	111.21	34.26	161.02	55.49	136.19	151.22	68.07	167.9	140.04	145.02	77.79	154.42	115.16	164.42	138.1	173.85	137.14	67.59	127.0	138.1	400.71	457.25	480.04	332.14	316.37	423.61	361.04	279.14	397.93	251.48	275.28	616.37	256.78	351.14	669.92	759.08	902.89	567.1	490.14	486.75	616.37	629.35	1199.98
PIKFYVE	67.12	169.07	127.0	65.26	84.04	102.25	38.95	92.05	120.1	39.22	55.89	28.86	85.82	37.59	94.67	102.97	54.72	85.82	81.71	120.94	38.12	84.04	75.11	74.58	73.54	78.89	57.89	26.47	87.65	82.29	183.82	181.28	195.72	153.34	111.21	176.29	201.25	156.59	189.02	131.51	131.51	241.19	100.13	159.9	164.42	253.23	199.85	212.78	205.5	241.19	195.72	279.14	194.36
PRDM10	91.41	70.01	50.63	30.12	25.72	51.35	43.63	47.17	45.53	22.75	17.0	14.14	36.79	29.48	53.95	48.18	24.28	27.64	38.12	28.86	29.48	54.72	27.05	28.04	27.25	37.05	47.17	15.45	42.71	50.27	75.64	81.14	83.45	69.52	65.26	80.57	73.03	66.18	76.71	50.98	57.08	102.97	61.25	72.52	83.45	70.51	75.64	68.07	71.5	64.34	80.01	92.7	46.5
PRPF4B	1001.93	514.56	444.72	285.03	314.17	551.56	409.15	363.56	444.72	173.85	223.41	85.22	368.65	128.79	368.65	361.04	185.11	301.33	262.2	253.23	163.28	237.86	178.77	312.0	251.48	297.17	255.0	137.14	253.23	242.88	769.69	738.29	836.53	679.29	642.59	813.63	764.36	733.19	748.61	551.56	575.03	1167.14	616.37	738.29	674.59	1447.15	890.44	988.12	941.27	842.36	698.41	1111.82	954.43
RBM26	521.76	587.13	379.04	239.52	251.48	376.41	237.86	348.71	297.17	75.64	120.94	31.9	217.27	152.28	211.31	253.23	111.99	173.85	199.85	153.34	129.69	113.56	142.01	197.09	119.26	209.84	169.07	42.41	169.07	118.43	693.58	583.07	703.28	532.74	567.1	688.78	587.13	571.05	583.07	480.04	507.46	842.36	507.46	579.04	518.15	872.1	603.67	642.59	633.73	674.59	567.1	718.08	688.78
RGPD8	12.93	25.17	26.1	7.17	5.63	36.53	13.72	12.55	21.01	4.74	9.13	8.19	14.56	9.48	16.51	27.25	20.56	15.56	13.12	13.52	1.13	13.62	22.92	16.39	6.73	29.7	56.28	3.17	18.56	20.86	59.97	42.11	75.11	52.45	17.0	45.85	53.19	42.41	80.01	28.65	32.59	123.5	23.76	47.84	53.57	65.26	39.22	59.97	55.1	147.06	53.57	82.87	91.41
RP13-996F3.5	2.89	28.24	1.75	0.78	2.68	4.13	1.14	6.84	4.58	1.41	1.22	0.0	1.89	3.14	2.68	1.25	1.89	0.0	2.32	3.41	1.08	1.16	1.71	2.81	1.55	1.83	1.53	1.31	1.28	4.17	8.99	6.36	5.02	7.28	2.29	13.22	4.98	4.94	3.03	4.13	8.13	9.93	5.36	9.48	7.88	26.86	11.82	15.0	7.0	6.26	10.96	5.96	1.89
RSBN1L	299.25	220.32	232.94	149.12	133.36	256.78	111.99	171.45	166.73	67.59	80.01	32.59	123.5	110.43	127.0	137.14	107.38	128.79	134.3	90.14	102.97	115.97	80.01	142.01	92.05	129.69	148.09	64.8	116.78	120.1	343.89	271.48	285.03	248.0	291.04	301.33	285.03	255.0	297.17	209.84	258.57	281.09	183.82	283.05	242.88	307.69	295.11	454.09	279.14	397.93	234.57	480.04	314.17
RSPRY1	836.53	429.54	412.0	309.83	540.19	684.02	327.56	341.51	395.18	170.25	228.13	138.1	229.72	171.45	320.8	387.02	193.01	540.19	412.0	358.54	156.59	287.01	366.09	397.93	218.79	368.65	206.94	148.09	202.66	285.03	497.0	775.05	454.09	441.64	432.53	473.41	567.1	480.04	450.94	403.5	392.44	480.04	376.41	497.0	387.02	728.11	426.57	444.72	518.15	376.41	329.84	426.57	476.71
SEC24C	1857.6	909.17	941.27	988.12	947.83	1191.69	860.08	934.76	1044.52	896.64	647.07	665.29	819.3	780.44	651.58	791.35	518.15	638.15	703.28	909.17	348.71	591.22	813.63	518.15	688.78	928.3	529.06	366.09	669.92	884.29	1066.48	1388.16	1167.14	1127.35	909.17	1081.39	1167.14	1167.14	1127.35	1199.98	1088.92	1378.57	974.5	1242.34	1417.35	1081.39	1359.57	1088.92	1167.14	1331.57	1277.29	1350.18	1340.84
SENP7	114.36	271.48	223.41	65.26	110.43	147.06	120.94	147.06	105.15	37.05	44.57	15.91	146.03	29.7	90.77	92.05	52.45	57.89	92.7	85.82	31.0	72.52	64.34	144.01	53.57	90.77	51.71	18.84	58.3	39.5	320.8	325.29	346.29	265.87	241.19	348.71	271.48	264.03	244.57	199.85	226.54	529.06	197.09	305.55	205.5	567.1	291.04	447.82	381.68	275.28	186.4	387.02	332.14
SIK3	95.34	264.03	457.25	246.28	182.55	353.59	251.48	273.37	363.56	183.82	228.13	275.28	244.57	183.82	323.03	325.29	271.48	339.14	251.48	248.0	376.41	289.02	241.19	571.05	220.32	258.57	334.46	267.73	212.78	295.11	518.15	532.74	540.19	397.93	376.41	497.0	490.14	438.59	463.65	348.71	473.41	616.37	426.57	500.46	532.74	759.08	624.99	497.0	525.39	514.56	457.25	595.34	674.59
SLC11A2	500.46	3257.52	532.74	260.38	384.34	921.88	426.57	624.99	406.31	532.74	329.84	158.79	507.46	500.46	629.35	395.18	555.41	575.03	511.0	599.49	343.89	426.57	480.04	612.11	395.18	426.57	293.07	275.28	476.71	486.75	1143.1	1066.48	1088.92	728.11	848.22	954.43	1151.06	1073.91	872.1	1001.93	743.43	1111.82	688.78	1059.11	1183.45	1551.09	1191.69	1081.39	1096.5	796.86	1073.91	1233.75	1216.75
SMARCAD1	228.13	295.11	239.52	183.82	140.04	228.13	151.22	237.86	217.27	61.68	94.01	34.26	125.24	77.79	146.03	107.38	59.13	96.68	97.36	105.15	45.53	130.6	88.88	138.1	50.27	143.01	81.71	18.43	77.25	94.01	309.83	353.59	348.71	271.48	218.79	325.29	275.28	246.28	332.14	223.41	232.94	423.61	172.65	289.02	253.23	309.83	283.05	341.51	279.14	414.87	249.73	395.18	287.01
SNX19	417.77	180.02	454.09	339.14	406.31	669.92	490.14	363.56	603.67	389.72	264.03	237.86	279.14	285.03	348.71	555.41	208.38	490.14	323.03	507.46	258.57	555.41	406.31	336.79	164.42	518.15	185.11	147.06	373.81	426.57	559.28	638.15	738.29	444.72	318.57	575.03	769.69	460.44	583.07	389.72	503.95	748.61	353.59	529.06	902.89	866.07	1015.93	748.61	854.13	1340.84	595.34	1199.98	759.08
SRCAP	441.64	392.44	438.59	341.51	651.58	866.07	309.83	470.14	612.11	387.02	134.3	145.02	417.77	197.09	248.0	327.56	73.54	251.48	260.38	277.2	221.86	273.37	229.72	289.02	65.26	260.38	148.09	39.5	234.57	221.86	679.29	928.3	813.63	674.59	454.09	718.08	775.05	665.29	780.44	486.75	591.22	796.86	457.25	738.29	684.02	529.06	713.11	679.29	842.36	860.08	665.29	934.76	872.1
SYNJ2	872.1	60.82	239.52	64.34	83.45	209.84	73.54	143.01	59.97	32.59	52.08	52.08	129.69	44.57	63.89	61.25	26.1	64.8	24.46	36.01	339.14	92.7	57.08	33.78	48.52	65.26	93.35	31.9	84.04	48.18	197.09	215.77	141.02	127.0	144.01	186.4	193.01	180.02	131.51	121.79	136.19	253.23	135.24	176.29	118.43	171.45	152.28	154.42	130.6	208.38	125.24	161.02	152.28
THRAP3	1313.23	1015.93	1159.07	954.43	921.88	1250.98	878.17	1051.79	1191.69	633.73	599.49	571.05	988.12	603.67	579.04	796.86	547.75	693.58	909.17	688.78	769.69	934.76	728.11	860.08	384.34	947.83	909.17	466.88	785.88	713.11	1628.26	1883.54	1427.22	1540.37	1119.56	1639.59	1447.15	1674.06	1519.15	1378.57	1417.35	2193.99	1104.13	1508.65	1378.57	1467.37	1477.58	1572.76	1870.53	2287.2	1417.35	1697.45	1457.23
TPP2	693.58	708.18	486.75	379.04	353.59	457.25	525.39	384.34	460.44	205.5	348.71	195.72	392.44	323.03	624.99	363.56	285.03	371.22	420.68	281.09	295.11	366.09	301.33	457.25	277.2	406.31	323.03	165.57	507.46	441.64	563.18	764.36	559.28	361.04	575.03	460.44	476.71	473.41	447.82	457.25	429.54	733.19	403.5	532.74	708.18	836.53	738.29	684.02	656.11	728.11	796.86	723.08	660.68
TRDMT1	65.26	71.5	95.34	57.08	29.06	73.03	79.45	94.67	38.95	15.68	17.13	17.51	17.0	13.52	42.71	63.0	102.97	16.15	6.46	35.5	33.54	14.78	21.78	18.29	19.39	11.04	31.67	5.11	16.39	28.65	108.9	127.89	74.06	90.77	71.5	120.94	106.63	101.54	109.66	73.03	106.63	150.17	102.25	103.69	109.66	211.31	155.5	237.86	95.34	154.42	132.44	139.07	109.66
TULP4	163.28	86.43	120.94	94.67	84.63	81.14	85.22	65.26	87.65	92.7	23.25	19.97	43.32	26.1	44.25	47.17	16.51	50.98	44.57	32.36	19.25	30.34	33.06	34.51	18.84	49.91	21.32	25.91	44.25	46.84	112.77	127.89	92.7	90.14	118.43	128.79	102.97	113.56	108.9	98.04	100.13	138.1	77.25	92.05	104.42	102.25	114.36	134.3	112.77	131.51	100.13	148.09	120.1
UBP1	1407.55	587.13	759.08	279.14	447.82	583.07	327.56	603.67	438.59	265.87	312.0	255.0	536.45	575.03	466.88	521.76	334.46	642.59	346.29	624.99	309.83	332.14	497.0	633.73	514.56	688.78	432.53	149.12	447.82	483.38	1127.35	860.08	954.43	915.51	921.88	866.07	974.5	1001.93	995.0	718.08	743.43	1388.16	660.68	819.3	785.88	941.27	988.12	854.13	796.86	684.02	674.59	928.3	872.1
UBXN4	1769.57	1819.35	1225.22	928.3	791.35	1417.35	854.13	1143.1	988.12	277.2	848.22	334.46	915.51	830.75	1417.35	1208.34	860.08	1119.56	1159.07	1340.84	616.37	1096.5	974.5	941.27	854.13	1167.14	785.88	521.76	1359.57	1286.18	1674.06	1697.45	1870.53	1896.65	1745.2	1628.26	1769.57	1551.09	1870.53	1397.83	1508.65	2004.85	1268.46	1583.71	1183.45	2224.63	1662.49	1674.06	1369.04	1628.26	1340.84	1844.76	1662.49
UNK	269.6	587.13	450.94	327.56	353.59	277.2	363.56	346.29	551.56	429.54	117.6	142.01	153.34	125.24	117.6	129.69	182.55	115.16	108.9	116.78	166.73	141.02	73.03	206.94	204.07	155.5	186.4	76.17	104.42	96.68	429.54	483.38	511.0	511.0	356.05	555.41	417.77	486.75	460.44	426.57	529.06	454.09	511.0	529.06	507.46	669.92	555.41	547.75	647.07	884.29	595.34	629.35	642.59
VEZT	1127.35	379.04	813.63	507.46	563.18	1216.75	325.29	753.83	387.02	190.34	291.04	166.73	497.0	395.18	503.95	361.04	223.41	769.69	358.54	460.44	366.09	447.82	507.46	571.05	295.11	346.29	341.51	202.66	262.2	493.56	1225.22	1447.15	1225.22	1059.11	947.83	1208.34	1088.92	1111.82	1143.1	947.83	981.29	1388.16	866.07	1208.34	1081.39	1721.16	1313.23	1572.76	1051.79	1001.93	1088.92	1242.34	1304.15
WDFY2	88.88	105.89	138.1	49.56	18.56	167.9	52.45	84.63	57.89	37.05	43.94	45.21	94.01	80.01	67.59	68.07	48.18	55.49	58.3	56.68	68.07	65.26	67.12	73.03	45.53	93.35	48.18	47.17	66.65	55.1	158.79	150.17	206.94	155.5	122.64	162.14	169.07	129.69	178.77	120.94	125.24	209.84	115.16	169.07	157.68	239.52	209.84	186.4	169.07	125.24	157.68	198.47	156.59
WDR26	1081.39	802.41	878.17	575.03	521.76	791.35	551.56	733.19	463.65	503.95	366.09	299.25	620.67	287.01	476.71	579.04	403.5	460.44	547.75	343.89	432.53	318.57	392.44	420.68	450.94	796.86	532.74	287.01	432.53	314.17	1151.06	1073.91	1167.14	1081.39	1135.2	1044.52	1135.2	1073.91	1286.18	1059.11	928.3	1477.58	902.89	934.76	860.08	1127.35	981.29	909.17	934.76	872.1	703.28	1167.14	967.76
YLPM1	543.96	651.58	579.04	432.53	371.22	587.13	387.02	591.22	511.0	387.02	182.55	141.02	412.0	258.57	264.03	262.2	115.16	289.02	295.11	267.73	106.63	253.23	279.14	318.57	130.6	275.28	273.37	104.42	234.57	218.79	708.18	769.69	896.64	753.83	547.75	723.08	748.61	698.41	780.44	493.56	571.05	981.29	511.0	674.59	679.29	961.07	785.88	1008.9	896.64	669.92	591.22	921.88	836.53
ZBTB11	231.32	166.73	152.28	82.29	131.51	127.0	81.71	93.35	102.97	29.27	59.55	23.25	89.51	39.5	87.65	120.94	67.59	74.58	85.22	73.03	96.68	86.43	58.3	78.89	81.14	102.97	112.77	31.0	101.54	108.9	201.25	189.02	202.66	175.07	173.85	195.72	217.27	166.73	218.79	141.02	151.22	221.86	124.37	158.79	134.3	214.27	171.45	175.07	206.94	201.25	144.01	220.32	223.41
ZBTB8A	94.01	116.78	70.01	22.1	44.25	49.91	28.65	50.63	53.95	17.64	9.85	4.28	59.55	6.01	19.25	21.63	16.15	31.0	19.68	20.56	11.55	19.53	22.92	22.59	14.56	29.27	21.63	8.32	21.32	21.32	169.07	115.16	109.66	108.9	100.13	110.43	121.79	106.63	125.24	69.03	88.26	143.01	62.12	94.01	90.77	128.79	134.3	151.22	129.69	109.66	99.43	154.42	125.24
ZFP14	55.49	126.12	90.77	45.85	25.72	74.58	49.91	38.67	64.34	30.12	10.39	8.38	33.3	23.76	35.25	30.34	20.56	29.27	20.41	20.41	22.43	20.11	26.1	34.02	36.79	27.05	37.85	13.12	17.25	29.7	135.24	114.36	121.79	96.01	101.54	125.24	140.04	102.25	127.89	97.36	107.38	162.14	66.65	99.43	99.43	131.51	74.58	127.89	103.69	104.42	59.55	117.6	90.77
ZKSCAN2	70.01	56.68	41.22	27.05	51.71	53.57	30.78	32.82	37.59	40.93	13.72	16.03	21.01	35.5	27.44	16.88	21.16	23.25	14.35	28.45	35.25	19.68	22.26	31.45	18.03	8.13	17.64	11.82	11.13	22.43	40.93	60.39	57.49	42.41	31.9	44.89	38.12	34.75	47.5	39.22	43.32	58.3	20.56	43.94	39.22	55.49	57.08	74.06	54.72	31.0	38.95	61.68	49.56
ZNF140	518.15	384.34	457.25	248.0	281.09	262.2	237.86	293.07	251.48	204.07	165.57	77.25	239.52	175.07	142.01	206.94	133.36	185.11	134.3	120.94	71.5	215.77	154.42	176.29	159.9	194.36	187.71	119.26	169.07	146.03	525.39	381.68	447.82	503.95	525.39	486.75	463.65	473.41	457.25	420.68	483.38	555.41	376.41	438.59	444.72	665.29	363.56	536.45	503.95	563.18	392.44	500.46	521.76
ZNF254	417.77	769.69	132.44	74.06	118.43	161.02	107.38	118.43	127.89	44.25	75.11	24.99	115.16	59.97	149.12	84.63	93.35	96.68	91.41	72.52	51.71	103.69	53.95	102.97	107.38	40.64	102.25	281.09	145.02	52.08	275.28	356.05	301.33	346.29	253.23	334.46	297.17	265.87	253.23	229.72	264.03	450.94	183.82	287.01	299.25	444.72	273.37	518.15	343.89	248.0	320.8	420.68	358.54
ZNF384	860.08	1167.14	660.68	693.58	551.56	836.53	629.35	607.87	723.08	769.69	201.25	239.52	460.44	251.48	297.17	414.87	113.56	343.89	260.38	318.57	376.41	264.03	249.73	329.84	133.36	514.56	231.32	57.49	363.56	251.48	974.5	1111.82	1059.11	961.07	848.22	981.29	967.76	1001.93	872.1	775.05	1037.29	1167.14	890.44	1073.91	1111.82	890.44	941.27	1073.91	1151.06	1051.79	896.64	1111.82	1081.39
ZNF512	361.04	785.88	532.74	285.03	264.03	397.93	348.71	332.14	409.15	423.61	82.87	82.29	229.72	111.99	186.4	228.13	115.97	133.36	147.06	119.26	47.5	137.14	127.0	154.42	127.89	251.48	108.14	47.5	139.07	127.89	825.0	1037.29	802.41	753.83	791.35	866.07	860.08	842.36	759.08	651.58	796.86	941.27	660.68	842.36	769.69	1498.22	698.41	872.1	934.76	738.29	698.41	878.17	836.53
ZNF605	148.09	124.37	96.68	52.08	59.55	55.49	64.34	48.52	113.56	32.59	23.25	8.45	41.22	15.34	32.36	54.33	18.84	27.84	48.18	19.68	18.7	31.9	33.78	21.94	32.36	66.65	38.12	9.7	38.67	38.12	164.42	173.85	181.28	120.1	122.64	186.4	150.17	132.44	124.37	108.9	127.0	291.04	105.15	154.42	169.07	232.94	153.34	223.41	217.27	291.04	156.59	258.57	139.07
ZNF81	59.97	23.08	43.32	37.05	24.46	40.64	43.94	33.06	45.53	21.78	26.1	29.91	36.79	8.25	14.03	18.84	17.9	29.91	13.93	24.81	30.34	13.52	3.96	14.78	16.27	23.25	31.67	17.51	18.84	21.78	37.05	43.63	60.39	50.27	32.36	53.19	53.95	63.0	39.79	45.53	25.72	60.82	47.84	52.45	61.68	62.56	53.95	66.65	52.82	73.54	64.8	103.69	45.21
ZNF891	32.82	23.76	31.0	15.34	25.72	15.91	23.42	29.27	25.35	6.06	10.08	7.22	15.45	5.63	24.99	21.01	11.3	13.42	11.21	4.74	12.0	18.7	3.86	15.22	21.32	24.11	23.25	14.24	12.64	10.16	28.65	24.28	20.11	27.64	26.67	30.78	28.45	22.43	28.65	22.1	21.94	35.76	27.84	29.06	33.06	42.41	35.5	75.64	47.5	36.79	37.85	59.97	42.71
