	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
SHARPIN	679.29	612.11	660.68	579.04	703.28	693.58	438.59	277.2	291.04	567.1	169.07	450.94	486.75	1111.82	1216.75	1359.57	2032.85	1819.35	1295.13	1191.69	1119.56	2119.22	967.76	1519.15	1044.52	1088.92	1794.29	1583.71	1467.37	1498.22	896.64	1757.34	1447.15	1331.57	1674.06	1073.91	1359.57	1628.26	1397.83	1397.83	1259.69	1498.22	1359.57	1331.57	1769.57	1313.23	884.29	1583.71	1870.53	1467.37	1733.13	1477.58	1857.6	1183.45	2796.65	1447.15	1857.6	1757.34	1883.54	1508.65	1397.83	1594.73	995.0	1781.89	1551.09	1183.45	1572.76	1407.55	1066.48	1208.34	1639.59	1104.13	1617.0	1167.14	1167.14	1331.57	1447.15	1277.29	791.35	947.83	1250.98	1674.06	2417.67	3372.43	2032.85	1369.04	1529.73	1639.59	1540.37	988.12	1769.57	1857.6	1359.57	1832.01	1936.53	1359.57	1794.29	1605.83	1561.89	1397.83	1991.0	1617.0	1583.71	1844.76	1794.29	974.5	1044.52	1183.45	1605.83	1794.29	1417.35	1540.37	2335.28	1844.76	1407.55	1008.9	1369.04	2335.28	1963.57	1605.83	1175.27	1127.35	825.0	1008.9	3018.3	995.0	1709.26	1277.29	1794.29	1081.39	1709.26	1277.29	2434.5	1359.57	1001.93	1832.01	988.12	1498.22	1936.53	1340.84	2335.28	1870.53	1977.24	1519.15	2816.11	1819.35	1662.49	1242.34	1819.35	1397.83	1651.0	1498.22	2148.82	1923.14	1950.0	1721.16	1745.2	1745.2	2075.59	1467.37	1447.15	1674.06	1111.82	1369.04	1037.29	1583.71	1697.45	1104.13	1151.06	1583.71	1447.15	1208.34	1322.37	1059.11
SIGIRR	525.39	493.56	412.0	327.56	450.94	503.95	295.11	361.04	441.64	748.61	346.29	348.71	403.5	791.35	1073.91	1331.57	2148.82	1857.6	1350.18	1304.15	713.11	2417.67	909.17	1340.84	764.36	1119.56	2434.5	1794.29	1896.65	1551.09	825.0	1519.15	1216.75	1477.58	1561.89	1208.34	1340.84	1883.54	1015.93	878.17	1044.52	1331.57	995.0	1191.69	1883.54	1286.18	848.22	1651.0	1268.46	1721.16	1733.13	1397.83	2075.59	1268.46	2351.53	1208.34	1277.29	2303.12	1519.15	1628.26	1322.37	2537.92	1023.0	1745.2	1259.69	1023.0	1519.15	1359.57	1111.82	1233.75	1628.26	872.1	1757.34	981.29	890.44	1268.46	1572.76	1127.35	1037.29	878.17	1001.93	2240.11	1397.83	2224.63	2090.03	974.5	1437.15	1639.59	1639.59	808.0	1359.57	2417.67	728.11	1844.76	1794.29	1295.13	2119.22	1295.13	1477.58	1427.22	2451.44	1104.13	1295.13	1991.0	1369.04	1135.2	884.29	866.07	2555.58	1008.9	947.83	1295.13	2335.28	1540.37	1561.89	1183.45	1104.13	1023.0	1806.78	1561.89	1088.92	1044.52	836.53	1037.29	2224.63	1015.93	1685.71	1096.5	1529.73	974.5	1322.37	854.13	2485.67	1015.93	928.3	1259.69	995.0	1008.9	890.44	866.07	2777.33	1331.57	1883.54	2287.2	1498.22	1583.71	1529.73	1208.34	1832.01	1208.34	1572.76	1745.2	1605.83	1909.85	2047.0	2090.03	2133.97	2434.5	2047.0	1781.89	1225.22	1447.15	1044.52	1175.27	967.76	1561.89	1794.29	1313.23	872.1	1662.49	1936.53	1008.9	941.27	684.02
SIRT6	145.02	140.04	94.01	110.43	133.36	140.04	88.26	83.45	70.51	176.29	66.18	44.89	54.72	353.59	327.56	507.46	669.92	780.44	426.57	444.72	287.01	728.11	363.56	507.46	236.21	379.04	665.29	624.99	540.19	693.58	197.09	624.99	567.1	529.06	563.18	366.09	447.82	629.35	441.64	450.94	483.38	587.13	358.54	361.04	665.29	493.56	301.33	503.95	693.58	633.73	543.96	638.15	743.43	432.53	587.13	559.28	583.07	738.29	543.96	718.08	587.13	507.46	287.01	595.34	543.96	293.07	665.29	384.34	429.54	551.56	603.67	384.34	587.13	409.15	368.65	536.45	435.55	514.56	373.81	229.72	320.8	647.07	595.34	583.07	679.29	314.17	525.39	551.56	684.02	327.56	551.56	435.55	366.09	660.68	612.11	454.09	688.78	490.14	599.49	612.11	836.53	470.14	713.11	825.0	381.68	397.93	303.44	447.82	529.06	486.75	470.14	470.14	607.87	669.92	591.22	392.44	583.07	708.18	629.35	559.28	414.87	379.04	229.72	218.79	825.0	403.5	616.37	483.38	624.99	373.81	547.75	414.87	698.41	511.0	312.0	595.34	305.55	463.65	366.09	325.29	808.0	470.14	559.28	642.59	629.35	547.75	518.15	318.57	775.05	432.53	473.41	579.04	866.07	679.29	493.56	785.88	1001.93	656.11	825.0	629.35	567.1	595.34	483.38	450.94	417.77	624.99	599.49	414.87	400.71	543.96	454.09	389.72	361.04	435.55
SIVA1	854.13	848.22	651.58	444.72	947.83	915.51	454.09	392.44	525.39	656.11	194.36	100.83	159.9	1225.22	1081.39	1844.76	2796.65	2319.15	2148.82	1487.87	1183.45	2758.13	1350.18	1191.69	1331.57	1572.76	2287.2	2537.92	2384.37	2061.24	1051.79	2451.44	2835.7	2271.4	2384.37	1467.37	2271.4	2816.11	1794.29	1963.57	1685.71	1883.54	1583.71	1721.16	2895.31	1896.65	1340.84	1697.45	2240.11	2520.38	2777.33	2537.92	2119.22	1551.09	2645.74	1477.58	2351.53	2956.17	2555.58	2758.13	2384.37	2485.67	1639.59	2367.9	1721.16	1388.16	1950.0	1572.76	1388.16	2224.63	1769.57	1721.16	1909.85	1883.54	1757.34	2319.15	2104.58	1757.34	1259.69	1369.04	1350.18	1977.24	2090.03	2956.17	3419.52	1378.57	2520.38	1963.57	2609.3	1151.06	2047.0	4152.18	1143.1	2451.44	2935.74	1605.83	1844.76	2104.58	2047.0	2417.67	3443.31	2018.8	2502.97	2739.08	1350.18	1572.76	1350.18	1639.59	3018.3	1467.37	1909.85	1936.53	2997.45	1909.85	2061.24	1369.04	2090.03	2367.9	1639.59	2537.92	1662.49	1216.75	896.64	1350.18	2976.74	1331.57	3190.46	1977.24	2367.9	1617.0	2018.8	1651.0	2664.15	2178.83	1304.15	2061.24	1457.23	1844.76	1909.85	1487.87	2855.44	1806.78	2627.46	2537.92	2224.63	1561.89	2075.59	1350.18	3168.41	2018.8	2701.35	2591.27	3168.41	2434.5	2591.27	2090.03	2520.38	2875.3	2573.36	2645.74	2351.53	2271.4	2758.13	2090.03	2193.99	3060.45	2895.31	2178.83	2573.36	2451.44	3039.3	2335.28	2417.67	1896.65
SLC25A1	947.83	981.29	1540.37	486.75	1457.23	1277.29	575.03	529.06	595.34	825.0	273.37	525.39	629.35	2018.8	1417.35	2061.24	3168.41	3257.52	2240.11	2720.15	1350.18	2400.97	1594.73	2335.28	830.75	1417.35	3146.52	2956.17	1896.65	2178.83	1467.37	3982.99	2451.44	1857.6	2417.67	1417.35	1662.49	3060.45	2271.4	2018.8	1923.14	1617.0	2502.97	1551.09	3928.15	1674.06	1487.87	2777.33	3280.18	1709.26	2609.3	2224.63	2664.15	1183.45	2682.69	1685.71	2468.49	2520.38	2895.31	2682.69	2384.37	2645.74	1259.69	3103.19	2485.67	607.87	2739.08	2271.4	1277.29	2555.58	3280.18	1832.01	2335.28	1551.09	1277.29	2384.37	2224.63	2720.15	1870.53	1651.0	1639.59	2163.77	1806.78	4239.45	3081.75	1397.83	2796.65	3982.99	2485.67	1617.0	2335.28	3443.31	1923.14	2367.9	2956.17	1733.13	2271.4	2895.31	3146.52	3589.58	2451.44	2224.63	2303.12	3467.27	2061.24	2701.35	1605.83	2104.58	1508.65	1794.29	2434.5	2468.49	3901.01	3060.45	2209.26	909.17	1936.53	2163.77	2555.58	2434.5	1397.83	2758.13	1159.07	1529.73	2835.7	1662.49	3235.01	2224.63	2255.7	1159.07	2701.35	1674.06	3665.02	1697.45	1457.23	2502.97	1313.23	1883.54	1378.57	1183.45	2997.45	2627.46	3190.46	3419.52	2209.26	1819.35	2664.15	1685.71	3443.31	2956.17	3060.45	2855.44	2777.33	2451.44	3081.75	2451.44	2664.15	2502.97	2976.74	2739.08	2224.63	1407.55	2224.63	2209.26	1628.26	2777.33	3443.31	2627.46	1857.6	1819.35	2178.83	1628.26	2193.99	1794.29
SLC25A39	1313.23	1199.98	1023.0	954.43	1183.45	947.83	848.22	540.19	728.11	1350.18	872.1	708.18	902.89	4328.55	4481.23	4328.55	6607.01	6840.04	3768.09	3901.01	2537.92	4639.29	2303.12	5292.48	2956.17	3847.29	6294.04	5006.93	4152.18	3690.52	2004.85	5633.22	4095.0	2193.99	4095.0	2032.85	3847.29	5219.6	4639.29	2485.67	3081.75	4836.35	4869.99	2997.45	6840.04	4268.94	2777.33	6426.31	6294.04	3982.99	5041.77	4575.41	6037.61	3395.89	6079.61	2758.13	4903.87	4512.4	4181.07	6471.02	3491.39	2627.46	2739.08	6207.38	5366.37	2520.38	6250.56	5517.27	2976.74	5041.77	5147.73	2720.15	5006.93	3419.52	2451.44	3665.02	2591.27	6250.56	4671.57	3257.52	3665.02	4802.93	4836.35	8421.31	6037.61	2645.74	3928.15	3742.05	6935.54	2835.7	5633.22	6471.02	5517.27	4639.29	4671.57	4239.45	5517.27	6079.61	5441.3	4239.45	3690.52	3614.55	4298.64	5441.3	5403.7	3491.39	3124.78	4181.07	3515.68	5366.37	3901.01	3060.45	7642.41	5672.41	2451.44	2875.3	4328.55	2193.99	6250.56	4268.94	2400.97	4450.27	1909.85	2591.27	6561.36	2319.15	4181.07	3901.01	4972.34	2739.08	2796.65	3018.3	7382.04	4123.49	2935.74	5366.37	1857.6	4123.49	1909.85	3349.13	5831.91	3146.52	4450.27	5633.22	6207.38	4298.64	6561.36	3928.15	5219.6	5329.3	5479.15	3190.46	4736.79	5555.65	4937.99	4769.75	5041.77	6037.61	4512.4	2855.44	5831.91	2609.3	3190.46	3303.0	2417.67	3928.15	4239.45	3168.41	2520.38	3564.78	4671.57	2384.37	2777.33	2434.5
SLX1A	175.07	119.26	152.28	131.51	234.57	199.85	117.6	98.73	66.18	135.24	283.05	363.56	267.73	287.01	256.78	336.79	376.41	493.56	412.0	518.15	183.82	616.37	387.02	417.77	204.07	215.77	371.22	353.59	231.32	432.53	301.33	896.64	674.59	358.54	358.54	356.05	511.0	444.72	371.22	444.72	181.28	373.81	289.02	371.22	540.19	358.54	295.11	314.17	463.65	447.82	348.71	457.25	358.54	305.55	703.28	316.37	403.5	521.76	414.87	336.79	406.31	629.35	236.21	713.11	414.87	309.83	476.71	285.03	438.59	457.25	575.03	307.69	376.41	305.55	205.5	289.02	684.02	406.31	336.79	176.29	305.55	320.8	426.57	323.03	785.88	224.97	500.46	497.0	438.59	241.19	429.54	603.67	248.0	389.72	559.28	480.04	336.79	551.56	447.82	441.64	563.18	540.19	703.28	651.58	316.37	281.09	358.54	412.0	679.29	316.37	420.68	339.14	693.58	325.29	575.03	309.83	301.33	708.18	289.02	532.74	187.71	303.44	211.31	251.48	450.94	273.37	674.59	241.19	567.1	224.97	514.56	351.14	785.88	376.41	358.54	497.0	309.83	215.77	320.8	248.0	769.69	463.65	285.03	1081.39	293.07	540.19	480.04	229.72	417.77	234.57	387.02	435.55	532.74	624.99	802.41	358.54	507.46	454.09	529.06	595.34	500.46	412.0	291.04	217.27	147.06	400.71	379.04	371.22	194.36	258.57	339.14	366.09	103.69	141.02
SNRPA	1008.9	954.43	836.53	1268.46	1259.69	878.17	947.83	967.76	802.41	567.1	738.29	503.95	836.53	1159.07	1295.13	1322.37	1721.16	1950.0	1295.13	1167.14	981.29	1806.78	1135.2	1208.34	1073.91	1388.16	1350.18	1477.58	1427.22	1487.87	934.76	1757.34	1757.34	1378.57	1477.58	1096.5	1397.83	1397.83	1594.73	1709.26	1359.57	1662.49	1457.23	1286.18	2004.85	1529.73	1250.98	1628.26	1991.0	1457.23	1529.73	1832.01	2075.59	1397.83	1250.98	1594.73	1794.29	1733.13	1551.09	1721.16	1605.83	1378.57	1268.46	1685.71	1781.89	981.29	2032.85	1605.83	1407.55	1159.07	1617.0	1096.5	1857.6	1242.34	1583.71	1250.98	1397.83	1467.37	1350.18	1233.75	1088.92	1388.16	1909.85	1909.85	1757.34	1242.34	1605.83	1233.75	2032.85	1111.82	2178.83	2209.26	1551.09	1844.76	1757.34	1397.83	1427.22	1487.87	1259.69	1605.83	2133.97	1674.06	1781.89	2451.44	1359.57	1037.29	1378.57	1757.34	1322.37	1088.92	1540.37	1322.37	2209.26	2032.85	1896.65	928.3	1572.76	1417.35	1561.89	1757.34	1322.37	1208.34	995.0	1001.93	2485.67	764.36	1870.53	1175.27	1397.83	1059.11	1467.37	1340.84	2090.03	1540.37	1037.29	1883.54	1191.69	1498.22	1135.2	1051.79	1950.0	1277.29	1685.71	1572.76	1685.71	1551.09	1870.53	1378.57	1870.53	1417.35	1757.34	1313.23	2119.22	1923.14	1359.57	1844.76	1674.06	1685.71	1651.0	1745.2	1977.24	1950.0	1044.52	1066.48	1051.79	1378.57	1628.26	1096.5	1066.48	1313.23	1388.16	1044.52	1295.13	738.29
SSBP4	647.07	536.45	476.71	463.65	466.88	525.39	392.44	616.37	343.89	629.35	177.53	269.6	299.25	808.0	651.58	1008.9	1277.29	981.29	947.83	974.5	529.06	1857.6	674.59	1008.9	624.99	1199.98	1191.69	1008.9	1322.37	1359.57	441.64	1605.83	842.36	1467.37	1259.69	1001.93	1159.07	1651.0	1151.06	928.3	1073.91	1030.12	791.35	967.76	1447.15	974.5	769.69	1023.0	1322.37	954.43	1295.13	1340.84	1191.69	698.41	1508.65	896.64	954.43	1769.57	961.07	1295.13	1183.45	728.11	503.95	1529.73	1059.11	587.13	1159.07	890.44	1135.2	1135.2	743.43	775.05	872.1	884.29	896.64	1096.5	1250.98	988.12	902.89	441.64	620.67	1175.27	1096.5	1233.75	1639.59	802.41	819.3	860.08	1104.13	733.19	1369.04	1870.53	518.15	1259.69	1561.89	848.22	902.89	1096.5	1651.0	1561.89	1519.15	842.36	995.0	2701.35	1286.18	1519.15	638.15	866.07	1733.13	759.08	764.36	688.78	1208.34	1073.91	1175.27	1037.29	1191.69	1447.15	848.22	1369.04	1088.92	785.88	426.57	305.55	1508.65	743.43	1427.22	1059.11	1030.12	941.27	1191.69	909.17	1487.87	934.76	638.15	902.89	928.3	941.27	890.44	575.03	1639.59	848.22	1151.06	1322.37	1407.55	1208.34	1081.39	567.1	1923.14	708.18	860.08	1295.13	1519.15	1605.83	1583.71	995.0	1350.18	1407.55	1519.15	1151.06	954.43	995.0	995.0	738.29	1088.92	928.3	1268.46	860.08	1183.45	651.58	813.63	884.29	836.53	507.46
SSNA1	764.36	660.68	493.56	346.29	656.11	728.11	283.05	395.18	490.14	808.0	165.57	312.0	273.37	1350.18	1437.15	1870.53	2573.36	2573.36	2271.4	1697.45	1487.87	2720.15	1378.57	1674.06	1250.98	1721.16	2915.45	2956.17	2018.8	2075.59	1127.35	2434.5	2178.83	2163.77	2739.08	1561.89	2047.0	2537.92	2004.85	2367.9	1857.6	2255.7	1397.83	1844.76	3018.3	2133.97	1467.37	2178.83	2956.17	2468.49	2351.53	2645.74	3081.75	1697.45	2271.4	2209.26	2240.11	2555.58	3235.01	2485.67	2061.24	2004.85	1286.18	2335.28	1991.0	1832.01	2303.12	2271.4	1572.76	1857.6	2351.53	1551.09	2451.44	1909.85	1709.26	1977.24	1977.24	1977.24	1359.57	1477.58	1819.35	2434.5	2915.45	3280.18	3515.68	1457.23	3039.3	2555.58	3690.52	1304.15	2351.53	4095.0	1605.83	2855.44	3039.3	1923.14	1977.24	2682.69	2104.58	1923.14	3235.01	2367.9	2956.17	2573.36	1794.29	1167.14	1832.01	1757.34	2796.65	1832.01	1721.16	2287.2	2777.33	2240.11	2004.85	1322.37	1950.0	2777.33	2796.65	2271.4	2090.03	1896.65	1073.91	1561.89	3146.52	1639.59	2997.45	1909.85	2417.67	1467.37	2193.99	1617.0	3540.14	2384.37	1369.04	2816.11	1417.35	2240.11	1991.0	1250.98	3742.05	2032.85	2796.65	2835.7	2573.36	2537.92	2555.58	1651.0	3820.7	1697.45	2835.7	2573.36	3325.99	2976.74	2591.27	2895.31	2875.3	3515.68	2701.35	3081.75	2240.11	2915.45	2384.37	2271.4	1857.6	2664.15	2895.31	1857.6	1709.26	3018.3	3349.13	1923.14	1909.85	1857.6
TCEA2	813.63	620.67	748.61	603.67	708.18	733.19	633.73	679.29	400.71	563.18	253.23	214.27	291.04	967.76	981.29	934.76	1477.58	1909.85	1313.23	915.51	780.44	1477.58	1044.52	813.63	775.05	1015.93	2047.0	1183.45	1233.75	1135.2	651.58	1662.49	1457.23	1151.06	1268.46	769.69	1322.37	1639.59	1096.5	1127.35	1175.27	1447.15	884.29	1059.11	1806.78	1037.29	753.83	1350.18	1519.15	1322.37	1639.59	1313.23	1151.06	1037.29	1111.82	848.22	1583.71	1819.35	1733.13	1081.39	1259.69	1277.29	995.0	1233.75	1051.79	674.59	1605.83	1119.56	981.29	1259.69	1304.15	1143.1	1277.29	860.08	866.07	1331.57	1233.75	1037.29	723.08	961.07	819.3	1437.15	1175.27	1183.45	1594.73	769.69	1498.22	1191.69	1167.14	802.41	1088.92	1963.57	954.43	1832.01	1769.57	1081.39	1059.11	1397.83	1397.83	1977.24	1508.65	1191.69	1277.29	2555.58	775.05	1151.06	791.35	1023.0	1216.75	1111.82	1233.75	1350.18	1870.53	1286.18	1088.92	915.51	1447.15	1127.35	1023.0	1508.65	954.43	1030.12	559.28	884.29	1769.57	890.44	1819.35	1066.48	1111.82	830.75	1143.1	954.43	1757.34	1143.1	753.83	1397.83	884.29	981.29	825.0	928.3	2004.85	1832.01	1662.49	1277.29	1561.89	1143.1	1447.15	748.61	2104.58	1151.06	1508.65	1508.65	2485.67	1794.29	1561.89	1628.26	1583.71	1286.18	1769.57	1519.15	1216.75	1437.15	1111.82	1143.1	1111.82	1685.71	1721.16	1143.1	1340.84	1594.73	1208.34	1359.57	1378.57	1088.92
TESK1	624.99	575.03	988.12	480.04	759.08	921.88	400.71	603.67	688.78	265.87	232.94	316.37	258.57	896.64	780.44	1277.29	1127.35	1437.15	896.64	769.69	567.1	1191.69	669.92	1135.2	665.29	780.44	1498.22	1167.14	1159.07	1457.23	518.15	1111.82	878.17	872.1	967.76	791.35	866.07	1628.26	1143.1	802.41	1051.79	928.3	928.3	713.11	1277.29	842.36	567.1	1199.98	1151.06	1059.11	1295.13	1295.13	1467.37	759.08	1081.39	1001.93	1175.27	1259.69	1151.06	1322.37	1023.0	1175.27	753.83	1111.82	1135.2	854.13	1225.22	884.29	796.86	1044.52	1073.91	780.44	1073.91	679.29	728.11	733.19	1015.93	878.17	988.12	660.68	808.0	1721.16	1447.15	1259.69	1250.98	718.08	1051.79	1015.93	1088.92	665.29	934.76	1199.98	743.43	1268.46	1313.23	974.5	1015.93	1044.52	1135.2	1199.98	1313.23	1151.06	1127.35	1594.73	941.27	1037.29	688.78	1037.29	660.68	854.13	995.0	890.44	1340.84	1073.91	1175.27	791.35	961.07	1001.93	1359.57	1268.46	616.37	713.11	595.34	708.18	1259.69	785.88	967.76	954.43	1183.45	842.36	1119.56	866.07	1242.34	967.76	679.29	769.69	669.92	896.64	872.1	738.29	1519.15	896.64	1242.34	1359.57	1191.69	1096.5	1277.29	830.75	1216.75	1023.0	1044.52	915.51	1199.98	1277.29	1167.14	1216.75	1757.34	1208.34	1519.15	1191.69	981.29	974.5	642.59	813.63	791.35	1151.06	1304.15	884.29	974.5	947.83	884.29	947.83	921.88	796.86
