	TCGA.BP.5178.01A.01R.1426.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.CZ.5986.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.139YR.0226.SM.5IFEM
POLR3A	136.19	180.02	189.02	202.66	90.77	131.51	146.03	123.5	103.69	134.3	172.65	85.22	74.06	133.36	167.9	170.25	94.67	125.24	152.28	136.19	218.79	149.12	87.03	166.73	187.71	166.73	144.01	103.69	137.14	77.25	90.77	97.36	117.6	126.12	73.03	96.01	81.71	92.7	74.58	56.28	59.97	65.72	75.11
POLR3C	476.71	540.19	595.34	703.28	511.0	420.68	612.11	521.76	540.19	669.92	423.61	450.94	253.23	941.27	713.11	551.56	514.56	368.65	642.59	543.96	698.41	656.11	400.71	591.22	493.56	813.63	559.28	361.04	896.64	555.41	769.69	860.08	473.41	454.09	246.28	231.32	153.34	277.2	153.34	218.79	209.84	149.12	289.02
PPP4R1	400.71	872.1	642.59	748.61	480.04	555.41	884.29	708.18	660.68	830.75	514.56	379.04	521.76	836.53	1151.06	624.99	583.07	551.56	802.41	769.69	738.29	854.13	842.36	642.59	825.0	1051.79	1023.0	674.59	1030.12	397.93	447.82	796.86	669.92	633.73	435.55	366.09	279.14	363.56	214.27	246.28	201.25	182.55	414.87
PRRC2C	1250.98	1477.58	1313.23	1950.0	981.29	1073.91	1340.84	1059.11	1674.06	575.03	1159.07	791.35	563.18	981.29	1721.16	974.5	1225.22	1015.93	1417.35	1417.35	813.63	1277.29	819.3	1242.34	1639.59	1936.53	1151.06	775.05	1991.0	884.29	791.35	1561.89	571.05	1104.13	450.94	301.33	387.02	547.75	414.87	395.18	361.04	224.97	450.94
PTPRA	796.86	1628.26	1561.89	1508.65	728.11	909.17	1304.15	1127.35	1191.69	1151.06	1572.76	941.27	860.08	1447.15	1242.34	1199.98	1008.9	1259.69	1561.89	1583.71	1721.16	1295.13	703.28	1477.58	1331.57	1277.29	1268.46	872.1	1277.29	896.64	860.08	1378.57	1044.52	1407.55	341.51	297.17	376.41	348.71	271.48	262.2	271.48	334.46	218.79
PTPRM	1277.29	2997.45	1594.73	3982.99	1111.82	1340.84	2240.11	2018.8	2004.85	1605.83	2004.85	2319.15	2287.2	2664.15	4123.49	1870.53	1519.15	1457.23	3349.13	1447.15	2367.9	3257.52	1628.26	1857.6	3349.13	3955.48	2537.92	2701.35	3395.89	1051.79	2502.97	3212.66	1769.57	2032.85	563.18	769.69	395.18	555.41	312.0	438.59	224.97	297.17	195.72
QSER1	52.45	244.57	155.5	305.55	111.99	90.14	150.17	132.44	234.57	148.09	120.94	94.01	120.1	242.88	262.2	133.36	220.32	111.99	297.17	186.4	198.47	224.97	105.89	180.02	204.07	273.37	220.32	77.25	220.32	125.24	122.64	183.82	169.07	154.42	40.07	24.28	34.02	36.27	39.22	32.59	34.26	14.24	39.5
RAB3GAP2	139.07	397.93	234.57	435.55	167.9	175.07	332.14	229.72	291.04	209.84	256.78	143.01	198.47	334.46	392.44	217.27	289.02	140.04	366.09	277.2	232.94	341.51	190.34	273.37	287.01	368.65	361.04	191.67	323.03	178.77	209.84	423.61	258.57	267.73	92.7	103.69	116.78	106.63	98.04	97.36	76.71	35.5	94.67
RALBP1	395.18	921.88	753.83	981.29	414.87	543.96	796.86	759.08	743.43	764.36	454.09	299.25	490.14	884.29	1242.34	669.92	532.74	441.64	1151.06	708.18	733.19	934.76	551.56	616.37	759.08	1001.93	780.44	438.59	954.43	251.48	684.02	708.18	616.37	651.58	343.89	476.71	373.81	473.41	376.41	267.73	277.2	197.09	521.76
RBBP5	138.1	291.04	159.9	395.18	169.07	167.9	198.47	157.68	206.94	212.78	140.04	119.26	158.79	187.71	255.0	152.28	199.85	137.14	265.87	242.88	155.5	248.0	135.24	176.29	211.31	226.54	241.19	143.01	242.88	122.64	163.28	256.78	223.41	181.28	111.99	82.29	109.66	112.77	102.97	100.83	97.36	99.43	110.43
RBL2	429.54	1127.35	988.12	1183.45	384.34	493.56	848.22	909.17	884.29	769.69	1088.92	441.64	483.38	860.08	974.5	753.83	629.35	379.04	1721.16	808.0	698.41	896.64	423.61	1001.93	780.44	1151.06	1096.5	540.19	1051.79	525.39	409.15	748.61	633.73	830.75	332.14	267.73	208.38	303.44	417.77	518.15	423.61	249.73	314.17
RBM43	102.97	356.05	325.29	334.46	88.26	122.64	211.31	156.59	229.72	182.55	199.85	137.14	133.36	348.71	334.46	173.85	303.44	129.69	312.0	262.2	406.31	164.42	136.19	201.25	231.32	303.44	287.01	138.1	334.46	166.73	241.19	267.73	149.12	262.2	36.27	32.36	49.21	33.06	56.28	49.91	38.95	26.67	31.67
RGL1	256.78	1225.22	583.07	1151.06	236.21	463.65	748.61	669.92	403.5	567.1	473.41	339.14	525.39	819.3	836.53	376.41	450.94	291.04	785.88	878.17	796.86	967.76	279.14	713.11	890.44	988.12	830.75	426.57	748.61	336.79	432.53	884.29	748.61	660.68	154.42	30.56	68.55	76.71	46.84	110.43	43.02	76.71	387.02
RHPN2	223.41	967.76	693.58	1199.98	325.29	218.79	256.78	283.05	543.96	447.82	583.07	403.5	279.14	470.14	299.25	470.14	483.38	212.78	450.94	373.81	171.45	587.13	277.2	684.02	525.39	718.08	435.55	249.73	373.81	470.14	309.83	320.8	612.11	444.72	301.33	295.11	214.27	251.48	215.77	312.0	366.09	281.09	211.31
RNASEL	94.67	237.86	195.72	208.38	71.0	126.12	193.01	166.73	134.3	178.77	135.24	119.26	105.15	173.85	297.17	134.3	221.86	109.66	251.48	206.94	199.85	197.09	94.67	163.28	187.71	193.01	205.5	133.36	253.23	131.51	122.64	269.6	198.47	159.9	30.12	25.17	30.56	21.32	22.1	39.79	22.59	32.82	61.68
RORA	148.09	392.44	220.32	486.75	109.66	137.14	267.73	164.42	277.2	237.86	368.65	329.84	162.14	228.13	412.0	214.27	329.84	90.77	251.48	241.19	231.32	400.71	297.17	281.09	277.2	341.51	403.5	269.6	406.31	110.43	182.55	314.17	251.48	279.14	209.84	199.85	134.3	136.19	152.28	172.65	223.41	82.87	133.36
RP11-12J10.3	2.58	8.25	7.75	5.87	0.75	2.29	2.68	4.28	4.31	6.73	2.18	2.18	1.57	6.94	7.63	4.43	1.95	1.75	6.94	3.08	3.08	7.17	1.91	4.86	6.26	7.4	6.73	2.73	7.46	1.41	1.87	3.56	4.94	3.66	0.0	1.31	2.43	0.82	1.07	0.0	1.64	0.92	0.15
RPRD1A	253.23	748.61	607.87	665.29	343.89	348.71	555.41	420.68	555.41	389.72	403.5	189.02	567.1	819.3	830.75	444.72	466.88	232.94	660.68	441.64	336.79	723.08	426.57	438.59	603.67	583.07	708.18	432.53	813.63	356.05	435.55	624.99	642.59	460.44	301.33	325.29	277.2	339.14	305.55	267.73	249.73	180.02	281.09
RPRD2	218.79	624.99	409.15	780.44	197.09	229.72	368.65	356.05	507.46	379.04	289.02	299.25	173.85	339.14	587.13	273.37	412.0	217.27	599.49	414.87	329.84	480.04	291.04	511.0	493.56	514.56	450.94	215.77	583.07	285.03	368.65	563.18	373.81	414.87	80.01	84.63	132.44	104.42	137.14	116.78	93.35	115.16	129.69
RREB1	171.45	371.22	279.14	291.04	85.82	164.42	161.02	246.28	241.19	212.78	191.67	202.66	115.16	153.34	332.14	194.36	226.54	166.73	285.03	224.97	269.6	223.41	165.57	197.09	255.0	287.01	291.04	193.01	237.86	102.97	166.73	291.04	150.17	297.17	155.5	120.1	145.02	159.9	177.53	202.66	178.77	228.13	85.22
SASH1	187.71	642.59	325.29	708.18	142.01	221.86	384.34	441.64	381.68	309.83	126.12	343.89	320.8	406.31	412.0	241.19	307.69	118.43	563.18	563.18	356.05	633.73	206.94	256.78	444.72	753.83	463.65	212.78	470.14	78.89	348.71	423.61	444.72	438.59	82.87	41.81	41.52	67.59	59.13	68.07	38.67	42.71	79.45
SCAPER	155.5	454.09	336.79	406.31	74.58	146.03	291.04	178.77	381.68	205.5	177.53	175.07	194.36	277.2	320.8	309.83	277.2	131.51	387.02	260.38	316.37	283.05	140.04	189.02	244.57	435.55	327.56	170.25	361.04	114.36	269.6	305.55	234.57	178.77	158.79	96.68	82.87	134.3	169.07	157.68	151.22	101.54	111.99
SENP2	264.03	514.56	525.39	417.77	346.29	224.97	358.54	316.37	379.04	435.55	466.88	226.54	232.94	387.02	371.22	406.31	258.57	287.01	536.45	293.07	389.72	438.59	176.29	381.68	275.28	460.44	384.34	218.79	444.72	258.57	215.77	435.55	387.02	329.84	197.09	151.22	115.16	161.02	151.22	176.29	212.78	180.02	186.4
SGPL1	454.09	536.45	723.08	693.58	305.55	532.74	718.08	514.56	397.93	674.59	571.05	457.25	493.56	314.17	532.74	563.18	486.75	567.1	470.14	860.08	669.92	769.69	417.77	587.13	708.18	660.68	665.29	329.84	595.34	242.88	323.03	376.41	463.65	441.64	299.25	307.69	379.04	373.81	297.17	312.0	285.03	351.14	194.36
SHANK2	123.5	490.14	532.74	460.44	67.59	115.16	271.48	273.37	669.92	320.8	258.57	466.88	158.79	224.97	503.95	220.32	234.57	163.28	373.81	242.88	642.59	417.77	185.11	420.68	642.59	348.71	493.56	131.51	693.58	40.64	194.36	356.05	323.03	332.14	70.01	108.14	124.37	84.63	111.99	81.71	95.34	108.9	57.89
SHPRH	25.17	154.42	93.35	173.85	18.43	34.51	69.03	67.59	75.64	78.34	59.97	25.54	35.5	95.34	170.25	56.68	55.1	38.12	183.82	98.04	69.52	114.36	30.56	72.52	71.5	132.44	132.44	33.3	98.04	27.64	48.87	105.15	47.84	78.34	5.63	11.21	8.25	10.88	19.97	14.56	16.15	5.23	28.04
SLC25A36	327.56	1088.92	1208.34	723.08	473.41	514.56	753.83	674.59	723.08	836.53	884.29	633.73	460.44	753.83	813.63	764.36	438.59	813.63	947.83	420.68	928.3	819.3	660.68	1059.11	688.78	1044.52	1119.56	669.92	954.43	483.38	361.04	981.29	633.73	1073.91	42.41	21.01	18.03	25.72	32.13	47.5	11.82	8.71	27.05
SLFN13	187.71	583.07	559.28	743.43	164.42	316.37	299.25	305.55	497.0	348.71	234.57	264.03	96.68	232.94	473.41	305.55	450.94	139.07	426.57	463.65	429.54	563.18	215.77	713.11	480.04	363.56	612.11	157.68	514.56	157.68	187.71	262.2	275.28	173.85	29.27	4.62	9.41	14.45	14.24	35.25	12.45	7.63	63.45
SMARCAD1	166.73	414.87	295.11	429.54	135.24	191.67	287.01	177.53	309.83	301.33	271.48	148.09	163.28	426.57	406.31	387.02	346.29	176.29	281.09	312.0	267.73	327.56	193.01	289.02	269.6	381.68	309.83	195.72	409.15	152.28	201.25	409.15	275.28	237.86	65.72	36.27	67.12	67.12	98.73	74.58	94.01	34.26	75.64
SNX13	209.84	713.11	638.15	802.41	212.78	191.67	291.04	368.65	358.54	555.41	571.05	206.94	320.8	669.92	748.61	249.73	287.01	249.73	579.04	423.61	289.02	738.29	197.09	476.71	500.46	571.05	435.55	193.01	540.19	248.0	205.5	450.94	395.18	529.06	81.71	112.77	75.11	80.01	91.41	92.7	96.01	54.33	80.57
SPAG9	351.14	1909.85	967.76	2434.5	409.15	532.74	836.53	660.68	791.35	642.59	753.83	698.41	366.09	866.07	1096.5	583.07	902.89	473.41	1674.06	866.07	703.28	1561.89	529.06	896.64	1066.48	1529.73	974.5	571.05	1030.12	305.55	444.72	769.69	669.92	791.35	271.48	241.19	161.02	214.27	253.23	325.29	262.2	142.01	182.55
SUZ12	132.44	417.77	232.94	417.77	161.02	221.86	271.48	234.57	346.29	234.57	163.28	156.59	248.0	356.05	325.29	199.85	287.01	185.11	329.84	376.41	256.78	291.04	178.77	249.73	297.17	316.37	353.59	181.28	358.54	127.0	204.07	314.17	277.2	237.86	129.69	92.05	102.25	134.3	132.44	138.1	115.16	54.72	102.97
TCF20	218.79	435.55	248.0	432.53	85.82	221.86	271.48	169.07	267.73	224.97	226.54	327.56	62.12	166.73	314.17	178.77	435.55	139.07	384.34	249.73	171.45	329.84	214.27	318.57	343.89	297.17	325.29	166.73	236.21	185.11	178.77	281.09	232.94	232.94	82.87	105.89	117.6	138.1	96.01	105.89	108.14	67.12	162.14
TGFBI	125731.67	1896.65	160252.91	2720.15	189257.69	134755.94	343510.77	419990.32	205673.01	338781.54	186652.11	267651.2	201440.3	242898.5	88291.3	248002.34	419990.32	301123.38	10440.2	246289.25	411347.03	114103.8	174152.51	186652.11	275175.93	14663.09	51417.5	258533.99	152662.96	236256.4	186652.11	391864.76	294926.33	174152.51	4268.94	7433.4	3589.58	7331.05	1991.0	2777.33	1268.46	2520.38	3146.52
THAP6	148.09	339.14	283.05	438.59	118.43	164.42	194.36	138.1	180.02	169.07	156.59	117.6	199.85	486.75	234.57	212.78	221.86	123.5	299.25	170.25	146.03	220.32	151.22	241.19	178.77	275.28	283.05	165.57	325.29	142.01	158.79	193.01	187.71	164.42	100.83	98.04	88.88	112.77	105.89	111.99	102.25	40.64	73.03
TMED8	122.64	316.37	316.37	587.13	107.38	131.51	209.84	135.24	323.03	229.72	214.27	105.15	190.34	214.27	237.86	141.02	163.28	113.56	273.37	223.41	215.77	191.67	152.28	205.5	191.67	251.48	291.04	108.14	221.86	84.04	115.97	223.41	218.79	285.03	35.0	20.56	19.97	32.13	39.5	26.86	37.05	23.93	36.53
TMEM133	295.11	293.07	273.37	466.88	258.57	348.71	316.37	316.37	242.88	376.41	351.14	567.1	403.5	698.41	373.81	223.41	450.94	164.42	571.05	271.48	297.17	483.38	201.25	379.04	406.31	759.08	358.54	343.89	205.5	84.04	420.68	343.89	392.44	204.07	129.69	42.41	55.89	80.01	111.99	130.6	119.26	59.55	80.57
TMEM178B	51.35	16.15	19.82	148.09	53.95	16.39	33.3	127.0	92.05	53.95	66.18	67.12	6.26	28.86	64.34	103.69	40.93	42.11	149.12	7.34	142.01	147.06	46.84	81.14	224.97	139.07	92.7	50.98	255.0	5.96	11.82	9.48	76.71	80.57	3.17	0.51	0.52	3.23	0.58	0.52	0.49	0.48	2.63
TMTC2	84.63	387.02	307.69	470.14	56.68	120.1	186.4	127.89	228.13	275.28	117.6	157.68	103.69	224.97	271.48	132.44	325.29	76.17	351.14	277.2	173.85	271.48	123.5	264.03	206.94	195.72	476.71	115.16	139.07	120.1	187.71	123.5	202.66	191.67	18.7	5.23	3.92	12.0	4.66	10.0	5.77	9.34	23.42
TOM1L1	603.67	1551.09	1561.89	2303.12	500.46	476.71	753.83	708.18	1073.91	1044.52	848.22	723.08	543.96	2119.22	1369.04	796.86	1350.18	483.38	1561.89	872.1	1066.48	1322.37	703.28	1233.75	1467.37	1508.65	1388.16	688.78	1143.1	547.75	1191.69	947.83	1066.48	728.11	514.56	638.15	633.73	738.29	825.0	743.43	1015.93	708.18	583.07
TRAPPC11	281.09	450.94	429.54	447.82	211.31	269.6	373.81	242.88	351.14	301.33	353.59	180.02	341.51	409.15	395.18	379.04	314.17	323.03	363.56	409.15	309.83	423.61	267.73	343.89	299.25	381.68	379.04	269.6	480.04	194.36	363.56	366.09	269.6	287.01	206.94	193.01	173.85	171.45	277.2	189.02	239.52	146.03	150.17
TRIM44	248.0	928.3	547.75	1059.11	389.72	309.83	633.73	656.11	620.67	785.88	748.61	218.79	351.14	660.68	1059.11	320.8	486.75	387.02	1259.69	967.76	769.69	1051.79	297.17	753.83	1001.93	791.35	890.44	204.07	1096.5	412.0	183.82	629.35	651.58	633.73	115.16	177.53	63.89	128.79	119.26	158.79	170.25	277.2	244.57
TRMT1L	150.17	417.77	244.57	684.02	175.07	205.5	267.73	220.32	361.04	229.72	205.5	194.36	182.55	525.39	454.09	234.57	236.21	180.02	417.77	226.54	295.11	358.54	171.45	387.02	356.05	366.09	255.0	166.73	363.56	197.09	228.13	371.22	351.14	255.0	79.45	102.97	130.6	120.1	187.71	128.79	153.34	66.18	164.42
TRPM7	114.36	426.57	356.05	497.0	100.13	152.28	281.09	249.73	201.25	301.33	297.17	172.65	82.87	256.78	303.44	242.88	248.0	142.01	307.69	193.01	146.03	305.55	149.12	165.57	368.65	406.31	334.46	171.45	444.72	287.01	146.03	387.02	246.28	165.57	109.66	115.16	176.29	72.52	149.12	130.6	208.38	46.84	94.01
TSNAX	343.89	1023.0	532.74	1015.93	480.04	444.72	733.19	559.28	674.59	612.11	547.75	289.02	511.0	825.0	825.0	450.94	708.18	463.65	713.11	866.07	438.59	718.08	381.68	591.22	780.44	808.0	708.18	397.93	775.05	555.41	325.29	791.35	748.61	563.18	316.37	271.48	412.0	353.59	260.38	283.05	279.14	142.01	260.38
UBR1	74.06	279.14	156.59	309.83	71.0	98.73	198.47	151.22	208.38	205.5	186.4	94.01	121.79	204.07	249.73	159.9	165.57	87.65	256.78	244.57	154.42	249.73	95.34	143.01	205.5	248.0	262.2	125.24	253.23	101.54	107.38	198.47	175.07	175.07	69.03	43.02	51.71	44.57	52.82	64.8	52.82	39.79	64.8
UCHL5	309.83	532.74	348.71	583.07	339.14	384.34	426.57	429.54	507.46	406.31	320.8	334.46	376.41	688.78	543.96	327.56	511.0	318.57	547.75	540.19	371.22	551.56	312.0	423.61	525.39	555.41	463.65	264.03	567.1	490.14	409.15	665.29	447.82	320.8	320.8	329.84	346.29	208.38	295.11	309.83	279.14	119.26	241.19
UPF2	166.73	366.09	226.54	435.55	80.01	163.28	351.14	194.36	260.38	121.79	199.85	125.24	84.63	234.57	336.79	251.48	198.47	126.12	420.68	309.83	332.14	281.09	163.28	277.2	305.55	303.44	269.6	157.68	363.56	93.35	186.4	242.88	157.68	201.25	127.0	127.0	158.79	325.29	173.85	137.14	102.25	38.12	215.77
USP54	85.82	248.0	381.68	323.03	72.01	133.36	185.11	141.02	123.5	201.25	343.89	107.38	100.13	221.86	312.0	289.02	142.01	123.5	242.88	143.01	409.15	277.2	111.99	242.88	232.94	239.52	239.52	147.06	223.41	194.36	87.65	149.12	134.3	163.28	60.39	24.11	7.94	35.5	24.28	27.84	28.45	36.79	40.07
WARS2	232.94	327.56	429.54	441.64	244.57	215.77	323.03	281.09	343.89	334.46	264.03	202.66	163.28	718.08	476.71	251.48	303.44	194.36	368.65	297.17	336.79	376.41	215.77	339.14	490.14	435.55	363.56	205.5	297.17	289.02	341.51	387.02	289.02	262.2	137.14	201.25	120.1	157.68	87.03	129.69	140.04	89.51	176.29
ZFP14	35.5	124.37	85.82	147.06	36.79	53.95	76.71	52.82	71.0	80.01	49.56	63.89	37.85	97.36	100.13	60.82	91.41	36.79	108.9	67.59	90.14	63.0	36.01	91.41	71.5	73.54	100.13	52.82	67.59	36.53	59.97	121.79	70.01	82.87	7.46	7.22	10.96	18.97	24.11	12.64	10.39	8.38	14.78
ZFP30	42.11	173.85	102.97	151.22	18.03	54.72	62.56	59.13	53.95	92.7	55.49	55.89	15.0	91.41	150.17	59.55	88.26	35.25	126.12	76.71	94.67	76.71	57.08	124.37	77.79	135.24	77.25	43.63	97.36	78.89	35.76	95.34	62.56	88.88	17.51	8.06	11.13	9.34	17.77	15.56	15.91	6.46	6.31
ZKSCAN8	80.57	297.17	215.77	327.56	74.58	117.6	151.22	157.68	229.72	170.25	151.22	102.25	122.64	271.48	269.6	170.25	144.01	78.89	397.93	226.54	163.28	223.41	151.22	158.79	152.28	253.23	279.14	120.94	271.48	77.79	138.1	220.32	145.02	202.66	60.39	33.78	30.34	54.72	64.34	50.27	37.85	24.63	38.4
ZMYM3	281.09	316.37	343.89	435.55	145.02	204.07	232.94	269.6	267.73	376.41	279.14	363.56	88.88	212.78	403.5	303.44	251.48	189.02	392.44	279.14	314.17	244.57	185.11	229.72	305.55	346.29	318.57	279.14	368.65	246.28	246.28	303.44	236.21	327.56	78.89	139.07	120.94	147.06	157.68	100.83	124.37	136.19	88.26
ZNF146	395.18	1051.79	733.19	1208.34	358.54	647.07	1044.52	629.35	1008.9	769.69	743.43	665.29	638.15	836.53	934.76	633.73	842.36	567.1	1008.9	1119.56	813.63	934.76	511.0	825.0	981.29	1096.5	1088.92	507.46	995.0	866.07	642.59	1066.48	802.41	642.59	409.15	339.14	297.17	470.14	366.09	267.73	309.83	224.97	426.57
ZNF230	31.67	110.43	92.7	83.45	42.41	36.53	59.97	41.52	45.53	90.77	36.53	66.65	27.05	115.97	69.52	45.85	55.1	21.32	84.04	43.94	65.72	52.82	50.63	79.45	63.0	69.03	64.8	44.89	97.36	69.03	44.89	105.89	71.5	85.82	26.86	14.78	13.72	23.93	29.48	24.81	22.75	10.16	16.88
ZNF254	72.01	183.82	132.44	212.78	76.17	120.1	144.01	138.1	149.12	150.17	121.79	149.12	112.77	182.55	165.57	132.44	162.14	84.63	148.09	159.9	181.28	100.83	88.26	149.12	136.19	171.45	182.55	123.5	173.85	79.45	100.83	190.34	143.01	151.22	51.71	51.71	17.0	16.63	79.45	67.12	75.11	24.99	39.79
ZNF383	47.17	156.59	134.3	169.07	57.49	87.03	105.15	70.51	92.05	104.42	90.14	87.65	48.18	110.43	124.37	90.14	135.24	30.12	151.22	96.01	126.12	112.77	79.45	118.43	93.35	136.19	150.17	77.25	159.9	67.12	107.38	135.24	84.63	121.79	42.11	16.39	21.78	22.59	29.48	35.25	25.54	13.42	37.05
ZNF429	149.12	480.04	241.19	435.55	76.17	129.69	193.01	163.28	202.66	157.68	118.43	237.86	102.97	191.67	314.17	121.79	152.28	96.68	260.38	131.51	161.02	169.07	100.13	267.73	186.4	265.87	253.23	102.25	171.45	183.82	244.57	191.67	198.47	173.85	46.84	35.0	60.39	74.06	82.87	93.35	107.38	112.77	69.03
ZNF43	117.6	258.57	226.54	253.23	77.25	128.79	110.43	152.28	127.0	177.53	127.89	144.01	69.52	176.29	172.65	87.03	190.34	52.08	186.4	143.01	155.5	158.79	98.04	226.54	201.25	253.23	191.67	111.99	145.02	56.68	121.79	191.67	145.02	206.94	11.21	6.41	6.52	6.78	9.2	12.74	4.03	1.35	21.16
ZNF45	76.17	332.14	137.14	334.46	90.14	105.15	178.77	107.38	145.02	163.28	156.59	92.05	53.19	204.07	211.31	139.07	157.68	52.08	215.77	195.72	111.99	189.02	86.43	177.53	180.02	217.27	231.32	82.29	183.82	124.37	88.26	208.38	147.06	148.09	46.5	26.47	21.47	43.32	35.5	45.21	34.51	18.84	37.85
ZNF461	37.59	149.12	90.14	152.28	46.5	73.54	58.71	65.26	53.57	99.43	67.59	64.8	66.18	120.1	97.36	121.79	114.36	55.49	115.16	84.63	94.01	103.69	94.67	65.26	67.12	121.79	128.79	73.03	139.07	97.36	50.27	162.14	58.3	85.82	29.7	7.4	11.82	25.17	34.75	25.54	22.26	7.46	20.86
ZNF506	122.64	279.14	186.4	287.01	158.79	167.9	234.57	159.9	217.27	224.97	126.12	131.51	98.04	251.48	316.37	175.07	258.57	98.04	277.2	195.72	287.01	182.55	140.04	307.69	221.86	318.57	343.89	161.02	260.38	169.07	143.01	217.27	162.14	223.41	52.82	10.96	6.78	17.25	19.68	57.08	20.26	25.35	39.22
ZNF546	15.11	105.89	66.18	118.43	27.44	45.21	50.63	37.05	27.64	66.18	35.0	53.95	24.46	92.05	114.36	92.7	68.07	15.11	77.25	53.19	68.55	65.72	44.89	82.87	57.89	80.01	79.45	32.59	76.71	36.27	33.3	102.25	59.55	44.89	9.7	13.22	18.29	10.79	19.25	11.55	19.68	14.89	19.97
ZNF561	158.79	688.78	591.22	1073.91	258.57	379.04	493.56	412.0	429.54	693.58	417.77	215.77	301.33	529.06	579.04	423.61	490.14	223.41	785.88	656.11	575.03	555.41	332.14	571.05	493.56	612.11	785.88	258.57	796.86	371.22	529.06	688.78	529.06	400.71	116.78	141.02	103.69	187.71	218.79	136.19	201.25	102.25	392.44
ZNF568	40.07	127.0	108.9	180.02	27.64	78.89	89.51	111.99	140.04	100.83	76.71	76.17	50.98	102.97	152.28	110.43	140.04	59.13	163.28	120.1	185.11	112.77	84.04	66.18	59.97	129.69	156.59	66.18	59.55	39.22	119.26	169.07	68.55	90.77	33.3	4.46	18.03	19.82	28.86	32.82	17.25	10.39	29.48
ZNF569	41.81	133.36	97.36	181.28	17.77	60.39	42.41	70.51	59.13	85.22	50.98	60.39	91.41	123.5	72.01	76.71	88.26	9.48	123.5	88.88	58.71	80.01	61.68	39.79	45.85	76.17	81.71	52.45	48.87	55.49	95.34	136.19	68.55	68.55	25.17	9.85	17.64	6.84	26.1	29.48	27.84	8.32	17.0
ZNF675	56.28	127.0	95.34	131.51	53.19	70.51	98.73	82.87	82.29	106.63	78.89	71.0	55.49	171.45	136.19	85.22	103.69	32.59	115.16	86.43	88.26	77.79	49.21	102.97	104.42	133.36	125.24	69.52	122.64	72.52	68.07	155.5	115.16	100.13	22.59	18.97	5.87	15.0	18.29	12.64	8.99	4.94	22.92
ZNF766	123.5	248.0	237.86	260.38	149.12	167.9	223.41	155.5	221.86	228.13	131.51	289.02	96.01	327.56	248.0	218.79	232.94	100.83	279.14	226.54	366.09	212.78	141.02	267.73	185.11	289.02	193.01	129.69	269.6	166.73	191.67	307.69	181.28	182.55	81.71	68.07	48.18	106.63	80.01	55.1	49.21	48.52	66.18
ZNF791	140.04	381.68	242.88	336.79	115.16	137.14	197.09	157.68	186.4	204.07	163.28	155.5	93.35	269.6	295.11	146.03	224.97	101.54	332.14	214.27	221.86	277.2	129.69	287.01	220.32	293.07	253.23	138.1	283.05	133.36	201.25	229.72	232.94	253.23	108.9	36.53	59.97	71.5	78.34	47.17	44.89	28.65	47.17
ZNF808	43.32	181.28	132.44	155.5	62.56	59.55	90.14	100.83	90.77	101.54	90.14	121.79	60.82	83.45	138.1	97.36	153.34	34.51	139.07	82.87	75.11	118.43	49.91	118.43	101.54	140.04	176.29	74.06	157.68	88.88	58.3	132.44	74.58	84.63	17.0	2.48	12.64	14.03	33.06	26.47	27.05	8.13	13.32
ZNF829	10.24	39.79	26.86	48.52	7.75	18.84	20.41	20.26	26.47	21.94	10.47	16.15	7.75	23.59	46.84	21.01	32.59	11.47	47.5	34.51	44.57	26.1	21.47	16.63	12.83	30.12	38.67	8.99	17.0	10.39	23.08	40.36	14.78	23.76	5.02	1.1	6.31	4.13	11.55	10.39	4.86	1.27	8.19
