	TCGA.EW.A1IY.01A.11R.A13Q.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.WFON.0426.SM.3GIL4	GTEX.OHPL.0526.SM.3NM8U	GTEX.13N2G.0826.SM.5IJE6	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.PW2O.0526.SM.2I3DX	GTEX.11LCK.0426.SM.5A5M8
SRP9	16727.26	2682.69	3372.43	5366.37	2240.11	2645.74	3349.13	2090.03	7280.4	13968.57	6983.79	4450.27	2976.74	7433.4	5329.3	1674.06	7180.15	1286.18	6207.38	4769.75	2796.65	2609.3	2777.33	2895.31	4903.87	11664.82	2047.0	3564.78
SSBP1	4512.4	2956.17	2956.17	3491.39	1487.87	2319.15	2555.58	2133.97	4095.0	4937.99	2976.74	4419.52	2573.36	3820.7	2796.65	878.17	3395.89	587.13	4358.66	3589.58	1991.0	2739.08	2555.58	2032.85	5041.77	4903.87	1857.6	3589.58
SSR1	4869.99	2032.85	1407.55	1551.09	1529.73	1529.73	1628.26	1487.87	2061.24	2645.74	2104.58	2287.2	1487.87	2367.9	1819.35	928.3	3190.46	642.59	1977.24	2855.44	1242.34	1183.45	1242.34	1199.98	2255.7	2997.45	1331.57	2148.82
SSR3	8022.41	3212.66	2090.03	3443.31	1769.57	1628.26	2573.36	1806.78	4358.66	3874.05	3690.52	3847.29	2816.11	4038.61	2895.31	2047.0	4869.99	1477.58	3564.78	4038.61	2555.58	2047.0	2645.74	3124.78	5006.93	5441.3	1936.53	4268.94
STEAP1	1199.98	193.01	20.11	78.89	37.05	75.64	35.0	18.29	218.79	172.65	105.15	295.11	122.64	182.55	41.52	164.42	438.59	21.63	130.6	253.23	60.82	57.49	126.12	22.59	93.35	571.05	100.13	159.9
SUCLA2	665.29	503.95	483.38	733.19	532.74	297.17	656.11	403.5	651.58	1175.27	551.56	656.11	486.75	934.76	620.67	232.94	902.89	167.9	1151.06	669.92	384.34	400.71	441.64	529.06	743.43	854.13	483.38	743.43
TADA1	514.56	167.9	123.5	212.78	138.1	164.42	202.66	180.02	249.73	379.04	295.11	273.37	167.9	267.73	211.31	136.19	348.71	35.5	373.81	273.37	178.77	132.44	218.79	228.13	244.57	334.46	80.57	299.25
TCTN3	1437.15	642.59	718.08	753.83	775.05	511.0	665.29	518.15	1135.2	1143.1	1081.39	775.05	575.03	954.43	563.18	289.02	1250.98	246.28	1208.34	1051.79	480.04	651.58	591.22	511.0	896.64	1208.34	612.11	723.08
THOC7	2335.28	1066.48	1233.75	1781.89	825.0	974.5	1447.15	842.36	2018.8	2701.35	1832.01	1709.26	1151.06	2335.28	1447.15	587.13	2555.58	403.5	2061.24	1674.06	1051.79	1397.83	1143.1	1277.29	1508.65	3491.39	723.08	1268.46
TIPRL	1583.71	497.0	412.0	595.34	381.68	397.93	521.76	366.09	684.02	684.02	420.68	624.99	429.54	688.78	518.15	236.21	819.3	177.53	633.73	571.05	281.09	379.04	480.04	291.04	743.43	825.0	470.14	708.18
TMEM126A	1340.84	775.05	660.68	1119.56	438.59	525.39	612.11	665.29	1350.18	1191.69	915.51	1268.46	595.34	995.0	780.44	336.79	1286.18	226.54	1350.18	941.27	480.04	748.61	941.27	743.43	1427.22	1467.37	603.67	1059.11
TMEM126B	1417.35	567.1	947.83	1628.26	543.96	429.54	1259.69	616.37	2163.77	2400.97	1088.92	1745.2	884.29	2502.97	1417.35	392.44	2468.49	587.13	2335.28	1508.65	878.17	718.08	848.22	660.68	1857.6	1709.26	579.04	1498.22
TMEM167A	3257.52	688.78	703.28	1167.14	507.46	1023.0	713.11	651.58	1259.69	1769.57	1001.93	1388.16	878.17	1781.89	1225.22	669.92	1350.18	397.93	1417.35	1322.37	708.18	575.03	493.56	595.34	1733.13	2148.82	525.39	1350.18
TMEM230	5441.3	2271.4	2701.35	3124.78	2104.58	995.0	2502.97	2018.8	3639.7	5366.37	3146.52	2537.92	2591.27	3901.01	3190.46	1233.75	4419.52	915.51	3665.02	3349.13	1617.0	2193.99	1540.37	2018.8	3665.02	4836.35	1594.73	2384.37
TPMT	624.99	318.57	287.01	327.56	149.12	214.27	373.81	173.85	480.04	620.67	483.38	379.04	253.23	403.5	327.56	162.14	547.75	102.97	264.03	450.94	224.97	221.86	202.66	186.4	571.05	490.14	255.0	325.29
TRIAP1	1059.11	698.41	540.19	723.08	435.55	595.34	612.11	529.06	1001.93	830.75	660.68	995.0	603.67	802.41	656.11	159.9	808.0	212.78	842.36	830.75	336.79	647.07	638.15	450.94	1407.55	981.29	633.73	738.29
TTC27	575.03	244.57	201.25	285.03	218.79	131.51	211.31	164.42	271.48	228.13	258.57	299.25	161.02	255.0	197.09	59.13	348.71	41.22	241.19	224.97	130.6	205.5	187.71	198.47	249.73	361.04	223.41	215.77
TWF1	2915.45	738.29	693.58	928.3	563.18	1044.52	642.59	497.0	1369.04	1639.59	703.28	860.08	785.88	1572.76	1388.16	229.72	1769.57	220.32	1008.9	1259.69	392.44	718.08	743.43	486.75	1199.98	2555.58	457.25	1127.35
TXNDC5	4736.79	2895.31	2119.22	3419.52	1896.65	2434.5	2796.65	2758.13	3372.43	5329.3	4066.71	2816.11	2485.67	3847.29	2591.27	1781.89	4639.29	1697.45	2816.11	5594.3	3372.43	2163.77	3124.78	1359.57	3820.7	5076.84	1883.54	3768.09
TXNDC9	1498.22	679.29	470.14	780.44	381.68	406.31	620.67	620.67	1096.5	1167.14	780.44	764.36	466.88	1030.12	785.88	169.07	1015.93	151.22	967.76	902.89	301.33	500.46	551.56	384.34	902.89	1059.11	518.15	708.18
TXNL1	2502.97	1225.22	981.29	1651.0	723.08	651.58	1417.35	753.83	2075.59	2271.4	1487.87	1487.87	1088.92	2384.37	1175.27	595.34	2351.53	753.83	2061.24	1963.57	769.69	934.76	1340.84	884.29	1697.45	2645.74	1135.2	1909.85
UBA5	693.58	460.44	329.84	555.41	299.25	532.74	503.95	423.61	529.06	1059.11	698.41	638.15	303.44	902.89	454.09	348.71	947.83	121.79	854.13	669.92	764.36	376.41	616.37	463.65	759.08	1008.9	346.29	819.3
UFL1	872.1	293.07	325.29	327.56	285.03	366.09	336.79	241.19	363.56	624.99	329.84	305.55	376.41	450.94	389.72	117.6	571.05	88.26	466.88	409.15	409.15	273.37	371.22	256.78	392.44	624.99	215.77	414.87
UTP18	902.89	624.99	444.72	708.18	253.23	555.41	612.11	435.55	947.83	629.35	679.29	1081.39	444.72	1199.98	540.19	454.09	1233.75	563.18	1159.07	860.08	514.56	595.34	633.73	397.93	759.08	915.51	371.22	872.1
VMA21	651.58	273.37	193.01	351.14	193.01	463.65	262.2	191.67	429.54	476.71	327.56	406.31	262.2	444.72	392.44	229.72	540.19	273.37	323.03	299.25	271.48	248.0	228.13	209.84	438.59	642.59	226.54	403.5
WDR75	1628.26	314.17	153.34	258.57	197.09	295.11	260.38	178.77	441.64	540.19	325.29	532.74	234.57	336.79	299.25	161.02	723.08	58.3	551.56	426.57	229.72	275.28	327.56	198.47	473.41	551.56	229.72	441.64
YIPF5	1697.45	1119.56	915.51	1081.39	934.76	808.0	780.44	915.51	1199.98	1378.57	921.88	988.12	872.1	1233.75	1216.75	228.13	1359.57	180.02	1081.39	1088.92	642.59	896.64	1037.29	638.15	1295.13	1417.35	775.05	1191.69
YME1L1	3235.01	1467.37	1037.29	1304.15	1001.93	1605.83	1151.06	896.64	1417.35	2148.82	1233.75	1651.0	1073.91	2119.22	1313.23	753.83	2434.5	518.15	1709.26	1781.89	878.17	819.3	1059.11	825.0	2178.83	2178.83	802.41	1529.73
ZCRB1	1594.73	842.36	1551.09	1417.35	514.56	1111.82	1208.34	490.14	1628.26	1662.49	1388.16	1498.22	1167.14	1037.29	1268.46	603.67	1936.53	450.94	947.83	1073.91	1259.69	1051.79	1286.18	995.0	1806.78	1977.24	567.1	1427.22
ZNHIT6	406.31	191.67	155.5	260.38	187.71	162.14	237.86	151.22	291.04	241.19	265.87	295.11	154.42	281.09	202.66	67.59	470.14	43.63	262.2	265.87	90.77	176.29	185.11	104.42	291.04	305.55	162.14	299.25
ZW10	429.54	177.53	149.12	197.09	162.14	54.72	220.32	183.82	264.03	323.03	223.41	253.23	125.24	279.14	191.67	68.55	332.14	85.82	316.37	265.87	112.77	143.01	154.42	111.99	232.94	271.48	163.28	236.21
