	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.ZTPG.1426.SM.51MT3	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR
TIGD4	10.0	11.82	24.63	18.84	17.38	8.78	36.79	10.63	2.34	8.45	11.3	2.84	24.63	25.72	23.93	10.08	7.0	20.86	28.24	23.08	12.64	11.38	13.42	9.13	31.45	21.94	37.85	24.99	22.26	16.51	32.13	42.41	2.63	10.47	16.39	13.42	4.03	0.55	0.0	0.91	0.0	2.01	0.0	1.58	1.58	0.14	0.18	0.0
TMED4	2502.97	3540.14	2468.49	2351.53	2178.83	1896.65	3794.3	3018.3	2520.38	2520.38	3467.27	2104.58	3874.05	3168.41	3716.2	1991.0	2895.31	3847.29	2816.11	3491.39	2287.2	2417.67	2351.53	1733.13	3847.29	3372.43	7081.29	3325.99	3235.01	2915.45	3146.52	2384.37	2816.11	2335.28	3257.52	3257.52	2224.63	1143.1	974.5	1159.07	1242.34	928.3	1159.07	1001.93	878.17	543.96	1127.35	748.61
UBE2G2	1378.57	624.99	1159.07	764.36	1096.5	540.19	1127.35	842.36	718.08	503.95	525.39	698.41	1191.69	1119.56	967.76	406.31	813.63	981.29	1216.75	961.07	866.07	878.17	518.15	521.76	1896.65	1015.93	842.36	1127.35	1104.13	878.17	1242.34	1674.06	656.11	902.89	941.27	872.1	457.25	361.04	587.13	620.67	665.29	688.78	688.78	466.88	543.96	595.34	420.68	414.87
UBN2	37.32	50.27	85.22	72.01	55.89	36.27	194.36	70.51	53.95	56.28	46.5	34.26	181.28	146.03	101.54	29.7	43.32	103.69	87.65	105.15	49.56	62.56	67.59	36.27	106.63	121.79	65.72	152.28	150.17	44.89	183.82	169.07	27.25	42.71	155.5	52.82	12.83	22.1	15.11	21.16	17.25	31.45	23.25	7.11	39.5	25.91	14.45	28.04
URGCP	575.03	718.08	483.38	470.14	934.76	376.41	1151.06	559.28	351.14	529.06	743.43	769.69	1340.84	813.63	1030.12	432.53	293.07	1008.9	791.35	981.29	603.67	738.29	547.75	493.56	974.5	723.08	1277.29	947.83	796.86	450.94	1104.13	503.95	368.65	780.44	1037.29	412.0	363.56	229.72	400.71	384.34	368.65	273.37	293.07	271.48	441.64	366.09	153.34	279.14
USP42	99.43	111.21	90.77	136.19	90.77	78.34	299.25	120.94	120.94	115.16	115.97	92.05	271.48	208.38	175.07	70.01	85.22	185.11	144.01	165.57	115.97	129.69	94.01	65.26	148.09	232.94	131.51	251.48	220.32	92.7	215.77	145.02	46.18	119.26	239.52	85.82	46.5	41.22	37.59	58.3	37.05	59.13	53.57	50.63	63.45	45.85	27.25	37.85
WIPI2	1096.5	1605.83	1304.15	1250.98	1769.57	1417.35	2061.24	1594.73	1369.04	1896.65	1508.65	1519.15	2335.28	1733.13	2178.83	1242.34	1359.57	2758.13	1745.2	2163.77	1331.57	1519.15	1457.23	1551.09	1745.2	1697.45	2018.8	1583.71	1745.2	921.88	2224.63	1104.13	1594.73	1721.16	2119.22	909.17	1037.29	1030.12	974.5	1001.93	665.29	796.86	802.41	825.0	928.3	603.67	1051.79	698.41
ZFP3	142.01	40.07	70.51	104.42	100.13	13.32	220.32	93.35	5.87	40.93	45.53	73.54	157.68	111.21	131.51	52.82	3.99	83.45	130.6	57.49	38.12	55.1	97.36	115.97	170.25	138.1	61.25	165.57	142.01	96.68	208.38	89.51	53.19	56.68	157.68	69.52	1.91	24.63	3.79	4.46	2.56	12.64	11.13	5.11	7.63	8.78	0.68	2.03
ZKSCAN5	128.79	152.28	145.02	115.16	147.06	98.73	253.23	143.01	133.36	187.71	137.14	120.94	231.32	199.85	194.36	103.69	105.15	255.0	221.86	198.47	100.13	139.07	110.43	85.22	205.5	205.5	140.04	180.02	169.07	114.36	323.03	371.22	82.29	134.3	236.21	82.87	75.64	57.89	56.28	55.49	49.56	63.0	48.52	36.27	48.52	47.17	15.22	31.22
ZNF107	21.47	46.5	80.01	47.5	55.49	22.1	153.34	81.71	75.64	19.68	39.22	22.92	114.36	99.43	47.17	23.76	52.45	98.04	120.94	74.06	40.64	59.97	47.17	29.48	74.58	77.25	65.72	108.14	82.29	37.59	119.26	159.9	23.42	24.81	120.1	37.59	5.92	14.67	4.9	4.74	3.0	22.92	7.46	12.18	4.03	5.15	1.69	5.77
ZNF12	224.97	320.8	389.72	368.65	279.14	191.67	616.37	384.34	353.59	303.44	289.02	265.87	583.07	493.56	400.71	267.73	187.71	543.96	460.44	470.14	255.0	303.44	217.27	157.68	435.55	480.04	403.5	521.76	447.82	211.31	660.68	500.46	130.6	301.33	536.45	251.48	115.97	220.32	100.13	109.66	89.51	149.12	104.42	69.03	232.94	151.22	69.52	100.13
ZNF3	323.03	414.87	579.04	500.46	612.11	209.84	1001.93	500.46	373.81	435.55	532.74	392.44	954.43	775.05	525.39	339.14	295.11	660.68	713.11	674.59	341.51	616.37	361.04	368.65	679.29	656.11	466.88	708.18	647.07	348.71	974.5	2271.4	255.0	376.41	753.83	329.84	339.14	198.47	232.94	241.19	267.73	279.14	220.32	186.4	246.28	163.28	158.79	175.07
ZNF398	61.68	82.87	101.54	99.43	82.87	55.49	191.67	59.97	88.88	60.39	81.71	77.25	162.14	141.02	114.36	43.02	55.89	96.01	105.89	108.14	63.0	102.97	65.26	51.35	110.43	142.01	61.25	144.01	115.97	73.54	142.01	138.1	45.53	78.89	130.6	92.05	38.67	46.18	34.26	46.18	42.41	55.49	35.76	36.79	48.52	31.9	15.68	22.43
ZNF425	35.0	33.06	35.25	46.84	49.56	24.63	81.71	40.64	19.11	29.06	63.89	31.0	99.43	76.17	63.89	29.91	10.63	61.68	45.21	34.26	29.06	104.42	35.5	43.63	45.53	45.53	34.75	77.25	50.63	63.89	111.21	40.93	18.56	31.9	78.89	32.82	19.53	7.0	11.3	16.15	12.64	7.88	7.94	7.75	12.09	4.31	0.64	1.04
ZNF441	84.63	75.64	123.5	148.09	120.94	41.22	267.73	92.05	59.97	65.26	59.55	67.59	242.88	241.19	78.89	84.63	59.55	115.97	131.51	91.41	88.88	108.14	90.77	98.73	154.42	175.07	45.21	265.87	291.04	147.06	277.2	190.34	58.71	73.54	218.79	115.16	46.5	26.28	25.72	25.72	23.59	50.27	20.86	14.24	15.11	29.7	8.58	25.35
ZNF483	32.36	13.52	56.28	22.92	9.27	4.62	40.36	10.08	1.36	26.86	5.54	7.88	22.43	38.67	6.06	5.5	13.03	19.11	26.28	35.76	21.78	19.97	14.78	20.56	18.29	20.11	14.67	33.54	35.0	23.76	20.26	70.01	4.94	23.76	23.42	44.57	0.0	4.5	0.8	5.06	1.31	4.24	3.79	0.79	4.13	0.48	0.84	5.59
ZNF655	688.78	802.41	909.17	679.29	507.46	529.06	2004.85	785.88	759.08	830.75	559.28	500.46	1721.16	1295.13	954.43	470.14	775.05	1508.65	1250.98	1277.29	540.19	656.11	642.59	426.57	1225.22	1467.37	1369.04	1561.89	1313.23	674.59	2061.24	2303.12	329.84	764.36	1540.37	713.11	267.73	463.65	536.45	373.81	358.54	503.95	420.68	346.29	514.56	258.57	226.54	376.41
ZNF786	64.34	88.26	78.34	84.04	84.04	95.34	146.03	77.79	66.65	59.13	94.01	59.55	127.89	109.66	105.89	44.57	42.11	130.6	90.14	104.42	47.17	120.1	57.08	77.25	115.97	132.44	87.65	154.42	94.01	71.5	111.99	107.38	43.94	68.07	117.6	82.29	37.32	45.85	31.67	56.68	42.71	46.18	43.02	21.47	25.54	34.75	11.91	26.28
ZNF862	173.85	205.5	297.17	267.73	138.1	82.29	698.41	309.83	100.13	169.07	204.07	152.28	693.58	483.38	406.31	172.65	90.77	470.14	299.25	166.73	182.55	220.32	186.4	78.34	441.64	511.0	155.5	529.06	536.45	217.27	718.08	486.75	94.01	143.01	713.11	191.67	50.98	49.56	59.97	69.03	48.52	96.01	43.32	7.88	43.63	23.93	18.7	40.93
ZNF92	66.65	69.52	103.69	88.88	75.64	22.1	198.47	100.13	87.03	66.18	78.34	48.52	175.07	90.14	112.77	53.19	43.63	150.17	165.57	113.56	38.95	74.58	66.18	67.12	114.36	121.79	74.06	162.14	80.57	50.98	214.27	163.28	57.08	55.1	127.89	55.89	20.56	35.76	21.78	22.75	15.68	49.91	18.03	21.63	49.56	16.75	6.73	18.97
ZSCAN21	159.9	181.28	187.71	161.02	242.88	147.06	325.29	201.25	108.9	162.14	218.79	187.71	339.14	291.04	255.0	183.82	146.03	271.48	262.2	281.09	136.19	226.54	166.73	149.12	277.2	220.32	480.04	287.01	255.0	170.25	400.71	693.58	115.16	199.85	348.71	147.06	149.12	117.6	124.37	141.02	107.38	134.3	136.19	69.52	117.6	165.57	92.05	53.57
ZSCAN25	108.9	176.29	116.78	112.77	127.0	94.01	379.04	180.02	118.43	170.25	146.03	107.38	314.17	265.87	199.85	121.79	132.44	242.88	244.57	204.07	96.68	170.25	124.37	115.97	226.54	281.09	140.04	287.01	248.0	128.79	320.8	423.61	85.22	143.01	285.03	101.54	55.89	51.71	46.84	52.08	28.65	61.25	47.17	57.89	44.57	26.1	14.24	28.24
