	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	TCGA.49.4512.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.U8XE.1426.SM.3DB8Q	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.PLZ6.0426.SM.5IFK2	GTEX.T8EM.0326.SM.3DB7F	GTEX.OHPM.0526.SM.2YUMJ	TCGA.77.7335.11A.01R.2045.07
TLR4	68.07	46.5	77.79	72.01	283.05	1286.18	490.14	46.5	1883.54	753.83	902.89	212.78	175.07	1447.15	480.04	1268.46	1259.69	616.37	435.55	1583.71	271.48	536.45	4802.93	480.04
TMEM150A	480.04	212.78	723.08	470.14	733.19	1015.93	743.43	813.63	974.5	1277.29	718.08	518.15	878.17	1250.98	1340.84	3589.58	1008.9	1277.29	825.0	1340.84	928.3	753.83	1733.13	607.87
TNFRSF1A	808.0	309.83	2537.92	2287.2	2075.59	6935.54	3081.75	4388.98	6207.38	6792.79	2645.74	2682.69	2935.74	3614.55	1832.01	8598.28	4869.99	4639.29	2148.82	6983.79	2573.36	4575.41	9344.14	3467.27
TNFRSF21	703.28	108.14	57.08	50.98	420.68	872.1	620.67	3874.05	2271.4	1051.79	348.71	395.18	571.05	395.18	187.71	1721.16	327.56	708.18	211.31	2367.9	309.83	1216.75	2417.67	343.89
TRIM16	412.0	42.11	102.25	279.14	444.72	1286.18	371.22	1359.57	785.88	2075.59	400.71	555.41	1277.29	684.02	269.6	1350.18	748.61	884.29	503.95	3395.89	679.29	2303.12	4010.71	438.59
TUBB4B	3742.05	7485.11	1923.14	1417.35	6792.79	11112.3	3928.15	10014.87	11345.82	11909.94	5831.91	8363.13	10883.59	7803.01	5366.37	18304.63	8022.41	10225.32	7331.05	14867.79	7695.57	8963.45	13399.51	3768.09
TXLNA	131.51	74.58	341.51	318.57	366.09	1037.29	409.15	514.56	1225.22	1143.1	624.99	796.86	748.61	651.58	543.96	1437.15	607.87	860.08	563.18	457.25	514.56	603.67	1001.93	348.71
UBAP1	1417.35	595.34	647.07	603.67	995.0	2895.31	1015.93	1950.0	2018.8	2061.24	921.88	941.27	1183.45	1051.79	674.59	1417.35	1769.57	1572.76	1286.18	2075.59	775.05	1225.22	2956.17	1015.93
UBIAD1	108.14	132.44	172.65	163.28	195.72	320.8	215.77	236.21	351.14	256.78	214.27	226.54	283.05	255.0	232.94	435.55	206.94	271.48	234.57	264.03	218.79	277.2	336.79	178.77
WDR3	34.75	13.62	202.66	164.42	94.01	346.29	186.4	336.79	612.11	358.54	224.97	197.09	264.03	241.19	173.85	718.08	156.59	186.4	198.47	457.25	139.07	323.03	656.11	138.1
ZBED4	21.32	15.45	35.76	31.9	78.89	256.78	73.54	165.57	232.94	208.38	127.89	112.77	206.94	147.06	89.51	195.72	218.79	166.73	120.1	229.72	64.8	147.06	223.41	71.5
ZDHHC5	511.0	397.93	540.19	476.71	536.45	1572.76	981.29	1216.75	1350.18	1135.2	961.07	1081.39	1427.22	1143.1	848.22	1857.6	1081.39	981.29	854.13	1242.34	780.44	1119.56	1733.13	703.28
ZNF259	1008.9	403.5	329.84	316.37	536.45	1143.1	438.59	1088.92	1378.57	1073.91	567.1	633.73	1051.79	612.11	579.04	1721.16	748.61	718.08	733.19	941.27	438.59	698.41	1208.34	559.28
