	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.MT.A67F.01A.11R.A30B.07	GTEX.131XE.0326.SM.5LZVO	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW
SEC22C	466.88	429.54	176.29	206.94	444.72	291.04	1388.16	1175.27	624.99	599.49	1127.35	1199.98	1268.46	612.11	460.44	743.43	620.67	830.75	1369.04	1151.06	1191.69	1322.37	1819.35	1167.14	854.13	1199.98	1359.57	1104.13	1628.26	1088.92	1417.35	967.76	808.0	723.08	1477.58	1008.9	1340.84	988.12	629.35	703.28
SENP7	44.57	67.12	80.57	32.13	79.45	96.01	110.43	277.2	80.57	67.59	271.48	392.44	236.21	75.64	147.06	178.77	115.16	84.63	348.71	392.44	169.07	329.84	232.94	264.03	158.79	343.89	205.5	185.11	205.5	265.87	208.38	177.53	173.85	170.25	281.09	143.01	334.46	122.64	140.04	118.43
SLC35A1	198.47	309.83	164.42	140.04	281.09	271.48	616.37	1216.75	356.05	291.04	769.69	1295.13	947.83	271.48	316.37	607.87	239.52	624.99	2384.37	902.89	633.73	2209.26	1605.83	583.07	336.79	1151.06	836.53	941.27	1167.14	1037.29	1467.37	1135.2	647.07	688.78	1127.35	796.86	1066.48	406.31	529.06	486.75
SLC9A6	112.77	114.36	94.67	22.59	105.89	72.52	191.67	149.12	158.79	129.69	117.6	293.07	332.14	144.01	182.55	139.07	166.73	115.16	267.73	182.55	264.03	234.57	246.28	279.14	157.68	182.55	154.42	194.36	260.38	114.36	198.47	237.86	147.06	244.57	212.78	163.28	281.09	186.4	155.5	107.38
SSTR1	0.0	0.0	0.68	0.0	0.0	48.87	148.09	1250.98	87.65	6.26	87.03	325.29	1457.23	84.04	84.04	162.14	68.07	426.57	1151.06	13.72	323.03	748.61	1208.34	1143.1	173.85	159.9	195.72	164.42	1617.0	58.3	84.63	94.01	96.68	19.11	89.51	70.01	127.89	59.13	106.63	82.87
TBC1D5	120.94	136.19	81.14	47.84	133.36	91.41	262.2	514.56	234.57	151.22	395.18	536.45	447.82	157.68	95.34	387.02	291.04	327.56	575.03	500.46	426.57	656.11	470.14	738.29	521.76	363.56	420.68	500.46	656.11	414.87	551.56	511.0	420.68	371.22	457.25	483.38	575.03	414.87	389.72	327.56
THSD1	163.28	206.94	159.9	176.29	314.17	47.17	463.65	743.43	84.04	223.41	368.65	493.56	713.11	130.6	132.44	211.31	169.07	198.47	1081.39	285.03	269.6	981.29	529.06	616.37	253.23	423.61	100.83	748.61	426.57	156.59	265.87	432.53	348.71	50.98	366.09	114.36	165.57	82.87	201.25	143.01
TJP1	277.2	457.25	283.05	718.08	579.04	323.03	1151.06	1662.49	665.29	334.46	1216.75	1175.27	1745.2	718.08	409.15	934.76	629.35	759.08	1583.71	890.44	1044.52	2537.92	1896.65	1369.04	848.22	1417.35	1733.13	1870.53	1447.15	1159.07	1477.58	1322.37	890.44	1023.0	1304.15	825.0	1639.59	713.11	718.08	723.08
TMEM150C	11.04	65.26	30.78	20.71	14.14	23.25	74.06	1023.0	134.3	71.0	301.33	551.56	567.1	17.13	20.26	98.04	92.7	83.45	563.18	854.13	142.01	934.76	334.46	825.0	34.02	271.48	67.59	460.44	217.27	201.25	460.44	251.48	135.24	128.79	293.07	78.89	575.03	234.57	61.68	38.12
TOM1L2	312.0	232.94	305.55	460.44	336.79	98.73	759.08	1498.22	371.22	251.48	1685.71	934.76	884.29	476.71	395.18	518.15	733.19	579.04	1242.34	2061.24	896.64	1369.04	890.44	1295.13	603.67	1447.15	620.67	1051.79	854.13	1322.37	1350.18	808.0	1066.48	441.64	1066.48	791.35	1651.0	368.65	409.15	397.93
TPGS2	693.58	1685.71	2032.85	1183.45	836.53	435.55	2061.24	3257.52	616.37	1143.1	1651.0	2915.45	1936.53	802.41	587.13	1733.13	1757.34	1183.45	2061.24	1551.09	1447.15	2627.46	3419.52	1781.89	656.11	1594.73	1340.84	2485.67	2319.15	2351.53	3190.46	1437.15	1331.57	1819.35	1794.29	2047.0	2895.31	1519.15	1322.37	1015.93
TRIM3	88.88	142.01	127.89	165.57	119.26	165.57	463.65	813.63	289.02	305.55	555.41	473.41	616.37	161.02	423.61	397.93	189.02	529.06	414.87	536.45	490.14	633.73	890.44	728.11	258.57	435.55	379.04	251.48	638.15	500.46	616.37	738.29	339.14	470.14	361.04	674.59	417.77	229.72	239.52	301.33
TSPAN18	49.56	13.12	12.09	49.21	96.01	172.65	429.54	2485.67	144.01	175.07	1427.22	769.69	4419.52	147.06	29.91	988.12	182.55	454.09	1605.83	237.86	624.99	1304.15	1487.87	669.92	265.87	703.28	287.01	1508.65	2835.7	361.04	441.64	759.08	629.35	102.97	583.07	127.0	1191.69	389.72	363.56	389.72
VPS13C	287.01	329.84	126.12	120.1	366.09	429.54	559.28	921.88	733.19	201.25	540.19	1551.09	1407.55	698.41	974.5	813.63	688.78	575.03	1119.56	1127.35	607.87	1508.65	1015.93	1051.79	872.1	698.41	1295.13	473.41	669.92	703.28	1111.82	629.35	674.59	1417.35	981.29	708.18	718.08	279.14	555.41	353.59
VSIG10	124.37	59.13	84.63	93.35	54.72	205.5	316.37	769.69	57.89	120.1	669.92	438.59	473.41	171.45	122.64	267.73	165.57	211.31	567.1	547.75	518.15	651.58	688.78	447.82	135.24	1721.16	389.72	796.86	642.59	890.44	493.56	287.01	607.87	197.09	629.35	289.02	1008.9	214.27	226.54	226.54
ZBED3	13.93	21.16	25.17	10.39	8.25	43.32	111.99	157.68	26.1	29.7	241.19	205.5	132.44	55.89	35.0	96.01	42.71	25.91	148.09	237.86	129.69	199.85	166.73	170.25	27.84	275.28	116.78	215.77	198.47	147.06	142.01	81.71	199.85	80.01	204.07	90.14	214.27	78.34	71.5	49.91
ZBTB18	74.58	36.53	98.04	18.7	64.8	212.78	202.66	361.04	343.89	60.82	723.08	236.21	346.29	336.79	229.72	205.5	183.82	159.9	450.94	199.85	228.13	307.69	497.0	177.53	262.2	497.0	447.82	483.38	169.07	339.14	279.14	435.55	521.76	902.89	476.71	208.38	543.96	170.25	332.14	70.51
ZDHHC15	0.99	0.0	1.17	1.23	0.0	3.32	39.79	135.24	12.83	33.06	56.68	127.89	228.13	7.57	54.33	54.33	11.82	53.19	175.07	63.89	98.73	327.56	52.82	139.07	23.42	48.87	100.83	40.07	120.94	35.5	90.77	43.63	100.83	22.75	51.71	81.71	204.07	50.27	12.74	62.12
ZMAT1	15.22	8.32	18.16	2.71	22.1	39.5	72.01	638.15	84.63	38.4	327.56	463.65	414.87	23.25	73.54	63.45	35.76	53.57	785.88	579.04	123.5	791.35	193.01	633.73	53.19	651.58	156.59	176.29	189.02	503.95	713.11	251.48	182.55	234.57	376.41	191.67	283.05	51.35	51.71	39.79
ZNF618	37.59	82.29	59.55	37.59	29.27	45.53	79.45	108.9	6.01	28.86	119.26	145.02	72.01	18.97	48.87	83.45	44.57	48.52	145.02	161.02	105.15	246.28	154.42	128.79	92.05	105.89	84.04	156.59	164.42	98.73	136.19	131.51	158.79	31.45	109.66	105.15	152.28	62.12	72.52	66.65
ZNF704	2.01	10.31	22.92	6.57	2.73	24.28	256.78	406.31	98.73	10.96	127.89	387.02	332.14	15.0	18.43	112.77	120.1	57.49	470.14	214.27	281.09	674.59	414.87	395.18	193.01	190.34	132.44	195.72	595.34	264.03	480.04	392.44	124.37	131.51	181.28	198.47	403.5	75.11	54.72	83.45
