	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
DCP1B	95.34	123.5	110.43	112.77	102.97	97.36	71.0	52.08	289.02	285.03	368.65	332.14	301.33	334.46	312.0	293.07	368.65	289.02	223.41	392.44	327.56	256.78	341.51	334.46	312.0	339.14	343.89	214.27	341.51	387.02	297.17	389.72	287.01	327.56	379.04	358.54	201.25	303.44	312.0	353.59	353.59	346.29	318.57	384.34	361.04	279.14	400.71	307.69	273.37	273.37	358.54	318.57	325.29	291.04	346.29	295.11	329.84	348.71	336.79	339.14	332.14	299.25	249.73	309.83	356.05	395.18	293.07	318.57	295.11	389.72	332.14	400.71	173.85	343.89	307.69	224.97	283.05	379.04	264.03	341.51	395.18	229.72	231.32	361.04	381.68	236.21	414.87	343.89	307.69	348.71	220.32	312.0	289.02	325.29	323.03	334.46	285.03	412.0	314.17	334.46	214.27	297.17
DHX57	23.93	86.43	88.26	66.65	96.01	110.43	105.89	42.41	256.78	205.5	249.73	194.36	153.34	214.27	178.77	183.82	191.67	170.25	199.85	363.56	211.31	206.94	218.79	211.31	182.55	236.21	265.87	117.6	237.86	183.82	223.41	195.72	214.27	217.27	256.78	244.57	211.31	189.02	334.46	209.84	198.47	206.94	164.42	226.54	264.03	205.5	255.0	206.94	185.11	283.05	251.48	165.57	204.07	180.02	201.25	163.28	163.28	256.78	275.28	187.71	201.25	269.6	176.29	249.73	226.54	341.51	264.03	180.02	193.01	334.46	249.73	262.2	144.01	178.77	178.77	149.12	173.85	185.11	199.85	220.32	231.32	140.04	94.01	214.27	244.57	143.01	264.03	221.86	228.13	265.87	176.29	173.85	177.53	224.97	191.67	153.34	224.97	255.0	199.85	239.52	173.85	332.14
DNMT3A	79.45	96.68	67.59	61.68	66.65	59.97	42.41	15.34	231.32	173.85	204.07	161.02	119.26	197.09	180.02	202.66	239.52	172.65	154.42	224.97	177.53	156.59	181.28	198.47	187.71	195.72	180.02	139.07	253.23	185.11	223.41	215.77	287.01	183.82	171.45	295.11	205.5	155.5	341.51	157.68	277.2	158.79	145.02	251.48	157.68	220.32	249.73	182.55	120.94	131.51	162.14	191.67	177.53	166.73	223.41	146.03	237.86	244.57	199.85	120.94	170.25	144.01	141.02	199.85	146.03	279.14	156.59	273.37	177.53	166.73	244.57	248.0	165.57	180.02	205.5	162.14	151.22	256.78	141.02	191.67	232.94	165.57	187.71	208.38	194.36	190.34	193.01	209.84	246.28	241.19	232.94	181.28	169.07	152.28	151.22	182.55	246.28	212.78	217.27	189.02	173.85	231.32
DOPEY1	9.78	64.8	56.28	70.51	65.72	59.97	43.94	22.1	135.24	64.34	293.07	217.27	248.0	156.59	327.56	232.94	237.86	159.9	92.05	329.84	239.52	204.07	406.31	253.23	307.69	353.59	258.57	201.25	258.57	312.0	307.69	297.17	384.34	253.23	256.78	403.5	228.13	231.32	480.04	379.04	314.17	309.83	158.79	316.37	297.17	323.03	450.94	182.55	110.43	120.1	432.53	172.65	204.07	289.02	318.57	220.32	325.29	403.5	262.2	88.26	249.73	329.84	244.57	432.53	368.65	435.55	241.19	363.56	170.25	126.12	283.05	356.05	208.38	223.41	251.48	187.71	339.14	395.18	248.0	299.25	253.23	208.38	205.5	356.05	343.89	189.02	318.57	273.37	400.71	540.19	269.6	447.82	307.69	241.19	356.05	215.77	223.41	480.04	239.52	258.57	287.01	187.71
DPF2	454.09	289.02	226.54	248.0	206.94	293.07	181.28	100.83	934.76	1159.07	1242.34	1143.1	1191.69	848.22	981.29	1044.52	1313.23	890.44	1051.79	1519.15	1295.13	981.29	1250.98	1551.09	1143.1	1225.22	1216.75	934.76	1447.15	1388.16	1073.91	1617.0	1159.07	1340.84	1268.46	1233.75	728.11	1059.11	1183.45	1467.37	1322.37	1104.13	995.0	1369.04	1331.57	1119.56	1519.15	1183.45	1066.48	902.89	1242.34	981.29	1081.39	1119.56	1143.1	1001.93	1295.13	1250.98	1119.56	733.19	1313.23	995.0	1001.93	1183.45	1617.0	1651.0	1159.07	1216.75	1081.39	934.76	1477.58	1540.37	872.1	1081.39	1008.9	1030.12	1073.91	1015.93	921.88	1088.92	1498.22	866.07	915.51	1551.09	1286.18	915.51	1427.22	1191.69	1073.91	1066.48	941.27	981.29	1081.39	1088.92	947.83	1081.39	1225.22	1487.87	860.08	1111.82	884.29	1313.23
EP400	7.88	47.17	47.84	48.18	43.32	57.08	28.24	12.55	113.56	55.89	195.72	181.28	145.02	112.77	165.57	161.02	262.2	145.02	132.44	228.13	173.85	194.36	226.54	197.09	182.55	218.79	197.09	123.5	185.11	150.17	178.77	209.84	312.0	175.07	215.77	305.55	135.24	165.57	323.03	183.82	234.57	154.42	124.37	215.77	201.25	185.11	248.0	167.9	141.02	120.1	256.78	120.1	164.42	232.94	246.28	134.3	181.28	205.5	191.67	104.42	176.29	163.28	167.9	287.01	166.73	281.09	165.57	234.57	153.34	119.26	205.5	246.28	150.17	164.42	198.47	169.07	191.67	299.25	164.42	175.07	208.38	146.03	151.22	234.57	178.77	149.12	193.01	169.07	312.0	293.07	202.66	204.07	187.71	170.25	183.82	159.9	161.02	275.28	128.79	185.11	163.28	158.79
ESCO1	69.03	94.01	91.41	75.64	84.63	96.01	76.17	39.79	138.1	88.88	159.9	181.28	156.59	120.1	169.07	171.45	181.28	135.24	80.57	190.34	149.12	162.14	220.32	167.9	205.5	223.41	198.47	134.3	150.17	92.05	148.09	224.97	191.67	171.45	166.73	194.36	125.24	170.25	221.86	165.57	221.86	189.02	120.1	205.5	180.02	173.85	201.25	124.37	115.97	94.67	231.32	125.24	170.25	157.68	190.34	153.34	161.02	158.79	166.73	83.45	166.73	163.28	150.17	242.88	191.67	191.67	148.09	221.86	119.26	100.13	185.11	170.25	86.43	161.02	211.31	127.0	187.71	176.29	136.19	163.28	163.28	140.04	127.0	215.77	191.67	170.25	190.34	182.55	189.02	285.03	131.51	172.65	185.11	152.28	202.66	156.59	145.02	220.32	159.9	173.85	159.9	144.01
FAM168A	65.26	77.79	116.78	104.42	130.6	158.79	133.36	92.7	303.44	293.07	387.02	400.71	297.17	267.73	343.89	339.14	454.09	265.87	293.07	460.44	332.14	397.93	497.0	312.0	403.5	490.14	454.09	316.37	301.33	423.61	307.69	379.04	603.67	466.88	454.09	353.59	309.83	420.68	693.58	406.31	397.93	341.51	279.14	444.72	412.0	400.71	490.14	454.09	244.57	343.89	563.18	267.73	301.33	483.38	486.75	332.14	376.41	441.64	371.22	303.44	417.77	269.6	403.5	559.28	426.57	476.71	387.02	540.19	384.34	392.44	507.46	529.06	371.22	281.09	441.64	356.05	450.94	633.73	323.03	353.59	381.68	336.79	305.55	460.44	473.41	376.41	438.59	444.72	514.56	532.74	454.09	361.04	387.02	400.71	361.04	341.51	358.54	660.68	283.05	348.71	312.0	299.25
FBXO38	159.9	177.53	224.97	201.25	173.85	193.01	135.24	173.85	329.84	483.38	343.89	339.14	363.56	287.01	435.55	301.33	420.68	281.09	253.23	435.55	299.25	277.2	473.41	381.68	417.77	454.09	371.22	327.56	255.0	325.29	334.46	392.44	432.53	379.04	490.14	497.0	303.44	339.14	503.95	336.79	536.45	397.93	256.78	406.31	291.04	361.04	463.65	316.37	228.13	265.87	435.55	289.02	368.65	356.05	400.71	343.89	325.29	420.68	358.54	232.94	348.71	387.02	356.05	483.38	366.09	409.15	244.57	447.82	368.65	204.07	392.44	389.72	341.51	423.61	356.05	244.57	387.02	460.44	351.14	339.14	343.89	291.04	339.14	547.75	366.09	356.05	412.0	334.46	444.72	703.28	366.09	387.02	395.18	277.2	447.82	256.78	314.17	376.41	429.54	371.22	325.29	275.28
FNTB	198.47	166.73	135.24	121.79	159.9	142.01	209.84	161.02	281.09	381.68	231.32	204.07	242.88	255.0	251.48	191.67	236.21	264.03	209.84	269.6	231.32	211.31	275.28	267.73	226.54	283.05	267.73	175.07	232.94	283.05	256.78	267.73	220.32	220.32	269.6	273.37	187.71	201.25	281.09	262.2	256.78	251.48	209.84	255.0	258.57	249.73	339.14	273.37	237.86	209.84	305.55	202.66	239.52	237.86	246.28	249.73	258.57	293.07	299.25	241.19	224.97	189.02	237.86	275.28	334.46	346.29	258.57	273.37	297.17	283.05	299.25	271.48	173.85	234.57	246.28	253.23	229.72	242.88	223.41	264.03	251.48	205.5	199.85	299.25	234.57	253.23	293.07	343.89	224.97	277.2	208.38	241.19	256.78	226.54	255.0	246.28	232.94	269.6	265.87	246.28	171.45	269.6
GATAD2B	25.54	79.45	45.85	76.17	58.3	78.34	67.12	53.57	209.84	159.9	242.88	231.32	176.29	117.6	201.25	163.28	244.57	140.04	140.04	264.03	218.79	199.85	285.03	275.28	214.27	228.13	291.04	166.73	221.86	237.86	201.25	287.01	334.46	256.78	237.86	299.25	153.34	195.72	406.31	241.19	223.41	194.36	153.34	267.73	283.05	215.77	293.07	204.07	217.27	129.69	327.56	171.45	195.72	301.33	214.27	164.42	228.13	264.03	224.97	143.01	199.85	195.72	185.11	283.05	180.02	368.65	218.79	279.14	171.45	181.28	242.88	351.14	176.29	166.73	242.88	190.34	211.31	351.14	186.4	231.32	283.05	180.02	191.67	305.55	358.54	135.24	273.37	177.53	265.87	334.46	316.37	199.85	215.77	201.25	157.68	186.4	190.34	323.03	129.69	231.32	164.42	181.28
GEMIN4	33.3	108.9	155.5	100.83	90.14	108.14	66.65	98.73	353.59	316.37	409.15	275.28	251.48	246.28	212.78	197.09	540.19	202.66	191.67	271.48	226.54	242.88	339.14	175.07	226.54	334.46	285.03	198.47	285.03	297.17	221.86	264.03	346.29	281.09	351.14	305.55	79.45	334.46	351.14	329.84	277.2	228.13	121.79	341.51	256.78	251.48	332.14	334.46	158.79	166.73	301.33	124.37	193.01	339.14	423.61	253.23	323.03	297.17	246.28	173.85	220.32	150.17	295.11	329.84	470.14	285.03	212.78	303.44	258.57	95.34	353.59	356.05	234.57	228.13	339.14	185.11	297.17	379.04	277.2	223.41	312.0	181.28	129.69	289.02	307.69	223.41	316.37	175.07	368.65	293.07	281.09	279.14	293.07	307.69	258.57	228.13	339.14	457.25	161.02	289.02	172.65	329.84
GIGYF2	94.01	183.82	151.22	163.28	193.01	185.11	187.71	98.04	460.44	244.57	381.68	441.64	376.41	363.56	454.09	376.41	583.07	343.89	297.17	463.65	400.71	381.68	620.67	412.0	414.87	599.49	483.38	323.03	381.68	423.61	429.54	463.65	723.08	460.44	587.13	563.18	361.04	486.75	802.41	417.77	555.41	447.82	314.17	525.39	435.55	497.0	567.1	417.77	279.14	403.5	616.37	297.17	420.68	518.15	543.96	368.65	420.68	441.64	379.04	346.29	447.82	438.59	389.72	669.92	417.77	529.06	368.65	629.35	460.44	384.34	518.15	603.67	417.77	397.93	563.18	295.11	470.14	780.44	435.55	441.64	486.75	327.56	371.22	503.95	497.0	381.68	441.64	432.53	669.92	713.11	486.75	521.76	460.44	403.5	529.06	323.03	373.81	559.28	406.31	447.82	432.53	339.14
GLTSCR1L	5.02	49.21	50.98	48.52	38.95	55.89	29.7	27.84	123.5	157.68	153.34	180.02	122.64	90.77	164.42	156.59	211.31	111.99	100.83	223.41	128.79	180.02	253.23	185.11	220.32	256.78	211.31	104.42	140.04	156.59	122.64	204.07	283.05	173.85	199.85	205.5	106.63	165.57	267.73	178.77	209.84	194.36	94.01	223.41	194.36	176.29	220.32	146.03	93.35	90.77	277.2	98.04	156.59	208.38	224.97	127.0	167.9	187.71	152.28	107.38	156.59	155.5	152.28	237.86	143.01	237.86	129.69	229.72	151.22	126.12	198.47	211.31	133.36	146.03	182.55	109.66	185.11	291.04	145.02	143.01	195.72	111.99	134.3	220.32	176.29	154.42	211.31	153.34	244.57	277.2	193.01	199.85	161.02	161.02	172.65	113.56	150.17	260.38	113.56	166.73	115.16	127.89
GPATCH8	14.78	74.06	59.55	73.03	56.28	82.87	48.52	37.85	212.78	151.22	299.25	318.57	211.31	155.5	303.44	256.78	392.44	193.01	159.9	381.68	244.57	291.04	409.15	291.04	285.03	384.34	368.65	217.27	237.86	279.14	273.37	329.84	457.25	301.33	379.04	423.61	178.77	271.48	521.76	262.2	379.04	256.78	178.77	409.15	289.02	309.83	466.88	283.05	185.11	164.42	470.14	182.55	271.48	325.29	363.56	251.48	325.29	361.04	336.79	158.79	265.87	237.86	255.0	463.65	334.46	450.94	237.86	503.95	253.23	187.71	423.61	417.77	228.13	303.44	307.69	244.57	363.56	503.95	265.87	275.28	332.14	201.25	242.88	457.25	318.57	264.03	371.22	264.03	435.55	532.74	343.89	336.79	329.84	251.48	358.54	221.86	287.01	460.44	231.32	297.17	262.2	234.57
HMG20A	129.69	341.51	303.44	289.02	242.88	318.57	348.71	177.53	226.54	525.39	406.31	358.54	400.71	373.81	397.93	381.68	543.96	346.29	307.69	438.59	406.31	376.41	540.19	417.77	444.72	616.37	423.61	334.46	351.14	441.64	420.68	486.75	497.0	397.93	470.14	551.56	334.46	389.72	583.07	511.0	532.74	483.38	327.56	529.06	366.09	387.02	595.34	373.81	379.04	281.09	567.1	341.51	414.87	470.14	514.56	414.87	429.54	529.06	460.44	185.11	466.88	463.65	397.93	490.14	358.54	587.13	373.81	521.76	463.65	283.05	529.06	525.39	285.03	389.72	486.75	363.56	444.72	599.49	493.56	463.65	454.09	356.05	307.69	514.56	392.44	412.0	454.09	376.41	518.15	738.29	346.29	708.18	447.82	356.05	486.75	356.05	371.22	571.05	363.56	379.04	297.17	348.71
INO80D	7.06	24.63	17.0	37.85	19.82	28.86	20.26	8.92	51.71	29.91	86.43	85.82	84.04	60.39	88.26	77.79	131.51	64.8	38.67	94.01	80.57	91.41	143.01	108.9	125.24	130.6	120.1	74.06	93.35	96.68	84.04	108.9	146.03	91.41	85.22	127.0	74.58	90.14	139.07	123.5	111.21	98.73	78.89	106.63	103.69	90.14	114.36	64.34	44.89	53.95	152.28	74.58	75.11	104.42	117.6	76.71	90.77	98.73	114.36	63.45	88.26	101.54	66.18	107.38	83.45	135.24	82.29	111.21	65.72	53.57	98.73	120.1	43.63	85.22	94.01	58.3	108.14	120.1	61.68	100.13	106.63	74.58	82.87	126.12	93.35	60.82	106.63	96.68	108.14	229.72	90.77	83.45	81.71	90.77	98.04	78.34	88.88	139.07	74.58	88.26	67.59	73.03
IQCC	25.91	6.26	12.74	8.32	13.72	9.06	4.35	5.02	94.67	46.18	199.85	107.38	149.12	85.82	94.67	85.22	181.28	121.79	87.65	146.03	169.07	120.1	136.19	114.36	129.69	166.73	190.34	151.22	169.07	158.79	121.79	153.34	137.14	163.28	158.79	167.9	127.0	127.89	212.78	161.02	198.47	127.89	145.02	144.01	117.6	145.02	206.94	107.38	117.6	117.6	126.12	87.03	115.97	127.0	152.28	135.24	199.85	151.22	128.79	87.65	217.27	129.69	129.69	161.02	141.02	164.42	94.67	109.66	94.01	100.83	226.54	180.02	102.97	115.97	133.36	94.01	123.5	127.0	135.24	122.64	180.02	85.82	120.1	185.11	170.25	88.88	128.79	189.02	170.25	171.45	115.97	101.54	146.03	120.1	139.07	124.37	144.01	162.14	76.71	141.02	122.64	125.24
KANSL1	37.05	197.09	150.17	148.09	161.02	204.07	151.22	85.22	476.71	555.41	547.75	647.07	633.73	371.22	460.44	514.56	791.35	423.61	371.22	633.73	536.45	500.46	674.59	579.04	688.78	825.0	808.0	486.75	698.41	656.11	490.14	769.69	842.36	612.11	848.22	764.36	381.68	579.04	1015.93	624.99	785.88	511.0	339.14	629.35	595.34	567.1	981.29	503.95	444.72	361.04	723.08	387.02	587.13	660.68	713.11	518.15	633.73	679.29	660.68	473.41	718.08	624.99	529.06	703.28	921.88	866.07	490.14	967.76	543.96	529.06	743.43	854.13	518.15	514.56	638.15	493.56	563.18	947.83	493.56	529.06	819.3	460.44	463.65	830.75	616.37	417.77	836.53	674.59	802.41	791.35	532.74	500.46	579.04	532.74	529.06	460.44	651.58	825.0	460.44	642.59	409.15	551.56
KANSL3	41.22	301.33	170.25	185.11	186.4	217.27	171.45	81.14	384.34	420.68	490.14	392.44	414.87	301.33	406.31	341.51	518.15	339.14	312.0	497.0	420.68	403.5	503.95	466.88	559.28	575.03	500.46	334.46	447.82	420.68	381.68	529.06	536.45	463.65	518.15	579.04	273.37	412.0	684.02	432.53	500.46	493.56	336.79	575.03	444.72	466.88	595.34	429.54	260.38	291.04	579.04	301.33	389.72	454.09	559.28	379.04	463.65	540.19	493.56	376.41	486.75	381.68	387.02	536.45	483.38	665.29	363.56	579.04	423.61	429.54	591.22	563.18	429.54	409.15	426.57	341.51	511.0	521.76	379.04	460.44	470.14	277.2	373.81	583.07	483.38	371.22	529.06	423.61	500.46	651.58	371.22	463.65	447.82	384.34	470.14	358.54	470.14	612.11	318.57	486.75	309.83	476.71
KDM1A	363.56	470.14	356.05	341.51	323.03	363.56	197.09	176.29	1111.82	543.96	1127.35	1001.93	890.44	995.0	854.13	842.36	1023.0	836.53	941.27	1151.06	1159.07	961.07	967.76	988.12	909.17	995.0	1066.48	808.0	1167.14	1119.56	921.88	1183.45	1023.0	1199.98	1023.0	1001.93	738.29	967.76	1277.29	1216.75	1183.45	947.83	974.5	1066.48	896.64	878.17	1350.18	961.07	842.36	718.08	1051.79	753.83	890.44	1015.93	1037.29	884.29	1008.9	1066.48	1008.9	909.17	1183.45	890.44	890.44	988.12	866.07	1225.22	902.89	1051.79	915.51	738.29	1350.18	1277.29	1225.22	854.13	902.89	1044.52	909.17	1066.48	1023.0	878.17	1143.1	769.69	860.08	1175.27	1111.82	713.11	1127.35	974.5	981.29	1015.93	780.44	941.27	934.76	921.88	854.13	915.51	1015.93	1135.2	830.75	1081.39	759.08	1199.98
KDM3B	89.51	155.5	151.22	178.77	134.3	170.25	75.64	82.87	543.96	567.1	575.03	703.28	466.88	426.57	532.74	547.75	830.75	447.82	480.04	743.43	521.76	483.38	748.61	620.67	718.08	830.75	785.88	476.71	500.46	633.73	525.39	688.78	878.17	651.58	764.36	723.08	389.72	665.29	1030.12	738.29	656.11	642.59	397.93	703.28	624.99	563.18	848.22	607.87	343.89	441.64	934.76	371.22	507.46	759.08	878.17	476.71	540.19	607.87	540.19	400.71	616.37	389.72	698.41	842.36	497.0	830.75	543.96	866.07	599.49	450.94	753.83	791.35	536.45	470.14	669.92	476.71	660.68	967.76	497.0	567.1	679.29	414.87	470.14	769.69	669.92	543.96	738.29	447.82	860.08	928.3	669.92	583.07	620.67	525.39	563.18	454.09	532.74	854.13	412.0	567.1	426.57	480.04
KDM4C	71.0	126.12	121.79	107.38	114.36	100.13	99.43	78.89	198.47	202.66	409.15	309.83	264.03	215.77	279.14	299.25	379.04	239.52	199.85	356.05	293.07	271.48	403.5	332.14	351.14	406.31	351.14	316.37	381.68	293.07	275.28	341.51	470.14	318.57	343.89	414.87	305.55	314.17	563.18	351.14	503.95	348.71	239.52	329.84	303.44	316.37	497.0	297.17	148.09	249.73	373.81	186.4	281.09	353.59	392.44	287.01	303.44	397.93	289.02	244.57	373.81	316.37	256.78	514.56	353.59	426.57	228.13	438.59	269.6	182.55	447.82	346.29	256.78	291.04	318.57	199.85	384.34	406.31	420.68	307.69	435.55	215.77	277.2	366.09	341.51	246.28	343.89	260.38	497.0	454.09	325.29	309.83	303.44	287.01	316.37	256.78	358.54	406.31	295.11	325.29	287.01	239.52
KHNYN	23.93	127.0	162.14	181.28	154.42	161.02	88.88	49.91	567.1	241.19	633.73	503.95	483.38	463.65	518.15	511.0	551.56	454.09	447.82	669.92	460.44	521.76	698.41	511.0	514.56	547.75	412.0	457.25	450.94	400.71	595.34	497.0	603.67	500.46	638.15	934.76	412.0	514.56	693.58	559.28	651.58	420.68	376.41	547.75	486.75	567.1	748.61	490.14	518.15	361.04	718.08	460.44	476.71	660.68	647.07	483.38	587.13	764.36	642.59	287.01	518.15	435.55	483.38	679.29	555.41	848.22	466.88	693.58	503.95	371.22	684.02	616.37	323.03	551.56	656.11	480.04	575.03	599.49	500.46	559.28	438.59	486.75	339.14	780.44	591.22	490.14	543.96	624.99	575.03	775.05	624.99	616.37	555.41	503.95	703.28	490.14	583.07	620.67	444.72	543.96	406.31	591.22
KIAA1432	32.59	72.01	60.82	64.34	84.04	92.05	55.49	77.79	97.36	95.34	152.28	125.24	92.05	123.5	163.28	137.14	176.29	92.05	46.5	164.42	125.24	138.1	205.5	141.02	133.36	191.67	165.57	112.77	106.63	170.25	159.9	148.09	194.36	140.04	145.02	226.54	116.78	130.6	255.0	148.09	178.77	124.37	82.29	182.55	119.26	152.28	267.73	119.26	69.52	102.97	202.66	100.83	140.04	162.14	206.94	138.1	135.24	237.86	162.14	72.01	131.51	121.79	111.99	229.72	141.02	224.97	118.43	169.07	140.04	84.04	151.22	189.02	90.77	116.78	176.29	113.56	173.85	248.0	104.42	142.01	146.03	120.94	100.83	187.71	153.34	142.01	152.28	120.1	231.32	301.33	111.99	155.5	148.09	124.37	162.14	129.69	132.44	202.66	141.02	145.02	121.79	111.21
KIAA1468	69.03	88.88	85.22	103.69	85.22	100.13	82.87	45.21	201.25	150.17	264.03	251.48	232.94	205.5	329.84	277.2	244.57	215.77	143.01	356.05	301.33	303.44	329.84	224.97	273.37	346.29	262.2	214.27	220.32	154.42	293.07	287.01	366.09	279.14	265.87	423.61	236.21	312.0	412.0	291.04	356.05	301.33	176.29	299.25	297.17	260.38	351.14	224.97	198.47	194.36	406.31	190.34	244.57	297.17	301.33	217.27	232.94	387.02	293.07	127.89	295.11	279.14	255.0	397.93	325.29	403.5	267.73	325.29	234.57	180.02	275.28	293.07	191.67	264.03	285.03	255.0	323.03	320.8	199.85	339.14	228.13	223.41	199.85	336.79	299.25	293.07	287.01	309.83	397.93	409.15	327.56	301.33	265.87	260.38	358.54	264.03	187.71	318.57	269.6	273.37	291.04	178.77
KMT2A	12.45	48.52	43.94	59.13	40.93	55.89	36.79	25.17	142.01	89.51	182.55	231.32	177.53	116.78	202.66	193.01	327.56	138.1	117.6	271.48	215.77	208.38	356.05	239.52	289.02	351.14	248.0	169.07	187.71	186.4	163.28	248.0	473.41	202.66	325.29	336.79	166.73	199.85	571.05	221.86	307.69	208.38	135.24	303.44	224.97	267.73	351.14	195.72	116.78	105.15	376.41	136.19	217.27	289.02	334.46	164.42	195.72	246.28	244.57	113.56	199.85	206.94	183.82	463.65	231.32	373.81	171.45	417.77	197.09	137.14	279.14	366.09	176.29	189.02	283.05	157.68	255.0	441.64	187.71	206.94	256.78	152.28	145.02	371.22	214.27	186.4	248.0	201.25	417.77	536.45	253.23	314.17	221.86	191.67	232.94	152.28	208.38	406.31	156.59	205.5	190.34	195.72
