	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.S3.AA11.01A.31R.A41B.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.XUZC.1626.SM.4BRVP	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZLV1.1426.SM.4WWES	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.1313W.0826.SM.5EQ4T	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.YJ8O.2226.SM.5IFHW	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.D5.6922.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.1339X.1126.SM.5J2OI	GTEX.131XE.1226.SM.5EGKF	GTEX.NPJ8.2026.SM.3TW91	GTEX.146FH.1626.SM.5NQ9H	GTEX.ZTTD.1426.SM.4YCEX	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6705.01A.12R.1884.13	GTEX.13NZ9.1126.SM.5MR37
RBM10	830.75	1081.39	381.68	368.65	629.35	543.96	460.44	217.27	273.37	409.15	460.44	599.49	476.71	595.34	733.19	518.15	273.37	389.72	497.0	447.82	376.41	633.73	444.72	450.94	366.09	332.14	409.15	629.35	486.75	376.41	563.18	466.88	348.71	684.02	441.64	547.75	420.68	400.71	486.75	547.75	679.29	420.68	616.37	540.19	379.04	341.51	373.81	356.05	343.89	500.46	638.15	441.64	647.07	1001.93	507.46	733.19	902.89	1088.92	830.75	802.41	197.09	271.48	293.07	848.22	1015.93
RNF220	1832.01	1277.29	1001.93	1081.39	1447.15	1304.15	1001.93	624.99	769.69	1073.91	1199.98	1427.22	1104.13	1208.34	1457.23	1143.1	679.29	1015.93	1059.11	1561.89	1001.93	1359.57	759.08	1175.27	1225.22	624.99	1073.91	1561.89	1268.46	848.22	1757.34	1096.5	1059.11	1870.53	1832.01	1259.69	1066.48	1096.5	1457.23	1143.1	1304.15	414.87	1259.69	1066.48	718.08	808.0	860.08	890.44	902.89	1378.57	1199.98	1378.57	2061.24	3168.41	1119.56	1794.29	1963.57	1639.59	1963.57	1832.01	543.96	934.76	825.0	1662.49	1794.29
RP4-758J18.2	395.18	624.99	185.11	279.14	348.71	289.02	176.29	158.79	162.14	211.31	271.48	281.09	244.57	232.94	454.09	312.0	154.42	218.79	206.94	255.0	242.88	329.84	140.04	289.02	244.57	173.85	269.6	392.44	262.2	220.32	728.11	251.48	366.09	426.57	447.82	275.28	194.36	138.1	368.65	148.09	366.09	96.68	323.03	353.59	152.28	186.4	136.19	309.83	228.13	387.02	366.09	260.38	497.0	629.35	224.97	543.96	435.55	392.44	540.19	373.81	68.07	120.94	190.34	397.93	518.15
RSAD1	878.17	748.61	429.54	409.15	642.59	497.0	423.61	389.72	387.02	444.72	525.39	514.56	532.74	579.04	748.61	521.76	412.0	417.77	490.14	511.0	406.31	616.37	460.44	543.96	470.14	406.31	466.88	583.07	559.28	384.34	769.69	503.95	348.71	514.56	813.63	493.56	441.64	271.48	429.54	483.38	638.15	400.71	486.75	536.45	420.68	392.44	285.03	232.94	251.48	620.67	1088.92	848.22	748.61	738.29	392.44	1127.35	1059.11	1697.45	866.07	1268.46	232.94	392.44	379.04	540.19	1388.16
SELO	656.11	748.61	236.21	246.28	406.31	336.79	253.23	132.44	143.01	273.37	285.03	376.41	241.19	368.65	389.72	285.03	122.64	251.48	327.56	289.02	287.01	381.68	187.71	253.23	214.27	182.55	293.07	361.04	303.44	178.77	638.15	291.04	147.06	348.71	808.0	226.54	209.84	201.25	327.56	279.14	559.28	162.14	329.84	172.65	124.37	103.69	142.01	229.72	241.19	297.17	258.57	183.82	547.75	660.68	447.82	728.11	571.05	988.12	532.74	575.03	59.13	100.83	143.01	536.45	836.53
SH2B1	1286.18	1127.35	454.09	476.71	780.44	708.18	490.14	305.55	395.18	483.38	521.76	693.58	579.04	748.61	1081.39	656.11	389.72	490.14	669.92	579.04	435.55	866.07	397.93	529.06	412.0	444.72	480.04	796.86	684.02	432.53	1066.48	769.69	351.14	830.75	934.76	708.18	435.55	343.89	748.61	780.44	638.15	334.46	698.41	521.76	397.93	237.86	579.04	339.14	376.41	518.15	529.06	684.02	974.5	1216.75	713.11	1286.18	1781.89	1909.85	1407.55	1519.15	112.77	191.67	214.27	854.13	2075.59
SH3BP5L	486.75	669.92	202.66	320.8	336.79	392.44	239.52	197.09	197.09	267.73	223.41	318.57	293.07	297.17	460.44	339.14	198.47	287.01	316.37	314.17	281.09	339.14	249.73	325.29	293.07	231.32	277.2	379.04	293.07	236.21	819.3	457.25	231.32	392.44	412.0	246.28	229.72	229.72	397.93	229.72	392.44	139.07	363.56	551.56	198.47	163.28	187.71	279.14	223.41	336.79	281.09	273.37	371.22	571.05	241.19	463.65	748.61	733.19	713.11	511.0	85.82	214.27	185.11	518.15	525.39
SMG5	967.76	1794.29	470.14	802.41	928.3	941.27	595.34	603.67	579.04	728.11	651.58	878.17	769.69	665.29	981.29	860.08	579.04	603.67	688.78	753.83	764.36	896.64	473.41	624.99	693.58	473.41	718.08	967.76	769.69	309.83	1208.34	909.17	287.01	813.63	1487.87	660.68	387.02	483.38	738.29	733.19	674.59	500.46	775.05	579.04	358.54	698.41	312.0	341.51	599.49	703.28	1015.93	567.1	866.07	2351.53	543.96	1628.26	1844.76	2209.26	1936.53	1697.45	309.83	336.79	366.09	1331.57	1477.58
STRN4	1407.55	1359.57	802.41	830.75	1037.29	928.3	775.05	500.46	521.76	785.88	775.05	1143.1	884.29	934.76	1051.79	890.44	612.11	674.59	902.89	1015.93	902.89	1088.92	669.92	738.29	612.11	591.22	830.75	961.07	915.51	579.04	1277.29	1745.2	633.73	995.0	1359.57	759.08	896.64	1119.56	1183.45	813.63	1066.48	656.11	1628.26	1001.93	830.75	457.25	703.28	529.06	733.19	884.29	1651.0	954.43	1286.18	1844.76	1191.69	1617.0	2018.8	2520.38	1519.15	2018.8	536.45	518.15	483.38	2148.82	1417.35
STX1A	177.53	212.78	42.71	41.81	110.43	61.25	44.89	30.56	17.77	61.68	104.42	88.26	59.13	90.77	122.64	55.49	36.53	45.85	89.51	53.57	31.22	133.36	50.27	52.45	28.65	52.82	46.5	107.38	87.03	92.7	123.5	161.02	38.95	94.01	190.34	63.89	56.68	16.15	78.34	72.01	172.65	45.85	80.01	111.21	23.93	116.78	27.25	51.71	41.52	71.0	90.14	21.63	128.79	620.67	55.1	334.46	480.04	518.15	363.56	241.19	40.93	21.01	30.34	224.97	229.72
TAF6L	480.04	738.29	171.45	197.09	265.87	277.2	206.94	114.36	119.26	197.09	195.72	283.05	248.0	273.37	353.59	258.57	115.16	202.66	246.28	241.19	275.28	305.55	201.25	287.01	167.9	180.02	226.54	291.04	208.38	187.71	595.34	281.09	255.0	341.51	450.94	232.94	190.34	208.38	244.57	287.01	271.48	85.82	258.57	231.32	163.28	102.97	152.28	229.72	320.8	271.48	228.13	229.72	395.18	599.49	316.37	432.53	316.37	297.17	320.8	420.68	74.06	98.04	113.56	336.79	567.1
TCOF1	500.46	571.05	244.57	249.73	441.64	409.15	297.17	178.77	190.34	323.03	361.04	381.68	295.11	356.05	457.25	363.56	221.86	258.57	323.03	336.79	287.01	429.54	212.78	320.8	301.33	165.57	361.04	483.38	318.57	214.27	454.09	384.34	170.25	463.65	412.0	361.04	176.29	214.27	373.81	341.51	379.04	211.31	438.59	366.09	197.09	153.34	237.86	155.5	199.85	366.09	454.09	283.05	551.56	915.51	271.48	934.76	813.63	660.68	988.12	825.0	236.21	94.67	142.01	1044.52	490.14
TELO2	1208.34	2104.58	186.4	218.79	403.5	332.14	191.67	98.04	107.38	236.21	305.55	356.05	241.19	387.02	579.04	281.09	153.34	293.07	275.28	318.57	251.48	417.77	156.59	309.83	186.4	189.02	237.86	493.56	307.69	180.02	688.78	155.5	148.09	551.56	435.55	244.57	255.0	239.52	395.18	329.84	395.18	108.9	329.84	136.19	186.4	149.12	178.77	199.85	189.02	366.09	647.07	457.25	529.06	1388.16	493.56	688.78	669.92	902.89	551.56	507.46	109.66	177.53	139.07	703.28	669.92
TMEM129	1008.9	878.17	486.75	669.92	718.08	791.35	551.56	353.59	397.93	624.99	583.07	733.19	559.28	579.04	693.58	748.61	368.65	500.46	612.11	583.07	629.35	728.11	414.87	518.15	460.44	412.0	599.49	813.63	656.11	387.02	1508.65	616.37	599.49	748.61	1183.45	612.11	447.82	460.44	878.17	423.61	684.02	265.87	529.06	414.87	275.28	171.45	638.15	612.11	403.5	813.63	420.68	454.09	854.13	909.17	432.53	1001.93	1199.98	1359.57	1322.37	1388.16	198.47	318.57	361.04	738.29	1721.16
TRABD	961.07	981.29	187.71	237.86	420.68	316.37	182.55	90.14	88.26	205.5	287.01	392.44	251.48	384.34	438.59	220.32	146.03	178.77	301.33	255.0	191.67	490.14	165.57	195.72	176.29	161.02	258.57	532.74	361.04	209.84	780.44	217.27	135.24	511.0	583.07	277.2	242.88	253.23	379.04	303.44	358.54	204.07	314.17	214.27	163.28	140.04	120.94	124.37	115.16	285.03	429.54	293.07	579.04	1143.1	656.11	1059.11	915.51	1551.09	785.88	718.08	130.6	161.02	253.23	1242.34	1583.71
TRAF7	1233.75	1295.13	669.92	921.88	1030.12	896.64	575.03	642.59	723.08	559.28	802.41	1023.0	1066.48	825.0	1216.75	884.29	941.27	633.73	813.63	854.13	638.15	1104.13	660.68	753.83	693.58	587.13	656.11	1340.84	1015.93	620.67	2032.85	878.17	660.68	1233.75	1313.23	791.35	665.29	748.61	1037.29	728.11	884.29	665.29	1088.92	1127.35	514.56	603.67	529.06	651.58	532.74	988.12	1030.12	748.61	1617.0	2018.8	909.17	1832.01	1233.75	1143.1	1819.35	1369.04	314.17	698.41	525.39	1617.0	1081.39
TRIM11	429.54	638.15	138.1	123.5	242.88	248.0	130.6	73.54	94.67	130.6	165.57	231.32	175.07	193.01	299.25	176.29	90.77	138.1	187.71	183.82	141.02	265.87	124.37	182.55	150.17	74.58	170.25	279.14	195.72	144.01	351.14	214.27	119.26	277.2	220.32	177.53	176.29	152.28	229.72	148.09	172.65	95.34	201.25	131.51	125.24	139.07	100.83	80.57	108.14	173.85	212.78	127.89	262.2	759.08	371.22	397.93	334.46	466.88	356.05	305.55	80.57	157.68	109.66	591.22	420.68
TRMT1	848.22	842.36	285.03	323.03	470.14	435.55	299.25	187.71	193.01	346.29	384.34	507.46	336.79	429.54	571.05	384.34	215.77	339.14	358.54	447.82	305.55	540.19	314.17	389.72	312.0	262.2	323.03	579.04	444.72	299.25	743.43	343.89	287.01	708.18	438.59	450.94	246.28	305.55	403.5	429.54	674.59	334.46	540.19	842.36	234.57	231.32	279.14	201.25	251.48	438.59	603.67	351.14	854.13	1286.18	381.68	988.12	988.12	2303.12	1037.29	1096.5	189.02	215.77	202.66	947.83	860.08
TRMT61A	309.83	191.67	91.41	129.69	178.77	226.54	92.05	52.08	68.55	132.44	172.65	172.65	109.66	118.43	155.5	165.57	57.08	96.01	108.9	178.77	141.02	181.28	65.26	120.1	120.1	63.0	114.36	279.14	130.6	76.17	277.2	169.07	98.04	205.5	239.52	158.79	76.71	95.34	161.02	105.89	226.54	53.19	135.24	155.5	61.68	48.52	100.83	108.9	84.63	159.9	171.45	116.78	320.8	974.5	163.28	718.08	616.37	575.03	728.11	591.22	66.65	63.89	66.65	490.14	397.93
TUBGCP6	896.64	1001.93	301.33	320.8	486.75	366.09	297.17	182.55	244.57	271.48	316.37	454.09	384.34	511.0	728.11	400.71	316.37	312.0	403.5	363.56	301.33	591.22	314.17	348.71	291.04	346.29	323.03	435.55	511.0	283.05	1111.82	423.61	143.01	603.67	514.56	409.15	275.28	211.31	490.14	466.88	563.18	214.27	412.0	307.69	249.73	204.07	267.73	217.27	256.78	395.18	351.14	371.22	599.49	785.88	368.65	785.88	902.89	1447.15	836.53	860.08	68.55	60.39	165.57	507.46	1268.46
UBE2O	420.68	460.44	169.07	215.77	281.09	295.11	176.29	126.12	140.04	163.28	214.27	269.6	226.54	305.55	403.5	237.86	153.34	181.28	217.27	223.41	177.53	332.14	204.07	202.66	202.66	205.5	201.25	307.69	232.94	181.28	397.93	303.44	165.57	255.0	191.67	248.0	180.02	156.59	256.78	253.23	291.04	170.25	309.83	206.94	163.28	187.71	194.36	166.73	172.65	212.78	277.2	223.41	343.89	507.46	178.77	397.93	412.0	435.55	457.25	426.57	90.14	92.7	105.15	480.04	525.39
UBQLN4	669.92	981.29	426.57	500.46	521.76	547.75	406.31	435.55	438.59	392.44	511.0	547.75	607.87	503.95	647.07	514.56	483.38	480.04	486.75	493.56	435.55	624.99	466.88	579.04	493.56	395.18	429.54	603.67	616.37	536.45	1540.37	1030.12	444.72	785.88	884.29	660.68	339.14	220.32	878.17	507.46	698.41	406.31	665.29	708.18	323.03	555.41	299.25	307.69	351.14	909.17	1143.1	780.44	1001.93	1407.55	373.81	1159.07	1008.9	1216.75	954.43	921.88	271.48	334.46	490.14	1529.73	825.0
UPF1	1322.37	1388.16	536.45	791.35	915.51	866.07	551.56	503.95	532.74	607.87	759.08	769.69	708.18	684.02	1044.52	723.08	571.05	813.63	718.08	665.29	733.19	928.3	595.34	674.59	656.11	563.18	679.29	967.76	854.13	603.67	1191.69	1051.79	656.11	947.83	825.0	860.08	679.29	638.15	896.64	607.87	854.13	674.59	878.17	836.53	571.05	473.41	500.46	679.29	607.87	995.0	890.44	575.03	915.51	1359.57	703.28	1199.98	1709.26	1628.26	1487.87	1639.59	341.51	371.22	486.75	1407.55	1388.16
ZC3H18	599.49	764.36	348.71	329.84	444.72	438.59	366.09	242.88	316.37	329.84	400.71	503.95	348.71	429.54	567.1	400.71	271.48	318.57	323.03	412.0	361.04	490.14	314.17	351.14	356.05	293.07	414.87	518.15	432.53	320.8	595.34	503.95	256.78	466.88	426.57	429.54	251.48	312.0	403.5	426.57	409.15	320.8	511.0	438.59	327.56	244.57	265.87	271.48	400.71	559.28	511.0	314.17	595.34	1183.45	551.56	808.0	825.0	1175.27	738.29	1001.93	221.86	190.34	287.01	884.29	738.29
ZNF335	420.68	555.41	142.01	156.59	273.37	199.85	115.97	83.45	115.97	108.9	159.9	209.84	211.31	217.27	301.33	180.02	183.82	140.04	175.07	181.28	141.02	275.28	140.04	154.42	128.79	123.5	115.97	231.32	237.86	141.02	320.8	177.53	127.89	285.03	262.2	199.85	172.65	167.9	244.57	194.36	231.32	151.22	269.6	171.45	135.24	123.5	172.65	106.63	129.69	205.5	262.2	229.72	332.14	486.75	199.85	403.5	454.09	470.14	353.59	486.75	78.89	49.21	94.67	366.09	435.55
ZNF444	808.0	928.3	211.31	232.94	429.54	336.79	194.36	197.09	193.01	198.47	218.79	358.54	279.14	318.57	563.18	277.2	205.5	255.0	277.2	260.38	229.72	476.71	191.67	285.03	237.86	167.9	244.57	447.82	400.71	191.67	896.64	389.72	221.86	563.18	438.59	356.05	226.54	223.41	361.04	258.57	295.11	269.6	438.59	287.01	185.11	170.25	209.84	162.14	127.89	297.17	341.51	253.23	361.04	665.29	358.54	791.35	1628.26	1407.55	1250.98	1104.13	154.42	154.42	273.37	995.0	728.11
ZNF598	769.69	674.59	279.14	271.48	429.54	460.44	277.2	148.09	167.9	285.03	368.65	414.87	295.11	371.22	450.94	376.41	197.09	241.19	285.03	336.79	295.11	420.68	181.28	258.57	267.73	190.34	299.25	571.05	291.04	353.59	830.75	327.56	242.88	470.14	665.29	283.05	291.04	269.6	387.02	307.69	480.04	271.48	395.18	248.0	229.72	136.19	214.27	242.88	209.84	599.49	532.74	334.46	567.1	1199.98	607.87	1167.14	860.08	1359.57	928.3	1037.29	115.16	131.51	166.73	1023.0	563.18
ZNF692	1225.22	3443.31	172.65	239.52	583.07	334.46	221.86	125.24	191.67	172.65	236.21	444.72	389.72	361.04	872.1	185.11	376.41	220.32	293.07	234.57	169.07	587.13	260.38	397.93	221.86	170.25	163.28	457.25	579.04	187.71	1806.78	518.15	248.0	698.41	583.07	536.45	295.11	170.25	543.96	466.88	395.18	426.57	521.76	480.04	265.87	423.61	295.11	113.56	152.28	329.84	595.34	336.79	830.75	1950.0	165.57	1233.75	1977.24	2701.35	1388.16	2047.0	147.06	158.79	158.79	703.28	1378.57
ZNF768	1088.92	1233.75	403.5	486.75	647.07	665.29	417.77	341.51	334.46	441.64	483.38	567.1	518.15	642.59	808.0	547.75	361.04	460.44	612.11	507.46	454.09	674.59	409.15	483.38	435.55	420.68	525.39	698.41	536.45	457.25	796.86	1096.5	493.56	587.13	1104.13	555.41	521.76	343.89	780.44	483.38	532.74	262.2	780.44	532.74	371.22	414.87	403.5	454.09	299.25	532.74	559.28	521.76	708.18	1457.23	669.92	854.13	1651.0	1037.29	1388.16	1127.35	244.57	303.44	234.57	1015.93	819.3
