	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.FD.A5BZ.01A.11R.A28M.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.FD.A3B8.01A.31R.A20F.07	TCGA.FD.A3SP.01A.31R.A22U.07	TCGA.FD.A62S.01A.11R.A30C.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.E2.A1BC.01A.11R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A7.A26F.01A.21R.A169.07.1	TCGA.A8.A07J.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A0BJ.01A.11R.A056.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.D8.A27K.01A.11R.A16F.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.78.8648.01A.11R.2403.07	TCGA.MP.A4TC.01A.11R.A24X.07	TCGA.44.6774.01A.21R.1858.07	TCGA.44.7662.01A.11R.2066.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.43.6647.01A.11R.1820.07	TCGA.18.3417.01A.01R.1443.07	TCGA.60.2724.01A.01R.0851.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.8582.01A.21R.2403.07	TCGA.34.5928.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.N6.A4VF.01A.31R.A28V.07
FNIP1	108.9	101.54	129.69	100.83	152.28	127.0	136.19	343.89	249.73	426.57	195.72	281.09	587.13	473.41	954.43	170.25	271.48	753.83	395.18	356.05	412.0	356.05	281.09	295.11	518.15	297.17	620.67	193.01	190.34	190.34	420.68	327.56	536.45	429.54	173.85	258.57	371.22	974.5	271.48	301.33	323.03	244.57	323.03	273.37	143.01	287.01	138.1	147.06	183.82	94.01	220.32	217.27	176.29	81.14	115.97	83.45	96.68	205.5	167.9	106.63	142.01	180.02	231.32	194.36	68.55	152.28	141.02	185.11	102.25	214.27	156.59	63.45	113.56	228.13	150.17	187.71	178.77	228.13	356.05	363.56	122.64
GABPA	144.01	173.85	194.36	195.72	260.38	299.25	187.71	389.72	289.02	536.45	283.05	283.05	414.87	307.69	674.59	361.04	291.04	624.99	473.41	293.07	444.72	305.55	466.88	341.51	473.41	309.83	514.56	189.02	438.59	285.03	279.14	332.14	438.59	332.14	214.27	209.84	406.31	532.74	229.72	470.14	412.0	460.44	575.03	260.38	303.44	269.6	208.38	172.65	166.73	128.79	295.11	223.41	169.07	126.12	161.02	218.79	198.47	236.21	199.85	177.53	248.0	224.97	206.94	167.9	164.42	264.03	145.02	283.05	170.25	361.04	182.55	94.67	201.25	236.21	156.59	194.36	226.54	444.72	450.94	242.88	275.28
GIN1	56.68	48.52	61.68	59.55	70.51	63.45	65.72	162.14	117.6	130.6	73.54	102.25	201.25	150.17	217.27	87.65	65.72	126.12	152.28	102.25	199.85	71.0	100.83	141.02	163.28	165.57	146.03	45.21	87.03	98.04	172.65	125.24	221.86	153.34	74.06	104.42	130.6	255.0	78.89	172.65	126.12	128.79	214.27	75.11	111.21	87.03	92.05	65.26	44.89	43.63	65.26	52.45	73.54	62.56	57.08	64.8	42.11	58.71	47.17	38.12	63.45	82.87	72.01	43.94	58.71	51.35	35.0	53.19	46.84	119.26	27.84	54.33	68.07	81.14	58.3	43.32	81.71	96.68	79.45	49.21	84.63
GLTSCR1L	59.55	78.34	133.36	92.05	142.01	120.1	96.01	283.05	220.32	376.41	248.0	267.73	198.47	287.01	353.59	189.02	214.27	154.42	177.53	291.04	244.57	237.86	180.02	163.28	301.33	241.19	363.56	60.82	169.07	109.66	231.32	190.34	336.79	187.71	138.1	148.09	246.28	197.09	223.41	334.46	336.79	228.13	543.96	185.11	214.27	204.07	126.12	135.24	112.77	110.43	186.4	128.79	85.82	97.36	99.43	73.03	70.01	94.67	148.09	167.9	124.37	133.36	111.21	119.26	82.29	156.59	66.18	158.79	108.14	205.5	115.97	38.12	60.39	194.36	124.37	129.69	106.63	212.78	371.22	209.84	115.97
GPBP1	1088.92	921.88	872.1	733.19	890.44	967.76	791.35	2047.0	1447.15	1369.04	1225.22	1104.13	1832.01	1721.16	2271.4	1498.22	1191.69	1757.34	1583.71	1277.29	1685.71	1313.23	1457.23	1369.04	1870.53	2047.0	1697.45	1001.93	1388.16	1225.22	1977.24	1583.71	2537.92	1519.15	1437.15	1191.69	1233.75	2209.26	1781.89	1870.53	1605.83	1551.09	1991.0	1529.73	1572.76	1030.12	896.64	902.89	764.36	647.07	1001.93	1030.12	679.29	723.08	819.3	909.17	728.11	825.0	791.35	748.61	866.07	1001.93	830.75	1096.5	698.41	1023.0	848.22	878.17	825.0	1359.57	830.75	684.02	571.05	1175.27	819.3	842.36	1081.39	1073.91	1242.34	1175.27	1639.59
HEATR5B	68.55	159.9	129.69	116.78	132.44	140.04	150.17	371.22	224.97	348.71	189.02	307.69	327.56	470.14	567.1	253.23	283.05	454.09	241.19	353.59	336.79	237.86	291.04	293.07	297.17	277.2	301.33	147.06	231.32	121.79	332.14	260.38	381.68	325.29	162.14	202.66	299.25	470.14	241.19	420.68	470.14	226.54	656.11	215.77	131.51	217.27	176.29	138.1	81.71	75.64	191.67	152.28	114.36	142.01	151.22	84.04	80.57	181.28	123.5	163.28	141.02	135.24	140.04	218.79	96.01	153.34	159.9	172.65	101.54	220.32	193.01	100.13	127.89	220.32	208.38	136.19	228.13	171.45	341.51	307.69	147.06
IBTK	356.05	325.29	329.84	303.44	441.64	287.01	291.04	848.22	503.95	723.08	486.75	473.41	587.13	571.05	1388.16	387.02	381.68	836.53	518.15	353.59	500.46	529.06	500.46	371.22	486.75	480.04	642.59	376.41	616.37	435.55	371.22	361.04	974.5	353.59	429.54	525.39	616.37	961.07	293.07	748.61	633.73	567.1	521.76	796.86	423.61	638.15	432.53	376.41	234.57	289.02	406.31	265.87	248.0	353.59	283.05	490.14	540.19	325.29	327.56	260.38	205.5	248.0	295.11	371.22	197.09	323.03	353.59	483.38	339.14	454.09	426.57	173.85	258.57	343.89	314.17	316.37	289.02	595.34	651.58	660.68	363.56
KAT6B	37.05	112.77	144.01	63.45	130.6	89.51	87.03	395.18	547.75	336.79	194.36	529.06	454.09	1427.22	825.0	353.59	193.01	154.42	283.05	836.53	503.95	366.09	187.71	358.54	974.5	500.46	204.07	76.71	256.78	102.25	329.84	392.44	466.88	368.65	151.22	187.71	366.09	376.41	172.65	454.09	426.57	285.03	1233.75	260.38	974.5	193.01	163.28	144.01	92.7	65.26	171.45	140.04	100.13	92.7	90.14	63.89	61.68	148.09	143.01	136.19	137.14	150.17	110.43	157.68	80.57	161.02	82.29	152.28	80.57	149.12	128.79	38.95	84.63	228.13	120.1	151.22	164.42	249.73	395.18	224.97	149.12
KDM3B	199.85	336.79	423.61	323.03	583.07	493.56	351.14	890.44	769.69	769.69	493.56	616.37	995.0	961.07	1331.57	466.88	718.08	1183.45	698.41	808.0	848.22	466.88	878.17	813.63	921.88	723.08	1015.93	412.0	624.99	423.61	1119.56	896.64	1322.37	836.53	480.04	607.87	733.19	1216.75	836.53	902.89	1127.35	603.67	1225.22	728.11	620.67	723.08	447.82	387.02	483.38	242.88	599.49	483.38	420.68	348.71	384.34	211.31	199.85	591.22	480.04	389.72	503.95	543.96	571.05	358.54	514.56	441.64	389.72	473.41	389.72	728.11	432.53	204.07	246.28	703.28	414.87	409.15	629.35	563.18	1151.06	878.17	599.49
KIF3A	40.64	111.99	64.34	70.51	125.24	102.25	93.35	215.77	191.67	140.04	83.45	182.55	297.17	236.21	224.97	117.6	159.9	189.02	366.09	119.26	336.79	143.01	183.82	185.11	209.84	205.5	267.73	136.19	156.59	105.89	262.2	149.12	432.53	226.54	111.21	80.01	133.36	281.09	173.85	420.68	161.02	173.85	305.55	78.34	74.58	140.04	133.36	80.01	56.68	38.4	113.56	74.58	76.17	37.05	88.26	36.01	44.25	99.43	74.06	60.39	71.0	66.65	90.14	120.1	73.03	56.28	76.17	139.07	77.25	148.09	94.01	50.27	60.39	107.38	99.43	63.89	127.89	133.36	154.42	151.22	157.68
KLHL9	162.14	153.34	289.02	211.31	271.48	264.03	101.54	890.44	409.15	624.99	409.15	547.75	1561.89	595.34	1175.27	507.46	414.87	559.28	728.11	514.56	693.58	595.34	470.14	518.15	1135.2	688.78	738.29	202.66	379.04	327.56	909.17	723.08	563.18	723.08	400.71	376.41	579.04	1044.52	387.02	769.69	753.83	503.95	1127.35	353.59	620.67	387.02	218.79	246.28	201.25	128.79	206.94	193.01	249.73	147.06	236.21	251.48	189.02	251.48	293.07	171.45	248.0	234.57	279.14	253.23	186.4	208.38	289.02	361.04	166.73	299.25	142.01	127.89	166.73	271.48	242.88	202.66	361.04	450.94	420.68	389.72	209.84
LARS	642.59	684.02	703.28	684.02	860.08	878.17	769.69	2032.85	1437.15	1175.27	1081.39	836.53	1572.76	1639.59	1674.06	775.05	974.5	2193.99	1175.27	1159.07	1369.04	780.44	1651.0	1388.16	1467.37	1437.15	1685.71	753.83	1191.69	1119.56	2032.85	1617.0	2018.8	1896.65	1044.52	1250.98	1159.07	2075.59	1487.87	1639.59	1781.89	1037.29	1639.59	1487.87	769.69	954.43	1066.48	836.53	713.11	518.15	902.89	1066.48	796.86	830.75	909.17	493.56	748.61	1467.37	921.88	718.08	748.61	947.83	848.22	684.02	902.89	785.88	595.34	928.3	738.29	1135.2	780.44	796.86	890.44	1143.1	738.29	961.07	1313.23	974.5	1111.82	947.83	1286.18
LNPEP	41.81	113.56	104.42	77.25	251.48	127.89	118.43	260.38	223.41	237.86	155.5	175.07	353.59	190.34	1001.93	178.77	152.28	796.86	223.41	194.36	299.25	244.57	260.38	264.03	228.13	289.02	293.07	57.49	180.02	150.17	215.77	279.14	647.07	363.56	133.36	161.02	220.32	1008.9	185.11	343.89	249.73	224.97	246.28	177.53	91.41	187.71	128.79	246.28	175.07	96.68	281.09	199.85	141.02	98.04	79.45	90.14	55.1	190.34	145.02	116.78	165.57	183.82	178.77	164.42	131.51	102.97	82.87	133.36	82.29	182.55	173.85	64.34	81.71	212.78	119.26	128.79	114.36	164.42	348.71	209.84	108.14
MARVELD2	4.98	138.1	62.56	75.64	78.89	95.34	98.04	473.41	177.53	309.83	85.22	239.52	547.75	414.87	808.0	351.14	154.42	511.0	232.94	511.0	381.68	346.29	329.84	432.53	406.31	470.14	303.44	53.95	206.94	29.91	493.56	454.09	624.99	599.49	82.29	130.6	197.09	587.13	389.72	327.56	423.61	123.5	397.93	123.5	27.05	6.89	15.56	237.86	101.54	171.45	172.65	114.36	53.19	111.21	145.02	11.04	7.75	180.02	138.1	93.35	177.53	118.43	221.86	88.26	115.97	85.22	120.1	151.22	159.9	303.44	70.51	115.97	234.57	273.37	69.03	121.79	182.55	51.71	224.97	116.78	114.36
MBTPS2	95.34	90.77	171.45	111.99	303.44	217.27	256.78	432.53	277.2	329.84	223.41	291.04	525.39	258.57	426.57	262.2	201.25	258.57	256.78	376.41	329.84	289.02	366.09	323.03	447.82	318.57	348.71	141.02	186.4	217.27	368.65	339.14	381.68	412.0	204.07	218.79	320.8	242.88	249.73	295.11	283.05	226.54	379.04	204.07	190.34	253.23	191.67	209.84	116.78	115.16	195.72	155.5	189.02	102.97	70.51	307.69	275.28	154.42	228.13	147.06	161.02	206.94	162.14	115.97	183.82	173.85	187.71	295.11	173.85	307.69	229.72	126.12	180.02	264.03	181.28	198.47	236.21	249.73	220.32	236.21	145.02
MIER3	62.56	92.05	93.35	67.12	119.26	116.78	85.22	368.65	180.02	271.48	178.77	205.5	373.81	406.31	514.56	231.32	182.55	457.25	277.2	281.09	463.65	204.07	366.09	251.48	277.2	373.81	392.44	84.63	212.78	158.79	454.09	327.56	547.75	429.54	125.24	158.79	228.13	518.15	226.54	353.59	287.01	236.21	353.59	150.17	163.28	156.59	65.72	147.06	88.26	73.54	239.52	142.01	130.6	77.79	98.04	137.14	57.08	146.03	128.79	83.45	128.79	151.22	147.06	101.54	77.79	114.36	84.04	154.42	124.37	262.2	78.34	57.49	82.29	215.77	98.04	102.97	169.07	218.79	279.14	190.34	197.09
MSH3	57.49	95.34	84.63	76.17	87.65	146.03	100.83	305.55	133.36	215.77	138.1	122.64	293.07	248.0	503.95	190.34	133.36	332.14	189.02	198.47	262.2	208.38	231.32	183.82	237.86	201.25	307.69	55.89	212.78	96.01	221.86	258.57	368.65	256.78	112.77	163.28	209.84	497.0	237.86	295.11	339.14	158.79	373.81	158.79	189.02	153.34	117.6	117.6	95.34	57.89	127.89	100.13	98.73	127.0	136.19	64.34	74.58	183.82	120.94	120.94	78.34	148.09	127.89	75.11	77.25	94.67	55.89	122.64	84.04	209.84	153.34	65.26	81.71	167.9	120.94	116.78	149.12	146.03	221.86	158.79	151.22
MTX3	8.65	40.64	44.89	27.05	67.12	83.45	69.03	189.02	105.15	206.94	72.52	142.01	183.82	180.02	490.14	111.99	117.6	389.72	116.78	151.22	157.68	111.99	158.79	92.05	152.28	171.45	264.03	41.22	120.1	59.97	214.27	135.24	301.33	151.22	48.18	62.12	154.42	389.72	116.78	198.47	162.14	72.01	281.09	157.68	39.22	130.6	83.45	81.71	76.71	37.59	150.17	118.43	51.35	50.98	35.5	30.78	12.93	154.42	83.45	78.89	62.56	133.36	105.15	73.54	39.22	46.84	32.59	53.95	36.27	128.79	81.71	19.53	43.63	137.14	94.67	91.41	94.67	108.14	143.01	93.35	46.18
NDFIP1	866.07	902.89	961.07	529.06	954.43	785.88	665.29	1697.45	2061.24	1685.71	1508.65	941.27	2739.08	1397.83	1561.89	921.88	1304.15	954.43	2255.7	1233.75	1721.16	1088.92	1037.29	1350.18	2032.85	1277.29	2434.5	1001.93	1259.69	1088.92	1617.0	1651.0	1806.78	1832.01	1594.73	1397.83	1529.73	1617.0	1685.71	1639.59	1757.34	1628.26	1709.26	1350.18	1844.76	909.17	830.75	674.59	854.13	708.18	981.29	967.76	780.44	909.17	607.87	679.29	693.58	620.67	791.35	679.29	836.53	1081.39	743.43	599.49	1008.9	947.83	633.73	1030.12	684.02	1437.15	607.87	669.92	651.58	896.64	647.07	693.58	909.17	1594.73	1044.52	878.17	1104.13
NUDT12	42.71	96.01	65.72	73.03	66.65	53.19	93.35	438.59	318.57	256.78	88.26	186.4	633.73	432.53	575.03	139.07	197.09	185.11	607.87	529.06	500.46	320.8	158.79	373.81	414.87	189.02	356.05	72.01	202.66	90.77	532.74	314.17	559.28	368.65	92.05	169.07	215.77	651.58	236.21	518.15	400.71	205.5	995.0	87.03	99.43	53.19	38.67	123.5	61.25	59.97	54.72	64.8	72.52	120.1	133.36	109.66	40.36	89.51	87.03	65.72	39.79	72.52	128.79	67.59	25.72	70.01	64.34	98.73	74.06	218.79	52.08	69.03	114.36	92.05	77.79	54.33	148.09	126.12	236.21	73.54	134.3
PAPD4	373.81	371.22	303.44	295.11	414.87	403.5	397.93	854.13	529.06	660.68	470.14	559.28	802.41	674.59	1313.23	624.99	802.41	967.76	836.53	785.88	1088.92	555.41	775.05	775.05	785.88	764.36	934.76	379.04	616.37	603.67	775.05	616.37	1030.12	808.0	336.79	514.56	698.41	1977.24	647.07	819.3	921.88	591.22	723.08	723.08	555.41	708.18	551.56	457.25	348.71	232.94	575.03	463.65	275.28	299.25	361.04	209.84	305.55	567.1	381.68	373.81	368.65	400.71	351.14	457.25	269.6	507.46	450.94	454.09	447.82	743.43	395.18	283.05	309.83	620.67	480.04	507.46	389.72	674.59	819.3	743.43	395.18
PDIK1L	23.76	104.42	84.63	96.68	90.77	85.22	92.05	198.47	154.42	273.37	151.22	293.07	248.0	438.59	384.34	281.09	132.44	239.52	211.31	312.0	486.75	162.14	177.53	193.01	214.27	253.23	305.55	91.41	108.9	90.14	329.84	183.82	361.04	202.66	145.02	148.09	185.11	346.29	169.07	314.17	295.11	150.17	348.71	178.77	114.36	98.73	98.73	119.26	51.35	48.18	100.83	71.0	47.17	49.56	44.89	23.93	60.39	88.26	48.18	63.0	92.05	117.6	68.07	48.18	46.18	89.51	85.82	161.02	134.3	202.66	63.0	42.41	53.57	78.34	65.26	65.72	120.94	104.42	137.14	122.64	143.01
PHAX	476.71	470.14	536.45	403.5	693.58	532.74	638.15	1051.79	1059.11	1015.93	854.13	647.07	1572.76	1059.11	759.08	974.5	441.64	884.29	1233.75	743.43	1487.87	836.53	1119.56	764.36	1127.35	1183.45	988.12	723.08	1175.27	854.13	1529.73	1051.79	1794.29	830.75	1111.82	759.08	915.51	1477.58	947.83	1044.52	819.3	995.0	1745.2	860.08	624.99	638.15	599.49	361.04	507.46	275.28	830.75	669.92	738.29	381.68	703.28	371.22	417.77	713.11	674.59	400.71	583.07	748.61	638.15	514.56	571.05	432.53	432.53	483.38	587.13	819.3	384.34	234.57	368.65	674.59	417.77	429.54	591.22	579.04	567.1	642.59	866.07
POLK	81.71	92.7	102.25	71.0	175.07	136.19	137.14	275.28	291.04	376.41	234.57	212.78	460.44	387.02	503.95	303.44	224.97	529.06	406.31	231.32	463.65	277.2	368.65	336.79	397.93	309.83	379.04	103.69	237.86	195.72	414.87	332.14	454.09	348.71	176.29	236.21	295.11	785.88	279.14	441.64	316.37	287.01	314.17	201.25	258.57	339.14	251.48	173.85	147.06	62.56	289.02	162.14	134.3	96.68	107.38	128.79	107.38	162.14	149.12	144.01	129.69	169.07	148.09	146.03	85.22	159.9	139.07	164.42	159.9	392.44	137.14	74.58	107.38	291.04	162.14	145.02	182.55	307.69	346.29	242.88	173.85
PPIP5K2	265.87	358.54	329.84	275.28	395.18	258.57	289.02	1059.11	518.15	665.29	525.39	571.05	830.75	836.53	1023.0	435.55	518.15	1088.92	718.08	638.15	947.83	540.19	1030.12	616.37	743.43	921.88	941.27	218.79	579.04	497.0	902.89	728.11	1096.5	802.41	301.33	525.39	620.67	1259.69	579.04	896.64	748.61	624.99	1096.5	669.92	435.55	583.07	381.68	336.79	191.67	147.06	384.34	334.46	249.73	231.32	358.54	651.58	327.56	373.81	356.05	271.48	242.88	339.14	293.07	281.09	145.02	379.04	271.48	497.0	314.17	688.78	289.02	208.38	215.77	483.38	353.59	312.0	353.59	825.0	791.35	595.34	483.38
PREPL	161.02	371.22	314.17	275.28	323.03	309.83	239.52	941.27	647.07	921.88	490.14	642.59	1233.75	961.07	961.07	674.59	493.56	620.67	866.07	769.69	988.12	551.56	743.43	921.88	775.05	915.51	884.29	483.38	567.1	327.56	902.89	693.58	947.83	928.3	579.04	579.04	733.19	1044.52	587.13	1159.07	961.07	603.67	1088.92	629.35	780.44	493.56	371.22	253.23	435.55	379.04	412.0	312.0	432.53	221.86	215.77	450.94	195.72	441.64	323.03	438.59	260.38	341.51	285.03	348.71	173.85	358.54	348.71	536.45	287.01	703.28	279.14	395.18	301.33	466.88	447.82	287.01	536.45	791.35	651.58	521.76	473.41
RABEP1	368.65	397.93	387.02	195.72	543.96	432.53	351.14	1081.39	947.83	1709.26	599.49	1216.75	2367.9	3303.0	1857.6	656.11	1295.13	698.41	1819.35	1651.0	1651.0	595.34	743.43	1407.55	1199.98	1199.98	1030.12	303.44	540.19	563.18	3235.01	1250.98	4239.45	2335.28	1159.07	713.11	872.1	2451.44	1008.9	2645.74	2240.11	1151.06	12415.75	941.27	447.82	571.05	356.05	450.94	279.14	521.76	540.19	463.65	381.68	314.17	336.79	366.09	397.93	555.41	426.57	460.44	392.44	387.02	447.82	536.45	320.8	376.41	339.14	447.82	320.8	435.55	373.81	264.03	441.64	525.39	314.17	277.2	373.81	525.39	713.11	616.37	532.74
RAD17	141.02	332.14	269.6	214.27	255.0	348.71	279.14	660.68	395.18	563.18	312.0	343.89	651.58	660.68	579.04	339.14	395.18	466.88	466.88	403.5	518.15	361.04	507.46	438.59	463.65	497.0	620.67	209.84	389.72	303.44	599.49	426.57	703.28	426.57	297.17	366.09	361.04	665.29	483.38	500.46	563.18	395.18	743.43	490.14	343.89	334.46	239.52	194.36	260.38	176.29	309.83	279.14	236.21	215.77	291.04	305.55	220.32	273.37	271.48	229.72	239.52	246.28	275.28	269.6	149.12	309.83	237.86	262.2	260.38	376.41	195.72	164.42	186.4	332.14	265.87	224.97	312.0	297.17	368.65	297.17	406.31
RAD50	133.36	316.37	228.13	167.9	361.04	299.25	287.01	688.78	543.96	555.41	295.11	414.87	909.17	775.05	1023.0	314.17	381.68	830.75	476.71	454.09	802.41	454.09	941.27	525.39	651.58	723.08	674.59	283.05	371.22	323.03	1023.0	693.58	1233.75	688.78	320.8	438.59	532.74	1015.93	486.75	780.44	780.44	379.04	808.0	500.46	205.5	329.84	251.48	234.57	291.04	120.1	435.55	277.2	277.2	264.03	353.59	111.21	180.02	466.88	279.14	204.07	299.25	277.2	460.44	279.14	198.47	181.28	265.87	301.33	194.36	412.0	246.28	133.36	214.27	358.54	241.19	262.2	297.17	470.14	525.39	507.46	239.52
RAPGEF6	35.25	55.1	41.52	37.85	107.38	52.08	58.71	186.4	127.0	194.36	71.0	195.72	392.44	224.97	703.28	105.15	121.79	460.44	146.03	177.53	197.09	140.04	164.42	177.53	248.0	180.02	241.19	54.33	95.34	72.01	205.5	201.25	693.58	182.55	57.08	110.43	137.14	432.53	125.24	212.78	199.85	107.38	232.94	78.89	69.52	94.67	66.18	56.68	50.63	39.5	134.3	100.83	51.71	44.25	47.17	25.54	31.67	108.14	64.8	50.98	81.14	68.55	90.14	60.82	31.67	89.51	55.1	81.14	59.97	135.24	62.12	22.1	35.25	105.15	53.57	67.59	87.65	122.64	215.77	194.36	78.34
RNF14	332.14	547.75	540.19	381.68	708.18	555.41	518.15	1674.06	1369.04	1104.13	848.22	890.44	1628.26	1233.75	988.12	629.35	866.07	995.0	1175.27	988.12	1059.11	759.08	1225.22	909.17	1304.15	1199.98	1769.57	713.11	1127.35	813.63	1350.18	1059.11	1617.0	1651.0	884.29	934.76	866.07	1225.22	1369.04	1096.5	1242.34	961.07	1407.55	1015.93	854.13	909.17	420.68	480.04	571.05	237.86	728.11	536.45	579.04	423.61	674.59	543.96	507.46	629.35	693.58	435.55	457.25	507.46	616.37	525.39	612.11	470.14	356.05	638.15	392.44	825.0	642.59	547.75	486.75	688.78	476.71	521.76	733.19	551.56	595.34	490.14	518.15
SCAMP1	242.88	414.87	376.41	356.05	327.56	417.77	305.55	1447.15	775.05	802.41	665.29	450.94	1733.13	825.0	1806.78	713.11	460.44	1417.35	813.63	961.07	775.05	872.1	1159.07	915.51	1242.34	967.76	1295.13	231.32	612.11	473.41	921.88	785.88	1350.18	1277.29	384.34	392.44	660.68	1350.18	785.88	928.3	988.12	629.35	775.05	429.54	490.14	514.56	301.33	521.76	500.46	381.68	703.28	540.19	450.94	379.04	423.61	251.48	253.23	759.08	463.65	486.75	521.76	1073.91	665.29	366.09	336.79	258.57	273.37	483.38	220.32	563.18	450.94	314.17	371.22	660.68	336.79	486.75	647.07	476.71	460.44	438.59	381.68
SIRT1	242.88	228.13	194.36	121.79	251.48	145.02	147.06	438.59	258.57	423.61	214.27	336.79	480.04	454.09	563.18	271.48	314.17	323.03	397.93	384.34	409.15	275.28	334.46	271.48	435.55	403.5	312.0	157.68	246.28	201.25	329.84	312.0	470.14	312.0	217.27	224.97	363.56	409.15	253.23	514.56	480.04	371.22	603.67	275.28	366.09	267.73	186.4	232.94	125.24	154.42	215.77	178.77	193.01	117.6	137.14	164.42	144.01	182.55	193.01	123.5	180.02	119.26	146.03	205.5	106.63	181.28	167.9	283.05	108.9	271.48	152.28	101.54	93.35	277.2	152.28	149.12	224.97	339.14	460.44	297.17	158.79
SKIV2L2	332.14	473.41	412.0	314.17	493.56	392.44	346.29	1030.12	775.05	713.11	532.74	490.14	1135.2	981.29	1313.23	713.11	579.04	1259.69	791.35	607.87	1191.69	559.28	1104.13	738.29	796.86	921.88	1030.12	204.07	633.73	559.28	1023.0	921.88	1340.84	995.0	669.92	575.03	656.11	1540.37	753.83	981.29	1051.79	647.07	1350.18	703.28	848.22	529.06	540.19	703.28	395.18	351.14	669.92	470.14	397.93	371.22	507.46	503.95	269.6	1806.78	543.96	325.29	444.72	547.75	579.04	447.82	336.79	480.04	447.82	525.39	460.44	733.19	381.68	1551.09	403.5	529.06	444.72	473.41	591.22	624.99	723.08	532.74	688.78
SLC22A5	59.13	133.36	64.8	109.66	126.12	103.69	60.39	718.08	403.5	297.17	89.51	336.79	638.15	669.92	400.71	178.77	251.48	229.72	309.83	277.2	547.75	299.25	258.57	336.79	409.15	559.28	368.65	191.67	147.06	114.36	403.5	348.71	334.46	521.76	154.42	231.32	291.04	361.04	397.93	336.79	460.44	151.22	607.87	339.14	285.03	50.63	50.98	59.97	125.24	50.63	138.1	128.79	116.78	181.28	73.54	20.71	83.45	77.25	86.43	92.05	106.63	195.72	75.64	126.12	63.89	85.22	120.94	123.5	66.65	180.02	119.26	58.71	103.69	145.02	69.03	74.06	94.01	120.1	255.0	244.57	166.73
