	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
KLHL7	463.65	1088.92	909.17	1008.9	463.65	521.76	493.56	500.46	665.29	518.15	500.46	665.29	909.17	575.03	660.68	575.03	660.68	353.59	872.1	684.02	559.28	507.46	409.15	376.41	507.46	381.68	255.0	305.55	371.22	450.94	397.93	332.14	379.04	293.07	297.17	246.28	665.29	381.68	279.14	450.94	341.51	371.22	206.94	293.07	267.73	438.59	214.27	341.51	379.04	392.44	228.13	232.94	341.51	438.59	348.71	493.56	234.57	379.04	320.8	253.23	273.37	356.05	363.56	417.77	283.05	285.03	275.28	275.28	332.14	358.54	325.29	329.84	339.14	264.03	293.07	297.17	258.57	368.65	320.8	381.68	460.44	279.14	412.0	429.54	281.09	363.56	334.46	379.04	316.37	373.81	312.0	620.67	336.79	373.81	325.29	299.25	316.37	348.71	420.68	373.81	289.02	329.84	307.69	323.03	318.57	329.84	381.68	363.56	262.2	293.07	361.04	406.31	320.8	348.71	603.67	351.14	426.57	351.14
KPNA4	503.95	638.15	884.29	1037.29	587.13	521.76	1388.16	457.25	450.94	961.07	713.11	1081.39	1119.56	629.35	1322.37	802.41	693.58	785.88	669.92	921.88	1044.52	665.29	518.15	323.03	356.05	305.55	264.03	307.69	339.14	339.14	356.05	281.09	251.48	327.56	229.72	255.0	341.51	293.07	215.77	346.29	281.09	297.17	182.55	236.21	244.57	353.59	194.36	309.83	289.02	400.71	212.78	218.79	291.04	318.57	265.87	361.04	201.25	320.8	307.69	258.57	253.23	309.83	343.89	285.03	248.0	267.73	242.88	226.54	281.09	295.11	287.01	277.2	291.04	218.79	269.6	314.17	208.38	314.17	289.02	346.29	387.02	232.94	429.54	332.14	256.78	346.29	241.19	246.28	301.33	336.79	332.14	406.31	384.34	281.09	271.48	211.31	291.04	323.03	373.81	299.25	297.17	215.77	277.2	287.01	214.27	287.01	334.46	351.14	226.54	253.23	381.68	269.6	295.11	267.73	490.14	441.64	438.59	346.29
LRPPRC	791.35	1159.07	1397.83	2682.69	890.44	1127.35	780.44	961.07	1023.0	1151.06	2255.7	1030.12	1001.93	1001.93	1175.27	1199.98	769.69	1023.0	1059.11	703.28	1008.9	1369.04	1519.15	633.73	1030.12	624.99	575.03	1936.53	669.92	518.15	733.19	669.92	674.59	728.11	607.87	555.41	830.75	819.3	511.0	651.58	698.41	607.87	414.87	503.95	476.71	884.29	389.72	511.0	579.04	819.3	511.0	567.1	575.03	638.15	603.67	866.07	674.59	836.53	825.0	688.78	536.45	647.07	612.11	571.05	599.49	536.45	518.15	713.11	540.19	647.07	642.59	567.1	599.49	497.0	559.28	842.36	518.15	620.67	587.13	575.03	934.76	493.56	915.51	575.03	507.46	896.64	941.27	514.56	656.11	684.02	703.28	599.49	693.58	536.45	514.56	693.58	688.78	656.11	836.53	612.11	563.18	441.64	518.15	651.58	579.04	595.34	785.88	791.35	529.06	612.11	785.88	713.11	679.29	483.38	743.43	679.29	583.07	514.56
LRRC40	291.04	718.08	346.29	423.61	226.54	187.71	119.26	301.33	262.2	198.47	189.02	212.78	384.34	246.28	226.54	150.17	208.38	173.85	346.29	231.32	236.21	181.28	182.55	96.01	164.42	141.02	90.14	127.0	141.02	103.69	166.73	127.0	130.6	96.68	90.14	50.98	131.51	94.01	77.79	153.34	121.79	138.1	77.25	82.87	135.24	148.09	74.06	117.6	121.79	108.14	75.11	95.34	102.97	143.01	117.6	127.0	49.91	138.1	84.04	88.26	81.14	133.36	124.37	94.01	67.59	98.73	108.14	98.73	123.5	112.77	122.64	145.02	131.51	109.66	119.26	102.97	69.52	137.14	137.14	130.6	129.69	82.29	109.66	115.16	105.89	145.02	81.71	122.64	115.16	145.02	143.01	118.43	115.97	130.6	119.26	87.65	118.43	151.22	202.66	140.04	109.66	82.87	173.85	115.16	75.11	100.13	139.07	143.01	84.04	74.06	122.64	140.04	127.89	136.19	242.88	279.14	143.01	154.42
MED1	559.28	511.0	327.56	466.88	444.72	447.82	226.54	669.92	563.18	366.09	414.87	525.39	343.89	381.68	438.59	305.55	231.32	346.29	521.76	409.15	460.44	497.0	368.65	293.07	384.34	226.54	215.77	256.78	271.48	303.44	283.05	223.41	208.38	249.73	157.68	142.01	271.48	208.38	119.26	281.09	223.41	269.6	157.68	214.27	206.94	356.05	170.25	277.2	223.41	228.13	139.07	189.02	256.78	287.01	185.11	246.28	175.07	199.85	193.01	164.42	224.97	283.05	348.71	221.86	189.02	182.55	158.79	149.12	212.78	283.05	291.04	226.54	237.86	172.65	212.78	209.84	193.01	264.03	242.88	239.52	246.28	211.31	285.03	229.72	191.67	224.97	206.94	195.72	241.19	265.87	229.72	295.11	361.04	186.4	241.19	147.06	190.34	191.67	226.54	195.72	218.79	221.86	229.72	269.6	172.65	358.54	229.72	336.79	181.28	204.07	312.0	262.2	229.72	201.25	353.59	341.51	348.71	279.14
METTL2A	346.29	423.61	287.01	323.03	264.03	332.14	267.73	351.14	543.96	397.93	463.65	414.87	551.56	363.56	412.0	406.31	353.59	497.0	426.57	332.14	423.61	460.44	224.97	208.38	303.44	206.94	205.5	232.94	193.01	256.78	236.21	195.72	195.72	249.73	173.85	152.28	291.04	190.34	173.85	189.02	221.86	218.79	167.9	187.71	206.94	258.57	167.9	191.67	206.94	285.03	127.0	178.77	204.07	194.36	176.29	244.57	156.59	214.27	228.13	198.47	180.02	221.86	209.84	197.09	226.54	152.28	163.28	158.79	146.03	214.27	195.72	191.67	178.77	187.71	173.85	248.0	190.34	161.02	199.85	183.82	228.13	167.9	218.79	231.32	201.25	279.14	215.77	175.07	187.71	246.28	212.78	231.32	205.5	182.55	191.67	162.14	204.07	186.4	194.36	159.9	220.32	191.67	180.02	170.25	157.68	307.69	143.01	202.66	181.28	186.4	205.5	187.71	191.67	208.38	226.54	366.09	236.21	226.54
MIOS	341.51	438.59	532.74	587.13	361.04	323.03	327.56	309.83	497.0	400.71	246.28	457.25	368.65	232.94	493.56	353.59	303.44	305.55	312.0	303.44	341.51	327.56	674.59	172.65	336.79	167.9	161.02	275.28	204.07	206.94	251.48	182.55	186.4	173.85	151.22	111.99	275.28	132.44	119.26	201.25	163.28	246.28	144.01	143.01	127.0	229.72	153.34	206.94	176.29	202.66	139.07	142.01	157.68	221.86	118.43	202.66	120.94	199.85	186.4	161.02	149.12	232.94	212.78	166.73	119.26	131.51	136.19	122.64	171.45	206.94	224.97	167.9	206.94	147.06	173.85	185.11	121.79	194.36	202.66	208.38	205.5	155.5	218.79	198.47	148.09	202.66	195.72	162.14	212.78	206.94	231.32	244.57	237.86	182.55	190.34	148.09	140.04	186.4	173.85	166.73	167.9	170.25	226.54	177.53	143.01	149.12	185.11	260.38	134.3	137.14	231.32	205.5	148.09	176.29	348.71	450.94	293.07	255.0
MRPL19	830.75	629.35	1313.23	1529.73	785.88	480.04	743.43	819.3	780.44	974.5	1295.13	848.22	647.07	1151.06	775.05	884.29	638.15	921.88	1233.75	753.83	1268.46	647.07	575.03	591.22	656.11	529.06	486.75	988.12	412.0	854.13	251.48	392.44	511.0	343.89	473.41	371.22	420.68	583.07	376.41	559.28	860.08	387.02	409.15	547.75	612.11	708.18	305.55	429.54	420.68	802.41	329.84	571.05	381.68	460.44	307.69	688.78	392.44	381.68	733.19	612.11	444.72	571.05	447.82	642.59	603.67	607.87	486.75	547.75	366.09	507.46	400.71	525.39	454.09	384.34	379.04	521.76	490.14	480.04	583.07	466.88	669.92	438.59	571.05	420.68	616.37	575.03	529.06	490.14	587.13	457.25	483.38	384.34	514.56	500.46	518.15	228.13	703.28	587.13	532.74	473.41	486.75	316.37	529.06	366.09	490.14	361.04	412.0	521.76	473.41	708.18	559.28	414.87	450.94	551.56	753.83	624.99	651.58	866.07
MRPS10	954.43	872.1	1183.45	1199.98	738.29	674.59	954.43	642.59	1135.2	723.08	928.3	595.34	775.05	1151.06	665.29	1151.06	785.88	854.13	1159.07	647.07	808.0	909.17	796.86	493.56	848.22	490.14	563.18	748.61	403.5	521.76	555.41	514.56	457.25	536.45	483.38	351.14	629.35	525.39	343.89	423.61	633.73	403.5	327.56	532.74	497.0	503.95	379.04	371.22	406.31	674.59	309.83	463.65	336.79	447.82	343.89	698.41	435.55	575.03	669.92	503.95	397.93	483.38	334.46	511.0	599.49	583.07	486.75	473.41	406.31	348.71	412.0	493.56	447.82	420.68	400.71	476.71	450.94	420.68	483.38	490.14	571.05	420.68	595.34	500.46	532.74	629.35	486.75	409.15	463.65	438.59	518.15	587.13	454.09	429.54	409.15	334.46	441.64	460.44	540.19	444.72	450.94	387.02	466.88	417.77	429.54	591.22	454.09	412.0	521.76	660.68	555.41	406.31	500.46	412.0	587.13	688.78	579.04	579.04
MTF1	228.13	325.29	186.4	223.41	123.5	98.73	98.04	112.77	140.04	194.36	220.32	132.44	176.29	117.6	150.17	76.17	74.58	94.67	106.63	125.24	115.16	78.89	144.01	67.59	75.11	63.0	69.52	54.33	64.34	85.82	64.8	50.27	48.52	54.72	29.91	30.12	58.71	39.22	28.04	61.68	49.91	85.22	43.63	52.82	45.85	87.65	49.91	84.04	56.68	71.0	29.27	50.63	65.72	63.45	44.25	78.34	35.5	56.68	52.45	37.85	62.12	74.58	94.01	59.55	42.41	45.53	38.67	33.78	62.12	63.0	73.54	46.18	53.57	47.17	58.3	39.22	43.32	68.55	62.56	63.89	63.45	57.08	79.45	55.1	49.91	49.21	32.59	49.21	52.82	69.03	53.57	77.25	94.01	48.52	66.18	30.56	35.25	46.5	41.81	40.93	52.08	59.13	59.55	76.17	39.79	67.12	52.45	92.05	55.1	49.56	72.52	65.26	59.97	43.63	100.13	107.38	118.43	91.41
MTIF2	559.28	567.1	825.0	819.3	607.87	426.57	473.41	547.75	571.05	728.11	1015.93	543.96	536.45	713.11	587.13	860.08	420.68	521.76	660.68	460.44	1051.79	587.13	571.05	444.72	669.92	356.05	441.64	1015.93	346.29	435.55	409.15	343.89	368.65	460.44	193.01	293.07	514.56	406.31	309.83	334.46	432.53	392.44	285.03	334.46	341.51	395.18	339.14	305.55	327.56	473.41	320.8	303.44	297.17	371.22	329.84	587.13	299.25	397.93	483.38	379.04	297.17	358.54	358.54	376.41	329.84	376.41	373.81	301.33	301.33	363.56	409.15	325.29	373.81	353.59	325.29	387.02	285.03	395.18	432.53	463.65	503.95	420.68	507.46	339.14	389.72	483.38	476.71	332.14	414.87	348.71	381.68	397.93	392.44	356.05	327.56	293.07	381.68	361.04	397.93	339.14	343.89	264.03	334.46	348.71	323.03	403.5	438.59	353.59	320.8	397.93	435.55	384.34	353.59	341.51	450.94	547.75	343.89	327.56
NAA15	571.05	679.29	379.04	1216.75	414.87	403.5	275.28	267.73	457.25	314.17	647.07	397.93	348.71	397.93	406.31	583.07	256.78	281.09	297.17	363.56	299.25	454.09	346.29	163.28	201.25	153.34	136.19	198.47	173.85	163.28	198.47	171.45	136.19	137.14	133.36	111.21	154.42	136.19	112.77	183.82	159.9	187.71	104.42	102.97	140.04	224.97	110.43	177.53	146.03	171.45	119.26	118.43	154.42	165.57	120.94	153.34	96.68	164.42	137.14	127.0	120.94	191.67	193.01	144.01	100.83	124.37	111.99	105.89	149.12	172.65	172.65	177.53	164.42	124.37	136.19	151.22	100.83	162.14	155.5	162.14	169.07	133.36	195.72	124.37	127.89	155.5	127.89	145.02	157.68	202.66	156.59	172.65	186.4	134.3	146.03	108.14	123.5	164.42	165.57	155.5	147.06	130.6	172.65	147.06	108.14	147.06	180.02	209.84	117.6	119.26	201.25	173.85	140.04	158.79	283.05	206.94	204.07	199.85
NANP	73.54	109.66	86.43	97.36	78.89	78.34	48.87	134.3	103.69	102.25	92.7	117.6	106.63	84.04	97.36	112.77	92.05	98.73	62.12	56.28	121.79	62.12	106.63	49.91	75.11	46.84	47.17	63.89	37.32	56.28	52.82	54.72	43.02	45.85	23.59	24.11	83.45	42.41	28.86	47.84	37.32	35.0	22.59	48.52	53.95	63.45	36.79	35.5	25.17	46.18	32.36	48.18	37.59	50.98	35.0	46.18	33.06	37.05	36.79	31.0	45.21	43.63	49.21	50.63	32.36	40.36	37.05	33.78	37.85	29.48	37.05	42.11	31.22	38.95	46.84	29.7	36.01	46.18	62.56	32.13	44.57	28.45	40.64	62.12	43.02	47.5	40.07	35.25	45.85	55.49	45.85	48.52	43.32	45.53	50.27	33.3	45.21	35.25	38.4	33.3	45.21	40.07	51.71	39.22	40.64	37.05	28.04	47.5	41.22	36.01	43.63	47.5	29.48	45.85	47.84	82.87	88.88	84.63
NDC1	486.75	988.12	414.87	1268.46	320.8	307.69	267.73	312.0	417.77	316.37	507.46	264.03	529.06	583.07	389.72	353.59	201.25	325.29	414.87	332.14	318.57	599.49	438.59	90.77	127.0	98.73	94.67	136.19	92.05	114.36	127.89	115.16	91.41	118.43	84.63	55.1	113.56	99.43	66.18	105.15	100.13	121.79	85.22	80.57	90.77	151.22	90.77	93.35	94.67	88.26	96.01	65.72	102.25	102.25	86.43	107.38	82.87	100.13	89.51	81.71	92.05	109.66	133.36	84.04	102.25	77.25	69.52	65.26	77.79	108.14	127.0	88.26	146.03	90.14	94.67	109.66	70.51	100.13	115.16	116.78	102.97	96.68	118.43	80.57	79.45	128.79	137.14	69.52	115.16	130.6	120.1	109.66	169.07	87.65	100.13	76.17	85.22	109.66	105.15	80.57	106.63	80.01	110.43	114.36	79.45	126.12	108.14	140.04	68.07	69.03	142.01	119.26	83.45	89.51	202.66	145.02	150.17	130.6
NEDD1	400.71	279.14	283.05	351.14	314.17	279.14	214.27	155.5	226.54	244.57	194.36	387.02	264.03	366.09	246.28	273.37	191.67	234.57	708.18	363.56	429.54	251.48	273.37	140.04	159.9	137.14	115.16	99.43	144.01	140.04	165.57	145.02	127.0	132.44	86.43	76.17	170.25	119.26	94.01	176.29	134.3	154.42	71.0	105.89	115.16	175.07	91.41	154.42	140.04	139.07	70.01	114.36	111.99	150.17	127.89	131.51	61.25	155.5	115.16	90.77	102.97	137.14	170.25	145.02	96.01	120.1	110.43	96.68	122.64	143.01	146.03	124.37	144.01	102.25	141.02	117.6	97.36	142.01	130.6	151.22	156.59	122.64	150.17	135.24	120.1	154.42	105.89	124.37	153.34	151.22	145.02	169.07	189.02	115.97	127.89	105.15	120.94	151.22	127.89	161.02	123.5	100.13	153.34	144.01	96.01	141.02	164.42	163.28	102.97	105.89	181.28	137.14	115.97	139.07	244.57	256.78	236.21	165.57
NMD3	854.13	1651.0	974.5	1304.15	909.17	514.56	1286.18	819.3	934.76	1322.37	890.44	1498.22	2855.44	791.35	1529.73	1143.1	1135.2	1437.15	1225.22	1322.37	1369.04	1757.34	902.89	470.14	518.15	507.46	450.94	447.82	591.22	521.76	620.67	507.46	503.95	460.44	438.59	289.02	444.72	441.64	389.72	651.58	423.61	620.67	297.17	341.51	373.81	669.92	343.89	497.0	579.04	503.95	287.01	353.59	476.71	638.15	444.72	511.0	334.46	708.18	493.56	397.93	432.53	780.44	579.04	371.22	358.54	373.81	329.84	373.81	409.15	575.03	507.46	511.0	470.14	363.56	473.41	514.56	305.55	563.18	575.03	532.74	511.0	381.68	579.04	444.72	384.34	728.11	420.68	406.31	511.0	555.41	603.67	525.39	547.75	454.09	486.75	389.72	400.71	674.59	656.11	525.39	429.54	387.02	547.75	514.56	356.05	400.71	660.68	688.78	312.0	373.81	603.67	616.37	547.75	400.71	775.05	612.11	629.35	633.73
NSL1	967.76	1175.27	432.53	764.36	656.11	493.56	633.73	764.36	674.59	503.95	309.83	447.82	603.67	579.04	503.95	432.53	718.08	688.78	780.44	540.19	713.11	536.45	470.14	429.54	429.54	441.64	316.37	351.14	309.83	397.93	412.0	389.72	395.18	387.02	309.83	173.85	301.33	346.29	223.41	412.0	371.22	336.79	301.33	346.29	432.53	463.65	371.22	392.44	305.55	366.09	249.73	341.51	334.46	301.33	334.46	336.79	267.73	447.82	351.14	323.03	305.55	244.57	336.79	316.37	204.07	363.56	343.89	303.44	356.05	287.01	368.65	466.88	316.37	336.79	348.71	287.01	329.84	329.84	363.56	339.14	346.29	371.22	327.56	283.05	353.59	444.72	265.87	381.68	356.05	366.09	412.0	293.07	368.65	336.79	303.44	297.17	366.09	356.05	267.73	343.89	379.04	309.83	490.14	299.25	285.03	414.87	237.86	329.84	301.33	281.09	371.22	353.59	384.34	379.04	463.65	500.46	417.77	414.87
NUFIP2	599.49	825.0	412.0	674.59	432.53	616.37	395.18	450.94	775.05	441.64	785.88	842.36	629.35	511.0	748.61	384.34	323.03	575.03	363.56	791.35	830.75	525.39	612.11	301.33	285.03	248.0	217.27	186.4	297.17	379.04	307.69	236.21	205.5	209.84	165.57	141.02	251.48	194.36	173.85	305.55	211.31	358.54	169.07	208.38	234.57	540.19	153.34	339.14	241.19	318.57	136.19	224.97	267.73	341.51	198.47	217.27	145.02	212.78	169.07	167.9	214.27	341.51	518.15	260.38	206.94	220.32	199.85	177.53	215.77	339.14	269.6	241.19	236.21	199.85	256.78	208.38	164.42	307.69	275.28	255.0	237.86	172.65	381.68	239.52	195.72	214.27	170.25	202.66	244.57	320.8	237.86	297.17	392.44	232.94	279.14	183.82	166.73	249.73	307.69	246.28	199.85	215.77	269.6	265.87	183.82	473.41	228.13	412.0	209.84	214.27	327.56	237.86	229.72	256.78	368.65	483.38	371.22	289.02
NUP153	521.76	872.1	684.02	1015.93	384.34	429.54	595.34	414.87	525.39	438.59	591.22	525.39	497.0	409.15	366.09	674.59	371.22	607.87	860.08	651.58	684.02	454.09	540.19	236.21	332.14	220.32	195.72	201.25	229.72	251.48	275.28	190.34	177.53	191.67	124.37	127.0	232.94	178.77	128.79	269.6	190.34	253.23	145.02	158.79	173.85	301.33	142.01	260.38	208.38	205.5	134.3	175.07	220.32	258.57	173.85	218.79	100.13	234.57	167.9	148.09	195.72	262.2	281.09	217.27	147.06	183.82	165.57	125.24	187.71	236.21	255.0	214.27	205.5	173.85	215.77	183.82	128.79	251.48	214.27	226.54	234.57	175.07	262.2	209.84	162.14	202.66	175.07	178.77	211.31	239.52	226.54	271.48	264.03	186.4	205.5	139.07	149.12	208.38	212.78	218.79	208.38	180.02	226.54	215.77	135.24	244.57	229.72	307.69	163.28	182.55	269.6	231.32	198.47	197.09	379.04	429.54	316.37	336.79
NUP155	320.8	764.36	397.93	432.53	279.14	327.56	325.29	309.83	1073.91	444.72	890.44	483.38	532.74	414.87	476.71	595.34	412.0	368.65	947.83	764.36	444.72	379.04	842.36	120.94	186.4	124.37	106.63	165.57	120.94	138.1	164.42	103.69	107.38	116.78	123.5	90.14	150.17	119.26	84.04	162.14	88.88	132.44	81.14	80.57	106.63	172.65	89.51	140.04	123.5	124.37	85.22	88.88	101.54	136.19	93.35	153.34	94.67	127.89	121.79	111.21	120.1	162.14	180.02	106.63	105.89	80.01	96.68	88.26	107.38	149.12	156.59	127.89	116.78	80.57	100.13	140.04	90.14	105.89	131.51	135.24	114.36	116.78	152.28	136.19	95.34	140.04	134.3	88.88	127.0	135.24	137.14	205.5	170.25	102.97	113.56	95.34	98.73	119.26	138.1	129.69	108.14	98.04	105.15	131.51	92.7	122.64	150.17	151.22	84.63	117.6	167.9	139.07	127.0	111.99	236.21	187.71	142.01	143.01
NUS1	616.37	1388.16	733.19	836.53	547.75	381.68	444.72	476.71	791.35	775.05	529.06	764.36	579.04	713.11	743.43	525.39	587.13	423.61	848.22	616.37	679.29	785.88	738.29	389.72	490.14	426.57	454.09	353.59	384.34	830.75	450.94	363.56	409.15	435.55	301.33	189.02	603.67	406.31	307.69	417.77	571.05	432.53	303.44	470.14	423.61	466.88	285.03	293.07	334.46	607.87	256.78	493.56	295.11	397.93	351.14	607.87	293.07	429.54	536.45	356.05	346.29	381.68	361.04	373.81	575.03	460.44	447.82	314.17	353.59	343.89	432.53	336.79	412.0	384.34	406.31	403.5	348.71	406.31	466.88	414.87	493.56	293.07	579.04	500.46	514.56	480.04	269.6	305.55	392.44	460.44	435.55	642.59	457.25	389.72	373.81	379.04	432.53	379.04	435.55	351.14	336.79	356.05	423.61	371.22	289.02	457.25	368.65	444.72	493.56	490.14	429.54	420.68	341.51	358.54	476.71	947.83	866.07	698.41
OPA1	1437.15	1819.35	981.29	1781.89	967.76	620.67	1073.91	547.75	785.88	1745.2	802.41	2367.9	1923.14	1135.2	2468.49	1529.73	819.3	785.88	896.64	1250.98	1073.91	878.17	941.27	353.59	974.5	273.37	275.28	591.22	397.93	460.44	353.59	358.54	285.03	281.09	217.27	197.09	591.22	368.65	220.32	351.14	444.72	490.14	205.5	255.0	251.48	599.49	197.09	414.87	289.02	400.71	190.34	291.04	389.72	387.02	241.19	718.08	205.5	348.71	384.34	264.03	267.73	420.68	551.56	329.84	301.33	301.33	275.28	239.52	285.03	371.22	320.8	267.73	351.14	209.84	295.11	314.17	214.27	323.03	305.55	341.51	417.77	269.6	769.69	493.56	297.17	368.65	297.17	246.28	346.29	397.93	312.0	860.08	591.22	279.14	262.2	255.0	275.28	348.71	361.04	318.57	279.14	228.13	325.29	395.18	237.86	450.94	312.0	540.19	283.05	332.14	503.95	323.03	265.87	264.03	607.87	718.08	373.81	511.0
PAQR3	239.52	420.68	215.77	551.56	231.32	400.71	123.5	258.57	441.64	376.41	403.5	371.22	351.14	193.01	607.87	187.71	366.09	176.29	476.71	351.14	303.44	366.09	167.9	74.06	195.72	183.82	98.73	175.07	171.45	111.99	176.29	161.02	157.68	143.01	77.25	82.87	172.65	139.07	115.97	139.07	101.54	123.5	75.11	57.89	92.05	249.73	74.58	130.6	100.83	145.02	95.34	112.77	111.21	186.4	90.77	166.73	73.54	155.5	152.28	128.79	108.9	176.29	111.99	135.24	154.42	101.54	146.03	139.07	105.89	111.99	99.43	134.3	116.78	48.52	150.17	126.12	74.58	129.69	102.97	128.79	153.34	72.01	163.28	182.55	64.34	156.59	133.36	148.09	161.02	156.59	163.28	105.15	136.19	187.71	99.43	111.21	116.78	110.43	163.28	147.06	148.09	126.12	99.43	132.44	82.87	90.14	115.16	185.11	117.6	108.9	173.85	108.14	137.14	180.02	215.77	255.0	127.89	155.5
