	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
FAM160B2	314.17	1628.26	511.0	409.15	1359.57	769.69	567.1	1001.93	713.11	703.28	728.11	934.76	363.56	191.67	231.32	356.05	279.14	119.26	111.99	358.54	156.59	277.2	170.25	143.01	314.17	239.52	190.34	142.01	182.55	273.37	197.09	218.79	202.66	295.11	463.65	248.0	103.69	320.8	450.94	186.4	215.77	872.1	1950.0	1322.37	1437.15	1199.98	1208.34	1037.29	961.07	2032.85	1378.57	1794.29	1104.13	909.17	1225.22	1806.78	1073.91	1331.57	2047.0	1322.37	1427.22	1909.85	1277.29	1167.14	1340.84	1268.46	1015.93	1639.59	1268.46	1769.57	1685.71	1819.35	1628.26	1259.69	819.3	1059.11	1498.22	961.07	1111.82	571.05
GNRH1	12.93	76.17	41.52	13.62	39.79	26.47	17.38	45.85	7.34	15.45	5.02	20.41	14.35	8.19	2.61	1.99	3.53	7.51	3.11	5.36	1.77	11.82	22.59	6.21	11.64	8.78	2.66	3.76	3.29	4.86	5.02	1.68	1.14	15.91	16.75	4.9	6.41	4.13	5.92	7.46	8.85	18.43	54.72	26.47	72.01	80.01	38.95	32.13	28.65	37.59	45.21	76.71	26.86	44.57	55.1	85.22	38.12	54.33	72.01	57.08	68.07	55.89	26.1	23.59	30.34	35.76	44.57	66.65	35.5	55.1	70.51	53.95	46.84	29.27	16.15	37.59	46.5	19.68	84.04	42.41
GON4L	389.72	514.56	277.2	221.86	371.22	432.53	323.03	356.05	389.72	397.93	287.01	356.05	255.0	99.43	206.94	114.36	121.79	164.42	173.85	228.13	128.79	167.9	124.37	121.79	129.69	148.09	163.28	201.25	125.24	163.28	143.01	212.78	149.12	84.63	175.07	180.02	38.95	181.28	108.9	154.42	91.41	283.05	665.29	607.87	567.1	521.76	457.25	503.95	473.41	769.69	665.29	633.73	483.38	480.04	612.11	674.59	497.0	559.28	733.19	567.1	543.96	802.41	450.94	463.65	435.55	497.0	529.06	733.19	503.95	563.18	473.41	591.22	629.35	470.14	403.5	480.04	351.14	327.56	460.44	291.04
HINFP	320.8	529.06	260.38	197.09	248.0	387.02	197.09	265.87	351.14	327.56	429.54	309.83	204.07	154.42	118.43	95.34	165.57	91.41	86.43	167.9	130.6	189.02	111.21	103.69	212.78	108.14	139.07	142.01	65.72	135.24	112.77	136.19	62.12	136.19	229.72	134.3	66.65	97.36	187.71	85.82	144.01	363.56	693.58	629.35	587.13	511.0	514.56	656.11	371.22	647.07	555.41	547.75	521.76	507.46	587.13	543.96	503.95	575.03	679.29	563.18	529.06	723.08	521.76	417.77	547.75	521.76	435.55	599.49	599.49	607.87	529.06	607.87	595.34	490.14	423.61	629.35	607.87	368.65	579.04	406.31
HOOK2	825.0	1936.53	934.76	267.73	1359.57	599.49	476.71	438.59	547.75	303.44	450.94	708.18	447.82	351.14	466.88	124.37	414.87	136.19	85.22	271.48	228.13	409.15	214.27	169.07	361.04	269.6	303.44	738.29	77.25	669.92	279.14	366.09	193.01	283.05	457.25	543.96	100.83	204.07	532.74	287.01	314.17	961.07	2417.67	1369.04	2104.58	1167.14	947.83	1378.57	954.43	2720.15	1651.0	1819.35	1617.0	1159.07	1175.27	2502.97	1073.91	1572.76	2319.15	1457.23	1950.0	2682.69	1437.15	1583.71	1498.22	1135.2	1617.0	2104.58	1030.12	1806.78	2255.7	2018.8	2119.22	2335.28	1199.98	1709.26	1870.53	1794.29	525.39	435.55
JMJD7-PLA2G4B	27.25	118.43	37.85	7.17	52.08	41.22	16.51	47.17	31.0	35.5	24.28	35.5	48.18	29.7	18.16	19.53	38.67	14.14	10.55	22.43	6.52	36.53	18.97	19.82	34.02	23.42	24.28	17.51	11.47	26.1	22.43	21.16	34.75	30.78	37.59	41.52	6.73	15.0	30.56	13.62	12.45	55.1	181.28	146.03	154.42	91.41	145.02	52.45	41.81	279.14	87.03	208.38	64.8	81.71	116.78	185.11	108.9	150.17	239.52	153.34	187.71	339.14	94.67	64.8	114.36	98.04	100.13	248.0	115.16	183.82	126.12	182.55	167.9	118.43	82.29	137.14	229.72	100.83	115.16	39.22
KAT2A	303.44	1037.29	343.89	251.48	567.1	403.5	244.57	1183.45	543.96	559.28	511.0	387.02	420.68	638.15	175.07	223.41	241.19	130.6	157.68	320.8	117.6	412.0	287.01	194.36	351.14	191.67	202.66	366.09	127.89	297.17	309.83	265.87	241.19	457.25	497.0	476.71	180.02	194.36	540.19	202.66	447.82	387.02	1359.57	738.29	1551.09	890.44	860.08	759.08	514.56	1583.71	780.44	1561.89	775.05	733.19	915.51	1407.55	961.07	698.41	1806.78	1674.06	1378.57	1844.76	563.18	1001.93	860.08	660.68	769.69	1572.76	802.41	1151.06	902.89	1127.35	974.5	540.19	441.64	713.11	1662.49	525.39	1008.9	551.56
KIAA0907	358.54	884.29	299.25	118.43	647.07	291.04	159.9	361.04	432.53	224.97	153.34	447.82	228.13	251.48	110.43	74.58	113.56	110.43	94.67	169.07	87.65	164.42	201.25	127.89	122.64	126.12	163.28	102.25	47.5	106.63	110.43	140.04	74.58	249.73	209.84	193.01	58.71	84.63	154.42	149.12	134.3	351.14	1059.11	693.58	647.07	785.88	599.49	612.11	476.71	1001.93	693.58	1096.5	860.08	703.28	647.07	1037.29	525.39	688.78	941.27	713.11	688.78	1037.29	785.88	616.37	532.74	540.19	567.1	1175.27	571.05	1059.11	674.59	866.07	743.43	595.34	669.92	624.99	463.65	389.72	909.17	361.04
KLHL17	86.43	358.54	56.68	48.52	201.25	143.01	75.11	122.64	119.26	78.89	121.79	157.68	80.01	59.97	45.53	24.81	57.49	18.03	23.42	50.98	28.86	72.01	28.86	31.0	45.85	53.19	43.94	44.57	22.1	51.35	36.27	75.64	18.29	60.39	84.04	80.01	21.01	53.57	87.03	54.33	64.8	36.79	295.11	186.4	249.73	148.09	185.11	152.28	107.38	403.5	165.57	403.5	249.73	163.28	226.54	351.14	141.02	165.57	329.84	215.77	299.25	343.89	137.14	208.38	145.02	101.54	104.42	291.04	166.73	275.28	204.07	351.14	223.41	175.07	87.65	151.22	248.0	133.36	76.17	102.97
LEMD2	813.63	1628.26	1081.39	934.76	884.29	1066.48	819.3	1127.35	753.83	981.29	1127.35	915.51	529.06	454.09	503.95	325.29	376.41	295.11	289.02	559.28	420.68	412.0	529.06	397.93	387.02	409.15	361.04	463.65	358.54	417.77	341.51	466.88	214.27	703.28	460.44	529.06	395.18	381.68	708.18	444.72	426.57	819.3	1322.37	1111.82	1437.15	1143.1	1216.75	1175.27	1259.69	1487.87	1388.16	1304.15	1119.56	1127.35	1225.22	1437.15	1259.69	1216.75	1561.89	1540.37	1304.15	1674.06	1151.06	921.88	1167.14	1143.1	1216.75	1322.37	1216.75	1277.29	1225.22	1340.84	1407.55	1331.57	967.76	1350.18	1313.23	1104.13	1437.15	902.89
LUC7L	633.73	2133.97	651.58	351.14	1340.84	629.35	595.34	1769.57	540.19	738.29	543.96	842.36	500.46	384.34	303.44	271.48	329.84	167.9	228.13	503.95	242.88	297.17	470.14	242.88	307.69	279.14	318.57	503.95	176.29	348.71	189.02	441.64	211.31	432.53	309.83	642.59	293.07	435.55	432.53	226.54	201.25	599.49	2148.82	2032.85	2720.15	1977.24	2224.63	1832.01	928.3	3955.48	1832.01	2915.45	1617.0	1709.26	2133.97	3235.01	2240.11	2018.8	3614.55	3060.45	3874.05	3467.27	1487.87	1313.23	1745.2	1508.65	2018.8	3395.89	1844.76	2956.17	3124.78	2417.67	2319.15	1369.04	759.08	1883.54	878.17	808.0	1896.65	1359.57
METTL3	356.05	688.78	373.81	291.04	587.13	514.56	420.68	620.67	412.0	480.04	316.37	389.72	463.65	341.51	239.52	185.11	231.32	314.17	193.01	287.01	186.4	323.03	277.2	232.94	267.73	329.84	285.03	287.01	149.12	305.55	249.73	283.05	204.07	277.2	351.14	403.5	142.01	223.41	339.14	271.48	264.03	624.99	1104.13	1001.93	1208.34	1135.2	947.83	1023.0	500.46	1487.87	836.53	1119.56	825.0	1001.93	1015.93	1457.23	890.44	1015.93	1437.15	1397.83	1259.69	1467.37	915.51	603.67	995.0	860.08	753.83	1208.34	947.83	1175.27	1286.18	1088.92	1051.79	995.0	1175.27	1044.52	708.18	813.63	819.3	575.03
MMS19	1151.06	967.76	651.58	638.15	872.1	1183.45	791.35	872.1	1151.06	988.12	1111.82	915.51	603.67	447.82	376.41	256.78	332.14	387.02	236.21	334.46	289.02	426.57	412.0	432.53	351.14	275.28	332.14	466.88	343.89	447.82	301.33	507.46	307.69	269.6	429.54	332.14	246.28	389.72	507.46	438.59	271.48	860.08	1447.15	1340.84	1183.45	1167.14	1167.14	1143.1	1233.75	1340.84	1286.18	1628.26	1081.39	1111.82	1378.57	1295.13	1250.98	1322.37	1417.35	884.29	1304.15	1417.35	1427.22	1175.27	1388.16	1322.37	1286.18	1183.45	1183.45	1183.45	1331.57	1183.45	1250.98	947.83	896.64	915.51	674.59	775.05	1277.29	674.59
MSANTD2	96.01	312.0	185.11	94.01	88.88	108.14	115.97	150.17	90.14	115.16	74.58	115.97	49.21	59.55	25.72	19.97	23.76	37.59	18.97	40.93	29.06	43.94	55.49	25.72	27.84	24.81	19.39	41.22	10.39	38.95	21.78	26.86	25.54	55.1	53.19	52.82	14.35	29.48	50.98	22.26	26.86	98.73	339.14	273.37	417.77	323.03	246.28	316.37	159.9	463.65	291.04	387.02	244.57	395.18	289.02	376.41	363.56	346.29	435.55	603.67	529.06	518.15	260.38	177.53	264.03	262.2	432.53	409.15	271.48	414.87	305.55	363.56	329.84	314.17	221.86	392.44	400.71	273.37	291.04	172.65
MUTYH	125.24	457.25	215.77	154.42	253.23	356.05	127.89	336.79	343.89	291.04	353.59	285.03	221.86	262.2	125.24	98.73	170.25	77.25	77.25	205.5	92.7	135.24	267.73	82.87	146.03	171.45	120.1	234.57	146.03	159.9	108.14	197.09	124.37	164.42	181.28	206.94	71.5	113.56	194.36	129.69	106.63	251.48	507.46	616.37	679.29	497.0	708.18	620.67	264.03	738.29	583.07	665.29	395.18	567.1	612.11	759.08	603.67	540.19	583.07	679.29	796.86	708.18	490.14	329.84	587.13	642.59	638.15	703.28	718.08	748.61	583.07	583.07	583.07	514.56	426.57	651.58	579.04	366.09	490.14	356.05
NPEPL1	559.28	1111.82	603.67	629.35	934.76	878.17	791.35	1529.73	1519.15	802.41	974.5	693.58	429.54	291.04	161.02	171.45	409.15	65.72	91.41	255.0	199.85	206.94	209.84	172.65	204.07	214.27	241.19	130.6	312.0	150.17	154.42	379.04	176.29	269.6	209.84	332.14	166.73	329.84	191.67	211.31	117.6	441.64	909.17	941.27	1023.0	896.64	872.1	878.17	476.71	1191.69	769.69	1073.91	624.99	669.92	941.27	941.27	884.29	738.29	1295.13	915.51	1127.35	1051.79	743.43	325.29	909.17	928.3	684.02	890.44	866.07	842.36	1081.39	1250.98	802.41	890.44	616.37	796.86	579.04	493.56	679.29	624.99
P2RY11	154.42	909.17	117.6	157.68	191.67	120.94	116.78	295.11	189.02	265.87	329.84	242.88	116.78	138.1	72.01	111.99	53.57	33.78	47.84	40.93	25.17	63.0	70.51	42.71	59.13	65.26	59.13	107.38	87.65	49.91	63.89	56.68	161.02	109.66	105.15	43.63	22.43	33.3	51.35	52.82	66.65	100.83	305.55	368.65	356.05	162.14	295.11	195.72	217.27	381.68	223.41	392.44	181.28	175.07	307.69	287.01	312.0	251.48	363.56	279.14	368.65	532.74	264.03	220.32	297.17	271.48	239.52	361.04	312.0	232.94	303.44	255.0	229.72	153.34	256.78	258.57	303.44	175.07	248.0	191.67
PCED1A	197.09	1225.22	579.04	599.49	555.41	665.29	651.58	1015.93	896.64	620.67	718.08	591.22	595.34	414.87	281.09	329.84	323.03	97.36	159.9	389.72	137.14	486.75	283.05	258.57	490.14	301.33	264.03	279.14	169.07	414.87	406.31	480.04	152.28	251.48	555.41	463.65	269.6	314.17	551.56	267.73	397.93	503.95	1208.34	1191.69	1977.24	1044.52	1369.04	1030.12	647.07	1721.16	988.12	1277.29	941.27	1119.56	1313.23	1540.37	1388.16	1175.27	1651.0	1417.35	1457.23	1781.89	1044.52	607.87	1350.18	1331.57	1073.91	1388.16	1268.46	1369.04	1832.01	1225.22	1477.58	1322.37	954.43	1378.57	1674.06	830.75	1183.45	808.0
PILRB	571.05	3928.15	412.0	118.43	435.55	825.0	249.73	2303.12	450.94	397.93	651.58	341.51	967.76	392.44	190.34	500.46	698.41	346.29	307.69	444.72	197.09	733.19	624.99	320.8	303.44	341.51	320.8	775.05	277.2	575.03	559.28	603.67	251.48	532.74	486.75	599.49	403.5	403.5	429.54	343.89	447.82	327.56	1909.85	1447.15	1923.14	1208.34	1388.16	1350.18	406.31	2119.22	1191.69	1697.45	915.51	1331.57	1407.55	2075.59	1175.27	1225.22	2400.97	2090.03	2133.97	2319.15	872.1	497.0	954.43	967.76	915.51	2855.44	1250.98	1519.15	1572.76	1733.13	1819.35	1159.07	607.87	769.69	1417.35	785.88	1119.56	785.88
PLA2G6	341.51	1794.29	256.78	71.0	514.56	299.25	205.5	961.07	341.51	246.28	258.57	199.85	229.72	237.86	50.63	107.38	163.28	109.66	59.13	316.37	43.63	177.53	85.82	113.56	295.11	166.73	151.22	170.25	71.0	229.72	267.73	162.14	143.01	180.02	583.07	178.77	81.71	121.79	151.22	112.77	273.37	387.02	1457.23	1781.89	2287.2	1594.73	1233.75	866.07	305.55	2061.24	1073.91	1819.35	808.0	1015.93	1216.75	2335.28	1378.57	1388.16	1909.85	2018.8	1794.29	1407.55	1350.18	343.89	723.08	830.75	368.65	2739.08	1508.65	1883.54	1806.78	1721.16	1806.78	1015.93	825.0	748.61	2119.22	1037.29	1059.11	647.07
PLCG1	555.41	1498.22	660.68	612.11	500.46	607.87	551.56	909.17	780.44	669.92	660.68	511.0	417.77	198.47	143.01	101.54	162.14	153.34	102.25	239.52	205.5	229.72	264.03	193.01	163.28	124.37	277.2	173.85	115.97	178.77	190.34	231.32	85.22	125.24	366.09	255.0	93.35	142.01	228.13	128.79	172.65	420.68	1583.71	1447.15	1651.0	1651.0	1242.34	1023.0	1023.0	2627.46	1467.37	2335.28	1159.07	1340.84	1594.73	1909.85	947.83	1397.83	2032.85	1457.23	1844.76	2287.2	1151.06	819.3	1331.57	1259.69	1119.56	2075.59	1175.27	1437.15	1286.18	1757.34	2061.24	1467.37	1143.1	1769.57	1529.73	1037.29	1487.87	1286.18
PNISR	995.0	1857.6	934.76	400.71	967.76	559.28	616.37	1023.0	660.68	738.29	161.02	878.17	698.41	723.08	217.27	226.54	387.02	435.55	182.55	591.22	256.78	713.11	497.0	403.5	503.95	346.29	356.05	339.14	191.67	432.53	336.79	395.18	211.31	733.19	665.29	738.29	256.78	368.65	591.22	289.02	397.93	995.0	2682.69	2417.67	2777.33	2701.35	1977.24	2520.38	1447.15	4639.29	2255.7	3665.02	1909.85	2255.7	2319.15	3982.99	2384.37	3081.75	4066.71	3168.41	3395.89	3982.99	2090.03	1044.52	1721.16	1844.76	2645.74	4358.66	2367.9	3443.31	2591.27	2209.26	2915.45	2018.8	2090.03	3257.52	3039.3	1991.0	3018.3	1259.69
POGZ	514.56	872.1	660.68	307.69	507.46	307.69	529.06	457.25	493.56	486.75	291.04	571.05	429.54	351.14	129.69	100.83	277.2	205.5	131.51	228.13	134.3	409.15	299.25	187.71	289.02	287.01	178.77	176.29	145.02	241.19	253.23	295.11	159.9	218.79	397.93	460.44	111.99	269.6	249.73	124.37	191.67	591.22	1304.15	1225.22	1073.91	1225.22	1044.52	860.08	669.92	2119.22	1073.91	1407.55	638.15	878.17	1051.79	1427.22	1151.06	1467.37	1477.58	878.17	1397.83	2417.67	1096.5	616.37	890.44	1001.93	1044.52	2032.85	1001.93	1159.07	981.29	872.1	1407.55	854.13	813.63	1304.15	1259.69	890.44	1051.79	693.58
POLG2	802.41	305.55	195.72	115.16	186.4	199.85	147.06	249.73	182.55	170.25	169.07	145.02	127.0	180.02	43.63	35.76	100.13	97.36	39.79	143.01	82.29	112.77	108.9	84.04	173.85	95.34	84.04	137.14	48.87	92.7	98.73	94.67	76.71	101.54	120.1	159.9	34.51	52.45	138.1	63.89	96.01	113.56	279.14	211.31	361.04	241.19	256.78	221.86	204.07	387.02	211.31	301.33	215.77	358.54	253.23	267.73	234.57	215.77	353.59	277.2	246.28	329.84	287.01	129.69	228.13	228.13	181.28	281.09	228.13	285.03	269.6	318.57	279.14	255.0	234.57	392.44	595.34	205.5	327.56	175.07
PRPF3	967.76	909.17	507.46	323.03	624.99	511.0	466.88	796.86	406.31	480.04	277.2	470.14	426.57	460.44	197.09	171.45	441.64	381.68	182.55	297.17	155.5	241.19	356.05	189.02	220.32	371.22	334.46	392.44	193.01	246.28	246.28	339.14	381.68	327.56	281.09	521.76	154.42	178.77	287.01	204.07	140.04	507.46	1250.98	1066.48	1242.34	988.12	967.76	947.83	629.35	1519.15	954.43	1378.57	808.0	872.1	1151.06	1304.15	1073.91	1135.2	1322.37	1295.13	1487.87	1551.09	896.64	660.68	988.12	890.44	1030.12	1286.18	872.1	1277.29	1044.52	1044.52	1135.2	1008.9	954.43	1135.2	928.3	915.51	1119.56	723.08
PRPF40B	123.5	884.29	246.28	120.1	426.57	363.56	199.85	647.07	358.54	332.14	426.57	281.09	142.01	96.68	63.45	67.59	78.34	48.52	42.71	103.69	57.49	75.64	76.17	87.65	84.04	74.06	76.71	127.0	50.63	80.01	75.64	123.5	57.89	125.24	110.43	104.42	38.4	67.59	95.34	84.63	133.36	441.64	764.36	830.75	791.35	718.08	708.18	785.88	392.44	915.51	603.67	836.53	529.06	866.07	723.08	890.44	802.41	728.11	884.29	633.73	753.83	860.08	563.18	473.41	679.29	518.15	860.08	842.36	693.58	791.35	830.75	718.08	748.61	698.41	563.18	1008.9	629.35	620.67	743.43	429.54
RABGGTA	555.41	967.76	819.3	441.64	688.78	718.08	1001.93	583.07	480.04	759.08	555.41	708.18	497.0	400.71	351.14	351.14	503.95	214.27	241.19	400.71	309.83	366.09	381.68	262.2	387.02	403.5	356.05	373.81	295.11	358.54	287.01	389.72	379.04	454.09	368.65	447.82	273.37	493.56	389.72	353.59	295.11	616.37	1250.98	967.76	1268.46	1023.0	1322.37	981.29	1143.1	1709.26	1242.34	2193.99	775.05	1066.48	1015.93	1437.15	988.12	947.83	1447.15	1073.91	1639.59	1498.22	1119.56	1605.83	1151.06	1104.13	1015.93	1572.76	1233.75	1359.57	1242.34	1437.15	1127.35	753.83	476.71	638.15	473.41	503.95	555.41	341.51
RBM19	312.0	395.18	220.32	246.28	368.65	363.56	260.38	420.68	363.56	353.59	361.04	332.14	182.55	183.82	139.07	142.01	146.03	133.36	124.37	206.94	148.09	218.79	183.82	133.36	211.31	228.13	120.94	153.34	125.24	153.34	165.57	111.99	124.37	177.53	220.32	269.6	99.43	166.73	232.94	177.53	206.94	289.02	674.59	466.88	688.78	514.56	587.13	563.18	339.14	785.88	559.28	551.56	463.65	432.53	559.28	583.07	555.41	624.99	688.78	426.57	733.19	915.51	525.39	447.82	473.41	595.34	466.88	854.13	457.25	698.41	703.28	591.22	642.59	373.81	429.54	457.25	346.29	332.14	497.0	297.17
RBM5	698.41	2555.58	1081.39	403.5	1388.16	1030.12	928.3	1709.26	915.51	1059.11	785.88	1208.34	848.22	748.61	438.59	397.93	579.04	543.96	356.05	748.61	500.46	808.0	708.18	454.09	629.35	563.18	521.76	791.35	429.54	665.29	447.82	688.78	400.71	665.29	764.36	1037.29	507.46	563.18	733.19	480.04	356.05	1242.34	3235.01	2895.31	2777.33	2351.53	1844.76	1950.0	1551.09	4095.0	2335.28	3349.13	1883.54	1857.6	2367.9	3928.15	1832.01	2537.92	3820.7	2758.13	3257.52	4152.18	2609.3	1721.16	2148.82	2119.22	1909.85	3639.7	2075.59	3614.55	2835.7	2573.36	2875.3	2451.44	1923.14	2664.15	2240.11	1819.35	2915.45	1733.13
RP11-295P9.3	103.69	371.22	185.11	55.89	161.02	70.01	105.89	165.57	64.8	92.05	51.71	136.19	127.89	125.24	31.22	31.45	58.71	40.36	34.02	53.95	18.56	76.71	61.25	55.1	61.25	75.11	41.52	48.18	27.05	34.75	48.52	77.25	38.67	50.27	50.27	104.42	13.32	35.25	80.01	45.85	42.71	121.79	432.53	279.14	316.37	232.94	149.12	190.34	157.68	457.25	334.46	293.07	242.88	208.38	258.57	379.04	211.31	279.14	417.77	403.5	314.17	417.77	152.28	158.79	169.07	186.4	175.07	376.41	143.01	341.51	307.69	281.09	320.8	242.88	211.31	412.0	483.38	305.55	269.6	153.34
S100PBP	191.67	503.95	224.97	129.69	281.09	221.86	209.84	183.82	211.31	198.47	132.44	283.05	152.28	88.88	65.26	55.49	73.54	66.18	41.52	103.69	88.26	96.68	91.41	59.13	82.87	59.55	63.0	77.79	35.0	93.35	62.56	103.69	65.26	166.73	110.43	144.01	65.26	60.39	94.01	69.03	67.59	246.28	447.82	412.0	295.11	444.72	363.56	295.11	323.03	624.99	356.05	493.56	329.84	307.69	392.44	457.25	334.46	373.81	450.94	392.44	376.41	599.49	420.68	262.2	287.01	348.71	339.14	435.55	332.14	389.72	336.79	387.02	429.54	262.2	293.07	450.94	507.46	248.0	412.0	358.54
SDR39U1	567.1	2104.58	1259.69	1216.75	1397.83	1819.35	1044.52	1477.58	1250.98	1674.06	1388.16	1397.83	1059.11	1225.22	988.12	896.64	1135.2	529.06	571.05	1407.55	500.46	878.17	947.83	813.63	961.07	921.88	967.76	684.02	884.29	1151.06	679.29	878.17	878.17	1259.69	1008.9	1073.91	808.0	988.12	1277.29	890.44	974.5	1745.2	1963.57	1745.2	2224.63	1477.58	1769.57	1540.37	1242.34	2303.12	1721.16	2075.59	1617.0	1896.65	1896.65	2319.15	1896.65	1477.58	2287.2	2075.59	2468.49	2400.97	1340.84	1467.37	2004.85	1745.2	1769.57	2417.67	2090.03	2061.24	2209.26	2018.8	1977.24	1870.53	1781.89	1963.57	1721.16	1529.73	1757.34	1208.34
SETD6	395.18	536.45	260.38	220.32	361.04	269.6	155.5	309.83	264.03	229.72	231.32	228.13	271.48	231.32	202.66	199.85	226.54	206.94	136.19	255.0	189.02	212.78	167.9	234.57	190.34	285.03	239.52	220.32	205.5	264.03	150.17	221.86	327.56	173.85	198.47	305.55	115.16	234.57	178.77	170.25	201.25	435.55	466.88	511.0	503.95	429.54	444.72	450.94	334.46	819.3	426.57	638.15	351.14	525.39	420.68	591.22	551.56	397.93	633.73	500.46	563.18	579.04	412.0	351.14	384.34	376.41	547.75	679.29	435.55	665.29	466.88	432.53	429.54	457.25	529.06	796.86	490.14	341.51	389.72	348.71
SFI1	204.07	638.15	169.07	99.43	309.83	301.33	182.55	486.75	287.01	269.6	351.14	327.56	163.28	166.73	69.03	34.51	123.5	31.22	35.0	90.77	39.79	113.56	157.68	65.72	117.6	62.56	65.72	50.27	66.65	82.29	68.55	84.04	36.01	236.21	178.77	195.72	51.35	88.88	157.68	31.22	59.55	703.28	759.08	684.02	738.29	555.41	679.29	698.41	490.14	748.61	563.18	775.05	460.44	559.28	775.05	769.69	728.11	808.0	723.08	620.67	684.02	759.08	571.05	444.72	438.59	669.92	204.07	1051.79	738.29	830.75	660.68	759.08	603.67	547.75	307.69	547.75	518.15	368.65	409.15	193.01
SGK494	29.91	34.02	31.9	13.32	49.21	18.84	26.86	91.41	46.5	37.59	19.68	36.53	45.85	19.97	15.0	21.63	20.71	36.79	20.11	19.82	12.0	38.67	16.51	16.15	36.53	19.97	31.22	4.39	9.78	24.81	25.35	18.29	49.91	14.89	35.76	23.08	5.11	11.47	20.26	18.56	21.47	41.52	143.01	126.12	86.43	115.16	60.39	45.21	50.27	208.38	100.13	193.01	73.03	52.08	87.65	138.1	77.79	144.01	162.14	111.21	114.36	211.31	67.12	63.45	81.71	60.39	62.12	189.02	34.26	104.42	90.77	86.43	120.1	104.42	144.01	204.07	275.28	67.59	50.98	26.86
