	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.BQ.7056.01A.11R.1965.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.1497J.0726.SM.5Q5D1
LARP7	743.43	866.07	642.59	1175.27	693.58	1037.29	890.44	1322.37	974.5	981.29	1023.0	1127.35	1111.82	928.3	848.22	728.11	1001.93	848.22	1167.14	974.5	1216.75	1397.83	1359.57	1044.52	1119.56	733.19	1167.14	1159.07	775.05	218.79	1268.46	536.45	547.75	738.29	218.79	941.27	688.78	60.82	173.85	587.13	543.96	82.87	633.73	486.75
LCORL	156.59	76.71	87.03	90.77	89.51	88.26	237.86	141.02	92.7	116.78	154.42	130.6	120.1	82.87	81.14	88.26	108.9	77.79	154.42	102.97	165.57	127.0	85.22	92.7	127.0	236.21	144.01	172.65	63.45	31.67	255.0	49.21	49.56	64.34	38.95	90.14	248.0	32.13	37.05	41.81	59.97	37.05	68.07	73.54
LIAS	264.03	339.14	212.78	429.54	480.04	323.03	301.33	356.05	384.34	208.38	346.29	429.54	214.27	220.32	307.69	327.56	339.14	299.25	438.59	312.0	432.53	327.56	591.22	273.37	348.71	190.34	406.31	339.14	258.57	327.56	435.55	269.6	239.52	248.0	178.77	201.25	373.81	107.38	169.07	214.27	180.02	170.25	444.72	194.36
LIN54	112.77	119.26	85.82	177.53	157.68	111.21	96.01	136.19	165.57	123.5	231.32	163.28	161.02	126.12	132.44	173.85	134.3	120.1	221.86	105.89	246.28	84.04	127.89	100.13	133.36	109.66	156.59	177.53	68.07	53.57	237.86	43.02	35.76	52.45	30.34	110.43	105.89	17.64	29.06	43.32	47.17	21.47	35.5	54.72
LRCH2	55.1	7.57	3.35	114.36	38.12	69.03	12.09	101.54	83.45	69.52	161.02	101.54	115.97	50.27	85.22	92.05	22.1	112.77	91.41	53.57	195.72	37.05	4.54	72.52	96.01	18.16	161.02	118.43	8.65	49.21	155.5	2.97	0.67	7.4	0.72	1.19	3.23	8.38	3.72	0.67	4.9	4.03	6.67	4.28
MAGT1	934.76	703.28	547.75	1127.35	1250.98	769.69	642.59	1088.92	1216.75	896.64	1561.89	1044.52	1417.35	884.29	1151.06	1304.15	1167.14	698.41	1313.23	866.07	1277.29	921.88	429.54	890.44	1304.15	718.08	1487.87	1359.57	612.11	1397.83	1617.0	444.72	536.45	438.59	543.96	872.1	1119.56	497.0	629.35	571.05	532.74	551.56	525.39	503.95
MBNL1	575.03	543.96	295.11	1044.52	842.36	830.75	343.89	872.1	1119.56	995.0	1081.39	1135.2	1051.79	872.1	780.44	1073.91	1073.91	473.41	1066.48	921.88	1135.2	616.37	836.53	728.11	791.35	1183.45	1151.06	1295.13	540.19	753.83	1674.06	493.56	376.41	559.28	395.18	500.46	457.25	146.03	463.65	420.68	536.45	318.57	237.86	334.46
MCTS1	753.83	890.44	769.69	1250.98	1151.06	974.5	928.3	967.76	988.12	860.08	1388.16	1135.2	1135.2	1059.11	1096.5	1051.79	1081.39	954.43	1208.34	1233.75	1143.1	974.5	1407.55	1477.58	1369.04	624.99	1628.26	1250.98	961.07	1617.0	1388.16	669.92	743.43	633.73	941.27	620.67	995.0	909.17	878.17	684.02	536.45	759.08	1359.57	1119.56
METTL14	175.07	175.07	164.42	291.04	220.32	217.27	156.59	414.87	303.44	275.28	426.57	341.51	303.44	236.21	232.94	318.57	273.37	153.34	400.71	215.77	346.29	162.14	145.02	236.21	249.73	152.28	309.83	392.44	177.53	53.57	571.05	131.51	117.6	146.03	117.6	176.29	224.97	74.58	112.77	120.94	99.43	108.9	113.56	183.82
METTL15	120.94	144.01	110.43	239.52	163.28	157.68	128.79	258.57	303.44	134.3	267.73	258.57	190.34	251.48	194.36	194.36	191.67	155.5	253.23	167.9	264.03	251.48	176.29	138.1	186.4	253.23	295.11	215.77	125.24	93.35	336.79	147.06	143.01	133.36	121.79	146.03	182.55	19.11	74.06	148.09	108.14	43.32	119.26	88.88
MNAT1	444.72	457.25	559.28	830.75	896.64	896.64	620.67	1088.92	1015.93	656.11	1191.69	1030.12	813.63	543.96	836.53	890.44	934.76	575.03	947.83	769.69	796.86	616.37	1175.27	1066.48	967.76	320.8	961.07	1001.93	567.1	599.49	1322.37	312.0	412.0	343.89	334.46	612.11	603.67	126.12	248.0	371.22	426.57	182.55	624.99	339.14
MORC4	283.05	373.81	265.87	348.71	476.71	241.19	126.12	493.56	384.34	376.41	571.05	521.76	543.96	329.84	327.56	579.04	356.05	193.01	775.05	417.77	435.55	126.12	144.01	395.18	674.59	87.03	708.18	591.22	116.78	71.5	633.73	153.34	81.71	92.05	107.38	234.57	194.36	81.71	150.17	99.43	131.51	71.5	175.07	559.28
MRPL50	256.78	384.34	144.01	457.25	392.44	406.31	323.03	579.04	473.41	291.04	567.1	483.38	400.71	329.84	392.44	397.93	507.46	358.54	438.59	412.0	423.61	199.85	525.39	460.44	447.82	186.4	547.75	521.76	387.02	397.93	693.58	162.14	190.34	205.5	173.85	158.79	457.25	125.24	195.72	183.82	202.66	133.36	214.27	156.59
MRPS30	753.83	688.78	312.0	1322.37	1233.75	1030.12	954.43	1304.15	1350.18	921.88	1896.65	1096.5	1175.27	967.76	947.83	1135.2	1407.55	791.35	1135.2	785.88	1233.75	642.59	679.29	1191.69	921.88	1001.93	1674.06	1685.71	466.88	1519.15	1950.0	339.14	511.0	414.87	525.39	638.15	1111.82	295.11	473.41	438.59	450.94	343.89	698.41	679.29
NAA15	146.03	173.85	162.14	193.01	178.77	167.9	148.09	271.48	185.11	194.36	281.09	223.41	248.0	149.12	173.85	197.09	206.94	153.34	314.17	148.09	256.78	157.68	85.82	158.79	178.77	129.69	258.57	291.04	141.02	98.04	387.02	100.13	84.04	129.69	90.14	152.28	201.25	24.28	85.82	117.6	133.36	56.68	127.89	157.68
NAA35	320.8	264.03	85.22	414.87	318.57	237.86	251.48	371.22	353.59	279.14	403.5	336.79	327.56	214.27	283.05	303.44	332.14	214.27	463.65	234.57	373.81	249.73	142.01	218.79	320.8	211.31	368.65	476.71	190.34	132.44	620.67	133.36	104.42	123.5	115.16	82.87	368.65	107.38	98.04	126.12	146.03	87.03	120.1	197.09
NDFIP1	2193.99	1628.26	1167.14	3467.27	3467.27	2591.27	2090.03	2875.3	3372.43	2537.92	3742.05	3146.52	3540.14	3081.75	3060.45	3564.78	3716.2	2485.67	3716.2	2645.74	3081.75	2997.45	1721.16	2835.7	3847.29	2591.27	3349.13	3443.31	1572.76	5913.33	1923.14	884.29	1015.93	941.27	1119.56	1467.37	2434.5	1023.0	1427.22	995.0	1023.0	1008.9	1407.55	1044.52
NECAP1	303.44	379.04	295.11	500.46	483.38	480.04	397.93	551.56	536.45	466.88	733.19	525.39	493.56	447.82	493.56	503.95	551.56	521.76	638.15	387.02	612.11	563.18	647.07	412.0	679.29	493.56	713.11	624.99	379.04	303.44	764.36	249.73	381.68	356.05	297.17	363.56	555.41	346.29	309.83	251.48	423.61	441.64	171.45	341.51
NFX1	246.28	384.34	195.72	559.28	441.64	417.77	303.44	723.08	384.34	460.44	476.71	543.96	555.41	376.41	361.04	536.45	483.38	432.53	616.37	417.77	638.15	237.86	208.38	323.03	417.77	189.02	674.59	603.67	289.02	92.7	483.38	348.71	223.41	400.71	237.86	171.45	371.22	226.54	212.78	332.14	297.17	228.13	293.07	262.2
PAICS	791.35	842.36	587.13	1519.15	1216.75	928.3	738.29	1233.75	1378.57	890.44	1617.0	1388.16	1268.46	693.58	1023.0	1111.82	1001.93	708.18	1977.24	825.0	1457.23	1030.12	1561.89	1001.93	1250.98	656.11	1508.65	1175.27	693.58	395.18	503.95	493.56	334.46	444.72	540.19	748.61	872.1	444.72	543.96	842.36	423.61	368.65	878.17	896.64
PDP2	217.27	117.6	64.8	297.17	351.14	138.1	173.85	312.0	265.87	305.55	80.57	236.21	353.59	218.79	197.09	161.02	194.36	98.73	536.45	147.06	232.94	165.57	194.36	105.15	232.94	353.59	273.37	591.22	57.08	51.71	629.35	54.33	24.81	21.63	43.32	47.5	153.34	45.53	43.02	24.28	23.42	13.93	50.63	34.26
PGRMC2	4010.71	2018.8	1378.57	3794.3	2485.67	2271.4	3280.18	1950.0	2777.33	2384.37	2835.7	2468.49	4210.15	1561.89	2303.12	2720.15	2664.15	915.51	3039.3	1594.73	5711.87	1427.22	723.08	2351.53	3614.55	1008.9	4575.41	5791.62	2075.59	2485.67	3349.13	703.28	796.86	733.19	1023.0	1216.75	3039.3	764.36	1066.48	1111.82	483.38	769.69	1304.15	896.64
PLAA	563.18	325.29	153.34	483.38	363.56	303.44	389.72	575.03	384.34	447.82	743.43	476.71	583.07	389.72	332.14	483.38	420.68	273.37	656.11	406.31	507.46	289.02	226.54	406.31	466.88	303.44	525.39	629.35	267.73	237.86	603.67	144.01	166.73	154.42	176.29	119.26	532.74	291.04	205.5	124.37	194.36	167.9	173.85	232.94
PPP2CA	2287.2	575.03	669.92	1781.89	1268.46	1388.16	1794.29	2682.69	1259.69	1844.76	2835.7	2032.85	2400.97	1594.73	1340.84	2133.97	1794.29	995.0	1733.13	1721.16	1832.01	1447.15	2303.12	1350.18	2555.58	2047.0	3372.43	2520.38	1923.14	988.12	2163.77	890.44	1313.23	921.88	1127.35	1167.14	2591.27	954.43	1397.83	928.3	1167.14	1051.79	1119.56	941.27
PPP2R5E	277.2	239.52	149.12	325.29	260.38	211.31	228.13	417.77	271.48	264.03	532.74	353.59	435.55	201.25	232.94	341.51	258.57	155.5	514.56	279.14	473.41	255.0	260.38	228.13	309.83	234.57	457.25	529.06	182.55	140.04	204.07	140.04	154.42	134.3	130.6	172.65	295.11	94.01	126.12	154.42	152.28	102.25	130.6	139.07
PPP6C	954.43	836.53	353.59	1183.45	1037.29	1001.93	872.1	1651.0	1001.93	1073.91	1447.15	1216.75	1447.15	909.17	915.51	1225.22	1331.57	743.43	1427.22	1111.82	1225.22	1340.84	1286.18	961.07	1216.75	764.36	1477.58	1508.65	947.83	764.36	775.05	511.0	624.99	490.14	785.88	409.15	1096.5	909.17	1030.12	497.0	638.15	813.63	441.64	624.99
PRKAA1	567.1	336.79	204.07	713.11	738.29	684.02	256.78	1519.15	890.44	954.43	1066.48	878.17	1167.14	595.34	693.58	780.44	884.29	493.56	1286.18	624.99	1191.69	674.59	435.55	599.49	1044.52	780.44	769.69	1674.06	323.03	334.46	2451.44	323.03	251.48	392.44	218.79	389.72	450.94	108.14	236.21	289.02	325.29	149.12	177.53	376.41
PRKAG1	1216.75	1781.89	1551.09	2537.92	1896.65	1733.13	1304.15	1977.24	2209.26	1721.16	2104.58	2209.26	2193.99	1733.13	2075.59	2075.59	2319.15	1477.58	2451.44	1617.0	2255.7	1183.45	2061.24	2255.7	2485.67	1487.87	2682.69	2502.97	1111.82	3103.19	2915.45	698.41	1073.91	1216.75	1143.1	1111.82	1369.04	1183.45	1051.79	723.08	1151.06	1378.57	1697.45	802.41
PRRG1	251.48	269.6	189.02	353.59	249.73	318.57	83.45	669.92	571.05	336.79	237.86	500.46	438.59	381.68	368.65	403.5	381.68	323.03	423.61	343.89	532.74	543.96	221.86	253.23	460.44	55.49	435.55	723.08	125.24	145.02	612.11	134.3	147.06	101.54	126.12	122.64	70.51	63.45	166.73	137.14	119.26	115.16	63.0	47.5
PSMC6	1295.13	1447.15	1407.55	1832.01	1605.83	1447.15	1313.23	2209.26	1477.58	1388.16	1794.29	1909.85	1769.57	1529.73	1487.87	1407.55	1709.26	1268.46	1832.01	1540.37	1857.6	1457.23	1340.84	1977.24	2351.53	1143.1	2537.92	2400.97	1250.98	3168.41	2895.31	1159.07	1037.29	1059.11	934.76	1143.1	1721.16	616.37	872.1	1151.06	954.43	629.35	1447.15	1417.35
RAB21	909.17	974.5	791.35	995.0	1008.9	902.89	733.19	1183.45	1015.93	902.89	1313.23	967.76	1277.29	866.07	872.1	1104.13	1295.13	748.61	1233.75	928.3	1051.79	713.11	1407.55	748.61	934.76	866.07	1540.37	1467.37	848.22	307.69	1745.2	595.34	941.27	785.88	607.87	902.89	1159.07	392.44	660.68	674.59	1208.34	571.05	543.96	521.76
RAD23B	1378.57	1594.73	575.03	2075.59	2335.28	1397.83	1015.93	2178.83	1674.06	2351.53	2502.97	2075.59	2816.11	1977.24	2032.85	2240.11	2351.53	1119.56	2434.5	1594.73	2468.49	1242.34	4123.49	1561.89	2796.65	915.51	2303.12	3665.02	1561.89	1044.52	3690.52	759.08	921.88	693.58	1304.15	684.02	1639.59	1151.06	1225.22	854.13	780.44	941.27	1175.27	1950.0
RBM18	353.59	287.01	106.63	343.89	318.57	258.57	275.28	486.75	373.81	307.69	567.1	339.14	432.53	262.2	312.0	314.17	429.54	249.73	368.65	291.04	473.41	381.68	848.22	301.33	511.0	242.88	551.56	638.15	264.03	246.28	387.02	166.73	209.84	166.73	180.02	102.97	417.77	108.14	197.09	170.25	145.02	137.14	205.5	221.86
RBM27	111.21	97.36	69.52	206.94	201.25	170.25	105.15	332.14	202.66	237.86	293.07	239.52	318.57	172.65	181.28	206.94	212.78	133.36	351.14	159.9	291.04	154.42	177.53	169.07	220.32	172.65	206.94	346.29	115.16	75.64	476.71	100.13	78.89	94.67	63.89	133.36	153.34	16.15	51.71	81.71	84.63	36.01	78.89	85.22
RCHY1	624.99	417.77	348.71	708.18	660.68	529.06	591.22	974.5	703.28	633.73	928.3	703.28	693.58	567.1	633.73	642.59	684.02	547.75	743.43	438.59	813.63	764.36	909.17	395.18	909.17	591.22	896.64	1015.93	551.56	1037.29	830.75	234.57	232.94	172.65	237.86	279.14	1073.91	289.02	293.07	260.38	305.55	232.94	271.48	323.03
RLIM	158.79	159.9	120.1	209.84	194.36	181.28	162.14	277.2	244.57	224.97	285.03	248.0	279.14	186.4	194.36	279.14	273.37	163.28	314.17	209.84	289.02	269.6	205.5	180.02	253.23	141.02	403.5	366.09	148.09	59.13	651.58	129.69	100.13	111.21	115.16	145.02	181.28	59.97	117.6	124.37	123.5	113.56	153.34	63.89
SBNO1	206.94	194.36	91.41	267.73	264.03	150.17	126.12	256.78	237.86	197.09	327.56	258.57	244.57	165.57	187.71	215.77	195.72	191.67	301.33	155.5	316.37	194.36	87.03	137.14	224.97	226.54	275.28	281.09	140.04	19.97	420.68	117.6	137.14	136.19	66.65	163.28	191.67	38.67	96.01	121.79	193.01	96.68	64.34	92.05
SCAMP1	457.25	429.54	246.28	1242.34	1685.71	1191.69	318.57	2240.11	1208.34	1199.98	902.89	1417.35	1487.87	1709.26	1286.18	1081.39	1037.29	967.76	2434.5	1250.98	1277.29	878.17	175.07	1183.45	1745.2	559.28	1397.83	2997.45	307.69	1268.46	3794.3	211.31	239.52	289.02	201.25	395.18	366.09	111.21	318.57	231.32	251.48	181.28	291.04	144.01
SENP2	241.19	218.79	141.02	470.14	406.31	486.75	176.29	447.82	551.56	466.88	438.59	607.87	698.41	353.59	511.0	483.38	470.14	178.77	651.58	417.77	603.67	198.47	470.14	275.28	403.5	358.54	595.34	624.99	223.41	57.89	854.13	177.53	106.63	114.36	173.85	158.79	285.03	105.89	105.89	100.83	138.1	112.77	108.9	178.77
SIK2	275.28	258.57	312.0	441.64	612.11	400.71	206.94	555.41	490.14	371.22	486.75	490.14	684.02	327.56	571.05	638.15	265.87	339.14	536.45	403.5	470.14	236.21	253.23	341.51	358.54	318.57	575.03	432.53	389.72	76.17	339.14	249.73	182.55	249.73	152.28	149.12	265.87	82.29	189.02	228.13	281.09	181.28	140.04	96.68
SLC30A9	1369.04	1572.76	1037.29	2485.67	2163.77	1529.73	1242.34	2739.08	2335.28	1457.23	2209.26	2400.97	2240.11	1350.18	1977.24	2319.15	1963.57	1127.35	2956.17	1639.59	2485.67	1199.98	3491.39	1313.23	2287.2	1008.9	2777.33	3235.01	808.0	1151.06	3955.48	454.09	612.11	426.57	547.75	941.27	1617.0	265.87	389.72	536.45	379.04	323.03	563.18	285.03
SLC31A1	490.14	748.61	206.94	1059.11	921.88	486.75	384.34	669.92	921.88	775.05	1427.22	525.39	1369.04	543.96	769.69	825.0	848.22	444.72	1135.2	503.95	660.68	314.17	373.81	620.67	656.11	435.55	890.44	1191.69	341.51	591.22	941.27	126.12	218.79	87.65	264.03	169.07	633.73	426.57	275.28	147.06	185.11	264.03	237.86	607.87
SLC4A5	53.95	395.18	46.18	1216.75	221.86	616.37	435.55	825.0	1135.2	595.34	860.08	490.14	808.0	371.22	620.67	483.38	825.0	169.07	1477.58	587.13	1447.15	15.91	2.1	417.77	638.15	13.03	551.56	688.78	30.34	57.08	603.67	28.04	7.34	35.5	2.89	28.86	66.18	5.28	8.92	8.92	26.1	4.46	10.63	2.18
SMU1	759.08	813.63	423.61	1044.52	928.3	928.3	723.08	1127.35	1066.48	934.76	1167.14	1044.52	1119.56	1015.93	928.3	1096.5	1143.1	764.36	1066.48	902.89	961.07	915.51	733.19	1001.93	1127.35	563.18	1359.57	1111.82	860.08	432.53	1447.15	543.96	624.99	518.15	688.78	432.53	995.0	703.28	718.08	583.07	591.22	708.18	698.41	551.56
SNAPC3	403.5	281.09	122.64	406.31	297.17	320.8	358.54	759.08	463.65	438.59	684.02	470.14	400.71	320.8	332.14	412.0	429.54	275.28	551.56	400.71	525.39	318.57	316.37	329.84	414.87	303.44	441.64	708.18	239.52	256.78	764.36	163.28	180.02	190.34	138.1	164.42	460.44	147.06	161.02	152.28	117.6	115.16	178.77	177.53
SPTLC1	974.5	884.29	291.04	1295.13	1286.18	1051.79	708.18	1977.24	1594.73	1259.69	1447.15	1674.06	1721.16	1208.34	1167.14	1697.45	1487.87	878.17	1407.55	1037.29	1304.15	1175.27	563.18	1175.27	1551.09	1143.1	1733.13	1572.76	842.36	884.29	2004.85	543.96	563.18	633.73	679.29	543.96	1233.75	555.41	728.11	872.1	529.06	514.56	409.15	271.48
SPTY2D1	251.48	162.14	239.52	228.13	137.14	287.01	127.0	379.04	287.01	283.05	287.01	277.2	679.29	341.51	253.23	314.17	346.29	202.66	511.0	285.03	403.5	141.02	409.15	215.77	323.03	251.48	490.14	483.38	131.51	73.54	563.18	111.99	121.79	83.45	114.36	159.9	220.32	39.5	87.03	108.9	119.26	102.25	88.26	111.21
SRFBP1	94.01	74.58	31.0	189.02	133.36	140.04	94.01	275.28	183.82	151.22	183.82	220.32	242.88	148.09	146.03	170.25	242.88	124.37	248.0	120.1	232.94	133.36	169.07	154.42	147.06	122.64	202.66	262.2	62.12	80.01	438.59	55.1	42.11	59.55	53.95	94.67	121.79	12.09	35.5	67.12	67.59	20.11	60.82	65.26
SRP54	796.86	595.34	642.59	961.07	836.53	825.0	525.39	1008.9	878.17	819.3	995.0	1059.11	1159.07	825.0	842.36	995.0	1151.06	854.13	1487.87	775.05	1143.1	854.13	947.83	796.86	1216.75	536.45	1277.29	1250.98	775.05	264.03	1487.87	555.41	514.56	514.56	624.99	665.29	860.08	500.46	583.07	470.14	567.1	463.65	656.11	507.46
SRP72	684.02	854.13	753.83	1096.5	866.07	836.53	571.05	1617.0	1059.11	1277.29	1417.35	1023.0	1487.87	961.07	1175.27	1127.35	1030.12	921.88	1651.0	813.63	1417.35	802.41	961.07	1081.39	1397.83	674.59	1407.55	1561.89	830.75	860.08	1199.98	384.34	444.72	525.39	567.1	842.36	718.08	371.22	470.14	620.67	579.04	500.46	775.05	743.43
STRAP	2875.3	3303.0	2133.97	3564.78	4239.45	3103.19	2485.67	3419.52	3955.48	3325.99	4769.75	3372.43	4543.8	3103.19	4095.0	3768.09	4358.66	2796.65	4268.94	3589.58	3395.89	2645.74	3928.15	4972.34	4298.64	2555.58	4937.99	3768.09	1806.78	4481.23	3395.89	1167.14	2255.7	2537.92	1519.15	1794.29	3018.3	1806.78	1697.45	1498.22	2739.08	1977.24	2319.15	1617.0
STX17	173.85	130.6	61.68	281.09	262.2	234.57	133.36	460.44	307.69	325.29	420.68	318.57	379.04	156.59	187.71	314.17	277.2	115.16	540.19	229.72	450.94	138.1	389.72	218.79	376.41	170.25	323.03	551.56	135.24	49.56	713.11	71.0	55.89	115.16	70.51	90.77	181.28	96.68	61.68	55.1	68.07	57.89	44.57	104.42
TBC1D15	457.25	438.59	406.31	595.34	660.68	866.07	358.54	842.36	723.08	651.58	555.41	860.08	947.83	693.58	540.19	642.59	842.36	395.18	981.29	543.96	941.27	426.57	316.37	470.14	591.22	497.0	1175.27	1721.16	473.41	723.08	1674.06	312.0	503.95	281.09	260.38	339.14	480.04	137.14	329.84	232.94	346.29	237.86	341.51	403.5
TBK1	189.02	277.2	223.41	325.29	249.73	281.09	221.86	466.88	358.54	307.69	376.41	339.14	392.44	314.17	285.03	351.14	320.8	336.79	356.05	258.57	414.87	193.01	116.78	264.03	329.84	265.87	392.44	400.71	239.52	136.19	587.13	134.3	242.88	279.14	147.06	211.31	241.19	66.65	147.06	159.9	267.73	110.43	139.07	217.27
TGFBR1	264.03	316.37	163.28	384.34	412.0	447.82	211.31	547.75	426.57	785.88	384.34	480.04	981.29	612.11	660.68	656.11	909.17	353.59	579.04	525.39	575.03	423.61	133.36	575.03	412.0	279.14	493.56	921.88	341.51	339.14	1143.1	229.72	220.32	231.32	251.48	165.57	244.57	159.9	395.18	152.28	253.23	318.57	189.02	138.1
TMA16	198.47	265.87	185.11	281.09	307.69	212.78	171.45	358.54	283.05	255.0	318.57	314.17	363.56	249.73	291.04	275.28	246.28	163.28	500.46	220.32	358.54	312.0	363.56	289.02	341.51	218.79	409.15	293.07	309.83	255.0	381.68	167.9	166.73	180.02	232.94	237.86	260.38	120.1	248.0	303.44	187.71	175.07	450.94	182.55
TMED7	1001.93	708.18	406.31	1674.06	1794.29	1183.45	813.63	1769.57	2061.24	1208.34	1883.54	1583.71	2018.8	1437.15	1605.83	1950.0	1498.22	1304.15	2193.99	1242.34	2133.97	1583.71	366.09	1175.27	2047.0	1407.55	2520.38	2502.97	866.07	1697.45	2758.13	366.09	518.15	497.0	514.56	866.07	1397.83	457.25	612.11	551.56	587.13	450.94	563.18	890.44
TMEM167A	1322.37	629.35	525.39	1340.84	1709.26	1135.2	713.11	1508.65	1950.0	1286.18	1757.34	1467.37	1477.58	1175.27	2224.63	1832.01	1583.71	1467.37	1605.83	1127.35	1651.0	1143.1	2224.63	1159.07	1437.15	1508.65	1870.53	1909.85	813.63	1639.59	1745.2	547.75	743.43	579.04	728.11	1051.79	1322.37	688.78	866.07	532.74	743.43	616.37	819.3	909.17
TMEM184C	450.94	435.55	336.79	764.36	551.56	447.82	400.71	860.08	684.02	583.07	1208.34	713.11	866.07	348.71	656.11	551.56	743.43	476.71	1111.82	511.0	1066.48	500.46	327.56	579.04	934.76	366.09	878.17	1044.52	281.09	166.73	1096.5	205.5	181.28	176.29	231.32	260.38	521.76	215.77	224.97	162.14	149.12	152.28	197.09	189.02
TMEM192	532.74	525.39	190.34	660.68	629.35	507.46	358.54	1023.0	642.59	651.58	603.67	775.05	808.0	476.71	571.05	591.22	802.41	287.01	1233.75	486.75	785.88	651.58	1023.0	387.02	1015.93	497.0	830.75	934.76	389.72	237.86	748.61	224.97	205.5	198.47	392.44	381.68	500.46	343.89	309.83	173.85	241.19	228.13	336.79	325.29
TMEM38B	400.71	450.94	55.1	1467.37	1447.15	400.71	305.55	1844.76	1008.9	441.64	995.0	603.67	866.07	139.07	379.04	361.04	759.08	381.68	1127.35	309.83	802.41	3190.46	1259.69	275.28	395.18	202.66	1286.18	511.0	151.22	684.02	595.34	153.34	159.9	271.48	163.28	172.65	438.59	136.19	175.07	31.22	120.94	218.79	220.32	153.34
TNPO1	607.87	178.77	175.07	447.82	397.93	307.69	248.0	543.96	529.06	563.18	896.64	575.03	708.18	358.54	361.04	599.49	583.07	320.8	769.69	358.54	708.18	444.72	825.0	281.09	441.64	503.95	612.11	947.83	289.02	301.33	1697.45	217.27	175.07	150.17	181.28	287.01	441.64	193.01	221.86	221.86	267.73	158.79	139.07	206.94
TOX4	830.75	708.18	591.22	1030.12	961.07	713.11	567.1	1457.23	813.63	842.36	1143.1	1015.93	1023.0	713.11	775.05	954.43	1066.48	738.29	1044.52	780.44	1191.69	688.78	1457.23	583.07	1059.11	599.49	1250.98	1023.0	679.29	612.11	753.83	368.65	403.5	353.59	547.75	497.0	693.58	642.59	473.41	307.69	417.77	532.74	559.28	457.25
TRAF6	121.79	88.26	141.02	121.79	115.16	129.69	165.57	236.21	158.79	135.24	193.01	172.65	137.14	104.42	119.26	171.45	132.44	123.5	176.29	134.3	175.07	115.16	92.7	153.34	140.04	173.85	309.83	224.97	89.51	40.93	201.25	98.73	72.01	89.51	70.01	69.52	206.94	69.03	84.04	68.07	82.87	59.55	34.75	71.0
UBE2K	1151.06	718.08	607.87	1286.18	1477.58	1216.75	1427.22	1685.71	1331.57	1594.73	2434.5	1437.15	1697.45	1051.79	1427.22	1457.23	1617.0	1119.56	1551.09	1561.89	1477.58	1119.56	1467.37	981.29	1322.37	764.36	1883.54	1467.37	1159.07	1359.57	825.0	587.13	575.03	620.67	866.07	866.07	1651.0	954.43	1001.93	819.3	769.69	759.08	941.27	1233.75
UBE3A	607.87	575.03	368.65	708.18	669.92	555.41	389.72	842.36	723.08	603.67	842.36	769.69	769.69	567.1	599.49	651.58	607.87	525.39	947.83	540.19	872.1	660.68	384.34	490.14	808.0	406.31	651.58	902.89	379.04	265.87	1119.56	323.03	309.83	341.51	220.32	392.44	547.75	76.71	218.79	327.56	318.57	147.06	277.2	231.32
UBQLN1	1313.23	1127.35	514.56	1709.26	1909.85	1191.69	961.07	2224.63	1745.2	1674.06	1745.2	1794.29	2104.58	1340.84	1794.29	1870.53	1857.6	1467.37	2163.77	1457.23	1883.54	974.5	2351.53	1143.1	1709.26	934.76	2104.58	2090.03	1008.9	1111.82	2451.44	543.96	679.29	417.77	665.29	457.25	1037.29	559.28	656.11	651.58	679.29	483.38	813.63	1023.0
