	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.K4.A54R.11A.11R.A26T.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EK.A2RJ.01A.11R.A18M.07	GTEX.ZTPG.1626.SM.5DUX2	GTEX.X4XY.1726.SM.46MVO	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	TCGA.62.A46O.01A.11R.A24H.07	TCGA.35.3615.01A.01R.0946.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4631.01A.01R.1755.07	TCGA.73.4677.01A.01R.1206.07	TCGA.62.A471.01A.12R.A24H.07	TCGA.69.8253.01A.11R.2287.07	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
FAM72B	223.41	72.01	105.15	22.59	64.8	70.01	181.28	21.63	20.26	36.27	255.0	171.45	21.47	56.68	96.68	55.89	96.68	148.09	23.42	129.69	187.71	127.89	62.56	171.45	63.89	13.42	9.48	13.22	98.73	53.57	29.06	11.47	24.99	26.47	13.12	248.0	11.47	98.04	7.57	100.83	13.12	91.41	16.15	59.55	19.68	32.59	4.66	17.9
FAM72C	256.78	152.28	76.17	133.36	23.25	84.04	156.59	13.32	21.47	13.22	246.28	103.69	22.26	42.11	91.41	42.11	87.03	79.45	15.91	97.36	224.97	135.24	48.18	115.97	29.48	0.0	10.39	4.86	151.22	19.25	50.63	0.0	9.78	0.0	2.61	289.02	7.88	28.45	8.85	57.08	16.15	105.15	16.75	32.59	0.0	14.56	0.0	0.0
FAM72D	195.72	78.89	41.81	120.1	18.56	50.27	151.22	4.86	7.28	12.36	206.94	156.59	14.89	39.22	123.5	26.1	86.43	102.25	20.26	142.01	166.73	73.54	87.03	129.69	47.17	6.36	3.53	15.68	214.27	39.5	24.63	0.0	2.97	3.17	1.48	373.81	7.94	108.14	7.88	62.56	13.12	102.25	14.14	33.78	18.29	17.25	3.2	18.43
FANCD2	591.22	96.01	202.66	244.57	90.77	343.89	679.29	111.21	129.69	177.53	397.93	559.28	116.78	309.83	616.37	228.13	381.68	476.71	130.6	303.44	1477.58	320.8	281.09	543.96	244.57	108.14	83.45	158.79	301.33	131.51	109.66	5.92	41.52	27.64	7.69	603.67	125.24	314.17	86.43	450.94	89.51	325.29	57.49	329.84	82.87	128.79	30.34	44.57
FANCI	825.0	293.07	693.58	366.09	111.99	381.68	660.68	112.77	95.34	223.41	493.56	420.68	156.59	287.01	543.96	199.85	269.6	764.36	187.71	567.1	1111.82	417.77	525.39	1008.9	297.17	89.51	45.53	543.96	289.02	244.57	63.0	8.06	22.59	15.91	12.93	915.51	69.03	414.87	73.03	642.59	99.43	497.0	78.89	356.05	127.0	214.27	112.77	138.1
FBXO5	323.03	130.6	78.89	120.94	34.26	90.14	211.31	36.27	50.27	96.68	366.09	99.43	86.43	84.63	74.58	80.57	76.71	224.97	38.67	295.11	279.14	134.3	120.1	156.59	65.26	48.87	36.01	59.97	81.14	98.04	24.63	33.78	57.08	47.17	62.56	217.27	51.71	111.21	42.41	199.85	69.52	202.66	45.21	126.12	145.02	119.26	44.57	64.34
GINS1	403.5	167.9	217.27	264.03	62.56	138.1	305.55	23.59	55.89	130.6	420.68	187.71	92.7	221.86	204.07	96.68	161.02	279.14	57.08	341.51	320.8	373.81	229.72	791.35	193.01	39.79	7.0	129.69	239.52	90.77	39.5	2.73	5.19	2.84	3.59	143.01	31.22	63.0	28.04	438.59	27.44	138.1	43.94	142.01	105.15	82.29	20.56	42.71
GINS2	575.03	195.72	525.39	231.32	89.51	275.28	412.0	48.52	136.19	86.43	389.72	323.03	116.78	277.2	748.61	86.43	211.31	525.39	105.89	417.77	329.84	336.79	271.48	507.46	144.01	56.68	20.56	126.12	115.16	120.94	47.84	19.82	19.68	7.75	15.91	215.77	41.52	169.07	50.98	303.44	25.91	165.57	8.58	150.17	353.59	127.89	21.01	55.1
GSG2	90.14	21.01	16.03	36.53	6.06	31.0	77.25	5.41	4.46	29.48	64.8	41.52	14.45	20.71	36.53	17.51	24.99	34.75	21.32	92.7	127.0	17.51	41.81	84.04	11.38	7.34	16.63	33.78	56.68	31.67	5.59	1.1	1.36	0.13	0.0	78.34	8.25	47.84	4.17	80.01	8.13	107.38	7.82	92.05	24.28	24.81	31.0	17.38
GTSE1	444.72	176.29	183.82	187.71	42.11	297.17	253.23	24.46	29.7	95.34	457.25	255.0	54.33	201.25	318.57	85.22	92.7	356.05	183.82	239.52	283.05	147.06	224.97	356.05	61.68	17.64	2.81	111.21	211.31	96.68	52.45	3.03	8.0	14.14	0.71	316.37	23.76	373.81	17.64	231.32	24.99	417.77	28.86	137.14	23.93	50.63	17.0	39.22
HELLS	728.11	89.51	361.04	104.42	44.89	236.21	559.28	79.45	88.88	137.14	218.79	271.48	141.02	143.01	336.79	123.5	102.25	299.25	108.9	236.21	403.5	167.9	363.56	387.02	98.73	80.01	52.82	105.89	51.71	151.22	122.64	7.63	18.97	13.32	5.92	409.15	19.68	124.37	26.67	156.59	27.25	244.57	27.25	226.54	85.82	231.32	91.41	67.12
HJURP	579.04	105.89	170.25	285.03	18.03	532.74	412.0	38.95	37.59	111.21	693.58	140.04	65.72	125.24	384.34	100.83	205.5	348.71	187.71	309.83	297.17	167.9	256.78	503.95	58.3	19.39	25.35	129.69	140.04	128.79	70.51	30.56	4.39	2.89	3.59	836.53	27.44	269.6	23.08	332.14	23.76	540.19	37.05	221.86	71.0	146.03	17.9	119.26
HMMR	909.17	198.47	139.07	246.28	43.63	253.23	265.87	18.43	45.53	74.58	447.82	438.59	119.26	91.41	279.14	98.73	158.79	358.54	87.65	435.55	808.0	182.55	384.34	387.02	79.45	14.03	4.9	81.14	185.11	115.16	55.89	6.62	4.62	1.43	2.61	454.09	60.82	234.57	59.97	255.0	38.4	175.07	49.56	166.73	165.57	74.06	44.89	52.08
INCENP	703.28	218.79	166.73	258.57	173.85	289.02	353.59	80.01	139.07	271.48	802.41	432.53	264.03	182.55	490.14	223.41	170.25	493.56	131.51	753.83	629.35	279.14	457.25	583.07	143.01	115.16	73.54	131.51	291.04	551.56	327.56	34.26	64.34	74.58	19.39	414.87	109.66	480.04	65.26	234.57	141.02	246.28	127.89	412.0	36.27	267.73	190.34	232.94
KIAA1524	239.52	113.56	126.12	90.14	35.0	73.54	348.71	14.78	27.84	98.73	441.64	134.3	54.33	25.17	134.3	45.21	155.5	149.12	43.02	182.55	147.06	105.15	175.07	175.07	69.52	21.16	21.01	39.5	146.03	38.12	23.76	3.26	10.88	4.86	3.03	283.05	22.26	106.63	15.0	346.29	17.13	135.24	16.51	86.43	44.57	42.11	25.72	32.59
KIF11	571.05	183.82	260.38	163.28	51.35	239.52	567.1	19.53	49.21	110.43	429.54	595.34	126.12	133.36	260.38	110.43	78.89	460.44	83.45	289.02	387.02	170.25	295.11	366.09	80.57	29.7	3.89	205.5	116.78	123.5	42.71	4.5	11.3	7.28	3.2	341.51	28.86	150.17	31.9	148.09	44.57	265.87	36.27	144.01	64.34	120.1	20.41	61.25
KIF14	84.63	45.53	24.11	38.95	7.69	45.85	69.03	2.58	6.16	32.59	49.21	65.72	20.56	15.11	38.4	15.22	21.16	135.24	13.72	70.01	29.27	31.67	56.28	53.57	26.86	3.35	1.06	25.35	54.72	20.56	12.36	1.14	2.12	1.5	0.44	115.16	6.26	53.57	4.28	18.43	11.91	84.04	17.9	28.65	5.15	11.91	6.11	14.56
KIF15	616.37	102.97	172.65	112.77	38.4	100.83	130.6	9.34	27.44	55.1	209.84	140.04	39.22	100.13	157.68	54.72	186.4	226.54	56.28	214.27	432.53	159.9	149.12	363.56	94.67	10.0	3.89	47.5	121.79	69.52	26.47	1.6	1.39	0.09	4.43	118.43	14.78	115.97	8.65	164.42	16.03	95.34	18.97	107.38	39.22	52.45	15.34	34.02
KIF18A	163.28	46.84	52.45	87.03	9.63	75.11	71.0	7.34	9.27	45.53	162.14	84.63	32.13	29.48	54.33	10.47	46.84	96.01	36.53	145.02	89.51	39.79	75.11	67.59	42.41	7.69	8.71	25.54	73.54	31.45	15.22	0.52	0.39	0.35	2.29	107.38	33.3	115.16	30.12	86.43	24.11	63.45	21.32	61.25	22.1	20.11	20.71	35.25
KIF18B	559.28	164.42	99.43	152.28	21.32	154.42	309.83	13.93	29.48	95.34	775.05	241.19	41.81	113.56	283.05	63.45	116.78	291.04	91.41	332.14	206.94	127.89	141.02	406.31	54.33	8.0	1.75	20.71	135.24	129.69	57.49	1.83	4.13	1.06	0.68	395.18	7.57	307.69	7.51	132.44	9.56	543.96	20.56	209.84	7.11	38.95	32.13	84.04
KIF20A	1745.2	275.28	373.81	264.03	87.65	511.0	397.93	38.67	60.39	155.5	1498.22	429.54	175.07	246.28	532.74	146.03	234.57	825.0	212.78	836.53	896.64	232.94	529.06	743.43	215.77	19.25	1.41	176.29	208.38	173.85	53.57	3.41	10.55	0.0	2.97	400.71	43.94	251.48	36.27	134.3	42.41	269.6	75.64	244.57	60.82	102.97	15.8	47.84
KIF20B	215.77	71.5	63.0	98.04	29.48	90.14	178.77	14.67	22.59	70.01	145.02	226.54	62.56	48.52	87.65	55.89	36.01	143.01	47.5	143.01	103.69	75.64	116.78	146.03	66.18	26.67	12.27	107.38	116.78	84.63	29.91	11.55	24.81	13.52	6.89	127.0	21.94	63.89	28.04	53.95	42.11	90.77	43.02	109.66	80.01	135.24	37.59	31.9
KIF23	743.43	305.55	234.57	493.56	71.5	373.81	397.93	39.5	25.91	241.19	679.29	656.11	131.51	133.36	429.54	111.99	154.42	599.49	136.19	629.35	341.51	220.32	381.68	540.19	143.01	36.01	19.25	139.07	379.04	205.5	99.43	2.2	19.25	5.41	4.94	500.46	37.59	409.15	41.52	277.2	41.52	493.56	62.12	182.55	56.28	146.03	27.25	96.01
KIF2C	728.11	387.02	429.54	518.15	62.12	441.64	420.68	52.45	42.11	215.77	1844.76	775.05	135.24	265.87	571.05	133.36	305.55	559.28	197.09	607.87	967.76	312.0	547.75	967.76	265.87	20.71	15.45	119.26	567.1	162.14	72.01	4.46	8.99	4.13	1.83	934.76	43.02	493.56	31.67	555.41	31.9	718.08	64.34	228.13	81.14	126.12	21.16	149.12
KIF4A	563.18	131.51	204.07	199.85	33.54	172.65	332.14	15.91	37.85	156.59	603.67	314.17	61.68	100.13	228.13	54.33	170.25	293.07	59.97	366.09	343.89	141.02	260.38	358.54	105.89	10.0	9.78	162.14	400.71	74.58	39.22	1.38	4.17	2.29	2.78	232.94	18.16	291.04	11.47	256.78	16.15	289.02	17.38	82.87	27.64	49.56	17.38	35.25
KIFC1	1023.0	253.23	332.14	454.09	92.7	555.41	587.13	64.8	53.95	251.48	1662.49	543.96	149.12	483.38	633.73	163.28	366.09	842.36	241.19	860.08	842.36	277.2	480.04	708.18	221.86	67.12	53.95	285.03	633.73	234.57	69.03	2.43	15.45	4.31	5.23	693.58	65.26	301.33	43.94	656.11	70.51	571.05	52.82	285.03	96.68	185.11	51.35	175.07
KNTC1	830.75	269.6	371.22	307.69	87.65	693.58	616.37	163.28	104.42	336.79	836.53	323.03	151.22	476.71	612.11	237.86	271.48	518.15	285.03	579.04	343.89	656.11	397.93	447.82	164.42	130.6	101.54	151.22	466.88	363.56	232.94	30.56	39.22	82.87	50.63	1529.73	61.25	599.49	112.77	547.75	80.57	1051.79	117.6	587.13	169.07	159.9	114.36	117.6
LMNB1	4328.55	656.11	507.46	486.75	152.28	693.58	1819.35	110.43	417.77	376.41	2255.7	1059.11	429.54	563.18	902.89	417.77	417.77	1417.35	293.07	1781.89	1369.04	825.0	954.43	1896.65	503.95	151.22	120.94	429.54	275.28	476.71	180.02	83.45	78.89	41.22	68.55	1277.29	171.45	514.56	96.68	432.53	157.68	785.88	217.27	848.22	109.66	305.55	120.94	154.42
LRR1	327.56	361.04	432.53	414.87	92.05	146.03	400.71	98.73	136.19	139.07	417.77	363.56	150.17	246.28	334.46	122.64	197.09	158.79	218.79	403.5	231.32	171.45	170.25	368.65	172.65	104.42	69.03	228.13	264.03	182.55	54.72	46.5	80.57	42.11	60.39	234.57	167.9	514.56	231.32	555.41	132.44	232.94	163.28	373.81	314.17	246.28	106.63	76.17
MAD2L1	693.58	444.72	651.58	447.82	66.18	514.56	872.1	42.71	116.78	220.32	1175.27	620.67	171.45	275.28	708.18	209.84	432.53	915.51	264.03	559.28	1044.52	638.15	620.67	1313.23	301.33	66.65	26.1	291.04	563.18	249.73	101.54	9.63	29.06	13.52	18.97	738.29	97.36	703.28	98.04	2351.53	92.7	961.07	80.01	348.71	476.71	205.5	78.89	180.02
MCM2	1685.71	435.55	525.39	353.59	267.73	329.84	1175.27	84.04	183.82	293.07	1977.24	713.11	229.72	371.22	1104.13	242.88	842.36	769.69	185.11	1015.93	947.83	713.11	660.68	1651.0	334.46	127.0	37.59	309.83	332.14	376.41	96.68	23.93	35.0	34.26	14.14	813.63	129.69	571.05	128.79	1073.91	139.07	551.56	87.03	470.14	108.9	183.82	57.08	85.22
MELK	633.73	256.78	323.03	287.01	52.45	400.71	848.22	34.75	24.28	221.86	967.76	620.67	65.26	251.48	587.13	59.13	102.25	318.57	170.25	860.08	587.13	159.9	303.44	503.95	283.05	24.99	5.96	193.01	674.59	187.71	84.04	0.53	8.13	3.47	2.41	567.1	30.12	244.57	15.45	514.56	27.64	287.01	46.5	363.56	107.38	108.14	47.84	151.22
MIS18A	620.67	486.75	607.87	384.34	56.28	392.44	780.44	211.31	126.12	145.02	551.56	567.1	246.28	281.09	373.81	275.28	395.18	567.1	163.28	363.56	1175.27	429.54	454.09	848.22	397.93	158.79	93.35	255.0	381.68	132.44	94.67	65.72	49.91	71.0	30.34	591.22	95.34	314.17	156.59	379.04	161.02	277.2	158.79	193.01	197.09	217.27	57.49	46.84
MKI67	995.0	97.36	363.56	392.44	68.55	540.19	759.08	25.35	53.19	283.05	802.41	988.12	115.16	181.28	656.11	135.24	116.78	249.73	316.37	624.99	624.99	260.38	353.59	575.03	96.01	43.94	4.54	223.41	242.88	289.02	92.05	4.39	17.77	9.85	4.54	647.07	34.75	303.44	14.45	155.5	45.53	420.68	68.07	320.8	29.7	307.69	54.33	152.28
MTBP	139.07	85.22	25.17	25.72	24.11	52.82	167.9	21.32	72.01	45.21	120.1	55.49	47.17	40.93	74.58	52.45	59.55	84.04	27.25	117.6	94.01	59.55	63.45	90.14	61.68	23.08	10.24	112.77	50.63	38.12	17.51	6.11	6.26	10.47	10.0	137.14	14.45	45.21	33.78	65.72	18.16	69.52	20.11	63.45	23.08	31.45	12.36	12.55
MTFR2	267.73	180.02	127.0	172.65	20.86	172.65	214.27	42.11	38.12	66.18	223.41	193.01	45.85	92.7	145.02	56.28	142.01	162.14	65.72	299.25	249.73	136.19	155.5	224.97	46.5	25.91	9.48	36.53	149.12	45.53	20.26	1.97	9.48	4.21	2.07	260.38	13.52	83.45	22.26	400.71	17.51	224.97	17.13	127.89	81.71	49.56	8.0	18.16
MYBL2	3491.39	791.35	1096.5	1628.26	130.6	591.22	2287.2	98.04	49.21	532.74	3018.3	543.96	172.65	738.29	1447.15	152.28	476.71	2075.59	381.68	674.59	1605.83	703.28	703.28	2915.45	239.52	36.79	4.9	98.04	785.88	228.13	73.03	3.63	26.67	10.08	3.69	802.41	44.89	1857.6	52.45	1950.0	63.0	921.88	46.84	1183.45	170.25	540.19	134.3	242.88
NCAPG	595.34	119.26	275.28	289.02	36.53	206.94	518.15	18.84	21.63	96.01	642.59	234.57	71.5	149.12	201.25	57.49	136.19	351.14	97.36	454.09	629.35	171.45	334.46	363.56	85.22	15.0	9.78	155.5	348.71	98.04	49.21	3.17	5.32	4.62	3.44	708.18	30.34	293.07	28.24	348.71	24.99	363.56	46.5	104.42	52.08	147.06	12.64	62.56
NCAPH	660.68	412.0	463.65	447.82	53.19	305.55	1304.15	44.25	31.0	114.36	791.35	669.92	108.9	256.78	353.59	169.07	181.28	480.04	178.77	551.56	406.31	248.0	409.15	1015.93	170.25	22.92	10.47	98.04	170.25	110.43	31.45	1.93	12.93	3.06	4.39	559.28	26.86	327.56	30.78	599.49	41.81	511.0	36.79	191.67	32.13	193.01	42.71	63.45
NDC1	395.18	387.02	239.52	336.79	126.12	279.14	409.15	106.63	139.07	241.19	400.71	624.99	256.78	204.07	368.65	251.48	202.66	412.0	142.01	381.68	447.82	244.57	273.37	540.19	463.65	139.07	107.38	177.53	551.56	172.65	109.66	74.06	199.85	102.25	85.22	521.76	139.07	373.81	117.6	361.04	111.99	307.69	135.24	444.72	190.34	212.78	166.73	152.28
NDC80	954.43	208.38	426.57	346.29	48.18	297.17	412.0	35.0	45.85	199.85	878.17	457.25	117.6	224.97	195.72	98.73	215.77	423.61	144.01	688.78	283.05	236.21	406.31	220.32	208.38	29.27	8.45	101.54	214.27	98.04	43.02	4.54	6.62	5.06	3.17	218.79	44.25	299.25	27.25	389.72	39.5	426.57	73.54	165.57	64.34	80.57	17.25	69.03
NEK2	748.61	497.0	224.97	279.14	57.89	277.2	457.25	25.35	44.89	157.68	981.29	769.69	102.97	145.02	325.29	109.66	277.2	314.17	81.71	473.41	764.36	348.71	307.69	400.71	176.29	13.62	3.82	221.86	208.38	91.41	35.0	1.89	4.82	1.25	0.0	961.07	40.36	314.17	42.11	647.07	66.65	395.18	65.26	127.0	142.01	52.82	22.43	70.01
NUF2	599.49	351.14	283.05	387.02	23.93	295.11	493.56	34.51	38.12	148.09	723.08	521.76	81.71	181.28	209.84	86.43	159.9	1127.35	156.59	332.14	1119.56	283.05	323.03	733.19	128.79	15.68	12.27	109.66	314.17	117.6	80.57	2.58	5.45	2.36	0.47	532.74	46.5	277.2	47.17	426.57	57.49	312.0	85.22	129.69	149.12	58.71	21.16	47.17
NUP155	392.44	246.28	303.44	334.46	107.38	155.5	353.59	108.14	113.56	226.54	669.92	186.4	239.52	157.68	361.04	164.42	223.41	215.77	93.35	363.56	202.66	136.19	329.84	211.31	251.48	167.9	124.37	353.59	414.87	173.85	135.24	61.25	112.77	136.19	96.01	447.82	199.85	532.74	104.42	435.55	153.34	583.07	176.29	323.03	132.44	103.69	130.6	26.28
OIP5	371.22	197.09	316.37	177.53	28.24	171.45	287.01	20.41	13.72	49.21	262.2	289.02	36.53	131.51	180.02	38.67	123.5	339.14	76.17	209.84	366.09	164.42	132.44	244.57	131.51	13.62	3.17	54.33	131.51	64.8	21.63	6.67	5.73	0.0	9.63	638.15	36.79	149.12	57.08	397.93	27.44	285.03	15.91	123.5	208.38	125.24	9.78	41.22
ORC1	150.17	62.56	88.26	97.36	12.83	52.08	127.0	9.63	13.72	42.71	255.0	85.82	30.12	45.21	104.42	32.13	56.68	100.83	25.91	158.79	157.68	71.0	90.14	246.28	40.93	12.0	3.53	35.25	140.04	46.18	14.24	0.79	4.7	1.19	1.28	289.02	13.93	70.01	11.04	185.11	10.55	269.6	13.52	118.43	26.47	32.36	5.73	12.18
ORC6	389.72	339.14	518.15	187.71	39.5	463.65	748.61	57.08	77.25	89.51	314.17	723.08	100.83	186.4	723.08	156.59	323.03	400.71	143.01	348.71	1167.14	325.29	297.17	1008.9	59.13	40.07	21.63	81.14	241.19	152.28	82.87	3.66	9.2	10.88	1.33	356.05	43.32	265.87	41.81	674.59	27.25	412.0	38.12	299.25	116.78	53.57	36.01	69.52
PARPBP	323.03	173.85	232.94	86.43	36.27	154.42	303.44	25.72	30.34	49.21	260.38	232.94	80.57	130.6	96.68	59.55	86.43	220.32	70.51	131.51	248.0	183.82	134.3	141.02	96.68	36.27	14.35	76.71	127.0	86.43	59.55	2.76	9.93	2.34	3.0	320.8	25.72	147.06	36.79	500.46	31.22	206.94	31.45	129.69	141.02	69.03	33.78	80.01
PBK	842.36	244.57	346.29	171.45	102.97	195.72	327.56	13.03	35.76	93.35	836.53	575.03	87.03	124.37	244.57	50.27	94.01	420.68	154.42	343.89	154.42	209.84	351.14	532.74	94.67	14.35	2.46	158.79	381.68	127.89	47.17	1.27	4.28	0.0	0.0	616.37	30.56	638.15	37.05	373.81	52.82	647.07	47.84	167.9	166.73	127.0	36.53	115.97
PKMYT1	764.36	624.99	1268.46	1883.54	199.85	733.19	934.76	145.02	78.34	403.5	780.44	571.05	197.09	620.67	1242.34	208.38	587.13	1199.98	698.41	575.03	836.53	547.75	480.04	1191.69	256.78	56.68	17.9	389.72	775.05	409.15	162.14	11.13	49.21	78.89	12.83	497.0	132.44	775.05	98.04	1208.34	63.0	532.74	127.0	995.0	102.97	285.03	131.51	187.71
PLK1	974.5	620.67	796.86	1008.9	159.9	693.58	769.69	108.14	130.6	339.14	2319.15	902.89	187.71	432.53	1030.12	273.37	423.61	1250.98	197.09	934.76	1104.13	463.65	567.1	1233.75	318.57	85.22	39.5	173.85	363.56	358.54	199.85	7.82	16.75	6.89	2.39	708.18	124.37	961.07	78.34	1143.1	105.89	775.05	195.72	1572.76	154.42	587.13	172.65	406.31
PLK4	221.86	72.52	186.4	102.25	21.47	177.53	291.04	40.07	37.05	98.04	318.57	202.66	69.03	128.79	221.86	91.41	111.99	307.69	154.42	185.11	483.38	129.69	206.94	473.41	101.54	32.59	9.85	62.56	209.84	75.64	39.22	7.06	9.78	5.77	3.17	289.02	16.27	269.6	16.15	163.28	27.84	253.23	30.56	130.6	65.72	60.82	39.79	44.89
POC1A	753.83	403.5	540.19	255.0	149.12	329.84	363.56	99.43	34.02	172.65	540.19	698.41	92.7	242.88	414.87	115.97	629.35	371.22	178.77	381.68	447.82	329.84	295.11	271.48	165.57	52.82	21.78	124.37	262.2	97.36	80.01	115.16	81.14	53.95	97.36	255.0	82.87	256.78	79.45	309.83	54.72	212.78	38.95	215.77	126.12	198.47	49.91	102.97
POLE2	420.68	103.69	409.15	287.01	36.27	127.0	258.57	42.41	24.81	62.56	237.86	246.28	96.68	197.09	78.89	69.52	50.98	175.07	72.01	279.14	111.21	143.01	194.36	312.0	74.06	49.56	13.03	116.78	232.94	159.9	58.71	39.79	47.84	14.89	50.98	329.84	84.04	579.04	59.13	281.09	38.67	143.01	55.49	185.11	212.78	119.26	27.64	69.03
POLQ	108.9	41.22	31.22	46.18	7.75	63.89	172.65	5.15	11.64	20.86	145.02	74.06	11.55	24.99	67.12	20.26	99.43	44.57	21.78	92.05	81.14	53.57	57.49	106.63	16.39	10.31	1.07	19.82	62.56	51.35	17.9	0.66	0.67	1.23	1.6	145.02	3.41	31.0	2.07	75.11	2.48	70.01	4.43	62.56	10.63	9.41	10.0	21.78
PRIM1	629.35	123.5	246.28	163.28	75.11	98.73	379.04	58.3	94.01	102.25	507.46	258.57	141.02	251.48	279.14	152.28	144.01	212.78	57.08	397.93	356.05	366.09	285.03	733.19	183.82	139.07	30.56	218.79	152.28	150.17	40.93	62.56	47.5	31.9	47.84	575.03	141.02	543.96	113.56	629.35	73.03	169.07	35.5	163.28	264.03	112.77	73.54	85.22
PRR11	612.11	260.38	371.22	194.36	49.91	146.03	353.59	21.47	33.78	105.15	896.64	363.56	127.89	98.73	242.88	69.03	157.68	417.77	85.82	351.14	825.0	120.1	314.17	312.0	186.4	28.24	13.32	191.67	158.79	111.21	42.11	1.43	8.71	8.78	3.35	256.78	30.34	426.57	17.13	183.82	28.24	204.07	38.67	387.02	57.49	102.25	25.91	111.21
PSMC3IP	616.37	269.6	470.14	133.36	57.89	197.09	384.34	61.25	64.34	110.43	543.96	299.25	82.87	246.28	397.93	127.89	248.0	234.57	111.99	202.66	149.12	305.55	214.27	309.83	104.42	56.28	37.05	64.8	255.0	127.0	100.13	11.13	26.86	33.78	13.22	293.07	48.52	293.07	48.18	297.17	34.26	395.18	43.94	90.77	53.19	57.49	114.36	33.06
PSRC1	629.35	237.86	176.29	172.65	52.08	236.21	197.09	70.51	47.17	112.77	775.05	183.82	133.36	103.69	417.77	147.06	176.29	395.18	117.6	190.34	318.57	136.19	193.01	169.07	119.26	47.5	14.56	70.01	202.66	96.68	60.39	1.89	63.0	24.99	3.5	409.15	77.79	297.17	46.84	351.14	41.22	392.44	59.55	152.28	107.38	90.77	6.67	58.71
RACGAP1	1073.91	718.08	409.15	450.94	186.4	414.87	941.27	57.89	78.34	289.02	1359.57	1167.14	234.57	312.0	836.53	205.5	320.8	651.58	217.27	967.76	698.41	684.02	583.07	1151.06	339.14	132.44	77.79	511.0	607.87	420.68	157.68	11.91	65.26	27.05	10.16	1183.45	156.59	339.14	117.6	1175.27	165.57	583.07	94.01	466.88	318.57	215.77	122.64	228.13
RAD51	563.18	336.79	251.48	320.8	99.43	463.65	791.35	85.22	35.0	149.12	395.18	693.58	121.79	205.5	612.11	120.94	325.29	473.41	251.48	336.79	802.41	293.07	283.05	842.36	232.94	47.84	18.84	212.78	301.33	113.56	34.02	19.82	25.72	8.65	4.46	941.27	27.84	249.73	49.56	447.82	33.54	339.14	22.1	139.07	87.65	116.78	43.32	89.51
RAD54L	480.04	178.77	503.95	154.42	41.22	218.79	299.25	36.79	23.25	116.78	575.03	161.02	40.64	205.5	336.79	50.63	198.47	353.59	119.26	206.94	368.65	217.27	212.78	620.67	102.97	25.54	23.25	45.21	275.28	88.88	46.18	5.87	3.56	9.63	1.46	343.89	17.25	217.27	31.67	217.27	21.47	616.37	25.35	127.89	13.22	49.21	25.54	42.41
RFC5	738.29	454.09	518.15	170.25	180.02	389.72	1127.35	232.94	204.07	297.17	612.11	521.76	249.73	432.53	363.56	228.13	356.05	583.07	406.31	480.04	595.34	551.56	497.0	638.15	214.27	180.02	157.68	248.0	371.22	214.27	93.35	143.01	143.01	185.11	126.12	642.59	132.44	329.84	234.57	854.13	146.03	470.14	86.43	295.11	316.37	260.38	148.09	113.56
RMI2	547.75	384.34	884.29	309.83	256.78	748.61	748.61	264.03	84.63	500.46	466.88	376.41	262.2	563.18	684.02	521.76	1008.9	896.64	164.42	802.41	1757.34	728.11	381.68	395.18	500.46	211.31	112.77	165.57	201.25	251.48	171.45	15.22	10.71	6.26	10.47	708.18	51.71	368.65	231.32	743.43	201.25	318.57	151.22	457.25	291.04	143.01	22.92	109.66
