	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.DS.A1OD.01A.11R.A14Y.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.VS.A8Q9.01A.12R.A37O.07	TCGA.Q1.A6DV.01A.11R.A32P.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.ZJ.AAXF.01A.31R.A42T.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1MH.01A.11R.A14Y.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.BI.A0VR.01A.11R.A10U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.BB.A6UM.01A.12R.A34R.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.94.8490.01A.11R.2326.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
HNRNPA3	13492.72	9344.14	5555.65	7180.15	6294.04	11345.82	9151.82	6699.25	10585.95	13306.94	7280.4	9409.14	10883.59	8078.22	8840.04	8022.41	8078.22	6792.79	9740.98	12329.98	8718.32	8718.32	8778.97	12076.21	11504.21	3982.99	4802.93	6652.97	4450.27	6079.61	6294.04	4607.24	4010.71	4802.93	4268.94	6207.38	5183.54	4671.57	4181.07	3146.52	4419.52	4903.87	4639.29	6207.38	4972.34	4802.93	4575.41	5913.33	6250.56	4972.34	8479.89	6887.62	6337.83	4802.93	4239.45	6426.31	4802.93	7081.29	5219.6	5147.73	11035.54	4481.23	6337.83	6607.01	10154.69	4123.49	3716.2	5441.3	5219.6	9474.59	12764.83	4575.41	4512.4
HNRNPH3	2119.22	3847.29	3081.75	1950.0	1832.01	3901.01	2555.58	3614.55	3614.55	4972.34	3081.75	6079.61	3419.52	3665.02	2468.49	4066.71	4298.64	3589.58	4210.15	3874.05	3372.43	3820.7	6561.36	3794.3	4239.45	1923.14	2090.03	1417.35	2061.24	872.1	3168.41	3716.2	1651.0	2209.26	1769.57	3515.68	1896.65	1896.65	2591.27	1268.46	2240.11	1721.16	1551.09	2061.24	2319.15	1977.24	2255.7	2255.7	1369.04	1781.89	3280.18	1977.24	2796.65	1639.59	1769.57	2796.65	2682.69	1709.26	2701.35	2935.74	5041.77	1191.69	1936.53	1936.53	3349.13	2739.08	2367.9	1819.35	1457.23	4239.45	6294.04	1950.0	1662.49
HYLS1	90.77	47.5	50.63	70.01	65.26	185.11	197.09	105.15	255.0	115.16	164.42	134.3	109.66	108.9	93.35	148.09	146.03	206.94	95.34	88.26	178.77	269.6	189.02	208.38	110.43	59.13	120.1	82.87	140.04	127.0	87.65	94.67	33.78	77.79	55.49	78.34	89.51	77.25	80.01	21.94	48.52	95.34	102.97	117.6	54.33	102.97	57.89	48.87	57.89	76.71	48.52	39.22	133.36	198.47	84.63	57.08	60.39	68.55	87.65	87.65	63.89	53.95	119.26	142.01	109.66	96.01	62.12	131.51	57.89	151.22	241.19	51.71	32.36
IBA57-AS1	7.82	5.87	6.62	3.38	11.38	17.64	7.88	8.78	5.28	6.46	0.0	7.88	9.85	6.67	2.66	11.47	4.82	4.94	13.03	1.39	3.11	13.42	20.71	2.32	12.36	0.0	0.0	0.0	3.79	3.17	2.86	0.0	0.0	2.94	2.81	7.0	0.0	8.45	6.26	8.65	2.05	0.0	12.0	0.0	5.32	3.26	0.0	2.84	0.0	25.35	5.68	7.88	6.52	2.94	3.2	5.92	2.92	0.0	0.0	0.0	8.19	0.0	0.0	1.77	4.06	3.66	0.0	0.0	0.0	9.06	40.93	6.01	0.52
ITFG2	483.38	579.04	332.14	197.09	500.46	3235.01	353.59	896.64	529.06	642.59	941.27	532.74	688.78	607.87	507.46	529.06	493.56	743.43	518.15	426.57	669.92	884.29	1295.13	688.78	848.22	281.09	215.77	124.37	473.41	273.37	395.18	287.01	149.12	269.6	435.55	361.04	368.65	281.09	271.48	198.47	244.57	260.38	884.29	253.23	178.77	327.56	293.07	217.27	178.77	356.05	426.57	170.25	371.22	258.57	202.66	348.71	312.0	157.68	341.51	195.72	559.28	162.14	275.28	318.57	563.18	371.22	236.21	403.5	176.29	395.18	1111.82	114.36	72.01
KIF22	1794.29	1467.37	1119.56	1794.29	1457.23	3060.45	3982.99	3060.45	2739.08	2367.9	2224.63	2875.3	1794.29	1896.65	1286.18	1617.0	2367.9	1498.22	1529.73	1745.2	1844.76	1487.87	2104.58	1605.83	2816.11	361.04	836.53	529.06	915.51	551.56	748.61	1467.37	423.61	733.19	1437.15	1250.98	575.03	909.17	1397.83	389.72	884.29	921.88	1008.9	733.19	780.44	547.75	1159.07	708.18	587.13	713.11	1259.69	559.28	921.88	872.1	571.05	1313.23	934.76	890.44	813.63	684.02	1359.57	384.34	802.41	1008.9	2047.0	825.0	603.67	802.41	503.95	1250.98	2645.74	633.73	123.5
KLHDC4	454.09	567.1	239.52	65.26	341.51	476.71	429.54	866.07	460.44	429.54	490.14	500.46	457.25	571.05	412.0	633.73	285.03	403.5	511.0	376.41	624.99	397.93	457.25	232.94	540.19	202.66	341.51	186.4	341.51	237.86	162.14	312.0	190.34	293.07	346.29	373.81	249.73	414.87	447.82	201.25	166.73	279.14	529.06	312.0	293.07	234.57	312.0	305.55	457.25	351.14	483.38	255.0	279.14	493.56	249.73	312.0	228.13	316.37	277.2	285.03	389.72	171.45	158.79	358.54	441.64	299.25	208.38	246.28	309.83	511.0	651.58	307.69	255.0
KNTC1	633.73	748.61	395.18	361.04	579.04	1617.0	1175.27	1519.15	1447.15	1191.69	1304.15	525.39	753.83	796.86	703.28	981.29	1119.56	902.89	825.0	679.29	1277.29	1059.11	1104.13	769.69	1923.14	83.45	162.14	104.42	323.03	107.38	273.37	283.05	81.71	110.43	470.14	231.32	142.01	181.28	277.2	157.68	269.6	281.09	180.02	181.28	206.94	140.04	368.65	162.14	149.12	281.09	457.25	120.94	279.14	234.57	167.9	262.2	231.32	204.07	166.73	260.38	256.78	92.7	214.27	221.86	599.49	289.02	178.77	155.5	61.25	503.95	1508.65	87.65	18.29
KRT17	189257.69	381149.17	348306.01	450134.56	4953441.24	26986.43	122293.5	111755.56	52497.92	19082.0	101420.22	114103.8	22072.07	25530.66	116501.39	45072.75	29943.43	462789.59	104271.56	35609.13	350728.68	402881.61	10959.3	475800.4	20170.07	475800.4	290865.98	971597.0	542775.98	485798.0	363097.14	589853.66	462789.59	288856.81	294926.33	428815.23	431797.89	466008.55	716197.51	701458.36	355624.68	593956.43	428815.23	368165.8	343510.77	524287.0	524287.0	440870.9	565825.41	645473.24	513497.31	368165.8	373305.21	343510.77	397335.0	546551.29	632189.57	485798.0	466008.55	350728.68	585779.24	912837.43	417089.23	546551.29	61571.56	475800.4	258533.99	506427.83	378516.38	92040.7	688.78	443937.41	472513.8
LEAP2	7.69	4.03	11.21	10.47	32.59	36.79	47.84	35.76	108.14	55.1	63.0	17.77	63.89	26.86	31.22	77.79	33.3	18.84	24.46	36.27	47.17	19.97	84.63	29.91	63.45	3.66	3.82	2.01	20.41	4.54	3.79	9.13	1.89	13.62	27.64	5.82	7.94	17.51	13.42	9.56	5.23	5.23	30.56	5.96	5.11	13.42	12.83	3.26	7.4	29.06	5.5	3.66	9.93	5.92	6.36	5.28	11.13	1.66	2.76	3.56	5.63	2.71	9.13	12.64	26.47	16.51	1.39	11.91	0.91	15.68	32.59	5.68	8.06
LUC7L	764.36	476.71	748.61	708.18	444.72	1457.23	1250.98	2047.0	1794.29	884.29	2555.58	1477.58	1304.15	1111.82	995.0	723.08	1175.27	1417.35	1119.56	688.78	1487.87	1250.98	2148.82	1008.9	1697.45	262.2	555.41	356.05	1088.92	603.67	387.02	384.34	232.94	579.04	555.41	320.8	373.81	660.68	543.96	884.29	624.99	444.72	1733.13	529.06	239.52	497.0	842.36	579.04	409.15	878.17	603.67	291.04	583.07	363.56	511.0	476.71	432.53	454.09	312.0	551.56	866.07	376.41	551.56	503.95	1073.91	825.0	420.68	791.35	389.72	796.86	1594.73	536.45	269.6
LUC7L3	1104.13	1733.13	1313.23	872.1	1191.69	2271.4	1745.2	2720.15	2591.27	2485.67	2075.59	2209.26	2018.8	1909.85	1806.78	1857.6	1605.83	1639.59	2956.17	2287.2	1977.24	2739.08	4388.98	4210.15	3742.05	423.61	785.88	660.68	1427.22	842.36	595.34	1175.27	457.25	825.0	1051.79	629.35	669.92	1081.39	1191.69	785.88	791.35	1487.87	1794.29	890.44	988.12	629.35	866.07	1119.56	813.63	1191.69	808.0	571.05	1044.52	775.05	842.36	738.29	769.69	665.29	688.78	1259.69	1617.0	698.41	1104.13	860.08	1498.22	1304.15	753.83	854.13	633.73	1923.14	3690.52	665.29	915.51
MAMDC4	25.91	31.45	21.01	18.7	90.77	325.29	190.34	208.38	108.14	85.22	195.72	108.14	117.6	102.97	115.97	182.55	209.84	127.89	52.82	106.63	223.41	108.14	241.19	28.45	91.41	6.16	10.88	1.51	50.98	5.63	14.14	10.31	4.03	33.3	30.12	3.2	8.71	12.0	23.93	26.1	22.92	33.54	93.35	11.82	10.47	12.74	29.27	12.64	11.73	45.53	26.47	3.26	24.28	11.3	18.56	31.9	5.45	10.08	4.82	13.72	34.51	13.32	11.73	16.39	71.5	28.24	19.82	11.21	6.16	58.71	178.77	58.71	3.92
MC1R	36.53	91.41	22.26	17.25	28.65	40.07	47.5	187.71	115.97	40.36	100.83	98.04	105.89	82.29	149.12	154.42	58.71	66.65	85.82	38.67	115.16	99.43	87.65	82.29	92.7	18.56	33.78	15.11	38.12	38.67	19.82	32.36	13.93	26.47	262.2	24.11	10.47	44.57	49.56	11.64	69.52	28.86	226.54	44.57	17.13	42.11	39.22	44.89	21.16	60.82	33.06	26.67	49.21	11.38	25.35	38.4	25.54	28.24	15.56	36.53	94.67	25.91	26.47	22.26	46.18	35.0	25.35	14.24	12.45	113.56	129.69	13.93	28.45
MPHOSPH9	376.41	358.54	190.34	201.25	199.85	417.77	595.34	271.48	334.46	273.37	285.03	291.04	320.8	277.2	351.14	295.11	251.48	262.2	289.02	353.59	186.4	264.03	470.14	336.79	595.34	100.83	190.34	69.52	138.1	113.56	173.85	171.45	108.9	129.69	193.01	128.79	161.02	98.73	139.07	91.41	167.9	69.03	153.34	148.09	152.28	125.24	127.0	105.15	87.65	92.7	172.65	67.59	176.29	165.57	137.14	156.59	98.73	145.02	126.12	122.64	145.02	52.08	144.01	152.28	346.29	135.24	114.36	83.45	46.5	208.38	728.11	100.13	59.13
MSH5	100.13	218.79	182.55	244.57	223.41	314.17	237.86	642.59	607.87	246.28	231.32	162.14	133.36	208.38	497.0	149.12	157.68	202.66	371.22	127.0	312.0	275.28	928.3	371.22	476.71	18.16	53.95	43.94	161.02	31.9	82.29	271.48	34.75	48.18	248.0	104.42	40.36	141.02	125.24	108.14	131.51	85.22	106.63	69.03	63.89	59.55	115.97	84.63	73.03	115.16	94.01	40.64	93.35	68.07	67.59	105.89	63.45	43.94	52.82	77.79	197.09	26.86	55.89	100.83	176.29	125.24	33.06	43.02	34.26	241.19	866.07	38.12	53.95
MUTYH	262.2	728.11	267.73	381.68	361.04	674.59	660.68	647.07	743.43	713.11	674.59	426.57	490.14	674.59	457.25	417.77	417.77	500.46	651.58	633.73	629.35	521.76	1051.79	417.77	713.11	90.14	181.28	72.01	269.6	96.68	120.1	182.55	120.1	161.02	397.93	198.47	123.5	218.79	368.65	217.27	353.59	127.0	536.45	113.56	147.06	114.36	246.28	122.64	134.3	236.21	209.84	94.01	176.29	206.94	145.02	246.28	215.77	155.5	183.82	158.79	314.17	98.04	175.07	180.02	525.39	256.78	177.53	176.29	135.24	318.57	1175.27	162.14	62.12
NEK8	70.01	52.45	65.72	25.54	107.38	96.01	46.84	77.79	175.07	90.14	65.26	30.78	63.89	64.8	84.04	80.01	36.01	67.59	78.89	49.56	87.03	73.03	147.06	106.63	102.97	5.92	62.12	22.92	53.57	19.82	55.49	32.13	15.22	20.11	68.55	49.21	24.11	24.11	61.68	21.32	46.84	34.26	116.78	36.01	65.26	35.5	28.86	37.85	20.71	43.02	39.79	16.15	44.25	28.45	44.57	37.59	33.54	37.32	39.79	44.57	59.55	15.8	54.72	36.53	64.8	44.57	45.53	43.63	17.38	62.12	178.77	13.62	15.22
NPFF	42.41	8.45	41.52	66.65	0.0	40.07	59.55	73.54	42.41	37.85	59.97	33.78	63.45	50.98	59.55	21.78	66.18	28.45	27.84	25.54	49.91	52.45	33.3	0.0	0.0	1.75	8.45	0.0	54.72	8.65	19.39	16.75	2.39	31.45	17.51	2.32	12.64	37.85	27.64	37.59	30.56	9.13	76.71	26.67	1.2	12.36	20.26	20.11	11.82	23.25	13.83	9.63	23.59	12.55	7.94	34.02	9.63	3.38	6.52	10.63	26.67	0.0	6.36	9.27	42.41	0.0	5.54	7.34	5.36	20.86	92.05	15.34	15.68
NPIPA1	500.46	563.18	866.07	507.46	417.77	2148.82	1605.83	1883.54	934.76	1008.9	3443.31	571.05	866.07	1127.35	796.86	1073.91	728.11	896.64	967.76	1096.5	988.12	974.5	5441.3	896.64	4038.61	31.67	191.67	61.25	665.29	400.71	172.65	521.76	111.99	262.2	525.39	256.78	153.34	329.84	346.29	423.61	366.09	540.19	1417.35	205.5	164.42	205.5	878.17	291.04	232.94	414.87	438.59	120.1	409.15	397.93	320.8	191.67	229.72	277.2	242.88	305.55	1023.0	178.77	287.01	426.57	718.08	503.95	351.14	248.0	139.07	1819.35	1709.26	341.51	273.37
NSMCE4A	802.41	529.06	409.15	954.43	878.17	1295.13	1561.89	1259.69	1583.71	1540.37	934.76	967.76	1572.76	896.64	1104.13	1081.39	1059.11	679.29	961.07	1340.84	1015.93	738.29	1277.29	1397.83	1268.46	540.19	403.5	305.55	587.13	397.93	291.04	497.0	314.17	551.56	612.11	595.34	327.56	500.46	480.04	536.45	532.74	629.35	866.07	351.14	395.18	486.75	579.04	384.34	579.04	518.15	607.87	149.12	607.87	514.56	454.09	438.59	301.33	444.72	414.87	312.0	197.09	303.44	555.41	457.25	981.29	454.09	366.09	679.29	575.03	896.64	1233.75	251.48	314.17
NUCKS1	2520.38	20451.65	1583.71	1208.34	1745.2	3060.45	2335.28	4358.66	3349.13	3325.99	2018.8	4575.41	2701.35	2047.0	2816.11	2335.28	1199.98	1639.59	2997.45	4512.4	2061.24	3467.27	3190.46	3303.0	3103.19	713.11	1111.82	921.88	796.86	1794.29	1561.89	1427.22	1023.0	1183.45	2627.46	1583.71	1519.15	693.58	638.15	420.68	1331.57	878.17	1977.24	1304.15	2018.8	1378.57	1233.75	1605.83	1295.13	1175.27	2178.83	1551.09	981.29	1127.35	1350.18	909.17	1477.58	1331.57	921.88	1225.22	1781.89	954.43	1427.22	1540.37	2209.26	780.44	890.44	785.88	866.07	1832.01	5954.47	780.44	1159.07
NUP93	1605.83	1709.26	1277.29	2895.31	813.63	1529.73	1977.24	1340.84	2335.28	1697.45	1991.0	2209.26	1378.57	1127.35	1088.92	1183.45	1096.5	1427.22	1498.22	1572.76	1199.98	1662.49	1322.37	1208.34	1883.54	738.29	961.07	872.1	934.76	830.75	688.78	1407.55	802.41	909.17	1119.56	1781.89	599.49	1277.29	1216.75	204.07	1059.11	830.75	1199.98	802.41	587.13	961.07	921.88	974.5	967.76	656.11	1561.89	825.0	1037.29	1388.16	490.14	1259.69	1096.5	872.1	1073.91	842.36	1467.37	567.1	555.41	1233.75	1733.13	848.22	656.11	753.83	947.83	1529.73	2133.97	1233.75	921.88
OFD1	463.65	432.53	348.71	620.67	483.38	1447.15	409.15	718.08	1143.1	909.17	708.18	551.56	836.53	500.46	540.19	1023.0	941.27	547.75	713.11	791.35	1199.98	791.35	633.73	329.84	612.11	150.17	242.88	187.71	423.61	285.03	202.66	358.54	256.78	187.71	665.29	92.7	258.57	255.0	204.07	480.04	299.25	373.81	842.36	214.27	211.31	228.13	373.81	406.31	379.04	409.15	371.22	190.34	291.04	271.48	271.48	199.85	224.97	226.54	291.04	258.57	381.68	195.72	236.21	341.51	460.44	599.49	249.73	262.2	264.03	669.92	718.08	206.94	381.68
ORMDL1	1111.82	633.73	529.06	967.76	651.58	1605.83	1127.35	1378.57	1594.73	1001.93	1001.93	616.37	1369.04	909.17	974.5	941.27	1551.09	1427.22	961.07	947.83	1397.83	1950.0	1806.78	1295.13	909.17	426.57	397.93	283.05	633.73	277.2	309.83	503.95	283.05	616.37	591.22	450.94	420.68	563.18	543.96	708.18	348.71	928.3	896.64	435.55	417.77	409.15	511.0	518.15	373.81	624.99	638.15	325.29	674.59	381.68	571.05	447.82	438.59	346.29	412.0	529.06	669.92	251.48	591.22	438.59	1001.93	583.07	441.64	571.05	348.71	1015.93	1417.35	223.41	339.14
PABPC1L	211.31	406.31	318.57	241.19	113.56	947.83	679.29	483.38	1143.1	669.92	500.46	457.25	486.75	267.73	447.82	1151.06	791.35	195.72	507.46	460.44	503.95	285.03	3443.31	457.25	872.1	38.67	43.94	14.14	197.09	40.93	52.45	84.04	16.39	76.71	414.87	114.36	16.27	198.47	211.31	265.87	285.03	53.95	124.37	59.13	58.71	71.5	152.28	118.43	57.89	164.42	147.06	37.32	148.09	73.03	84.04	166.73	55.89	27.64	43.02	73.03	629.35	40.93	40.93	60.82	316.37	234.57	69.03	42.41	17.0	723.08	1477.58	74.06	19.11
PAGR1	543.96	759.08	438.59	860.08	363.56	1397.83	1096.5	616.37	1242.34	934.76	1030.12	1208.34	860.08	974.5	830.75	698.41	551.56	409.15	902.89	624.99	647.07	693.58	928.3	1331.57	928.3	325.29	336.79	381.68	409.15	525.39	329.84	575.03	217.27	368.65	543.96	728.11	293.07	267.73	718.08	181.28	323.03	211.31	1191.69	486.75	412.0	432.53	339.14	373.81	327.56	358.54	480.04	269.6	476.71	353.59	285.03	473.41	536.45	275.28	460.44	376.41	693.58	260.38	395.18	420.68	483.38	532.74	258.57	432.53	299.25	595.34	1883.54	281.09	141.02
PHKG2	954.43	698.41	808.0	674.59	638.15	1407.55	1151.06	1388.16	1208.34	902.89	941.27	915.51	748.61	848.22	620.67	764.36	769.69	738.29	743.43	769.69	1030.12	743.43	819.3	723.08	1015.93	234.57	358.54	361.04	684.02	363.56	246.28	559.28	332.14	438.59	651.58	470.14	466.88	521.76	796.86	693.58	595.34	507.46	1059.11	435.55	624.99	366.09	543.96	579.04	423.61	540.19	591.22	293.07	423.61	460.44	373.81	571.05	381.68	323.03	500.46	503.95	928.3	414.87	392.44	438.59	967.76	669.92	371.22	444.72	356.05	1037.29	988.12	450.94	921.88
PIF1	156.59	138.1	189.02	178.77	102.97	314.17	521.76	825.0	341.51	178.77	283.05	426.57	166.73	164.42	285.03	400.71	507.46	193.01	237.86	231.32	371.22	204.07	967.76	211.31	403.5	16.88	57.49	9.13	90.77	34.51	48.52	139.07	21.78	34.26	154.42	86.43	24.63	108.14	72.01	46.84	121.79	43.02	23.59	47.84	22.43	40.07	74.06	40.07	31.9	155.5	87.65	9.78	119.26	41.81	30.78	90.77	49.91	36.27	24.63	25.35	100.83	8.13	33.3	99.43	287.01	64.8	44.57	58.71	10.63	299.25	785.88	13.83	4.39
PMS1	149.12	154.42	85.82	149.12	131.51	348.71	234.57	158.79	287.01	236.21	234.57	100.13	232.94	176.29	220.32	253.23	283.05	287.01	279.14	208.38	258.57	312.0	368.65	223.41	256.78	127.89	109.66	99.43	126.12	100.83	78.34	76.17	49.21	68.07	108.14	105.15	67.59	99.43	98.73	81.71	49.21	166.73	94.01	107.38	115.97	85.82	123.5	87.03	78.89	136.19	99.43	78.34	127.89	77.25	102.97	96.68	53.57	87.65	82.29	110.43	72.01	57.49	123.5	90.14	187.71	115.97	58.71	118.43	135.24	135.24	305.55	148.09	37.05
POLE	470.14	693.58	511.0	438.59	336.79	1340.84	1844.76	2895.31	1225.22	1259.69	1135.2	902.89	988.12	1096.5	896.64	954.43	1119.56	1322.37	1111.82	854.13	1208.34	1242.34	1529.73	563.18	1199.98	67.59	384.34	312.0	463.65	295.11	438.59	514.56	157.68	191.67	438.59	500.46	332.14	341.51	346.29	291.04	384.34	358.54	262.2	457.25	376.41	244.57	490.14	256.78	237.86	463.65	450.94	147.06	414.87	435.55	271.48	441.64	376.41	325.29	309.83	417.77	497.0	195.72	403.5	392.44	1023.0	397.93	236.21	353.59	193.01	713.11	1674.06	309.83	129.69
POLG2	223.41	215.77	107.38	202.66	129.69	258.57	231.32	483.38	309.83	236.21	228.13	166.73	156.59	159.9	336.79	234.57	169.07	305.55	215.77	176.29	183.82	275.28	536.45	441.64	518.15	113.56	70.51	43.94	129.69	74.06	46.5	94.67	35.5	88.26	163.28	126.12	35.76	96.68	175.07	80.01	123.5	52.82	128.79	87.03	125.24	80.57	68.07	147.06	63.45	111.21	113.56	72.01	105.15	147.06	87.65	139.07	88.26	56.28	82.29	122.64	89.51	39.79	94.01	110.43	176.29	116.78	53.95	91.41	48.87	224.97	426.57	105.15	57.89
PPIL3	470.14	389.72	204.07	460.44	1225.22	1191.69	884.29	872.1	748.61	1066.48	476.71	511.0	1023.0	381.68	500.46	476.71	842.36	1044.52	651.58	629.35	1397.83	1331.57	1233.75	307.69	511.0	493.56	363.56	363.56	473.41	281.09	414.87	514.56	193.01	353.59	379.04	157.68	358.54	287.01	318.57	420.68	327.56	253.23	532.74	438.59	197.09	563.18	361.04	260.38	231.32	371.22	181.28	226.54	417.77	94.67	339.14	267.73	209.84	132.44	327.56	366.09	249.73	301.33	371.22	447.82	435.55	318.57	339.14	366.09	275.28	738.29	791.35	392.44	253.23
PRC1	1417.35	1417.35	1936.53	1519.15	1242.34	2573.36	3928.15	4066.71	3018.3	3395.89	1477.58	2956.17	3395.89	1304.15	1977.24	2319.15	4066.71	1923.14	2193.99	2935.74	2720.15	2148.82	2956.17	1051.79	3212.66	591.22	1111.82	612.11	728.11	878.17	1350.18	2384.37	603.67	693.58	2004.85	1685.71	633.73	961.07	753.83	265.87	915.51	988.12	400.71	902.89	921.88	802.41	1167.14	660.68	591.22	830.75	1030.12	540.19	1407.55	1216.75	698.41	928.3	1639.59	1208.34	1066.48	825.0	1127.35	603.67	819.3	1388.16	2645.74	791.35	738.29	688.78	417.77	2061.24	3564.78	723.08	395.18
PRMT7	497.0	693.58	500.46	1208.34	493.56	896.64	808.0	1073.91	728.11	764.36	1037.29	733.19	525.39	642.59	603.67	780.44	583.07	981.29	698.41	575.03	1143.1	961.07	1477.58	738.29	967.76	438.59	511.0	348.71	518.15	325.29	473.41	674.59	325.29	466.88	775.05	674.59	406.31	392.44	503.95	343.89	1769.57	651.58	988.12	633.73	480.04	551.56	713.11	334.46	177.53	473.41	486.75	395.18	371.22	599.49	389.72	423.61	414.87	551.56	651.58	529.06	579.04	256.78	579.04	444.72	447.82	521.76	642.59	603.67	559.28	775.05	928.3	346.29	158.79
PRPF3	612.11	1388.16	559.28	503.95	555.41	848.22	1104.13	1639.59	866.07	974.5	1199.98	808.0	860.08	825.0	1447.15	1467.37	713.11	1135.2	1651.0	854.13	1572.76	1437.15	2915.45	1259.69	1594.73	253.23	417.77	303.44	579.04	397.93	473.41	547.75	293.07	547.75	830.75	490.14	343.89	511.0	638.15	543.96	476.71	483.38	718.08	371.22	371.22	366.09	511.0	599.49	450.94	503.95	587.13	400.71	718.08	563.18	429.54	343.89	435.55	334.46	412.0	473.41	470.14	283.05	463.65	438.59	808.0	511.0	389.72	435.55	312.0	1745.2	1322.37	285.03	271.48
RAD51	476.71	363.56	629.35	571.05	514.56	802.41	571.05	688.78	447.82	764.36	351.14	490.14	579.04	325.29	379.04	373.81	769.69	647.07	595.34	591.22	412.0	698.41	358.54	493.56	466.88	159.9	208.38	164.42	129.69	176.29	249.73	466.88	84.04	185.11	267.73	536.45	152.28	167.9	224.97	71.0	258.57	255.0	75.64	251.48	232.94	124.37	273.37	241.19	104.42	190.34	297.17	135.24	309.83	269.6	177.53	175.07	285.03	232.94	318.57	256.78	217.27	142.01	214.27	318.57	866.07	264.03	156.59	228.13	67.12	447.82	656.11	163.28	23.42
RAD54L	177.53	381.68	165.57	466.88	236.21	540.19	587.13	480.04	444.72	669.92	381.68	612.11	466.88	651.58	275.28	384.34	429.54	457.25	463.65	536.45	366.09	392.44	540.19	289.02	947.83	40.64	100.83	67.12	161.02	96.68	133.36	211.31	78.89	92.05	307.69	229.72	81.71	164.42	106.63	68.07	172.65	152.28	66.65	133.36	113.56	64.8	237.86	82.29	68.07	144.01	193.01	84.04	198.47	153.34	94.67	147.06	122.64	141.02	137.14	120.1	248.0	63.45	155.5	138.1	497.0	155.5	86.43	109.66	46.18	217.27	1159.07	133.36	43.02
RBM14	902.89	1175.27	813.63	684.02	647.07	981.29	1277.29	1407.55	878.17	947.83	1277.29	1059.11	961.07	1143.1	1015.93	1191.69	1073.91	1242.34	981.29	961.07	995.0	1159.07	1617.0	961.07	1427.22	460.44	941.27	660.68	764.36	698.41	819.3	733.19	420.68	688.78	540.19	988.12	559.28	575.03	796.86	339.14	587.13	420.68	587.13	878.17	728.11	738.29	854.13	426.57	551.56	693.58	518.15	563.18	703.28	947.83	674.59	603.67	909.17	708.18	559.28	624.99	555.41	470.14	738.29	698.41	1143.1	693.58	669.92	780.44	872.1	698.41	1508.65	1159.07	480.04
