	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.A8.A08C.01A.11R.A00Z.07	TCGA.A7.A13G.01A.11R.A13Q.07	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.A8.A099.01A.11R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.BH.A0BD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A093.01A.11R.A00Z.07	TCGA.BH.A1FL.01A.11R.A13Q.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.A2.A0D3.01A.11R.A115.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.B6.A0RP.01A.21R.A084.07	TCGA.AQ.A1H3.01A.31R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.XBED.1126.SM.48TCF	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.12WSL.1326.SM.5LZVW	GTEX.14C5O.1726.SM.5RQI9	GTEX.S3XE.0826.SM.4AD4U	GTEX.1211K.1026.SM.5EQ4B	GTEX.QDVJ.0826.SM.48U1S	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.13CF3.1526.SM.5J2NB	GTEX.11EM3.0726.SM.5GZZM	GTEX.145ME.0626.SM.5O99Q	GTEX.RUSQ.0926.SM.47JWU	GTEX.QDVN.1126.SM.48TZ7	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.SJXC.1226.SM.4DM78	GTEX.ZZPU.0426.SM.5GZYH
CEP350	947.83	660.68	532.74	397.93	236.21	679.29	647.07	454.09	285.03	208.38	269.6	785.88	567.1	289.02	679.29	575.03	426.57	616.37	447.82	733.19	384.34	409.15	397.93	529.06	647.07	403.5	400.71	624.99	366.09	529.06	536.45	2485.67	361.04	423.61	441.64	780.44	476.71	536.45	836.53	236.21	395.18	473.41	348.71	483.38	406.31	279.14	470.14	346.29	244.57	348.71	429.54	283.05	387.02	275.28	373.81	265.87	379.04	156.59	185.11	373.81	229.72	204.07	126.12	167.9	249.73	307.69	206.94	120.1	218.79	234.57	429.54	202.66	242.88	178.77	339.14	212.78	249.73	177.53	221.86	194.36	194.36	214.27	267.73	327.56	297.17	237.86	120.1	316.37	204.07	303.44	246.28	183.82	161.02	120.1	348.71	177.53	134.3	55.89	127.89
CERS6	1487.87	1832.01	1662.49	1030.12	1073.91	1733.13	909.17	2133.97	679.29	587.13	1051.79	698.41	629.35	616.37	1208.34	1286.18	1175.27	1529.73	1331.57	1167.14	1127.35	1066.48	575.03	1487.87	1127.35	1378.57	1088.92	1233.75	848.22	1167.14	1175.27	2956.17	1639.59	1059.11	2075.59	1685.71	1417.35	1662.49	780.44	660.68	361.04	316.37	204.07	341.51	341.51	241.19	299.25	220.32	368.65	256.78	529.06	208.38	251.48	438.59	318.57	173.85	273.37	140.04	96.01	164.42	98.04	124.37	84.63	104.42	99.43	237.86	116.78	77.79	130.6	97.36	151.22	144.01	176.29	154.42	172.65	128.79	8.51	87.65	105.15	96.01	161.02	76.71	82.29	155.5	181.28	108.9	119.26	110.43	81.71	118.43	94.01	199.85	112.77	100.83	163.28	221.86	24.63	63.0	301.33
CNOT10	511.0	738.29	587.13	583.07	555.41	669.92	547.75	547.75	587.13	791.35	651.58	718.08	503.95	583.07	651.58	769.69	642.59	679.29	713.11	603.67	571.05	723.08	718.08	403.5	547.75	599.49	599.49	525.39	476.71	599.49	796.86	836.53	567.1	693.58	796.86	587.13	651.58	521.76	728.11	329.84	559.28	260.38	493.56	336.79	356.05	343.89	409.15	412.0	312.0	356.05	314.17	320.8	273.37	307.69	346.29	454.09	332.14	633.73	379.04	426.57	271.48	323.03	228.13	423.61	575.03	303.44	312.0	323.03	432.53	361.04	381.68	258.57	379.04	353.59	346.29	329.84	518.15	525.39	368.65	341.51	356.05	299.25	318.57	463.65	743.43	412.0	435.55	595.34	441.64	559.28	305.55	665.29	373.81	289.02	450.94	543.96	242.88	164.42	212.78
COG2	1104.13	1417.35	1594.73	1008.9	902.89	1594.73	1572.76	1340.84	1159.07	1250.98	718.08	954.43	1340.84	633.73	1250.98	896.64	1175.27	1498.22	1216.75	1277.29	1037.29	1023.0	1051.79	1350.18	1437.15	934.76	928.3	1127.35	796.86	1639.59	1066.48	1662.49	1340.84	866.07	1059.11	1096.5	1051.79	1127.35	1427.22	301.33	379.04	334.46	376.41	356.05	314.17	239.52	384.34	307.69	346.29	400.71	384.34	289.02	206.94	432.53	387.02	432.53	379.04	334.46	447.82	753.83	320.8	299.25	435.55	343.89	420.68	301.33	320.8	211.31	409.15	417.77	507.46	309.83	423.61	343.89	713.11	297.17	638.15	256.78	414.87	400.71	358.54	202.66	309.83	392.44	688.78	279.14	262.2	1199.98	277.2	1008.9	314.17	633.73	444.72	186.4	529.06	234.57	265.87	201.25	228.13
COPA	3515.68	5292.48	6294.04	3690.52	4239.45	6935.54	4575.41	4358.66	4123.49	3395.89	2645.74	4575.41	5329.3	3168.41	5954.47	4210.15	3955.48	4607.24	4543.8	3124.78	3639.7	3794.3	2835.7	5006.93	3847.29	4239.45	4388.98	5329.3	2758.13	4512.4	3614.55	8479.89	4639.29	2796.65	3690.52	3349.13	3257.52	3372.43	5219.6	1594.73	1529.73	1572.76	1467.37	1572.76	1417.35	1259.69	1757.34	1498.22	1651.0	1487.87	1674.06	1331.57	1498.22	1437.15	1551.09	1359.57	1350.18	1322.37	2434.5	3874.05	1540.37	1806.78	1322.37	1909.85	2240.11	1594.73	1350.18	921.88	2061.24	1369.04	3928.15	1674.06	947.83	1540.37	2061.24	1674.06	3146.52	1519.15	1936.53	2075.59	2573.36	842.36	1561.89	2287.2	3901.01	1909.85	1250.98	2997.45	1794.29	4210.15	1447.15	2537.92	1540.37	1030.12	3039.3	1551.09	1896.65	665.29	1447.15
CORO2A	293.07	753.83	575.03	332.14	500.46	500.46	429.54	363.56	429.54	299.25	460.44	371.22	183.82	246.28	507.46	591.22	466.88	343.89	591.22	412.0	454.09	518.15	480.04	866.07	791.35	583.07	500.46	339.14	368.65	713.11	698.41	466.88	332.14	229.72	429.54	616.37	269.6	460.44	633.73	30.34	39.22	24.11	45.85	34.75	24.28	14.24	35.0	20.11	21.47	27.64	26.28	46.18	27.05	36.79	30.12	39.79	16.15	101.54	40.93	111.99	39.5	87.03	39.22	21.16	120.1	8.13	76.71	34.26	64.8	56.28	70.51	58.3	27.64	61.25	199.85	65.26	275.28	45.85	98.04	56.68	59.55	30.56	21.16	17.77	114.36	117.6	36.01	152.28	60.39	77.79	72.01	165.57	54.33	46.18	142.01	94.67	202.66	25.72	8.92
CRNKL1	1088.92	718.08	753.83	693.58	836.53	947.83	830.75	902.89	738.29	1008.9	764.36	934.76	555.41	656.11	1030.12	1044.52	825.0	708.18	1250.98	909.17	780.44	854.13	1088.92	974.5	1242.34	693.58	878.17	1037.29	607.87	872.1	890.44	1242.34	753.83	693.58	1073.91	819.3	830.75	854.13	728.11	361.04	332.14	244.57	267.73	291.04	242.88	269.6	285.03	262.2	307.69	234.57	387.02	325.29	332.14	305.55	323.03	387.02	339.14	395.18	228.13	366.09	256.78	353.59	329.84	412.0	441.64	466.88	323.03	423.61	389.72	334.46	332.14	406.31	283.05	353.59	318.57	291.04	612.11	351.14	525.39	423.61	332.14	387.02	301.33	384.34	571.05	438.59	358.54	371.22	400.71	579.04	438.59	587.13	417.77	406.31	470.14	559.28	540.19	348.71	269.6
CSTF2	373.81	400.71	301.33	291.04	400.71	414.87	299.25	371.22	379.04	260.38	473.41	543.96	366.09	231.32	327.56	395.18	426.57	454.09	316.37	305.55	358.54	559.28	303.44	395.18	547.75	253.23	414.87	536.45	303.44	457.25	423.61	277.2	353.59	417.77	547.75	420.68	320.8	599.49	389.72	115.97	141.02	104.42	173.85	132.44	145.02	90.14	165.57	120.1	151.22	112.77	146.03	164.42	117.6	121.79	149.12	118.43	138.1	126.12	165.57	409.15	98.73	289.02	103.69	145.02	260.38	91.41	152.28	85.82	236.21	129.69	305.55	186.4	178.77	150.17	244.57	103.69	226.54	187.71	170.25	162.14	273.37	104.42	104.42	127.0	204.07	246.28	130.6	325.29	177.53	283.05	120.94	684.02	175.07	98.04	264.03	185.11	248.0	35.25	139.07
DAP3	4869.99	6607.01	6471.02	6699.25	4123.49	6121.9	5441.3	5995.9	7180.15	6381.92	4704.07	5954.47	5441.3	3491.39	5006.93	6079.61	5831.91	5441.3	5403.7	4152.18	6471.02	4937.99	6983.79	5219.6	5479.15	4038.61	4836.35	4639.29	3847.29	7911.95	6471.02	4903.87	5633.22	4239.45	5112.16	5219.6	4512.4	5076.84	6294.04	2682.69	1923.14	2104.58	2133.97	1936.53	1950.0	1745.2	1896.65	1936.53	1617.0	1991.0	1896.65	2119.22	2090.03	2367.9	2178.83	1991.0	2271.4	3018.3	4152.18	4298.64	4123.49	3039.3	2400.97	2209.26	3955.48	3212.66	2367.9	2468.49	3257.52	3060.45	5441.3	2997.45	1685.71	2287.2	4152.18	3060.45	4210.15	3168.41	4123.49	3794.3	3103.19	2777.33	3928.15	3491.39	2895.31	3491.39	2451.44	4736.79	2645.74	5555.65	3540.14	4095.0	4181.07	2400.97	3639.7	2224.63	4066.71	1208.34	2018.8
DARS2	708.18	1044.52	567.1	466.88	384.34	1008.9	718.08	551.56	1044.52	543.96	525.39	775.05	915.51	194.36	603.67	518.15	647.07	1151.06	406.31	583.07	769.69	450.94	780.44	825.0	764.36	381.68	583.07	540.19	420.68	848.22	909.17	607.87	728.11	599.49	674.59	693.58	595.34	647.07	780.44	248.0	127.0	120.94	195.72	124.37	147.06	87.65	194.36	171.45	180.02	167.9	186.4	120.94	150.17	105.15	138.1	120.94	120.1	336.79	392.44	483.38	334.46	187.71	256.78	291.04	173.85	172.65	309.83	164.42	368.65	293.07	647.07	339.14	285.03	226.54	366.09	363.56	830.75	285.03	267.73	426.57	318.57	152.28	339.14	325.29	412.0	267.73	258.57	463.65	262.2	384.34	348.71	595.34	279.14	205.5	412.0	191.67	334.46	122.64	255.0
DCAF12	878.17	1015.93	693.58	595.34	718.08	651.58	748.61	723.08	791.35	651.58	429.54	723.08	679.29	624.99	718.08	819.3	866.07	669.92	660.68	848.22	738.29	633.73	713.11	764.36	890.44	769.69	791.35	764.36	674.59	791.35	921.88	620.67	688.78	457.25	890.44	967.76	551.56	842.36	764.36	327.56	256.78	341.51	305.55	295.11	285.03	303.44	297.17	253.23	314.17	262.2	368.65	258.57	212.78	269.6	353.59	297.17	226.54	525.39	269.6	429.54	260.38	395.18	237.86	444.72	291.04	376.41	384.34	358.54	323.03	318.57	400.71	320.8	511.0	435.55	441.64	476.71	583.07	400.71	265.87	417.77	412.0	251.48	283.05	334.46	669.92	463.65	212.78	507.46	409.15	323.03	320.8	435.55	320.8	379.04	543.96	438.59	329.84	258.57	307.69
DOPEY2	373.81	334.46	624.99	255.0	547.75	1216.75	397.93	511.0	251.48	444.72	215.77	703.28	297.17	476.71	358.54	813.63	356.05	358.54	514.56	540.19	361.04	567.1	339.14	1340.84	466.88	507.46	490.14	638.15	463.65	642.59	559.28	567.1	674.59	381.68	483.38	603.67	204.07	503.95	679.29	57.08	116.78	67.59	54.33	74.06	49.91	70.51	81.14	80.01	109.66	93.35	93.35	88.88	91.41	85.82	92.7	95.34	52.82	28.04	148.09	127.0	18.03	45.21	53.19	21.78	22.1	62.12	17.9	30.78	16.27	42.41	69.03	74.06	92.7	209.84	50.98	154.42	80.57	34.26	30.12	27.64	75.64	30.12	41.81	146.03	66.18	80.57	27.84	40.64	73.54	40.64	39.79	48.52	56.28	38.4	74.06	48.87	98.73	32.13	258.57
EDEM3	728.11	1733.13	1594.73	1044.52	866.07	2627.46	1037.29	1594.73	753.83	785.88	323.03	587.13	866.07	490.14	1794.29	860.08	733.19	3847.29	1051.79	848.22	1081.39	947.83	738.29	830.75	1073.91	836.53	493.56	896.64	536.45	733.19	1059.11	4671.57	486.75	708.18	842.36	813.63	928.3	698.41	1572.76	264.03	356.05	409.15	486.75	277.2	412.0	371.22	356.05	283.05	273.37	208.38	384.34	376.41	177.53	395.18	603.67	373.81	327.56	248.0	312.0	429.54	417.77	400.71	486.75	178.77	376.41	1199.98	316.37	341.51	373.81	363.56	759.08	400.71	397.93	312.0	718.08	493.56	480.04	423.61	660.68	563.18	587.13	336.79	480.04	1111.82	500.46	379.04	187.71	363.56	384.34	387.02	343.89	473.41	567.1	412.0	638.15	172.65	454.09	251.48	194.36
ENAH	5517.27	2915.45	3820.7	3349.13	1936.53	4181.07	6652.97	4481.23	3564.78	1844.76	1477.58	4123.49	7695.57	2351.53	1745.2	2777.33	4671.57	7382.04	2163.77	4066.71	2271.4	2032.85	3190.46	6164.49	3515.68	1909.85	3928.15	4152.18	4388.98	2032.85	5831.91	2758.13	5831.91	2148.82	3443.31	4972.34	2816.11	3039.3	3190.46	612.11	1104.13	2796.65	679.29	1745.2	1467.37	1096.5	915.51	1001.93	1909.85	842.36	1794.29	1023.0	3081.75	1183.45	1216.75	403.5	1331.57	253.23	748.61	1044.52	616.37	571.05	86.43	540.19	176.29	50.98	775.05	248.0	262.2	124.37	1159.07	353.59	183.82	547.75	246.28	642.59	1175.27	191.67	460.44	325.29	176.29	123.5	94.01	241.19	1259.69	301.33	256.78	273.37	507.46	450.94	241.19	656.11	624.99	171.45	947.83	83.45	769.69	83.45	187.71
ERBB3	3768.09	3060.45	3212.66	3060.45	3190.46	3820.7	3146.52	4328.55	2758.13	6294.04	3955.48	5292.48	1605.83	2855.44	4038.61	5112.16	6426.31	5633.22	5479.15	7485.11	3564.78	6471.02	3190.46	6983.79	5112.16	4802.93	5441.3	5831.91	3665.02	4298.64	3395.89	3325.99	3419.52	2895.31	2645.74	3847.29	3303.0	3168.41	3589.58	8.99	486.75	96.01	314.17	334.46	249.73	262.2	346.29	287.01	287.01	332.14	267.73	251.48	285.03	215.77	373.81	325.29	171.45	2502.97	3325.99	2816.11	1605.83	2682.69	1127.35	3303.0	1819.35	2777.33	1721.16	3124.78	2627.46	2777.33	2018.8	1923.14	2119.22	1963.57	2816.11	2178.83	2224.63	2367.9	3395.89	1617.0	3235.01	1508.65	1819.35	2915.45	6079.61	2555.58	2090.03	2163.77	1870.53	3235.01	2485.67	2335.28	2255.7	1819.35	3146.52	1096.5	1781.89	2119.22	2417.67
EXOC8	320.8	366.09	287.01	212.78	163.28	409.15	258.57	285.03	157.68	201.25	137.14	244.57	256.78	191.67	348.71	258.57	236.21	373.81	275.28	381.68	158.79	206.94	246.28	279.14	205.5	228.13	198.47	258.57	193.01	346.29	249.73	638.15	209.84	185.11	215.77	255.0	237.86	224.97	518.15	102.97	147.06	166.73	115.16	144.01	120.94	107.38	125.24	119.26	108.14	136.19	133.36	108.9	120.1	119.26	98.04	116.78	133.36	84.63	151.22	246.28	122.64	151.22	108.14	110.43	79.45	88.88	90.14	69.03	94.67	117.6	244.57	115.16	93.35	128.79	180.02	108.9	163.28	119.26	177.53	121.79	134.3	87.65	82.87	125.24	173.85	171.45	73.03	133.36	116.78	201.25	118.43	125.24	141.02	102.97	226.54	79.45	136.19	61.25	87.03
F11R	2895.31	2720.15	3103.19	2502.97	2627.46	3928.15	3443.31	2502.97	2400.97	2816.11	2075.59	3794.3	3124.78	3280.18	3039.3	3491.39	3564.78	2555.58	3665.02	2351.53	1745.2	3039.3	2816.11	4512.4	2855.44	2956.17	3690.52	3874.05	2796.65	2720.15	2319.15	2645.74	3820.7	3018.3	4010.71	2739.08	2209.26	2664.15	2956.17	738.29	303.44	341.51	356.05	301.33	283.05	575.03	376.41	316.37	283.05	409.15	320.8	409.15	279.14	199.85	435.55	223.41	206.94	808.0	674.59	1477.58	934.76	1467.37	389.72	420.68	656.11	872.1	1111.82	808.0	551.56	954.43	1008.9	896.64	406.31	1277.29	587.13	1397.83	1923.14	1322.37	769.69	1104.13	791.35	1551.09	896.64	480.04	629.35	1685.71	500.46	563.18	1991.0	346.29	1487.87	490.14	1119.56	928.3	1572.76	403.5	1111.82	665.29	860.08
FLVCR1	563.18	285.03	258.57	206.94	180.02	373.81	293.07	297.17	255.0	211.31	221.86	384.34	514.56	191.67	251.48	309.83	373.81	543.96	293.07	271.48	178.77	194.36	316.37	483.38	297.17	301.33	318.57	358.54	234.57	320.8	400.71	366.09	297.17	220.32	361.04	480.04	197.09	218.79	368.65	23.25	76.71	101.54	76.71	92.05	35.76	102.97	69.52	50.27	42.41	84.04	42.11	93.35	70.51	85.82	68.55	57.49	80.01	37.05	167.9	201.25	53.95	92.05	202.66	72.01	108.14	164.42	195.72	61.25	156.59	130.6	301.33	80.01	130.6	84.63	127.89	134.3	323.03	65.72	193.01	94.01	94.01	108.9	93.35	158.79	150.17	85.22	170.25	116.78	70.01	293.07	108.14	214.27	65.26	38.4	223.41	78.89	108.14	6.84	21.32
FOPNL	698.41	1508.65	802.41	1216.75	591.22	718.08	830.75	967.76	1378.57	934.76	376.41	1519.15	567.1	521.76	896.64	1030.12	1030.12	791.35	748.61	1081.39	954.43	854.13	1407.55	769.69	981.29	703.28	825.0	1015.93	688.78	1467.37	1313.23	928.3	836.53	703.28	1096.5	1259.69	941.27	1225.22	866.07	759.08	563.18	507.46	579.04	551.56	536.45	376.41	647.07	403.5	412.0	629.35	607.87	486.75	387.02	521.76	629.35	486.75	454.09	466.88	540.19	460.44	414.87	503.95	414.87	733.19	320.8	551.56	426.57	379.04	518.15	371.22	633.73	457.25	571.05	450.94	525.39	429.54	493.56	563.18	587.13	500.46	432.53	297.17	384.34	327.56	848.22	669.92	444.72	723.08	651.58	543.96	450.94	780.44	466.88	473.41	708.18	540.19	503.95	429.54	376.41
GABPB2	368.65	409.15	371.22	226.54	124.37	435.55	454.09	329.84	387.02	441.64	142.01	406.31	244.57	246.28	559.28	346.29	316.37	332.14	285.03	525.39	297.17	373.81	555.41	575.03	368.65	144.01	191.67	301.33	209.84	332.14	406.31	543.96	307.69	285.03	289.02	293.07	220.32	275.28	348.71	189.02	255.0	191.67	177.53	221.86	193.01	77.79	178.77	208.38	182.55	180.02	134.3	159.9	232.94	148.09	224.97	178.77	242.88	60.39	51.35	161.02	73.54	61.68	55.49	44.57	61.68	80.57	70.51	32.59	100.13	45.85	193.01	68.07	42.71	106.63	98.73	67.12	57.89	110.43	92.7	94.67	117.6	181.28	123.5	73.03	82.29	85.82	67.12	144.01	72.52	175.07	78.89	64.8	75.11	68.07	103.69	50.98	120.1	57.08	33.06
GLCCI1	241.19	262.2	126.12	363.56	118.43	384.34	151.22	591.22	201.25	191.67	104.42	444.72	215.77	223.41	429.54	279.14	607.87	555.41	242.88	490.14	205.5	295.11	713.11	242.88	490.14	223.41	291.04	312.0	236.21	361.04	500.46	186.4	483.38	376.41	244.57	780.44	220.32	693.58	409.15	320.8	54.72	51.35	75.64	80.01	46.18	127.89	52.08	40.64	67.12	53.19	64.8	38.4	59.97	53.95	81.71	80.01	78.89	38.95	18.16	100.13	47.84	48.87	108.9	76.71	44.57	116.78	94.67	52.82	123.5	41.81	104.42	68.55	223.41	130.6	93.35	88.88	260.38	107.38	31.9	44.57	65.26	31.67	40.07	137.14	67.12	79.45	46.84	39.5	49.91	50.27	88.26	51.35	104.42	58.3	65.26	142.01	37.32	73.03	53.95
GLE1	808.0	934.76	860.08	603.67	638.15	813.63	559.28	684.02	612.11	688.78	693.58	599.49	684.02	486.75	698.41	830.75	679.29	708.18	764.36	819.3	669.92	660.68	791.35	571.05	669.92	954.43	693.58	629.35	591.22	718.08	660.68	995.0	775.05	406.31	819.3	733.19	536.45	708.18	748.61	392.44	299.25	277.2	329.84	305.55	309.83	229.72	348.71	341.51	316.37	323.03	299.25	285.03	249.73	293.07	307.69	325.29	293.07	289.02	441.64	511.0	318.57	412.0	358.54	620.67	403.5	285.03	348.71	320.8	511.0	332.14	400.71	299.25	529.06	361.04	633.73	229.72	457.25	417.77	341.51	438.59	497.0	217.27	341.51	473.41	532.74	463.65	356.05	447.82	351.14	571.05	389.72	674.59	334.46	346.29	397.93	417.77	343.89	283.05	329.84
GLUL	45386.27	59887.86	77396.54	41475.31	55877.28	23986.58	68318.04	41475.31	56265.94	102836.01	84694.64	46662.28	77396.54	71714.63	58655.36	36610.26	17437.64	45386.27	67377.47	48643.87	36106.23	54727.32	30151.71	42641.37	36357.37	103551.29	42054.3	109455.64	71714.63	51417.5	35118.87	90773.53	54727.32	59063.35	46019.85	44761.41	59474.18	42641.37	46339.95	207103.59	108699.57	147462.67	181548.07	121448.75	143430.26	80125.95	156954.93	102125.66	137587.47	221968.2	167058.21	93974.69	102125.66	85876.94	218912.29	104996.83	110983.6	167058.21	254974.66	345900.08	132900.7	275175.93	241220.67	119776.72	221968.2	348306.01	221968.2	61571.56	249727.34	181548.07	214407.12	305326.92	207103.59	127486.83	373305.21	171754.88	191899.64	229795.93	156954.93	182810.84	145432.49	63742.91	180294.02	431797.89	161367.56	262143.0	169390.27	169390.27	170568.48	299043.36	118949.35	121448.75	195931.88	104271.56	282912.21	93974.69	114897.47	48643.87	74243.68
GNPDA1	1304.15	1529.73	551.56	1015.93	629.35	567.1	1233.75	954.43	1073.91	1378.57	1051.79	808.0	848.22	954.43	921.88	1286.18	1583.71	981.29	866.07	1216.75	1233.75	921.88	1208.34	1015.93	1167.14	738.29	1037.29	878.17	872.1	1427.22	1143.1	500.46	1059.11	1268.46	981.29	1167.14	808.0	934.76	896.64	384.34	379.04	629.35	651.58	379.04	567.1	450.94	540.19	551.56	426.57	514.56	518.15	412.0	361.04	429.54	476.71	656.11	529.06	521.76	928.3	595.34	231.32	379.04	447.82	220.32	234.57	295.11	813.63	295.11	327.56	281.09	575.03	287.01	287.01	376.41	251.48	426.57	591.22	228.13	500.46	237.86	209.84	176.29	96.68	325.29	267.73	211.31	486.75	607.87	151.22	759.08	289.02	514.56	476.71	273.37	450.94	480.04	497.0	96.01	224.97
GOLPH3L	1378.57	6516.03	2645.74	1605.83	1519.15	3820.7	1417.35	1733.13	2758.13	1359.57	629.35	2502.97	1572.76	934.76	2384.37	2287.2	1883.54	2555.58	2351.53	2240.11	5219.6	1697.45	2451.44	1923.14	3280.18	1457.23	1819.35	1963.57	915.51	4095.0	1427.22	1832.01	1832.01	1529.73	1909.85	2209.26	1769.57	2796.65	2816.11	514.56	409.15	236.21	312.0	389.72	366.09	366.09	400.71	358.54	336.79	318.57	429.54	307.69	323.03	334.46	470.14	309.83	486.75	236.21	332.14	713.11	180.02	460.44	320.8	285.03	208.38	105.89	395.18	297.17	384.34	361.04	728.11	389.72	466.88	373.81	518.15	346.29	454.09	500.46	406.31	454.09	463.65	206.94	279.14	320.8	684.02	441.64	265.87	698.41	555.41	591.22	253.23	341.51	341.51	264.03	890.44	242.88	363.56	108.9	111.99
GORAB	435.55	547.75	493.56	376.41	251.48	305.55	587.13	450.94	403.5	376.41	171.45	483.38	361.04	234.57	486.75	224.97	429.54	647.07	327.56	483.38	314.17	417.77	480.04	518.15	435.55	305.55	234.57	387.02	329.84	551.56	406.31	444.72	395.18	318.57	339.14	438.59	368.65	426.57	571.05	116.78	128.79	138.1	167.9	148.09	99.43	125.24	177.53	112.77	191.67	119.26	218.79	171.45	124.37	159.9	140.04	201.25	78.34	75.11	236.21	220.32	128.79	111.99	162.14	65.26	109.66	193.01	223.41	83.45	129.69	127.89	346.29	158.79	70.51	186.4	186.4	161.02	190.34	187.71	307.69	151.22	198.47	52.82	122.64	173.85	170.25	137.14	58.71	185.11	223.41	199.85	175.07	204.07	214.27	149.12	215.77	141.02	191.67	59.55	161.02
GPATCH2	543.96	356.05	420.68	497.0	253.23	583.07	624.99	511.0	329.84	295.11	264.03	493.56	358.54	241.19	559.28	473.41	438.59	490.14	339.14	563.18	329.84	366.09	470.14	698.41	473.41	432.53	325.29	450.94	371.22	429.54	444.72	1340.84	371.22	287.01	642.59	429.54	476.71	351.14	703.28	70.01	103.69	112.77	148.09	130.6	94.01	75.11	126.12	128.79	118.43	99.43	115.97	106.63	129.69	111.21	130.6	121.79	111.99	68.55	65.72	156.59	59.97	78.89	97.36	73.54	98.73	102.97	98.73	57.49	78.34	77.25	147.06	87.65	100.13	120.94	126.12	89.51	135.24	119.26	109.66	103.69	99.43	73.03	46.18	90.14	167.9	106.63	53.95	121.79	105.15	147.06	93.35	89.51	107.38	80.57	191.67	76.17	105.89	52.82	63.45
