	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
CDC27	1015.93	376.41	457.25	563.18	981.29	629.35	928.3	299.25	1498.22	733.19	647.07	629.35	309.83	733.19	395.18	551.56	995.0	728.11	457.25	825.0	866.07	403.5	358.54	616.37	454.09	514.56	848.22	1259.69	297.17	454.09	796.86	884.29	780.44	738.29	633.73	775.05	400.71	660.68	420.68	733.19	473.41	733.19	507.46	244.57	1183.45	688.78	1066.48	379.04	974.5	540.19	759.08	444.72	1066.48	884.29	1127.35	941.27	764.36	473.41	825.0	723.08	808.0	842.36	1183.45	591.22	674.59	1008.9	941.27	587.13	796.86	1225.22	563.18	403.5	1304.15	713.11	890.44	595.34	967.76	1037.29	2758.13	603.67	791.35	860.08	698.41	780.44	277.2	1437.15	397.93	536.45	395.18	633.73	1104.13	1044.52	267.73	201.25	363.56	202.66	187.71	336.79	167.9	412.0	376.41
CDC5L	361.04	186.4	155.5	332.14	312.0	172.65	466.88	305.55	642.59	320.8	291.04	163.28	206.94	327.56	248.0	332.14	457.25	318.57	223.41	277.2	532.74	223.41	167.9	253.23	334.46	297.17	358.54	559.28	246.28	267.73	327.56	361.04	363.56	309.83	368.65	409.15	351.14	325.29	297.17	384.34	265.87	285.03	348.71	116.78	323.03	493.56	454.09	255.0	473.41	346.29	420.68	209.84	583.07	395.18	379.04	460.44	420.68	244.57	400.71	339.14	540.19	532.74	529.06	283.05	599.49	361.04	587.13	493.56	490.14	417.77	361.04	318.57	688.78	397.93	460.44	497.0	583.07	518.15	232.94	305.55	291.04	339.14	346.29	753.83	368.65	480.04	323.03	273.37	273.37	353.59	384.34	529.06	141.02	43.63	108.14	89.51	162.14	199.85	105.15	289.02	228.13
CMTR2	486.75	218.79	84.04	285.03	237.86	255.0	241.19	180.02	373.81	143.01	151.22	223.41	185.11	447.82	320.8	279.14	246.28	251.48	99.43	180.02	435.55	271.48	120.94	493.56	126.12	327.56	234.57	223.41	85.82	260.38	193.01	255.0	447.82	264.03	463.65	303.44	275.28	341.51	251.48	281.09	228.13	309.83	215.77	82.29	215.77	108.14	540.19	209.84	518.15	236.21	441.64	170.25	543.96	376.41	412.0	483.38	389.72	171.45	373.81	463.65	381.68	366.09	511.0	206.94	656.11	547.75	423.61	688.78	457.25	253.23	353.59	226.54	656.11	406.31	249.73	361.04	368.65	387.02	264.03	297.17	503.95	287.01	368.65	400.71	211.31	638.15	239.52	748.61	312.0	237.86	493.56	540.19	159.9	94.67	165.57	107.38	59.13	50.63	90.14	309.83	181.28
CNOT6L	738.29	153.34	97.36	351.14	220.32	236.21	414.87	158.79	414.87	139.07	193.01	231.32	205.5	277.2	223.41	264.03	356.05	395.18	232.94	341.51	507.46	316.37	202.66	256.78	121.79	220.32	287.01	493.56	114.36	205.5	341.51	323.03	303.44	157.68	395.18	159.9	150.17	314.17	159.9	532.74	178.77	400.71	181.28	102.25	327.56	141.02	571.05	175.07	587.13	271.48	400.71	125.24	825.0	511.0	551.56	679.29	447.82	161.02	555.41	395.18	629.35	579.04	651.58	198.47	466.88	733.19	423.61	389.72	312.0	536.45	571.05	224.97	529.06	348.71	314.17	371.22	718.08	466.88	738.29	295.11	339.14	309.83	406.31	638.15	136.19	733.19	159.9	435.55	187.71	389.72	507.46	825.0	115.97	61.25	119.26	138.1	55.89	42.11	59.13	130.6	206.94
COG6	406.31	244.57	84.63	214.27	361.04	231.32	303.44	205.5	214.27	346.29	127.89	201.25	202.66	341.51	229.72	323.03	447.82	291.04	108.14	343.89	409.15	384.34	164.42	318.57	258.57	339.14	258.57	473.41	171.45	265.87	309.83	432.53	392.44	171.45	400.71	551.56	244.57	295.11	218.79	395.18	148.09	384.34	540.19	63.0	269.6	218.79	417.77	211.31	457.25	277.2	389.72	185.11	567.1	348.71	392.44	486.75	343.89	206.94	384.34	368.65	454.09	423.61	547.75	316.37	665.29	480.04	591.22	808.0	470.14	420.68	361.04	195.72	941.27	348.71	486.75	406.31	412.0	327.56	262.2	327.56	371.22	155.5	447.82	540.19	316.37	525.39	177.53	371.22	279.14	295.11	669.92	591.22	119.26	46.5	93.35	46.5	42.41	71.0	31.67	197.09	241.19
CTDSPL2	718.08	126.12	82.87	287.01	206.94	275.28	684.02	111.21	381.68	197.09	172.65	256.78	193.01	373.81	163.28	293.07	454.09	248.0	305.55	397.93	529.06	341.51	141.02	199.85	100.13	262.2	234.57	447.82	82.87	194.36	289.02	420.68	145.02	199.85	339.14	218.79	132.44	236.21	198.47	420.68	152.28	316.37	256.78	71.5	339.14	159.9	480.04	159.9	567.1	223.41	463.65	102.97	808.0	417.77	493.56	612.11	476.71	134.3	563.18	348.71	629.35	500.46	616.37	191.67	599.49	620.67	463.65	567.1	463.65	356.05	412.0	214.27	1059.11	642.59	447.82	320.8	514.56	536.45	514.56	289.02	470.14	376.41	500.46	547.75	171.45	660.68	152.28	463.65	229.72	339.14	555.41	571.05	81.14	24.46	73.54	71.5	52.45	40.93	37.59	136.19	356.05
DDX18	1066.48	463.65	363.56	1037.29	954.43	769.69	884.29	624.99	1769.57	785.88	454.09	723.08	547.75	629.35	603.67	941.27	1277.29	796.86	802.41	595.34	1183.45	656.11	381.68	1037.29	363.56	825.0	796.86	2133.97	343.89	633.73	1030.12	688.78	651.58	884.29	1151.06	813.63	447.82	934.76	612.11	1044.52	665.29	909.17	836.53	325.29	921.88	503.95	1304.15	679.29	1447.15	967.76	1167.14	493.56	1909.85	1322.37	1313.23	1427.22	1104.13	723.08	1151.06	995.0	1427.22	1605.83	1561.89	728.11	1819.35	665.29	1369.04	1487.87	1191.69	1059.11	1437.15	896.64	2485.67	896.64	1322.37	1369.04	1963.57	967.76	1883.54	813.63	1199.98	1295.13	1407.55	1437.15	780.44	1295.13	587.13	1268.46	791.35	647.07	1340.84	1487.87	389.72	139.07	392.44	291.04	297.17	332.14	214.27	587.13	473.41
DDX6	1685.71	295.11	115.97	647.07	633.73	954.43	748.61	199.85	1059.11	441.64	267.73	466.88	532.74	679.29	397.93	507.46	961.07	1119.56	775.05	1151.06	1350.18	890.44	332.14	921.88	265.87	460.44	1044.52	1159.07	277.2	525.39	1111.82	1073.91	941.27	376.41	961.07	896.64	325.29	1088.92	289.02	1119.56	563.18	941.27	642.59	121.79	1427.22	603.67	1583.71	460.44	1628.26	660.68	974.5	265.87	2090.03	1369.04	1477.58	1697.45	1250.98	555.41	1277.29	1295.13	1388.16	1295.13	1467.37	638.15	2104.58	1769.57	1540.37	1923.14	1870.53	1001.93	1417.35	753.83	1991.0	1651.0	1605.83	406.31	1769.57	1487.87	1709.26	934.76	1277.29	1023.0	1259.69	1529.73	271.48	2032.85	454.09	2163.77	353.59	961.07	1508.65	2075.59	176.29	132.44	164.42	186.4	63.45	111.21	116.78	320.8	371.22
DENND4C	878.17	208.38	71.0	497.0	348.71	480.04	379.04	199.85	329.84	178.77	138.1	224.97	299.25	693.58	299.25	327.56	575.03	376.41	231.32	470.14	473.41	454.09	185.11	281.09	173.85	318.57	420.68	718.08	138.1	267.73	392.44	612.11	476.71	229.72	500.46	395.18	221.86	387.02	220.32	607.87	289.02	463.65	432.53	141.02	567.1	221.86	785.88	239.52	785.88	395.18	587.13	299.25	988.12	656.11	825.0	909.17	620.67	199.85	679.29	525.39	825.0	708.18	769.69	287.01	1175.27	748.61	1001.93	830.75	688.78	525.39	656.11	271.48	1096.5	884.29	466.88	435.55	769.69	718.08	500.46	518.15	579.04	500.46	624.99	1242.34	136.19	1216.75	295.11	718.08	229.72	490.14	974.5	1242.34	209.84	83.45	151.22	120.1	41.81	70.01	69.03	221.86	450.94
DNAJB14	497.0	201.25	90.14	334.46	285.03	339.14	353.59	205.5	346.29	144.01	151.22	212.78	172.65	332.14	193.01	275.28	392.44	305.55	293.07	287.01	371.22	244.57	193.01	325.29	94.67	220.32	256.78	660.68	123.5	164.42	229.72	366.09	327.56	171.45	346.29	239.52	135.24	239.52	189.02	351.14	118.43	356.05	275.28	59.97	379.04	190.34	511.0	115.16	470.14	164.42	353.59	120.1	532.74	371.22	521.76	417.77	318.57	88.88	368.65	343.89	423.61	420.68	511.0	167.9	460.44	473.41	412.0	429.54	470.14	343.89	334.46	164.42	921.88	327.56	432.53	379.04	830.75	303.44	435.55	285.03	343.89	223.41	381.68	669.92	139.07	507.46	114.36	239.52	214.27	341.51	669.92	551.56	102.97	27.84	111.99	65.72	58.3	29.48	26.47	190.34	204.07
DNAJC24	368.65	142.01	39.5	181.28	169.07	197.09	135.24	126.12	162.14	133.36	55.89	215.77	108.9	224.97	131.51	165.57	194.36	195.72	142.01	172.65	258.57	253.23	121.79	139.07	97.36	127.0	191.67	312.0	102.97	101.54	105.15	256.78	166.73	152.28	214.27	204.07	78.89	175.07	84.04	197.09	101.54	193.01	169.07	37.32	161.02	148.09	316.37	83.45	289.02	164.42	212.78	79.45	281.09	214.27	299.25	260.38	242.88	109.66	211.31	193.01	267.73	253.23	267.73	144.01	301.33	226.54	277.2	199.85	343.89	264.03	232.94	198.47	206.94	371.22	191.67	231.32	507.46	199.85	177.53	155.5	343.89	260.38	384.34	301.33	132.44	194.36	113.56	193.01	260.38	209.84	241.19	220.32	42.41	20.11	77.25	18.7	51.71	55.89	22.26	131.51	113.56
DOCK7	293.07	218.79	115.97	212.78	147.06	164.42	275.28	205.5	633.73	158.79	264.03	224.97	156.59	226.54	202.66	242.88	316.37	172.65	180.02	287.01	457.25	255.0	142.01	232.94	277.2	275.28	205.5	348.71	53.57	162.14	275.28	187.71	163.28	228.13	406.31	571.05	215.77	334.46	186.4	392.44	135.24	441.64	198.47	115.16	420.68	162.14	470.14	325.29	575.03	332.14	432.53	244.57	633.73	417.77	540.19	493.56	486.75	242.88	358.54	332.14	651.58	454.09	521.76	285.03	921.88	457.25	423.61	688.78	599.49	371.22	540.19	145.02	1104.13	480.04	708.18	303.44	483.38	497.0	447.82	389.72	351.14	228.13	629.35	669.92	295.11	521.76	193.01	417.77	165.57	379.04	813.63	417.77	128.79	92.7	136.19	92.05	77.25	146.03	79.45	246.28	279.14
EEA1	387.02	61.25	33.06	133.36	93.35	178.77	176.29	78.34	109.66	120.1	62.56	102.25	61.68	149.12	72.01	138.1	181.28	166.73	63.45	244.57	336.79	149.12	51.35	221.86	55.1	85.22	119.26	249.73	29.06	68.55	117.6	204.07	144.01	67.59	139.07	90.14	51.71	92.05	63.89	145.02	68.55	167.9	91.41	29.06	135.24	43.02	341.51	44.25	353.59	119.26	223.41	82.87	387.02	239.52	389.72	273.37	256.78	32.36	242.88	122.64	299.25	314.17	392.44	78.89	277.2	343.89	314.17	339.14	339.14	353.59	269.6	68.55	743.43	351.14	223.41	309.83	332.14	232.94	368.65	128.79	154.42	303.44	204.07	473.41	96.01	379.04	95.34	123.5	78.89	122.64	490.14	332.14	29.48	16.51	40.64	27.64	35.25	29.91	17.38	220.32	151.22
ESF1	363.56	159.9	205.5	346.29	186.4	187.71	332.14	193.01	397.93	135.24	147.06	262.2	153.34	208.38	170.25	217.27	251.48	194.36	156.59	159.9	339.14	161.02	107.38	242.88	199.85	193.01	239.52	336.79	87.65	144.01	211.31	195.72	262.2	231.32	289.02	444.72	204.07	177.53	253.23	289.02	281.09	182.55	237.86	50.63	134.3	229.72	329.84	141.02	376.41	193.01	307.69	124.37	450.94	229.72	314.17	343.89	269.6	171.45	215.77	224.97	417.77	392.44	371.22	223.41	490.14	169.07	371.22	476.71	253.23	289.02	241.19	125.24	813.63	215.77	255.0	279.14	327.56	361.04	334.46	271.48	199.85	307.69	285.03	420.68	239.52	497.0	164.42	198.47	208.38	161.02	525.39	379.04	59.55	16.63	30.12	15.56	105.15	102.25	27.44	316.37	156.59
EXOC5	902.89	221.86	150.17	529.06	334.46	511.0	470.14	177.53	1104.13	287.01	242.88	551.56	253.23	438.59	237.86	361.04	780.44	555.41	325.29	607.87	713.11	423.61	223.41	825.0	242.88	334.46	334.46	1295.13	145.02	281.09	466.88	559.28	555.41	376.41	500.46	438.59	341.51	389.72	348.71	559.28	267.73	551.56	511.0	96.01	813.63	301.33	743.43	242.88	961.07	384.34	723.08	287.01	878.17	651.58	995.0	738.29	656.11	212.78	532.74	497.0	738.29	647.07	1037.29	384.34	708.18	830.75	647.07	599.49	629.35	934.76	660.68	309.83	2303.12	575.03	447.82	536.45	684.02	587.13	1001.93	403.5	423.61	525.39	603.67	571.05	353.59	878.17	191.67	450.94	269.6	518.15	934.76	1088.92	152.28	48.52	154.42	85.82	105.15	94.01	51.35	325.29	303.44
FAM126B	255.0	67.12	40.36	110.43	101.54	133.36	144.01	61.25	143.01	138.1	40.36	103.69	66.18	102.25	67.59	78.89	149.12	111.99	72.52	105.89	150.17	114.36	46.84	182.55	34.02	61.25	77.79	214.27	40.93	55.49	91.41	136.19	76.17	59.97	121.79	136.19	87.65	88.88	57.89	115.16	48.87	112.77	84.04	31.0	107.38	45.53	220.32	42.41	224.97	70.01	123.5	46.18	229.72	147.06	205.5	185.11	134.3	44.89	99.43	111.99	148.09	171.45	186.4	65.72	186.4	217.27	147.06	177.53	178.77	180.02	153.34	80.57	320.8	157.68	175.07	112.77	150.17	102.97	147.06	127.89	126.12	85.82	130.6	218.79	86.43	198.47	44.89	126.12	39.22	92.7	202.66	221.86	36.53	13.93	37.85	30.34	22.75	13.72	30.34	83.45	99.43
FAM13B	713.11	343.89	98.73	417.77	256.78	242.88	447.82	204.07	249.73	137.14	205.5	291.04	253.23	271.48	299.25	356.05	361.04	460.44	239.52	450.94	429.54	381.68	205.5	395.18	71.5	318.57	309.83	571.05	123.5	226.54	215.77	379.04	260.38	228.13	543.96	132.44	76.71	511.0	249.73	460.44	111.99	387.02	260.38	94.67	251.48	249.73	813.63	279.14	791.35	379.04	555.41	197.09	902.89	693.58	688.78	775.05	620.67	289.02	511.0	620.67	629.35	674.59	718.08	406.31	941.27	647.07	890.44	967.76	503.95	435.55	579.04	269.6	1388.16	551.56	303.44	397.93	718.08	595.34	486.75	409.15	500.46	301.33	642.59	599.49	201.25	995.0	267.73	775.05	384.34	343.89	896.64	836.53	68.07	37.32	84.04	91.41	40.64	44.57	21.01	389.72	255.0
FBXO28	780.44	334.46	182.55	629.35	309.83	607.87	571.05	251.48	426.57	371.22	195.72	273.37	366.09	529.06	218.79	429.54	555.41	441.64	371.22	387.02	775.05	318.57	334.46	514.56	167.9	373.81	559.28	406.31	241.19	397.93	392.44	571.05	703.28	256.78	358.54	480.04	170.25	361.04	281.09	438.59	423.61	583.07	511.0	175.07	854.13	305.55	559.28	237.86	656.11	299.25	490.14	178.77	738.29	466.88	579.04	540.19	529.06	175.07	432.53	447.82	607.87	587.13	703.28	241.19	748.61	536.45	591.22	473.41	780.44	532.74	309.83	277.2	1709.26	387.02	1051.79	551.56	723.08	775.05	532.74	277.2	426.57	323.03	493.56	698.41	220.32	769.69	161.02	320.8	193.01	379.04	607.87	802.41	149.12	86.43	150.17	152.28	136.19	145.02	144.01	194.36	293.07
FER	155.5	50.63	31.45	50.63	20.41	56.28	48.52	47.17	50.63	18.03	30.78	48.52	48.18	50.98	46.5	43.94	69.03	111.99	57.08	46.18	138.1	50.63	68.55	115.16	47.17	46.84	46.84	100.13	6.57	35.5	41.52	61.68	62.12	51.71	90.14	48.87	23.25	88.26	51.35	118.43	39.79	79.45	41.81	44.57	61.68	19.97	271.48	45.21	183.82	82.29	105.89	52.82	194.36	158.79	204.07	156.59	135.24	56.28	103.69	90.14	134.3	144.01	170.25	65.26	177.53	279.14	128.79	131.51	154.42	170.25	199.85	43.94	215.77	136.19	105.15	155.5	108.14	135.24	190.34	127.89	181.28	180.02	151.22	124.37	28.65	88.88	39.79	117.6	41.52	94.01	164.42	116.78	33.78	20.11	44.25	19.39	44.25	48.52	13.52	48.87	105.89
FGD4	237.86	48.87	27.05	92.7	54.33	67.12	80.57	19.97	204.07	31.22	13.93	70.01	61.25	118.43	63.45	65.72	90.14	105.15	76.71	110.43	163.28	109.66	51.71	84.04	27.44	51.71	58.3	72.52	24.99	27.84	57.08	81.71	75.11	51.35	114.36	199.85	57.49	106.63	57.49	191.67	37.85	312.0	102.97	21.16	111.99	29.48	273.37	59.55	279.14	120.94	212.78	79.45	237.86	232.94	301.33	199.85	167.9	67.59	137.14	120.94	220.32	176.29	275.28	108.14	94.67	237.86	297.17	77.79	159.9	201.25	246.28	93.35	204.07	125.24	107.38	127.0	232.94	353.59	205.5	148.09	148.09	283.05	141.02	346.29	27.05	285.03	82.87	154.42	58.3	237.86	145.02	320.8	77.79	47.17	63.89	67.59	66.65	38.67	78.34	60.82	55.89
GLTSCR1L	312.0	170.25	35.0	217.27	153.34	153.34	201.25	202.66	193.01	114.36	114.36	115.97	223.41	262.2	231.32	149.12	269.6	190.34	96.68	291.04	400.71	212.78	138.1	137.14	128.79	170.25	178.77	363.56	94.01	201.25	142.01	201.25	150.17	125.24	356.05	224.97	149.12	281.09	105.89	323.03	79.45	195.72	156.59	74.06	204.07	185.11	441.64	141.02	417.77	212.78	301.33	129.69	624.99	423.61	361.04	450.94	353.59	148.09	389.72	318.57	490.14	454.09	432.53	159.9	571.05	339.14	483.38	543.96	343.89	341.51	353.59	180.02	665.29	409.15	387.02	191.67	454.09	426.57	279.14	327.56	368.65	206.94	381.68	454.09	187.71	466.88	198.47	381.68	198.47	329.84	371.22	532.74	88.26	52.82	88.88	87.03	38.95	49.91	38.67	124.37	175.07
GMFB	1023.0	500.46	251.48	769.69	633.73	679.29	748.61	285.03	791.35	665.29	368.65	860.08	295.11	848.22	368.65	748.61	693.58	743.43	323.03	703.28	808.0	599.49	325.29	981.29	320.8	563.18	447.82	1529.73	283.05	466.88	928.3	703.28	693.58	567.1	633.73	497.0	454.09	551.56	483.38	743.43	392.44	698.41	753.83	149.12	1313.23	438.59	866.07	356.05	884.29	470.14	656.11	376.41	961.07	674.59	1051.79	764.36	647.07	234.57	429.54	698.41	688.78	759.08	1183.45	329.84	796.86	878.17	679.29	638.15	830.75	988.12	698.41	318.57	1268.46	511.0	738.29	684.02	1037.29	808.0	941.27	441.64	813.63	599.49	583.07	679.29	236.21	1477.58	348.71	447.82	480.04	466.88	633.73	1015.93	387.02	409.15	476.71	373.81	167.9	267.73	139.07	466.88	493.56
GTF2A1	511.0	205.5	105.89	251.48	275.28	267.73	371.22	175.07	414.87	199.85	195.72	180.02	187.71	361.04	215.77	373.81	341.51	303.44	353.59	400.71	483.38	325.29	152.28	253.23	162.14	248.0	287.01	316.37	130.6	185.11	291.04	463.65	305.55	239.52	447.82	226.54	142.01	262.2	215.77	395.18	191.67	389.72	191.67	73.54	351.14	186.4	507.46	171.45	518.15	199.85	363.56	142.01	591.22	409.15	414.87	490.14	371.22	166.73	392.44	381.68	466.88	450.94	497.0	209.84	518.15	417.77	525.39	551.56	291.04	463.65	336.79	193.01	1023.0	373.81	346.29	414.87	466.88	403.5	371.22	353.59	289.02	208.38	473.41	521.76	198.47	679.29	147.06	271.48	185.11	279.14	567.1	660.68	124.37	84.63	125.24	142.01	73.54	77.79	92.7	214.27	336.79
HAUS2	503.95	128.79	172.65	221.86	287.01	299.25	226.54	111.99	307.69	182.55	183.82	327.56	177.53	426.57	204.07	239.52	358.54	264.03	285.03	262.2	368.65	264.03	142.01	232.94	176.29	215.77	248.0	309.83	215.77	236.21	299.25	291.04	119.26	406.31	332.14	162.14	166.73	232.94	264.03	376.41	199.85	255.0	353.59	115.97	341.51	167.9	429.54	180.02	450.94	299.25	361.04	231.32	624.99	351.14	547.75	363.56	412.0	157.68	285.03	301.33	435.55	376.41	679.29	275.28	387.02	327.56	392.44	351.14	275.28	403.5	241.19	379.04	603.67	217.27	493.56	223.41	351.14	312.0	426.57	271.48	305.55	356.05	460.44	412.0	281.09	532.74	232.94	215.77	289.02	255.0	202.66	555.41	150.17	70.01	120.94	114.36	111.99	80.01	49.56	363.56	164.42
HCFC2	220.32	78.34	34.26	146.03	83.45	197.09	105.15	57.89	185.11	147.06	65.26	99.43	80.01	149.12	77.79	141.02	218.79	176.29	85.82	171.45	228.13	142.01	88.26	197.09	100.83	98.04	146.03	211.31	65.26	82.87	121.79	141.02	124.37	108.14	143.01	78.89	74.58	121.79	99.43	153.34	109.66	172.65	135.24	48.18	165.57	91.41	329.84	58.3	246.28	92.7	204.07	127.0	343.89	246.28	318.57	232.94	232.94	95.34	170.25	149.12	279.14	248.0	312.0	131.51	283.05	295.11	287.01	204.07	251.48	356.05	260.38	121.79	493.56	253.23	115.16	248.0	232.94	323.03	417.77	193.01	187.71	149.12	193.01	466.88	76.17	197.09	153.34	214.27	97.36	229.72	228.13	320.8	43.94	18.03	38.4	36.27	149.12	103.69	44.89	88.88	113.56
HOOK3	450.94	128.79	49.56	249.73	329.84	190.34	866.07	55.1	514.56	71.5	147.06	116.78	80.57	231.32	147.06	209.84	314.17	205.5	98.04	150.17	387.02	231.32	241.19	194.36	108.14	111.21	242.88	830.75	64.34	147.06	275.28	287.01	260.38	214.27	229.72	159.9	66.18	178.77	73.03	373.81	75.11	239.52	85.82	29.91	299.25	108.9	373.81	73.03	441.64	159.9	231.32	92.05	483.38	229.72	341.51	529.06	234.57	91.41	346.29	141.02	371.22	403.5	358.54	149.12	511.0	358.54	279.14	1313.23	361.04	187.71	289.02	60.82	674.59	283.05	109.66	162.14	305.55	173.85	376.41	287.01	320.8	241.19	376.41	595.34	59.13	587.13	76.17	435.55	57.49	177.53	503.95	395.18	38.4	11.82	37.85	31.45	53.19	34.51	11.73	129.69	175.07
IFNAR1	1313.23	525.39	346.29	738.29	791.35	921.88	1583.71	336.79	896.64	703.28	791.35	698.41	412.0	836.53	457.25	743.43	890.44	928.3	384.34	884.29	1119.56	647.07	497.0	988.12	1457.23	551.56	902.89	896.64	409.15	759.08	928.3	941.27	1044.52	954.43	1008.9	563.18	571.05	753.83	595.34	860.08	620.67	1447.15	961.07	323.03	1233.75	1104.13	1135.2	624.99	1467.37	713.11	1081.39	587.13	1617.0	967.76	1369.04	1096.5	890.44	583.07	665.29	775.05	1388.16	941.27	1721.16	693.58	1051.79	872.1	1268.46	1008.9	836.53	1572.76	660.68	934.76	1685.71	607.87	1081.39	825.0	1127.35	1183.45	1378.57	567.1	543.96	1167.14	1044.52	934.76	620.67	1467.37	525.39	567.1	872.1	723.08	1268.46	1794.29	463.65	198.47	353.59	325.29	476.71	860.08	285.03	651.58	536.45
