	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.ZG.A9LY.01A.11R.A41O.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.FC.7708.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
MEF2C	291.04	33.54	23.08	139.07	26.1	256.78	17.51	525.39	43.94	229.72	65.26	77.79	66.65	325.29	172.65	291.04	50.98	119.26	96.68	125.24	194.36	121.79	314.17	150.17	104.42	187.71	98.04	139.07	72.01	234.57	187.71	115.97	48.87	85.22	55.1	72.52	65.26	246.28	104.42	158.79	133.36	77.79	63.45	187.71	26.67	43.63	194.36	126.12	61.25	81.14	47.5	190.34	256.78	201.25	32.13	75.64	158.79	171.45	59.55	105.15	30.12	253.23	105.15	171.45	31.9	39.79	59.97	90.14	42.41	44.89	88.26	37.32	244.57	72.52	277.2	96.01	327.56	67.12	39.5	70.51	140.04	30.34	18.43	155.5	80.01	101.54	78.34	205.5	41.81	19.68	88.88	91.41	224.97	450.94	33.78	178.77	80.57	133.36	33.78	41.81	34.75	224.97	108.14	239.52	126.12	420.68	283.05	173.85	297.17	187.71	215.77	575.03
MMRN2	301.33	92.05	167.9	223.41	74.58	223.41	40.07	500.46	85.22	256.78	120.94	163.28	154.42	384.34	248.0	473.41	98.04	137.14	149.12	140.04	236.21	189.02	332.14	232.94	232.94	587.13	136.19	215.77	100.83	305.55	351.14	275.28	91.41	236.21	197.09	177.53	143.01	191.67	166.73	457.25	246.28	193.01	124.37	209.84	115.97	116.78	277.2	267.73	102.97	140.04	156.59	334.46	728.11	289.02	57.49	107.38	361.04	435.55	151.22	209.84	101.54	320.8	236.21	271.48	94.67	136.19	134.3	142.01	111.99	97.36	118.43	108.9	447.82	195.72	343.89	205.5	339.14	150.17	100.13	122.64	197.09	52.82	53.57	339.14	165.57	283.05	170.25	406.31	119.26	82.87	202.66	135.24	483.38	289.02	60.39	325.29	199.85	231.32	69.03	89.51	91.41	305.55	123.5	248.0	189.02	480.04	189.02	283.05	414.87	309.83	137.14	466.88
MYCT1	111.99	18.16	34.75	80.01	15.91	67.59	7.34	182.55	18.29	72.52	45.53	43.02	27.64	221.86	91.41	182.55	24.99	39.5	46.18	46.5	78.34	64.8	140.04	56.28	55.49	236.21	32.59	70.01	25.91	84.63	108.14	80.01	17.38	66.18	43.02	68.55	45.85	101.54	37.85	150.17	75.11	56.28	31.67	87.03	29.7	26.1	63.0	57.89	40.07	23.59	26.28	114.36	156.59	108.9	12.74	36.27	143.01	147.06	45.21	53.95	15.11	112.77	73.54	65.72	22.26	48.52	27.05	29.48	32.36	26.1	39.5	31.22	127.89	51.35	98.73	43.02	96.01	24.81	20.26	24.11	59.97	10.24	12.93	94.67	59.13	43.94	53.57	101.54	45.21	12.18	63.89	57.49	110.43	63.0	15.11	125.24	74.58	76.17	8.65	27.44	19.25	117.6	47.84	95.34	37.85	199.85	123.5	93.35	158.79	129.69	49.21	149.12
PALM2-AKAP2	30.12	0.0	0.0	8.38	0.0	29.06	0.0	50.27	0.0	11.91	0.29	1.71	3.35	37.05	11.04	18.43	1.46	6.01	2.36	2.43	14.67	6.57	19.97	5.82	7.11	16.39	4.54	21.63	2.63	10.71	4.7	7.46	1.77	0.37	0.83	2.29	0.0	2.12	1.11	7.22	16.63	2.68	5.73	14.56	0.0	0.29	15.68	12.55	0.87	4.98	2.86	50.63	15.56	20.41	2.27	10.0	12.55	6.62	1.33	3.2	1.1	27.05	8.58	5.82	1.2	0.0	3.44	5.68	3.23	6.67	0.0	1.06	9.06	0.56	47.84	5.36	16.51	0.82	0.0	6.41	5.11	3.35	0.53	13.72	10.71	2.86	3.86	11.73	0.0	0.0	0.87	1.13	3.99	18.29	5.41	6.73	0.82	3.38	4.62	0.0	0.0	23.42	10.31	12.93	6.84	48.18	17.0	12.09	36.79	13.62	0.0	34.26
PEAK1	218.79	26.86	19.11	65.26	34.02	185.11	6.41	155.5	16.15	153.34	50.27	50.27	50.27	191.67	75.11	133.36	31.9	62.12	44.25	121.79	77.25	52.82	134.3	80.57	136.19	86.43	45.53	74.06	45.53	128.79	93.35	115.97	26.47	28.24	41.22	44.89	28.86	128.79	29.48	103.69	102.25	38.4	31.45	132.44	6.26	21.47	122.64	56.28	31.67	50.27	24.63	156.59	226.54	102.25	11.38	38.67	63.89	112.77	45.21	75.64	40.64	126.12	64.8	139.07	21.16	26.47	43.02	42.71	59.55	38.95	54.33	22.26	193.01	43.02	248.0	41.52	218.79	33.78	18.29	38.4	76.71	28.04	15.0	76.17	78.34	44.25	23.42	59.97	37.85	6.67	52.08	35.0	127.89	115.16	15.45	64.8	29.91	55.49	42.71	24.81	27.64	146.03	93.35	108.9	101.54	325.29	156.59	136.19	348.71	166.73	62.12	363.56
PLEKHG1	61.68	20.86	7.94	37.32	12.45	57.08	4.06	80.01	7.11	56.28	17.13	24.46	41.22	82.29	31.9	70.01	11.3	20.56	21.78	25.17	35.0	37.32	61.25	14.35	27.84	154.42	20.71	28.86	16.39	52.45	69.52	41.81	9.06	29.06	10.08	43.63	12.18	45.85	14.24	57.49	29.7	24.63	11.38	36.27	8.58	11.3	91.41	37.05	16.75	17.13	8.99	40.93	78.34	48.18	11.04	17.25	33.3	67.59	16.27	40.93	8.85	72.52	25.35	36.01	6.01	31.9	12.27	19.68	12.83	10.63	18.56	8.58	36.53	15.34	66.65	27.05	62.12	9.7	7.28	8.92	28.65	8.19	8.32	42.71	20.26	26.47	21.78	31.45	26.67	3.92	28.04	11.91	44.25	49.21	8.92	31.0	19.97	27.44	8.38	8.19	8.92	41.81	25.72	38.12	20.86	81.71	55.49	31.45	55.89	33.54	18.84	66.18
PODXL	341.51	128.79	137.14	293.07	155.5	480.04	90.14	902.89	167.9	483.38	159.9	271.48	139.07	796.86	480.04	928.3	133.36	190.34	181.28	285.03	392.44	301.33	878.17	351.14	260.38	961.07	334.46	318.57	141.02	236.21	316.37	336.79	293.07	251.48	293.07	314.17	162.14	363.56	182.55	373.81	441.64	287.01	264.03	258.57	137.14	145.02	514.56	444.72	161.02	165.57	181.28	441.64	429.54	532.74	115.16	244.57	988.12	447.82	206.94	112.77	246.28	928.3	231.32	493.56	242.88	236.21	177.53	249.73	218.79	147.06	124.37	204.07	316.37	241.19	563.18	341.51	988.12	234.57	182.55	190.34	323.03	181.28	171.45	638.15	260.38	209.84	236.21	567.1	191.67	140.04	368.65	133.36	587.13	669.92	161.02	325.29	305.55	289.02	249.73	273.37	214.27	356.05	152.28	423.61	231.32	703.28	289.02	444.72	587.13	309.83	170.25	343.89
PTPRB	183.82	47.5	40.36	101.54	28.04	148.09	17.25	353.59	35.0	135.24	72.01	55.49	58.71	361.04	138.1	299.25	29.48	46.84	75.64	63.89	147.06	93.35	189.02	98.73	128.79	476.71	111.21	100.13	35.0	105.89	158.79	189.02	128.79	127.0	67.59	52.08	56.68	140.04	56.68	228.13	100.13	108.14	57.08	80.01	34.75	29.27	218.79	128.79	37.32	41.52	30.34	159.9	271.48	149.12	26.67	71.5	267.73	224.97	42.71	71.5	39.79	267.73	73.54	150.17	49.91	60.39	52.82	53.57	48.52	27.25	22.26	30.12	133.36	58.3	191.67	120.1	228.13	53.95	43.94	45.85	85.82	20.11	32.59	220.32	75.11	97.36	80.57	220.32	52.08	22.75	114.36	51.35	256.78	115.97	54.33	176.29	87.03	75.64	40.07	36.53	33.78	162.14	69.52	205.5	114.36	242.88	152.28	201.25	283.05	177.53	40.93	186.4
RAPGEF5	211.31	51.71	26.86	80.01	34.51	169.07	75.64	224.97	61.68	131.51	42.11	54.33	89.51	221.86	102.25	223.41	36.27	44.25	59.55	57.89	96.68	90.14	176.29	97.36	102.25	255.0	137.14	87.03	77.79	109.66	92.7	130.6	57.89	72.52	60.39	57.89	64.34	115.16	76.17	177.53	76.71	61.68	79.45	81.71	21.32	28.24	141.02	132.44	38.95	52.45	26.86	115.97	246.28	125.24	47.17	81.71	141.02	115.16	57.08	68.55	80.01	152.28	75.64	122.64	47.17	53.19	86.43	40.36	33.54	37.05	73.03	43.32	157.68	39.5	152.28	69.52	229.72	70.51	27.64	71.5	82.87	76.71	28.45	136.19	65.26	81.14	60.39	157.68	38.67	22.43	110.43	53.19	162.14	109.66	46.5	115.16	108.14	72.01	58.71	38.4	56.68	102.97	60.82	115.97	74.06	176.29	127.0	103.69	166.73	97.36	35.76	140.04
RASGRP3	47.84	7.28	12.18	40.36	11.04	69.03	17.38	86.43	10.47	57.89	18.29	23.42	35.5	127.0	59.13	120.94	22.92	34.02	28.24	33.3	58.3	39.5	80.57	16.27	35.76	134.3	27.44	20.41	34.75	40.64	57.49	52.45	41.22	31.45	25.72	22.26	29.91	87.65	25.17	40.36	40.36	33.78	38.4	29.7	21.78	36.79	48.18	36.01	18.97	25.91	16.63	90.77	87.03	80.57	7.11	39.22	122.64	86.43	17.13	48.52	16.63	93.35	43.32	47.84	12.45	15.34	29.27	32.59	24.46	24.99	31.67	45.53	122.64	23.59	98.73	39.5	78.89	20.71	21.78	17.25	52.08	23.76	7.4	72.01	27.25	8.78	44.57	70.01	19.39	15.68	45.53	15.91	85.22	75.64	18.29	49.91	38.67	55.89	22.1	15.68	19.82	72.52	29.06	60.82	33.54	112.77	94.01	39.5	78.34	82.87	33.3	54.33
RGS5	2555.58	587.13	547.75	1551.09	309.83	1561.89	265.87	4769.75	674.59	1313.23	669.92	547.75	423.61	5147.73	1963.57	3564.78	460.44	503.95	587.13	703.28	1977.24	2451.44	2018.8	1322.37	813.63	6983.79	656.11	2004.85	301.33	1832.01	2351.53	1551.09	555.41	1066.48	500.46	529.06	543.96	2384.37	599.49	2434.5	1111.82	1135.2	599.49	665.29	497.0	239.52	2133.97	1896.65	438.59	466.88	432.53	2384.37	2997.45	1857.6	429.54	1277.29	4802.93	2537.92	463.65	785.88	305.55	3212.66	780.44	1427.22	547.75	612.11	463.65	320.8	414.87	323.03	555.41	273.37	1781.89	353.59	1819.35	1340.84	2664.15	493.56	392.44	866.07	1044.52	287.01	232.94	2485.67	961.07	536.45	1529.73	2520.38	420.68	262.2	1250.98	759.08	2240.11	1540.37	356.05	2367.9	934.76	748.61	253.23	264.03	267.73	1662.49	813.63	2004.85	941.27	2895.31	2351.53	1617.0	2104.58	2224.63	563.18	2367.9
RNF152	93.35	36.01	21.32	84.04	21.47	89.51	14.78	84.04	10.24	108.9	45.21	78.89	60.39	121.79	86.43	84.04	34.02	54.33	73.54	34.51	38.4	53.19	83.45	30.56	79.45	40.93	17.38	52.08	15.0	42.71	76.17	65.26	18.97	48.52	24.28	57.89	51.35	55.1	22.26	49.21	358.54	96.01	41.22	35.25	6.06	26.28	139.07	62.12	90.14	100.13	19.53	74.58	98.73	97.36	7.82	38.95	50.27	46.5	30.12	44.57	16.63	110.43	38.67	55.89	12.45	28.24	26.67	27.64	37.05	15.45	41.81	25.72	57.08	53.19	101.54	22.43	79.45	42.11	15.68	22.59	93.35	9.7	23.59	95.34	117.6	79.45	34.02	69.52	37.85	12.27	49.91	45.21	100.83	90.77	23.59	113.56	46.84	52.45	10.47	38.95	28.65	92.7	54.72	107.38	87.65	151.22	84.63	96.01	139.07	70.51	73.54	72.01
SHROOM4	48.87	17.77	13.12	29.91	10.31	44.25	2.32	68.55	4.98	46.84	17.51	23.76	27.25	85.82	37.59	70.01	7.11	17.77	15.34	18.97	31.0	22.26	60.82	22.26	49.91	115.97	18.84	26.1	12.45	26.1	37.85	55.49	16.88	25.91	12.83	30.78	10.16	31.9	7.75	43.94	37.59	23.76	15.56	21.01	14.35	11.47	63.0	27.84	20.86	25.35	11.21	47.17	67.59	51.71	8.45	16.75	43.94	48.87	9.41	24.99	8.51	62.56	18.16	33.78	7.46	22.59	12.18	15.11	10.79	8.99	13.22	7.51	45.53	20.71	54.72	21.94	59.13	18.84	10.55	14.78	36.53	7.11	5.5	46.84	20.86	21.16	15.45	41.81	20.41	4.78	56.68	10.16	58.3	45.21	7.51	27.84	23.25	17.0	6.46	13.83	8.51	46.84	28.45	50.98	54.72	86.43	38.67	46.18	90.14	49.56	19.25	55.89
SLC5A4	8.85	1.41	0.0	3.14	1.01	4.54	0.0	4.24	0.0	3.23	1.46	4.58	2.27	8.85	5.87	16.51	4.43	1.95	1.48	7.75	6.01	2.39	4.62	3.72	5.59	16.27	2.46	1.93	1.89	6.84	10.0	6.73	2.23	2.1	1.89	5.82	5.54	10.0	0.0	7.46	4.1	3.17	5.54	2.89	1.0	2.27	9.7	3.2	0.68	5.59	0.0	5.45	8.38	10.08	1.43	1.39	9.06	11.04	2.71	3.56	1.5	5.92	1.48	4.82	3.38	0.67	1.91	3.63	10.24	3.08	2.43	0.0	6.01	2.71	3.66	5.45	7.46	1.07	1.48	2.68	6.11	1.46	0.64	9.2	3.2	2.27	2.68	4.98	4.1	0.97	4.5	0.67	11.3	5.82	1.46	2.36	5.5	1.07	0.0	1.08	3.76	4.62	4.21	7.46	2.73	18.16	8.38	2.32	6.36	11.13	1.07	11.3
SLC9A6	82.29	45.21	64.8	65.26	14.89	79.45	59.97	110.43	59.13	111.99	55.1	40.93	44.89	111.21	101.54	80.57	59.97	71.5	79.45	34.75	74.06	85.82	98.73	72.01	64.8	62.56	62.12	67.59	41.52	84.04	76.71	95.34	87.65	42.11	38.67	43.94	69.03	83.45	54.33	92.05	64.34	43.02	92.05	100.13	34.02	32.13	99.43	51.71	57.49	51.35	49.56	67.12	82.29	76.71	31.67	29.48	82.87	69.52	41.81	74.06	46.5	60.39	80.01	96.68	63.45	57.49	50.27	34.02	65.26	26.28	59.55	35.25	75.11	47.17	87.03	99.43	105.15	55.1	42.71	34.51	69.03	37.32	35.5	92.05	56.28	65.72	68.07	61.68	44.57	44.89	61.68	64.34	82.29	100.13	40.93	76.17	53.57	48.87	38.12	34.26	49.56	82.87	74.06	94.01	82.29	113.56	80.57	94.67	138.1	91.41	76.17	126.12
ST8SIA4	44.57	4.66	9.2	14.45	4.98	35.5	2.56	50.63	2.23	36.53	6.78	13.22	8.65	57.89	24.28	46.84	15.68	17.77	18.03	14.03	25.54	12.09	43.02	7.63	22.1	39.22	11.82	13.93	12.83	18.16	24.11	36.01	9.34	8.78	7.22	15.8	9.34	34.51	5.41	26.67	17.9	18.29	18.56	25.17	6.84	8.58	35.5	17.9	6.84	15.68	5.59	32.36	29.7	27.05	4.17	15.8	37.59	27.84	5.92	27.05	4.06	48.52	28.45	22.59	5.06	7.4	9.2	12.64	9.93	21.01	8.65	6.78	49.21	12.55	42.71	15.91	38.95	4.98	6.52	9.93	25.91	4.86	5.68	27.64	10.96	15.11	12.0	24.99	9.78	4.1	23.59	4.46	21.47	27.44	9.56	24.28	14.78	20.41	4.7	6.06	5.32	43.94	22.26	28.45	22.1	65.72	109.66	14.67	35.25	20.71	11.64	47.84
SYT15	47.84	8.32	28.65	35.0	19.11	35.5	13.52	84.04	23.08	61.25	26.67	21.16	15.11	65.72	47.5	60.39	18.56	31.9	18.56	33.78	55.49	33.3	70.51	30.78	47.84	61.68	31.45	26.86	36.27	64.34	53.95	85.22	17.13	29.91	22.92	18.7	40.36	36.53	32.59	71.5	43.63	23.42	40.64	56.28	10.71	26.86	39.79	53.57	22.26	40.64	28.24	89.51	85.22	61.68	6.84	22.43	59.55	33.3	29.48	44.89	34.75	64.8	53.19	45.85	16.75	29.91	31.9	31.9	33.06	29.06	26.1	29.91	177.53	53.57	70.01	21.63	112.77	44.89	35.0	43.02	76.71	11.91	25.54	35.25	29.27	52.45	13.03	92.05	14.45	15.34	36.53	29.48	72.01	95.34	17.25	35.76	26.1	32.82	21.16	18.56	15.22	108.14	32.36	102.97	21.63	143.01	74.58	47.5	148.09	61.25	25.17	87.65
TCF4	473.41	124.37	53.19	215.77	106.63	379.04	92.05	426.57	59.97	379.04	121.79	131.51	148.09	547.75	249.73	358.54	132.44	171.45	131.51	212.78	283.05	163.28	470.14	158.79	195.72	299.25	144.01	190.34	181.28	223.41	264.03	249.73	51.35	126.12	123.5	171.45	122.64	346.29	86.43	221.86	234.57	114.36	170.25	204.07	23.76	72.01	432.53	291.04	119.26	120.1	57.89	379.04	316.37	264.03	57.89	106.63	189.02	198.47	93.35	153.34	101.54	307.69	170.25	305.55	32.13	63.0	94.67	139.07	101.54	122.64	132.44	128.79	253.23	93.35	336.79	107.38	518.15	130.6	65.26	143.01	237.86	78.34	44.25	218.79	141.02	175.07	115.16	208.38	122.64	35.5	166.73	96.68	271.48	318.57	100.83	236.21	125.24	167.9	68.07	78.89	59.97	332.14	237.86	379.04	217.27	500.46	314.17	293.07	473.41	255.0	127.0	441.64
TEK	102.25	32.82	34.51	84.63	30.34	80.01	13.83	170.25	25.72	69.52	46.18	43.63	48.18	177.53	98.04	167.9	25.72	36.27	51.35	47.17	98.73	68.55	151.22	69.03	97.36	189.02	44.25	68.55	25.54	73.54	128.79	88.88	25.17	70.01	57.89	43.94	37.59	81.14	44.89	164.42	76.71	43.63	42.41	61.25	11.04	25.72	110.43	87.65	26.67	22.75	34.02	113.56	147.06	86.43	22.1	39.22	102.97	126.12	29.7	57.49	22.26	112.77	78.89	70.51	23.25	29.7	24.46	36.01	29.7	20.71	23.76	39.79	90.14	52.45	117.6	52.45	115.97	36.27	32.59	29.7	60.82	11.91	12.27	90.14	44.89	76.71	46.84	157.68	31.0	15.0	52.45	40.64	144.01	87.03	16.88	111.21	54.33	69.03	22.59	30.78	21.01	123.5	42.71	99.43	90.77	178.77	117.6	114.36	153.34	117.6	41.22	140.04
TGFBR2	1051.79	307.69	251.48	500.46	255.0	713.11	189.02	1066.48	117.6	723.08	379.04	435.55	567.1	1167.14	551.56	1008.9	325.29	363.56	389.72	607.87	624.99	406.31	825.0	551.56	728.11	1331.57	295.11	486.75	295.11	878.17	1051.79	708.18	123.5	371.22	392.44	493.56	283.05	674.59	312.0	1111.82	599.49	301.33	376.41	612.11	108.9	256.78	1051.79	555.41	343.89	316.37	305.55	1030.12	1250.98	698.41	100.83	329.84	954.43	1104.13	275.28	571.05	244.57	872.1	555.41	780.44	125.24	198.47	246.28	301.33	209.84	229.72	351.14	246.28	1225.22	392.44	1104.13	348.71	1183.45	353.59	217.27	249.73	532.74	109.66	126.12	518.15	483.38	507.46	228.13	764.36	332.14	88.26	363.56	325.29	1015.93	884.29	93.35	769.69	291.04	500.46	171.45	229.72	158.79	854.13	470.14	848.22	813.63	1417.35	780.44	764.36	1259.69	961.07	490.14	1437.15
TMEM47	660.68	195.72	82.29	226.54	64.8	497.0	84.63	599.49	120.94	450.94	295.11	162.14	183.82	647.07	303.44	387.02	197.09	242.88	392.44	325.29	511.0	291.04	376.41	341.51	234.57	397.93	141.02	339.14	204.07	426.57	438.59	224.97	61.68	187.71	181.28	141.02	201.25	384.34	384.34	403.5	316.37	151.22	135.24	507.46	30.56	125.24	376.41	199.85	223.41	194.36	126.12	698.41	536.45	264.03	39.79	117.6	318.57	332.14	229.72	267.73	98.04	334.46	336.79	312.0	76.71	420.68	299.25	141.02	130.6	91.41	237.86	108.14	493.56	180.02	669.92	148.09	483.38	199.85	167.9	109.66	229.72	78.34	116.78	356.05	297.17	363.56	157.68	281.09	175.07	400.71	256.78	287.01	384.34	339.14	166.73	329.84	95.34	244.57	84.63	97.36	109.66	665.29	253.23	525.39	368.65	941.27	579.04	624.99	748.61	441.64	500.46	791.35
TMOD2	81.14	25.72	29.06	50.63	21.01	73.54	13.03	73.03	15.68	57.49	28.45	23.25	25.54	103.69	50.98	63.89	15.45	39.79	40.64	43.94	44.89	61.25	71.0	27.84	55.1	64.34	23.42	92.05	22.75	41.52	61.25	67.12	24.28	28.04	27.84	37.59	32.82	111.21	24.28	102.25	32.13	36.53	52.82	31.0	11.82	19.82	61.68	37.85	23.08	53.95	17.25	53.19	55.49	65.72	32.36	28.65	64.8	48.18	27.64	34.51	24.63	75.64	32.82	56.28	14.24	28.86	20.86	20.26	37.32	36.27	23.08	21.78	42.11	34.26	64.8	24.11	88.88	43.63	24.81	32.82	59.55	24.46	24.81	72.01	52.82	57.49	21.01	53.95	28.65	23.42	39.79	37.32	67.12	42.11	35.5	42.11	36.27	33.78	33.54	23.76	28.24	61.68	44.25	76.17	49.21	98.73	53.19	54.72	85.82	66.18	30.78	63.89
TSPAN2	208.38	81.71	30.56	299.25	48.18	336.79	20.71	246.28	18.7	279.14	248.0	140.04	159.9	334.46	363.56	312.0	69.03	255.0	212.78	258.57	403.5	181.28	283.05	109.66	231.32	121.79	84.04	303.44	34.75	214.27	450.94	218.79	70.51	47.5	129.69	94.01	63.45	178.77	104.42	206.94	228.13	94.01	99.43	232.94	4.39	173.85	305.55	152.28	218.79	190.34	113.56	293.07	435.55	246.28	11.38	71.0	181.28	133.36	173.85	156.59	52.08	269.6	201.25	131.51	19.82	37.32	72.01	191.67	116.78	35.25	220.32	104.42	191.67	220.32	376.41	49.91	454.09	152.28	69.03	163.28	211.31	72.52	43.32	113.56	138.1	244.57	76.71	146.03	150.17	18.56	51.35	224.97	486.75	264.03	96.01	253.23	79.45	167.9	45.21	71.5	120.1	414.87	170.25	642.59	293.07	397.93	450.94	341.51	511.0	323.03	244.57	444.72
ZEB1	336.79	67.12	26.86	208.38	40.07	299.25	24.81	267.73	26.67	275.28	114.36	84.04	112.77	373.81	194.36	256.78	61.25	148.09	135.24	185.11	281.09	169.07	229.72	112.77	211.31	201.25	94.67	248.0	76.17	229.72	237.86	205.5	55.1	105.15	86.43	100.83	105.89	327.56	108.9	316.37	132.44	93.35	84.04	237.86	12.64	57.89	361.04	171.45	108.14	85.82	49.91	275.28	269.6	206.94	43.02	89.51	154.42	185.11	100.83	177.53	63.45	202.66	123.5	187.71	34.02	43.32	57.08	82.29	107.38	61.68	167.9	63.89	189.02	91.41	303.44	72.01	384.34	124.37	55.49	121.79	128.79	57.89	42.11	133.36	127.0	142.01	57.49	175.07	90.14	25.35	69.52	110.43	249.73	242.88	45.21	198.47	82.87	127.89	63.89	61.25	57.49	269.6	113.56	334.46	202.66	395.18	255.0	228.13	426.57	327.56	189.02	441.64
