	GTEX.ZP4G.1726.SM.4WWCM	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.14E6E.1526.SM.5RQIG	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	GTEX.11ONC.1926.SM.5GU75	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZYFC.2226.SM.5NQ96	GTEX.117YW.2026.SM.5N9BH	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.11ZTS.1126.SM.5LU9X	GTEX.111VG.0526.SM.5N9BW	GTEX.1313W.2826.SM.5P9G1
FAM132A	536.45	543.96	603.67	2104.58	130.6	96.01	988.12	954.43	612.11	454.09	591.22	514.56	220.32	909.17	775.05	825.0	753.83	113.56	748.61	1001.93	170.25	154.42	158.79	6.52	23.25	18.03	20.56	237.86	8.65	39.79	55.89	19.25	61.68	131.51	84.04	55.49	33.78	31.67	171.45	31.22	56.68	63.0	7.88
FAM83G	336.79	503.95	409.15	595.34	153.34	90.14	470.14	447.82	497.0	389.72	450.94	414.87	279.14	567.1	591.22	567.1	563.18	236.21	536.45	444.72	61.68	90.77	77.25	287.01	91.41	56.28	87.03	26.67	239.52	152.28	127.0	163.28	101.54	82.87	189.02	341.51	220.32	77.79	92.05	137.14	136.19	120.94	21.63
FRMD1	466.88	1030.12	638.15	547.75	78.34	73.54	1096.5	603.67	669.92	896.64	688.78	1044.52	305.55	1651.0	1030.12	854.13	764.36	279.14	1250.98	825.0	6.89	0.0	4.5	0.0	0.0	0.0	0.0	612.11	84.63	0.0	0.46	1.43	1.39	36.79	74.06	21.16	81.14	2.81	42.11	0.89	0.89	0.25	3.14
FRYL	1950.0	2573.36	2520.38	2591.27	559.28	669.92	3168.41	2061.24	2935.74	2193.99	2119.22	1457.23	1561.89	3190.46	2384.37	2816.11	2609.3	967.76	2935.74	2796.65	567.1	616.37	518.15	209.84	309.83	279.14	256.78	271.48	329.84	348.71	490.14	287.01	366.09	693.58	387.02	356.05	312.0	420.68	279.14	414.87	409.15	412.0	412.0
FUCA1	3901.01	6840.04	3955.48	6561.36	1135.2	2271.4	3467.27	3742.05	4123.49	2645.74	2645.74	1498.22	2591.27	4481.23	2739.08	3847.29	3491.39	1233.75	4239.45	2956.17	665.29	466.88	318.57	2701.35	1651.0	1709.26	1427.22	1594.73	1059.11	579.04	1437.15	872.1	1378.57	647.07	866.07	688.78	954.43	718.08	2400.97	1487.87	780.44	878.17	1519.15
FZD5	785.88	1242.34	934.76	1167.14	211.31	180.02	848.22	848.22	1023.0	660.68	532.74	361.04	532.74	1242.34	860.08	836.53	896.64	312.0	1159.07	928.3	33.78	41.22	190.34	36.01	103.69	36.01	38.67	73.03	115.97	260.38	169.07	172.65	262.2	414.87	420.68	199.85	279.14	262.2	46.18	236.21	63.89	102.25	35.0
GCNT3	6471.02	19754.96	6381.92	25354.3	262.2	181.28	5594.3	10084.54	7537.18	3820.7	3081.75	3742.05	3168.41	6037.61	6037.61	6207.38	5329.3	909.17	7081.29	3564.78	0.0	0.0	2.63	141.02	27.84	84.63	91.41	45.85	483.38	16.88	5.82	13.12	6.41	295.11	420.68	255.0	58.3	24.81	9.7	20.26	4.7	20.26	11.64
GDPD2	555.41	967.76	842.36	1721.16	27.44	19.11	769.69	961.07	866.07	587.13	409.15	379.04	156.59	713.11	1167.14	884.29	890.44	84.63	1051.79	679.29	0.0	0.0	1.55	0.45	178.77	0.95	0.47	11.21	2.76	0.0	0.0	0.0	0.41	0.39	17.64	0.0	7.34	4.86	1.69	0.0	2.16	1.45	0.09
GIPC1	6792.79	6607.01	5329.3	11664.82	4038.61	3235.01	6079.61	5791.62	4095.0	4298.64	5292.48	5292.48	3982.99	8134.41	5633.22	5672.41	5517.27	3665.02	5831.91	5147.73	2133.97	2240.11	1794.29	1963.57	2796.65	2287.2	2935.74	1628.26	878.17	1757.34	693.58	1407.55	1447.15	1447.15	2303.12	2777.33	1769.57	2485.67	2400.97	1883.54	1529.73	1685.71	1037.29
GLYCTK	872.1	1388.16	967.76	1104.13	389.72	271.48	1044.52	728.11	1135.2	872.1	1350.18	1250.98	669.92	1407.55	961.07	915.51	1487.87	595.34	1088.92	967.76	118.43	100.13	65.72	307.69	559.28	318.57	473.41	1286.18	237.86	193.01	182.55	190.34	130.6	217.27	234.57	237.86	217.27	121.79	72.52	226.54	157.68	157.68	351.14
GPR35	1457.23	1151.06	1583.71	2417.67	376.41	285.03	1709.26	1286.18	1417.35	1378.57	1340.84	612.11	813.63	1551.09	1651.0	1628.26	1745.2	638.15	1745.2	1806.78	101.54	104.42	81.14	22.43	25.35	22.75	20.56	19.25	13.83	647.07	88.26	43.32	102.97	303.44	269.6	144.01	111.99	214.27	8.13	46.5	63.45	99.43	44.25
GPT	4607.24	6079.61	4937.99	5147.73	633.73	172.65	5219.6	2468.49	5329.3	3395.89	7537.18	5594.3	2609.3	5517.27	3515.68	4210.15	7433.4	1427.22	4210.15	4298.64	64.8	17.0	34.51	551.56	271.48	5.32	59.13	1583.71	63.89	61.25	132.44	42.11	50.98	38.95	217.27	283.05	435.55	73.03	55.89	15.68	32.13	21.63	37.32
GSKIP	2193.99	3614.55	2178.83	4328.55	848.22	718.08	2255.7	2319.15	2417.67	1551.09	1397.83	1051.79	1199.98	2047.0	1551.09	1857.6	2209.26	708.18	2255.7	1651.0	189.02	273.37	151.22	384.34	312.0	295.11	299.25	316.37	432.53	454.09	285.03	395.18	351.14	525.39	420.68	409.15	463.65	376.41	244.57	204.07	221.86	258.57	204.07
GSTK1	9088.59	10084.54	10959.3	11584.24	5913.33	4836.35	10959.3	7803.01	11112.3	9474.59	11745.96	7749.1	7382.04	11424.74	8538.88	13033.07	13586.57	6561.36	10659.59	9876.98	3982.99	3212.66	2976.74	12676.65	10368.08	14065.74	11584.24	9025.81	2468.49	4769.75	3742.05	4181.07	3614.55	4972.34	4512.4	4972.34	5872.48	4607.24	4010.71	4388.98	5292.48	7433.4	5112.16
GUCA2B	9945.68	28328.16	5831.91	77396.54	525.39	1051.79	9808.75	34396.12	26614.89	10296.45	1268.46	5006.93	1870.53	15824.9	19082.0	6983.79	5366.37	500.46	12943.04	4836.35	17.9	0.0	0.0	0.0	0.0	0.0	0.0	7.11	0.0	0.0	0.0	0.0	0.0	3.89	497.0	122.64	1242.34	15.0	0.0	0.0	0.0	0.0	0.0
GUCY2C	1639.59	2758.13	2119.22	2537.92	165.57	115.97	2209.26	1870.53	2720.15	1639.59	1295.13	693.58	1135.2	2664.15	1651.0	2573.36	2148.82	420.68	2555.58	1977.24	0.0	0.0	3.2	2.2	4.54	2.81	0.46	2.68	0.0	0.0	2.27	0.42	1.19	15.56	3.72	19.11	5.54	2.97	0.0	0.0	0.0	0.0	0.16
HDHD3	2682.69	4010.71	3742.05	5292.48	1331.57	967.76	3665.02	3303.0	3372.43	2796.65	3847.29	3395.89	2193.99	3614.55	3419.52	3540.14	4152.18	1697.45	3928.15	3146.52	567.1	587.13	269.6	429.54	813.63	698.41	656.11	1883.54	406.31	1457.23	1001.93	624.99	796.86	915.51	1135.2	1331.57	2075.59	620.67	483.38	1127.35	967.76	813.63	785.88
HNF4A	3419.52	5147.73	4358.66	6561.36	543.96	339.14	5366.37	4095.0	5006.93	3372.43	3280.18	2895.31	2255.7	5791.62	4972.34	4903.87	5112.16	1540.37	5954.47	4210.15	0.0	0.0	0.0	1.83	0.88	9.56	2.92	1605.83	2.46	0.0	1.89	0.0	1.19	120.1	149.12	138.1	156.59	14.35	0.0	0.0	2.58	0.0	2.48
HSD11B2	26800.01	22380.2	30785.28	42054.3	1769.57	1844.76	32994.92	22535.88	27745.15	24490.61	27363.16	14065.74	13776.25	30572.63	25179.16	30785.28	35856.82	5329.3	32994.92	28132.47	497.0	40.36	13.12	14765.09	55877.28	34158.52	48643.87	61999.83	5594.3	94.67	169.07	189.02	848.22	142.01	146.03	133.36	295.11	183.82	164.42	441.64	267.73	229.72	514.56
HSD17B2	3955.48	16611.71	5633.22	11909.94	153.34	1208.34	3639.7	7642.41	6037.61	5183.54	2895.31	1870.53	1487.87	6516.03	5403.7	6337.83	4152.18	303.44	8363.13	4066.71	7.4	1.91	0.0	11.82	7.0	10.24	11.21	12.18	55.49	53.95	5.32	10.0	13.62	125.24	1051.79	674.59	165.57	32.13	1.31	0.0	5.28	0.8	31.0
IL22RA1	540.19	872.1	647.07	1896.65	63.0	88.26	802.41	1127.35	1127.35	587.13	258.57	351.14	177.53	1059.11	961.07	698.41	629.35	127.89	890.44	463.65	21.78	25.35	20.11	0.0	0.0	0.0	0.51	21.47	0.0	7.82	5.02	4.9	16.15	24.28	159.9	82.87	69.03	17.51	23.76	32.13	115.97	153.34	13.93
ITPKA	884.29	1870.53	1529.73	2018.8	277.2	107.38	1457.23	1111.82	1216.75	830.75	1044.52	836.53	429.54	1437.15	1199.98	1857.6	1794.29	353.59	1857.6	1369.04	66.18	81.71	10.71	12.64	111.99	51.71	108.14	0.0	4.9	11.47	7.28	8.13	8.78	73.03	94.01	146.03	205.5	43.63	15.91	11.82	15.11	16.03	32.82
KCTD5	941.27	1477.58	1096.5	1540.37	599.49	679.29	884.29	842.36	961.07	723.08	884.29	684.02	780.44	1001.93	830.75	1151.06	1096.5	525.39	1001.93	860.08	309.83	334.46	253.23	236.21	438.59	283.05	316.37	249.73	289.02	356.05	373.81	297.17	356.05	412.0	392.44	500.46	414.87	412.0	314.17	264.03	214.27	361.04	379.04
KIAA2013	1883.54	1733.13	1883.54	3212.66	1233.75	1096.5	1757.34	2224.63	1909.85	1733.13	1487.87	1096.5	1359.57	2271.4	1950.0	1745.2	1963.57	1151.06	2271.4	1844.76	842.36	1151.06	775.05	878.17	780.44	656.11	743.43	981.29	708.18	866.07	769.69	1030.12	1135.2	988.12	1487.87	1331.57	1135.2	1242.34	1378.57	921.88	764.36	860.08	723.08
KLC4	2224.63	2148.82	2956.17	3349.13	1963.57	860.08	3103.19	2287.2	2855.44	2104.58	2701.35	2319.15	1819.35	3874.05	2758.13	2835.7	3124.78	1883.54	3081.75	2875.3	848.22	896.64	713.11	633.73	379.04	332.14	397.93	1498.22	406.31	642.59	733.19	708.18	738.29	616.37	808.0	860.08	791.35	915.51	432.53	902.89	967.76	775.05	1268.46
KLHL34	16.27	56.28	21.32	66.65	3.5	6.89	13.52	8.06	35.25	4.31	12.55	5.82	12.74	23.76	12.93	12.45	25.54	0.0	21.16	11.04	0.0	0.42	1.64	6.57	0.0	1.39	4.17	0.0	0.0	0.0	0.0	0.0	0.74	2.84	0.0	10.31	0.0	4.66	0.0	0.47	0.0	0.0	0.31
KRT12	15.8	37.32	34.75	82.29	3.14	3.11	30.56	57.49	43.94	30.34	21.16	43.63	9.06	40.93	50.98	88.26	54.33	0.0	38.4	14.35	0.0	0.0	2.14	0.44	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	1.45	0.0	0.0	0.0	0.51	1.31	0.0	0.51
LDHD	2351.53	2875.3	1950.0	3901.01	291.04	361.04	1417.35	1583.71	1819.35	1757.34	2193.99	2609.3	1359.57	4010.71	1617.0	2502.97	2417.67	532.74	3303.0	1427.22	127.89	54.33	129.69	2956.17	2758.13	2485.67	2351.53	4152.18	102.97	432.53	36.01	406.31	460.44	64.8	420.68	366.09	848.22	96.68	38.95	420.68	656.11	228.13	466.88
LGALS3	52497.92	84109.6	56657.31	80125.95	11189.6	22535.88	49666.0	54349.29	57448.23	40621.74	42641.37	20593.91	28132.47	68318.04	42937.97	79572.48	69753.56	17317.18	65082.31	48307.85	11267.44	7081.29	6792.79	42641.37	31432.17	43840.21	37901.36	3190.46	1769.57	3039.3	1066.48	3794.3	4298.64	4903.87	7081.29	11584.24	4802.93	9540.5	15824.9	961.07	2434.5	10154.69	12329.98
LGALS9B	486.75	2609.3	1030.12	884.29	185.11	158.79	1605.83	518.15	1674.06	995.0	1059.11	1023.0	339.14	2682.69	2255.7	1617.0	902.89	141.02	1059.11	503.95	12.55	16.39	4.5	0.0	0.42	0.95	0.0	3.11	0.0	5.45	0.0	3.76	35.25	7.51	80.01	23.93	283.05	8.0	1.22	0.0	2.68	1.6	6.94
LRRC31	941.27	1417.35	1037.29	921.88	120.1	66.18	967.76	890.44	1313.23	819.3	718.08	480.04	624.99	1769.57	1127.35	1175.27	1242.34	256.78	1388.16	1073.91	0.0	0.0	0.0	59.55	45.21	32.13	29.06	5.06	0.0	7.4	13.83	8.99	12.55	24.46	98.73	63.89	59.97	1.5	0.0	0.0	0.0	0.0	0.0
MAP2K6	1135.2	1662.49	1208.34	1304.15	356.05	379.04	1844.76	708.18	1159.07	733.19	1051.79	748.61	624.99	1487.87	921.88	1088.92	1313.23	417.77	1088.92	995.0	68.55	110.43	47.5	14.56	139.07	72.52	23.93	305.55	85.22	212.78	486.75	43.02	289.02	66.65	134.3	88.26	110.43	133.36	41.81	108.14	90.14	134.3	703.28
MCOLN2	718.08	1551.09	2520.38	1159.07	76.17	123.5	1286.18	1991.0	2287.2	647.07	244.57	607.87	854.13	2119.22	1508.65	301.33	444.72	307.69	1605.83	329.84	47.84	6.41	15.11	120.1	12.27	13.83	1.95	10.0	12.18	43.32	231.32	120.94	71.0	236.21	33.78	52.45	49.91	5.92	30.12	21.16	26.67	127.89	34.26
MEP1A	7280.4	17197.56	9025.81	24660.96	89.51	202.66	8658.09	16611.71	14461.21	7857.29	2816.11	1044.52	1991.0	9606.86	8840.04	10296.45	7642.41	450.94	14561.8	7230.1	0.0	0.0	0.0	0.0	0.0	1.89	1.91	0.0	1.39	12.45	6.41	0.82	1.53	2.51	9.7	47.84	94.01	0.0	0.0	0.0	1.87	0.0	0.0
MGAT4B	10014.87	14561.8	14663.09	14262.1	3982.99	3124.78	12943.04	9673.69	12943.04	10585.95	11992.79	9740.98	6561.36	14765.09	11504.21	13399.51	14361.31	4388.98	14971.21	12589.08	1923.14	1572.76	1832.01	7695.57	4769.75	4607.24	6121.9	1909.85	2193.99	3280.18	1709.26	2163.77	1540.37	1427.22	3168.41	2777.33	2417.67	1407.55	4038.61	1909.85	2047.0	2303.12	1051.79
MLX	1870.53	2417.67	2417.67	2520.38	1037.29	1167.14	2351.53	1923.14	2335.28	1651.0	1883.54	1923.14	1437.15	2163.77	1950.0	2047.0	2255.7	1030.12	2193.99	1832.01	878.17	563.18	866.07	1037.29	305.55	318.57	265.87	603.67	417.77	961.07	872.1	1023.0	791.35	909.17	1015.93	1037.29	1487.87	708.18	780.44	1135.2	813.63	878.17	624.99
MMP15	1519.15	2303.12	1819.35	2627.46	723.08	896.64	2018.8	1427.22	1709.26	1407.55	1662.49	967.76	1096.5	1870.53	1709.26	1781.89	2240.11	543.96	2004.85	1674.06	447.82	915.51	131.51	547.75	1477.58	518.15	688.78	100.83	309.83	397.93	170.25	112.77	156.59	142.01	780.44	624.99	780.44	435.55	373.81	1540.37	1259.69	2384.37	414.87
MPST	4181.07	7130.55	5366.37	10084.54	1963.57	2193.99	6037.61	5831.91	6426.31	5913.33	5791.62	3928.15	3081.75	6983.79	5872.48	5329.3	6079.61	2209.26	7589.61	6471.02	1008.9	1175.27	2591.27	466.88	1250.98	796.86	967.76	1662.49	473.41	4358.66	1295.13	2573.36	1721.16	1651.0	2935.74	4607.24	3103.19	2075.59	825.0	674.59	718.08	743.43	1757.34
MT-ND3	1034138.94	992012.34	1108362.75	1255646.43	1739208.14	2171106.91	1524599.69	1196176.45	1179708.33	1100706.72	3626130.97	1282030.25	1108362.75	1545882.32	1273174.62	1336472.68	1026995.62	1155430.26	2082664.91	1432396.03	1611529.43	2111737.85	1668359.93	2986448.72	2310861.52	2294899.22	4464291.11	2392353.91	3502611.6	1800541.22	1462493.73	1645391.11	1462493.73	1656835.72	2691538.19	1622738.51	2767207.65	1668359.93	1929772.37	1751305.3	1600397.78	2011721.67	1890058.21
MVP	9215.48	10959.3	10659.59	14262.1	3665.02	4210.15	11504.21	7749.1	11035.54	8078.22	8840.04	6983.79	5594.3	11112.3	7695.57	11664.82	11112.3	5594.3	11909.94	9279.58	4802.93	2148.82	2351.53	4010.71	2537.92	4239.45	3325.99	1757.34	2047.0	1135.2	642.59	941.27	1832.01	2434.5	2997.45	3742.05	1487.87	2555.58	3768.09	1151.06	1295.13	2163.77	1378.57
NDUFA10	5329.3	6652.97	6121.9	6164.49	4512.4	3060.45	5147.73	5329.3	6607.01	4639.29	6294.04	3639.7	4937.99	7589.61	5403.7	6516.03	6607.01	3303.0	6887.62	5995.9	2915.45	3395.89	3212.66	7331.05	2701.35	3820.7	3564.78	3768.09	2835.7	2956.17	2209.26	4210.15	2875.3	2417.67	3325.99	2485.67	5954.47	2319.15	1721.16	2956.17	2434.5	2417.67	2758.13
NDUFS3	5441.3	5076.84	5479.15	5479.15	3820.7	2537.92	4937.99	4802.93	5147.73	4543.8	5329.3	4123.49	4903.87	5672.41	4388.98	4903.87	6037.61	2895.31	4836.35	4639.29	1583.71	2645.74	1417.35	5751.61	2224.63	5403.7	5594.3	4066.71	2520.38	1936.53	2935.74	2777.33	2468.49	2047.0	2148.82	2163.77	3614.55	1721.16	2555.58	2367.9	1628.26	2351.53	1519.15
NDUFV1	7642.41	6792.79	9606.86	6250.56	6121.9	3639.7	7857.29	5633.22	7911.95	6935.54	9740.98	6935.54	6699.25	9025.81	6745.86	7695.57	10512.82	6121.9	8134.41	8598.28	4512.4	3982.99	3372.43	10883.59	5403.7	8078.22	10368.08	6471.02	2915.45	3467.27	4607.24	4298.64	4066.71	2520.38	3325.99	2664.15	5479.15	2997.45	2178.83	4704.07	4769.75	4210.15	5147.73
NEU4	2255.7	1250.98	2032.85	4038.61	122.64	120.1	2976.74	1519.15	2018.8	1870.53	1191.69	551.56	1216.75	2875.3	2384.37	2004.85	3564.78	500.46	2485.67	1844.76	4.58	2.76	6.11	5.36	0.0	1.45	0.0	57.08	30.78	8.38	15.0	6.21	4.17	2.1	21.47	7.63	19.39	0.0	0.0	6.41	19.39	7.69	10.63
NHSL1	454.09	728.11	486.75	723.08	307.69	147.06	490.14	665.29	466.88	356.05	463.65	432.53	325.29	665.29	450.94	595.34	547.75	251.48	660.68	406.31	127.89	134.3	109.66	205.5	46.84	22.92	10.39	409.15	49.21	42.41	59.13	36.79	22.43	99.43	295.11	189.02	211.31	194.36	98.04	31.45	77.79	31.9	18.16
NR2F6	1437.15	1883.54	1781.89	2976.74	947.83	679.29	1583.71	1697.45	1529.73	1369.04	1551.09	1250.98	981.29	1651.0	1605.83	1572.76	1963.57	836.53	1883.54	1709.26	796.86	866.07	743.43	587.13	1225.22	1030.12	1051.79	503.95	400.71	1143.1	1388.16	1008.9	775.05	373.81	1447.15	1870.53	1617.0	1037.29	551.56	583.07	521.76	503.95	265.87
OTOP2	1159.07	2935.74	1781.89	5555.65	108.9	38.67	1051.79	1225.22	2178.83	1225.22	713.11	1015.93	693.58	2796.65	878.17	1844.76	2018.8	125.24	1991.0	1111.82	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	0.0	0.0	0.0	0.0	0.0	3.26
P2RX4	1733.13	2645.74	2133.97	4575.41	921.88	854.13	2047.0	2739.08	2591.27	1844.76	1819.35	1487.87	1331.57	2758.13	2935.74	2417.67	2384.37	713.11	2956.17	2451.44	500.46	381.68	351.14	559.28	348.71	587.13	483.38	460.44	223.41	616.37	954.43	854.13	785.88	423.61	435.55	848.22	500.46	387.02	426.57	376.41	400.71	738.29	555.41
PADI2	5366.37	15934.98	7966.99	7130.55	460.44	591.22	7130.55	5791.62	8191.0	5872.48	6121.9	4210.15	3928.15	9088.59	5479.15	10084.54	8421.31	1331.57	11992.79	7081.29	106.63	118.43	87.65	22.75	4.54	59.97	16.27	316.37	246.28	44.89	12.36	26.67	35.76	22.59	114.36	42.11	34.02	75.11	37.59	9.78	154.42	113.56	12.45
PCK1	6607.01	15824.9	9344.14	11112.3	1259.69	2047.0	7485.11	8421.31	10585.95	6250.56	5441.3	4388.98	6887.62	34396.12	11189.6	9876.98	8479.89	13399.51	16843.62	10808.41	12.36	16.27	68.07	460.44	420.68	80.01	143.01	6294.04	1551.09	13.72	1.64	10.71	2.68	7.4	223.41	420.68	35.25	40.64	38.4	5.96	12.36	2.36	155.5
PDE6A	51.35	197.09	106.63	220.32	14.56	7.57	120.1	98.04	100.83	52.45	60.39	66.65	62.56	141.02	85.82	95.34	96.01	21.63	105.15	51.35	0.47	0.52	0.0	0.44	0.0	0.47	0.47	0.0	0.0	2.23	1.03	1.81	4.94	4.5	4.66	3.17	1.38	0.85	0.71	0.0	1.75	0.0	2.58
PDSS1	603.67	830.75	713.11	563.18	221.86	236.21	514.56	438.59	616.37	351.14	571.05	483.38	414.87	759.08	420.68	587.13	642.59	323.03	616.37	473.41	123.5	108.9	36.79	95.34	55.1	55.89	49.91	148.09	88.26	78.89	124.37	120.94	122.64	183.82	91.41	204.07	167.9	155.5	94.67	85.22	120.94	58.71	242.88
PIGZ	2075.59	1066.48	3515.68	5041.77	1216.75	412.0	5711.87	1909.85	4450.27	1551.09	1794.29	1540.37	1175.27	6121.9	4210.15	5872.48	5219.6	1225.22	4419.52	3491.39	236.21	307.69	392.44	26.28	12.36	23.42	10.63	47.17	20.26	244.57	215.77	224.97	199.85	201.25	289.02	98.73	85.82	262.2	49.56	63.0	129.69	397.93	91.41
PKIB	4836.35	12415.75	5672.41	12076.21	353.59	669.92	4972.34	6164.49	5913.33	3540.14	3467.27	2720.15	2758.13	5995.9	5112.16	5517.27	5594.3	559.28	6935.54	4010.71	40.07	9.78	3.56	152.28	435.55	1397.83	283.05	73.54	32.36	423.61	1127.35	796.86	368.65	53.19	255.0	325.29	500.46	52.45	209.84	70.51	51.35	153.34	53.57
PKP2	2032.85	3467.27	1950.0	2573.36	460.44	312.0	1896.65	1721.16	2287.2	1477.58	1733.13	1259.69	1259.69	2835.7	1551.09	2047.0	2451.44	1369.04	2520.38	1561.89	24.81	8.58	14.56	147.06	295.11	218.79	100.13	191.67	24.46	269.6	253.23	189.02	248.0	460.44	312.0	327.56	201.25	123.5	90.77	1.04	37.05	39.22	153.34
PLAC8	11584.24	26800.01	13586.57	76861.91	848.22	1844.76	22380.2	23492.92	19082.0	8718.32	6207.38	10154.69	4268.94	17437.64	17927.91	13681.08	12244.81	1286.18	14971.21	8538.88	38.95	43.94	61.25	8.99	3.41	95.34	28.65	66.18	38.95	39.79	19.82	87.03	139.07	1572.76	1639.59	743.43	890.44	153.34	723.08	40.07	110.43	218.79	603.67
PLS1	5633.22	12764.83	6164.49	14663.09	400.71	476.71	4937.99	8538.88	7485.11	3847.29	2163.77	1350.18	2468.49	6471.02	5329.3	5441.3	4736.79	665.29	7280.4	3716.2	12.64	18.29	5.28	297.17	112.77	111.99	107.38	258.57	66.65	26.67	22.59	29.7	52.45	99.43	420.68	483.38	387.02	59.97	75.11	90.14	43.02	73.54	18.97
PPP1R14D	6121.9	11504.21	8305.36	16383.0	447.82	780.44	7331.05	7230.1	7230.1	5913.33	6840.04	4358.66	4543.8	9151.82	7749.1	7280.4	8305.36	743.43	7749.1	6250.56	0.0	0.0	0.0	5.45	17.38	5.28	13.42	41.81	17.64	14.56	12.83	48.87	17.77	27.44	31.45	30.56	25.17	26.67	11.73	23.42	18.84	7.63	0.0
PRADC1	1551.09	1199.98	1313.23	1001.93	1233.75	753.83	1088.92	1407.55	1111.82	1313.23	1225.22	878.17	1111.82	1199.98	1037.29	1159.07	1896.65	698.41	1417.35	1378.57	723.08	1167.14	536.45	1407.55	748.61	703.28	620.67	616.37	438.59	723.08	759.08	1037.29	438.59	293.07	753.83	974.5	890.44	896.64	275.28	647.07	591.22	665.29	275.28
PRSS3	6840.04	10368.08	9540.5	16383.0	738.29	1268.46	9740.98	10368.08	10512.82	5954.47	4607.24	4419.52	4038.61	10440.2	8479.89	9151.82	7695.57	1104.13	10225.32	7130.55	29.7	127.89	82.29	0.0	2.94	40.64	12.74	156.59	24.99	0.0	3.32	28.45	8.32	785.88	483.38	141.02	267.73	334.46	22.26	15.22	3.56	1.36	1.5
PRSS36	163.28	152.28	208.38	256.78	49.21	137.14	229.72	183.82	163.28	171.45	149.12	139.07	134.3	199.85	249.73	197.09	172.65	59.55	152.28	134.3	83.45	31.9	29.48	16.63	25.72	38.95	25.17	25.72	8.13	43.32	32.59	46.84	38.12	120.1	87.65	111.99	187.71	87.03	38.95	38.67	42.11	26.28	38.95
PTPRH	1437.15	3235.01	1697.45	3794.3	299.25	366.09	2287.2	2018.8	2075.59	1199.98	1277.29	1259.69	629.35	2335.28	1963.57	2018.8	1883.54	412.0	2163.77	1467.37	39.5	53.95	85.22	1.81	1.28	2.39	2.86	0.64	0.0	7.51	11.55	4.46	3.14	111.21	224.97	137.14	277.2	18.29	4.13	0.52	5.96	3.03	11.47
PXMP2	2664.15	3614.55	3257.52	4358.66	909.17	642.59	2997.45	2645.74	2875.3	2468.49	2816.11	1819.35	2004.85	3742.05	2997.45	3124.78	3690.52	854.13	3955.48	3060.45	358.54	525.39	813.63	1208.34	633.73	361.04	236.21	2075.59	713.11	1572.76	703.28	1066.48	738.29	438.59	1417.35	1407.55	2555.58	563.18	226.54	514.56	283.05	283.05	351.14
PYCARD	3124.78	3395.89	3491.39	2485.67	638.15	1832.01	2956.17	2720.15	2701.35	2609.3	3515.68	1487.87	2319.15	3716.2	2271.4	3349.13	3614.55	1030.12	3168.41	2537.92	429.54	463.65	376.41	98.73	66.18	406.31	264.03	145.02	42.41	253.23	136.19	353.59	759.08	1883.54	1030.12	1697.45	934.76	1175.27	860.08	356.05	229.72	896.64	1008.9
RIMKLA	97.36	212.78	110.43	177.53	81.14	37.85	66.18	187.71	105.15	65.26	38.67	81.14	82.87	120.1	137.14	64.34	90.77	39.79	132.44	84.04	12.45	46.5	11.13	12.09	2.16	3.38	1.95	15.34	2.34	19.53	36.79	14.45	17.51	31.0	42.41	9.56	24.46	20.71	2.81	6.84	16.75	18.97	2.03
RP1-4G17.5	24.28	42.11	27.05	42.41	13.42	0.0	48.52	27.84	52.08	37.32	47.84	33.3	43.63	68.07	0.0	53.95	79.45	28.45	25.54	46.5	0.0	0.0	0.0	3.66	0.0	0.0	3.89	0.0	3.06	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.0	0.0	6.94	0.0	0.0	0.0
