	GTEX.ZF29.1926.SM.5S2P1	GTEX.117YW.1826.SM.5PNY5	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.139YR.0226.SM.5IFEM	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.CG.5734.11A.01R.1602.13	GTEX.ZYY3.1726.SM.5EGH3
NUP133	884.29	169.07	204.07	237.86	124.37	158.79	169.07	165.57	211.31	117.6	158.79	301.33	346.29	426.57	426.57	406.31	287.01	447.82	417.77	123.5	463.65	329.84	361.04	334.46	189.02	397.93	441.64	543.96	351.14	246.28	563.18	450.94	379.04	209.84	476.71	409.15	96.68	379.04	743.43	441.64	414.87	417.77	301.33	366.09	332.14	543.96	395.18	620.67	444.72	387.02	371.22	406.31	591.22	277.2	486.75	429.54	341.51	629.35	309.83	167.9	75.64
ORMDL1	1697.45	473.41	444.72	1015.93	420.68	314.17	387.02	579.04	660.68	366.09	532.74	503.95	775.05	947.83	1832.01	1313.23	713.11	1605.83	785.88	447.82	1540.37	813.63	1697.45	1628.26	796.86	1143.1	1844.76	1639.59	974.5	642.59	1378.57	1378.57	1242.34	493.56	2682.69	1457.23	642.59	954.43	1709.26	1745.2	1551.09	915.51	974.5	1199.98	890.44	2047.0	830.75	3018.3	2537.92	1295.13	1015.93	1651.0	1628.26	947.83	3168.41	1963.57	860.08	1832.01	514.56	607.87	460.44
PMS1	289.02	36.53	10.08	63.45	42.71	29.48	54.72	80.57	73.54	26.1	59.55	71.0	114.36	118.43	182.55	145.02	182.55	158.79	90.77	57.89	193.01	101.54	180.02	157.68	57.49	158.79	147.06	177.53	111.99	101.54	220.32	181.28	152.28	80.01	217.27	170.25	50.98	91.41	176.29	204.07	193.01	127.89	91.41	150.17	84.63	178.77	172.65	220.32	156.59	153.34	126.12	151.22	297.17	105.15	177.53	208.38	155.5	256.78	72.52	44.25	57.89
POLR3F	417.77	24.63	57.89	55.89	57.89	48.87	48.87	64.34	85.22	30.56	65.72	68.07	133.36	151.22	181.28	248.0	167.9	206.94	126.12	49.56	265.87	237.86	140.04	166.73	63.0	157.68	190.34	224.97	162.14	141.02	223.41	229.72	226.54	74.06	223.41	182.55	43.94	70.51	217.27	237.86	180.02	95.34	107.38	145.02	102.25	212.78	141.02	287.01	303.44	173.85	161.02	206.94	228.13	87.65	205.5	162.14	131.51	190.34	119.26	76.71	18.7
PPWD1	1008.9	212.78	72.52	136.19	163.28	79.45	120.1	144.01	218.79	62.12	89.51	140.04	356.05	332.14	974.5	400.71	316.37	507.46	356.05	161.02	665.29	669.92	447.82	651.58	271.48	583.07	785.88	802.41	381.68	164.42	723.08	629.35	555.41	229.72	954.43	633.73	248.0	295.11	785.88	791.35	753.83	529.06	351.14	540.19	283.05	638.15	525.39	1030.12	1051.79	603.67	381.68	575.03	728.11	447.82	780.44	688.78	483.38	583.07	178.77	215.77	153.34
RAD17	571.05	142.01	125.24	191.67	177.53	131.51	169.07	177.53	167.9	155.5	148.09	150.17	258.57	334.46	426.57	466.88	336.79	409.15	341.51	96.68	417.77	253.23	389.72	379.04	142.01	387.02	373.81	392.44	314.17	191.67	447.82	432.53	435.55	106.63	441.64	420.68	100.83	204.07	511.0	376.41	389.72	228.13	175.07	332.14	255.0	351.14	283.05	414.87	547.75	412.0	295.11	379.04	438.59	267.73	438.59	423.61	356.05	368.65	218.79	211.31	115.16
RANBP6	559.28	150.17	65.26	80.57	131.51	96.68	144.01	112.77	124.37	73.54	53.57	62.56	248.0	150.17	172.65	176.29	142.01	256.78	154.42	40.93	262.2	339.14	208.38	202.66	81.14	166.73	224.97	224.97	199.85	212.78	314.17	223.41	253.23	75.11	232.94	204.07	118.43	123.5	348.71	208.38	180.02	156.59	144.01	201.25	147.06	242.88	158.79	209.84	366.09	273.37	166.73	136.19	387.02	80.01	220.32	161.02	197.09	185.11	299.25	48.18	59.97
RBAK	229.72	14.03	9.34	34.02	52.08	12.36	67.12	46.18	38.95	25.91	49.21	26.86	85.82	57.49	79.45	89.51	61.25	111.99	45.53	18.16	117.6	134.3	71.5	77.79	62.56	87.03	107.38	105.89	78.89	26.67	171.45	90.14	96.68	45.21	172.65	116.78	34.75	75.11	115.97	166.73	92.7	101.54	44.57	84.63	46.84	132.44	43.02	177.53	145.02	104.42	57.89	64.8	187.71	37.05	162.14	97.36	47.84	142.01	59.55	44.25	50.63
RNF219	275.28	15.56	21.32	38.4	25.54	11.3	36.27	28.65	39.79	4.94	21.47	49.56	108.9	98.04	175.07	146.03	72.52	132.44	85.22	36.01	189.02	83.45	70.51	163.28	65.26	185.11	150.17	177.53	103.69	63.45	194.36	145.02	190.34	77.25	169.07	154.42	43.94	57.49	258.57	146.03	155.5	96.68	76.71	82.29	75.64	118.43	108.9	148.09	260.38	137.14	139.07	127.89	141.02	63.45	127.89	124.37	122.64	187.71	110.43	42.71	49.21
RP11-690P14.4	3.92	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	1.11	4.28	3.41	0.67	0.49	4.06	2.46	0.78	5.06	1.22	1.73	3.23	1.51	1.57	1.83	3.41	3.5	0.0	0.71	1.55	3.29	2.01	4.78	2.05	0.32	1.53	2.86	3.38	2.89	0.93	0.89	2.1	2.32	7.22	1.25	3.47	6.01	4.13	1.03	1.08	8.92	1.53	4.28	5.28	3.44	3.86	0.0	0.0	0.21
RRAGB	791.35	96.68	248.0	75.64	63.45	49.91	81.14	78.34	118.43	85.22	48.18	181.28	239.52	406.31	947.83	563.18	146.03	293.07	285.03	146.03	638.15	281.09	507.46	412.0	265.87	231.32	277.2	647.07	450.94	178.77	412.0	397.93	466.88	251.48	665.29	409.15	314.17	318.57	473.41	563.18	559.28	295.11	316.37	414.87	275.28	620.67	466.88	743.43	444.72	332.14	241.19	397.93	808.0	454.09	547.75	698.41	320.8	500.46	147.06	100.83	66.65
RSBN1L	351.14	89.51	18.03	87.03	80.01	32.59	83.45	89.51	85.82	64.8	167.9	135.24	130.6	228.13	289.02	327.56	149.12	251.48	265.87	126.12	323.03	232.94	206.94	231.32	119.26	291.04	299.25	291.04	248.0	85.22	267.73	320.8	305.55	202.66	267.73	283.05	130.6	185.11	353.59	301.33	277.2	351.14	193.01	185.11	165.57	320.8	206.94	361.04	341.51	242.88	217.27	229.72	279.14	239.52	358.54	234.57	281.09	273.37	223.41	100.83	95.34
SECISBP2	1135.2	420.68	157.68	314.17	432.53	212.78	341.51	426.57	438.59	297.17	351.14	353.59	808.0	529.06	1340.84	547.75	791.35	1104.13	651.58	503.95	995.0	1044.52	878.17	713.11	620.67	902.89	848.22	1427.22	703.28	603.67	928.3	974.5	1001.93	289.02	981.29	884.29	152.28	759.08	1277.29	1233.75	988.12	1037.29	1001.93	947.83	423.61	848.22	866.07	1322.37	896.64	1008.9	759.08	457.25	1359.57	884.29	974.5	866.07	728.11	1225.22	525.39	376.41	269.6
SENP7	518.15	62.12	13.03	44.25	44.57	15.91	35.5	63.45	43.94	18.84	32.59	83.45	102.25	146.03	297.17	140.04	82.87	239.52	164.42	69.52	262.2	82.29	162.14	165.57	52.45	208.38	237.86	251.48	126.12	75.64	246.28	206.94	186.4	89.51	409.15	241.19	47.5	108.14	275.28	343.89	283.05	149.12	129.69	208.38	87.03	297.17	173.85	316.37	438.59	182.55	127.89	175.07	409.15	156.59	303.44	177.53	182.55	275.28	68.55	46.18	49.91
SFSWAP	629.35	246.28	180.02	220.32	191.67	142.01	211.31	185.11	244.57	112.77	189.02	185.11	525.39	400.71	825.0	339.14	463.65	638.15	473.41	264.03	785.88	848.22	642.59	620.67	291.04	624.99	579.04	703.28	403.5	392.44	358.54	397.93	529.06	214.27	543.96	629.35	217.27	395.18	511.0	669.92	599.49	417.77	540.19	591.22	351.14	603.67	397.93	785.88	595.34	728.11	511.0	312.0	470.14	457.25	684.02	665.29	348.71	607.87	363.56	287.01	147.06
SFTPC	0.0	1.23	6.94	0.0	0.0	65.26	0.0	5.54	0.0	3.99	0.0	3113270.58	2.880867455E7	2.051249903E7	1.848689914E7	5.882801313E7	1.748967224E7	2.18328924E7	7.92550749E7	303217.87	1.353320203E7	3.402283342E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.4225111E7	2.880867455E7	2.542950323E7	2.260282772E7	77934.88	2.339991475E7	5.761735011E7	84694.64	1.36273329E7	3.801327429E7	1.470700253E7	2.260282772E7	4.878722096E7	3.72309724E7	2.49061716E7	1.430483875E7	2.276004283E7	2.138357795E7	2.706640506E7	1.410789979E7	2.525384881E7	5.228884881E7	2.198475218E7	2.009035788E7	1.0826562323E8	2.037080884E7	3.109113511E7	6.17527469E7	2.578448588E7	1.835920079E7	7.88	15.45
SLC25A46	981.29	323.03	114.36	197.09	241.19	124.37	287.01	285.03	226.54	273.37	299.25	194.36	511.0	486.75	595.34	808.0	277.2	684.02	417.77	123.5	693.58	708.18	514.56	518.15	244.57	500.46	497.0	497.0	426.57	351.14	693.58	389.72	878.17	129.69	612.11	647.07	122.64	283.05	620.67	525.39	665.29	373.81	547.75	426.57	253.23	679.29	368.65	688.78	836.53	476.71	525.39	532.74	633.73	244.57	802.41	480.04	295.11	642.59	343.89	332.14	123.5
SLTM	1896.65	1059.11	232.94	412.0	571.05	348.71	547.75	579.04	525.39	336.79	457.25	307.69	947.83	684.02	2004.85	954.43	947.83	1427.22	1037.29	450.94	1498.22	1151.06	1467.37	909.17	738.29	1030.12	1183.45	1023.0	1397.83	511.0	1199.98	988.12	995.0	713.11	854.13	1857.6	358.54	579.04	1769.57	1407.55	1037.29	1313.23	679.29	1369.04	616.37	909.17	791.35	1313.23	2148.82	1175.27	1359.57	954.43	1427.22	802.41	1127.35	2047.0	1295.13	1359.57	878.17	825.0	890.44
SREK1	1697.45	457.25	43.94	177.53	214.27	66.65	273.37	232.94	279.14	83.45	309.83	182.55	529.06	414.87	1008.9	435.55	438.59	708.18	387.02	392.44	896.64	1457.23	733.19	503.95	346.29	802.41	780.44	723.08	463.65	607.87	718.08	435.55	674.59	258.57	842.36	928.3	231.32	348.71	1111.82	860.08	693.58	802.41	583.07	571.05	480.04	603.67	638.15	819.3	1096.5	860.08	441.64	348.71	1066.48	466.88	624.99	497.0	555.41	759.08	316.37	769.69	406.31
STXBP3	1127.35	353.59	175.07	281.09	258.57	153.34	271.48	295.11	329.84	214.27	325.29	426.57	473.41	651.58	583.07	708.18	271.48	830.75	460.44	432.53	915.51	450.94	688.78	540.19	269.6	665.29	703.28	860.08	476.71	351.14	819.3	529.06	819.3	466.88	961.07	559.28	299.25	363.56	1051.79	802.41	743.43	423.61	271.48	551.56	226.54	825.0	665.29	854.13	967.76	575.03	624.99	547.75	769.69	450.94	748.61	490.14	620.67	748.61	514.56	483.38	389.72
TBP	414.87	73.54	154.42	162.14	123.5	92.05	117.6	117.6	125.24	38.95	88.26	57.08	244.57	220.32	414.87	297.17	211.31	314.17	229.72	149.12	358.54	438.59	323.03	371.22	208.38	275.28	297.17	285.03	336.79	162.14	312.0	305.55	356.05	159.9	368.65	373.81	74.06	273.37	307.69	395.18	371.22	351.14	303.44	273.37	242.88	316.37	197.09	384.34	264.03	351.14	334.46	271.48	307.69	181.28	336.79	291.04	271.48	332.14	242.88	228.13	102.97
THUMPD1	1977.24	269.6	132.44	137.14	157.68	101.54	208.38	158.79	134.3	146.03	183.82	206.94	460.44	529.06	587.13	507.46	348.71	808.0	551.56	223.41	830.75	371.22	583.07	480.04	244.57	595.34	718.08	647.07	563.18	193.01	769.69	759.08	796.86	381.68	819.3	674.59	323.03	403.5	769.69	713.11	825.0	536.45	249.73	497.0	183.82	703.28	356.05	981.29	738.29	620.67	476.71	483.38	961.07	473.41	728.11	579.04	397.93	723.08	400.71	157.68	201.25
TRAPPC11	647.07	110.43	135.24	173.85	239.52	146.03	178.77	190.34	150.17	142.01	117.6	271.48	307.69	336.79	473.41	432.53	287.01	353.59	283.05	125.24	441.64	232.94	336.79	358.54	205.5	389.72	366.09	409.15	343.89	195.72	514.56	521.76	384.34	136.19	563.18	412.0	76.71	218.79	514.56	460.44	409.15	293.07	253.23	297.17	176.29	473.41	309.83	532.74	559.28	392.44	384.34	376.41	426.57	287.01	412.0	460.44	356.05	441.64	221.86	167.9	157.68
TRAPPC13	521.76	165.57	105.89	191.67	115.16	84.63	149.12	162.14	164.42	111.99	134.3	198.47	248.0	289.02	379.04	412.0	237.86	480.04	224.97	88.88	497.0	309.83	253.23	332.14	166.73	358.54	336.79	463.65	258.57	301.33	473.41	389.72	389.72	157.68	426.57	429.54	86.43	195.72	660.68	525.39	363.56	186.4	214.27	204.07	329.84	466.88	301.33	363.56	728.11	348.71	363.56	309.83	358.54	251.48	460.44	329.84	316.37	353.59	285.03	158.79	91.41
TRAPPC6B	629.35	128.79	85.82	177.53	262.2	97.36	275.28	242.88	236.21	275.28	127.89	234.57	206.94	334.46	392.44	466.88	224.97	435.55	353.59	156.59	444.72	267.73	400.71	320.8	151.22	368.65	417.77	409.15	291.04	279.14	490.14	397.93	486.75	128.79	493.56	356.05	61.68	232.94	497.0	363.56	358.54	275.28	283.05	332.14	242.88	629.35	287.01	547.75	525.39	409.15	301.33	441.64	435.55	260.38	551.56	273.37	279.14	447.82	241.19	190.34	220.32
TRIM39	447.82	61.68	132.44	106.63	108.14	91.41	119.26	115.16	142.01	68.07	107.38	89.51	358.54	262.2	384.34	244.57	256.78	303.44	305.55	79.45	480.04	684.02	420.68	242.88	218.79	281.09	293.07	351.14	395.18	244.57	376.41	423.61	406.31	84.63	387.02	323.03	246.28	237.86	260.38	384.34	314.17	285.03	334.46	466.88	173.85	384.34	229.72	514.56	348.71	423.61	307.69	194.36	579.04	205.5	217.27	414.87	215.77	587.13	199.85	194.36	78.34
TSNAX	1242.34	323.03	129.69	412.0	279.14	142.01	277.2	295.11	260.38	255.0	190.34	507.46	656.11	819.3	713.11	1111.82	420.68	854.13	647.07	447.82	791.35	620.67	769.69	521.76	295.11	559.28	743.43	728.11	540.19	684.02	633.73	603.67	872.1	198.47	974.5	915.51	215.77	536.45	669.92	587.13	620.67	454.09	785.88	500.46	444.72	1008.9	493.56	995.0	1030.12	559.28	656.11	785.88	457.25	470.14	928.3	638.15	480.04	941.27	599.49	220.32	154.42
TSTD2	493.56	54.33	63.45	69.52	63.45	68.07	71.0	72.01	95.34	17.38	40.93	105.89	281.09	169.07	325.29	218.79	256.78	341.51	220.32	98.04	301.33	267.73	249.73	191.67	156.59	212.78	271.48	211.31	283.05	112.77	325.29	251.48	241.19	104.42	295.11	303.44	65.26	101.54	314.17	303.44	218.79	193.01	155.5	384.34	152.28	232.94	206.94	336.79	356.05	267.73	212.78	175.07	353.59	140.04	246.28	273.37	275.28	395.18	193.01	85.82	41.22
TUBGCP5	406.31	27.44	52.45	83.45	55.49	68.07	66.18	76.71	47.84	59.97	39.22	87.03	172.65	144.01	224.97	181.28	150.17	242.88	129.69	44.89	157.68	241.19	153.34	154.42	97.36	150.17	166.73	191.67	167.9	99.43	185.11	231.32	177.53	27.84	190.34	197.09	17.38	88.26	193.01	212.78	220.32	130.6	156.59	256.78	106.63	249.73	175.07	231.32	182.55	162.14	165.57	152.28	239.52	150.17	177.53	183.82	165.57	208.38	97.36	59.97	40.93
TYW5	151.22	56.68	21.01	34.02	55.1	30.34	52.45	62.12	48.87	21.94	39.22	47.5	70.01	45.85	105.15	88.88	62.12	81.14	39.22	21.01	80.01	127.0	71.0	73.54	47.17	84.04	82.29	90.77	70.01	64.34	102.25	77.79	106.63	48.52	82.87	75.64	24.99	54.72	130.6	115.97	87.03	63.45	53.57	63.45	45.21	93.35	52.82	113.56	139.07	84.04	82.87	67.12	131.51	59.97	112.77	87.03	77.25	99.43	35.5	40.64	52.08
UBE2Q2	769.69	371.22	169.07	120.94	56.28	57.49	44.25	75.64	182.55	30.56	93.35	435.55	327.56	348.71	332.14	733.19	269.6	555.41	441.64	285.03	830.75	435.55	429.54	473.41	312.0	490.14	395.18	486.75	373.81	279.14	599.49	409.15	842.36	376.41	764.36	327.56	239.52	483.38	647.07	543.96	420.68	406.31	363.56	507.46	323.03	684.02	392.44	693.58	872.1	457.25	514.56	698.41	748.61	500.46	775.05	438.59	301.33	587.13	397.93	155.5	293.07
VWA9	954.43	323.03	293.07	353.59	318.57	316.37	336.79	301.33	329.84	325.29	327.56	361.04	656.11	575.03	764.36	830.75	633.73	743.43	603.67	185.11	796.86	713.11	764.36	624.99	264.03	638.15	718.08	718.08	674.59	476.71	796.86	753.83	713.11	145.02	842.36	791.35	126.12	381.68	819.3	713.11	669.92	389.72	454.09	769.69	387.02	769.69	583.07	866.07	684.02	693.58	665.29	759.08	934.76	620.67	733.19	723.08	607.87	813.63	620.67	387.02	265.87
YLPM1	1242.34	186.4	301.33	142.01	182.55	141.02	182.55	173.85	228.13	104.42	211.31	197.09	854.13	567.1	665.29	429.54	540.19	718.08	866.07	275.28	902.89	915.51	819.3	525.39	336.79	802.41	785.88	679.29	759.08	343.89	848.22	674.59	733.19	199.85	759.08	854.13	150.17	361.04	791.35	743.43	780.44	441.64	432.53	1030.12	289.02	753.83	769.69	915.51	1175.27	802.41	679.29	454.09	1340.84	551.56	595.34	723.08	819.3	764.36	540.19	271.48	114.36
ZBED5	1233.75	265.87	117.6	111.99	77.25	37.85	91.41	105.89	185.11	29.91	48.52	224.97	291.04	366.09	941.27	540.19	409.15	595.34	297.17	215.77	808.0	587.13	500.46	583.07	293.07	748.61	764.36	974.5	432.53	220.32	836.53	836.53	647.07	339.14	620.67	748.61	231.32	426.57	988.12	1191.69	703.28	638.15	361.04	473.41	379.04	718.08	473.41	1001.93	1081.39	728.11	551.56	603.67	902.89	373.81	785.88	759.08	432.53	743.43	307.69	251.48	229.72
ZBTB14	420.68	45.53	51.35	44.57	114.36	63.45	57.08	85.82	87.65	50.98	92.05	88.88	154.42	169.07	189.02	155.5	164.42	187.71	146.03	77.25	253.23	148.09	211.31	161.02	94.01	201.25	279.14	275.28	194.36	71.5	267.73	236.21	241.19	74.06	229.72	190.34	62.56	87.03	182.55	287.01	220.32	134.3	113.56	187.71	95.34	221.86	134.3	299.25	376.41	237.86	189.02	212.78	211.31	125.24	265.87	221.86	183.82	226.54	120.1	64.8	71.5
ZBTB39	126.12	28.04	20.26	15.91	24.28	15.11	16.27	18.7	19.68	5.92	28.24	18.97	44.25	51.71	84.63	37.59	61.25	67.59	33.54	14.89	115.97	130.6	53.19	83.45	39.79	92.7	69.52	68.07	82.29	52.82	99.43	102.97	115.16	25.72	88.26	68.07	30.12	49.21	78.89	99.43	92.05	56.28	52.82	42.71	63.0	94.67	25.91	131.51	83.45	125.24	58.71	55.1	83.45	22.59	63.89	53.19	50.98	64.8	81.14	25.91	14.67
ZCCHC4	190.34	47.84	37.59	50.27	46.5	36.27	42.71	64.34	46.5	31.45	48.87	46.84	92.05	87.65	191.67	99.43	93.35	118.43	102.97	29.48	145.02	93.35	120.1	106.63	68.55	147.06	115.97	137.14	105.89	41.81	211.31	113.56	126.12	68.55	172.65	116.78	25.54	81.14	142.01	135.24	115.97	121.79	92.05	127.0	81.14	149.12	161.02	212.78	164.42	111.99	96.68	113.56	149.12	114.36	169.07	161.02	151.22	151.22	65.26	29.7	29.27
ZIK1	373.81	10.79	29.06	4.06	3.03	2.48	1.16	4.86	3.56	0.84	1.85	3.35	53.19	49.91	63.45	34.26	27.25	74.58	34.75	0.25	205.5	60.82	23.76	40.64	21.01	67.12	127.89	45.21	59.97	5.06	90.77	176.29	90.77	2.01	118.43	24.81	7.34	58.3	42.71	87.65	78.89	10.96	13.22	154.42	9.34	44.25	31.22	111.21	106.63	132.44	41.52	32.59	15.45	26.1	42.11	88.88	35.25	80.57	26.67	6.57	3.41
ZMYM6	420.68	106.63	38.4	57.89	57.89	30.56	53.95	55.49	59.97	34.26	37.59	99.43	155.5	122.64	287.01	241.19	126.12	231.32	175.07	64.34	244.57	239.52	220.32	161.02	123.5	211.31	275.28	277.2	170.25	102.25	332.14	291.04	234.57	82.87	368.65	229.72	78.89	132.44	314.17	297.17	246.28	148.09	142.01	194.36	197.09	332.14	134.3	400.71	435.55	206.94	182.55	241.19	307.69	177.53	356.05	285.03	145.02	339.14	97.36	76.71	130.6
ZNF14	204.07	2.39	18.29	5.02	2.66	2.1	6.11	13.22	48.52	2.84	6.06	44.89	83.45	86.43	101.54	122.64	61.68	127.89	75.11	22.75	151.22	96.68	115.16	117.6	27.84	123.5	120.94	127.0	99.43	22.92	150.17	155.5	118.43	29.91	124.37	92.7	14.67	59.97	115.97	103.69	149.12	54.72	27.84	80.57	18.43	102.97	63.89	155.5	135.24	115.97	85.82	104.42	172.65	90.77	111.99	92.7	80.57	102.97	76.71	25.91	13.62
ZNF23	289.02	34.51	13.62	81.14	60.39	34.51	61.25	65.26	77.79	47.5	69.52	47.5	155.5	123.5	218.79	132.44	115.16	146.03	108.9	43.02	214.27	134.3	214.27	193.01	121.79	165.57	180.02	244.57	100.83	100.83	279.14	277.2	175.07	76.17	186.4	170.25	36.01	176.29	169.07	291.04	183.82	211.31	104.42	191.67	105.89	206.94	150.17	231.32	295.11	262.2	127.0	153.34	226.54	139.07	273.37	234.57	93.35	291.04	85.22	50.98	45.53
ZNF25	242.88	47.17	11.91	35.76	21.32	7.17	22.1	29.06	31.0	17.25	10.55	90.77	80.01	165.57	177.53	138.1	74.58	197.09	134.3	66.65	260.38	151.22	153.34	204.07	98.04	129.69	110.43	164.42	88.26	71.5	181.28	141.02	220.32	58.71	258.57	141.02	58.3	137.14	214.27	167.9	226.54	122.64	148.09	120.94	81.14	208.38	122.64	267.73	202.66	119.26	98.04	144.01	299.25	114.36	190.34	194.36	85.22	155.5	83.45	24.81	34.51
ZNF26	176.29	38.12	30.56	38.95	39.22	22.26	54.72	47.84	50.27	29.06	28.86	92.05	158.79	57.49	199.85	142.01	126.12	130.6	89.51	51.71	171.45	208.38	135.24	120.1	150.17	120.94	105.89	125.24	74.58	119.26	130.6	122.64	111.21	45.21	256.78	115.16	40.64	85.82	185.11	136.19	138.1	93.35	83.45	113.56	74.06	123.5	130.6	167.9	267.73	125.24	122.64	108.14	175.07	78.89	169.07	162.14	105.15	175.07	98.04	51.35	29.91
ZNF33A	884.29	120.94	84.63	255.0	173.85	94.67	194.36	187.71	173.85	256.78	136.19	109.66	223.41	194.36	476.71	327.56	204.07	361.04	260.38	162.14	420.68	208.38	379.04	212.78	176.29	281.09	366.09	332.14	301.33	152.28	336.79	327.56	336.79	154.42	587.13	334.46	54.72	153.34	358.54	493.56	346.29	285.03	318.57	273.37	249.73	633.73	277.2	748.61	612.11	325.29	258.57	336.79	476.71	239.52	483.38	325.29	236.21	463.65	132.44	165.57	175.07
ZNF354C	327.56	2.12	5.54	5.06	6.89	1.64	4.21	6.26	5.11	1.83	1.93	6.31	22.59	39.5	39.22	27.64	21.01	56.28	40.36	4.24	107.38	20.56	48.87	39.5	17.0	67.59	82.87	62.12	43.32	9.85	77.25	54.33	55.1	10.55	75.11	70.01	2.14	19.11	50.63	66.65	66.65	56.28	9.2	46.84	8.71	43.63	25.72	81.14	98.73	55.1	29.91	30.12	81.14	7.63	44.57	37.85	32.13	49.56	28.86	8.25	3.38
ZNF439	277.2	19.68	11.64	4.94	2.34	2.86	4.28	12.0	12.27	3.5	14.03	24.11	56.28	98.73	185.11	147.06	74.58	234.57	94.01	45.53	228.13	50.63	151.22	137.14	62.12	155.5	134.3	255.0	143.01	25.54	241.19	412.0	161.02	43.63	237.86	94.01	19.82	75.64	143.01	435.55	153.34	201.25	76.17	84.04	98.73	341.51	61.68	389.72	232.94	218.79	67.59	149.12	139.07	104.42	339.14	260.38	108.14	297.17	35.5	42.41	10.63
ZNF461	115.97	12.83	36.53	11.82	22.26	7.46	11.64	41.52	20.86	4.17	15.22	30.12	52.82	41.81	64.8	73.03	46.18	94.01	68.55	17.38	127.89	99.43	85.22	85.22	63.89	64.34	87.65	82.87	109.66	21.32	82.87	116.78	93.35	24.28	130.6	50.98	19.68	91.41	63.45	100.13	102.25	102.25	41.81	96.01	43.02	118.43	35.76	142.01	114.36	115.16	47.17	53.19	115.16	75.64	78.89	119.26	57.89	96.68	19.68	34.26	10.0
ZNF554	134.3	17.64	43.63	23.93	37.85	27.05	45.21	24.63	20.86	31.0	43.32	15.8	63.0	78.34	104.42	70.51	40.36	69.52	64.8	12.93	100.13	68.07	75.11	90.77	46.84	66.65	107.38	103.69	91.41	28.65	94.01	121.79	91.41	20.56	110.43	84.63	13.22	43.63	71.5	87.03	76.17	53.95	58.71	80.57	55.49	116.78	54.72	140.04	111.99	115.16	68.07	82.87	91.41	49.21	94.01	102.97	73.03	102.97	33.3	23.76	9.41
ZNF566	177.53	19.97	28.65	36.01	36.79	15.34	50.27	52.08	37.85	35.0	34.51	36.53	63.0	36.53	113.56	123.5	68.07	92.7	88.88	24.81	205.5	67.12	127.89	150.17	55.89	73.54	120.1	183.82	85.82	47.5	116.78	130.6	158.79	76.71	155.5	159.9	42.41	39.5	139.07	164.42	153.34	56.28	84.63	104.42	68.55	91.41	67.59	231.32	132.44	148.09	78.89	130.6	242.88	49.21	106.63	163.28	103.69	166.73	75.64	41.22	14.45
