	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
PAFAH1B2	808.0	1250.98	1096.5	1378.57	1369.04	1030.12	1008.9	723.08	665.29	1008.9	836.53	796.86	395.18	660.68	647.07	341.51	638.15	381.68	392.44	265.87
PAPOLG	217.27	173.85	267.73	269.6	269.6	141.02	178.77	81.14	232.94	142.01	133.36	187.71	51.35	110.43	180.02	44.25	54.72	46.18	45.53	25.17
PDIK1L	348.71	297.17	371.22	314.17	381.68	166.73	228.13	152.28	211.31	194.36	166.73	309.83	58.3	285.03	122.64	19.97	46.18	59.97	76.17	28.86
PIAS1	651.58	536.45	599.49	470.14	624.99	341.51	332.14	271.48	642.59	279.14	555.41	387.02	136.19	426.57	403.5	120.94	171.45	138.1	113.56	106.63
PIK3CA	379.04	316.37	457.25	400.71	423.61	197.09	241.19	62.12	271.48	197.09	299.25	178.77	46.5	291.04	248.0	30.34	48.18	36.79	82.87	32.13
PLEKHA3	412.0	529.06	423.61	540.19	441.64	371.22	351.14	224.97	511.0	500.46	397.93	295.11	110.43	199.85	395.18	78.34	80.57	74.06	135.24	89.51
PNRC2	3168.41	3639.7	2855.44	2777.33	3665.02	1963.57	2335.28	2018.8	2739.08	2018.8	1651.0	2075.59	708.18	2335.28	2104.58	688.78	915.51	314.17	620.67	283.05
POLK	400.71	480.04	514.56	426.57	460.44	275.28	329.84	78.34	371.22	234.57	341.51	277.2	35.25	275.28	205.5	16.63	34.51	63.89	56.68	18.29
PPM1B	665.29	743.43	1066.48	896.64	842.36	555.41	457.25	353.59	878.17	791.35	642.59	547.75	251.48	503.95	583.07	403.5	283.05	387.02	327.56	327.56
PPP2CA	3467.27	2816.11	3060.45	3039.3	3235.01	2520.38	2367.9	2148.82	3103.19	3540.14	2451.44	1417.35	1529.73	1781.89	2367.9	954.43	1051.79	1143.1	1191.69	638.15
PPP2R2A	1295.13	1583.71	2224.63	1605.83	1104.13	1127.35	1159.07	764.36	1250.98	1397.83	1111.82	896.64	536.45	921.88	896.64	181.28	186.4	186.4	295.11	202.66
PPP6C	1447.15	1662.49	2178.83	2032.85	1936.53	1870.53	1844.76	1331.57	1883.54	1857.6	1313.23	1295.13	753.83	1467.37	909.17	909.17	813.63	279.14	728.11	624.99
PRDM2	414.87	193.01	802.41	665.29	679.29	400.71	435.55	320.8	438.59	267.73	258.57	202.66	253.23	258.57	283.05	176.29	156.59	130.6	171.45	74.06
PRPF4B	738.29	819.3	1183.45	1008.9	1183.45	647.07	967.76	438.59	928.3	591.22	733.19	718.08	239.52	543.96	536.45	59.97	173.85	287.01	295.11	85.22
RAB11A	7695.57	8305.36	7966.99	7180.15	9151.82	7180.15	5292.48	5791.62	8778.97	5995.9	5594.3	4802.93	4575.41	7230.1	6471.02	2875.3	2855.44	2451.44	2384.37	1991.0
RAB27A	854.13	373.81	647.07	981.29	1037.29	269.6	571.05	132.44	688.78	571.05	738.29	361.04	190.34	860.08	688.78	133.36	109.66	265.87	612.11	397.93
RALGAPA1	616.37	303.44	665.29	612.11	665.29	329.84	629.35	234.57	486.75	457.25	339.14	567.1	143.01	555.41	476.71	52.82	92.7	111.99	120.94	59.97
RANBP2	525.39	954.43	1030.12	860.08	620.67	486.75	884.29	267.73	842.36	633.73	514.56	872.1	144.01	429.54	483.38	63.89	103.69	104.42	120.1	84.63
RAP2C	743.43	1250.98	802.41	638.15	890.44	412.0	441.64	236.21	1073.91	314.17	543.96	353.59	497.0	473.41	651.58	94.01	111.21	356.05	587.13	248.0
RBM7	540.19	708.18	444.72	521.76	514.56	426.57	575.03	301.33	356.05	389.72	400.71	303.44	155.5	244.57	231.32	95.34	177.53	258.57	226.54	212.78
RGPD6	173.85	234.57	403.5	511.0	400.71	309.83	220.32	118.43	353.59	215.77	153.34	226.54	64.34	143.01	190.34	30.56	37.05	85.22	58.71	6.06
RHOH	638.15	1216.75	1561.89	511.0	1388.16	890.44	348.71	262.2	791.35	198.47	128.79	511.0	117.6	928.3	127.0	154.42	90.14	14.56	80.57	25.91
RNF111	397.93	339.14	406.31	486.75	423.61	236.21	371.22	173.85	368.65	191.67	412.0	312.0	119.26	305.55	237.86	127.89	273.37	177.53	136.19	131.51
RNF2	890.44	285.03	624.99	1073.91	842.36	665.29	802.41	470.14	674.59	480.04	414.87	81.14	83.45	500.46	463.65	88.88	142.01	81.71	84.04	39.5
