	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.XF.AAN3.01A.11R.A42T.07	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.49.4506.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.R55G.0826.SM.2TC5U	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y8E4.0526.SM.4V6GC	GTEX.XBED.0826.SM.47JYC	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4591.01A.01R.1201.07	TCGA.77.8009.01A.11R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.A5.A3LP.01A.11R.A22K.07
F11	0.0	0.0	0.0	0.36	0.36	7.0	8.99	4.5	0.43	17.13	0.72	0.99	1175.27	1417.35	1135.2	769.69	1208.34	228.13	1359.57	2417.67	974.5	1143.1	1023.0	1781.89	1135.2	336.79	1359.57	802.41	1651.0	426.57	1508.65	1417.35	1051.79	1819.35	813.63	591.22	532.74	1104.13	156.59	1628.26	1529.73	373.81	921.88	2537.92	12589.08	1844.76	967.76	6561.36	603.67	4836.35	2133.97	6294.04	11345.82	13968.57	2645.74	6935.54	0.0	126.12	2.29	0.0	0.0	6.16	70.01	258.57	27.64	232.94	217.27	629.35	119.26	262.2	126.12	679.29	684.02	713.11	0.0	5.82	5.41	7.17	0.88	121.79	1.01	0.0
F7	1.0	1.38	0.0	4.78	7.28	2.73	8.71	0.0	6.73	45.85	0.75	0.35	1769.57	1583.71	346.29	1457.23	1883.54	373.81	2209.26	2163.77	2895.31	3124.78	559.28	1923.14	2193.99	1233.75	1540.37	2209.26	2816.11	1427.22	2573.36	1457.23	2520.38	1259.69	813.63	1583.71	503.95	2148.82	723.08	1277.29	1769.57	1127.35	1208.34	1832.01	7180.15	1950.0	3768.09	9279.58	2682.69	8598.28	6121.9	6699.25	7589.61	14361.31	5872.48	10296.45	0.89	4.62	8.58	1.38	24.11	1.69	2.05	0.4	0.67	4.78	0.67	1.71	1.45	0.96	1.79	1.43	0.39	4.1	0.79	1.2	0.0	0.48	5.28	1.99	0.13	5.73
FGFRL1	101.54	191.67	529.06	438.59	366.09	291.04	236.21	532.74	559.28	928.3	764.36	336.79	441.64	642.59	493.56	836.53	341.51	429.54	728.11	1088.92	813.63	688.78	981.29	759.08	497.0	98.73	638.15	483.38	1378.57	384.34	921.88	587.13	1023.0	723.08	1051.79	329.84	339.14	693.58	728.11	493.56	684.02	389.72	563.18	607.87	571.05	981.29	738.29	1159.07	583.07	1088.92	1733.13	684.02	1208.34	1407.55	830.75	1175.27	46.18	273.37	72.52	379.04	178.77	162.14	202.66	94.67	91.41	341.51	166.73	341.51	423.61	438.59	214.27	111.99	638.15	656.11	46.5	190.34	130.6	171.45	134.3	251.48	368.65	348.71
FMO5	170.25	103.69	33.54	173.85	108.9	110.43	57.89	134.3	87.65	40.36	101.54	93.35	1233.75	2047.0	934.76	1127.35	819.3	647.07	9215.48	2627.46	2485.67	1870.53	1359.57	3768.09	3540.14	1745.2	1233.75	2956.17	1359.57	1697.45	1225.22	3665.02	3168.41	2004.85	5147.73	2224.63	981.29	2591.27	4972.34	3039.3	3716.2	1605.83	1605.83	3081.75	5672.41	1594.73	1950.0	10808.41	400.71	9740.98	2816.11	4481.23	8718.32	7280.4	3614.55	7032.37	854.13	256.78	68.07	11.55	1457.23	332.14	221.86	273.37	173.85	1857.6	256.78	1605.83	743.43	366.09	890.44	547.75	3190.46	9344.14	27.05	120.94	70.01	13.12	13.93	283.05	54.33	23.42
FTL	783730.52	691801.16	1221310.69	716197.51	1422501.74	919186.72	1355129.16	932018.1	998912.34	1422501.74	1048575.0	992012.34	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	805764.22	906531.99	1393227.06	1055868.42	828417.36	1514068.5	623486.02	919186.72	985160.01	1100706.72	958220.73	912837.43	741454.2	932018.1	857631.47	716197.51	1147449.11	894051.48	1493223.86	691801.16	900270.11	811368.76	925580.18	881742.8	822695.06	762299.34	701458.36	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	906531.99	925580.18	2326934.84	751804.53	998912.34	978355.0	668235.84	1273174.62	606436.73	1204496.53	1336472.68	945028.61	971597.0	845824.19	783730.52	887875.81	1327240.99	645473.24	627822.72	945028.61	1179708.33	971597.0	645473.24	649962.87	434801.29	677564.08	971597.0	645473.24	645473.24
GJB1	0.0	41.22	120.94	384.34	186.4	376.41	125.24	473.41	389.72	470.14	775.05	486.75	11112.3	10440.2	3303.0	7382.04	6745.86	2520.38	9945.68	14867.79	7803.01	8963.45	7331.05	11664.82	11664.82	5751.61	3820.7	5112.16	10014.87	6887.62	5555.65	9876.98	7382.04	8247.98	2682.69	4239.45	4704.07	11745.96	4836.35	13586.57	7642.41	4671.57	5831.91	15824.9	15285.81	5076.84	8022.41	28923.41	3190.46	16157.44	16045.82	10084.54	15180.22	16960.78	8479.89	16960.78	4.74	72.01	8.06	63.45	674.59	9.34	50.98	163.28	41.22	1081.39	10.08	312.0	17.77	127.89	17.38	283.05	39.5	253.23	3.59	11.73	4.94	0.0	0.39	29.91	708.18	6.57
GLYCTK	106.63	49.56	144.01	476.71	915.51	356.05	297.17	559.28	656.11	277.2	173.85	915.51	2032.85	4836.35	2875.3	3982.99	4869.99	3589.58	2609.3	2537.92	5041.77	9088.59	4869.99	10883.59	4239.45	4388.98	4512.4	5147.73	3614.55	2816.11	2739.08	3325.99	2434.5	4481.23	4123.49	1467.37	3190.46	3716.2	1950.0	3874.05	4388.98	1628.26	2976.74	5672.41	16843.62	11345.82	6207.38	26431.04	3257.52	15824.9	12853.63	7749.1	11345.82	26248.46	6294.04	6887.62	48.52	260.38	748.61	144.01	62.56	144.01	134.3	260.38	148.09	239.52	215.77	218.79	84.63	248.0	221.86	267.73	209.84	129.69	58.3	87.65	47.17	32.59	57.49	215.77	909.17	30.78
HAAO	323.03	164.42	167.9	860.08	684.02	928.3	679.29	1208.34	1295.13	371.22	967.76	961.07	2004.85	4388.98	1508.65	4419.52	5791.62	1295.13	2075.59	2645.74	1216.75	5366.37	4869.99	6079.61	2758.13	909.17	1896.65	2976.74	4152.18	1651.0	2502.97	1369.04	3540.14	4607.24	7230.1	4419.52	954.43	3690.52	4419.52	3081.75	2271.4	1605.83	1870.53	5954.47	10368.08	8022.41	11345.82	33455.53	3540.14	15392.14	12160.22	8538.88	10368.08	35363.15	5791.62	7382.04	249.73	341.51	142.01	54.33	93.35	120.94	285.03	536.45	356.05	204.07	241.19	193.01	146.03	379.04	147.06	206.94	167.9	358.54	52.82	176.29	262.2	23.25	117.6	341.51	12.0	102.25
HCN3	85.22	49.56	21.01	56.68	90.77	115.16	31.22	64.34	69.52	40.64	61.68	56.28	199.85	332.14	115.97	180.02	336.79	172.65	258.57	215.77	915.51	226.54	211.31	624.99	291.04	327.56	246.28	563.18	289.02	279.14	555.41	293.07	239.52	127.89	102.97	483.38	470.14	571.05	237.86	339.14	334.46	389.72	249.73	463.65	575.03	113.56	253.23	638.15	167.9	466.88	293.07	253.23	285.03	791.35	181.28	194.36	142.01	42.41	60.82	33.78	50.98	24.63	9.2	23.76	29.06	37.05	18.29	39.5	11.21	52.82	10.16	43.63	8.13	10.71	42.71	62.56	36.01	108.14	47.5	20.71	22.1	66.65
HSD17B13	3.69	43.63	13.22	1.5	3.32	23.42	0.87	62.56	0.93	0.39	0.39	1.03	22.59	1407.55	4.31	133.36	2682.69	2.16	253.23	27.64	6.73	403.5	3820.7	2609.3	819.3	5.73	27.84	206.94	1896.65	92.05	397.93	127.0	890.44	1745.2	0.0	35.25	3.44	2796.65	5.32	819.3	176.29	808.0	43.94	1733.13	17681.08	8363.13	30572.63	29736.59	16.39	148488.36	41763.8	4450.27	35363.15	44761.41	4607.24	23656.34	6.41	6.26	3.5	0.72	0.6	5.92	77.25	9.06	6.11	61.25	1.97	82.87	95.34	18.56	9.06	32.82	185.11	175.07	1.87	500.46	53.95	0.28	1.23	20.71	0.78	1.66
IQGAP2	54.33	54.33	447.82	1167.14	890.44	688.78	703.28	890.44	417.77	220.32	500.46	332.14	890.44	2178.83	1008.9	1407.55	1437.15	728.11	2645.74	2209.26	1733.13	1331.57	1617.0	1143.1	1167.14	1313.23	1378.57	1721.16	1628.26	1208.34	1388.16	1127.35	1457.23	1388.16	3081.75	1388.16	1143.1	1477.58	2032.85	1674.06	2178.83	1487.87	1167.14	1437.15	3018.3	1447.15	3081.75	3690.52	1651.0	2796.65	3589.58	2335.28	4181.07	3018.3	2287.2	5751.61	96.68	607.87	49.56	93.35	547.75	214.27	825.0	368.65	403.5	669.92	860.08	830.75	693.58	371.22	273.37	264.03	909.17	5517.27	84.04	124.37	77.25	43.02	175.07	483.38	11.3	256.78
KLF15	40.64	24.99	21.78	748.61	221.86	547.75	190.34	1037.29	316.37	463.65	120.94	229.72	1159.07	1322.37	660.68	941.27	1331.57	1259.69	1167.14	1378.57	1769.57	1870.53	981.29	1639.59	1378.57	647.07	1870.53	1709.26	1639.59	450.94	708.18	1081.39	866.07	1073.91	934.76	1008.9	612.11	819.3	961.07	995.0	1159.07	753.83	1923.14	2287.2	1674.06	5366.37	961.07	3564.78	947.83	1286.18	2915.45	1008.9	3349.13	941.27	3564.78	3212.66	24.99	92.7	87.03	13.83	262.2	36.53	423.61	33.06	147.06	555.41	246.28	312.0	463.65	157.68	612.11	183.82	559.28	1242.34	15.68	71.5	228.13	9.85	111.21	157.68	25.54	127.0
KLKB1	1.36	3.79	4.7	26.86	27.44	36.27	21.47	29.27	16.27	22.92	3.08	31.67	339.14	723.08	679.29	423.61	947.83	283.05	579.04	1594.73	1127.35	450.94	612.11	620.67	493.56	450.94	483.38	1651.0	271.48	152.28	1259.69	624.99	376.41	1268.46	329.84	406.31	457.25	808.0	104.42	728.11	633.73	928.3	466.88	1388.16	8963.45	1617.0	693.58	6699.25	1331.57	8247.98	3039.3	6607.01	13776.25	6935.54	3443.31	6250.56	0.0	47.84	4.82	3.14	3.86	9.56	3.59	7.0	10.16	7.63	3.41	8.58	2.14	3.99	2.1	25.35	7.75	7.88	1.77	8.71	0.0	2.51	4.86	19.97	5.96	0.48
LEPR	62.12	72.01	108.14	117.6	68.07	66.18	90.14	39.5	47.5	26.86	113.56	34.02	241.19	1250.98	728.11	90.14	457.25	190.34	1594.73	995.0	170.25	967.76	819.3	249.73	1073.91	981.29	753.83	688.78	848.22	536.45	41.52	108.14	638.15	718.08	941.27	450.94	202.66	1119.56	1457.23	483.38	371.22	220.32	236.21	1183.45	289.02	583.07	941.27	1250.98	514.56	7911.95	934.76	486.75	1551.09	878.17	9606.86	1119.56	74.06	229.72	127.0	53.95	85.22	67.12	281.09	74.06	267.73	503.95	73.03	183.82	215.77	58.71	214.27	397.93	356.05	669.92	269.6	54.72	71.5	25.72	47.84	221.86	24.46	23.59
MARC2	299.25	147.06	52.45	397.93	426.57	651.58	503.95	825.0	563.18	426.57	253.23	314.17	2417.67	2777.33	1617.0	1457.23	1551.09	995.0	4575.41	2701.35	3081.75	1697.45	2075.59	2133.97	2047.0	255.0	3039.3	2240.11	2627.46	460.44	2287.2	2701.35	1844.76	3467.27	1583.71	2271.4	954.43	1674.06	1111.82	2645.74	2119.22	1313.23	2193.99	3060.45	6887.62	5751.61	2193.99	5633.22	1081.39	4481.23	5672.41	2875.3	5403.7	7589.61	2417.67	2875.3	186.4	647.07	74.06	283.05	69.03	127.0	860.08	361.04	1015.93	500.46	316.37	1096.5	733.19	1127.35	603.67	647.07	1467.37	1044.52	59.97	295.11	108.9	25.54	108.9	934.76	105.15	146.03
MASP1	2.03	3.82	38.12	698.41	309.83	376.41	301.33	450.94	111.99	336.79	301.33	309.83	579.04	698.41	723.08	397.93	791.35	500.46	802.41	420.68	607.87	679.29	616.37	551.56	429.54	363.56	473.41	450.94	884.29	231.32	656.11	397.93	511.0	647.07	447.82	473.41	483.38	591.22	133.36	373.81	713.11	323.03	460.44	1135.2	2935.74	713.11	1721.16	1806.78	264.03	3614.55	1015.93	1487.87	3395.89	902.89	5147.73	5403.7	10.16	123.5	3.32	0.0	7.11	15.8	100.13	118.43	43.32	120.1	19.39	113.56	127.0	22.26	76.17	81.14	77.25	507.46	2.66	20.41	24.11	12.18	22.1	81.71	12.09	8.32
MLXIPL	1.73	6.67	57.49	163.28	497.0	521.76	31.67	267.73	51.35	40.93	37.32	239.52	5147.73	4769.75	3257.52	2701.35	3639.7	2335.28	5006.93	5041.77	7642.41	5403.7	4607.24	13033.07	4358.66	902.89	3146.52	4639.29	4512.4	3212.66	5954.47	4123.49	6699.25	3847.29	6561.36	7642.41	1233.75	5292.48	2032.85	3540.14	13492.72	2468.49	4575.41	5555.65	4639.29	14765.09	3742.05	8840.04	1529.73	3589.58	8078.22	11992.79	3515.68	26248.46	2193.99	3847.29	39.5	100.13	19.68	27.25	8.78	5.41	24.46	11.55	35.25	122.64	65.26	124.37	191.67	80.01	149.12	148.09	148.09	85.22	47.5	48.87	40.36	171.45	53.57	33.78	6.06	246.28
MPDZ	87.03	50.63	96.01	220.32	183.82	139.07	293.07	167.9	246.28	99.43	169.07	108.14	151.22	518.15	400.71	198.47	1044.52	193.01	271.48	743.43	137.14	206.94	559.28	368.65	295.11	327.56	159.9	363.56	511.0	161.02	273.37	161.02	336.79	476.71	249.73	172.65	135.24	435.55	143.01	323.03	591.22	262.2	551.56	493.56	981.29	642.59	819.3	1721.16	802.41	1540.37	872.1	769.69	1594.73	2018.8	884.29	1697.45	101.54	205.5	87.03	47.5	152.28	127.0	123.5	149.12	249.73	108.9	180.02	389.72	153.34	92.05	100.13	236.21	202.66	242.88	45.53	120.94	106.63	110.43	108.9	208.38	10.63	116.78
NR1I2	0.68	2.07	138.1	5.59	9.27	7.22	1.71	2.76	4.58	1.89	2.25	4.1	409.15	493.56	334.46	156.59	612.11	34.26	273.37	507.46	392.44	514.56	356.05	819.3	490.14	46.18	251.48	387.02	748.61	251.48	476.71	204.07	314.17	571.05	460.44	185.11	171.45	665.29	224.97	363.56	281.09	291.04	514.56	387.02	2271.4	525.39	830.75	3146.52	2351.53	2271.4	954.43	3018.3	3742.05	8421.31	1151.06	2075.59	0.48	1.64	0.44	0.92	2.07	1.62	1.25	16.15	11.21	2.86	3.69	2.16	1.45	6.01	0.28	22.59	0.3	5.59	1.95	1.48	1.58	0.44	5.41	4.31	0.55	4.66
OIT3	1.33	0.0	6.94	7.28	4.74	7.11	0.84	14.03	3.14	0.74	6.16	0.34	80.01	77.25	37.85	36.79	108.14	25.91	81.14	71.0	211.31	30.12	68.55	27.84	48.52	46.18	59.55	182.55	83.45	65.72	273.37	81.71	43.94	189.02	76.17	140.04	20.56	92.7	77.25	57.49	81.14	81.14	32.36	194.36	1819.35	242.88	237.86	1175.27	2104.58	406.31	229.72	1781.89	5112.16	497.0	1857.6	2271.4	0.0	11.73	0.06	2.14	0.07	0.93	14.56	33.54	0.0	44.25	4.78	20.26	6.06	4.24	1.79	8.38	13.93	0.0	0.52	0.84	0.48	0.74	1.36	11.3	1.5	0.64
OTC	0.0	0.0	15.56	0.36	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	1540.37	3060.45	808.0	1950.0	2976.74	281.09	2573.36	1733.13	1583.71	5329.3	1651.0	336.79	1662.49	20.26	961.07	1208.34	1883.54	995.0	1498.22	2224.63	397.93	2468.49	595.34	536.45	395.18	1073.91	115.97	4903.87	2004.85	1378.57	1001.93	1781.89	15392.14	718.08	8191.0	35363.15	2303.12	16843.62	4639.29	12589.08	44761.41	5112.16	8022.41	64632.75	0.0	8.0	0.0	0.0	0.41	0.0	7.22	6.16	10.08	7.28	6.52	33.06	6.67	6.62	14.45	37.85	10.39	0.0	0.0	0.0	0.35	0.09	0.0	6.31	0.0	0.31
PANK1	53.19	52.45	49.56	194.36	120.1	104.42	148.09	127.0	132.44	244.57	172.65	88.88	249.73	444.72	209.84	232.94	842.36	137.14	299.25	490.14	351.14	400.71	295.11	366.09	397.93	244.57	220.32	890.44	470.14	283.05	381.68	265.87	228.13	457.25	466.88	332.14	138.1	647.07	303.44	358.54	395.18	255.0	152.28	358.54	1572.76	595.34	1096.5	1963.57	529.06	2075.59	2209.26	1191.69	1617.0	3235.01	1073.91	2485.67	30.78	47.84	62.12	97.36	40.93	28.24	39.79	91.41	75.11	39.5	204.07	95.34	100.13	71.0	85.22	105.15	140.04	48.18	32.82	78.89	93.35	28.86	41.52	58.3	114.36	98.73
PECR	224.97	104.42	283.05	808.0	647.07	1167.14	277.2	830.75	218.79	182.55	429.54	242.88	417.77	1388.16	872.1	1023.0	1350.18	1023.0	1923.14	3190.46	1304.15	981.29	3820.7	1991.0	651.58	1561.89	1369.04	1331.57	1896.65	1066.48	1498.22	1216.75	775.05	1023.0	3190.46	723.08	441.64	2627.46	1259.69	642.59	1143.1	698.41	1081.39	1313.23	4575.41	1950.0	3928.15	8778.97	4268.94	6935.54	3280.18	3515.68	5219.6	3690.52	2915.45	4937.99	454.09	265.87	234.57	38.67	8.85	299.25	503.95	348.71	269.6	368.65	764.36	848.22	244.57	361.04	571.05	358.54	395.18	325.29	279.14	100.83	122.64	185.11	145.02	356.05	186.4	624.99
PGRMC1	2287.2	2835.7	4328.55	2485.67	1806.78	2485.67	2417.67	3212.66	3303.0	2271.4	2468.49	1781.89	6792.79	8134.41	5006.93	3443.31	4210.15	2573.36	6426.31	14361.31	4802.93	7749.1	5403.7	7749.1	6294.04	1806.78	3928.15	2193.99	7485.11	3372.43	5219.6	3349.13	5329.3	5183.54	3018.3	4903.87	1242.34	6745.86	4481.23	8598.28	5255.91	4869.99	3820.7	9215.48	9808.75	3928.15	10512.82	14461.21	2335.28	14065.74	9740.98	12160.22	24660.96	6037.61	11267.44	26248.46	5594.3	1487.87	2502.97	1832.01	1594.73	2178.83	1991.0	830.75	1313.23	1359.57	1295.13	2303.12	1685.71	915.51	1322.37	1721.16	2997.45	860.08	1745.2	2090.03	4419.52	2609.3	2193.99	2090.03	2119.22	2400.97
PIPOX	3.69	12.74	31.67	44.25	77.25	69.03	51.35	215.77	47.84	23.76	42.11	43.02	3212.66	2976.74	2555.58	2739.08	8658.09	738.29	2104.58	6037.61	2335.28	5147.73	4066.71	4066.71	3039.3	1857.6	2502.97	1794.29	4450.27	848.22	1674.06	3103.19	3235.01	4639.29	3419.52	555.41	1127.35	2645.74	2609.3	3212.66	3372.43	1529.73	3060.45	3742.05	18431.96	3794.3	8363.13	19348.38	14867.79	16727.26	7130.55	10883.59	42054.3	15285.81	8363.13	33224.42	13.22	47.17	28.04	9.13	69.52	30.34	18.97	15.56	9.13	46.84	2.18	23.59	16.63	26.1	11.04	31.45	23.59	120.94	28.24	65.72	28.86	264.03	136.19	26.67	12.93	24.46
PKLR	0.34	0.35	5.73	126.12	64.8	122.64	23.76	406.31	221.86	6.62	148.09	93.35	921.88	1909.85	420.68	961.07	2682.69	400.71	1369.04	1508.65	3168.41	1037.29	1268.46	1896.65	1467.37	2090.03	848.22	2104.58	2609.3	1051.79	2163.77	1331.57	1322.37	728.11	438.59	1369.04	2193.99	7485.11	1745.2	1639.59	1467.37	2271.4	1806.78	2664.15	5791.62	155.5	2682.69	4543.8	1331.57	8718.32	1477.58	1745.2	7280.4	8963.45	1088.92	2032.85	0.0	0.0	0.0	0.0	0.0	1.36	0.96	0.0	0.0	2.03	0.0	0.18	0.0	1.62	0.13	0.0	0.15	0.0	0.79	3.53	0.43	1.48	1.66	0.0	0.33	0.72
PROS1	297.17	119.26	283.05	872.1	759.08	684.02	728.11	1059.11	647.07	384.34	708.18	497.0	1977.24	2485.67	2835.7	2537.92	2555.58	1051.79	2351.53	2915.45	540.19	1697.45	967.76	1572.76	1447.15	1883.54	1909.85	1151.06	2875.3	1135.2	1819.35	1733.13	2004.85	2351.53	1096.5	2133.97	1583.71	2935.74	2090.03	2163.77	2417.67	1662.49	1540.37	2537.92	1340.84	1857.6	2224.63	4607.24	1059.11	5403.7	3690.52	3372.43	6745.86	1883.54	5403.7	7032.37	100.13	842.36	813.63	60.39	218.79	599.49	1427.22	825.0	332.14	866.07	620.67	3018.3	738.29	229.72	780.44	656.11	1697.45	1250.98	72.52	158.79	84.63	571.05	206.94	1015.93	20.26	105.89
RGN	31.22	11.73	11.55	293.07	339.14	563.18	441.64	890.44	493.56	307.69	253.23	688.78	3491.39	6294.04	684.02	1044.52	5791.62	1127.35	8078.22	2997.45	2537.92	7180.15	3168.41	2664.15	3690.52	2468.49	2163.77	3372.43	1781.89	3716.2	4010.71	2319.15	1467.37	4903.87	1721.16	2240.11	769.69	4328.55	2645.74	9409.14	2104.58	2875.3	2682.69	1437.15	23169.48	3018.3	8598.28	27553.49	2303.12	14867.79	10959.3	6840.04	20451.65	14461.21	2573.36	5292.48	23.25	204.07	12.83	7.94	15.22	47.84	341.51	56.68	277.2	1225.22	8.78	267.73	441.64	82.29	150.17	215.77	236.21	229.72	4.1	41.52	70.01	2.94	20.26	309.83	7.34	24.81
SARDH	8.38	6.21	2.27	82.87	155.5	153.34	107.38	90.77	52.82	175.07	32.13	59.55	525.39	1304.15	497.0	842.36	1662.49	511.0	830.75	921.88	1119.56	703.28	961.07	1135.2	733.19	743.43	441.64	1023.0	915.51	366.09	571.05	559.28	629.35	974.5	348.71	555.41	633.73	896.64	476.71	713.11	748.61	603.67	1051.79	1135.2	6471.02	1883.54	3349.13	6887.62	967.76	5292.48	4038.61	4298.64	6561.36	4671.57	1977.24	3515.68	19.68	51.35	12.74	33.78	175.07	46.84	37.05	65.26	57.08	49.21	88.26	34.75	36.79	81.71	59.97	40.07	142.01	20.26	11.04	31.45	12.93	11.13	66.18	49.56	29.7	77.25
SEPSECS	76.17	62.56	42.11	156.59	139.07	103.69	67.12	117.6	102.97	25.72	115.16	86.43	137.14	178.77	108.9	106.63	145.02	53.57	291.04	214.27	130.6	128.79	412.0	305.55	195.72	128.79	144.01	155.5	414.87	86.43	190.34	155.5	217.27	232.94	141.02	185.11	69.52	287.01	193.01	171.45	229.72	129.69	177.53	231.32	273.37	271.48	309.83	301.33	373.81	567.1	275.28	186.4	341.51	633.73	195.72	417.77	33.3	120.94	186.4	47.84	73.03	78.34	84.04	108.9	90.14	110.43	60.82	70.51	47.84	52.82	64.34	94.01	108.9	166.73	56.68	63.0	175.07	42.11	68.55	94.67	43.63	32.36
SLC10A1	0.67	0.36	1.43	0.0	0.0	0.35	0.0	0.0	0.0	1.83	0.0	0.0	1073.91	1745.2	110.43	988.12	3280.18	30.12	2075.59	2133.97	123.5	1991.0	1806.78	591.22	988.12	2.48	674.59	208.38	4450.27	460.44	1167.14	1030.12	165.57	1175.27	540.19	75.11	18.7	1769.57	72.52	624.99	493.56	698.41	190.34	1709.26	41475.31	1551.09	22225.61	47974.16	595.34	47642.77	15824.9	9409.14	66449.85	18304.63	6471.02	73221.53	0.68	0.73	0.0	0.0	0.0	0.36	1.85	0.0	0.71	1.45	1.39	0.79	2.14	1.22	1.06	1.41	0.73	3.76	1.17	0.99	0.27	0.59	0.0	2.48	0.28	0.35
SLC17A4	0.0	0.0	25.72	13.22	13.52	20.86	10.31	9.13	9.7	6.84	6.41	9.34	759.08	698.41	163.28	450.94	518.15	43.94	376.41	234.57	142.01	567.1	909.17	1059.11	457.25	71.5	135.24	497.0	1216.75	242.88	521.76	947.83	543.96	521.76	514.56	267.73	291.04	753.83	18.43	336.79	1628.26	173.85	161.02	381.68	642.59	177.53	312.0	769.69	155.5	571.05	273.37	463.65	500.46	1519.15	633.73	201.25	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0
SLC2A2	0.34	0.0	1.1	187.71	583.07	551.56	20.71	265.87	95.34	74.58	555.41	226.54	1605.83	2319.15	397.93	1135.2	3515.68	2090.03	3060.45	3589.58	3372.43	2485.67	1605.83	2384.37	2104.58	836.53	1340.84	2485.67	2720.15	1242.34	1685.71	1977.24	1909.85	2895.31	4095.0	10585.95	941.27	2777.33	1397.83	2133.97	5076.84	1135.2	2855.44	2319.15	12502.12	3235.01	4869.99	27745.15	660.68	17558.94	13586.57	3103.19	41475.31	18950.18	5995.9	16269.83	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0
