	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
IRX5	1191.69	1388.16	825.0	1175.27	629.35	1111.82	651.58	1529.73	1051.79	791.35	2104.58	1950.0	30.78	0.0	0.0	199.85	27.25	96.01	60.39	128.79	212.78	27.05	62.56	6.16	7.17	89.51	28.24	166.73	183.82	123.5	11.82	23.42	25.54	77.79	32.82	25.72
ITPK1	2976.74	1268.46	1081.39	2451.44	1936.53	1369.04	1487.87	4181.07	2400.97	2485.67	1359.57	3039.3	1023.0	0.0	0.52	1457.23	995.0	878.17	647.07	915.51	1037.29	909.17	738.29	775.05	921.88	1059.11	1081.39	1674.06	1583.71	1487.87	1143.1	567.1	698.41	1104.13	890.44	1498.22
KCNC1	106.63	121.79	400.71	49.91	150.17	2.34	2.16	109.66	1.58	660.68	713.11	55.1	0.39	0.0	0.0	1.1	0.0	0.2	3.53	0.96	0.28	0.02	0.0	0.25	0.0	1.13	0.0	5.19	0.03	1.85	1.35	3.17	0.77	0.64	0.48	0.04
KCNJ11	297.17	447.82	460.44	201.25	490.14	121.79	144.01	397.93	283.05	1059.11	163.28	708.18	23.76	0.0	0.03	10.24	10.08	10.47	34.51	13.12	47.17	5.23	9.85	10.24	4.62	78.34	121.79	53.19	12.09	114.36	12.0	6.36	9.56	159.9	13.93	27.84
KIAA1257	145.02	86.43	15.56	145.02	44.89	15.8	59.13	236.21	96.68	187.71	53.57	260.38	3.76	0.0	0.19	49.56	10.63	52.08	33.78	41.22	42.11	3.72	27.84	75.64	6.84	14.24	14.14	7.51	43.32	2.16	14.24	25.17	4.39	5.23	5.59	7.4
KIF12	896.64	1268.46	934.76	4010.71	314.17	198.47	237.86	1096.5	67.12	620.67	500.46	708.18	483.38	0.0	0.06	122.64	21.94	137.14	110.43	201.25	204.07	16.03	37.85	53.57	12.74	76.17	5.54	77.25	211.31	67.59	12.93	14.35	6.84	31.0	20.71	15.34
LCMT2	536.45	281.09	255.0	273.37	269.6	206.94	249.73	281.09	249.73	234.57	198.47	400.71	115.97	0.0	0.0	106.63	100.13	150.17	82.29	120.1	177.53	46.5	27.84	41.22	26.47	51.35	76.17	77.25	73.54	112.77	34.02	48.52	42.71	55.1	62.56	38.4
LETM2	1331.57	521.76	647.07	189.02	435.55	77.79	100.13	1617.0	152.28	1498.22	507.46	1561.89	101.54	0.0	0.46	60.82	98.04	273.37	169.07	61.68	52.82	66.65	102.97	131.51	36.53	171.45	138.1	69.03	63.89	25.72	107.38	64.8	38.12	41.22	42.41	53.19
LRTM2	193.01	148.09	246.28	343.89	389.72	22.92	43.32	279.14	23.76	503.95	457.25	5.5	0.0	0.0	0.08	1.83	0.95	0.0	0.0	0.0	0.28	1.22	0.27	1.14	1.14	2.1	2.18	4.06	0.29	1.53	2.2	0.0	0.48	2.92	0.91	1.5
MAPK8IP1	656.11	341.51	547.75	830.75	1427.22	156.59	90.14	791.35	130.6	1745.2	718.08	1259.69	38.95	0.0	0.39	191.67	52.08	441.64	178.77	217.27	325.29	48.87	320.8	116.78	170.25	44.89	51.35	138.1	90.77	59.55	87.03	65.72	63.89	61.25	149.12	98.73
MAPK8IP2	909.17	1832.01	1572.76	1896.65	1781.89	607.87	454.09	1313.23	403.5	2104.58	1437.15	1651.0	12.09	497.0	186.4	23.93	61.25	38.4	19.11	30.12	37.05	7.34	19.68	21.01	4.03	29.48	1.91	141.02	20.56	64.34	18.16	12.18	15.11	12.93	34.26	5.36
MARCH4	65.72	126.12	42.71	3.06	6.94	1.69	1.46	125.24	0.66	246.28	13.62	38.67	3.38	0.0	0.0	0.74	0.74	7.46	2.73	2.94	46.18	1.35	3.89	9.56	0.0	0.75	0.78	3.35	0.77	1.27	1.89	0.74	0.73	0.0	0.0	1.39
MED18	323.03	229.72	323.03	224.97	463.65	426.57	406.31	633.73	457.25	232.94	244.57	341.51	312.0	0.0	0.0	187.71	212.78	218.79	191.67	249.73	376.41	127.0	83.45	131.51	71.5	134.3	167.9	177.53	163.28	134.3	115.97	115.97	156.59	209.84	159.9	119.26
MKS1	738.29	483.38	297.17	320.8	438.59	395.18	493.56	928.3	318.57	323.03	358.54	595.34	358.54	0.0	0.0	363.56	146.03	353.59	285.03	441.64	466.88	155.5	277.2	170.25	52.08	146.03	166.73	221.86	248.0	130.6	120.1	127.0	29.48	154.42	125.24	107.38
