	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07
STAG2	212.78	532.74	438.59	947.83	1183.45	693.58	1191.69	1059.11	713.11	1259.69	753.83	713.11	988.12	287.01	1111.82	1191.69	1295.13	480.04	514.56	591.22	884.29	236.21	679.29	1572.76	642.59	708.18	486.75	493.56	406.31	389.72	656.11	61.68	149.12	273.37	493.56	872.1
STAM2	102.97	242.88	205.5	500.46	595.34	336.79	432.53	842.36	403.5	559.28	341.51	258.57	409.15	103.69	384.34	514.56	529.06	236.21	316.37	346.29	414.87	85.22	414.87	854.13	490.14	303.44	248.0	204.07	226.54	165.57	237.86	39.5	73.54	72.52	234.57	285.03
STRN	84.63	148.09	111.21	441.64	353.59	176.29	400.71	312.0	224.97	277.2	234.57	195.72	239.52	76.17	248.0	346.29	376.41	133.36	185.11	173.85	295.11	64.8	208.38	346.29	162.14	80.57	185.11	88.26	118.43	90.77	167.9	42.11	52.82	36.79	194.36	204.07
STYX	143.01	143.01	157.68	1427.22	287.01	178.77	223.41	414.87	190.34	239.52	264.03	182.55	264.03	125.24	490.14	307.69	669.92	191.67	234.57	260.38	264.03	84.63	343.89	343.89	202.66	173.85	133.36	92.7	115.16	162.14	214.27	33.06	108.14	156.59	195.72	183.82
SUZ12	163.28	205.5	206.94	348.71	507.46	236.21	447.82	647.07	195.72	698.41	295.11	332.14	493.56	232.94	511.0	490.14	612.11	262.2	215.77	255.0	376.41	98.73	397.93	579.04	460.44	199.85	158.79	150.17	171.45	206.94	212.78	35.0	84.63	119.26	291.04	295.11
TAF2	115.97	217.27	275.28	466.88	480.04	318.57	420.68	571.05	281.09	389.72	323.03	275.28	351.14	212.78	450.94	1066.48	718.08	258.57	289.02	283.05	327.56	62.56	295.11	559.28	253.23	237.86	242.88	146.03	273.37	239.52	356.05	36.53	50.98	48.52	299.25	379.04
TAOK1	116.78	246.28	181.28	775.05	638.15	291.04	525.39	483.38	267.73	595.34	232.94	273.37	403.5	74.06	447.82	483.38	591.22	269.6	228.13	251.48	426.57	76.17	297.17	387.02	262.2	237.86	246.28	139.07	180.02	169.07	246.28	38.12	98.73	62.56	327.56	346.29
TC2N	67.59	141.02	267.73	2255.7	1844.76	547.75	921.88	4543.8	1216.75	2758.13	3372.43	612.11	1073.91	8.71	1088.92	1794.29	743.43	94.01	447.82	2502.97	1427.22	88.88	1088.92	1540.37	780.44	21.16	189.02	264.03	12.74	32.13	211.31	13.22	156.59	4.46	480.04	514.56
THAP9	15.91	23.08	57.49	78.89	111.99	61.68	95.34	90.14	46.5	66.18	26.47	41.22	42.41	21.78	42.41	82.29	102.25	40.07	64.8	50.98	59.55	26.47	43.32	112.77	87.03	64.8	38.4	32.59	28.86	27.25	58.3	6.62	10.08	33.54	37.85	38.4
TLK1	149.12	332.14	262.2	941.27	780.44	423.61	769.69	1037.29	454.09	764.36	497.0	351.14	684.02	63.45	890.44	713.11	928.3	232.94	395.18	423.61	559.28	140.04	555.41	967.76	414.87	341.51	297.17	208.38	249.73	158.79	441.64	61.68	95.34	155.5	366.09	450.94
TMEM106B	182.55	381.68	320.8	1233.75	753.83	785.88	915.51	1519.15	414.87	854.13	796.86	624.99	813.63	237.86	769.69	1457.23	813.63	432.53	612.11	454.09	656.11	94.67	563.18	1081.39	438.59	830.75	327.56	417.77	743.43	329.84	511.0	155.5	163.28	251.48	551.56	567.1
TMEM67	63.45	68.55	97.36	463.65	198.47	151.22	217.27	708.18	81.14	366.09	194.36	110.43	142.01	172.65	242.88	444.72	281.09	114.36	138.1	177.53	151.22	32.36	145.02	226.54	99.43	131.51	63.0	53.19	164.42	62.12	113.56	37.59	80.57	19.68	242.88	147.06
TMX1	307.69	466.88	486.75	612.11	954.43	457.25	656.11	1359.57	500.46	961.07	941.27	555.41	669.92	532.74	1268.46	1044.52	1322.37	819.3	607.87	679.29	624.99	183.82	796.86	633.73	500.46	387.02	429.54	353.59	466.88	555.41	753.83	269.6	325.29	198.47	688.78	624.99
TNPO1	267.73	397.93	323.03	1447.15	1208.34	743.43	988.12	1977.24	638.15	1030.12	669.92	665.29	974.5	426.57	808.0	1508.65	1135.2	665.29	373.81	555.41	974.5	106.63	796.86	1199.98	769.69	318.57	454.09	221.86	483.38	307.69	674.59	193.01	158.79	131.51	703.28	878.17
TROVE2	150.17	149.12	156.59	836.53	503.95	412.0	532.74	674.59	316.37	511.0	497.0	435.55	511.0	148.09	656.11	679.29	525.39	285.03	358.54	265.87	441.64	56.28	371.22	429.54	285.03	173.85	283.05	104.42	336.79	180.02	339.14	29.7	39.79	95.34	320.8	260.38
TTC37	229.72	420.68	271.48	785.88	785.88	813.63	743.43	1159.07	567.1	878.17	406.31	529.06	796.86	470.14	665.29	1127.35	759.08	603.67	376.41	555.41	743.43	157.68	559.28	1088.92	854.13	348.71	361.04	358.54	463.65	303.44	490.14	49.56	55.89	156.59	493.56	583.07
UBR3	158.79	305.55	241.19	603.67	441.64	291.04	493.56	928.3	234.57	450.94	361.04	267.73	395.18	138.1	432.53	470.14	460.44	242.88	217.27	417.77	387.02	107.38	384.34	529.06	460.44	277.2	224.97	223.41	189.02	239.52	205.5	85.82	115.16	214.27	316.37	314.17
UBR7	246.28	395.18	255.0	928.3	896.64	480.04	579.04	808.0	595.34	988.12	785.88	493.56	698.41	412.0	497.0	688.78	603.67	470.14	500.46	743.43	575.03	281.09	633.73	738.29	423.61	441.64	400.71	320.8	503.95	341.51	373.81	281.09	373.81	166.73	395.18	476.71
UEVLD	87.03	208.38	187.71	860.08	693.58	316.37	669.92	629.35	361.04	559.28	412.0	260.38	529.06	113.56	371.22	780.44	591.22	101.54	246.28	265.87	389.72	126.12	368.65	688.78	334.46	256.78	242.88	119.26	148.09	176.29	256.78	38.4	71.0	67.12	262.2	265.87
UFL1	115.97	234.57	237.86	647.07	703.28	381.68	571.05	872.1	314.17	463.65	480.04	289.02	392.44	214.27	555.41	753.83	384.34	262.2	289.02	341.51	473.41	69.52	432.53	543.96	341.51	323.03	122.64	226.54	277.2	209.84	323.03	52.08	48.18	85.22	325.29	244.57
USP37	23.25	31.9	28.04	190.34	190.34	56.68	180.02	208.38	57.08	260.38	112.77	89.51	116.78	22.92	189.02	176.29	264.03	61.68	31.22	64.34	119.26	22.75	67.12	170.25	37.85	47.17	74.58	21.01	61.25	22.59	81.14	4.78	6.36	12.27	68.07	92.05
USP45	65.72	75.64	78.89	123.5	182.55	118.43	175.07	157.68	90.77	217.27	197.09	82.87	97.36	97.36	182.55	172.65	161.02	93.35	77.25	112.77	122.64	35.0	130.6	148.09	134.3	136.19	46.5	76.71	83.45	90.77	102.25	25.17	23.59	40.93	90.77	108.14
VPS41	417.77	543.96	444.72	1008.9	1030.12	616.37	1037.29	866.07	620.67	660.68	688.78	629.35	674.59	295.11	928.3	1467.37	1066.48	612.11	525.39	759.08	902.89	283.05	583.07	1583.71	470.14	656.11	493.56	356.05	417.77	376.41	638.15	429.54	438.59	265.87	595.34	825.0
YIPF6	220.32	379.04	438.59	1088.92	665.29	620.67	647.07	1191.69	728.11	1594.73	981.29	480.04	525.39	258.57	974.5	1066.48	995.0	389.72	698.41	450.94	575.03	165.57	450.94	540.19	460.44	277.2	323.03	226.54	497.0	389.72	693.58	253.23	172.65	195.72	575.03	536.45
YME1L1	848.22	1295.13	1295.13	2915.45	2573.36	1551.09	2148.82	3235.01	1583.71	2163.77	1769.57	1427.22	1819.35	890.44	2163.77	1674.06	2384.37	1369.04	1605.83	1508.65	1844.76	599.49	1674.06	2193.99	1487.87	1857.6	1159.07	703.28	2384.37	764.36	1250.98	500.46	493.56	555.41	1639.59	1437.15
ZFX	129.69	171.45	112.77	547.75	400.71	314.17	514.56	642.59	226.54	525.39	387.02	299.25	363.56	146.03	325.29	473.41	450.94	234.57	183.82	267.73	420.68	76.71	299.25	748.61	287.01	271.48	112.77	147.06	164.42	111.99	172.65	27.44	52.08	53.19	199.85	323.03
ZMYM1	34.51	72.52	72.52	262.2	217.27	114.36	147.06	260.38	88.26	142.01	82.87	99.43	120.1	77.79	120.1	206.94	177.53	66.65	75.11	98.04	145.02	18.97	98.73	176.29	143.01	120.94	43.63	69.03	76.17	68.55	128.79	6.26	17.51	23.59	101.54	109.66
ZMYM4	177.53	329.84	262.2	854.13	866.07	551.56	753.83	688.78	511.0	603.67	444.72	490.14	595.34	312.0	688.78	753.83	896.64	423.61	441.64	463.65	559.28	133.36	503.95	1001.93	540.19	486.75	297.17	244.57	389.72	248.0	420.68	53.19	142.01	91.41	432.53	450.94
ZNF148	79.45	182.55	155.5	314.17	483.38	251.48	536.45	395.18	287.01	547.75	329.84	293.07	371.22	87.65	447.82	507.46	583.07	195.72	197.09	248.0	532.74	55.1	297.17	599.49	246.28	190.34	239.52	92.7	181.28	96.01	295.11	29.27	61.25	41.52	220.32	329.84
ZNF292	33.54	103.69	88.26	229.72	293.07	140.04	376.41	190.34	152.28	177.53	191.67	149.12	145.02	71.0	275.28	356.05	277.2	129.69	118.43	166.73	249.73	31.0	177.53	327.56	271.48	156.59	88.26	70.01	105.15	95.34	193.01	8.58	18.7	12.18	146.03	182.55
ZNF41	32.59	83.45	73.03	186.4	232.94	111.21	175.07	141.02	120.1	186.4	131.51	111.21	125.24	42.11	127.0	195.72	173.85	111.99	96.01	121.79	147.06	24.28	143.01	208.38	169.07	144.01	58.71	57.49	73.03	55.1	89.51	15.11	28.86	20.26	88.26	114.36
ZNF670	37.59	33.3	50.27	228.13	120.1	57.89	115.16	132.44	73.54	91.41	84.63	64.34	76.17	42.71	91.41	96.01	149.12	53.19	82.87	49.56	85.82	29.27	75.11	159.9	138.1	49.91	32.59	31.0	31.9	28.04	23.76	15.68	21.32	47.5	68.55	41.81
ZNF678	18.56	40.36	43.94	336.79	123.5	78.89	147.06	279.14	64.34	139.07	78.34	115.97	102.97	25.91	119.26	159.9	147.06	49.91	70.51	87.65	131.51	13.32	108.9	171.45	89.51	53.95	21.01	19.68	33.3	25.72	54.33	8.0	9.63	8.58	70.51	63.45
