	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
CCP110	42.41	51.35	24.99	12.55	32.13	13.93	69.03	95.34	58.71	48.52	69.52	95.34	79.45	76.71	55.89	110.43	92.05	102.25	81.71	53.19	309.83	279.14	121.79	423.61	102.25	221.86	253.23	149.12	241.19	172.65	193.01	167.9	339.14	237.86	147.06	120.94	457.25	518.15	156.59	371.22	169.07	232.94	241.19	157.68	232.94	137.14	145.02	198.47	189.02	329.84	193.01	163.28	258.57	295.11	171.45	165.57	183.82	161.02	139.07	320.8	249.73	147.06	381.68	209.84	327.56	86.43	119.26	199.85	170.25	165.57	251.48	120.94	287.01	154.42	346.29	221.86	363.56	226.54	131.51	314.17	159.9	231.32	116.78	181.28	117.6	283.05	228.13	190.34	239.52	244.57	141.02	137.14	205.5	159.9	201.25
CDK12	232.94	136.19	198.47	110.43	127.89	94.67	209.84	264.03	197.09	164.42	229.72	267.73	234.57	239.52	234.57	348.71	255.0	255.0	262.2	181.28	656.11	511.0	457.25	698.41	525.39	463.65	438.59	417.77	454.09	473.41	466.88	450.94	612.11	629.35	454.09	466.88	356.05	688.78	423.61	441.64	503.95	397.93	629.35	325.29	624.99	417.77	486.75	490.14	409.15	679.29	426.57	665.29	684.02	470.14	412.0	536.45	389.72	476.71	447.82	483.38	532.74	397.93	698.41	438.59	620.67	246.28	514.56	483.38	426.57	423.61	575.03	242.88	493.56	379.04	529.06	591.22	624.99	518.15	320.8	493.56	497.0	454.09	202.66	379.04	329.84	616.37	571.05	473.41	384.34	473.41	343.89	384.34	454.09	575.03	438.59
CENPC	36.79	32.59	24.11	10.0	46.84	25.54	148.09	151.22	87.03	74.58	155.5	145.02	104.42	159.9	103.69	244.57	131.51	132.44	148.09	104.42	356.05	301.33	199.85	409.15	248.0	277.2	201.25	220.32	271.48	237.86	220.32	273.37	363.56	341.51	242.88	285.03	414.87	420.68	234.57	363.56	264.03	244.57	255.0	173.85	251.48	209.84	224.97	277.2	237.86	389.72	262.2	316.37	363.56	314.17	295.11	271.48	236.21	172.65	316.37	320.8	291.04	229.72	579.04	260.38	536.45	157.68	244.57	234.57	215.77	195.72	314.17	147.06	339.14	159.9	318.57	229.72	435.55	264.03	194.36	299.25	271.48	281.09	156.59	193.01	193.01	460.44	260.38	234.57	262.2	409.15	258.57	217.27	301.33	267.73	277.2
CLDND1	476.71	432.53	363.56	379.04	356.05	336.79	698.41	665.29	587.13	669.92	836.53	848.22	860.08	575.03	583.07	836.53	454.09	780.44	780.44	525.39	1066.48	1199.98	941.27	1561.89	1191.69	1628.26	1151.06	1175.27	1477.58	1208.34	1225.22	1242.34	1769.57	1259.69	1167.14	1417.35	1167.14	1583.71	1561.89	1487.87	1304.15	1340.84	1159.07	1088.92	1044.52	995.0	1350.18	981.29	1359.57	1304.15	1001.93	1277.29	1369.04	1313.23	1313.23	1651.0	1183.45	1127.35	1199.98	1350.18	1583.71	1151.06	1909.85	1175.27	1769.57	842.36	1225.22	1167.14	1457.23	947.83	1143.1	1001.93	1832.01	896.64	1295.13	1259.69	1487.87	1233.75	1023.0	1832.01	1417.35	1081.39	753.83	954.43	981.29	1519.15	1104.13	1225.22	1313.23	1295.13	1268.46	1216.75	1111.82	1183.45	1242.34
CLK4	141.02	149.12	119.26	59.55	170.25	154.42	197.09	209.84	255.0	194.36	301.33	353.59	343.89	281.09	237.86	532.74	392.44	152.28	224.97	214.27	802.41	819.3	334.46	1350.18	387.02	599.49	571.05	438.59	961.07	490.14	567.1	473.41	486.75	743.43	563.18	571.05	493.56	1127.35	563.18	796.86	743.43	551.56	543.96	470.14	497.0	371.22	454.09	454.09	665.29	995.0	665.29	591.22	860.08	808.0	532.74	493.56	511.0	420.68	414.87	651.58	651.58	450.94	624.99	551.56	813.63	366.09	414.87	607.87	656.11	275.28	713.11	521.76	638.15	567.1	802.41	507.46	842.36	483.38	356.05	642.59	454.09	493.56	244.57	460.44	309.83	780.44	620.67	511.0	708.18	743.43	373.81	409.15	780.44	470.14	511.0
CMTR1	327.56	361.04	414.87	460.44	285.03	356.05	460.44	441.64	366.09	339.14	400.71	417.77	480.04	209.84	366.09	412.0	525.39	414.87	406.31	395.18	679.29	624.99	521.76	743.43	470.14	483.38	567.1	540.19	718.08	651.58	532.74	612.11	728.11	583.07	642.59	486.75	470.14	713.11	507.46	599.49	555.41	607.87	651.58	470.14	638.15	497.0	555.41	638.15	571.05	733.19	679.29	583.07	866.07	571.05	612.11	591.22	493.56	540.19	503.95	616.37	647.07	500.46	753.83	688.78	595.34	447.82	493.56	575.03	500.46	525.39	665.29	395.18	718.08	559.28	759.08	603.67	733.19	571.05	463.65	642.59	583.07	532.74	406.31	551.56	463.65	629.35	808.0	616.37	638.15	669.92	511.0	454.09	591.22	460.44	511.0
CRBN	262.2	490.14	309.83	106.63	363.56	412.0	490.14	669.92	463.65	412.0	476.71	480.04	493.56	612.11	507.46	559.28	536.45	587.13	579.04	307.69	896.64	830.75	595.34	1259.69	514.56	791.35	796.86	674.59	941.27	647.07	780.44	642.59	974.5	954.43	698.41	665.29	813.63	1199.98	748.61	988.12	679.29	748.61	665.29	703.28	775.05	547.75	679.29	780.44	884.29	1015.93	785.88	723.08	825.0	866.07	796.86	647.07	688.78	616.37	633.73	995.0	830.75	684.02	1081.39	753.83	1088.92	575.03	679.29	738.29	785.88	525.39	974.5	633.73	1001.93	612.11	819.3	713.11	1044.52	753.83	642.59	928.3	813.63	921.88	603.67	813.63	607.87	813.63	884.29	753.83	842.36	842.36	518.15	642.59	647.07	642.59	753.83
CREBZF	256.78	172.65	182.55	150.17	277.2	195.72	258.57	403.5	351.14	232.94	432.53	460.44	343.89	400.71	264.03	738.29	587.13	329.84	379.04	297.17	1437.15	1286.18	521.76	1572.76	490.14	791.35	1037.29	961.07	1359.57	1208.34	1073.91	713.11	1191.69	1259.69	796.86	796.86	1081.39	1572.76	947.83	1639.59	896.64	1127.35	1119.56	872.1	1096.5	909.17	728.11	759.08	1008.9	1369.04	1159.07	684.02	1295.13	1081.39	1059.11	848.22	612.11	1001.93	624.99	1088.92	1313.23	967.76	1208.34	1044.52	1208.34	575.03	620.67	1208.34	954.43	555.41	1143.1	934.76	1111.82	902.89	1388.16	1208.34	1437.15	1037.29	780.44	1191.69	878.17	1199.98	743.43	1051.79	579.04	1183.45	1225.22	1359.57	1023.0	1088.92	825.0	583.07	1030.12	656.11	961.07
CTD-2368P22.1	14.35	40.93	24.28	30.12	52.45	22.1	85.82	96.68	98.73	73.54	90.14	101.54	151.22	113.56	98.73	135.24	126.12	154.42	117.6	71.5	387.02	248.0	111.21	309.83	155.5	121.79	139.07	142.01	162.14	218.79	143.01	197.09	120.1	173.85	256.78	161.02	256.78	325.29	129.69	241.19	194.36	205.5	214.27	162.14	287.01	133.36	133.36	165.57	167.9	281.09	132.44	88.26	256.78	269.6	164.42	123.5	129.69	150.17	170.25	256.78	218.79	90.77	339.14	341.51	220.32	100.13	139.07	183.82	148.09	95.34	260.38	124.37	181.28	145.02	329.84	214.27	397.93	164.42	125.24	190.34	123.5	246.28	113.56	193.01	95.34	323.03	218.79	201.25	208.38	267.73	183.82	199.85	186.4	129.69	153.34
DCUN1D4	163.28	197.09	144.01	68.55	180.02	228.13	224.97	283.05	329.84	204.07	291.04	253.23	223.41	417.77	293.07	389.72	368.65	295.11	277.2	172.65	583.07	525.39	395.18	830.75	309.83	483.38	397.93	420.68	490.14	483.38	460.44	358.54	703.28	532.74	493.56	447.82	540.19	878.17	616.37	780.44	480.04	460.44	571.05	376.41	361.04	358.54	343.89	480.04	543.96	525.39	423.61	435.55	490.14	780.44	529.06	470.14	438.59	309.83	389.72	518.15	486.75	363.56	642.59	463.65	836.53	336.79	323.03	438.59	406.31	329.84	567.1	412.0	791.35	435.55	684.02	532.74	698.41	381.68	273.37	571.05	511.0	447.82	269.6	447.82	208.38	988.12	521.76	406.31	441.64	540.19	490.14	476.71	480.04	473.41	343.89
DDX17	1529.73	1498.22	1388.16	1340.84	1733.13	1674.06	1870.53	2895.31	3372.43	1977.24	4268.94	4543.8	3325.99	3491.39	3467.27	5219.6	4575.41	2777.33	3540.14	2758.13	11504.21	9673.69	5555.65	15075.35	6164.49	6792.79	8778.97	6121.9	11267.44	8901.53	5041.77	8191.0	10659.59	12244.81	9088.59	6037.61	8421.31	20737.16	5872.48	11827.67	11745.96	9606.86	10014.87	7433.4	6561.36	7130.55	7081.29	7230.1	7180.15	10808.41	7911.95	6699.25	11584.24	13306.94	9409.14	8363.13	6207.38	5791.62	7130.55	13872.08	11345.82	5594.3	12853.63	12502.12	10585.95	5076.84	7382.04	7695.57	9673.69	5292.48	10512.82	5441.3	11745.96	7280.4	11424.74	8078.22	11112.3	7331.05	5112.16	10883.59	6652.97	7695.57	4543.8	7695.57	4210.15	16269.83	7966.99	6745.86	9409.14	10296.45	7433.4	7081.29	9151.82	6164.49	6516.03
DICER1	105.15	72.52	111.21	57.49	50.98	55.49	206.94	158.79	133.36	141.02	214.27	167.9	122.64	146.03	327.56	206.94	190.34	214.27	186.4	100.83	507.46	414.87	287.01	688.78	239.52	366.09	366.09	329.84	518.15	376.41	389.72	336.79	684.02	607.87	351.14	356.05	595.34	872.1	373.81	620.67	395.18	417.77	540.19	325.29	438.59	356.05	343.89	397.93	438.59	633.73	389.72	275.28	426.57	486.75	348.71	429.54	341.51	356.05	303.44	555.41	563.18	312.0	587.13	450.94	665.29	212.78	265.87	426.57	343.89	291.04	500.46	220.32	579.04	329.84	665.29	500.46	607.87	432.53	228.13	514.56	426.57	376.41	163.28	341.51	190.34	500.46	525.39	429.54	406.31	423.61	234.57	229.72	351.14	339.14	409.15
DIDO1	271.48	255.0	231.32	395.18	497.0	113.56	447.82	595.34	397.93	507.46	435.55	647.07	536.45	559.28	414.87	583.07	555.41	583.07	555.41	363.56	909.17	909.17	603.67	909.17	571.05	698.41	825.0	647.07	1037.29	733.19	713.11	718.08	961.07	896.64	796.86	638.15	928.3	1259.69	775.05	1051.79	836.53	830.75	866.07	603.67	890.44	595.34	684.02	703.28	713.11	928.3	802.41	674.59	941.27	1015.93	813.63	718.08	785.88	660.68	808.0	884.29	825.0	656.11	1044.52	934.76	808.0	638.15	674.59	764.36	830.75	603.67	733.19	432.53	967.76	633.73	1119.56	902.89	860.08	813.63	575.03	733.19	651.58	612.11	514.56	703.28	555.41	915.51	934.76	674.59	836.53	954.43	819.3	759.08	813.63	723.08	718.08
DIP2A	149.12	133.36	144.01	115.97	126.12	99.43	186.4	226.54	186.4	215.77	295.11	293.07	269.6	241.19	237.86	291.04	293.07	201.25	253.23	221.86	460.44	457.25	228.13	473.41	258.57	339.14	325.29	303.44	480.04	339.14	293.07	318.57	500.46	305.55	366.09	273.37	540.19	486.75	316.37	435.55	384.34	389.72	397.93	264.03	368.65	275.28	366.09	281.09	368.65	438.59	325.29	346.29	476.71	486.75	414.87	447.82	289.02	218.79	314.17	389.72	403.5	232.94	529.06	387.02	329.84	271.48	283.05	309.83	392.44	256.78	409.15	232.94	571.05	329.84	603.67	318.57	514.56	325.29	262.2	463.65	305.55	332.14	231.32	297.17	281.09	607.87	305.55	314.17	395.18	444.72	341.51	281.09	332.14	256.78	293.07
DMTF1	206.94	119.26	106.63	39.22	165.57	212.78	441.64	511.0	447.82	441.64	884.29	733.19	728.11	607.87	470.14	1001.93	1208.34	441.64	674.59	642.59	2178.83	1896.65	1030.12	2855.44	1030.12	1081.39	921.88	1167.14	1540.37	1369.04	928.3	1304.15	2148.82	1674.06	1883.54	1104.13	1286.18	2075.59	947.83	1757.34	1769.57	1259.69	1529.73	884.29	995.0	854.13	1304.15	1167.14	1208.34	2351.53	1191.69	1388.16	2178.83	2075.59	1119.56	1594.73	1088.92	848.22	1119.56	2351.53	1870.53	884.29	1991.0	2119.22	2591.27	830.75	1008.9	954.43	1498.22	764.36	2319.15	679.29	2485.67	1467.37	2193.99	1191.69	2485.67	1001.93	599.49	1923.14	1208.34	1407.55	490.14	1167.14	483.38	2895.31	1250.98	1277.29	1437.15	1639.59	1066.48	1001.93	1721.16	1225.22	1286.18
DOPEY1	63.0	73.54	61.68	43.02	44.25	27.64	127.0	167.9	120.1	88.26	158.79	147.06	159.9	163.28	126.12	277.2	106.63	148.09	171.45	77.25	460.44	368.65	295.11	583.07	231.32	279.14	376.41	255.0	387.02	312.0	305.55	255.0	500.46	339.14	426.57	212.78	547.75	470.14	277.2	483.38	329.84	334.46	409.15	277.2	361.04	255.0	323.03	353.59	381.68	379.04	366.09	295.11	341.51	381.68	281.09	265.87	253.23	256.78	262.2	563.18	361.04	232.94	460.44	373.81	551.56	251.48	258.57	297.17	309.83	185.11	447.82	186.4	409.15	236.21	414.87	336.79	426.57	269.6	209.84	379.04	283.05	438.59	157.68	307.69	161.02	314.17	432.53	339.14	414.87	339.14	220.32	177.53	368.65	273.37	291.04
EFHC1	170.25	100.13	175.07	50.63	159.9	108.14	239.52	265.87	155.5	151.22	267.73	343.89	384.34	301.33	183.82	341.51	260.38	220.32	143.01	206.94	624.99	563.18	320.8	836.53	246.28	366.09	463.65	255.0	575.03	409.15	285.03	348.71	571.05	486.75	348.71	403.5	532.74	693.58	327.56	688.78	525.39	460.44	441.64	483.38	412.0	295.11	392.44	392.44	441.64	693.58	460.44	525.39	454.09	599.49	660.68	551.56	409.15	279.14	412.0	656.11	698.41	318.57	612.11	567.1	575.03	336.79	414.87	457.25	563.18	191.67	529.06	441.64	543.96	387.02	656.11	438.59	738.29	406.31	318.57	616.37	336.79	559.28	381.68	435.55	267.73	802.41	476.71	429.54	612.11	466.88	400.71	470.14	511.0	363.56	463.65
EPM2AIP1	70.51	127.89	74.06	27.44	108.9	44.57	299.25	293.07	450.94	199.85	249.73	314.17	191.67	351.14	275.28	392.44	493.56	463.65	490.14	228.13	647.07	540.19	483.38	836.53	285.03	414.87	540.19	429.54	583.07	521.76	441.64	409.15	555.41	603.67	470.14	318.57	441.64	463.65	361.04	620.67	381.68	493.56	521.76	563.18	426.57	368.65	285.03	525.39	551.56	674.59	529.06	293.07	514.56	693.58	341.51	273.37	450.94	454.09	387.02	629.35	480.04	397.93	591.22	599.49	603.67	353.59	262.2	417.77	395.18	444.72	688.78	476.71	547.75	473.41	660.68	480.04	547.75	476.71	423.61	507.46	454.09	616.37	403.5	587.13	351.14	665.29	679.29	476.71	525.39	559.28	346.29	260.38	429.54	432.53	490.14
ERVW-1	0.0	0.0	0.46	0.38	0.0	0.0	0.0	0.54	0.0	0.51	1.28	0.0	0.0	1.25	0.55	1.81	3.29	0.97	1.13	0.0	15.68	7.46	4.9	11.21	0.92	3.26	3.56	4.7	11.64	6.46	6.01	5.54	6.36	13.83	8.25	1.69	4.31	4.86	6.73	6.26	3.35	5.06	12.0	3.23	8.25	4.62	1.71	5.82	7.69	17.77	11.73	0.99	5.02	6.84	2.39	6.31	3.06	3.63	1.73	5.77	10.39	3.86	19.97	4.28	4.03	3.29	1.89	11.3	0.16	1.99	15.56	2.01	6.73	7.57	6.31	9.85	10.16	8.71	7.46	12.18	5.23	8.19	0.66	5.45	4.5	8.25	9.78	10.47	4.62	3.56	0.89	1.16	4.06	3.89	4.62
EZH1	403.5	348.71	400.71	312.0	532.74	146.03	525.39	679.29	470.14	466.88	575.03	563.18	878.17	599.49	334.46	525.39	521.76	620.67	529.06	406.31	1159.07	896.64	575.03	708.18	473.41	620.67	660.68	642.59	934.76	780.44	587.13	612.11	759.08	713.11	896.64	638.15	575.03	1059.11	728.11	878.17	825.0	836.53	921.88	616.37	813.63	511.0	607.87	629.35	698.41	836.53	713.11	813.63	995.0	1088.92	785.88	825.0	633.73	435.55	620.67	1030.12	872.1	518.15	738.29	647.07	616.37	607.87	587.13	718.08	723.08	507.46	974.5	450.94	866.07	591.22	941.27	703.28	825.0	808.0	536.45	753.83	587.13	629.35	397.93	693.58	633.73	1572.76	791.35	575.03	941.27	713.11	738.29	1059.11	718.08	591.22	669.92
FAM111A	159.9	132.44	151.22	74.06	129.69	133.36	267.73	348.71	361.04	172.65	248.0	392.44	348.71	275.28	256.78	447.82	242.88	197.09	384.34	271.48	708.18	660.68	316.37	1191.69	239.52	460.44	450.94	258.57	808.0	473.41	395.18	371.22	769.69	426.57	423.61	490.14	551.56	688.78	293.07	638.15	808.0	348.71	571.05	323.03	423.61	236.21	620.67	607.87	599.49	981.29	532.74	769.69	1030.12	866.07	624.99	559.28	420.68	265.87	616.37	872.1	647.07	186.4	890.44	775.05	890.44	191.67	559.28	412.0	866.07	341.51	660.68	336.79	825.0	291.04	1001.93	529.06	854.13	376.41	269.6	684.02	325.29	426.57	236.21	406.31	262.2	1322.37	612.11	379.04	698.41	688.78	409.15	420.68	684.02	423.61	379.04
FAM133B	130.6	67.59	69.03	39.79	173.85	231.32	314.17	260.38	289.02	255.0	384.34	379.04	341.51	323.03	277.2	423.61	332.14	397.93	314.17	373.81	579.04	563.18	389.72	575.03	384.34	503.95	543.96	463.65	551.56	518.15	518.15	450.94	665.29	503.95	532.74	587.13	563.18	660.68	420.68	638.15	583.07	450.94	400.71	540.19	441.64	397.93	507.46	591.22	555.41	651.58	525.39	454.09	629.35	559.28	536.45	457.25	457.25	595.34	470.14	555.41	543.96	457.25	708.18	547.75	802.41	363.56	457.25	466.88	616.37	348.71	551.56	521.76	708.18	490.14	571.05	426.57	607.87	503.95	412.0	647.07	476.71	591.22	400.71	507.46	297.17	612.11	483.38	473.41	463.65	575.03	420.68	406.31	595.34	480.04	497.0
FAM76B	43.32	49.21	35.76	10.08	52.82	78.89	87.03	108.14	120.94	92.7	220.32	120.94	94.67	111.99	121.79	217.27	255.0	134.3	199.85	63.89	603.67	629.35	141.02	684.02	249.73	316.37	457.25	332.14	575.03	438.59	409.15	329.84	540.19	563.18	336.79	356.05	651.58	995.0	493.56	743.43	417.77	521.76	397.93	392.44	490.14	287.01	343.89	403.5	473.41	723.08	490.14	295.11	583.07	571.05	470.14	466.88	295.11	314.17	392.44	607.87	674.59	361.04	616.37	529.06	642.59	253.23	271.48	454.09	403.5	209.84	473.41	327.56	647.07	356.05	599.49	500.46	713.11	514.56	236.21	595.34	327.56	400.71	262.2	518.15	309.83	679.29	525.39	473.41	395.18	579.04	305.55	316.37	384.34	334.46	397.93
FLCN	460.44	301.33	571.05	129.69	237.86	244.57	368.65	769.69	532.74	346.29	244.57	518.15	718.08	226.54	220.32	599.49	327.56	693.58	633.73	409.15	1242.34	995.0	802.41	1340.84	318.57	406.31	866.07	703.28	1268.46	1572.76	718.08	525.39	1111.82	884.29	796.86	417.77	1369.04	420.68	1104.13	884.29	780.44	1369.04	629.35	503.95	1127.35	540.19	612.11	974.5	759.08	1119.56	921.88	775.05	813.63	1651.0	764.36	753.83	1015.93	490.14	708.18	981.29	802.41	612.11	1331.57	796.86	547.75	647.07	426.57	665.29	620.67	620.67	1378.57	490.14	796.86	620.67	896.64	607.87	848.22	476.71	660.68	764.36	866.07	872.1	444.72	796.86	633.73	1159.07	884.29	780.44	909.17	1250.98	457.25	647.07	1059.11	521.76	708.18
FMR1	334.46	242.88	249.73	139.07	258.57	148.09	339.14	555.41	432.53	368.65	346.29	511.0	441.64	500.46	486.75	571.05	368.65	525.39	575.03	353.59	934.76	896.64	603.67	1001.93	414.87	830.75	860.08	547.75	961.07	713.11	693.58	753.83	1159.07	921.88	684.02	836.53	1015.93	1135.2	679.29	1199.98	693.58	708.18	718.08	802.41	842.36	460.44	647.07	693.58	854.13	1159.07	738.29	599.49	909.17	1044.52	728.11	775.05	684.02	511.0	764.36	967.76	813.63	599.49	1001.93	785.88	1208.34	429.54	571.05	796.86	620.67	575.03	848.22	607.87	1167.14	476.71	1059.11	708.18	934.76	674.59	450.94	934.76	748.61	878.17	480.04	896.64	403.5	1844.76	884.29	660.68	967.76	748.61	579.04	612.11	808.0	629.35	791.35
FNBP1	201.25	291.04	275.28	420.68	114.36	177.53	293.07	642.59	241.19	414.87	400.71	450.94	454.09	441.64	341.51	341.51	351.14	480.04	395.18	366.09	1183.45	941.27	629.35	1359.57	555.41	830.75	1277.29	753.83	1175.27	884.29	848.22	780.44	1051.79	1127.35	616.37	842.36	1674.06	2502.97	713.11	2209.26	878.17	890.44	764.36	607.87	825.0	460.44	688.78	854.13	872.1	878.17	656.11	974.5	1044.52	1111.82	1437.15	934.76	878.17	473.41	791.35	1487.87	928.3	693.58	1143.1	713.11	988.12	543.96	703.28	890.44	1044.52	583.07	854.13	796.86	1167.14	575.03	1175.27	1023.0	947.83	1225.22	638.15	988.12	836.53	884.29	698.41	791.35	599.49	1991.0	1175.27	665.29	1233.75	796.86	1096.5	866.07	934.76	633.73	543.96
FRAS1	62.12	52.82	120.94	94.67	108.9	2.73	88.88	128.79	96.01	61.68	58.71	27.64	28.24	223.41	14.03	39.22	228.13	80.57	14.45	119.26	507.46	361.04	269.6	1794.29	381.68	318.57	329.84	183.82	791.35	176.29	591.22	318.57	607.87	1551.09	52.82	473.41	473.41	612.11	253.23	1216.75	633.73	323.03	115.16	201.25	332.14	175.07	246.28	457.25	363.56	1096.5	429.54	656.11	500.46	796.86	525.39	447.82	351.14	100.83	363.56	748.61	493.56	316.37	1066.48	193.01	547.75	171.45	450.94	518.15	884.29	165.57	490.14	212.78	733.19	138.1	603.67	420.68	1721.16	497.0	307.69	1216.75	145.02	435.55	239.52	241.19	132.44	2573.36	660.68	316.37	915.51	226.54	285.03	267.73	420.68	575.03	146.03
GON4L	236.21	199.85	170.25	164.42	255.0	156.59	269.6	334.46	316.37	251.48	343.89	435.55	493.56	358.54	301.33	358.54	265.87	325.29	346.29	239.52	698.41	575.03	432.53	872.1	314.17	400.71	454.09	368.65	583.07	529.06	444.72	381.68	651.58	400.71	591.22	305.55	457.25	728.11	387.02	507.46	540.19	518.15	591.22	403.5	486.75	417.77	444.72	518.15	420.68	684.02	476.71	587.13	660.68	540.19	551.56	483.38	563.18	426.57	518.15	587.13	571.05	323.03	616.37	587.13	511.0	460.44	438.59	457.25	563.18	454.09	559.28	387.02	543.96	470.14	575.03	450.94	633.73	379.04	297.17	503.95	414.87	470.14	392.44	441.64	329.84	406.31	454.09	463.65	607.87	642.59	373.81	339.14	511.0	361.04	567.1
GSAP	281.09	122.64	195.72	82.29	180.02	56.28	194.36	346.29	189.02	194.36	336.79	285.03	277.2	325.29	299.25	395.18	460.44	358.54	353.59	599.49	915.51	728.11	414.87	860.08	318.57	454.09	684.02	473.41	708.18	493.56	389.72	435.55	902.89	981.29	595.34	406.31	624.99	1008.9	483.38	909.17	587.13	638.15	642.59	444.72	480.04	447.82	441.64	543.96	536.45	830.75	567.1	493.56	896.64	703.28	642.59	518.15	547.75	432.53	441.64	785.88	595.34	575.03	769.69	808.0	848.22	403.5	379.04	616.37	587.13	316.37	674.59	470.14	785.88	480.04	836.53	748.61	884.29	595.34	305.55	703.28	454.09	647.07	395.18	603.67	314.17	848.22	595.34	518.15	764.36	674.59	358.54	361.04	759.08	379.04	480.04
