	GTEX.1122O.1226.SM.5H113	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	GTEX.12WSJ.1426.SM.5GCON	TCGA.B0.5121.01A.02R.1420.07	TCGA.ED.A627.01A.12R.A311.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.BG.A2AD.11A.11R.A16F.07	GTEX.ZVT2.0426.SM.5E44S	GTEX.Y3IK.2126.SM.4YCDS	GTEX.131XG.2026.SM.5GCN5	GTEX.11DXX.1526.SM.5H115	GTEX.OHPL.2026.SM.3TW8R	GTEX.11I78.2126.SM.5A5K8	GTEX.S32W.1426.SM.4AD66	GTEX.QCQG.1326.SM.48U24	GTEX.XYKS.1626.SM.4BRUQ
DDX10	389.72	1331.57	954.43	312.0	669.92	363.56	215.77	244.57	271.48	218.79	246.28	346.29	543.96	177.53	205.5	277.2	231.32	256.78	473.41	218.79	287.01	273.37	267.73	656.11	529.06	620.67	660.68	928.3	1697.45	769.69	1286.18	1369.04	780.44
ERI3	1331.57	2090.03	1639.59	1447.15	1208.34	1183.45	842.36	373.81	674.59	764.36	656.11	928.3	693.58	780.44	759.08	780.44	540.19	698.41	1037.29	633.73	842.36	688.78	825.0	1498.22	1551.09	1819.35	1104.13	1832.01	2777.33	1519.15	1617.0	2537.92	1639.59
FBL	5672.41	15392.14	12244.81	5831.91	6607.01	3303.0	2895.31	1651.0	1331.57	1096.5	2148.82	3395.89	2935.74	1628.26	2209.26	2163.77	2520.38	2434.5	1977.24	2224.63	4903.87	1870.53	1457.23	8134.41	8658.09	11504.21	7589.61	10296.45	21768.19	12244.81	13123.73	18052.61	13681.08
FKBP10	2209.26	7331.05	2609.3	1216.75	2701.35	785.88	116.78	57.08	138.1	189.02	63.45	178.77	21.01	116.78	204.07	46.84	78.89	43.02	163.28	27.44	27.64	22.92	181.28	2351.53	1685.71	4358.66	5255.91	3491.39	7130.55	3235.01	8134.41	21026.65	15075.35
FTSJ1	698.41	2255.7	1388.16	733.19	486.75	607.87	303.44	420.68	343.89	211.31	212.78	525.39	420.68	279.14	297.17	220.32	417.77	318.57	389.72	253.23	470.14	136.19	303.44	723.08	988.12	674.59	974.5	1233.75	1991.0	1044.52	1286.18	1697.45	1208.34
GAR1	435.55	1073.91	928.3	547.75	493.56	376.41	143.01	211.31	231.32	231.32	269.6	397.93	348.71	218.79	249.73	208.38	204.07	251.48	346.29	173.85	279.14	148.09	273.37	486.75	674.59	775.05	629.35	848.22	1369.04	854.13	1143.1	1037.29	1081.39
GDAP1L1	4.03	96.01	53.57	9.63	1.87	6.84	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.79	0.85	1.28	1.93	0.48	1.97	1.28	0.21	0.0	0.0	33.06	21.78	64.8	113.56	33.06	98.04	28.86	53.95	30.12	423.61
GPR173	55.49	194.36	59.13	35.0	17.51	6.67	2.94	0.09	1.73	3.79	0.0	3.29	3.14	1.46	4.98	1.33	3.06	1.69	1.28	1.06	0.02	0.0	1.69	57.89	60.82	327.56	785.88	155.5	209.84	339.14	205.5	1225.22	642.59
HP	265.87	1359.57	2224.63	101.54	17.9	869603.57	1.307221145E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	1.410789979E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	1.512047268E7	2.614442391E7	1.381756339E7	8191.0	412.0	105.15	29736.59	2.48	27.84	149.12	1909.85	733.19	27.25
IFITM1	5555.65	144427.91	58250.19	5219.6	9088.59	5831.91	6250.56	1950.0	3515.68	4769.75	8598.28	10512.82	1923.14	2417.67	1487.87	3081.75	5995.9	8963.45	7642.41	4239.45	3928.15	2384.37	4704.07	17804.06	12676.65	32994.92	7130.55	14663.09	28328.16	10225.32	22072.07	44145.15	37639.55
