	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.DD.AAE2.01A.11R.A41C.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.A4NI.01A.11R.A27V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	GTEX.13NZ9.1126.SM.5MR37
TYK2	1733.13	3190.46	1870.53	1963.57	2178.83	1950.0	3982.99	2468.49	3372.43	3419.52	2935.74	3742.05	2835.7	2573.36	2367.9	2148.82	2609.3	1697.45	1561.89	2061.24	669.92	1015.93	1233.75	1417.35	941.27	2075.59	2032.85	1651.0	1733.13	1508.65	1127.35	1572.76	1135.2	1286.18	1407.55	1199.98	2032.85	941.27	2777.33	3190.46	3639.7
USP21	332.14	674.59	255.0	555.41	579.04	463.65	1183.45	314.17	830.75	595.34	595.34	1199.98	244.57	356.05	536.45	432.53	341.51	125.24	173.85	309.83	76.17	114.36	156.59	129.69	142.01	246.28	271.48	224.97	206.94	171.45	123.5	149.12	132.44	211.31	150.17	53.57	76.17	228.13	791.35	813.63	1073.91
USP22	947.83	808.0	503.95	1498.22	1662.49	2224.63	1806.78	620.67	607.87	1159.07	1331.57	1208.34	830.75	753.83	1896.65	928.3	688.78	198.47	305.55	242.88	320.8	397.93	258.57	450.94	351.14	325.29	366.09	334.46	248.0	190.34	503.95	320.8	191.67	195.72	248.0	166.73	397.93	417.77	1498.22	1806.78	2004.85
VMAC	52.82	66.65	49.56	120.1	70.01	62.56	98.04	69.03	75.64	52.08	101.54	142.01	39.22	72.52	78.89	68.55	66.65	30.56	65.26	44.89	34.75	22.59	35.76	40.36	53.95	72.52	43.32	38.95	44.25	51.71	35.76	69.52	42.41	47.5	30.34	42.41	14.14	43.32	115.97	137.14	173.85
VPS45	563.18	733.19	470.14	723.08	1259.69	780.44	1605.83	629.35	1015.93	759.08	1286.18	1096.5	493.56	532.74	764.36	423.61	441.64	312.0	246.28	559.28	283.05	228.13	414.87	256.78	239.52	392.44	231.32	400.71	363.56	291.04	244.57	281.09	325.29	406.31	234.57	125.24	97.36	242.88	808.0	915.51	860.08
WDR83	166.73	285.03	329.84	400.71	348.71	277.2	373.81	206.94	395.18	483.38	356.05	432.53	389.72	423.61	387.02	211.31	212.78	143.01	214.27	314.17	69.03	88.26	170.25	189.02	124.37	232.94	125.24	176.29	183.82	197.09	163.28	228.13	209.84	187.71	139.07	80.57	64.8	150.17	358.54	417.77	551.56
WIZ	441.64	511.0	389.72	500.46	633.73	583.07	684.02	303.44	460.44	540.19	579.04	642.59	392.44	447.82	620.67	417.77	229.72	176.29	194.36	154.42	129.69	185.11	152.28	162.14	201.25	228.13	175.07	305.55	182.55	178.77	249.73	241.19	209.84	186.4	165.57	182.55	249.73	285.03	450.94	438.59	571.05
XAB2	796.86	638.15	780.44	866.07	642.59	836.53	884.29	536.45	1151.06	1216.75	961.07	1268.46	769.69	896.64	1259.69	981.29	595.34	454.09	612.11	902.89	275.28	287.01	409.15	507.46	497.0	693.58	532.74	518.15	624.99	665.29	525.39	785.88	647.07	559.28	536.45	406.31	325.29	514.56	1304.15	1216.75	1175.27
ZNF251	255.0	199.85	135.24	336.79	199.85	237.86	587.13	197.09	275.28	400.71	194.36	334.46	111.21	165.57	507.46	176.29	142.01	94.01	70.01	173.85	42.41	34.02	67.12	91.41	48.18	154.42	60.39	100.83	122.64	126.12	61.68	92.7	93.35	96.68	89.51	27.84	42.41	52.45	521.76	764.36	423.61
ZNF335	153.34	325.29	167.9	318.57	249.73	234.57	303.44	170.25	303.44	208.38	299.25	351.14	198.47	249.73	323.03	221.86	187.71	89.51	92.7	123.5	78.34	76.71	95.34	82.87	77.25	151.22	126.12	90.14	100.83	96.68	71.0	107.38	82.87	95.34	117.6	42.41	143.01	74.06	392.44	583.07	435.55
ZNF414	414.87	624.99	567.1	684.02	571.05	684.02	748.61	346.29	1183.45	902.89	607.87	708.18	665.29	753.83	764.36	395.18	429.54	275.28	341.51	571.05	171.45	217.27	529.06	281.09	262.2	309.83	366.09	379.04	366.09	329.84	232.94	307.69	429.54	361.04	470.14	152.28	256.78	249.73	688.78	947.83	902.89
ZNF692	454.09	1081.39	293.07	890.44	563.18	1369.04	1963.57	693.58	1572.76	1135.2	1378.57	1757.34	624.99	902.89	1088.92	1427.22	470.14	202.66	273.37	559.28	95.34	76.71	218.79	307.69	143.01	432.53	285.03	406.31	318.57	283.05	143.01	181.28	293.07	275.28	242.88	110.43	89.51	180.02	1015.93	1427.22	1378.57
ZNF77	38.67	95.34	56.28	129.69	54.72	24.99	95.34	39.5	77.79	52.82	38.12	130.6	49.91	52.45	127.89	36.79	35.25	16.63	22.1	58.3	22.75	34.75	37.32	12.55	13.32	25.35	69.03	39.22	23.93	17.25	19.53	29.91	37.05	30.12	15.91	14.89	30.78	41.52	69.03	78.34	57.08
