	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.Y3IK.0526.SM.4WWE3	GTEX.147GR.0726.SM.5S2PL	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.TKQ1.0126.SM.33HB3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
GDPD3	0.0	0.65	204.07	162.14	59.55	186.4	46.5	48.87	46.84	87.65	40.93	65.26	127.0	46.5	72.01	25.54	103.69	52.08	30.34	52.45	23.76	149.12	124.37	134.3	156.59	147.06	85.22	104.42	94.67	69.03	48.52	35.25	126.12	99.43	182.55	129.69	37.59	40.07	34.51	141.02	70.51	44.89	38.67	45.85	25.35	45.53	193.01	17.64	37.05	26.67	16.88	35.76	58.71	98.73	136.19	34.26	151.22	16.51
GPR176	0.0	0.43	212.78	119.26	118.43	171.45	62.12	50.98	96.68	50.98	76.71	70.01	112.77	130.6	94.67	47.17	165.57	139.07	58.3	71.5	53.57	83.45	157.68	95.34	116.78	137.14	76.17	115.97	139.07	98.04	30.34	45.21	88.26	169.07	98.73	119.26	78.89	42.71	80.57	60.82	61.68	52.82	82.87	49.56	28.24	47.17	78.89	32.59	84.63	118.43	90.77	53.95	74.58	69.52	61.68	54.72	71.0	37.59
GSDMD	2935.74	146.03	3018.3	2224.63	1378.57	2555.58	1208.34	1639.59	1340.84	1378.57	1277.29	1963.57	2303.12	1378.57	1923.14	1662.49	1896.65	1909.85	1268.46	1477.58	1350.18	2133.97	2018.8	1950.0	2148.82	2384.37	1844.76	2148.82	2335.28	2090.03	1286.18	1304.15	2303.12	2240.11	2796.65	2104.58	1167.14	1030.12	1561.89	1709.26	1268.46	1081.39	1233.75	1350.18	2018.8	1059.11	2104.58	1073.91	1519.15	1008.9	1159.07	1467.37	1991.0	2032.85	1909.85	1572.76	2417.67	1340.84
HAAO	0.0	0.35	603.67	423.61	228.13	486.75	182.55	125.24	206.94	195.72	241.19	351.14	438.59	241.19	242.88	186.4	423.61	341.51	117.6	206.94	152.28	262.2	547.75	460.44	753.83	587.13	500.46	353.59	255.0	595.34	123.5	185.11	141.02	620.67	414.87	305.55	172.65	149.12	128.79	251.48	231.32	117.6	221.86	56.68	130.6	116.78	470.14	77.79	121.79	111.21	183.82	134.3	400.71	186.4	376.41	119.26	299.25	177.53
HDAC10	0.0	0.96	836.53	1111.82	571.05	1304.15	460.44	616.37	441.64	551.56	420.68	616.37	947.83	688.78	660.68	447.82	693.58	536.45	387.02	591.22	305.55	825.0	723.08	1015.93	1259.69	1151.06	961.07	860.08	642.59	785.88	529.06	432.53	941.27	961.07	1030.12	759.08	486.75	493.56	579.04	1023.0	638.15	392.44	291.04	392.44	500.46	450.94	1151.06	583.07	708.18	373.81	379.04	438.59	791.35	575.03	896.64	414.87	780.44	277.2
HEXIM2	0.0	0.0	728.11	507.46	371.22	397.93	140.04	167.9	193.01	256.78	127.0	255.0	351.14	205.5	334.46	180.02	303.44	334.46	149.12	195.72	151.22	320.8	358.54	607.87	493.56	395.18	220.32	301.33	353.59	283.05	172.65	163.28	316.37	368.65	346.29	320.8	178.77	111.21	226.54	339.14	199.85	201.25	144.01	180.02	170.25	204.07	379.04	127.89	265.87	135.24	148.09	164.42	251.48	248.0	406.31	186.4	507.46	108.9
HID1	0.0	0.85	921.88	603.67	457.25	579.04	723.08	336.79	299.25	460.44	343.89	429.54	616.37	429.54	429.54	223.41	633.73	438.59	309.83	366.09	265.87	463.65	551.56	813.63	587.13	684.02	486.75	624.99	400.71	733.19	444.72	271.48	563.18	708.18	854.13	620.67	297.17	420.68	339.14	624.99	400.71	255.0	438.59	476.71	241.19	269.6	587.13	429.54	389.72	283.05	381.68	241.19	555.41	748.61	500.46	497.0	651.58	260.38
HIST1H3D	0.0	0.65	30.12	64.34	11.55	121.79	0.0	10.55	8.85	18.43	7.51	9.34	11.91	8.25	10.63	0.0	8.0	21.47	18.43	11.73	8.71	23.59	24.99	15.22	35.76	12.83	11.3	25.54	20.26	22.75	0.88	4.9	26.28	38.4	63.0	11.91	8.38	8.45	7.63	11.73	7.06	6.89	4.5	7.34	8.99	10.47	88.88	4.03	0.0	20.56	20.71	0.0	21.32	35.25	21.94	18.84	8.71	9.93
HIST1H3H	0.0	0.32	36.79	46.5	32.59	255.0	14.89	10.39	5.11	43.02	12.27	16.15	0.0	11.21	8.85	5.59	28.45	36.53	5.28	19.82	11.91	47.84	52.08	49.21	44.57	34.51	5.87	17.51	21.78	35.5	7.28	0.0	76.17	50.27	47.84	12.0	0.0	10.96	10.71	43.02	18.03	10.16	4.21	8.0	9.13	15.0	133.36	0.0	8.51	6.62	10.39	6.26	40.36	47.5	16.15	17.13	19.82	0.0
HSD11B1L	0.0	0.28	620.67	698.41	426.57	543.96	244.57	281.09	299.25	450.94	215.77	351.14	457.25	237.86	389.72	234.57	420.68	518.15	143.01	307.69	208.38	532.74	500.46	543.96	409.15	384.34	529.06	514.56	260.38	447.82	223.41	327.56	339.14	473.41	493.56	532.74	248.0	186.4	251.48	463.65	358.54	208.38	158.79	251.48	353.59	307.69	470.14	265.87	392.44	163.28	185.11	249.73	426.57	371.22	447.82	301.33	466.88	242.88
HSF4	0.0	1.46	3820.7	1417.35	743.43	2119.22	189.02	312.0	260.38	575.03	221.86	638.15	2004.85	521.76	555.41	301.33	830.75	708.18	169.07	444.72	236.21	764.36	1088.92	2178.83	2451.44	1844.76	1794.29	1427.22	1350.18	1191.69	532.74	363.56	1508.65	1427.22	1794.29	1127.35	309.83	387.02	197.09	1651.0	473.41	269.6	172.65	392.44	241.19	363.56	2032.85	759.08	420.68	249.73	209.84	327.56	1594.73	1286.18	1359.57	299.25	1175.27	231.32
IGSF8	723.08	432.53	1259.69	1104.13	1127.35	1030.12	854.13	836.53	866.07	1030.12	555.41	921.88	1111.82	848.22	884.29	708.18	878.17	1081.39	708.18	808.0	785.88	1081.39	1151.06	1388.16	1096.5	1295.13	884.29	1059.11	1051.79	1208.34	620.67	764.36	890.44	981.29	1096.5	1233.75	848.22	579.04	629.35	1233.75	848.22	764.36	743.43	866.07	733.19	791.35	723.08	483.38	842.36	466.88	490.14	624.99	961.07	1477.58	1216.75	802.41	785.88	733.19
INO80E	0.0	0.44	2061.24	1844.76	1304.15	1936.53	1295.13	1561.89	1277.29	1447.15	1151.06	1498.22	1477.58	1437.15	1561.89	1304.15	1437.15	1540.37	1081.39	1359.57	1175.27	1540.37	1617.0	1662.49	1529.73	1977.24	1540.37	1769.57	1519.15	1819.35	1175.27	1233.75	1551.09	1963.57	1721.16	1721.16	1088.92	1127.35	723.08	1832.01	1322.37	1135.2	1008.9	1183.45	1233.75	1331.57	1594.73	830.75	1498.22	1081.39	928.3	1151.06	1697.45	1417.35	1628.26	1250.98	1417.35	1135.2
ITGA7	0.0	0.72	1143.1	669.92	249.73	713.11	389.72	297.17	579.04	325.29	483.38	473.41	473.41	521.76	555.41	187.71	518.15	420.68	341.51	525.39	312.0	295.11	591.22	480.04	309.83	454.09	486.75	620.67	400.71	320.8	145.02	249.73	679.29	848.22	928.3	351.14	265.87	305.55	244.57	351.14	242.88	223.41	183.82	190.34	153.34	193.01	665.29	297.17	285.03	336.79	285.03	295.11	612.11	497.0	265.87	381.68	620.67	256.78
KAT2A	0.0	1.07	2875.3	1167.14	607.87	1437.15	376.41	414.87	454.09	836.53	346.29	480.04	1199.98	463.65	633.73	438.59	748.61	555.41	283.05	547.75	339.14	866.07	981.29	1073.91	1008.9	1151.06	1059.11	1081.39	808.0	764.36	454.09	412.0	1191.69	813.63	1277.29	928.3	414.87	540.19	536.45	941.27	460.44	376.41	299.25	547.75	403.5	341.51	1322.37	521.76	493.56	361.04	301.33	476.71	1044.52	769.69	1008.9	529.06	1104.13	318.57
KCNC4	0.0	0.4	131.51	291.04	105.15	113.56	62.56	112.77	92.05	83.45	83.45	67.12	242.88	75.11	84.04	64.8	157.68	101.54	50.27	82.29	45.85	144.01	125.24	92.7	119.26	152.28	60.39	112.77	147.06	64.8	60.39	77.79	88.88	173.85	118.43	164.42	71.5	47.84	80.57	99.43	73.54	66.18	55.89	41.22	48.18	85.82	85.22	31.67	58.3	75.64	49.91	60.82	103.69	43.63	113.56	115.16	138.1	59.13
KHK	0.0	0.15	66.18	94.01	108.9	140.04	36.53	94.01	64.34	80.57	43.94	72.01	102.97	23.76	73.03	40.07	110.43	165.57	25.35	39.5	36.53	131.51	100.13	166.73	102.97	67.12	53.95	114.36	108.9	75.11	54.72	53.57	77.79	164.42	85.22	92.05	22.43	60.39	74.58	105.15	18.29	40.36	32.82	29.27	48.18	32.36	70.51	29.7	43.94	67.12	46.84	52.45	98.73	57.49	118.43	59.97	73.03	45.21
LAT	0.0	0.79	373.81	723.08	267.73	1936.53	139.07	262.2	141.02	271.48	115.16	281.09	529.06	182.55	339.14	89.51	314.17	204.07	98.73	185.11	92.05	432.53	343.89	679.29	656.11	1066.48	387.02	334.46	297.17	244.57	228.13	107.38	599.49	346.29	848.22	435.55	181.28	138.1	211.31	583.07	265.87	123.5	104.42	111.99	137.14	185.11	921.88	186.4	181.28	125.24	171.45	112.77	334.46	271.48	514.56	137.14	575.03	63.0
LCN12	0.0	0.62	5913.33	8778.97	3060.45	5147.73	3060.45	2367.9	3349.13	4704.07	2047.0	4937.99	10808.41	4543.8	5147.73	2319.15	5441.3	3349.13	1651.0	5594.3	514.56	5292.48	8022.41	7749.1	8305.36	7749.1	10585.95	4038.61	5995.9	9740.98	3349.13	684.02	7537.18	8078.22	9540.5	8901.53	3515.68	2163.77	2956.17	8840.04	1977.24	2209.26	1794.29	2758.13	2104.58	2163.77	5751.61	7032.37	3665.02	2104.58	1540.37	2701.35	6983.79	5672.41	8134.41	1151.06	6561.36	1950.0
LPAR6	0.0	0.45	603.67	1104.13	503.95	1030.12	366.09	397.93	470.14	518.15	291.04	525.39	890.44	351.14	305.55	236.21	638.15	435.55	291.04	371.22	387.02	454.09	532.74	447.82	753.83	830.75	599.49	438.59	490.14	392.44	249.73	346.29	780.44	748.61	684.02	486.75	260.38	281.09	536.45	642.59	264.03	275.28	267.73	389.72	248.0	332.14	1369.04	195.72	447.82	420.68	356.05	381.68	543.96	371.22	718.08	457.25	638.15	309.83
LRFN1	0.0	0.53	57.49	70.51	53.19	31.9	9.41	24.63	30.56	35.76	7.28	19.97	43.63	13.22	24.63	10.24	31.0	20.11	4.46	10.39	9.7	55.89	47.5	41.81	33.3	28.45	13.62	43.02	30.78	16.39	17.9	29.27	35.5	73.03	31.22	17.77	12.55	11.55	6.73	42.71	12.55	8.25	12.74	8.78	15.68	8.92	36.53	4.62	12.36	8.58	10.88	8.65	21.16	16.15	57.89	8.65	17.38	8.85
MAMSTR	0.0	0.36	56.68	39.5	43.94	62.56	20.41	17.38	28.45	25.54	12.83	43.63	46.18	18.03	28.45	25.35	58.71	54.72	25.72	22.26	20.86	26.47	62.56	49.21	42.71	34.75	14.45	59.13	28.04	45.53	20.26	23.25	28.24	41.81	50.98	34.51	15.91	14.03	17.13	32.59	18.29	14.35	16.63	7.94	14.56	20.71	53.19	13.32	30.12	18.03	8.0	15.8	33.78	18.29	52.08	18.97	39.5	17.38
MAN1B1	0.0	0.49	1605.83	1340.84	878.17	1529.73	878.17	1127.35	1030.12	872.1	1023.0	1127.35	1199.98	1242.34	1359.57	1135.2	1088.92	1191.69	1008.9	1073.91	825.0	1001.93	1242.34	1340.84	1397.83	1378.57	1175.27	1167.14	1111.82	1417.35	915.51	896.64	1199.98	1350.18	1286.18	1208.34	988.12	802.41	1015.93	1286.18	1191.69	890.44	780.44	1066.48	1477.58	1030.12	1199.98	915.51	1073.91	902.89	934.76	1015.93	1096.5	1044.52	1030.12	1059.11	1175.27	981.29
MAP3K12	0.0	0.71	579.04	309.83	226.54	346.29	193.01	187.71	202.66	152.28	221.86	275.28	279.14	221.86	283.05	145.02	248.0	267.73	197.09	197.09	148.09	320.8	279.14	441.64	470.14	371.22	325.29	241.19	217.27	241.19	171.45	104.42	264.03	571.05	346.29	246.28	170.25	180.02	155.5	289.02	161.02	121.79	133.36	105.15	81.71	220.32	447.82	132.44	187.71	178.77	197.09	149.12	287.01	165.57	281.09	157.68	253.23	120.94
MEX3B	0.0	0.4	20.56	16.39	18.56	49.56	4.46	15.22	13.22	9.2	9.7	12.0	20.86	15.45	14.14	8.85	25.54	15.45	5.5	17.77	6.36	30.56	17.13	17.77	13.72	23.59	7.17	14.35	21.32	22.26	14.67	8.25	11.21	25.54	24.11	23.08	7.51	2.41	18.29	27.25	11.47	8.0	12.09	14.78	12.83	15.91	35.0	2.78	10.08	10.71	9.93	9.06	12.55	14.03	18.43	12.83	9.63	11.38
MORC2	0.0	0.82	543.96	358.54	318.57	543.96	309.83	414.87	293.07	303.44	323.03	293.07	435.55	395.18	379.04	366.09	387.02	403.5	256.78	303.44	305.55	447.82	480.04	450.94	493.56	406.31	314.17	341.51	361.04	389.72	320.8	206.94	414.87	507.46	457.25	376.41	316.37	320.8	447.82	403.5	260.38	353.59	303.44	329.84	303.44	307.69	514.56	358.54	318.57	325.29	334.46	343.89	363.56	480.04	334.46	358.54	409.15	283.05
MRPL55	2956.17	1662.49	2701.35	2417.67	1697.45	2417.67	1733.13	1733.13	1583.71	1977.24	1457.23	1936.53	2193.99	2032.85	2287.2	1794.29	2075.59	2075.59	1519.15	1662.49	1167.14	2384.37	2047.0	1819.35	1769.57	2367.9	2451.44	2047.0	1697.45	1909.85	1583.71	1757.34	1806.78	2032.85	1923.14	2319.15	1628.26	1277.29	2004.85	2303.12	1991.0	1508.65	1175.27	1519.15	2609.3	1651.0	2609.3	1268.46	1628.26	1340.84	1628.26	1487.87	2163.77	2240.11	2468.49	1844.76	1950.0	1487.87
NFASC	0.0	0.57	85.82	117.6	88.88	131.51	71.0	38.95	85.82	62.56	74.06	38.12	155.5	78.89	53.57	40.07	177.53	33.54	50.98	71.0	51.35	62.12	156.59	88.26	104.42	92.05	71.5	164.42	133.36	82.87	40.07	36.01	85.82	128.79	141.02	93.35	32.82	38.95	36.79	69.03	39.5	70.01	56.28	53.57	19.82	29.27	151.22	61.68	37.59	35.76	70.51	28.04	126.12	78.34	44.57	36.53	80.01	33.78
NHSL2	0.0	0.22	41.81	57.49	39.79	45.53	12.27	39.5	32.82	36.27	25.72	51.71	73.54	24.99	53.57	10.39	67.12	34.26	17.64	30.12	16.15	46.84	47.84	37.32	59.13	70.01	31.22	87.65	52.45	39.79	19.11	16.63	43.32	55.1	65.26	37.85	21.63	17.25	26.1	30.12	37.85	19.53	32.82	15.56	4.39	19.25	59.97	15.0	37.32	14.14	17.25	17.9	24.99	17.64	34.26	16.88	37.32	16.39
NME3	0.0	0.99	4671.57	3190.46	2018.8	4298.64	1111.82	1030.12	1313.23	2384.37	1151.06	1832.01	2645.74	1437.15	2240.11	988.12	2451.44	2032.85	1135.2	1397.83	878.17	2645.74	3039.3	2875.3	2956.17	2758.13	3419.52	2303.12	1662.49	1923.14	1295.13	1551.09	2209.26	2855.44	3467.27	2739.08	1397.83	1023.0	1143.1	2835.7	1721.16	1037.29	674.59	1143.1	2075.59	1015.93	3491.39	1096.5	1883.54	1008.9	1127.35	1015.93	2303.12	2287.2	3146.52	1487.87	2976.74	988.12
NOL3	0.0	0.67	1733.13	1216.75	884.29	1350.18	848.22	1388.16	669.92	728.11	1030.12	1331.57	1167.14	1340.84	1225.22	1268.46	928.3	1135.2	825.0	1143.1	743.43	941.27	1044.52	1208.34	1628.26	1286.18	1277.29	1008.9	1304.15	1059.11	1111.82	1073.91	1350.18	1388.16	1397.83	995.0	808.0	769.69	1001.93	1883.54	1199.98	872.1	599.49	1023.0	1359.57	1277.29	1639.59	457.25	967.76	665.29	825.0	802.41	1216.75	1233.75	1037.29	819.3	1059.11	896.64
NUBP2	0.0	0.78	1529.73	2004.85	1151.06	1697.45	909.17	1081.39	1096.5	1073.91	764.36	1208.34	1427.22	1397.83	1313.23	1104.13	1487.87	974.5	854.13	1277.29	848.22	1159.07	1359.57	1340.84	1359.57	1572.76	1159.07	1242.34	1167.14	1407.55	1059.11	1225.22	1191.69	1225.22	1639.59	1685.71	921.88	961.07	1167.14	1304.15	1096.5	884.29	728.11	947.83	1832.01	1008.9	1216.75	638.15	1199.98	934.76	819.3	981.29	1073.91	1427.22	1331.57	1104.13	1551.09	934.76
NUDT14	0.0	0.3	1159.07	2224.63	796.86	1628.26	967.76	1225.22	988.12	1088.92	947.83	1857.6	1651.0	1572.76	1529.73	1175.27	1359.57	1832.01	884.29	1350.18	947.83	1378.57	1477.58	1950.0	1794.29	1819.35	1594.73	1477.58	1191.69	1963.57	967.76	753.83	1487.87	1697.45	1397.83	1896.65	713.11	688.78	830.75	1427.22	1001.93	819.3	802.41	802.41	961.07	1199.98	1617.0	1030.12	1369.04	753.83	902.89	1250.98	1304.15	1457.23	1896.65	974.5	1143.1	860.08
OLFML2A	0.0	0.05	1508.65	1104.13	1208.34	547.75	406.31	708.18	890.44	1037.29	258.57	480.04	1059.11	559.28	642.59	171.45	954.43	543.96	392.44	575.03	381.68	1151.06	1259.69	1340.84	1378.57	1127.35	579.04	1088.92	728.11	1127.35	591.22	358.54	483.38	890.44	872.1	921.88	351.14	309.83	150.17	579.04	651.58	466.88	318.57	392.44	205.5	297.17	866.07	457.25	1111.82	651.58	591.22	320.8	723.08	559.28	1073.91	400.71	728.11	435.55
OSBPL7	0.0	0.85	450.94	420.68	246.28	679.29	231.32	248.0	242.88	297.17	131.51	260.38	417.77	211.31	289.02	291.04	329.84	287.01	183.82	246.28	171.45	358.54	346.29	466.88	525.39	503.95	323.03	373.81	314.17	363.56	220.32	129.69	511.0	384.34	511.0	346.29	172.65	172.65	346.29	493.56	273.37	133.36	159.9	273.37	221.86	251.48	480.04	215.77	221.86	172.65	146.03	271.48	351.14	348.71	341.51	191.67	441.64	214.27
OXER1	0.0	0.38	132.44	67.59	28.04	144.01	22.75	20.41	18.84	27.25	16.15	27.44	43.02	21.94	25.54	10.0	40.36	30.34	8.78	11.38	11.64	53.57	50.98	92.7	116.78	113.56	62.56	32.59	31.22	81.71	21.94	17.51	25.72	69.03	59.13	62.12	18.84	27.44	7.57	78.34	18.16	22.43	22.26	6.57	25.17	9.2	158.79	25.17	20.86	15.56	22.75	8.78	51.71	15.56	90.14	16.51	37.05	12.0
OXLD1	0.0	0.56	1151.06	954.43	665.29	1066.48	547.75	674.59	595.34	607.87	698.41	599.49	753.83	872.1	1044.52	638.15	718.08	616.37	463.65	733.19	497.0	813.63	802.41	595.34	665.29	866.07	651.58	629.35	703.28	616.37	733.19	738.29	703.28	1008.9	915.51	733.19	796.86	543.96	669.92	684.02	764.36	665.29	297.17	551.56	954.43	802.41	909.17	417.77	718.08	525.39	591.22	780.44	738.29	819.3	813.63	629.35	785.88	457.25
PARP10	0.0	0.89	1733.13	1487.87	651.58	1781.89	684.02	836.53	866.07	688.78	476.71	1023.0	1175.27	624.99	836.53	860.08	1369.04	902.89	547.75	896.64	563.18	1030.12	842.36	1417.35	1561.89	1498.22	954.43	1051.79	1051.79	808.0	521.76	555.41	1417.35	1044.52	2555.58	1208.34	638.15	457.25	802.41	1487.87	651.58	587.13	571.05	703.28	723.08	490.14	1594.73	351.14	723.08	575.03	432.53	583.07	1498.22	928.3	1023.0	738.29	1037.29	684.02
PCED1A	0.0	1.0	3146.52	2384.37	1127.35	2178.83	1008.9	1167.14	941.27	1437.15	802.41	1191.69	2178.83	1111.82	1561.89	753.83	1457.23	1388.16	836.53	1216.75	884.29	1628.26	1936.53	2090.03	2287.2	2061.24	2163.77	1936.53	1487.87	1651.0	1216.75	1073.91	1806.78	2163.77	2224.63	1883.54	1088.92	1059.11	1111.82	1923.14	1369.04	896.64	733.19	1030.12	1081.39	808.0	2209.26	1216.75	1477.58	825.0	1088.92	1023.0	1407.55	1583.71	2090.03	1008.9	2224.63	836.53
PGAP2	0.0	0.21	1583.71	1295.13	896.64	1322.37	796.86	866.07	665.29	836.53	587.13	872.1	1388.16	934.76	974.5	647.07	954.43	866.07	583.07	909.17	503.95	1015.93	1066.48	1167.14	1427.22	1159.07	1051.79	1104.13	909.17	1104.13	748.61	738.29	1183.45	866.07	1331.57	1001.93	842.36	759.08	759.08	1208.34	825.0	603.67	669.92	769.69	669.92	656.11	1447.15	571.05	995.0	796.86	595.34	660.68	1015.93	836.53	1175.27	688.78	1331.57	708.18
PIGZ	0.0	0.43	236.21	143.01	43.94	149.12	11.47	50.63	84.63	82.87	39.79	44.57	67.12	83.45	35.76	38.12	73.54	46.84	30.34	66.65	32.36	37.59	137.14	181.28	186.4	139.07	127.89	85.22	54.33	205.5	50.27	34.75	75.64	142.01	107.38	115.16	35.25	32.59	31.67	52.45	29.48	48.87	45.85	7.46	23.93	26.28	86.43	31.0	52.45	53.19	67.12	20.86	93.35	73.54	44.25	17.51	49.21	23.76
PLA2G4B	0.0	1.1	693.58	698.41	217.27	651.58	108.9	197.09	122.64	271.48	54.33	194.36	511.0	232.94	218.79	117.6	363.56	285.03	92.05	126.12	95.34	366.09	361.04	493.56	507.46	587.13	450.94	457.25	226.54	336.79	141.02	109.66	518.15	366.09	591.22	429.54	170.25	193.01	155.5	567.1	173.85	128.79	96.68	175.07	258.57	140.04	733.19	146.03	248.0	122.64	100.83	162.14	314.17	271.48	476.71	145.02	665.29	117.6
PLD6	0.0	0.25	209.84	120.94	59.55	77.25	29.91	56.28	34.02	63.0	46.5	49.56	102.25	45.21	53.57	26.47	53.95	59.55	20.11	35.0	25.72	123.5	82.87	134.3	133.36	85.82	77.25	68.55	65.72	62.56	41.81	36.01	61.25	127.89	93.35	87.65	26.28	43.63	33.78	90.77	46.18	34.75	23.93	34.51	25.72	32.13	93.35	31.0	61.68	36.01	38.95	27.64	84.63	47.84	92.7	50.63	77.79	32.36
PLEKHG5	0.0	0.66	241.19	127.0	118.43	201.25	49.21	105.89	123.5	85.82	65.26	70.51	157.68	95.34	103.69	56.28	180.02	89.51	51.71	98.04	68.55	167.9	139.07	256.78	170.25	224.97	130.6	163.28	123.5	134.3	84.04	94.67	91.41	218.79	212.78	121.79	104.42	82.29	91.41	122.64	105.89	57.89	71.0	71.5	54.33	50.98	281.09	76.71	94.01	49.91	73.03	80.57	162.14	88.26	197.09	105.89	122.64	52.08
PPP1R16A	0.0	0.78	1909.85	2193.99	665.29	1605.83	934.76	1199.98	902.89	902.89	848.22	1183.45	1467.37	1651.0	1369.04	981.29	1295.13	1350.18	878.17	1001.93	693.58	1167.14	1304.15	1397.83	1685.71	1378.57	1322.37	1104.13	981.29	1151.06	1167.14	941.27	1594.73	1685.71	2032.85	1572.76	1066.48	866.07	1001.93	1685.71	1104.13	872.1	651.58	1151.06	1498.22	1015.93	1583.71	995.0	1175.27	819.3	866.07	1159.07	1467.37	1242.34	1519.15	1023.0	1781.89	884.29
PRICKLE4	0.0	0.73	718.08	607.87	287.01	476.71	237.86	327.56	348.71	414.87	211.31	329.84	567.1	486.75	409.15	309.83	412.0	291.04	183.82	384.34	178.77	518.15	497.0	753.83	457.25	460.44	406.31	447.82	358.54	435.55	226.54	269.6	543.96	412.0	684.02	444.72	162.14	181.28	325.29	480.04	229.72	133.36	191.67	269.6	295.11	256.78	642.59	197.09	295.11	197.09	202.66	353.59	480.04	543.96	571.05	285.03	507.46	223.41
PRRT1	0.0	0.53	379.04	511.0	327.56	397.93	175.07	151.22	195.72	297.17	127.89	223.41	409.15	209.84	277.2	90.14	389.72	135.24	113.56	269.6	60.39	256.78	392.44	476.71	438.59	314.17	356.05	486.75	325.29	162.14	155.5	98.73	371.22	329.84	450.94	303.44	94.67	133.36	211.31	289.02	133.36	96.01	73.03	181.28	118.43	119.26	466.88	84.63	131.51	177.53	55.89	132.44	224.97	228.13	327.56	136.19	320.8	70.01
PRSS42	0.0	0.27	16.15	4.58	3.11	6.46	2.53	6.78	1.69	1.39	0.39	4.94	7.28	2.61	2.29	0.66	3.2	0.38	1.28	2.66	0.03	5.45	5.96	6.06	8.71	7.0	2.32	2.51	2.48	7.69	1.28	2.66	7.51	5.23	6.11	6.73	2.71	1.69	7.4	6.06	2.05	1.62	1.97	2.81	1.6	2.71	11.91	0.77	0.84	0.21	2.84	0.21	3.59	3.72	3.23	2.23	8.38	0.99
PRTFDC1	0.0	0.25	236.21	224.97	220.32	381.68	94.01	85.22	126.12	152.28	118.43	148.09	206.94	91.41	40.36	89.51	231.32	164.42	76.71	115.16	60.39	116.78	187.71	271.48	187.71	133.36	228.13	256.78	93.35	166.73	67.12	119.26	117.6	376.41	242.88	279.14	108.9	129.69	124.37	323.03	129.69	51.71	98.73	36.79	82.29	70.01	316.37	88.26	102.25	193.01	90.77	115.16	150.17	180.02	152.28	64.34	164.42	115.97
PSRC1	0.0	0.39	166.73	124.37	88.26	94.67	63.89	53.57	59.97	68.55	17.77	60.39	115.97	79.45	57.49	60.82	88.26	72.52	53.57	56.68	21.78	96.01	79.45	102.25	108.14	107.38	39.22	59.13	81.14	60.39	45.21	60.39	102.25	140.04	80.01	61.25	49.21	59.13	82.29	82.87	45.21	66.18	27.64	41.81	51.71	69.03	121.79	15.22	49.21	55.1	36.53	72.01	46.84	86.43	96.01	49.91	110.43	64.34
