	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.ZF.A9RE.01A.11R.A38B.07	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.CU.A3QU.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.VS.A8EK.01A.12R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13113.1026.SM.5LZWM	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.S341.0226.SM.5S2VG	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.Q2AI.0326.SM.2I3EK	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.YF7O.0726.SM.4W213	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.T8EM.0226.SM.3DB7C	GTEX.Z9EW.0226.SM.5CVM7
FBXO40	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.59	0.0	0.0	0.27	2.97	10.55	85.82	1.6	2.92	0.0	0.0	0.0	3.08	4.13	1.31	1.45	5.77	1.95	3.92	1.03	0.15	0.39	0.38	0.6	1.04	1.04	0.37	1.1	0.0	0.61	0.13	0.0	0.36	0.15	0.13	0.61	0.59	0.13	0.0	0.0	0.16	0.37	0.15	1.33	0.61
FCGR2A	10.0	305.55	145.02	157.68	59.13	170.25	638.15	115.97	376.41	223.41	239.52	2400.97	555.41	674.59	651.58	256.78	66.18	1781.89	2451.44	287.01	2335.28	1304.15	1697.45	1111.82	521.76	493.56	620.67	239.52	87.03	194.36	186.4	177.53	89.51	108.9	327.56	220.32	529.06	92.7	151.22	197.09	140.04	503.95	153.34	236.21	141.02	58.3	35.0	43.63	92.05	384.34	65.72	112.77
FGF2	0.89	2.46	2.61	2.89	1.38	4.17	3.99	7.51	8.32	2.39	4.54	86.43	74.58	57.89	279.14	148.09	6.41	0.0	0.32	106.63	285.03	325.29	34.26	242.88	507.46	483.38	571.05	80.01	27.84	13.03	58.71	45.21	37.85	18.29	50.27	40.36	39.5	14.89	13.12	27.84	35.0	24.99	36.53	34.02	19.68	18.03	13.72	12.55	15.45	31.22	54.33	46.84
FGL2	5.82	33.54	13.83	24.28	11.13	26.28	170.25	29.06	76.71	18.29	65.72	1359.57	392.44	204.07	1909.85	1519.15	150.17	0.0	0.31	373.81	769.69	2701.35	198.47	878.17	3190.46	6745.86	4066.71	780.44	281.09	176.29	420.68	299.25	223.41	197.09	708.18	447.82	260.38	127.89	204.07	392.44	251.48	329.84	363.56	329.84	426.57	109.66	186.4	116.78	80.57	305.55	231.32	384.34
FNBP1	279.14	256.78	144.01	135.24	507.46	226.54	460.44	185.11	277.2	214.27	193.01	1709.26	1477.58	764.36	3467.27	2777.33	264.03	363.56	218.79	890.44	1583.71	4123.49	775.05	2384.37	2758.13	3018.3	2537.92	1268.46	1277.29	884.29	638.15	1111.82	890.44	460.44	679.29	819.3	674.59	429.54	473.41	947.83	967.76	511.0	791.35	813.63	603.67	884.29	698.41	791.35	423.61	599.49	543.96	543.96
FREM3	2.56	0.0	0.33	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	2.84	0.59	8.99	0.55	2.14	0.0	0.0	0.0	2.25	5.06	1.81	1.03	8.65	0.74	1.31	1.43	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.59	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRA5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	56.68	42.11	42.41	295.11	49.56	2.34	0.0	0.0	1.43	206.94	11.04	56.28	3.69	132.44	8.78	22.92	0.0	4.7	3.53	1.69	2.46	0.0	1.3	2.18	3.41	1.73	0.0	0.0	0.0	0.96	5.41	0.96	25.35	0.91	11.55	8.0	6.73	2.76	3.89	3.26	0.0
GDF3	0.0	0.61	0.65	1.14	0.55	1.97	0.93	0.39	1.11	0.0	0.91	6.94	7.34	98.04	2.25	3.26	1.17	0.0	0.0	10.63	12.45	6.46	5.11	1.53	4.86	2.61	2.03	8.71	2.16	0.6	0.0	6.78	2.16	3.08	0.88	10.08	1.53	2.18	8.92	6.31	1.73	4.82	4.98	4.62	2.61	2.29	6.84	0.0	1.46	2.94	0.55	5.41
GEM	40.36	15.34	32.82	12.36	23.76	34.02	41.22	11.73	15.56	34.02	75.11	813.63	441.64	305.55	1794.29	842.36	53.95	0.0	0.15	1216.75	3235.01	3639.7	693.58	1977.24	3874.05	1685.71	5995.9	373.81	97.36	42.41	183.82	320.8	201.25	129.69	148.09	226.54	137.14	57.08	63.89	71.5	50.98	126.12	63.0	231.32	108.9	115.97	59.55	68.55	43.02	132.44	75.11	116.78
GFPT2	0.62	5.59	4.62	2.36	1.97	10.24	24.28	9.85	87.03	19.68	15.11	743.43	395.18	713.11	878.17	486.75	7.94	0.0	0.53	147.06	493.56	629.35	323.03	258.57	1242.34	616.37	426.57	72.01	33.3	60.39	180.02	111.99	72.52	164.42	303.44	255.0	423.61	130.6	151.22	154.42	43.02	201.25	100.13	275.28	44.89	27.64	46.5	25.17	82.87	91.41	70.01	153.34
GJA10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	2.51	6.46	0.0	9.41	0.0	0.0	0.0	1.35	3.63	0.4	1.77	2.94	0.0	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GJD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	5.96	12.45	1.31	2.34	0.0	0.0	0.0	3.72	1.17	3.32	3.69	6.16	3.72	8.0	1.77	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.23	0.0	0.44	0.92	0.0	0.0	0.23	0.25
GPR135	0.31	0.93	6.11	2.86	1.91	1.22	6.11	8.0	12.45	3.69	3.69	70.01	44.89	26.28	76.71	37.85	1.62	0.0	0.29	54.72	95.34	120.1	21.47	133.36	127.89	120.94	169.07	55.89	29.48	59.13	68.55	56.28	37.05	55.1	51.35	40.07	48.18	43.02	46.5	49.91	40.64	38.67	37.59	34.51	38.67	47.5	28.86	33.54	63.0	37.32	54.72	75.11
GPR21	0.0	0.0	0.0	0.0	2.14	0.0	1.69	0.95	1.6	0.0	0.0	13.42	11.04	40.93	8.71	13.52	0.0	0.0	0.16	28.86	40.36	19.39	7.4	10.31	9.27	21.01	5.23	5.36	7.06	2.46	6.21	8.06	6.16	3.69	16.03	4.43	9.2	2.56	3.23	2.61	5.77	4.94	6.62	2.68	3.0	3.89	2.68	3.5	2.1	3.92	6.01	3.59
GUCY1A3	20.86	17.38	49.91	4.06	8.45	11.38	42.71	3.86	12.55	28.86	50.63	490.14	121.79	96.68	226.54	140.04	17.77	0.0	0.39	638.15	1151.06	2468.49	642.59	2032.85	2178.83	2209.26	1819.35	143.01	98.04	87.65	146.03	202.66	112.77	59.55	136.19	171.45	209.84	67.59	75.11	46.18	96.01	120.1	68.07	67.12	45.85	75.64	31.67	54.33	74.06	255.0	115.97	156.59
HIC1	4.98	14.14	16.51	15.56	18.43	23.59	19.11	11.21	32.82	14.78	29.48	460.44	127.89	111.21	607.87	155.5	9.2	0.0	0.39	283.05	583.07	642.59	518.15	379.04	753.83	460.44	575.03	33.3	112.77	117.6	55.89	104.42	93.35	61.68	132.44	87.03	136.19	92.7	91.41	64.34	70.51	116.78	125.24	89.51	82.29	34.02	44.57	32.13	91.41	153.34	53.95	81.71
HOXA2	16.03	20.56	8.38	25.35	3.56	35.0	10.31	30.56	12.0	4.9	9.06	141.02	58.3	183.82	85.82	76.71	15.0	0.0	0.33	58.3	105.89	102.25	44.57	228.13	231.32	325.29	206.94	10.08	9.41	8.38	16.51	13.62	4.86	9.7	13.62	18.03	19.53	8.32	11.21	8.19	6.67	15.91	13.72	9.7	7.4	3.06	3.44	4.74	6.57	21.78	8.85	15.68
HTR2A	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	11.38	1.38	4.66	11.64	8.99	0.43	0.0	0.0	13.03	18.56	63.0	18.03	36.27	25.91	27.84	24.99	1.33	2.89	0.75	3.32	5.82	1.33	2.05	3.5	4.06	3.14	3.14	1.0	1.27	1.87	2.48	2.12	0.74	0.99	1.3	0.72	1.64	0.74	1.03	1.22	2.14
IGSF21	0.0	5.5	2.27	5.73	0.84	17.0	6.06	2.61	6.31	10.16	3.56	90.77	13.62	10.24	16.63	18.03	1.1	0.0	0.32	11.91	161.02	31.22	51.35	125.24	21.47	12.18	55.49	34.26	15.45	28.04	7.22	15.8	7.34	11.3	28.04	15.91	43.32	13.03	30.34	11.82	13.42	101.54	14.89	27.84	32.13	11.47	6.01	6.52	21.94	56.68	6.62	37.85
IL17B	0.0	1.53	0.0	4.28	1.1	0.0	6.26	1.93	3.72	0.0	2.56	53.95	25.17	37.32	129.69	74.06	0.0	0.0	0.1	20.71	45.53	39.5	10.79	51.71	77.25	63.45	93.35	1.55	0.78	2.58	1.87	2.94	4.66	3.5	6.21	3.89	3.5	7.11	0.0	2.78	1.71	1.23	0.0	0.74	1.58	2.71	2.73	0.0	3.72	0.0	0.51	1.55
ITGA1	35.5	28.65	38.67	30.34	50.63	29.27	63.0	35.5	38.95	15.0	51.71	878.17	273.37	334.46	1313.23	1159.07	17.13	0.0	0.61	1143.1	1697.45	3235.01	775.05	2835.7	3280.18	2193.99	3491.39	656.11	293.07	212.78	426.57	312.0	283.05	128.79	463.65	178.77	281.09	102.97	140.04	162.14	275.28	275.28	289.02	251.48	151.22	320.8	133.36	176.29	155.5	194.36	312.0	348.71
ITGA5	88.88	157.68	620.67	119.26	137.14	182.55	277.2	214.27	1331.57	206.94	325.29	6607.01	1721.16	4736.79	8658.09	2271.4	75.11	1721.16	438.59	4512.4	2240.11	19082.0	4704.07	7280.4	2004.85	2400.97	6381.92	579.04	490.14	447.82	638.15	599.49	791.35	420.68	854.13	543.96	638.15	454.09	395.18	536.45	346.29	780.44	450.94	743.43	373.81	368.65	329.84	351.14	612.11	688.78	403.5	454.09
ITGA7	18.03	26.1	76.71	45.85	70.01	68.07	73.54	48.18	108.9	89.51	111.21	1359.57	351.14	463.65	4903.87	4836.35	12.74	0.0	0.72	1467.37	2287.2	3639.7	559.28	4836.35	4704.07	2956.17	3820.7	301.33	320.8	297.17	316.37	460.44	521.76	187.71	426.57	323.03	497.0	201.25	229.72	209.84	177.53	417.77	684.02	305.55	139.07	190.34	153.34	193.01	318.57	490.14	332.14	381.68
JPH2	6.36	0.65	3.26	2.34	1.68	2.32	1.83	9.06	2.43	1.66	3.23	559.28	169.07	120.94	1477.58	947.83	1.17	0.0	0.41	514.56	819.3	1963.57	141.02	1519.15	1923.14	1467.37	1844.76	20.56	20.71	32.82	32.13	33.06	32.13	12.55	58.3	21.01	45.21	23.76	7.06	7.0	10.96	13.32	17.38	7.0	2.39	11.3	3.29	13.03	12.93	21.63	7.17	28.45
KCNA6	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.27	0.25	0.27	7.28	1.64	3.92	9.93	10.08	0.0	0.0	0.0	2.16	16.27	22.59	32.82	10.71	30.34	18.97	24.99	1.1	0.79	1.08	0.78	1.69	1.99	0.77	1.46	1.81	2.01	0.43	0.44	1.04	1.71	0.0	1.1	1.36	0.74	0.0	0.43	1.13	1.36	1.08	0.43	2.89
KCNB1	0.29	0.31	0.33	0.0	0.0	0.0	0.0	0.0	0.4	1.0	0.0	13.22	21.32	59.13	166.73	218.79	0.65	0.0	0.0	58.71	64.34	102.97	3.38	65.26	267.73	124.37	316.37	1.97	3.89	1.93	6.01	4.94	2.51	1.35	19.39	6.84	5.02	6.11	3.14	2.07	3.35	6.46	4.98	8.0	1.81	0.83	1.28	4.58	3.5	10.39	1.99	8.45
KIAA1755	0.61	7.94	1.66	0.33	0.31	0.67	7.0	4.82	4.9	8.85	14.35	258.57	128.79	105.89	575.03	171.45	1.27	0.0	0.21	71.5	291.04	301.33	195.72	297.17	275.28	180.02	162.14	18.43	17.38	26.86	31.45	24.99	25.72	31.45	128.79	47.84	38.95	54.33	27.64	31.9	39.79	30.78	16.51	21.63	13.93	21.47	24.81	9.93	16.51	28.65	22.1	57.89
KIF2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	5.41	19.11	1.66	4.82	0.0	0.0	0.0	4.46	2.48	0.47	2.1	3.11	0.0	3.79	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.14	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.34
KRTAP10-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.85	9.41	0.0	2.84	0.0	0.0	0.0	6.11	0.0	2.97	4.58	0.0	4.39	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LDB3	6.84	0.33	2.27	18.03	3.79	2.89	1.6	6.26	6.67	1.48	7.28	139.07	68.55	82.29	954.43	309.83	1.39	6.73	92.05	283.05	392.44	872.1	27.44	934.76	1359.57	1340.84	1674.06	50.27	128.79	100.83	114.36	64.8	78.34	22.75	183.82	77.79	81.71	37.05	36.53	34.26	46.5	90.77	199.85	120.94	82.29	37.59	34.02	47.17	35.5	76.71	78.89	80.57
LMOD1	13.12	8.99	13.03	14.78	12.93	4.35	12.64	8.38	10.96	14.14	12.0	1628.26	1407.55	152.28	9606.86	13776.25	23.25	0.0	0.49	3665.02	5711.87	8658.09	529.06	7433.4	11909.94	11189.6	14765.09	1417.35	1487.87	1111.82	890.44	3060.45	1733.13	536.45	5594.3	2075.59	1487.87	819.3	381.68	555.41	1135.2	1051.79	2104.58	536.45	521.76	665.29	384.34	529.06	466.88	1991.0	660.68	1119.56
LMOD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	3.63	14.03	145.02	1.89	5.15	0.0	0.0	0.22	3.32	6.26	6.26	1.91	17.13	1.03	3.03	6.46	2.36	0.03	0.03	2.76	2.16	0.73	1.17	2.61	0.24	0.91	0.0	0.68	1.14	1.07	0.17	0.89	1.79	1.13	0.71	0.96	0.04	0.2	0.02	4.94	7.82
LPAR4	0.0	0.0	0.65	0.29	0.28	0.62	0.69	0.0	0.95	0.34	2.78	29.06	9.56	58.71	21.78	11.3	2.68	0.0	0.0	20.11	43.02	22.43	33.06	36.53	17.64	26.86	21.16	4.62	1.14	1.13	1.13	3.11	7.17	0.61	1.73	2.29	4.13	3.79	0.36	4.54	7.4	1.53	13.12	3.26	0.83	0.11	5.11	3.47	4.7	2.61	1.27	1.93
LTBP2	115.16	287.01	130.6	287.01	45.53	84.63	137.14	145.02	81.71	47.5	77.79	1883.54	500.46	1487.87	397.93	1051.79	35.76	0.0	0.47	392.44	728.11	1088.92	1088.92	511.0	599.49	332.14	199.85	1457.23	1191.69	1313.23	507.46	1583.71	1487.87	1304.15	1977.24	1268.46	1769.57	1529.73	423.61	1457.23	2163.77	759.08	1477.58	1529.73	599.49	1304.15	848.22	1909.85	543.96	1572.76	536.45	1628.26
MAP1A	3.47	3.99	6.78	4.9	5.45	9.7	2.29	2.94	5.02	4.74	7.75	234.57	30.78	50.98	273.37	178.77	3.35	0.0	0.24	208.38	285.03	718.08	201.25	356.05	698.41	624.99	902.89	135.24	73.54	76.17	114.36	82.87	71.5	178.77	260.38	134.3	226.54	88.88	59.13	40.07	62.12	68.55	53.19	65.72	88.88	118.43	67.59	112.77	158.79	94.67	73.54	88.26
MAP3K3	104.42	204.07	231.32	206.94	182.55	231.32	323.03	138.1	267.73	256.78	260.38	698.41	373.81	483.38	813.63	780.44	129.69	218.79	334.46	420.68	728.11	947.83	387.02	624.99	909.17	791.35	753.83	529.06	376.41	454.09	279.14	555.41	444.72	332.14	507.46	525.39	403.5	265.87	325.29	389.72	303.44	358.54	368.65	409.15	228.13	395.18	299.25	295.11	258.57	384.34	329.84	287.01
MATN1	1.14	0.0	0.0	1.14	0.28	0.93	1.35	0.39	0.38	0.36	1.62	11.47	0.78	13.93	1.6	6.94	0.0	0.0	0.12	2.1	0.68	3.29	1.91	12.83	5.5	0.0	3.17	2.25	5.96	3.63	0.88	1.2	1.55	8.38	5.5	1.69	1.57	0.8	5.63	3.76	6.78	0.8	1.55	3.17	3.38	4.66	1.69	0.61	2.16	2.53	0.49	0.91
MGC10955	0.0	0.0	1.93	1.71	4.03	7.75	1.01	1.01	0.66	4.94	0.68	27.05	7.57	79.45	8.25	2.97	0.0	0.0	0.1	8.06	9.85	7.0	3.56	5.87	6.21	21.78	16.51	11.47	3.08	1.46	4.06	8.78	18.7	2.81	0.96	1.97	1.11	4.13	1.91	0.66	10.63	0.46	13.32	1.77	1.36	0.0	9.34	2.27	3.35	3.56	2.16	3.66
MRGPRF	4.7	8.65	10.39	6.73	8.25	9.41	17.0	27.84	17.25	13.12	23.42	1151.06	269.6	1572.76	2609.3	2061.24	29.27	0.0	0.6	1088.92	2351.53	4268.94	483.38	3540.14	5479.15	5366.37	5954.47	34.26	119.26	72.01	106.63	127.0	127.89	98.04	147.06	255.0	202.66	145.02	60.82	86.43	36.01	105.89	132.44	71.0	33.06	11.3	77.79	18.7	108.14	220.32	91.41	100.83
MROH8	4.62	3.66	19.39	20.71	24.81	6.36	17.51	4.5	4.58	2.32	16.75	61.25	22.26	37.05	127.89	59.13	34.02	0.0	0.17	62.12	72.52	132.44	55.89	115.16	136.19	88.26	142.01	76.71	101.54	106.63	127.0	47.5	65.26	104.42	64.34	59.13	74.06	94.01	111.99	76.17	163.28	102.97	69.03	49.21	93.35	83.45	128.79	73.54	80.57	86.43	100.13	113.56
MRVI1	16.15	13.83	30.56	9.85	16.63	5.59	19.97	7.57	17.51	23.59	17.9	753.83	476.71	150.17	1651.0	1572.76	31.9	0.0	0.59	1111.82	2417.67	2976.74	559.28	3018.3	2720.15	3235.01	2855.44	139.07	120.94	77.79	137.14	164.42	134.3	46.84	244.57	140.04	206.94	70.51	46.5	62.12	88.26	131.51	138.1	70.01	82.87	51.35	32.13	44.25	75.11	101.54	104.42	96.68
MSRB3	15.34	15.91	26.67	11.55	21.78	16.75	17.77	11.38	16.63	15.22	19.97	1059.11	361.04	127.89	1662.49	1508.65	35.76	0.0	0.55	1023.0	1923.14	2796.65	379.04	3395.89	3847.29	3564.78	3742.05	348.71	226.54	169.07	384.34	417.77	332.14	147.06	529.06	289.02	309.83	183.82	162.14	183.82	167.9	287.01	218.79	186.4	169.07	142.01	82.29	98.73	117.6	215.77	211.31	273.37
MYH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	10.39	79.45	4.86	2.81	0.0	0.0	0.19	1.45	5.15	0.0	20.86	2.86	0.0	2.94	0.0	3.2	1.75	2.03	0.75	2.03	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.19	1.11	1.28	0.27	0.25	0.92	1.39	1.07	0.83	0.48	0.24	16.88
MYOCD	0.0	1.85	0.67	0.31	0.57	0.0	0.0	0.8	0.77	0.43	0.46	46.84	34.02	10.71	587.13	460.44	0.51	0.0	0.24	269.6	575.03	1457.23	113.56	902.89	1183.45	928.3	1313.23	25.35	18.29	7.46	5.73	54.72	22.59	4.94	29.06	25.91	23.08	9.13	4.1	4.43	8.25	11.47	7.34	1.75	1.11	2.78	1.28	1.3	1.39	7.82	4.82	12.55
NAALAD2	1.46	4.86	5.15	0.59	0.83	10.0	3.29	4.94	1.81	1.71	10.0	35.0	29.06	60.82	87.03	55.1	3.0	0.0	0.23	29.48	31.9	43.94	53.57	65.72	73.03	161.02	57.08	14.56	22.26	22.75	26.28	17.0	23.93	12.74	23.25	24.46	15.34	12.74	11.64	9.2	12.18	24.81	26.67	17.64	15.56	12.0	11.13	15.34	9.34	23.93	19.39	18.84
NEXN	7.28	152.28	10.39	7.28	7.94	17.0	139.07	17.25	10.63	86.43	170.25	1191.69	571.05	738.29	2018.8	2796.65	5.63	124.37	1733.13	1963.57	3874.05	4038.61	412.0	9540.5	8022.41	6607.01	7331.05	518.15	414.87	176.29	414.87	808.0	371.22	281.09	866.07	521.76	493.56	293.07	177.53	255.0	343.89	387.02	547.75	195.72	228.13	198.47	189.02	226.54	201.25	507.46	171.45	414.87
NKAPL	0.0	0.92	0.66	0.58	0.55	1.97	2.84	1.57	0.0	0.57	1.23	27.05	9.27	8.71	32.59	39.5	5.02	0.0	0.0	18.84	57.49	36.79	7.0	51.35	92.7	115.16	107.38	66.65	45.21	34.51	53.19	35.25	17.38	20.56	21.16	11.13	23.42	8.13	32.36	28.04	32.13	23.08	29.06	19.39	6.89	29.27	13.72	36.01	37.32	34.75	24.63	65.26
NLGN2	40.93	100.13	148.09	42.71	169.07	69.03	121.79	120.94	346.29	90.14	228.13	764.36	441.64	780.44	775.05	583.07	12.55	0.0	0.83	309.83	555.41	808.0	493.56	486.75	902.89	813.63	1015.93	76.71	120.1	94.01	60.82	124.37	94.67	126.12	167.9	176.29	234.57	145.02	115.97	119.26	90.77	122.64	105.89	134.3	69.52	82.87	58.3	68.55	158.79	132.44	70.51	129.69
NRP2	22.59	246.28	45.53	97.36	36.79	108.9	58.71	201.25	63.0	63.0	129.69	3146.52	1936.53	339.14	1605.83	1322.37	29.7	718.08	182.55	967.76	2720.15	3982.99	848.22	2682.69	5995.9	6426.31	4937.99	423.61	193.01	124.37	395.18	215.77	148.09	158.79	197.09	249.73	199.85	59.97	239.52	242.88	134.3	301.33	318.57	115.97	307.69	89.51	83.45	50.98	107.38	204.07	125.24	170.25
NRXN1	0.0	0.0	0.33	0.0	0.0	2.32	0.39	0.0	0.0	0.0	0.68	21.47	43.63	40.93	532.74	61.25	1.62	0.0	0.07	22.26	79.45	177.53	5.73	42.71	387.02	260.38	309.83	6.26	4.98	3.86	5.32	8.0	4.98	4.58	9.27	4.82	6.06	5.02	1.11	2.84	8.51	5.63	10.63	7.22	4.66	8.25	0.39	3.56	2.27	5.73	2.56	12.09
NSG2	0.58	0.31	0.65	0.0	1.35	1.57	1.75	2.39	0.42	0.0	0.0	20.41	4.74	190.34	80.57	45.85	0.96	0.0	0.31	15.56	98.04	82.29	5.68	26.1	162.14	170.25	251.48	9.34	3.32	3.89	0.93	1.6	5.36	8.19	8.06	6.11	4.39	2.07	10.31	6.73	1.62	21.16	5.96	11.38	4.62	6.41	1.27	12.55	31.22	16.03	3.96	21.01
NXPE2	0.0	0.0	0.32	0.0	0.27	0.87	0.0	0.0	0.0	0.0	0.0	3.79	5.41	10.16	1.85	1.27	0.0	0.0	0.08	13.03	8.0	28.04	12.45	28.45	14.89	18.16	22.75	0.0	0.0	0.73	0.49	0.49	0.49	0.0	1.22	1.01	0.74	0.24	1.11	0.0	0.26	1.48	0.0	0.92	1.1	1.75	0.0	1.2	0.0	0.95	0.88	0.51
OR52B6	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	8.13	6.16	13.22	2.18	0.0	0.0	0.0	0.0	7.88	1.64	3.99	3.69	2.23	0.0	0.87	2.32	0.0	0.0	0.83	1.01	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	1.39	0.0	0.84	0.0	0.59	0.62	0.0	2.32	0.0	0.0	0.0	1.04
OR52H1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	2.43	3.26	6.73	4.13	7.17	0.0	0.0	0.0	4.24	5.63	3.47	0.0	0.0	0.0	0.84	0.47	0.87	0.0	0.85	1.91	0.0	0.0	0.83	0.0	0.0	1.25	0.0	1.01	0.0	0.66	0.8	0.87	0.43	0.62	1.89	0.0	0.89	0.0	0.0	0.0	0.0
PCBP3	8.92	7.94	1.31	0.0	0.57	2.56	6.01	1.17	3.89	2.53	2.76	595.34	165.57	157.68	185.11	305.55	2.58	0.0	0.38	72.52	115.97	187.71	148.09	336.79	173.85	187.71	244.57	23.59	4.98	7.88	3.23	14.35	7.22	47.5	13.22	45.85	76.71	13.22	16.03	6.21	3.0	11.21	9.78	40.64	0.74	2.86	11.38	10.0	34.51	13.52	8.32	15.8
PCDHGA11	0.3	6.62	1.3	0.3	0.56	1.68	2.18	2.48	4.78	1.38	0.49	26.86	22.26	15.68	20.11	18.16	5.82	0.0	0.19	17.25	24.28	51.35	30.56	16.15	47.17	34.51	44.57	31.45	5.28	22.43	6.26	16.39	23.59	9.93	33.06	28.45	29.06	5.45	10.63	9.48	20.11	16.03	8.71	19.25	5.19	48.18	8.99	10.88	21.63	16.03	13.12	16.27
PCDHGA12	3.47	20.11	5.15	1.17	1.64	1.17	4.35	4.31	7.17	3.32	1.6	122.64	55.89	33.3	170.25	71.5	4.62	0.0	0.35	48.18	83.45	175.07	47.84	32.59	150.17	90.14	128.79	37.59	59.13	38.67	124.37	71.0	56.68	60.39	35.0	127.89	223.41	57.08	76.71	53.95	52.82	46.84	100.13	84.63	44.89	14.56	23.76	55.89	25.91	62.56	37.85	72.52
PDE5A	24.99	20.71	46.84	28.04	79.45	148.09	56.68	58.71	84.63	27.25	88.88	412.0	218.79	77.79	1066.48	587.13	24.81	0.0	0.26	620.67	819.3	995.0	166.73	651.58	1359.57	1111.82	1295.13	460.44	307.69	244.57	480.04	403.5	325.29	287.01	265.87	320.8	361.04	82.29	78.34	105.15	395.18	148.09	234.57	118.43	112.77	264.03	231.32	343.89	197.09	170.25	301.33	325.29
PDE6C	0.3	0.61	0.33	1.14	0.0	0.88	3.63	1.71	1.62	2.89	2.05	11.3	12.45	10.24	21.01	4.24	0.0	0.0	0.21	4.39	13.32	3.47	1.95	7.82	3.89	19.39	7.57	0.73	0.72	1.01	2.68	1.58	1.75	2.48	1.99	1.87	2.18	0.92	1.91	1.36	3.79	5.11	1.75	0.97	1.6	0.99	0.92	5.87	3.17	2.12	0.89	1.77
