	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.T8EM.1226.SM.4DM5J
RCSD1	406.31	389.72	387.02	514.56	325.29	197.09	329.84	493.56	358.54	454.09	291.04	205.5	540.19	438.59	316.37	368.65	629.35	24.63	105.89	180.02	45.21	10.79	9.13	124.37	130.6	16.88	42.11	30.78	93.35	78.89	39.5	64.8	77.25	111.99	0.0	0.41	96.01	223.41	104.42	59.97	211.31	25.72	108.14	105.89	211.31	132.44	61.25	29.48	80.01	291.04
RECK	77.79	318.57	228.13	353.59	226.54	323.03	314.17	318.57	366.09	226.54	316.37	486.75	579.04	205.5	190.34	353.59	159.9	1.23	180.02	183.82	27.84	18.97	12.83	53.95	78.89	21.47	18.56	9.2	34.51	47.17	17.64	28.24	52.45	72.52	0.0	0.45	30.12	182.55	20.11	12.45	166.73	60.82	27.25	26.67	41.81	34.26	61.68	24.63	18.03	136.19
RGL1	351.14	432.53	409.15	536.45	316.37	470.14	507.46	476.71	379.04	376.41	567.1	836.53	769.69	1191.69	595.34	624.99	1199.98	36.27	111.99	698.41	41.22	20.56	27.44	98.04	205.5	56.28	97.36	67.59	84.63	138.1	96.68	111.21	102.97	320.8	0.0	0.56	167.9	241.19	99.43	87.03	199.85	42.71	113.56	90.77	133.36	149.12	61.25	59.97	76.71	265.87
RNF146	753.83	974.5	967.76	769.69	947.83	703.28	738.29	866.07	796.86	896.64	928.3	866.07	921.88	860.08	759.08	1044.52	796.86	177.53	423.61	1340.84	497.0	400.71	309.83	575.03	743.43	320.8	595.34	379.04	780.44	400.71	329.84	642.59	473.41	371.22	0.0	0.67	529.06	656.11	316.37	358.54	450.94	607.87	547.75	543.96	368.65	532.74	536.45	283.05	392.44	423.61
RP11-565P22.6	146.03	93.35	307.69	186.4	173.85	248.0	251.48	204.07	151.22	279.14	392.44	392.44	368.65	447.82	236.21	336.79	599.49	0.0	25.54	35.0	22.75	23.42	27.64	35.76	18.84	33.06	18.43	29.27	71.5	18.43	30.56	5.36	7.51	48.52	0.0	0.0	35.76	32.13	134.3	139.07	0.0	86.43	25.91	29.7	63.89	80.01	65.26	87.03	106.63	73.03
SCARA3	1119.56	842.36	796.86	1388.16	728.11	1001.93	1216.75	819.3	679.29	1183.45	1167.14	1159.07	1369.04	2255.7	1487.87	1059.11	780.44	62.56	30.56	2609.3	107.38	60.39	24.28	54.72	486.75	83.45	368.65	75.64	87.65	242.88	108.9	92.7	283.05	181.28	0.0	0.41	1175.27	1059.11	336.79	20.41	299.25	156.59	19.25	14.24	146.03	76.71	105.89	8.71	60.39	301.33
SCHIP1	470.14	151.22	232.94	182.55	120.94	120.1	162.14	104.42	132.44	162.14	101.54	223.41	131.51	183.82	161.02	253.23	450.94	3.08	90.77	115.97	14.24	7.94	14.89	25.72	10.47	6.78	20.11	25.54	36.27	79.45	13.52	72.01	59.13	228.13	0.0	0.21	28.24	62.12	8.65	14.56	60.39	9.41	16.51	32.36	22.26	35.25	33.3	3.69	35.0	126.12
SCN4B	124.37	361.04	417.77	444.72	583.07	361.04	423.61	366.09	329.84	351.14	587.13	1023.0	896.64	854.13	503.95	723.08	1806.78	149.12	35.76	7.88	4.82	2.07	2.1	12.93	49.56	8.0	57.08	8.25	74.58	30.78	11.64	13.62	53.19	58.3	0.0	0.0	22.1	73.54	10.16	15.22	46.84	7.82	6.62	3.69	12.83	9.56	15.0	3.14	6.84	59.55
SEMA3G	61.25	753.83	733.19	656.11	651.58	896.64	733.19	540.19	764.36	429.54	376.41	483.38	2591.27	224.97	1583.71	1709.26	947.83	25.91	101.54	153.34	26.47	14.24	15.91	58.3	76.71	30.12	40.36	30.34	53.19	34.26	23.93	37.85	51.71	86.43	0.0	0.1	48.18	108.14	97.36	32.13	170.25	19.82	17.51	21.78	86.43	21.63	41.81	16.88	52.08	156.59
SFRP1	1583.71	9474.59	15180.22	16843.62	15392.14	15392.14	18560.17	16496.96	10959.3	15934.98	64632.75	22225.61	16269.83	97288.74	17197.56	17078.76	44761.41	2976.74	11189.6	5441.3	87.03	0.8	1.11	7.57	25.17	7.22	13.52	5.23	10.39	22.75	5.82	11.13	22.75	31.0	0.0	0.24	1001.93	7485.11	6.21	2.36	624.99	2.51	2.41	11.82	9.56	2.86	15.45	1.99	3.72	529.06
SNX29	397.93	275.28	242.88	234.57	251.48	234.57	241.19	246.28	228.13	205.5	220.32	384.34	314.17	165.57	215.77	361.04	169.07	108.14	170.25	159.9	59.13	51.35	43.32	111.21	131.51	71.0	61.68	77.25	102.25	81.71	77.79	66.65	126.12	118.43	0.0	0.4	177.53	293.07	96.01	61.68	183.82	50.63	77.79	71.5	138.1	110.43	88.26	92.05	127.89	147.06
SPG20	679.29	1331.57	1250.98	1583.71	1242.34	1304.15	1572.76	1322.37	1417.35	1233.75	1594.73	1397.83	1322.37	1259.69	902.89	1417.35	860.08	53.57	281.09	872.1	624.99	15.45	35.0	258.57	205.5	172.65	142.01	56.28	101.54	130.6	74.06	99.43	248.0	260.38	0.0	0.79	483.38	629.35	99.43	57.89	423.61	348.71	141.02	93.35	769.69	95.34	218.79	52.82	62.12	587.13
TANK	2193.99	1639.59	2178.83	3190.46	1733.13	3235.01	3639.7	2956.17	2148.82	2701.35	2319.15	1745.2	2956.17	3303.0	2520.38	2351.53	2627.46	890.44	1119.56	713.11	796.86	454.09	660.68	679.29	974.5	981.29	872.1	575.03	981.29	1001.93	723.08	1088.92	1208.34	1151.06	878.17	2193.99	995.0	896.64	423.61	1159.07	1143.1	1030.12	769.69	1015.93	1277.29	753.83	785.88	514.56	339.14	878.17
TMEM47	988.12	616.37	591.22	497.0	728.11	1457.23	529.06	665.29	780.44	444.72	587.13	441.64	708.18	441.64	775.05	1870.53	1487.87	1.91	105.89	1572.76	36.01	23.25	47.17	155.5	307.69	17.0	31.67	15.45	76.71	120.94	31.67	60.39	158.79	140.04	0.0	0.35	67.59	211.31	62.12	43.94	343.89	40.93	79.45	117.6	107.38	49.56	103.69	55.1	58.3	392.44
TXLNB	16.03	55.89	48.52	22.43	68.07	37.59	32.36	55.1	26.28	70.51	146.03	141.02	80.57	63.45	88.88	62.56	70.01	4.54	1.83	17.77	2.68	2.81	0.92	6.16	20.11	1.23	1.75	4.7	3.29	5.92	2.92	3.96	7.4	3.92	0.0	0.04	9.93	81.71	2.34	0.51	8.65	1.39	1.57	1.28	11.04	2.18	3.89	0.39	0.71	13.93
USP51	21.94	80.01	72.01	73.54	88.26	57.89	72.01	88.26	45.21	58.71	134.3	153.34	96.01	105.89	100.83	120.94	71.5	2.51	19.97	48.18	7.4	2.23	1.57	7.22	10.55	6.21	8.99	1.53	3.99	3.96	2.86	6.94	5.06	7.17	0.0	0.0	4.54	35.0	4.13	2.14	22.1	17.25	3.41	3.86	17.0	3.66	19.11	2.43	1.89	13.52
WDR37	339.14	301.33	307.69	273.37	336.79	246.28	277.2	336.79	275.28	258.57	397.93	363.56	320.8	218.79	251.48	267.73	239.52	145.02	202.66	249.73	62.12	71.5	132.44	118.43	130.6	128.79	124.37	147.06	164.42	122.64	149.12	73.54	99.43	147.06	0.0	0.65	133.36	218.79	99.43	237.86	91.41	161.02	152.28	144.01	139.07	153.34	140.04	106.63	148.09	167.9
ZC2HC1A	218.79	384.34	507.46	460.44	511.0	389.72	583.07	486.75	381.68	435.55	981.29	866.07	540.19	607.87	633.73	638.15	698.41	95.34	131.51	198.47	70.51	69.03	52.45	102.97	119.26	86.43	186.4	66.18	116.78	199.85	48.18	86.43	120.1	84.04	0.0	0.16	223.41	312.0	170.25	101.54	147.06	105.15	61.25	63.89	139.07	100.83	143.01	186.4	31.67	148.09
ZC3HC1	417.77	312.0	318.57	305.55	291.04	305.55	275.28	295.11	312.0	336.79	400.71	387.02	371.22	387.02	332.14	457.25	281.09	118.43	301.33	214.27	181.28	244.57	281.09	237.86	277.2	156.59	147.06	318.57	201.25	186.4	291.04	264.03	139.07	164.42	0.0	0.0	199.85	206.94	299.25	215.77	149.12	287.01	232.94	234.57	237.86	389.72	177.53	158.79	102.97	242.88
ZNF135	92.7	193.01	204.07	195.72	193.01	211.31	166.73	248.0	186.4	208.38	303.44	587.13	228.13	457.25	312.0	339.14	180.02	14.89	68.07	249.73	4.21	1.97	5.23	17.51	18.56	6.31	9.93	6.31	9.27	14.14	58.71	11.13	10.88	20.56	0.0	0.38	22.43	76.71	9.34	5.28	52.82	3.63	7.0	5.96	15.34	7.75	10.39	4.1	4.31	43.94
ZNF354C	49.56	126.12	112.77	94.67	157.68	96.01	100.13	147.06	83.45	100.83	242.88	260.38	159.9	180.02	175.07	332.14	92.7	1.01	9.13	55.89	33.78	3.29	4.43	16.15	15.56	5.19	10.08	7.06	11.64	15.22	13.93	9.78	19.68	16.27	0.0	0.38	22.59	67.59	4.82	2.84	35.0	2.84	6.57	4.86	15.34	7.63	28.04	3.76	4.39	23.76
ZNF454	43.32	25.91	31.45	52.82	38.95	47.5	38.12	40.64	29.27	42.71	63.89	28.86	23.25	96.68	43.94	42.11	83.45	1.31	4.46	24.81	5.19	0.93	2.32	10.39	8.65	0.88	5.19	0.97	16.63	6.31	0.93	1.48	2.53	3.66	0.0	0.26	2.86	8.45	5.15	2.71	16.27	1.23	5.45	2.07	4.28	2.51	5.02	5.23	2.41	20.86
ZNF471	57.49	181.28	167.9	114.36	211.31	145.02	145.02	171.45	130.6	185.11	343.89	283.05	249.73	320.8	220.32	368.65	78.34	7.22	6.36	108.14	3.29	3.06	3.79	20.41	15.0	3.72	11.55	4.58	7.22	17.51	17.38	5.63	12.18	20.56	0.0	0.49	34.75	25.72	15.45	13.32	24.99	6.11	5.02	5.11	10.24	6.31	23.76	7.69	5.59	23.59
ZNF582	36.27	138.1	124.37	125.24	129.69	116.78	85.82	113.56	145.02	117.6	199.85	239.52	176.29	186.4	142.01	327.56	109.66	3.99	12.45	80.01	4.74	2.07	3.86	16.63	20.26	2.27	10.55	5.36	6.21	8.0	6.84	10.24	14.45	12.0	0.0	0.19	44.57	34.02	16.63	2.12	66.65	2.78	5.59	5.63	12.83	8.71	34.51	2.89	8.71	29.7
ZNF879	80.01	115.97	62.12	105.15	111.21	58.71	50.98	88.88	69.03	96.01	125.24	144.01	68.55	156.59	120.94	149.12	65.72	25.91	23.59	43.63	47.17	23.25	1.62	21.47	13.12	4.5	14.56	6.52	12.55	14.78	26.86	23.93	23.08	21.32	0.0	0.14	39.22	29.06	10.0	13.62	20.26	1.2	4.58	18.16	55.89	28.65	89.51	4.21	4.43	19.97
