	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.D7.6524.01A.11R.1802.13	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.1192W.0126.SM.5EGGS	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
HN1	283.05	4181.07	4512.4	995.0	723.08	1096.5	1015.93	599.49	1757.34	1819.35	1233.75	1037.29	860.08	1909.85	733.19	486.75	629.35	1313.23	559.28	1896.65	417.77	371.22	339.14	466.88	813.63	432.53	607.87	603.67	511.0	409.15	441.64	175.07	532.74	381.68	656.11	490.14	412.0	441.64	429.54	860.08	532.74	647.07	366.09	420.68	215.77	470.14	872.1	460.44	325.29	674.59	780.44	444.72	769.69	376.41	483.38	616.37	1388.16	470.14	348.71	497.0	476.71
HRAS	1.13	3103.19	974.5	2224.63	1199.98	1605.83	1572.76	1583.71	2090.03	1896.65	2163.77	1199.98	2434.5	1857.6	1572.76	1225.22	1950.0	1540.37	1529.73	1745.2	941.27	500.46	748.61	769.69	1467.37	1104.13	1127.35	738.29	743.43	718.08	718.08	674.59	1051.79	928.3	988.12	1088.92	1066.48	656.11	1104.13	878.17	1008.9	1051.79	579.04	1008.9	629.35	1023.0	1225.22	780.44	967.76	941.27	1216.75	878.17	1242.34	567.1	902.89	1096.5	1378.57	1051.79	738.29	1208.34	830.75
IFRD2	0.35	3491.39	1359.57	2351.53	1447.15	1963.57	1605.83	1617.0	1806.78	1769.57	2255.7	1378.57	1551.09	2061.24	1674.06	1697.45	1639.59	1674.06	1437.15	1427.22	1447.15	733.19	995.0	890.44	1378.57	1127.35	1015.93	928.3	836.53	1001.93	693.58	1044.52	872.1	1066.48	947.83	941.27	1001.93	679.29	1143.1	1015.93	981.29	1127.35	928.3	1313.23	775.05	848.22	1268.46	848.22	1104.13	1295.13	1073.91	728.11	1111.82	890.44	1081.39	1199.98	1407.55	1096.5	974.5	974.5	1191.69
IL3RA	0.2	198.47	204.07	137.14	124.37	303.44	432.53	224.97	334.46	332.14	244.57	119.26	158.79	199.85	131.51	108.9	176.29	159.9	81.71	135.24	55.89	25.17	69.03	59.97	129.69	63.45	46.84	66.65	53.95	70.01	108.14	23.93	84.04	51.71	126.12	61.25	83.45	56.28	81.71	55.1	42.41	120.94	33.06	65.26	39.79	53.19	43.32	38.95	46.5	94.67	56.68	36.01	73.54	76.71	81.14	25.35	172.65	73.03	36.79	62.56	101.54
IQCJ-SCHIP1	0.55	412.0	417.77	150.17	124.37	228.13	251.48	511.0	389.72	293.07	144.01	144.01	110.43	273.37	102.97	150.17	206.94	285.03	148.09	187.71	68.55	7.0	50.27	74.58	108.9	25.72	49.56	93.35	39.79	88.88	78.89	49.21	67.12	54.72	56.28	23.25	42.41	72.52	84.63	37.32	24.46	60.39	53.95	46.18	56.28	52.82	85.22	61.25	60.82	71.5	113.56	42.41	30.56	52.82	96.01	57.49	117.6	34.75	30.56	24.28	18.29
KLC2	0.87	819.3	633.73	518.15	486.75	493.56	376.41	514.56	595.34	521.76	432.53	366.09	660.68	547.75	441.64	291.04	872.1	567.1	460.44	591.22	392.44	154.42	241.19	303.44	358.54	493.56	334.46	368.65	299.25	361.04	325.29	295.11	305.55	384.34	277.2	305.55	351.14	260.38	249.73	348.71	285.03	318.57	271.48	289.02	248.0	271.48	351.14	353.59	343.89	368.65	289.02	277.2	368.65	318.57	334.46	363.56	353.59	334.46	346.29	361.04	307.69
KLHL25	0.24	158.79	269.6	98.73	65.72	71.0	108.14	149.12	134.3	131.51	113.56	62.12	141.02	92.7	70.01	78.34	82.29	78.34	87.03	91.41	38.67	18.03	33.3	24.63	92.7	52.82	44.25	55.89	43.94	59.55	36.53	108.14	34.26	55.49	49.21	37.59	32.36	39.22	71.5	55.89	38.4	36.01	30.78	60.82	33.54	40.07	36.79	46.84	43.02	46.18	48.18	38.67	36.79	37.32	34.75	52.82	100.83	37.85	40.36	35.0	43.32
LAMA5	1.66	3540.14	3039.3	5711.87	5711.87	7130.55	5292.48	4869.99	6250.56	5711.87	3060.45	3768.09	5672.41	7485.11	4038.61	3395.89	8901.53	6250.56	5041.77	5255.91	3124.78	915.51	1721.16	1427.22	3190.46	1781.89	2224.63	2520.38	2163.77	2591.27	2271.4	4450.27	2591.27	2451.44	2178.83	2178.83	2915.45	1529.73	3325.99	1950.0	2047.0	2915.45	909.17	3820.7	2047.0	1963.57	2485.67	1963.57	2417.67	2485.67	2417.67	2090.03	2178.83	2271.4	2335.28	2855.44	4328.55	2271.4	2303.12	2303.12	1617.0
LRFN3	0.61	291.04	532.74	323.03	320.8	264.03	283.05	262.2	325.29	204.07	176.29	208.38	361.04	314.17	218.79	186.4	400.71	368.65	241.19	314.17	307.69	102.97	120.1	229.72	281.09	166.73	177.53	191.67	283.05	124.37	229.72	178.77	180.02	239.52	258.57	226.54	182.55	190.34	142.01	223.41	166.73	147.06	112.77	236.21	147.06	178.77	199.85	162.14	167.9	205.5	236.21	120.94	323.03	175.07	180.02	236.21	234.57	187.71	279.14	197.09	223.41
MAP1S	0.54	1340.84	1457.23	1242.34	775.05	928.3	988.12	890.44	1529.73	1208.34	1059.11	780.44	1143.1	1277.29	753.83	723.08	1066.48	1119.56	813.63	928.3	748.61	343.89	397.93	406.31	785.88	684.02	607.87	603.67	571.05	633.73	279.14	536.45	435.55	825.0	915.51	599.49	438.59	397.93	400.71	902.89	551.56	514.56	309.83	514.56	507.46	389.72	651.58	543.96	450.94	486.75	830.75	529.06	836.53	563.18	480.04	591.22	693.58	612.11	525.39	480.04	480.04
MAP3K11	0.38	1769.57	1794.29	1819.35	1295.13	1757.34	1477.58	1417.35	1832.01	1963.57	1498.22	1417.35	1806.78	1745.2	1119.56	1143.1	1487.87	1540.37	1388.16	1697.45	1199.98	316.37	679.29	620.67	974.5	947.83	796.86	780.44	764.36	743.43	642.59	638.15	1081.39	915.51	954.43	1023.0	1059.11	748.61	988.12	1023.0	890.44	836.53	518.15	1183.45	954.43	830.75	1030.12	743.43	1015.93	796.86	995.0	660.68	1066.48	785.88	764.36	866.07	1081.39	1008.9	808.0	995.0	902.89
MAP3K6	137.14	1519.15	603.67	2351.53	684.02	2935.74	1639.59	1923.14	2537.92	2047.0	3039.3	890.44	3794.3	3768.09	1183.45	1151.06	1457.23	1745.2	1191.69	2090.03	620.67	239.52	283.05	231.32	1277.29	703.28	587.13	336.79	457.25	214.27	305.55	463.65	327.56	476.71	638.15	329.84	309.83	198.47	665.29	291.04	470.14	532.74	209.84	813.63	299.25	334.46	389.72	450.94	351.14	303.44	423.61	688.78	551.56	466.88	441.64	624.99	1268.46	346.29	281.09	466.88	217.27
MARCH3	0.17	108.14	366.09	70.51	97.36	159.9	132.44	127.0	85.22	115.97	102.97	87.03	198.47	129.69	72.01	53.57	177.53	128.79	81.71	88.88	50.98	41.81	75.64	43.02	101.54	35.0	33.3	28.45	38.4	21.78	43.94	21.16	43.94	44.57	42.71	60.82	44.89	53.19	93.35	62.12	31.67	63.89	19.25	72.01	46.18	56.28	28.65	69.03	35.25	39.79	29.27	31.45	42.71	72.52	47.17	50.98	131.51	28.24	38.12	47.5	41.81
MESDC1	0.02	473.41	921.88	305.55	217.27	251.48	358.54	483.38	379.04	450.94	237.86	244.57	325.29	334.46	189.02	180.02	264.03	450.94	273.37	305.55	205.5	71.0	138.1	127.0	125.24	248.0	221.86	84.63	161.02	93.35	146.03	87.65	159.9	273.37	204.07	208.38	157.68	138.1	149.12	157.68	105.15	142.01	81.71	106.63	117.6	113.56	185.11	163.28	119.26	98.73	176.29	217.27	318.57	106.63	165.57	123.5	204.07	177.53	140.04	167.9	164.42
MIER2	0.52	540.19	500.46	486.75	356.05	540.19	518.15	490.14	579.04	473.41	387.02	356.05	521.76	490.14	361.04	279.14	647.07	507.46	395.18	536.45	341.51	187.71	236.21	199.85	305.55	301.33	260.38	256.78	299.25	256.78	234.57	283.05	223.41	412.0	237.86	242.88	239.52	228.13	193.01	256.78	267.73	332.14	153.34	339.14	234.57	237.86	366.09	226.54	269.6	334.46	269.6	221.86	395.18	191.67	265.87	260.38	373.81	346.29	305.55	366.09	312.0
MIR3654	0.22	60.82	61.68	62.12	99.43	63.0	80.01	63.0	91.41	55.1	76.17	63.45	73.54	57.89	55.1	47.5	121.79	68.55	60.82	63.0	62.12	28.04	37.85	32.59	72.52	40.07	35.25	41.52	29.91	40.64	39.22	41.22	52.08	60.82	46.84	60.82	44.57	43.63	22.59	49.91	43.63	78.34	25.54	39.79	34.26	39.5	37.59	39.5	54.33	52.08	35.25	40.64	55.1	65.26	29.7	33.78	63.45	49.21	40.64	55.49	55.1
MLKL	0.67	297.17	435.55	206.94	208.38	423.61	327.56	361.04	341.51	387.02	201.25	264.03	269.6	463.65	194.36	140.04	237.86	291.04	181.28	277.2	116.78	90.14	178.77	113.56	183.82	105.89	92.7	146.03	115.97	123.5	140.04	67.59	214.27	118.43	104.42	163.28	249.73	117.6	242.88	154.42	161.02	212.78	82.87	193.01	139.07	134.3	52.82	161.02	122.64	145.02	47.84	83.45	153.34	142.01	127.89	202.66	217.27	119.26	74.58	167.9	110.43
MVP	1.17	2209.26	4869.99	4450.27	1709.26	5006.93	3768.09	3325.99	8134.41	4937.99	3515.68	2627.46	6607.01	6164.49	2835.7	1832.01	1870.53	5147.73	2351.53	5872.48	1662.49	775.05	1066.48	708.18	1551.09	1295.13	1427.22	796.86	872.1	1037.29	947.83	896.64	813.63	1583.71	1304.15	1066.48	1407.55	995.0	1457.23	1199.98	1051.79	1313.23	555.41	2384.37	1183.45	1191.69	540.19	791.35	1023.0	679.29	1066.48	1096.5	1437.15	1674.06	1081.39	2018.8	5041.77	791.35	612.11	693.58	842.36
MYD88	470.14	718.08	1519.15	420.68	341.51	426.57	651.58	409.15	497.0	624.99	376.41	483.38	307.69	738.29	327.56	314.17	348.71	738.29	320.8	825.0	341.51	346.29	457.25	248.0	198.47	316.37	379.04	155.5	206.94	202.66	220.32	127.89	209.84	253.23	414.87	215.77	361.04	295.11	181.28	406.31	246.28	297.17	249.73	205.5	334.46	368.65	287.01	281.09	209.84	198.47	301.33	264.03	503.95	325.29	255.0	204.07	363.56	256.78	134.3	190.34	260.38
MYO1E	0.59	1104.13	1127.35	521.76	555.41	728.11	633.73	1081.39	1216.75	718.08	555.41	587.13	723.08	878.17	457.25	373.81	463.65	429.54	540.19	708.18	285.03	417.77	591.22	387.02	480.04	234.57	271.48	318.57	307.69	244.57	371.22	480.04	265.87	269.6	476.71	229.72	327.56	281.09	264.03	312.0	195.72	356.05	320.8	358.54	325.29	363.56	248.0	450.94	217.27	373.81	339.14	336.79	242.88	295.11	267.73	239.52	343.89	209.84	193.01	466.88	201.25
NAA10	1.07	3280.18	1685.71	2835.7	2287.2	2485.67	2061.24	2255.7	2682.69	2777.33	2664.15	2032.85	2956.17	4268.94	1896.65	1819.35	2400.97	2351.53	1991.0	2255.7	1674.06	921.88	1111.82	1277.29	1883.54	1551.09	1594.73	1369.04	1407.55	1322.37	1437.15	1066.48	1769.57	1340.84	1242.34	1628.26	1721.16	1225.22	1617.0	1594.73	1331.57	1628.26	769.69	1605.83	1388.16	1498.22	1806.78	1388.16	1487.87	1477.58	1909.85	1572.76	2061.24	1066.48	1331.57	1662.49	1870.53	1639.59	1242.34	1685.71	1397.83
NANS	0.49	6983.79	2119.22	1331.57	995.0	1295.13	890.44	1191.69	896.64	1437.15	1487.87	1250.98	1572.76	995.0	1044.52	1015.93	921.88	780.44	896.64	928.3	934.76	486.75	723.08	934.76	1233.75	830.75	1096.5	842.36	1104.13	679.29	915.51	728.11	860.08	860.08	860.08	769.69	909.17	878.17	703.28	1313.23	836.53	1191.69	713.11	813.63	595.34	738.29	1268.46	764.36	651.58	1037.29	1313.23	988.12	1427.22	514.56	995.0	1119.56	1250.98	738.29	954.43	753.83	753.83
NR2F6	0.61	1066.48	1605.83	1096.5	848.22	825.0	791.35	708.18	934.76	902.89	854.13	733.19	1286.18	848.22	785.88	780.44	1685.71	854.13	896.64	934.76	733.19	283.05	303.44	432.53	665.29	563.18	607.87	511.0	616.37	409.15	579.04	555.41	536.45	802.41	651.58	599.49	521.76	417.77	423.61	599.49	371.22	633.73	277.2	503.95	371.22	376.41	884.29	486.75	493.56	460.44	802.41	521.76	708.18	332.14	457.25	733.19	507.46	620.67	620.67	718.08	587.13
NT5DC2	0.6	1044.52	2119.22	2956.17	1369.04	2701.35	1769.57	1583.71	1388.16	1617.0	1540.37	866.07	2119.22	1477.58	1508.65	1104.13	2451.44	1806.78	1159.07	1572.76	1044.52	674.59	819.3	759.08	902.89	896.64	1183.45	775.05	638.15	444.72	563.18	902.89	1023.0	713.11	1037.29	1059.11	836.53	583.07	981.29	915.51	708.18	684.02	420.68	642.59	808.0	836.53	1674.06	599.49	1135.2	669.92	1487.87	693.58	1001.93	775.05	514.56	1417.35	403.5	1457.23	708.18	1417.35	703.28
PARVB	161.02	872.1	591.22	426.57	309.83	470.14	669.92	547.75	665.29	738.29	497.0	454.09	638.15	571.05	273.37	246.28	476.71	575.03	287.01	441.64	232.94	87.65	209.84	212.78	599.49	260.38	253.23	127.89	242.88	112.77	285.03	72.52	241.19	269.6	206.94	293.07	231.32	262.2	299.25	236.21	205.5	241.19	60.39	271.48	209.84	185.11	166.73	307.69	116.78	180.02	170.25	149.12	571.05	217.27	229.72	232.94	403.5	214.27	164.42	265.87	187.71
PLEKHM2	0.92	878.17	934.76	1135.2	884.29	954.43	1051.79	941.27	1104.13	1059.11	974.5	921.88	1199.98	1259.69	995.0	743.43	896.64	1127.35	995.0	1044.52	866.07	480.04	603.67	493.56	836.53	713.11	703.28	688.78	688.78	607.87	583.07	791.35	629.35	848.22	769.69	780.44	743.43	543.96	848.22	656.11	708.18	571.05	483.38	759.08	665.29	642.59	507.46	698.41	660.68	669.92	511.0	642.59	819.3	802.41	567.1	796.86	974.5	665.29	603.67	620.67	633.73
PLEKHO1	0.69	1977.24	1369.04	1059.11	775.05	995.0	1883.54	941.27	1594.73	2119.22	1295.13	1331.57	555.41	1467.37	575.03	624.99	490.14	921.88	547.75	1051.79	237.86	356.05	361.04	567.1	1059.11	470.14	309.83	532.74	248.0	629.35	540.19	518.15	825.0	769.69	463.65	532.74	1104.13	480.04	713.11	728.11	293.07	543.96	232.94	307.69	890.44	1044.52	218.79	802.41	373.81	947.83	432.53	334.46	780.44	521.76	961.07	579.04	848.22	743.43	234.57	514.56	466.88
PLOD3	0.88	934.76	2835.7	1104.13	988.12	1216.75	1073.91	1001.93	1487.87	1322.37	1259.69	1023.0	1583.71	1359.57	995.0	723.08	1233.75	1331.57	967.76	1037.29	1044.52	473.41	679.29	647.07	954.43	791.35	872.1	656.11	738.29	718.08	647.07	579.04	769.69	860.08	854.13	872.1	860.08	723.08	759.08	860.08	796.86	896.64	473.41	693.58	769.69	785.88	802.41	802.41	769.69	759.08	647.07	708.18	890.44	780.44	642.59	796.86	1322.37	780.44	674.59	723.08	802.41
PNP	450.94	1832.01	2417.67	981.29	381.68	1073.91	2271.4	1572.76	2287.2	1583.71	836.53	642.59	1662.49	2816.11	1936.53	470.14	612.11	1757.34	540.19	5995.9	256.78	323.03	607.87	193.01	1073.91	285.03	616.37	327.56	239.52	406.31	454.09	241.19	384.34	567.1	301.33	234.57	457.25	403.5	1059.11	660.68	132.44	669.92	256.78	579.04	291.04	307.69	525.39	287.01	187.71	463.65	660.68	368.65	921.88	414.87	248.0	305.55	2400.97	260.38	258.57	199.85	718.08
PPP1R14B	0.35	3443.31	3443.31	3491.39	2148.82	2777.33	2193.99	2090.03	3540.14	3146.52	2956.17	1819.35	2075.59	3325.99	1977.24	1605.83	2627.46	2935.74	2335.28	3690.52	1259.69	387.02	890.44	1023.0	2287.2	1159.07	1769.57	902.89	921.88	723.08	842.36	1023.0	902.89	1119.56	2271.4	1088.92	808.0	723.08	890.44	1259.69	1322.37	1594.73	483.38	1111.82	769.69	988.12	2004.85	587.13	1151.06	974.5	2193.99	1427.22	1427.22	698.41	1096.5	2303.12	1936.53	830.75	1023.0	1350.18	967.76
PPP1R18	483.38	1104.13	1685.71	1304.15	503.95	1081.39	1896.65	934.76	1639.59	2148.82	878.17	825.0	928.3	1757.34	497.0	460.44	669.92	860.08	450.94	1250.98	432.53	336.79	595.34	332.14	808.0	381.68	368.65	299.25	242.88	323.03	392.44	353.59	289.02	503.95	525.39	414.87	718.08	521.76	555.41	718.08	291.04	353.59	202.66	476.71	733.19	551.56	339.14	400.71	373.81	521.76	251.48	246.28	674.59	563.18	379.04	583.07	813.63	441.64	275.28	318.57	392.44
PPP4C	1.01	2502.97	2855.44	2502.97	1977.24	1857.6	2520.38	2047.0	2956.17	2591.27	2502.97	1950.0	2682.69	2319.15	2119.22	2047.0	1662.49	2303.12	1977.24	2664.15	1639.59	1199.98	1059.11	1259.69	1561.89	1936.53	1757.34	1572.76	1487.87	1286.18	1242.34	1498.22	1111.82	1594.73	1870.53	1216.75	1331.57	1427.22	1250.98	1781.89	1457.23	1397.83	974.5	1225.22	1191.69	1322.37	1685.71	1340.84	1407.55	1437.15	1685.71	1806.78	1923.14	1008.9	1388.16	1617.0	1397.83	1583.71	1477.58	1191.69	1427.22
PSMD1	0.54	1417.35	2018.8	928.3	796.86	1088.92	1001.93	1088.92	1540.37	1331.57	1242.34	819.3	1551.09	1199.98	1199.98	1104.13	1051.79	1508.65	1066.48	1175.27	878.17	902.89	1066.48	819.3	872.1	1199.98	1143.1	995.0	902.89	878.17	825.0	723.08	947.83	909.17	1159.07	698.41	769.69	967.76	728.11	1059.11	842.36	1001.93	775.05	651.58	642.59	647.07	1233.75	693.58	872.1	941.27	1369.04	981.29	981.29	612.11	981.29	884.29	651.58	890.44	902.89	941.27	830.75
PTP4A3	0.69	4038.61	1594.73	1617.0	1572.76	3491.39	2956.17	1529.73	3303.0	3190.46	3847.29	1208.34	981.29	2956.17	1651.0	2075.59	2627.46	1674.06	1617.0	1870.53	518.15	99.43	255.0	237.86	447.82	353.59	476.71	305.55	206.94	220.32	205.5	161.02	277.2	332.14	764.36	221.86	241.19	214.27	253.23	218.79	287.01	521.76	105.15	417.77	178.77	249.73	325.29	251.48	423.61	299.25	423.61	361.04	490.14	204.07	417.77	234.57	1991.0	251.48	190.34	297.17	253.23
PWWP2B	0.52	518.15	420.68	703.28	547.75	363.56	551.56	447.82	518.15	507.46	540.19	473.41	543.96	514.56	579.04	543.96	802.41	518.15	642.59	480.04	514.56	163.28	198.47	277.2	543.96	371.22	376.41	301.33	406.31	318.57	341.51	423.61	356.05	511.0	450.94	361.04	363.56	256.78	389.72	316.37	351.14	483.38	208.38	426.57	265.87	248.0	486.75	291.04	441.64	314.17	420.68	384.34	587.13	256.78	361.04	571.05	503.95	441.64	426.57	536.45	373.81
RARA	0.64	921.88	1096.5	1111.82	909.17	896.64	1015.93	1561.89	1286.18	902.89	733.19	555.41	1216.75	1127.35	759.08	738.29	872.1	1250.98	848.22	1066.48	514.56	318.57	521.76	406.31	785.88	397.93	480.04	529.06	454.09	432.53	543.96	435.55	454.09	575.03	507.46	480.04	376.41	651.58	406.31	420.68	287.01	400.71	239.52	348.71	432.53	403.5	255.0	551.56	384.34	616.37	376.41	253.23	435.55	332.14	575.03	400.71	559.28	412.0	486.75	327.56	332.14
RHOC	1.04	11424.74	8598.28	10883.59	5995.9	7589.61	6607.01	8963.45	9808.75	7130.55	10014.87	6699.25	8901.53	10225.32	7911.95	7857.29	6699.25	8305.36	6471.02	10512.82	4769.75	4181.07	5183.54	6121.9	8479.89	5255.91	4481.23	5366.37	5751.61	3874.05	5872.48	4419.52	5791.62	4388.98	6079.61	6426.31	4239.45	5076.84	6983.79	4671.57	6840.04	4575.41	3614.55	6426.31	6037.61	6699.25	4543.8	4802.93	4836.35	5183.54	5403.7	4328.55	6121.9	4704.07	5441.3	6337.83	6079.61	5479.15	5517.27	5594.3	5112.16
RHOG	0.52	1551.09	2384.37	1709.26	791.35	1081.39	1769.57	1088.92	1896.65	1883.54	1487.87	1183.45	1369.04	1594.73	909.17	848.22	902.89	1225.22	819.3	1467.37	780.44	429.54	563.18	802.41	1073.91	1001.93	785.88	642.59	674.59	559.28	693.58	567.1	583.07	842.36	902.89	842.36	825.0	890.44	825.0	961.07	738.29	642.59	417.77	718.08	780.44	896.64	1001.93	703.28	480.04	633.73	902.89	688.78	1477.58	825.0	759.08	890.44	902.89	743.43	679.29	575.03	708.18
RRP36	0.65	1427.22	1151.06	928.3	866.07	921.88	954.43	890.44	1037.29	995.0	1051.79	878.17	1143.1	866.07	1051.79	1030.12	1044.52	915.51	961.07	1030.12	909.17	872.1	791.35	860.08	836.53	961.07	995.0	848.22	743.43	595.34	825.0	642.59	775.05	848.22	848.22	651.58	743.43	848.22	607.87	836.53	698.41	796.86	896.64	791.35	718.08	808.0	1059.11	703.28	780.44	693.58	1322.37	854.13	1030.12	647.07	890.44	902.89	698.41	819.3	769.69	947.83	785.88
RUNX1	55.49	1008.9	1175.27	323.03	70.51	381.68	688.78	403.5	638.15	403.5	269.6	172.65	181.28	679.29	96.68	67.59	57.49	688.78	89.51	808.0	43.63	59.97	323.03	32.13	66.65	30.56	40.07	42.41	23.93	24.11	36.79	26.28	43.63	27.64	75.64	47.84	74.06	113.56	96.01	50.63	38.4	94.67	18.7	57.89	34.51	70.51	18.7	39.22	33.06	29.48	19.68	7.63	35.25	55.1	24.63	37.05	182.55	22.59	19.68	18.7	38.4
SEC61A1	2485.67	7230.1	4095.0	3847.29	3235.01	3467.27	3039.3	3212.66	3212.66	3515.68	3325.99	3443.31	3060.45	3372.43	3820.7	3212.66	3768.09	3589.58	3540.14	3690.52	3081.75	2335.28	2209.26	2537.92	2520.38	2384.37	3018.3	2537.92	2609.3	2075.59	2119.22	2758.13	2061.24	2777.33	3303.0	2682.69	2367.9	2367.9	1870.53	3467.27	2835.7	3081.75	2417.67	2178.83	2104.58	2240.11	2855.44	2032.85	2240.11	2520.38	3716.2	2701.35	3168.41	2209.26	2287.2	2855.44	3540.14	2090.03	3060.45	2555.58	2335.28
SH2B2	0.33	285.03	214.27	172.65	177.53	164.42	228.13	169.07	96.01	295.11	169.07	291.04	212.78	162.14	122.64	158.79	281.09	217.27	164.42	169.07	180.02	66.18	122.64	158.79	327.56	74.58	116.78	104.42	136.19	84.63	125.24	127.89	134.3	198.47	185.11	148.09	181.28	102.25	189.02	191.67	120.94	170.25	40.64	191.67	91.41	65.26	139.07	155.5	133.36	91.41	155.5	67.59	236.21	107.38	109.66	166.73	363.56	134.3	120.1	126.12	151.22
SH3GL1	808.0	1685.71	1628.26	2335.28	1388.16	1662.49	1427.22	1359.57	1977.24	1551.09	1340.84	1088.92	1883.54	1923.14	1208.34	1167.14	1467.37	1857.6	1286.18	1923.14	1001.93	454.09	511.0	642.59	1030.12	848.22	915.51	1111.82	759.08	961.07	764.36	1088.92	698.41	915.51	836.53	775.05	647.07	748.61	791.35	753.83	819.3	713.11	429.54	842.36	674.59	769.69	967.76	753.83	884.29	884.29	1044.52	718.08	890.44	587.13	738.29	1104.13	995.0	728.11	753.83	665.29	633.73
SHISA5	0.96	7589.61	3665.02	4903.87	3039.3	3768.09	4066.71	3515.68	4869.99	4095.0	3901.01	3395.89	3768.09	4607.24	2816.11	3257.52	3212.66	5041.77	2935.74	4512.4	2520.38	1757.34	2119.22	2451.44	3540.14	2451.44	2303.12	2224.63	2384.37	2520.38	2319.15	2287.2	2384.37	2400.97	3190.46	2796.65	2502.97	2163.77	3443.31	2627.46	2915.45	3190.46	1819.35	2895.31	2209.26	3124.78	2240.11	3325.99	2224.63	2018.8	2555.58	1936.53	2739.08	2032.85	3190.46	2915.45	3665.02	2240.11	2400.97	2351.53	2047.0
SIRT6	0.71	954.43	651.58	791.35	607.87	759.08	688.78	521.76	819.3	703.28	688.78	638.15	656.11	802.41	540.19	460.44	780.44	607.87	514.56	733.19	518.15	244.57	371.22	356.05	483.38	409.15	438.59	397.93	329.84	423.61	381.68	248.0	423.61	466.88	447.82	412.0	525.39	400.71	466.88	400.71	397.93	457.25	327.56	441.64	343.89	336.79	470.14	371.22	403.5	291.04	403.5	389.72	503.95	285.03	414.87	435.55	497.0	432.53	332.14	441.64	423.61
SLC35C1	0.0	366.09	974.5	371.22	226.54	301.33	320.8	332.14	412.0	368.65	232.94	239.52	400.71	384.34	264.03	206.94	348.71	376.41	267.73	371.22	299.25	122.64	170.25	162.14	205.5	258.57	236.21	128.79	172.65	105.89	187.71	75.11	169.07	198.47	236.21	205.5	165.57	177.53	107.38	269.6	150.17	197.09	147.06	165.57	181.28	209.84	260.38	142.01	140.04	140.04	241.19	231.32	314.17	197.09	152.28	199.85	336.79	172.65	158.79	211.31	178.77
SLC39A13	1216.75	1104.13	1662.49	1183.45	1015.93	1508.65	1519.15	1216.75	1594.73	1457.23	1081.39	1051.79	1407.55	1896.65	1066.48	819.3	2209.26	1883.54	947.83	1551.09	1183.45	470.14	836.53	651.58	1685.71	1259.69	1191.69	1066.48	896.64	878.17	780.44	896.64	941.27	1066.48	988.12	813.63	1044.52	775.05	884.29	703.28	842.36	1313.23	483.38	890.44	825.0	848.22	1259.69	836.53	1001.93	1023.0	1175.27	934.76	921.88	571.05	854.13	995.0	872.1	974.5	866.07	988.12	842.36
